"sensspec1"	"sensspec2"	"sensspec3"	"sensspec4"	"crit1"	"crit2"	"crit3"	"crit4"	"sens1"	"sens2"	"sens3"	"sens4"	"spec1"	"spec2"	"spec3"	"spec4"	"meanF1"	"SDF1"	"meanFP"	"SDFP"
"MSER_GEECE"	0.43619188016132	0.0582478622702935	0.127580040005032	0.515038057485936	0.98383984	0.96209497	0.98675414	0.98675414	0.28	0.03	0.06825397	0.3490667	0.9864759	0.9973165	0.9753519	0.9819072	0.284264459980645	0.225071769451396	0.014737125	0.00924210086952637
"GEECEnonull"	0.433389247979401	0.0861171586498296	0.38298906183492	0.200926542618819	0.60593586	0.49023067	0.61152814	0.73650295	0.2768889	0.045	0.2375445	0.1117333	0.9967781	0.9980506	0.9878068	0.9960128	0.275855502770742	0.161151552538202	0.00533792499999999	0.00464682389120068
"MSE_KENDALL_GEE"	0.241226174155243	0.40810788858476	0.218174505747721	0.197548666186013	0.80942047	0.74090282	0.79078599	0.84735125	0.1373333	0.2565	0.122449	0.1096	0.9906688	0.9979747	0.9996915	1	0.266264308668434	0.0962305876702841	0.00291625000000001	0.00436845699417996
"MSEC_CORC"	0.132391656520691	0.392274678420738	0.105669738830101	0.138955102690934	0.73296624	0.73732221	0.73319046	0.73133749	0.07088889	0.244	0.05578231	0.07466667	0.9998907	0.9998924	0.9999357	0.9997184	0.192322794115616	0.134076296399855	0.000140699999999994	9.62138936605965e-05
"MSECnonull_KENDALLCnonull_GEECE"	0.22587024186779	0.1867406070748	0.176546600538002	0.168930507586901	0.97582798	0.97811853	0.97424276	0.98863681	0.1273333	0.103	0.0968254	0.09226667	0.9987653	0.9986962	0.9994151	0.9989632	0.189521989266873	0.0253067934520911	0.00104004999999999	0.000323843979924488
"KENDALLCnonull"	0.148136492251786	0.283966100785394	0.088421615934447	0.165344683913024	0.99836735	1	0.99568182	0.99500451	0.08	0.1655	0.0462585	0.09013333	0.9989389	0.9992025	0.9987467	0.9987328	0.171467223221163	0.0819234985377139	0.00109477500000002	0.00021936802220622
"MSEC_KENDALLR_CORC"	0.126922656167455	0.190015717343756	0.0268421472470608	0.335552596537949	0.75460954	0.80039727	0.68322693	0.79764043	0.06777778	0.105	0.01360544	0.2016	0.9964823	0.9983671	0.9904171	1	0.169833279324055	0.129303271851626	0.00368337499999999	0.00418742333452205
"MSER_KENDALLR_CORR_GEERE"	0.0574118013938935	0.123798027365328	0.0525476236575996	0.431160762778044	0.81036628	0.80527984	0.80355829	0.8010837	0.02955556	0.066	0.02698413	0.2752	0.9985402	0.9961835	0.9981104	0.995104	0.166229553798716	0.179586436389985	0.00301547500000002	0.00161923176717643
"KENDALLnonull"	0.088358676807892	0.331892688340359	0.104035904257559	0.120295468772572	0.97043005	0.95135781	0.88794113	0.99495405	0.04622222	0.199	0.05487528	0.064	0.9996013	0.9990823	0.9990102	0.9992704	0.161145684544595	0.114575673586714	0.000758950000000008	0.000264029524864199
"CORCnonull"	0.114785260412901	0.280302829194763	0.131750907351716	0.102703759276052	0.99794415	0.99749547	0.99604302	0.99612138	0.06088889	0.163	0.07052154	0.05413333	0.9995177	0.9998291	0.9999036	0.999424	0.157385689058858	0.0828063510808069	0.000331400000000009	0.000233513183068276
"MSECnonull"	0.117941886739382	0.223774095692323	0.0942089965421184	0.124056406527565	0.98912974	0.9820686	0.98850901	0.99508305	0.06266667	0.126	0.04943311	0.06613333	0.9999421	0.9989241	0.9999614	0.9992704	0.139995346375347	0.0573168781237365	0.000475500000000018	0.000513263525556471
"MSER_KENDALLR_EUCR_GEERE"	0.0375019266840715	0.00399196807550973	0.00226499337463409	0.44642569652374	0.85073044	0.87792274	0.88266886	0.82694872	0.01911111	0.002	0.001133787	0.2874667	0.9950161	0.9940253	0.9951154	0.9986368	0.122546146164489	0.216528005322448	0.00430160000000002	0.00201980860974499
"CORC"	0.100463294164701	0.192491128282226	0.0937968823543738	0.0988586587487983	0.48718954	0.48477466	0.47829882	0.49427409	0.05288889	0.1065	0.04920635	0.052	0.9997942	0.9995823	0.99991	0.9998656	0.121402490887525	0.0474774975331021	0.000211975000000003	0.000145208686034939
"CORnonull"	0.10397556449165	0.166787130511301	0.0594036945491164	0.131534514650809	0.95134806	0.9872733	0.96445084	0.99460783	0.05484848	0.091	0.03061224	0.0704	0.9967676	0.9976835	0.9987339	0.9994112	0.115425226050719	0.0453396851577851	0.00185095000000002	0.00116335908042189
"COR"	0.0215428846723798	0.201434226184105	0	0.177841350998321	0.34522632	0.47717127	0.28255819	0.42561195	0.01088889	0.112	0	0.0976	0.9986495	0.9997722	0.9982133	0.9999232	0.100204615463701	0.104088951771056	0.000860450000000013	0.000839134754772261
"MSERnonull"	0.104453714980459	0.0722816279805681	0.124577101332452	0.0714804037059098	0.93936114	0.87820037	0.89682842	0.92980103	0.05511111	0.0375	0.06643991	0.03706667	0.9979293	0.9971266	0.9968893	0.99872	0.0931982119998473	0.0259517997270722	0.00233369999999999	0.000831556328017969
"KENDALLR_CORR"	0.0599232396765416	0.250130136964675	0	0.0320116981799637	0.64391799	0.65171653	0.62284557	0.66993461	0.03088889	0.143	0	0.01626667	0.9980707	0.9971772	0.9974998	0.99824	0.0855162687052951	0.112440354616065	0.00225307499999999	0.000494506672519861
"CORR"	0.00443457219152759	0.0713533268961243	0.00902928135725813	0.241851260835748	0.38627128	0.30784016	0.40023488	0.29627985	0.002222222	0.037	0.004535147	0.1376	0.9982572	0.9975063	0.9984511	0.9979008	0.0816671103201644	0.111065229103071	0.00197115	0.000416290799802272
"KENDALLR_CORC"	0	0.155815946532965	0.0040733029714786	0.154518071341444	0.69221882	0.72653493	0.69839107	0.7311662	0	0.0845	0.002040816	0.08373333	0.9980386	0.9986646	0.998059	0.9992064	0.0786018302114718	0.0884270782655942	0.00150784999999998	0.000557739063840207
