	Calb2_tdTpositive_cell_40	Chrna2_tdTpositive_cell_18	Chrna2_tdTpositive_cell_75	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_10	Ctgf_tdTpositive_cell_11	Ctgf_tdTpositive_cell_12	Ctgf_tdTpositive_cell_13	Ctgf_tdTpositive_cell_14	Ctgf_tdTpositive_cell_17	Ctgf_tdTpositive_cell_19	Ctgf_tdTpositive_cell_23	Cux2_tdTnegative_cell_4	Htr3a_tdTpositive_cell_79	Htr3a_tdTpositive_cell_86	Htr3a_tdTpositive_cell_97	Htr3a_tdTpositive_cell_98	Htr3a_tdTpositive_cell_111	Htr3a_tdTpositive_cell_117	Nos1_tdTpositive_cell_65	Ntsr1_tdTpositive_cell_10	Ntsr1_tdTpositive_cell_11	Ntsr1_tdTpositive_cell_15	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_21	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_31	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_77	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_5	Rbp4_tdTpositive_cell_47	Rbp4_tdTpositive_cell_53	Rbp4_tdTpositive_cell_60	Rbp4_tdTpositive_cell_71	Rbp4_tdTpositive_cell_82	Rbp4_tdTpositive_cell_108	Rbp4_tdTpositive_cell_142	Rbp4_tdTpositive_cell_153	Rbp4_tdTpositive_cell_155	Rbp4_tdTpositive_cell_169	Rbp4_tdTpositive_cell_170	Rbp4_tdTpositive_cell_171	Rbp4_tdTpositive_cell_172	Scnn1a.Tg3_tdTpositive_cell_64	Slc17a6_tdTpositive_cell_3	Slc17a6_tdTpositive_cell_24	Vip_tdTpositive_cell_69	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_6	CAV_LP_Ipsi_tdTpos_cell_7	CAV_LP_Ipsi_tdTpos_cell_17	CAV_LP_Ipsi_tdTpos_cell_19	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_32	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Ccdc21	0.0	0.0	0.0	0.0	0.0	0.0	4.53	0.0	24.92	0.0	0.0	44.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	24.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.3	0.0	5.63	0.0	46.34	0.12	0.0	0.0	0.23	0.0	37.5	0.0	120.91	0.0	30.67	27.74	29.21	0.08	39.82	0.0	0.9	0.0	2.65	6.44	4.66	19.1	6.81	13.64	8.38	5.53	31.27	48.77	0.0	0.0	0.0	0.65	18.98	0.0	0.0	0.0	0.0	10.12	11.85	11.07
Cep68	0.0	53.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.92	0.16	0.0	0.0	0.0	0.0	22.41	39.13	0.0	0.0	0.0	0.39	0.0	0.0	0.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.25	0.05	4.98	79.63	0.0	15.72	59.14	0.0	0.06	0.0	0.0	0.0	0.0	6.43	0.0	7.51	0.0	0.0	3.92	1.62	1.86	1.33	0.0	19.72	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	17.27	16.32	17.75
Chd4	0.0	12.0	1.43	0.0	0.0	0.72	0.0	3.4	0.77	0.0	0.0	4.66	0.32	25.49	2.67	0.48	0.0	0.05	5.0	0.0	1.05	0.11	2.74	0.0	0.93	0.24	2.63	0.59	2.29	0.91	0.91	0.79	6.11	0.38	7.37	47.8	0.0	4.78	3.93	0.0	1.65	3.15	1.77	2.06	5.86	52.48	2.68	0.86	0.45	3.32	3.29	8.31	0.0	1.98	0.0	9.06	1.87	9.59	1.25	3.41	3.2	5.41	4.38	23.67	0.0	0.31	0.49	0.42	0.0	0.0	0.0	49.18	0.0	4.49	84.9	84.16	82.33
Crygn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.49	13.74	0.0	0.0	0.0	2.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.89	0.0	0.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	1.46	0.35
Dbn1	0.0	11.63	0.35	0.0	0.0	33.88	0.0	0.47	9.58	0.0	22.92	26.57	0.0	1.0	7.23	20.93	22.75	0.11	1.09	0.06	55.85	0.0	7.23	0.96	0.0	0.54	0.23	7.61	3.73	0.0	34.49	0.0	1.59	0.85	0.0	42.67	0.0	40.79	46.86	0.0	6.16	10.33	0.0	5.84	8.49	86.84	0.0	11.73	19.47	6.96	0.11	22.53	69.33	0.0	0.0	12.97	7.51	4.24	12.6	8.81	6.96	3.66	5.09	1.33	1.66	1.8	17.65	0.35	0.4	3.39	0.0	0.0	0.0	0.0	181.07	196.52	190.0
Fmn2	0.0	0.11	0.0	0.0	0.0	8.64	19.85	8.48	1.71	0.0	0.67	0.28	0.0	4.26	11.77	11.49	0.44	3.45	1.94	0.0	22.2	0.0	0.05	43.33	0.0	15.25	0.0	0.69	0.06	44.3	0.11	0.0	0.77	5.82	0.25	0.51	0.0	0.43	9.22	0.0	0.04	13.7	2.34	0.87	9.79	70.04	25.26	0.72	12.09	12.78	0.33	9.67	39.52	18.81	0.0	8.49	13.01	9.52	8.6	12.97	3.18	8.27	9.53	8.46	28.07	0.0	0.0	0.0	35.37	0.0	2.63	0.0	0.0	0.04	37.67	34.6	37.41
Gas7	1.98	106.65	44.71	0.0	0.0	91.07	90.36	75.79	65.18	33.66	46.95	165.53	0.0	110.49	33.68	142.73	12.47	32.55	4.06	45.88	126.81	83.31	112.09	84.69	280.53	134.69	52.57	70.74	18.82	40.42	15.36	34.82	104.6	67.99	34.06	76.56	0.05	91.39	113.3	64.52	23.1	110.17	51.98	81.24	157.28	132.96	79.68	70.5	80.86	63.44	68.51	62.87	124.74	137.33	0.0	120.27	111.56	116.74	103.42	113.85	133.52	114.27	524.32	102.7	111.24	61.38	32.69	200.22	47.2	38.92	22.32	52.84	8.68	43.38	186.15	181.08	185.5
Gla	0.0	0.47	0.58	1.12	0.0	1.21	35.29	27.36	0.97	72.66	4.8	1.2	0.0	20.16	27.2	1.59	0.9	0.39	61.61	50.43	10.62	67.56	1.53	1.91	0.75	53.02	0.76	0.0	42.68	51.75	0.82	47.75	0.58	0.17	1.11	0.61	0.49	6.96	1.54	154.35	1.04	1.29	0.41	0.35	0.75	99.17	1.82	35.12	70.01	48.22	0.47	1.48	29.57	1.47	1.11	4.5	2.47	28.18	31.17	1.04	15.32	19.1	10.33	61.54	1.82	0.7	31.36	1.82	0.83	2.57	1.02	0.44	0.94	21.46	9.91	11.13	8.43
Gm14430	0.21	0.0	7.12	0.0	0.0	0.0	2.12	3.91	1.53	0.0	10.34	13.87	0.0	6.85	26.74	0.0	0.04	9.34	0.18	1.96	2.84	0.07	6.14	0.0	19.02	9.33	0.16	0.1	1.66	0.0	0.0	0.22	2.16	0.04	0.0	30.04	0.04	0.72	1.26	44.85	0.26	12.58	0.0	0.0	37.59	24.7	0.0	13.54	8.32	8.62	3.19	25.13	0.0	0.0	2.15	11.7	6.07	1.76	4.79	1.83	4.81	3.28	4.22	0.48	0.36	0.0	0.0	0.0	0.0	13.98	0.0	0.0	0.0	0.04	7.67	5.07	7.49
Gm14431	0.0	1.38	0.17	0.34	0.0	2.06	0.9	7.16	3.04	0.7	0.68	0.23	0.0	0.7	2.88	2.58	0.09	0.99	5.62	2.75	8.19	0.18	0.5	0.7	0.0	0.0	0.0	0.0	1.31	1.02	0.06	0.48	0.0	2.71	0.0	0.26	0.19	0.0	0.53	1.99	1.97	2.62	0.67	0.42	25.0	2.68	3.52	0.1	7.06	7.93	0.16	6.62	0.36	1.11	0.7	0.11	1.14	0.53	4.2	0.71	2.11	0.72	1.65	2.13	0.19	4.76	0.0	0.06	0.0	0.0	0.0	0.37	3.49	0.5	8.87	7.17	8.34
Gm14434	0.21	0.0	7.12	0.0	0.0	0.0	2.12	3.91	1.53	0.0	10.34	13.87	0.0	6.85	26.74	0.0	0.04	9.34	0.18	1.96	2.84	0.07	6.14	0.0	19.02	9.33	0.16	0.1	1.66	0.0	0.0	0.22	2.16	0.04	0.0	30.04	0.04	0.72	1.26	44.85	0.26	12.58	0.0	0.0	37.59	24.7	0.0	13.54	8.32	8.62	3.19	25.13	0.0	0.0	2.15	11.7	6.07	1.76	4.79	1.83	4.81	3.28	4.22	0.48	0.36	0.0	0.0	0.0	0.0	13.98	0.0	0.0	0.0	0.04	7.67	5.07	7.49
Gm16023	0.0	0.0	0.0	0.0	0.0	93.08	0.0	0.0	0.19	0.13	10.53	1.17	0.0	0.3	0.74	0.16	0.0	0.27	0.92	0.0	67.51	0.14	0.14	0.32	0.29	0.13	0.12	0.0	0.19	0.0	0.11	0.0	36.7	0.0	0.13	0.0	0.0	0.21	0.0	0.11	0.0	0.11	0.0	0.0	0.0	73.09	0.37	3.39	0.37	0.56	0.1	0.28	0.0	0.0	0.18	0.43	5.04	1.16	10.32	0.93	7.73	5.16	2.37	0.0	6.12	2.69	0.37	0.14	0.34	0.08	26.06	0.12	0.0	47.52	2.26	1.9	1.62
Gm20172	0.0	1.79	27.88	1.63	0.61	2.92	1.66	28.17	3.53	1.01	4.51	68.93	0.0	0.26	1.3	80.77	3.0	77.62	6.13	1.18	1.74	0.9	2.02	0.8	1.89	1.19	1.08	0.96	1.92	1.66	0.33	12.23	5.94	56.65	0.84	0.73	0.0	2.73	1.39	1.32	0.73	0.96	1.68	0.77	91.85	115.07	1.23	23.2	2.28	1.5	73.47	1.14	3.67	0.39	4.63	16.57	6.61	26.19	12.02	3.01	5.39	1.19	9.67	0.52	1.31	0.42	0.22	0.26	0.84	4.8	2.1	0.42	1.17	0.94	2.18	2.02	2.68
Gm4724	0.21	0.0	7.12	0.0	0.0	0.0	2.12	3.91	1.53	0.0	10.34	13.87	0.0	6.85	26.74	0.0	0.04	9.34	0.18	1.96	2.84	0.07	6.14	0.0	19.02	9.33	0.16	0.1	1.66	0.0	0.0	0.22	2.16	0.04	0.0	30.04	0.04	0.72	1.26	44.85	0.26	12.58	0.0	0.0	37.59	24.7	0.0	13.54	8.32	8.62	3.19	25.13	0.0	0.0	2.15	11.7	6.07	1.76	4.79	1.83	4.81	3.28	4.22	0.48	0.36	0.0	0.0	0.0	0.0	13.98	0.0	0.0	0.0	0.04	7.67	5.07	7.49
Gm8898	0.0	1.38	0.17	0.34	0.0	2.06	0.9	7.16	3.04	0.7	0.68	0.23	0.0	0.7	2.88	2.58	0.09	0.99	5.62	2.75	8.19	0.18	0.5	0.7	0.0	0.0	0.0	0.0	1.31	1.02	0.06	0.48	0.0	2.71	0.0	0.26	0.19	0.0	0.53	1.99	1.97	2.62	0.67	0.42	25.0	2.68	3.52	0.1	7.06	7.93	0.16	6.62	0.36	1.11	0.7	0.11	1.14	0.53	4.2	0.71	2.11	0.72	1.65	2.13	0.19	4.76	0.0	0.06	0.0	0.0	0.0	0.37	3.49	0.5	8.87	7.17	8.34
Gtpbp1	0.0	0.0	0.0	0.0	0.0	6.88	0.53	4.86	0.0	0.0	4.51	0.0	0.0	0.24	19.35	0.0	2.31	0.0	0.0	0.0	0.0	3.27	0.0	0.0	0.0	0.04	0.0	0.0	0.27	0.0	0.0	0.0	0.0	18.45	0.0	1.78	0.0	38.26	0.83	0.0	0.24	0.0	0.0	0.0	30.52	62.78	0.0	0.14	0.24	0.0	0.0	0.0	60.76	0.0	0.0	2.08	5.14	4.55	4.85	5.9	9.69	1.04	6.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	2.12	38.95	39.97	38.95
Hist1h2bq	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.21	0.04	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.25	0.16	0.15	0.11	0.42	0.1	0.0	0.09	0.0	0.0	0.31	0.0	0.09	0.29	0.0	0.07	0.06	0.0	0.53	0.0	0.0	0.0	0.0	0.24	0.07	0.0	0.0	0.0	0.0	0.0	0.38	0.28	0.38
Hist1h2br	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.21	0.04	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.25	0.16	0.15	0.11	0.42	0.1	0.0	0.09	0.0	0.0	0.31	0.0	0.09	0.29	0.0	0.07	0.06	0.0	0.53	0.0	0.0	0.0	0.0	0.24	0.07	0.0	0.0	0.0	0.0	0.0	0.38	0.28	0.38
Iffo2	0.07	38.78	0.38	0.15	1.06	1.61	4.0	9.69	0.81	0.84	0.6	1.27	0.0	0.55	6.61	0.73	0.24	0.81	0.26	0.53	2.4	0.71	1.17	0.15	0.0	0.3	0.46	0.0	1.15	0.0	0.94	0.05	8.7	0.13	0.24	2.4	0.38	0.78	1.5	0.15	3.91	0.37	1.35	0.0	1.08	1.28	0.53	2.01	1.24	0.5	0.37	1.26	1.04	0.22	2.32	1.75	5.65	8.33	0.94	0.6	2.82	0.4	1.94	0.46	0.94	0.16	0.56	0.44	0.68	0.13	0.26	0.28	0.0	0.19	12.79	12.86	11.38
Igsf9b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.88	0.0	0.27	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.0	6.33	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.06	0.0	0.0	15.23	0.0	0.1	28.7	0.0	0.0	0.94	28.7	0.0	0.49	24.07	0.79	1.26	6.8	0.0	0.0	0.0	4.34	2.63	0.0	4.49	3.97	3.02	0.28	0.61	0.0	0.0	0.1	0.0	0.48	0.0	0.0	0.0	0.0	0.0	0.0	20.04	16.04	26.03
Ipo7	0.0	0.0	112.88	0.0	0.0	139.17	25.08	6.19	117.67	8.49	23.55	0.0	0.0	0.13	0.47	52.46	149.42	111.47	0.0	22.89	106.6	0.0	50.55	76.8	31.84	53.0	0.0	0.0	97.37	0.09	0.08	0.0	0.0	0.0	8.09	7.17	0.0	0.0	10.9	0.0	9.62	59.18	115.3	10.59	0.52	225.69	14.2	80.87	37.05	25.31	0.0	42.08	17.73	4.86	0.0	14.99	22.22	39.55	39.78	33.52	43.99	32.69	13.0	52.66	0.12	52.36	26.41	16.96	0.0	9.23	0.0	0.78	0.0	75.49	89.26	83.51	90.33
Jakmip3	0.0	3.85	0.0	0.0	0.0	98.7	31.38	0.0	0.0	0.0	0.0	0.0	0.0	0.73	29.01	0.0	0.0	0.0	2.25	21.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.45	0.0	0.0	0.0	3.95	0.0	26.59	0.1	0.0	0.17	0.0	0.0	70.02	48.48	0.0	0.0	0.79	79.4	0.0	0.0	0.0	13.03	0.0	28.75	0.0	0.0	0.49	13.12	7.56	6.58	5.95	9.69	7.46	10.96	11.41	18.46	28.43	14.21	0.0	0.0	0.0	0.0	85.62	0.0	0.0	0.07	24.21	24.15	24.07
Mib1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.35	36.94	1.7	19.95	14.28	0.0	0.22	0.19	1.43	0.0	3.8	0.0	0.0	0.0	1.39	0.37	6.05	0.0	0.17	0.0	18.71	2.67	0.91	0.39	0.92	0.0	0.09	0.0	2.96	0.0	4.44	0.99	2.16	0.43	0.0	0.16	0.0	44.6	39.52	1.93	0.0	0.0	0.44	10.39	14.26	3.26	24.8	0.0	0.37	3.85	4.52	2.74	0.88	1.49	2.69	3.64	1.01	0.0	0.38	0.0	2.14	0.0	0.0	0.0	0.08	0.0	0.0	49.4	40.57	49.68
Neu4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.07	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.13	0.16	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.23	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.06	4.9	5.5	5.31
Nradd	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.42	2.6	2.05
