	Calb2_tdTpositive_cell_9	Chrna2_tdTpositive_cell_51	Cux2_tdTpositive_cell_5	Cux2_tdTpositive_cell_57	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_74	Cux2_tdTpositive_cell_96	Cux2_tdTpositive_cell_101	Cux2_tdTnegative_cell_14	Nr5a1_tdTpositive_cell_36	Nr5a1_tdTpositive_cell_44	Nr5a1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_18	Ntsr1_tdTpositive_cell_24	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_29	Ntsr1_tdTpositive_cell_30	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_33	Ntsr1_tdTpositive_cell_36	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_49	Rbp4_tdTpositive_cell_87	Rbp4_tdTpositive_cell_89	Rbp4_tdTpositive_cell_91	Rbp4_tdTpositive_cell_130	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_182	Rbp4_tdTpositive_cell_183	Rbp4_tdTnegative_cell_8	Scnn1a.Tg3_tdTpositive_cell_40	Scnn1a.Tg3_tdTpositive_cell_41	Scnn1a.Tg3_tdTpositive_cell_65	Scnn1a.Tg3_tdTpositive_cell_71	Scnn1a.Tg3_tdTpositive_cell_104	Scnn1a.Tg3_tdTpositive_cell_108	Scnn1a.Tg3_tdTpositive_cell_110	Slc17a6_tdTpositive_cell_11	Slc17a6_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_30	Slc17a6_tdTpositive_cell_31	Slc17a6_tdTpositive_cell_40	Sst_tdTpositive_cell_83	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_9	CAV_LP_Ipsi_tdTpos_cell_17	CAV_LP_Ipsi_tdTpos_cell_21	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_32	CAV_LP_Ipsi_tdTpos_cell_36	CAV_LP_Ipsi_tdTpos_cell_39	CAV_LP_Ipsi_tdTpos_cell_41	CAV_LP_Ipsi_tdTpos_cell_42
Colec12	18.84	9.18	24.85	18.71	20.82	25.42	15.35	25.38	22.14	32.18	12.42	18.15	25.45	18.69	18.73	13.11	16.41	9.67	27.86	21.17	13.1	16.6	11.81	9.98	11.49	18.56	13.04	42.48	0.9	42.77	18.37	25.94	64.15	33.32	38.65	53.42	50.29	43.65	54.66	39.68	41.3	36.66	29.85	29.71	24.7	33.22	28.0	9.13	22.82	22.43	18.12	25.15	27.58	15.87	25.14	17.63	16.83	17.72	42.16	13.7	53.26	16.1	20.7	13.63	22.64	14.03	11.92	18.18	15.93	19.98	36.01	41.37	27.74	38.7
Commd4	54.33	399.58	295.34	470.17	441.01	399.64	108.01	362.92	0.0	217.95	271.89	188.52	359.88	244.75	241.15	475.9	217.26	166.35	193.11	180.2	260.67	138.13	533.07	18.29	142.31	290.89	394.43	254.9	455.58	382.11	373.3	281.13	251.62	303.86	193.16	388.46	414.9	1207.73	291.71	289.26	477.74	1214.32	124.28	220.74	192.34	400.58	209.95	100.97	244.31	253.18	217.33	274.31	253.55	207.18	195.39	265.48	260.84	0.41	169.25	175.44	589.91	31.27	647.74	216.55	299.58	32.65	206.41	208.71	0.0	352.59	277.13	141.19	245.59	52.46
Cpne8	180.16	105.05	183.08	7.43	14.08	319.79	55.07	118.47	54.72	249.97	55.95	19.45	137.22	77.61	29.13	2.18	34.36	60.47	190.57	31.08	83.16	4.5	154.69	55.12	13.2	117.65	3.17	155.36	11.51	36.65	415.79	222.0	292.85	70.82	247.42	436.45	339.9	734.33	151.26	130.17	295.85	380.93	8.53	221.67	127.18	125.34	104.7	75.82	89.55	73.37	35.37	55.42	79.75	89.96	91.01	45.34	55.64	14.96	13.09	32.24	69.77	27.36	45.66	6.49	4.5	99.01	88.79	20.54	7.0	22.61	108.66	128.02	54.28	69.85
Cpne9	0.41	0.45	24.57	3.18	168.88	67.7	81.68	1.2	74.14	157.6	30.34	78.54	1.17	1.15	0.64	0.13	1.16	0.93	0.71	0.78	0.33	1.21	0.56	2.84	0.26	0.44	0.23	2.23	0.15	1.35	0.85	10.0	70.68	3.26	147.13	140.38	503.8	177.53	109.13	148.75	126.73	147.69	1.38	63.89	3.62	0.13	2.24	0.0	1.44	8.39	1.12	0.62	13.38	21.66	16.86	2.12	4.22	0.59	1.76	0.39	2.87	0.4	0.7	0.27	23.68	0.58	0.81	0.87	0.41	2.7	1.34	2.81	1.27	3.03
Cspp1	5.82	13.46	12.6	5.34	128.72	0.0	35.62	12.45	13.32	23.77	22.76	11.81	30.83	50.73	4.08	1.8	6.22	4.27	3.18	1.15	6.09	3.22	15.47	24.56	49.03	3.37	16.53	14.12	0.0	30.06	9.6	25.37	102.74	46.47	11.12	0.19	28.25	170.1	23.77	143.83	142.32	267.75	26.55	33.15	1.15	8.37	55.56	0.51	16.17	13.62	32.29	14.21	13.92	29.62	22.16	19.6	13.06	24.49	8.52	6.64	191.14	11.4	23.38	30.03	3.58	5.62	0.0	0.33	0.0	27.2	19.12	67.78	33.71	23.03
Ctla2a	103.37	35.41	99.94	95.44	146.38	201.94	83.83	161.49	83.28	144.64	57.72	112.28	128.24	107.03	80.0	35.66	85.56	41.47	65.97	51.74	61.93	110.61	27.73	41.67	47.18	71.24	75.42	110.59	0.43	128.51	61.62	144.93	160.5	130.18	182.16	289.45	230.79	130.39	224.0	205.7	218.53	160.32	122.19	80.13	140.7	91.86	95.39	44.61	82.57	77.33	92.84	97.0	102.49	57.46	89.29	61.15	54.76	71.29	144.7	72.66	240.09	43.16	63.68	63.56	111.42	53.15	48.19	8.39	64.47	88.84	101.83	100.42	103.01	127.49
D830005E20Rik	34.22	29.82	49.25	48.64	50.49	72.71	25.32	67.13	49.72	106.51	13.17	40.26	54.23	82.6	32.33	17.38	44.56	41.84	40.85	47.36	29.37	47.51	15.14	33.76	45.87	21.77	18.69	52.98	7.71	104.34	25.13	82.94	94.37	77.96	108.99	126.39	61.44	50.55	186.13	198.22	131.13	105.94	61.45	60.61	79.09	75.83	45.22	30.13	49.6	51.41	46.44	63.88	72.32	41.0	54.85	42.51	44.54	38.75	60.27	21.4	169.65	7.84	32.24	21.91	44.17	34.37	15.26	10.59	7.37	29.04	70.59	84.53	46.34	74.61
Dnajb6	363.9	8.77	383.82	87.32	266.52	128.3	298.56	295.91	293.73	125.93	111.86	224.42	349.93	119.51	364.82	343.93	132.79	183.5	729.93	218.44	67.83	475.59	103.23	42.2	14.15	22.33	69.16	224.48	14.76	126.47	106.57	331.47	284.89	426.8	151.82	238.93	384.31	470.17	307.86	465.29	365.05	610.78	388.53	620.95	425.42	449.27	194.14	2.35	194.99	244.35	191.02	205.33	322.81	135.56	348.64	264.57	292.08	78.61	213.86	110.33	365.36	144.45	140.75	0.0	92.08	0.41	45.38	236.39	39.75	146.28	57.7	287.43	342.58	169.11
Ermap	1.87	0.51	1.44	3.48	3.96	6.62	2.87	4.75	2.93	4.67	2.04	4.78	4.42	4.25	2.0	0.63	2.14	1.06	0.69	2.15	1.98	1.96	1.68	0.39	1.38	1.44	1.94	5.98	0.0	5.21	2.74	4.3	7.34	3.56	6.82	6.49	7.9	6.58	11.99	6.73	11.96	6.89	7.24	4.4	7.41	2.61	2.39	1.04	2.53	2.34	2.54	2.15	3.78	2.13	2.7	1.4	1.5	2.6	6.59	2.42	5.65	2.09	1.24	1.25	1.62	1.52	1.14	1.09	1.84	2.46	3.94	3.33	2.04	3.5
Fbxl20	0.0	0.0	0.03	0.0	0.0	0.0	0.17	0.0	1.78	0.09	0.0	0.0	0.0	0.0	0.06	5.2	0.0	0.0	0.04	2.58	0.01	0.0	0.0	0.0	0.0	0.77	0.26	0.0	0.0	10.18	0.04	0.44	0.05	13.35	26.32	1.13	21.89	10.01	17.98	0.71	3.62	51.44	0.0	0.0	0.0	0.07	0.0	0.0	2.84	0.04	4.21	5.46	1.74	5.26	3.53	3.23	1.79	0.37	0.64	13.94	24.25	0.0	0.0	0.06	0.0	38.69	3.41	1.68	0.0	26.89	2.75	0.0	12.74	0.05
G630055G22Rik	29.67	4.97	12.46	9.23	7.71	10.9	10.94	15.62	12.06	14.25	4.74	5.02	13.57	8.53	12.42	3.91	8.06	4.89	9.25	14.04	5.53	5.41	2.72	5.68	5.29	3.01	7.63	12.47	0.28	17.02	7.2	19.59	18.33	20.2	23.1	24.6	19.13	19.3	34.28	27.89	30.84	15.38	10.46	11.22	14.46	8.2	6.45	6.7	9.02	8.83	9.23	9.4	8.32	9.0	9.95	5.78	4.65	11.09	12.39	7.38	25.36	5.72	6.81	5.31	4.86	4.87	7.86	4.36	1.79	5.35	14.01	13.62	18.68	21.72
