	Calb2_tdTpositive_cell_16	Calb2_tdTpositive_cell_17	Calb2_tdTpositive_cell_24	Calb2_tdTpositive_cell_34	Calb2_tdTpositive_cell_40	Calb2_tdTpositive_cell_41	Calb2_tdTpositive_cell_44	Calb2_tdTpositive_cell_54	Calb2_tdTpositive_cell_59	Chrna2_tdTpositive_cell_1	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_15	Gad2_tdTpositive_cell_19	Gad2_tdTpositive_cell_21	Gad2_tdTpositive_cell_33	Gad2_tdTpositive_cell_34	Gad2_tdTpositive_cell_45	Gad2_tdTpositive_cell_54	Gad2_tdTpositive_cell_79	Htr3a_tdTpositive_cell_21	Htr3a_tdTpositive_cell_23	Htr3a_tdTpositive_cell_31	Htr3a_tdTpositive_cell_34	Htr3a_tdTpositive_cell_41	Htr3a_tdTpositive_cell_45	Htr3a_tdTpositive_cell_47	Htr3a_tdTpositive_cell_56	Htr3a_tdTpositive_cell_57	Htr3a_tdTpositive_cell_68	Htr3a_tdTpositive_cell_71	Htr3a_tdTpositive_cell_81	Htr3a_tdTpositive_cell_87	Htr3a_tdTpositive_cell_90	Htr3a_tdTpositive_cell_104	Htr3a_tdTpositive_cell_122	Ndnf_tdTpositive_cell_11	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_66	Rbp4_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_19	Vip_tdTpositive_cell_4	Vip_tdTpositive_cell_7	Vip_tdTpositive_cell_8	Vip_tdTpositive_cell_9	Vip_tdTpositive_cell_12	Vip_tdTpositive_cell_16	Vip_tdTpositive_cell_20	Vip_tdTpositive_cell_25	Vip_tdTpositive_cell_26	Vip_tdTpositive_cell_27	Vip_tdTpositive_cell_28	Vip_tdTpositive_cell_31	Vip_tdTpositive_cell_39	Vip_tdTpositive_cell_40	Vip_tdTpositive_cell_41	Vip_tdTpositive_cell_43	Vip_tdTpositive_cell_44	Vip_tdTpositive_cell_47	Vip_tdTpositive_cell_49	Vip_tdTpositive_cell_51	Vip_tdTpositive_cell_55	Vip_tdTpositive_cell_56	Vip_tdTpositive_cell_59	Vip_tdTpositive_cell_61	Vip_tdTpositive_cell_63	Vip_tdTpositive_cell_65	Vip_tdTpositive_cell_66
Gm17821	373.71	263.25	133.44	176.61	62.19	285.15	263.35	114.51	196.88	353.54	0.1	313.98	467.94	212.01	256.36	184.0	439.62	367.58	524.67	329.77	329.89	494.19	223.86	222.06	112.57	185.79	369.48	632.27	492.76	328.29	439.9	250.73	263.39	313.3	218.83	180.16	61.65	105.35	166.66	135.95	86.44	232.68	246.76	280.75	367.27	275.36	24.98	320.35	360.03	260.49	235.71	206.03	298.46	237.02	301.89	327.12	188.31	420.58	347.14	279.33	269.57	385.37	311.35	407.13	344.93	300.84	252.44	277.87
Gm6300	152.17	82.82	20.56	52.39	31.83	76.08	62.54	45.37	52.29	119.41	0.58	103.87	170.01	73.9	67.61	57.96	161.74	184.9	155.07	130.93	116.62	160.08	78.15	70.35	30.78	67.6	109.3	296.21	218.22	114.61	183.29	82.68	74.76	99.84	102.45	17.87	56.78	23.42	49.26	32.08	35.68	73.92	95.3	99.58	119.28	108.79	0.08	73.93	108.21	82.49	61.8	46.98	92.21	95.93	68.63	114.87	71.55	126.23	110.1	69.21	77.96	124.83	94.63	153.5	134.48	75.13	84.15	108.36
Il1rl1	1.45	1.11	1.31	1.04	0.0	4.44	2.59	0.88	2.82	2.33	0.07	3.42	4.18	2.55	0.94	0.42	5.18	2.87	7.75	5.46	2.16	2.29	2.49	1.36	1.71	3.65	4.9	1.75	4.93	1.35	5.71	2.75	1.24	5.86	2.61	1.01	0.0	0.28	4.1	0.67	2.57	1.76	1.77	4.11	2.62	3.73	0.0	3.66	2.2	2.72	2.82	1.38	2.88	4.37	2.65	1.66	2.02	5.33	1.79	3.7	2.75	4.85	2.18	1.9	4.35	1.36	6.81	3.5
Kcnq1ot1	74.01	66.79	25.13	38.42	25.0	55.69	66.88	43.9	48.06	91.19	0.45	106.73	112.62	52.75	56.93	63.82	90.43	120.95	114.3	91.77	79.76	113.23	53.21	55.22	32.65	39.05	99.81	196.79	119.76	87.5	105.98	71.5	67.21	71.95	53.13	37.84	16.2	21.34	36.63	23.43	16.64	56.2	88.34	78.0	95.95	73.7	6.01	72.27	75.76	52.15	59.45	38.07	100.92	66.62	88.13	86.06	51.16	109.6	82.23	66.74	56.38	93.1	74.96	107.74	89.16	67.92	66.19	70.89
Penk	11138.18	458.09	6509.27	6917.38	7669.37	5037.4	10714.69	21119.42	7052.5	8723.78	0.0	14614.46	252.93	0.73	30305.82	14273.96	24078.42	18579.64	5419.03	29110.93	10693.84	7583.12	15168.53	23047.57	13973.88	19453.81	11802.85	8394.0	22944.38	0.0	23364.23	0.0	0.0	0.35	0.0	0.0	0.0	0.34	0.0	0.0	0.0	16623.49	6447.46	7531.18	24984.25	2.81	0.0	7859.51	8575.12	4970.72	8940.47	161.14	7467.25	92.22	0.32	30.09	3.92	9357.5	9658.52	11865.47	225.27	305.39	464.43	1813.02	2.2	256.82	824.22	34.67
Psg28	9.76	13.78	12.97	9.58	3.13	11.4	12.72	9.6	12.49	22.01	0.0	25.76	37.2	7.92	18.66	13.8	22.59	14.31	41.14	19.53	21.67	38.03	11.09	12.34	9.82	11.89	32.57	40.18	29.17	19.68	30.84	20.8	18.46	14.51	11.82	0.0	0.0	2.84	8.09	2.82	2.45	9.56	17.54	16.82	24.5	18.62	2.78	36.98	17.6	10.71	16.39	13.6	24.05	19.57	27.26	21.14	11.52	27.69	26.05	13.63	11.87	18.2	22.3	27.52	28.9	21.85	22.15	20.4
Rdh13	121.63	269.54	497.91	112.3	44.53	178.51	282.7	145.38	136.2	267.5	0.11	108.91	238.48	111.1	245.55	338.71	177.09	0.0	237.24	74.75	339.04	83.79	69.24	205.6	232.05	0.26	248.78	135.83	231.77	0.0	374.09	68.41	126.1	435.66	62.54	0.36	2.46	0.05	0.0	0.0	0.28	120.5	257.33	183.75	138.56	0.21	0.0	422.17	133.58	119.29	415.31	174.67	162.79	84.68	242.98	297.41	525.67	0.0	277.11	169.06	181.2	170.02	160.29	364.26	340.74	202.46	304.48	196.79
Smarcd1	0.09	65.68	74.96	0.0	26.57	17.17	3.9	0.0	12.13	79.16	0.0	133.14	0.0	13.02	36.75	0.0	46.73	24.11	77.44	6.3	3.1	0.0	0.0	68.37	11.81	0.0	82.41	0.52	0.0	0.0	78.14	1.19	0.0	112.01	64.75	0.0	4.75	0.05	0.0	0.0	0.0	0.0	15.02	24.69	113.22	0.61	0.0	0.79	0.0	0.0	0.0	0.89	0.0	0.0	71.04	0.0	0.49	28.41	25.81	83.57	0.15	8.47	0.0	0.06	0.12	5.06	102.82	45.36
Ston2	0.66	0.58	0.27	0.43	0.16	0.68	0.64	0.2	0.46	0.5	0.0	2.14	1.72	0.94	1.37	0.93	1.06	1.44	1.17	0.61	0.24	0.72	0.41	0.43	0.18	0.13	0.84	1.65	1.43	0.12	1.03	0.87	0.49	1.08	1.24	5.67	0.0	0.27	0.23	0.67	0.04	1.08	0.66	0.77	0.92	1.0	0.12	0.21	0.43	0.44	0.34	0.62	0.59	0.3	0.63	1.1	0.35	0.47	1.42	0.98	1.03	0.9	2.74	1.34	1.81	1.47	1.77	1.5
Tmx3	166.59	106.93	7.19	2.53	0.0	33.05	108.89	0.0	0.0	152.92	49.31	12.53	64.17	80.73	11.87	3.08	20.95	83.02	189.39	237.45	327.6	32.75	185.77	41.44	103.3	0.09	25.47	163.9	0.0	0.0	91.46	8.83	0.06	370.27	0.0	677.72	0.0	0.0	0.0	0.0	0.0	22.91	66.48	10.09	17.97	167.87	0.08	0.0	2.82	76.67	2.98	93.15	40.47	119.09	0.0	239.61	0.0	0.11	130.28	24.3	0.1	196.86	14.35	4.27	199.15	2.36	101.53	64.26
Trim27	6.07	3.25	1.57	5.39	4.31	32.32	8.47	2.58	4.89	6.01	0.08	3.45	6.73	7.91	7.69	5.18	8.23	5.57	16.67	8.85	5.8	5.92	11.5	5.46	3.96	5.52	4.65	9.46	7.93	4.38	12.3	4.44	2.4	12.36	7.55	6.41	0.0	2.26	2.95	5.41	2.27	5.73	5.6	5.53	6.97	7.21	0.22	5.54	6.86	5.9	4.73	4.54	4.83	4.88	6.04	5.68	2.15	70.68	8.47	8.72	5.54	76.07	6.54	7.91	6.48	5.4	6.81	14.93
Txn1	213.31	368.64	0.0	158.82	0.0	0.0	260.51	205.31	326.2	183.77	0.0	269.13	268.61	115.47	257.37	286.81	212.0	205.37	55.75	350.93	190.59	159.06	241.22	232.23	73.26	205.31	282.11	135.93	355.52	178.55	354.01	0.0	242.75	412.01	93.78	0.0	7.64	0.16	0.0	0.0	0.0	0.0	227.08	0.0	0.0	72.06	1.84	123.58	97.82	0.67	203.67	214.29	161.85	64.41	82.01	177.04	152.47	243.43	159.22	355.17	351.19	109.77	72.39	101.57	462.47	95.9	227.85	285.61
Zfp71-rs1	83.3	77.74	43.96	51.11	14.79	105.93	94.8	27.12	64.97	108.19	0.0	100.53	146.23	61.93	90.04	60.01	127.24	118.69	166.97	94.68	105.83	151.58	73.88	65.44	27.53	49.11	191.51	220.41	138.21	110.71	151.12	97.15	78.85	89.03	137.78	30.3	24.49	18.08	39.13	23.31	19.49	73.93	69.99	66.44	140.13	112.25	0.48	115.67	106.59	85.08	85.22	59.55	139.27	85.23	66.58	98.36	43.13	158.51	168.83	89.82	93.52	118.37	92.8	110.9	148.47	79.98	71.44	93.67
