	Calb2_tdTpositive_cell_9	Cux2_tdTpositive_cell_57	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_96	Cux2_tdTpositive_cell_99	Cux2_tdTpositive_cell_101	Cux2_tdTpositive_cell_105	Cux2_tdTpositive_cell_108	Cux2_tdTpositive_cell_112	Cux2_tdTpositive_cell_121	Cux2_tdTpositive_cell_122	Cux2_tdTnegative_cell_8	Cux2_tdTnegative_cell_14	Gad2_tdTpositive_cell_42	Gad2_tdTpositive_cell_51	Htr3a_tdTpositive_cell_109	Ndnf_tdTnegative_cell_9	Nos1_tdTpositive_cell_43	Nr5a1_tdTpositive_cell_44	Nr5a1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_7	Ntsr1_tdTpositive_cell_9	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_21	Ntsr1_tdTpositive_cell_23	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_35	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_40	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_46	Ntsr1_tdTpositive_cell_47	Ntsr1_tdTpositive_cell_50	Ntsr1_tdTpositive_cell_52	Ntsr1_tdTpositive_cell_53	Ntsr1_tdTpositive_cell_54	Ntsr1_tdTpositive_cell_56	Ntsr1_tdTpositive_cell_57	Ntsr1_tdTpositive_cell_58	Ntsr1_tdTpositive_cell_59	Ntsr1_tdTpositive_cell_60	Ntsr1_tdTpositive_cell_61	Ntsr1_tdTpositive_cell_64	Ntsr1_tdTpositive_cell_65	Ntsr1_tdTpositive_cell_67	Ntsr1_tdTpositive_cell_72	Ntsr1_tdTpositive_cell_75	Ntsr1_tdTnegative_cell_1	Ntsr1_tdTnegative_cell_7	Ntsr1_tdTnegative_cell_47	Rbp4_tdTpositive_cell_48	Rbp4_tdTpositive_cell_54	Rbp4_tdTpositive_cell_68	Rbp4_tdTpositive_cell_82	Rbp4_tdTpositive_cell_100	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_163	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_183	Rbp4_tdTpositive_cell_184	Rbp4_tdTpositive_cell_186	Rbp4_tdTpositive_cell_187	Slc17a6_tdTpositive_cell_4	Slc17a6_tdTpositive_cell_10	Slc17a6_tdTpositive_cell_11	Slc17a6_tdTpositive_cell_14	Slc17a6_tdTpositive_cell_21	Slc17a6_tdTpositive_cell_22	Slc17a6_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_30	Slc17a6_tdTpositive_cell_31	Slc17a6_tdTpositive_cell_32	Slc17a6_tdTpositive_cell_35	Slc17a6_tdTpositive_cell_40	Slc17a6_tdTpositive_cell_47	Sst_tdTpositive_cell_13	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_9	CAV_LP_Ipsi_tdTpos_cell_21	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_33	CAV_LP_Ipsi_tdTpos_cell_35	CAV_LP_Ipsi_tdTpos_cell_36	CAV_LP_Ipsi_tdTpos_cell_37	CAV_LP_Ipsi_tdTpos_cell_38	CAV_LP_Ipsi_tdTpos_cell_39	CAV_LP_Ipsi_tdTpos_cell_40	CAV_LP_Ipsi_tdTpos_cell_41	CAV_LP_Ipsi_tdTpos_cell_42	CAV_LP_Ipsi_tdTpos_cell_43	CAV_VISp_Contra_tdTpos_cell_4
Cdh18	0.0	3.12	0.0	0.0	0.0	73.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.18	105.96	3.77	0.0	8.07	28.17	8.19	140.87	81.47	34.22	0.94	83.76	0.0	85.07	21.71	116.47	44.52	55.72	15.1	39.47	213.2	136.16	13.64	54.4	0.0	11.54	51.4	67.24	0.0	0.0	122.71	0.0	0.0	0.49	0.0	21.87	3.76	0.0	0.0	0.86	0.0	26.14	0.66	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.57	0.0	0.11	54.97	57.01	30.61	39.99	44.69	86.78	23.73	69.58	48.21	34.89	26.96	29.22	33.41	92.76	97.25	0.0	193.19	172.92	182.25	1.58	26.43	50.02	122.52	0.0	47.71	119.18	0.0	0.0	16.85	33.26	1.27	0.93
Chgb	179.89	51.27	387.68	1337.22	833.04	321.99	376.39	485.01	834.23	148.37	349.53	241.19	396.04	486.87	134.86	516.34	384.49	92.84	416.94	300.8	865.55	1863.43	1840.26	544.37	789.26	717.81	1809.42	491.23	1476.87	498.17	1312.68	1101.92	1691.21	1593.42	1505.19	908.97	543.34	3183.13	1519.47	893.84	348.32	1371.07	589.39	1848.25	922.43	670.06	1172.64	878.48	1626.95	367.98	253.19	736.48	111.45	103.8	30.4	252.89	301.3	447.33	80.69	179.9	138.9	1463.18	182.75	23.88	160.32	380.25	476.6	234.68	610.59	223.7	838.92	397.11	106.62	311.44	344.31	1426.76	426.76	152.97	289.96	701.38	549.15	558.3	537.93	973.7	1151.65	1274.3	741.63	703.45	1025.32	1080.66	1018.17	1052.23	645.9	712.41	708.37	371.04	537.15	1011.13	633.88	940.45	174.33	422.26	847.99	620.06	340.69	26.37	625.48	1043.9	649.36	74.96	625.96	688.49	997.1	462.81
Crym	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	556.94	0.0	0.0	0.0	0.0	641.46	252.39	1015.38	568.83	968.92	463.5	732.56	493.06	64.99	1218.98	0.18	476.57	381.18	14.08	682.71	902.86	936.19	162.43	494.95	290.06	487.41	820.47	572.53	475.86	666.41	415.86	616.06	635.56	2.19	578.28	1003.74	0.0	0.0	146.48	648.38	682.09	636.96	266.1	796.19	0.32	109.23	278.18	194.07	222.81	91.03	141.87	8.51	129.48	45.54	0.0	872.86	0.0	0.0	0.0	0.0	746.02	0.0	0.0	0.0	517.81	0.0	0.0	457.32	634.66	671.02	785.96	432.99	468.95	742.03	537.19	532.03	405.94	438.96	485.44	446.79	1392.21	346.44	472.94	8.55	502.99	567.76	614.16	693.03	772.26	1263.83	640.63	765.35	217.67	777.0	0.0	322.7	354.01	265.06	1.67
Ctsz	165.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45	0.0	0.0	594.51	0.0	0.0	0.0	222.89	0.44	103.2	0.29	215.04	123.01	89.0	104.61	169.9	0.0	0.0	94.25	193.94	111.08	140.34	0.33	660.55	531.47	296.39	455.04	401.85	425.0	0.0	89.01	134.02	367.34	407.85	115.27	294.52	0.0	189.99	49.58	0.0	0.0	0.0	0.0	115.78	172.35	128.78	89.75	0.0	0.0	0.0	37.95	0.0	94.87	124.04	6.34	0.0	0.0	0.0	260.02	0.0	0.0	0.0	0.0	245.61	0.0	0.0	0.0	210.44	0.0	0.0	152.06	107.12	82.23	75.71	156.1	229.91	154.45	250.71	208.19	268.16	219.04	169.02	168.78	234.01	344.09	373.7	295.68	130.11	228.54	0.18	0.0	173.86	283.94	0.0	166.33	419.03	41.84	0.0	107.26	0.0	18.47	0.0
Ddah1	23.2	0.2	0.11	2.61	0.0	0.0	0.0	60.74	0.0	35.85	0.0	0.0	0.0	0.0	93.22	216.51	0.0	0.0	2.4	0.0	158.28	73.56	378.2	733.0	357.71	199.5	183.8	481.39	292.8	0.07	68.24	72.8	78.67	115.82	172.32	123.54	269.25	13.79	256.83	304.69	311.52	14.56	188.84	133.93	135.39	319.41	608.4	73.68	422.76	171.61	0.58	0.0	0.0	0.36	0.0	0.0	13.82	0.16	0.0	0.0	0.0	63.74	28.03	0.0	11.46	0.0	0.07	0.0	0.0	0.0	457.9	0.0	0.0	0.0	0.0	378.82	0.17	128.0	0.17	501.51	0.0	0.0	365.66	365.64	300.62	254.93	323.76	352.14	394.78	421.15	449.98	219.73	343.88	234.48	243.16	84.89	105.35	91.36	3.0	23.12	256.41	53.26	0.0	197.03	147.1	0.0	538.68	545.69	0.0	0.0	227.46	364.4	0.0	0.14
Dhrs3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	218.73	0.49	0.0	244.71	286.77	10.23	206.55	0.16	0.0	35.79	0.65	0.0	258.17	206.98	0.69	3.27	369.8	60.49	115.8	114.46	398.8	186.92	108.08	184.45	1.02	378.55	123.31	0.36	0.0	0.0	0.0	0.0	0.0	0.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	356.23	0.0	0.0	0.0	0.0	0.0	0.0	20.32	0.0	0.0	0.0	0.0	107.16	122.18	105.85	282.02	86.86	262.32	314.42	343.38	223.71	209.4	359.34	356.08	296.68	0.0	1.26	115.37	0.0	224.69	0.0	0.0	161.29	105.03	0.0	0.23	350.83	295.91	0.0	0.0	86.63	0.0	0.0	0.0
Diras2	36.69	5.65	0.29	7.41	5.9	3.8	0.7	17.27	32.79	12.29	0.14	48.79	6.14	0.39	0.0	55.1	0.16	0.28	0.91	0.0	39.26	23.41	26.69	31.87	27.42	54.14	65.01	6.47	32.62	8.07	89.77	22.08	22.89	32.81	10.28	26.52	23.39	6.51	69.89	22.99	35.47	42.71	4.55	47.99	42.1	18.16	47.22	27.85	39.49	29.61	18.13	11.96	0.0	3.1	42.69	11.19	1.83	0.15	14.02	28.5	16.56	53.74	7.54	16.95	6.63	7.19	3.96	0.17	0.0	0.14	104.76	0.0	8.52	5.93	2.52	11.93	7.82	119.07	0.98	14.13	0.0	0.22	31.61	27.47	23.6	35.04	32.57	38.91	28.71	45.36	42.89	33.18	55.35	53.06	59.52	26.34	65.49	30.36	8.45	6.13	172.03	89.84	0.0	53.27	13.07	17.97	77.64	79.8	125.6	15.25	40.9	25.48	0.0	8.88
Efhd2	128.69	13.94	56.09	113.92	125.6	149.72	26.34	76.56	0.0	26.88	55.04	0.0	48.38	0.0	37.74	238.21	0.21	8.88	140.11	0.0	193.7	238.48	346.24	69.49	167.19	36.73	218.97	310.28	98.49	0.0	288.06	67.68	277.89	132.85	227.66	169.7	200.64	169.23	40.19	207.13	69.11	34.26	122.88	142.91	112.19	298.54	348.45	281.87	47.14	190.57	236.87	40.48	32.02	86.68	0.0	11.8	187.42	0.0	50.85	48.92	55.81	154.91	61.85	18.41	61.66	76.43	55.73	41.73	10.77	144.12	210.71	8.14	4.7	2.28	19.73	26.97	49.39	15.26	18.89	143.08	0.0	0.26	142.54	120.52	210.44	172.65	192.31	183.35	153.76	164.31	142.85	142.89	130.74	108.17	112.36	146.29	84.79	38.34	103.35	0.74	187.94	7.99	214.02	7.54	120.58	13.33	9.78	28.18	39.09	0.0	218.88	63.07	221.31	13.07
Efr3a	6.4	34.11	13.14	0.0	18.04	0.0	94.88	0.0	0.1	22.12	54.1	20.63	26.2	0.0	0.0	14.45	103.08	5.77	0.0	1.7	38.52	166.07	89.76	101.63	178.8	120.72	163.2	107.71	118.15	44.04	62.05	72.26	92.15	131.25	47.88	78.68	123.25	179.46	41.83	77.81	126.62	101.86	271.09	173.79	158.5	127.08	179.91	114.78	162.86	92.71	159.08	85.49	85.3	18.8	71.6	52.6	171.92	221.57	87.5	3.37	5.15	2.07	67.25	79.03	0.71	34.42	65.03	50.6	0.0	41.59	118.62	0.0	42.65	0.23	0.0	167.09	49.71	0.0	0.13	79.99	0.0	51.93	82.05	92.77	104.31	92.14	96.42	42.56	86.26	63.67	57.39	48.43	94.69	75.63	77.85	11.6	211.69	79.53	83.17	286.33	27.95	137.71	149.79	147.93	17.71	4.74	65.07	124.54	44.2	265.44	72.28	82.33	205.35	55.86
Emb	0.0	0.14	59.23	0.0	179.36	0.0	103.75	0.0	0.0	93.2	59.44	27.43	0.0	0.0	0.0	29.56	0.0	0.0	67.1	0.0	225.27	164.26	164.42	3.02	0.87	112.01	68.12	43.28	0.0	0.0	4.2	104.91	79.74	138.26	8.85	114.41	17.02	208.46	95.11	117.12	208.33	67.23	171.48	453.25	155.52	106.19	288.34	158.58	147.44	80.27	16.59	0.0	0.0	0.0	3.76	0.0	22.07	0.0	32.48	7.81	0.0	2.81	30.74	5.85	3.81	0.0	57.21	13.79	0.3	0.0	134.71	0.0	0.0	35.98	21.02	278.73	0.0	0.28	0.76	228.66	0.0	0.0	62.06	116.43	76.78	106.8	118.77	89.2	92.87	62.94	90.37	73.11	85.08	60.17	81.66	137.08	0.2	269.21	149.19	298.59	0.0	5.68	40.16	263.13	0.0	9.98	0.0	2.65	121.49	0.0	95.18	2.56	0.0	0.0
