	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_42	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_57	Cux2_tdTnegative_cell_13	Gad2_tdTpositive_cell_16	Gad2_tdTpositive_cell_30	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_14	Rbp4_tdTpositive_cell_174	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80
Atpif1	1091.39	892.83	2363.33	1711.35	2731.91	1547.48	0.0	0.0	11.24	714.72	1407.46	1254.61	1038.75	1225.61	882.08	772.88	1244.53	1009.69	1012.17	1092.29	1211.27	1282.7	1078.86	1281.85	1178.41	671.07	657.83	3.16	133.36	1550.91	1205.36	1121.69	1756.72	1272.14
BC002163	289.01	394.32	650.57	400.42	550.83	599.45	0.0	0.0	0.0	341.99	134.25	298.09	273.53	361.29	293.13	231.64	214.69	478.47	511.34	288.5	233.71	429.36	240.7	396.26	322.45	126.67	229.94	0.0	2.74	191.26	428.72	461.24	505.25	436.32
Bola2	69.21	133.67	72.18	353.23	411.08	472.55	0.0	0.0	0.0	178.0	100.64	82.78	34.27	88.93	73.27	70.87	164.03	215.95	216.97	57.11	137.67	126.0	144.81	84.71	215.24	93.89	100.57	0.0	0.0	27.15	59.39	64.28	194.6	122.75
Ccdc28a	32.22	13.29	91.15	153.24	121.9	0.0	0.0	0.0	0.0	0.0	46.09	71.83	0.0	55.83	30.42	0.0	78.3	53.82	24.02	73.96	9.79	111.42	0.0	42.22	96.79	45.18	0.87	0.0	0.0	47.58	15.56	43.14	78.88	32.48
Ccdc72	262.68	289.69	709.17	1003.29	1278.46	1069.89	480.04	0.0	0.0	416.84	427.88	540.36	236.25	487.84	577.46	363.17	209.87	744.54	401.49	690.94	714.98	401.42	479.24	435.26	466.21	504.96	405.59	0.0	132.94	477.63	398.4	549.73	474.73	687.02
Copg	215.05	383.52	579.76	514.31	592.37	992.72	0.0	0.0	0.11	360.79	304.5	208.52	160.12	212.4	344.97	203.81	624.54	291.78	338.28	428.86	525.05	338.27	498.73	545.15	449.27	552.6	193.27	0.19	1.55	191.54	195.06	262.84	560.38	467.78
Cops6	305.3	295.84	513.52	670.98	455.63	1089.8	0.0	0.0	0.0	508.23	494.05	167.25	270.67	512.22	393.46	446.67	440.28	432.53	555.16	413.9	473.47	368.82	376.93	223.66	368.64	385.03	324.61	0.0	2.25	601.57	354.29	455.14	563.32	414.62
D8Ertd738e	156.74	404.55	547.0	330.89	681.07	1065.27	23.1	0.0	1.5	293.1	285.17	117.68	254.93	353.33	335.11	256.14	329.34	195.48	241.78	238.36	185.51	243.71	118.13	210.1	348.11	352.96	271.73	0.0	0.0	353.5	110.29	281.98	425.93	328.1
Dcakd	40.1	1.62	146.94	56.3	353.79	232.81	0.0	0.0	0.0	14.86	42.21	93.22	85.8	0.0	24.92	0.0	30.27	48.78	41.58	45.55	0.0	98.96	0.0	37.77	0.0	0.0	114.92	0.0	0.0	6.43	27.42	45.2	58.75	39.14
Dpcd	45.95	83.23	191.36	208.02	257.32	364.03	0.0	0.0	0.0	45.29	103.08	70.12	67.98	184.78	73.08	117.81	79.11	191.3	35.38	92.8	96.37	38.33	49.65	138.19	131.18	143.48	23.69	0.0	0.0	140.32	86.81	14.87	56.44	127.53
Eif3k	525.63	554.56	1225.92	905.17	1209.34	690.65	0.0	0.0	0.63	517.34	473.09	434.53	595.34	426.47	220.49	387.17	576.76	240.76	610.22	530.06	640.36	306.6	545.62	438.83	306.38	132.89	225.76	0.0	1.63	362.06	251.81	229.18	419.95	511.74
Fam103a1	204.23	229.17	509.15	396.62	405.4	764.04	0.0	0.0	0.33	210.03	283.04	269.49	123.74	331.22	121.09	370.74	202.35	111.6	292.53	155.96	168.66	362.89	347.22	217.37	276.56	132.01	366.85	0.0	4.27	269.54	234.45	223.92	474.49	381.39
Hint1	834.94	952.99	1221.79	2186.98	1642.27	931.31	610.92	450.27	0.87	786.24	1161.37	1194.42	1202.61	1078.01	1582.48	1044.14	749.02	1521.88	1575.04	1126.41	1893.56	1304.68	963.31	1163.44	1018.05	768.07	1178.12	905.55	2.25	1277.28	1131.07	1106.52	1862.69	1302.23
Lysmd4	25.79	5.56	20.09	23.99	47.22	37.04	0.0	0.0	0.0	0.0	0.03	68.8	2.07	4.43	27.1	4.08	7.03	7.34	0.0	0.0	0.0	6.16	0.0	0.0	0.49	10.56	7.44	0.0	0.0	0.0	7.68	2.93	14.28	7.78
Med31	0.0	38.83	169.77	52.05	259.51	163.78	0.0	0.0	0.0	38.39	32.13	0.0	94.06	0.0	80.45	23.35	53.2	24.27	55.58	69.55	67.42	33.01	35.35	16.52	25.67	136.89	1.53	0.0	0.0	51.87	0.0	74.32	35.16	60.6
Mif	1052.05	1355.74	2804.47	1702.3	2128.37	2827.33	1.34	532.28	0.0	1480.59	1253.32	1293.19	1069.67	1203.35	933.27	1429.06	1125.44	1145.81	1797.72	1059.59	1510.29	780.67	1007.28	1008.4	1165.66	1506.56	1029.93	1.53	7.05	1254.44	1574.69	1243.92	1560.01	1482.44
Mrpl30	400.51	193.22	354.68	912.05	1209.59	726.19	0.0	0.0	0.71	203.34	587.82	179.87	185.63	185.78	183.76	339.74	453.06	346.24	162.86	509.62	216.89	273.03	89.32	69.15	230.87	352.59	196.3	0.0	3.68	186.97	43.51	293.11	460.09	337.88
Mrps21	343.99	202.54	397.11	958.55	1813.8	494.5	0.0	0.0	1.29	299.76	251.25	130.56	289.11	302.76	220.56	208.61	206.91	111.76	281.29	264.73	170.07	433.67	325.12	298.99	256.47	429.86	173.21	413.64	0.0	183.25	145.0	227.26	504.15	386.98
Ndufa7	715.54	624.96	880.35	1960.89	1841.5	1664.71	286.42	0.0	0.0	477.7	168.71	431.33	432.59	409.25	389.29	500.94	657.72	748.86	542.72	564.45	1477.79	676.33	541.51	760.25	642.1	515.49	513.14	539.56	2.75	441.9	326.9	964.11	964.86	998.22
Ndufa8	636.15	454.55	819.29	1020.35	1400.85	566.35	0.0	0.0	0.0	460.27	374.98	340.06	276.86	497.01	506.89	422.25	247.16	349.7	331.97	450.6	116.13	629.36	109.57	612.05	109.61	375.71	344.91	445.57	37.68	217.44	414.33	811.28	617.96	746.88
Ndufaf3	65.18	39.13	267.5	140.21	380.34	256.11	0.0	0.0	0.0	32.12	86.2	98.53	51.9	60.71	60.39	33.77	97.72	76.95	76.42	38.36	90.93	0.0	82.74	29.11	51.59	97.9	77.34	0.0	1.16	56.15	29.52	91.96	32.88	148.57
Ndufv3	431.62	499.46	1452.56	1107.82	1267.38	1039.51	0.0	0.0	126.81	263.38	424.41	350.49	111.26	350.03	238.92	396.74	427.67	486.78	384.97	439.24	867.58	570.23	240.25	256.99	321.52	254.54	336.44	0.0	13.59	551.17	326.39	451.5	449.35	463.06
Npy	138375.8	173305.25	0.0	40775.82	1.6	1.46	0.0	0.0	10.18	132042.44	149629.49	134232.96	130357.56	132052.33	122154.33	126501.28	130527.91	173863.58	166048.87	191162.16	154857.31	124150.07	134158.33	153405.37	147732.76	141010.39	151963.58	0.0	0.0	145032.54	180453.32	137945.15	95298.15	137580.94
Park7	568.4	621.42	1483.0	1060.62	1372.86	2130.98	0.0	0.0	1.07	757.38	796.59	822.9	458.55	577.3	528.26	633.85	579.91	685.7	1051.1	328.63	944.12	568.17	709.68	1084.76	368.19	485.77	839.04	0.0	77.61	985.04	922.87	798.02	822.15	1082.34
Prkrip1	31.01	17.2	32.38	52.47	169.7	183.12	0.0	0.0	0.0	18.68	0.44	80.7	33.47	0.0	12.67	14.15	0.0	12.5	44.14	0.0	14.57	22.66	13.05	37.83	17.02	0.0	19.68	0.0	1.46	1.23	0.98	52.59	47.11	20.31
Psma7	338.58	454.68	557.55	705.9	1336.84	1313.25	0.0	1.44	0.55	845.08	660.8	594.32	518.26	298.75	387.47	617.37	295.54	417.68	433.73	211.67	296.51	538.44	504.12	298.68	296.41	504.38	288.28	1.85	8.61	620.86	239.99	363.7	129.22	516.53
Psmb2	214.27	472.9	618.54	1237.87	1547.94	1623.72	933.87	0.0	0.57	251.62	430.61	403.47	644.97	484.23	421.17	408.69	626.51	229.88	266.04	485.53	450.94	665.57	509.66	645.81	118.9	562.14	222.28	2.51	0.0	468.43	403.75	732.82	606.23	512.91
Psmb5	176.38	349.65	364.34	356.37	876.25	959.07	0.0	0.0	1.67	341.04	441.43	255.62	265.21	58.17	312.96	389.82	346.27	509.06	414.87	6.94	0.85	328.85	344.47	233.45	339.81	280.84	92.73	0.0	21.52	300.45	368.27	230.66	447.05	349.01
Psmc2	224.59	335.61	357.82	296.11	606.26	210.37	0.0	8.93	0.0	335.53	301.05	132.22	347.97	246.33	329.12	224.99	140.09	240.22	227.75	190.79	108.19	156.69	233.62	125.74	328.62	59.02	252.62	0.0	10.59	235.36	248.85	161.24	324.25	199.9
Rpl18a	548.97	574.66	664.65	1041.18	745.21	1179.85	295.72	5.76	0.37	529.71	498.37	507.41	348.69	476.49	461.84	348.7	489.83	395.6	459.94	513.66	424.05	553.27	546.12	473.5	475.89	448.44	268.57	247.02	327.35	389.91	485.53	522.02	797.0	755.82
Rpl26	190.78	222.13	299.17	355.98	257.69	435.85	0.0	0.0	0.0	143.31	259.36	66.01	141.71	194.54	180.46	68.96	49.22	42.3	150.98	153.92	380.84	260.18	248.52	130.11	124.35	92.57	104.99	0.0	50.73	121.91	62.78	103.49	284.47	193.87
Rpl27	229.67	329.33	402.15	587.54	837.75	342.19	0.0	276.76	0.0	184.17	311.99	367.53	197.52	404.73	214.07	117.18	246.58	168.22	534.13	261.43	532.2	239.43	223.13	389.57	293.72	223.54	251.67	197.99	45.87	211.61	373.41	403.09	419.49	322.64
Rpl28	372.78	379.5	610.65	970.67	809.39	708.08	107.57	372.98	1.03	432.35	344.58	518.0	253.91	325.03	402.68	284.83	236.52	382.19	281.79	271.51	478.1	665.43	348.07	363.02	216.63	446.3	322.18	256.83	135.77	537.39	332.3	383.72	544.47	436.77
Rpl32	1046.39	1133.14	780.19	1330.59	956.74	1264.05	0.0	249.51	0.0	560.48	715.48	738.6	729.79	784.37	783.73	533.26	654.28	771.58	883.64	901.24	1033.46	792.29	589.85	1096.97	724.44	844.6	497.04	0.0	389.56	713.26	888.15	504.1	1093.02	896.38
Rpl34-ps1	526.89	829.89	673.45	1210.22	537.47	655.62	694.58	0.0	0.0	277.04	475.31	205.89	556.08	515.16	191.58	304.49	463.84	413.44	373.77	414.69	624.12	496.32	122.49	389.65	681.99	447.53	350.96	0.0	0.0	245.97	383.44	402.99	431.52	444.99
Rpl35	623.86	1141.42	1527.93	1554.01	1156.08	1097.83	13.48	0.0	1.14	638.92	562.58	694.33	472.05	900.84	565.11	554.49	482.96	528.88	581.71	527.29	975.26	914.5	649.83	611.15	652.52	495.59	531.4	297.04	645.11	684.35	626.29	841.59	987.98	756.94
Rpl38	508.89	799.69	1082.46	1216.62	1404.86	1945.7	354.21	0.0	1.53	506.34	441.37	605.82	469.85	578.1	452.33	297.74	545.47	366.68	536.61	464.11	544.93	535.91	450.31	612.35	424.53	527.54	546.84	0.0	456.87	558.67	491.98	510.01	791.98	523.68
Rpl41	1489.53	1199.3	2119.2	2966.12	2700.45	3017.09	814.78	554.01	1685.68	1291.32	1363.45	1404.66	1353.4	899.61	1351.82	1616.83	1561.07	1426.22	1296.8	1252.29	2221.23	1429.8	1285.75	1305.98	1176.61	1592.12	965.92	1121.48	667.69	978.52	1143.65	1257.93	2178.36	1238.67
Rplp1	710.97	608.71	682.15	965.64	1655.42	809.91	467.8	14.44	1.1	365.44	537.04	525.19	342.15	562.15	504.98	496.96	614.3	650.75	534.83	416.25	363.62	433.57	552.03	520.82	765.53	409.05	433.39	153.85	91.0	195.65	284.45	328.43	688.34	673.66
Rps12	127.85	141.65	94.93	273.55	478.08	855.19	0.0	0.0	0.0	156.94	230.59	98.94	226.98	202.17	130.56	174.62	69.49	171.08	221.51	145.17	368.99	368.27	96.28	83.91	102.58	113.41	117.18	0.0	0.0	132.92	92.98	103.87	346.72	256.83
Rps15	334.4	487.84	690.41	789.2	748.3	971.14	1.43	0.0	0.0	486.94	411.75	372.98	274.07	701.84	401.79	411.24	272.74	481.5	276.22	445.29	540.1	269.27	317.58	472.76	343.43	217.32	298.58	25.84	62.83	451.18	387.01	501.35	539.11	451.95
Rps17	212.0	594.9	620.76	1300.13	936.14	729.59	0.0	0.0	1.08	281.67	368.93	507.64	203.81	619.91	318.75	211.17	191.42	438.56	232.05	390.04	147.1	520.14	299.57	653.82	484.85	457.39	411.93	0.0	254.86	281.01	322.7	380.81	339.21	522.2
Rps18	1012.34	760.86	1776.28	1678.4	1330.92	1391.13	0.0	0.0	0.0	731.55	786.79	475.47	309.79	951.72	396.46	411.18	672.9	591.84	890.2	756.03	1168.91	862.34	596.08	678.37	865.3	505.77	812.32	152.86	548.0	639.17	670.78	545.12	1202.21	793.78
Rps27	626.85	726.3	1597.11	1555.03	1174.61	1073.68	0.0	0.0	728.08	327.4	503.62	116.91	327.99	303.48	547.78	18.08	550.67	0.0	631.36	634.57	1151.62	963.9	204.16	0.0	1142.33	267.86	241.49	0.0	0.0	560.79	447.92	250.77	750.49	324.01
Rps28	631.77	598.99	443.47	767.43	1002.39	735.45	0.0	518.55	1.67	346.85	454.04	371.74	317.72	440.88	294.51	301.99	551.33	426.67	671.7	205.59	409.87	379.97	378.51	432.53	372.97	469.19	396.31	0.0	0.0	374.18	252.2	484.15	620.24	578.6
Rps29	774.14	736.59	668.47	1096.2	1706.26	1222.8	79.99	131.9	36.6	471.51	804.54	682.45	566.69	526.11	550.98	508.85	488.31	525.08	507.36	557.4	940.48	625.1	528.55	725.04	648.93	597.24	474.95	235.7	7.02	291.39	556.6	472.1	713.31	647.16
Rps3	409.84	414.72	589.7	589.75	860.05	963.49	0.0	0.66	1.52	290.5	497.97	425.03	430.84	451.91	258.33	319.85	396.51	367.87	328.6	515.1	729.51	391.51	339.47	581.48	492.52	310.88	253.56	104.66	1.95	394.4	696.01	542.6	513.39	527.49
Rps6	825.25	545.69	911.26	846.71	1177.6	848.53	0.5	0.0	0.34	453.11	632.03	561.39	461.05	699.67	400.02	333.7	616.99	411.84	734.99	359.97	1014.51	983.8	522.76	508.1	489.57	777.77	356.23	0.57	3.49	825.75	732.19	707.32	617.17	595.54
Sdr39u1	217.55	282.27	303.25	575.99	315.05	96.52	0.0	0.0	0.0	212.75	218.89	162.03	309.95	201.57	100.56	117.96	205.12	69.95	0.0	260.89	147.72	85.77	138.3	127.72	259.49	61.84	138.05	0.0	2.0	239.41	69.92	214.27	178.94	276.78
Shfm1	512.77	171.13	1686.53	767.87	1206.24	743.31	1.53	0.0	0.0	245.47	331.4	331.89	291.76	369.35	233.21	164.14	421.95	452.45	274.44	315.8	176.96	413.21	329.0	310.09	244.35	342.88	240.1	0.0	0.0	587.53	337.94	168.25	698.7	385.58
Snrpd2	404.44	257.68	713.63	420.12	1161.24	594.64	0.0	0.0	0.0	244.22	268.04	229.48	151.4	176.88	72.02	159.25	203.47	126.37	343.73	195.74	330.18	197.75	105.37	161.18	131.68	212.13	138.86	0.0	0.0	286.35	227.04	168.92	294.81	73.37
Tmem91	185.25	70.32	571.8	269.05	778.25	153.06	0.0	0.0	1.1	195.56	187.63	129.32	171.55	84.87	185.51	150.13	52.86	155.35	183.95	65.44	327.46	109.76	87.09	144.6	78.31	159.36	121.23	0.0	0.0	260.78	46.6	162.03	269.24	172.36
Trmt112	90.79	121.42	149.15	309.74	407.66	450.39	0.0	0.0	0.0	175.1	192.12	118.1	151.86	36.69	97.15	60.61	92.44	102.82	316.82	72.8	201.83	139.5	243.27	117.65	158.66	90.75	111.37	0.0	66.58	74.59	205.53	101.97	85.09	176.22
Uba52	715.92	675.2	1365.01	1347.78	1698.39	1635.46	0.0	453.43	1.03	616.62	678.39	620.9	335.16	721.12	678.81	651.86	710.96	799.15	716.39	957.84	704.05	1004.87	737.72	381.69	1045.51	343.58	355.27	787.91	26.74	833.05	870.69	815.04	989.32	656.68
Uqcrh	1112.96	862.18	959.84	1528.39	1778.42	2405.5	1.36	48.52	133.16	740.29	980.45	906.94	831.44	548.53	809.88	619.02	614.38	752.09	897.26	820.51	1497.83	871.79	706.88	1106.8	863.8	889.22	749.93	4.67	19.12	560.44	623.75	859.64	998.91	881.71
Vps25	0.0	62.34	390.24	323.09	328.11	604.19	0.0	0.0	0.45	16.95	52.69	0.23	110.43	0.0	44.08	7.07	52.68	43.18	75.8	0.0	0.0	158.69	43.5	59.29	59.52	65.53	29.21	8.29	1.16	64.48	0.0	10.5	63.68	114.96
