	Gad2_tdTpositive_cell_55	Gad2_tdTpositive_cell_74	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_2	PvalbF.Gad2_tdTpositive_cell_4	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_9	PvalbF.Gad2_tdTpositive_cell_10	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_24	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51
Ndufa6	991.2	988.18	784.54	1302.75	971.52	1215.68	779.86	1200.64	1085.83	1128.68	1256.46	2418.45	1510.06	1328.64	2049.23	2096.48	1506.15	1733.92	1998.0	844.92	1624.62	1199.04
Ndufb3	544.61	194.01	1353.21	958.18	351.17	500.23	447.11	210.69	384.55	533.06	625.1	659.72	871.3	471.56	1118.01	489.78	441.75	980.62	1087.63	599.0	690.75	829.03
Ndufb5	780.4	1111.14	1556.98	1450.91	1077.05	906.72	1348.47	1158.86	756.94	1435.47	1871.88	1313.37	1616.38	1055.35	2030.38	1456.94	1032.22	975.38	1276.84	699.73	1029.66	1187.23
Ndufb6	577.83	124.27	1301.53	931.58	606.67	572.96	735.8	629.45	675.29	821.51	749.18	1301.17	851.78	1005.77	778.4	903.85	941.71	780.55	1098.77	864.29	1013.02	493.2
Ndufb8	2252.2	1023.04	2876.73	3583.62	2288.81	2396.78	2085.86	1552.73	2428.95	2977.69	2624.5	3104.21	3260.5	2178.66	4492.97	2887.38	2814.89	3297.51	2921.87	1878.46	3180.37	2800.63
Ndufb9	1249.21	1636.91	1987.48	2455.92	1780.3	1468.09	1342.25	1896.69	1730.66	2215.32	1584.63	2584.13	1400.57	1865.89	2334.57	1874.05	1291.04	1254.54	2280.56	1648.66	1996.96	1688.05
Ndufc2	658.12	358.89	1244.38	869.53	992.59	737.85	821.24	1274.13	1244.16	1548.2	1026.28	1548.55	1249.67	870.44	1058.59	1288.83	747.77	778.42	1186.65	1157.39	1015.34	1063.3
Ndufv3	382.45	577.89	627.08	888.67	672.82	326.22	473.18	908.93	561.71	769.08	508.73	1330.88	680.16	638.12	1060.19	745.54	768.39	819.08	508.48	594.48	797.26	461.15
Nop10	305.89	179.45	942.22	574.55	449.53	483.06	651.68	580.97	548.04	670.77	723.34	922.83	686.89	542.92	927.92	638.55	411.82	684.63	753.99	478.29	439.96	618.71
Pam16	200.77	18.11	69.51	329.17	181.79	87.17	219.65	267.11	283.41	335.98	102.89	798.59	244.08	114.62	579.32	270.99	106.0	218.41	240.16	269.81	238.88	293.56
Rpl27	223.24	198.39	527.42	593.56	244.99	467.74	354.99	338.21	538.09	440.69	400.75	588.27	347.06	310.14	656.16	554.17	368.55	459.71	504.53	230.83	392.87	266.49
Rpl36	350.86	451.48	527.74	468.23	372.45	370.34	333.0	538.77	455.64	468.24	522.6	612.62	683.56	363.42	618.26	510.64	436.48	585.56	490.5	685.72	469.77	321.6
Rpl36al	200.18	90.97	426.44	404.13	371.09	482.61	239.13	132.61	459.49	184.2	402.07	561.4	625.12	241.73	340.58	618.75	229.99	652.47	546.16	408.52	435.22	275.26
Rpl37a	256.21	164.12	391.17	361.69	205.94	255.78	192.78	344.39	445.04	431.14	341.84	724.18	499.56	342.0	453.74	412.02	206.45	394.34	391.47	416.13	344.58	349.58
Rps16	311.52	138.31	467.46	364.99	307.11	301.55	397.66	240.53	325.29	776.55	277.19	854.06	782.99	320.41	364.02	474.57	246.59	429.12	405.2	413.08	721.36	287.84
Rps17	188.37	274.77	823.05	408.66	368.52	364.07	380.95	485.06	500.87	822.68	604.82	865.37	466.95	479.64	1209.2	766.68	323.13	849.7	1081.82	449.22	658.4	193.35
Rps28	199.54	390.04	753.94	423.42	224.73	215.65	346.22	410.49	395.37	309.15	373.62	941.6	620.44	410.39	672.38	408.92	349.37	453.6	385.83	504.22	261.13	276.79
Sec61g	187.61	150.86	304.5	333.36	120.08	158.04	173.31	105.3	219.28	261.04	305.2	812.72	340.84	157.81	387.81	379.65	266.8	212.71	294.07	166.67	217.22	231.96
Shfm1	246.09	283.56	452.16	348.52	286.12	551.33	594.81	293.76	379.54	478.5	659.76	807.24	840.32	592.61	1159.42	536.12	450.21	763.64	676.54	488.03	351.11	392.7
Tceb2	537.42	458.42	1112.08	1112.0	765.67	532.86	654.33	873.93	608.91	1017.46	722.94	1516.58	1268.32	1159.14	1500.43	2191.89	643.77	1021.05	1989.54	477.6	744.11	816.21
Timm17a	770.51	285.8	1002.5	1148.96	786.33	1019.32	857.5	698.39	714.83	665.65	391.18	1010.93	1174.12	1075.73	785.71	824.7	715.09	591.85	1250.46	833.12	801.85	593.1
Tomm6	141.12	55.02	356.2	290.62	144.36	224.89	222.92	233.71	177.29	218.31	204.63	701.31	320.38	411.29	345.53	308.8	177.07	307.61	248.81	307.82	299.43	159.35
Uqcr10	1043.41	534.77	1544.15	1493.81	1067.21	1333.97	1170.37	1690.18	1223.51	2293.3	1371.74	2509.84	2677.33	1315.6	1572.19	2296.71	1668.51	1394.06	2015.65	1288.07	1328.37	1539.98
Uqcrh	1712.57	1095.71	2905.85	1970.83	1897.36	2310.11	2135.01	1591.17	1622.2	2143.74	2353.13	4070.67	3141.71	1985.95	2565.22	2886.6	1626.48	2292.13	3343.48	2414.65	1950.72	2264.01
Uqcrq	1277.16	842.03	2724.77	2207.31	1429.17	1806.15	1461.81	1307.77	1725.59	1949.06	2323.04	3229.33	2421.3	1430.88	2750.75	3295.29	1912.81	2482.7	3161.33	1797.28	2398.19	1821.13
mt_AK131587	535.05	348.65	741.25	705.35	667.57	709.63	1143.85	594.39	645.21	693.24	878.62	1334.1	1773.45	1036.68	1626.09	966.42	835.82	944.57	1463.49	973.84	594.52	609.97
mt_AK167184	484.16	302.94	582.52	813.99	515.42	472.63	612.45	641.7	692.26	539.16	566.8	836.12	1320.61	475.25	927.58	734.13	483.86	483.46	766.02	748.97	740.69	490.8
