	Ctgf_tdTpositive_cell_7	Ctgf_tdTpositive_cell_8	Ctgf_tdTpositive_cell_10	Nkx2.1_tdTpositive_cell_19	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_73	Nr5a1_tdTpositive_cell_21	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_5	Ntsr1_tdTnegative_cell_10	Ntsr1_tdTnegative_cell_56	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_31	PvalbF.Gad2_tdTpositive_cell_33	PvalbF.Gad2_tdTpositive_cell_35	PvalbF.Gad2_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_88	PvalbF.Gad2_tdTpositive_cell_89	PvalbF.Gad2_tdTpositive_cell_90	PvalbF.Gad2_tdTpositive_cell_91	PvalbF.Gad2_tdTpositive_cell_92	Rbp4_tdTpositive_cell_174	Rbp4_tdTnegative_cell_12	Rbp4_tdTnegative_cell_21	Rbp4_tdTnegative_cell_22
mt_AK131588	170.11	4091.8	2113.1	69.56	5045.18	6506.78	3636.4	3718.03	8191.88	0.0	1710.14	5743.63	3162.45	1063.26	2069.56	1369.64	2049.73	5179.24	4303.19	3048.04	6720.43	4205.12	5320.98	1757.24	3450.75	214.45
mt_AK131866	1351.6	4988.0	4352.0	4909.56	10981.38	7073.32	6720.08	6534.52	13378.95	2671.2	2144.12	9633.27	9529.06	5085.24	8705.53	6476.53	7375.78	10475.6	8968.75	6973.58	7823.22	7333.83	6708.39	4227.86	5541.56	3938.71
mt_AK132015	2188.6	2463.02	3952.67	4750.49	11869.87	6129.44	6636.2	5183.26	12410.34	2385.61	1236.76	4761.71	9933.94	4157.77	10889.61	6360.73	6412.84	9572.18	6997.29	7992.08	5727.1	5989.85	5861.73	2736.29	2345.3	4291.04
mt_AK132098	2188.6	2463.02	3952.67	4750.49	11869.87	6129.44	6636.2	5183.26	12410.34	2385.61	1236.76	4761.71	9933.94	4157.77	10889.61	6360.73	6412.84	9572.18	6997.29	7992.08	5727.1	5989.85	5861.73	2736.29	2345.3	4291.04
mt_AK138272	310.78	274.15	642.12	354.36	1411.74	1424.98	878.82	477.01	1835.07	287.6	136.17	970.51	1298.13	677.01	1026.64	560.76	706.04	506.1	756.79	903.96	314.33	857.65	1262.73	588.36	272.83	0.0
mt_AK138995	260.16	1211.64	1225.4	939.33	2014.05	1159.05	1112.84	1384.59	3119.18	145.7	75.78	553.08	1835.41	814.22	1279.97	1085.53	1304.54	863.32	973.7	1264.46	1054.29	993.68	3109.77	256.6	483.19	1200.62
mt_AK139029	0.0	3370.09	3142.45	2282.36	4524.53	4260.06	4229.62	2443.16	4138.01	1954.83	1746.46	497.4	4605.67	1777.16	3955.28	2274.34	3080.68	3807.7	2224.22	4635.83	4088.33	4989.09	4412.05	1753.4	1029.37	3180.97
mt_AK140265	3104.89	6723.34	3391.9	6798.14	11204.42	15757.24	10167.62	8109.23	16103.86	2965.38	2779.52	11883.0	18285.22	10074.32	13642.02	14320.55	13558.45	3040.68	2027.09	3211.98	2955.76	3113.58	10954.06	3692.85	2249.57	2770.62
mt_AK141672	78.69	328.17	322.79	223.85	718.75	676.41	515.77	384.56	1012.29	254.94	180.1	722.97	848.45	370.02	628.61	491.87	596.43	351.23	155.11	397.15	363.23	462.82	611.29	173.52	133.54	256.13
mt_AK141702	7776.86	9536.36	4121.22	3432.7	17697.18	12088.49	10769.96	9005.29	19571.14	3236.03	2852.44	10551.51	16893.51	7647.64	12065.1	8795.94	10640.49	12145.84	10380.86	13803.28	11205.34	9786.7	10282.89	1507.07	3958.03	1487.35
mt_AK142726	0.0	1965.57	11.56	602.54	1830.46	323.4	2603.5	2460.93	4648.28	0.0	252.0	2.47	3044.08	870.68	1364.31	1926.56	1538.55	0.0	1414.43	1103.56	889.41	267.8	641.88	413.85	288.09	0.0
mt_AK142736	2147.01	3753.73	1782.78	5244.26	7897.7	9310.48	6153.74	5647.23	13837.49	1568.45	1706.09	7267.01	11295.75	6239.55	9501.73	9000.57	8688.9	5148.97	2861.69	4568.62	3569.26	4191.91	5400.26	2401.0	1183.92	3433.9
mt_AK142750	820.41	1582.54	2051.53	2259.05	4346.89	3923.24	2361.51	2888.78	7134.4	1830.32	30.57	749.93	4816.46	1384.23	2565.77	3357.09	2925.06	590.96	211.07	2657.97	442.32	807.81	1357.89	0.0	1676.53	1672.83
mt_AK142751	852.81	1094.21	443.05	1890.81	3949.31	2227.06	2639.92	2116.23	1839.29	2037.1	835.78	3950.39	2961.48	2312.6	2197.47	2504.26	2571.2	3093.93	2283.38	2818.26	2095.82	2091.29	4342.74	45.29	408.85	0.0
mt_AK144853	1877.08	0.0	2323.32	2447.68	2796.77	3188.9	2804.27	2161.94	3536.4	502.11	582.1	3982.6	3465.77	2122.03	3989.68	1860.08	2488.11	4172.57	3007.53	2924.98	4708.35	3249.97	1599.42	1635.53	1728.04	0.0
mt_AK154943	121.84	155.86	165.33	469.91	1130.09	695.95	607.82	532.71	1242.47	214.26	81.7	891.98	1027.86	446.61	737.01	520.98	657.08	526.9	388.16	544.5	445.73	645.31	278.21	97.63	675.98	107.53
mt_AK159262	0.0	1420.48	955.02	2934.59	6434.68	2194.02	3223.66	2148.72	3038.71	4481.15	268.57	4442.53	7595.02	3732.75	3899.86	3447.49	5322.17	3509.81	3522.95	3358.15	3136.71	4088.6	3089.12	781.94	1033.02	1047.51
mt_AK162500	6229.01	7487.15	4821.84	8637.55	18017.62	16972.65	15862.29	13510.06	31266.91	6934.25	2462.44	20312.88	18115.72	9254.81	13178.06	12142.02	13163.08	9688.78	9864.39	7506.44	5998.5	9104.33	16571.2	7264.97	4200.23	5871.26
mt_AK163440	5030.35	2304.73	4524.0	3868.16	10342.78	8550.15	7445.73	5482.9	13495.59	2038.1	1403.37	6557.74	9855.03	4634.31	5459.26	4388.54	7296.27	5262.3	4419.49	4252.88	3846.93	3461.43	7693.2	1091.97	4230.51	6787.8
mt_AK165190	1659.89	5300.91	6121.79	7430.57	16762.8	8513.15	12153.04	11422.04	21769.91	2884.71	1626.59	8062.39	13770.07	7051.05	13856.24	10103.99	12030.5	10380.84	11314.08	11470.13	11734.83	8923.7	20767.68	2857.57	4927.47	6185.23
mt_AK165865	5601.7	12982.26	4911.34	13053.79	24175.67	21297.17	14986.14	15629.19	39977.13	5950.46	2062.39	18155.09	28666.62	15105.79	20551.69	20384.34	18446.12	12200.19	8761.66	8203.1	6298.0	8146.14	17852.86	10120.77	4547.69	14059.48
mt_AK167037	2188.6	2463.02	3952.67	4750.49	11869.87	6129.44	6636.2	5183.26	12410.34	2385.61	1236.76	4761.71	9933.94	4157.77	10889.61	6360.73	6412.84	9572.18	6997.29	7992.08	5727.1	5989.85	5861.73	2736.29	2345.3	4291.04
mt_AK167184	469.32	397.05	852.41	836.99	2384.8	1878.49	1633.3	1642.08	3423.96	480.9	221.51	1668.1	2525.36	1135.98	1354.76	1378.25	1680.84	1275.09	1122.13	633.14	880.56	1247.71	1223.74	369.58	1504.12	894.38
mt_BC004586	2059.97	8439.37	6405.52	5602.22	15505.88	9508.86	11780.78	8800.02	17878.8	5200.43	4612.17	15165.42	13561.19	5362.14	8520.29	6586.31	9169.59	8834.91	6204.52	11707.27	13480.6	12307.04	3412.17	3668.29	3443.63	4091.54
mt_BC008260	1614.88	2100.09	3918.08	3284.54	6102.45	6912.3	7885.05	6772.85	17184.37	762.15	124.85	5883.47	4751.16	1284.45	5552.76	3620.47	2832.91	2147.74	1484.38	7307.06	2562.79	4208.44	862.21	2418.62	2180.83	4289.67
mt_BC012020	4442.14	6259.08	5394.35	6266.52	24916.9	13394.51	13160.47	7678.65	19336.5	5729.57	5508.01	8989.36	17105.16	8286.38	14716.37	10157.99	10550.74	12929.38	14808.49	7906.73	12528.09	9951.53	12492.22	5555.41	5261.73	3879.39
mt_BC020072	1614.88	2100.09	3918.08	3284.54	6102.45	6912.3	7885.05	6772.85	17184.37	762.15	124.85	5883.47	4751.16	1284.45	5552.76	3620.47	2832.91	2147.74	1484.38	7307.06	2562.79	4208.44	862.21	2418.62	2180.83	4289.67
mt_BC020382	1444.67	2358.94	1235.1	2962.96	7043.44	6670.22	4668.48	4413.36	11101.16	2242.69	739.35	6980.66	6595.7	2602.16	5277.85	4544.98	4047.25	4035.68	2158.82	2050.0	2684.39	2712.03	3806.51	2068.8	1385.64	1340.34
mt_GU332589	21230.38	14764.74	7183.93	12161.57	22738.66	26493.16	13741.48	13267.12	28909.02	3242.03	4228.27	12431.83	31086.28	16090.8	21460.06	22390.28	20242.91	18187.79	11566.32	19369.81	14379.47	14964.47	19212.31	4062.7	7149.42	7312.3
mt_X57779	1515.93	4209.86	2680.0	4746.57	9293.52	6673.74	5660.5	6605.62	13394.37	2828.86	2047.49	7451.99	9044.92	4690.52	8949.42	5467.39	7051.59	8900.68	7143.04	5635.93	4893.18	5158.01	4799.34	2439.92	2439.38	2293.83
mt_X57780	1515.93	4209.86	2680.0	4746.57	9293.52	6673.74	5660.5	6605.62	13394.37	2828.86	2047.49	7451.99	9044.92	4690.52	8949.42	5467.39	7051.59	8900.68	7143.04	5635.93	4893.18	5158.01	4799.34	2439.92	2439.38	2293.83
