	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_30	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_77	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_25	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_67	Gad2_tdTpositive_cell_69	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_1	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_44	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_14	Ndnf_tdTpositive_cell_16	Ndnf_tdTpositive_cell_19	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_18	Ntsr1_tdTnegative_cell_54	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_21	Rbp4_tdTnegative_cell_22	Rbp4_tdTnegative_cell_23	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_21	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_7	Sst_tdTpositive_cell_8	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_72	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30
Crispld1	0.2	0.0	0.17	0.0	0.0	121.73	61.26	34.57	0.26	22.9	27.73	128.51	27.95	0.0	274.62	0.0	64.79	139.71	34.06	125.71	131.47	0.23	0.28	52.56	0.52	35.58	0.02	0.0	0.02	0.03	0.04	0.0	0.03	0.19	0.3	0.0	0.07	0.09	0.0	0.0	0.0	0.0	0.0	0.14	49.69	99.77	0.08	0.15	0.11	0.0	0.0	57.91	0.17	0.0	0.0	0.07	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.12	0.39	0.0	0.0	0.0	0.35	0.0	0.0	0.0	0.0	0.0	0.07	0.12	0.06	0.0	0.0	0.0	0.0	0.0
D3Bwg0562e	82.61	9.42	86.4	47.16	0.9	143.41	59.13	300.53	23.97	222.27	206.12	225.73	162.42	228.58	390.32	105.09	161.45	142.81	213.02	42.02	12.41	39.6	0.18	23.96	150.23	125.25	14.01	6.77	1.8	3.97	24.65	54.38	23.16	8.86	29.05	31.78	47.62	21.69	33.55	27.76	34.86	7.12	29.19	87.62	52.01	110.97	48.36	53.17	7.09	1.58	4.62	137.94	7.95	9.09	0.66	4.55	23.03	31.46	38.57	1.96	19.18	0.0	17.26	2.06	0.64	2.63	2.16	0.09	0.8	0.12	0.81	28.49	5.49	4.46	25.38	16.06	25.12	63.13	3.14	23.66	11.96	49.29	48.0
Dlx6as1	0.0	19.98	0.0	16.38	0.02	867.56	345.95	694.89	288.27	167.2	379.38	1230.95	1549.12	588.1	765.65	0.31	335.16	291.53	579.94	217.69	291.95	168.5	0.0	101.11	213.24	334.31	0.0	73.76	0.05	0.11	0.0	0.18	0.11	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.13	0.0	169.49	924.75	0.0	173.05	0.0	0.0	0.0	135.9	0.0	0.03	0.0	0.0	0.06	0.0	0.02	36.61	0.0	0.0	86.63	0.05	0.04	0.0	1.35	0.0	0.0	0.0	0.33	0.0	0.0	28.26	0.05	0.0	91.75	0.0	0.0	0.0	0.0	11.64	0.5
Dner	30.86	127.12	25.68	39.1	61.07	382.16	170.12	466.38	688.41	1331.06	1462.15	598.0	1025.42	114.64	870.18	140.91	666.93	553.06	855.36	646.86	281.15	29.13	0.0	119.98	250.39	225.03	30.46	53.77	95.22	33.9	10.25	0.15	124.12	62.83	3.17	6.62	1.74	56.81	65.83	77.51	38.58	58.1	165.41	43.7	291.19	366.75	167.38	210.3	24.21	30.07	139.11	339.36	144.93	0.07	89.79	82.12	74.1	23.23	96.82	41.14	65.82	0.0	105.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.03	164.51	9.82	54.52	39.21	74.1	69.27	72.68	41.77	75.75	59.39	317.8
Efha2	539.22	432.26	258.62	123.26	312.17	752.62	445.93	662.51	541.27	459.24	371.05	538.91	623.67	520.83	683.63	173.42	749.17	820.4	292.54	663.6	563.06	270.7	0.0	628.6	511.98	348.84	235.57	235.44	160.01	369.68	410.83	306.54	251.86	344.51	244.99	175.52	165.58	208.81	170.3	252.1	278.39	248.69	301.55	287.32	623.37	570.07	249.44	440.18	137.23	166.96	371.54	403.11	580.62	312.2	294.96	187.95	230.22	300.99	193.85	236.79	315.75	0.0	651.33	0.2	0.06	0.0	0.0	0.0	0.0	0.0	0.0	291.68	670.45	730.42	386.23	378.34	298.34	355.88	487.75	257.46	307.94	311.29	328.14
Elmod1	0.0	1.48	0.0	41.56	0.31	45.72	0.29	127.67	89.76	29.98	8.27	55.21	158.6	63.3	14.43	0.0	87.63	15.93	36.05	15.86	0.0	0.0	0.0	70.49	50.52	16.1	0.0	0.0	0.06	0.0	0.0	0.0	0.04	0.0	3.15	0.0	8.58	0.0	0.0	0.0	0.0	0.0	0.0	14.23	46.26	28.88	0.0	11.8	9.8	0.0	0.0	3.16	0.0	0.0	0.01	0.0	0.0	2.11	0.0	0.71	0.0	0.0	44.14	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	5.72	7.38	37.57	0.0	0.0	0.0	0.0	26.78	2.45	0.12	0.0	17.07
Etl4	0.0	0.15	24.88	23.42	0.0	213.54	98.07	290.27	19.49	81.06	241.33	340.46	194.15	148.51	208.42	29.16	151.71	193.82	228.44	21.96	248.69	0.08	0.08	46.46	39.69	3.49	0.0	0.15	0.03	0.0	0.09	0.0	62.07	1.1	0.0	0.0	0.14	0.0	23.9	15.98	10.58	0.04	17.82	0.22	128.21	103.62	0.0	78.01	0.39	0.0	0.0	135.75	2.0	0.0	0.31	14.72	0.43	27.05	5.96	25.83	0.04	0.0	37.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.97	84.06	59.38	0.04	0.2	170.25	2.22	1.04	0.0	0.0	0.02	0.0
Fez1	258.83	916.55	434.25	498.5	310.59	767.7	568.96	487.46	318.03	433.29	909.06	775.85	396.91	937.39	59.43	17.3	1083.01	1010.63	434.68	947.99	563.44	596.6	0.0	395.01	761.88	975.99	287.68	468.73	396.36	0.29	315.79	238.59	221.63	338.72	243.51	338.87	304.78	98.05	287.75	287.48	435.09	513.51	325.47	313.19	519.91	875.72	485.76	794.56	238.97	355.76	149.91	1128.68	159.31	486.43	563.49	205.46	313.49	483.79	241.74	239.61	306.32	0.49	442.65	2.31	0.29	0.0	0.0	0.0	0.0	0.54	0.0	379.85	715.21	727.3	353.8	398.89	1030.25	663.56	441.27	428.67	199.47	409.46	627.21
Fgf13	2.06	86.79	1.38	9.57	2.79	887.72	646.1	417.25	482.37	560.2	530.81	259.37	545.33	100.28	1211.16	18.23	383.84	145.16	147.81	750.21	310.49	83.21	1.56	122.38	212.82	417.64	2.24	4.94	1.59	121.22	0.66	151.52	0.94	1.65	1.23	3.22	1.73	1.21	1.31	3.59	2.64	1.2	0.97	59.19	459.86	536.64	2.27	563.72	2.13	1.64	1.23	477.42	1.57	1.36	2.53	1.21	2.4	1.83	2.05	0.95	0.34	8.49	153.83	1.91	2.74	1.38	3.34	1.12	1.49	5.75	4.33	2.29	2.39	60.64	2.13	2.67	53.93	1.41	177.14	1.94	1.39	1.07	305.24
Fryl	8.02	2.05	4.11	0.57	0.0	79.55	0.0	51.89	25.59	12.4	50.4	49.67	46.9	28.53	92.34	0.0	0.0	18.33	28.51	12.0	0.0	0.0	0.0	11.7	12.63	14.43	0.14	0.03	0.0	7.54	0.93	8.84	7.3	1.13	4.3	0.0	0.0	6.56	1.49	3.0	1.63	1.61	8.83	0.0	22.4	43.07	0.0	18.29	0.0	5.98	0.0	45.5	16.02	2.01	0.79	1.22	0.0	3.0	0.0	0.0	1.38	0.11	0.33	0.0	0.0	0.0	0.0	2.63	56.46	1.05	0.0	7.15	0.0	5.54	0.0	0.0	0.69	0.0	0.0	1.35	3.39	0.0	23.36
Gabra4	0.0	16.52	31.49	0.0	0.06	181.72	63.38	64.95	169.61	74.64	364.92	507.24	303.5	474.62	418.53	0.0	288.33	144.12	431.36	15.76	407.48	0.0	0.0	39.11	9.46	256.79	34.29	26.42	28.74	0.09	32.61	17.28	12.53	147.68	94.47	28.22	33.26	25.03	70.61	60.01	232.14	0.0	21.13	109.93	231.01	318.69	32.95	245.34	63.43	32.62	1.64	180.89	58.41	24.24	103.66	47.11	0.56	91.05	27.25	102.92	96.66	0.0	38.23	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.64	0.0	74.74	87.51	121.63	244.76	44.71	58.09	16.1	40.44	0.02	0.0
Gabra5	0.0	0.0	0.0	0.0	0.0	84.23	188.55	207.19	52.1	33.21	200.49	138.81	260.83	170.51	145.58	0.0	156.37	352.55	0.0	0.24	202.1	0.0	0.0	84.38	9.9	101.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0	120.93	84.77	0.0	0.0	0.0	0.0	0.0	185.68	0.44	0.0	12.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gabrb2	12.23	155.11	11.81	137.71	7.18	621.36	647.37	394.06	367.51	456.19	784.75	543.33	764.64	541.65	659.29	0.26	427.34	345.69	404.86	623.84	437.22	316.7	0.0	553.81	366.04	426.46	0.07	24.16	0.13	15.4	0.15	34.86	22.41	0.33	0.0	8.42	16.89	21.95	11.06	0.0	3.27	5.01	27.63	24.17	618.55	404.95	0.0	629.82	0.08	24.49	0.11	439.7	28.74	9.88	0.03	0.04	0.0	0.0	0.0	0.0	14.66	0.0	269.31	0.38	0.02	0.0	0.12	0.0	0.0	0.0	0.0	0.04	50.66	55.57	8.4	0.0	137.13	0.0	63.27	16.9	5.95	8.5	241.85
Gad2	320.61	158.72	411.41	203.84	371.93	955.3	462.02	791.12	762.48	1445.41	1293.84	1286.54	985.01	914.45	1708.5	113.88	1747.26	899.36	1529.42	1076.3	998.58	453.92	0.34	847.86	687.57	719.42	245.09	196.34	314.59	34.12	318.35	156.94	162.81	429.15	333.44	378.8	396.67	294.55	483.26	360.75	360.07	204.55	301.16	198.65	804.54	1302.16	283.25	486.53	218.1	261.36	348.54	379.4	132.94	99.8	305.57	250.6	418.12	372.29	475.46	362.78	300.55	0.25	617.9	2.67	0.26	0.88	1.26	1.15	0.48	0.0	1.48	388.23	414.77	517.7	245.39	315.14	681.65	194.46	525.8	230.51	290.56	429.79	722.66
Gm5934	0.3	0.94	0.93	0.3	0.77	5.48	1.92	6.69	2.82	0.59	3.45	3.78	4.85	2.07	5.05	4.11	1.68	2.43	6.09	1.72	3.22	0.55	0.21	1.97	1.48	3.43	0.89	0.47	0.28	1.08	0.35	0.81	1.02	0.53	0.22	0.16	1.35	0.44	0.78	0.16	0.61	0.65	0.39	0.18	1.4	2.43	0.27	0.53	0.13	0.29	0.32	1.88	0.6	0.29	0.36	0.51	0.67	0.78	0.43	0.44	0.36	0.33	1.35	0.05	0.66	2.45	5.02	0.0	0.0	0.35	0.0	0.12	0.51	0.34	0.27	0.3	0.77	0.18	2.61	0.58	0.34	0.3	1.04
Got1	257.34	868.15	500.33	369.07	341.34	1103.29	1141.89	1764.29	903.15	1354.23	1422.15	616.8	786.27	871.04	524.62	8.21	918.47	1173.04	1437.2	796.62	319.91	500.83	0.0	1128.5	847.74	391.2	521.57	597.24	666.85	551.87	471.8	655.6	500.9	548.8	507.33	601.18	439.18	738.9	401.94	319.46	598.1	404.4	499.58	379.25	1004.55	841.62	684.16	1512.74	598.71	521.38	648.38	915.48	535.24	207.0	343.27	241.52	503.74	258.0	582.96	811.16	560.8	0.0	423.4	0.32	0.62	0.0	0.23	0.0	0.0	0.0	0.0	440.78	822.82	759.39	336.31	510.2	543.9	406.16	325.24	551.24	881.35	795.88	807.54
Grin2b	191.93	232.58	219.83	130.73	73.41	116.5	92.3	175.3	144.27	222.62	89.74	143.03	151.97	179.94	263.05	159.89	225.95	255.51	210.05	199.91	109.9	227.7	0.06	267.37	197.13	296.13	113.0	54.78	121.66	53.4	74.67	38.99	68.24	127.78	64.68	101.71	82.6	71.2	107.72	147.24	192.1	86.61	81.73	52.66	159.16	256.92	107.74	141.57	95.18	112.83	99.52	82.31	52.28	59.89	109.06	114.44	84.45	84.2	110.92	67.98	120.96	0.0	226.42	0.15	0.69	1.38	0.63	0.0	0.19	0.09	0.09	141.51	161.16	95.93	107.93	122.53	209.59	68.92	175.95	137.34	45.27	76.58	74.29
Hapln1	0.0	0.0	0.0	0.0	0.0	90.74	138.03	310.27	46.24	37.35	242.42	196.45	758.1	2.45	395.73	0.0	0.0	130.22	440.25	278.41	23.41	0.0	0.0	245.28	78.5	58.74	0.0	0.0	0.0	0.02	0.07	0.13	0.1	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.53	442.26	0.0	93.47	0.0	0.0	0.0	88.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	166.96
Hcrtr2	0.0	0.0	0.0	0.0	0.0	8.19	31.49	346.48	0.06	0.0	0.14	317.24	451.19	59.88	152.86	0.0	58.35	136.29	0.07	50.52	20.02	0.0	0.0	0.0	0.0	0.12	0.0	0.1	0.04	0.03	0.04	0.11	0.03	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.06	0.0	0.0	90.68	281.18	0.0	0.0	0.0	0.13	0.0	0.15	0.05	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	52.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0
Herc3	8.72	1.25	4.3	21.85	0.0	91.84	0.2	50.76	44.33	7.35	111.87	148.19	112.11	76.55	136.35	0.0	105.3	90.26	52.04	40.83	12.74	50.36	0.0	38.97	70.17	137.74	18.01	1.08	0.1	22.3	0.14	16.76	2.53	17.67	7.12	0.0	9.47	12.44	53.64	4.99	43.99	29.69	22.4	17.71	0.0	103.56	50.49	107.79	29.87	12.21	0.04	23.05	5.08	0.0	6.69	6.07	26.57	1.03	0.0	2.82	50.05	0.0	28.04	0.0	0.0	0.0	0.0	109.8	0.16	0.0	0.0	0.06	38.72	34.27	11.84	63.48	59.61	7.36	0.0	38.01	45.13	53.45	27.4
Hsbp1	777.99	874.35	611.65	719.27	823.63	389.74	1340.7	1603.33	564.11	832.59	1091.44	1378.47	1246.94	1331.87	638.31	602.39	1325.71	1150.55	1153.01	1049.83	699.52	703.52	305.07	1257.09	1503.78	1284.77	431.97	851.53	556.84	807.28	786.24	761.68	475.01	517.73	891.38	601.63	659.71	530.99	654.68	903.42	557.04	835.89	819.38	900.78	1065.6	1292.37	800.42	965.19	957.4	661.46	1045.33	1013.08	1133.68	912.7	1111.86	886.34	392.69	632.65	1398.71	821.98	654.63	531.56	1217.86	1.14	0.16	0.0	0.0	725.01	848.26	0.6	0.0	930.97	1092.19	979.08	965.65	598.79	1076.09	439.25	746.58	1144.65	533.83	840.79	144.75
Hsp90aa1	819.9	894.08	737.13	715.45	433.34	686.2	1099.66	1752.1	994.01	1528.82	1489.28	899.19	805.54	1242.42	564.19	532.47	1708.43	1243.64	1272.77	1048.49	1452.23	564.25	0.0	832.94	827.65	938.57	799.55	995.89	862.09	766.98	792.03	503.63	648.59	793.99	892.73	773.89	776.27	740.28	823.83	823.32	859.72	1104.88	820.02	645.52	1471.61	1059.9	696.32	731.79	691.41	722.5	835.5	1149.57	808.57	657.41	852.75	789.59	712.58	625.75	877.69	737.92	771.06	651.82	1141.24	0.91	146.14	0.0	0.49	45.57	0.0	234.61	0.0	558.41	1145.41	938.34	906.08	811.35	1095.47	863.36	1527.02	770.54	1365.32	1082.94	1048.77
