	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTpositive_cell_13	Scnn1a.Tg3_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_22	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_65	Sst_tdTpositive_cell_76	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_92	Sst_tdTpositive_cell_101	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_13
Dpm1	5.89	16.19	22.51	58.99	65.88	45.69	115.84	32.84	50.87	40.75	32.19	57.13	35.29	94.38	26.67	66.8	40.44	52.01	24.04	36.11	86.43	10.64	0.0	25.63	26.46	121.07	29.46	29.78	21.54	17.15	99.69	42.43	27.86	65.38	60.69	0.0	0.0	13.8	91.17	102.45	133.49	0.97	116.67	162.22	52.2	27.01	115.99	71.18	59.85	68.98	119.45	109.56	76.05	128.99	117.98	112.43	96.97	124.46	115.26	87.83	95.04	130.71
Ensa	481.85	255.82	311.39	214.84	473.6	366.02	231.38	324.41	556.7	419.77	344.98	263.74	505.74	336.34	465.79	374.7	471.47	383.09	563.72	280.58	528.09	221.2	202.34	306.18	151.42	40.27	218.73	347.2	286.72	121.65	293.8	422.34	348.19	284.73	1276.73	4.29	0.0	212.37	389.41	300.42	231.8	377.2	731.97	456.92	404.74	297.85	508.78	158.12	1222.06	1169.26	1139.22	1194.73	1016.17	1120.19	1411.63	1204.83	1180.76	1367.57	1269.88	1258.8	1205.32	1151.53
Etohi1	34.84	24.79	65.6	140.14	53.8	27.49	128.83	3.75	127.17	89.52	80.2	68.39	75.53	32.75	165.89	73.45	87.61	123.53	21.58	83.08	26.14	165.74	22.41	32.4	25.55	145.62	95.6	14.01	66.06	54.07	60.73	82.76	49.3	124.44	213.3	4.11	16.54	1.89	148.37	119.92	19.01	137.04	87.39	222.53	26.13	63.19	354.81	98.94	91.89	119.22	149.48	83.03	141.27	127.18	129.87	132.05	133.67	100.81	107.46	100.08	96.79	228.26
Evi5	12.45	5.44	11.55	0.0	0.19	0.11	0.06	47.22	21.87	0.03	25.82	0.0	26.36	9.36	21.18	0.96	14.69	0.59	0.0	11.93	0.0	0.05	1.04	11.18	4.63	0.0	3.79	0.0	3.57	0.05	0.0	0.05	0.0	50.42	52.27	0.0	0.0	0.24	0.0	28.02	13.4	10.35	43.7	53.57	0.13	1.54	72.24	0.0	24.17	11.68	25.62	12.24	12.05	22.15	13.09	21.98	23.19	9.28	20.82	15.76	18.72	6.53
Gabrb2	12.23	11.81	7.18	0.07	24.16	0.13	15.4	0.15	34.86	22.41	0.33	0.0	8.42	16.89	21.95	11.06	0.0	3.27	5.01	27.63	24.17	0.0	0.08	24.49	0.11	28.74	9.88	0.03	0.04	0.0	0.0	0.0	0.0	14.66	224.45	0.07	0.0	0.04	8.4	43.41	0.0	0.0	84.71	170.53	16.9	5.95	129.18	8.5	248.22	243.73	215.95	254.37	251.63	228.23	253.74	225.05	265.1	264.43	394.32	308.05	311.54	115.57
Gm10336	0.0	0.0	0.07	0.0	0.0	0.36	0.0	1.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	4.68	3.77	0.0	0.0	3.12	0.63	2.19	4.76	4.75	0.52	3.77	2.27	2.38	40.74
Gm12824	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	1.97	0.0	1.66	5.69	3.46	0.0	3.26	7.17	4.84	3.99	0.0
Gm13306	0.0	0.0	8.68	1.46	0.3	0.03	0.0	1.74	0.0	0.0	0.0	7.16	0.58	0.0	0.0	5.37	0.27	0.0	1.98	0.0	0.0	2.47	0.77	0.0	0.0	0.29	0.0	2.79	1.65	1.9	0.13	2.24	8.48	4.31	200.74	0.0	0.0	0.0	4.89	46.94	1.61	0.0	33.56	3.25	0.0	7.83	3.13	1.88	164.03	114.56	132.22	177.66	125.27	74.98	103.08	54.7	62.2	75.81	61.27	76.52	71.98	182.32
Gm14391	33.99	27.94	53.86	42.12	37.01	31.56	75.29	50.78	62.64	47.74	16.23	83.6	104.98	83.8	98.37	59.42	86.84	57.72	60.95	54.25	67.0	63.35	59.48	35.48	29.96	111.27	48.39	24.59	41.84	59.45	108.31	22.51	39.3	168.72	128.57	6.38	5.5	43.7	31.91	62.33	43.37	69.98	62.85	174.12	114.58	90.32	145.99	71.68	74.26	75.03	132.95	87.02	86.44	112.53	68.34	85.75	93.33	118.92	87.32	84.78	62.52	69.91
Gm14435	109.77	38.18	97.54	219.21	69.76	47.84	154.85	74.01	212.41	163.21	217.7	92.66	104.42	131.34	204.12	183.76	259.01	74.1	41.36	221.71	86.03	102.85	21.22	176.02	48.27	162.54	156.23	34.86	221.98	70.74	162.18	241.03	73.05	246.43	248.47	10.55	31.54	22.56	193.92	335.56	34.89	61.63	144.23	452.57	140.08	119.67	416.33	339.97	243.07	221.72	220.57	161.56	221.24	166.33	193.78	265.06	220.15	173.41	169.21	136.79	132.21	188.3
Gm16702	46.54	73.24	39.14	74.55	36.3	28.96	58.53	60.98	71.39	26.98	43.2	43.59	50.53	52.42	36.82	57.04	42.46	45.13	56.45	30.13	41.31	44.22	47.29	39.95	27.18	52.72	71.64	47.96	44.35	42.11	41.93	59.77	30.63	44.41	109.02	82.09	38.87	94.13	164.55	58.79	45.5	39.0	66.7	47.12	48.19	45.0	59.21	32.96	95.9	94.59	118.83	107.2	85.96	111.14	134.01	65.26	89.65	140.67	94.4	95.63	86.29	74.1
Gm2002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.07	0.11	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.07	0.0	0.06	0.1	0.0	0.0	0.06	1.32	0.0	0.61	0.21	1.13	2.82	5.81	2.35	3.62	0.0	0.41	0.96	1.27	4.28	1.89	0.37
Gm2506	0.0	0.0	8.68	1.46	0.3	0.03	0.0	1.74	0.0	0.0	0.0	7.16	0.58	0.0	0.0	5.37	0.27	0.0	1.98	0.0	0.0	2.47	0.77	0.0	0.0	0.29	0.0	2.79	1.65	1.9	0.13	2.24	8.48	4.31	200.74	0.0	0.0	0.0	4.89	46.94	1.61	0.0	33.56	3.25	0.0	7.83	3.13	1.88	164.03	114.56	132.22	177.66	125.27	74.98	103.08	54.7	62.2	75.81	61.27	76.52	71.98	182.32
H2-T23	50.96	73.23	98.49	41.55	69.47	63.32	99.96	82.68	77.77	38.45	117.56	81.07	135.91	68.27	59.25	77.98	87.85	63.07	57.08	37.61	80.04	58.26	48.15	109.75	22.84	164.0	101.48	61.85	49.79	135.18	56.42	107.64	105.09	73.21	214.95	64.1	91.75	72.98	181.6	135.86	56.53	52.99	96.4	63.65	101.39	68.96	74.95	86.86	504.22	673.42	575.11	567.33	532.76	616.29	597.78	582.25	689.03	977.14	559.55	674.2	645.66	179.66
Hbq1a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.83	0.0	18.65	5.16	12.06	0.0	5.15	0.0	0.0	16.32	3.38	11.54	3.92	0.0
Il11ra2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.07	0.11	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.07	0.0	0.06	0.1	0.0	0.0	0.06	1.32	0.0	0.61	0.21	1.13	2.82	5.81	2.35	3.62	0.0	0.41	0.96	1.27	4.28	1.89	0.37
Itpr1	0.0	0.0	0.0	0.0	0.04	0.02	0.02	0.03	0.01	0.03	0.01	0.0	0.0	0.05	0.0	0.04	0.03	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.03	0.0	0.0	0.02	0.02	4.08	11.27	0.0	0.0	0.11	0.0	9.21	0.0	0.26	10.14	7.77	1.68	0.0	18.59	0.0	33.04	35.85	31.98	43.83	22.96	44.4	47.97	24.43	32.96	36.46	64.04	43.81	49.96	12.75
Khdrbs3	0.68	39.05	0.0	0.44	0.78	0.13	0.38	49.23	1.99	0.37	3.37	0.26	0.5	0.73	0.21	0.0	1.45	5.07	89.58	1.05	41.75	0.78	21.86	1.54	0.0	3.01	4.21	0.0	2.21	35.69	0.0	3.1	0.62	31.72	177.43	0.0	0.0	0.0	9.76	26.47	4.35	7.55	38.8	125.56	19.31	34.84	34.33	0.95	139.38	183.35	117.12	172.55	125.44	137.32	218.85	189.88	204.38	187.29	156.3	143.81	159.28	35.45
Mdh1	3350.55	2613.27	2341.03	3075.69	3183.52	2519.36	2773.35	2115.61	3367.87	3253.7	2684.4	3526.46	2509.56	2895.67	2816.86	2690.36	2512.48	2518.33	2799.69	3086.0	2603.4	2615.13	2708.99	2439.03	3111.85	2125.51	2288.11	2896.37	2847.78	2698.01	2352.16	3080.55	3316.5	3067.13	3636.67	1077.83	22.58	2690.19	2459.17	3164.01	3661.17	3275.63	2547.0	4969.09	2553.72	3759.81	3933.73	3221.24	4381.8	4137.51	3910.49	4355.23	4345.77	3954.14	4148.5	5365.37	4146.5	4365.0	3742.71	3938.59	3750.15	5245.13
Nipsnap1	84.53	289.49	420.86	143.29	162.74	110.82	171.19	155.87	239.45	85.68	108.49	192.85	109.57	216.82	267.44	114.36	253.42	184.52	92.37	196.38	57.35	50.12	43.31	91.26	174.92	310.16	126.22	242.15	15.88	269.14	185.64	219.91	119.74	111.46	299.41	0.0	0.0	178.66	90.64	242.86	303.34	183.63	209.43	146.73	112.04	129.21	373.26	99.95	197.85	182.94	192.86	172.98	165.72	221.67	179.4	319.19	219.42	171.42	205.06	197.89	176.3	156.7
Npy	138375.8	173305.25	115124.65	132042.44	105008.15	149629.49	134232.96	130357.56	105498.11	116117.28	120987.76	122165.94	132052.33	122154.33	122963.43	126501.28	117863.77	98464.67	102118.34	130527.91	173863.58	126989.03	166048.87	115420.41	191162.16	154857.31	124150.07	134158.33	153405.37	147732.76	141010.39	110523.31	101137.64	151963.58	0.0	0.0	0.0	145032.54	180453.32	92572.95	128781.07	137945.15	70964.58	49931.63	95298.15	137580.94	65503.76	120620.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.99	0.0	0.6	0.0	0.7	0.0
Omd	29.81	29.41	25.04	19.9	15.41	18.2	53.98	19.5	73.68	16.45	25.68	41.42	24.49	12.83	11.85	24.32	23.98	37.12	73.76	18.6	21.38	27.44	22.57	29.22	9.58	30.65	22.93	14.78	38.47	19.96	23.93	36.28	20.22	27.01	158.12	28.52	16.17	23.77	32.94	57.34	21.3	32.19	67.45	63.46	65.99	24.72	49.29	33.18	129.02	126.63	96.51	134.02	108.22	106.66	133.38	111.53	93.27	109.5	132.23	107.55	109.95	51.92
Pbld1	23.42	47.41	27.78	17.33	32.99	47.83	39.42	40.14	41.36	27.83	29.65	47.58	25.31	27.13	28.94	29.1	64.31	60.82	56.93	25.62	23.22	34.48	57.99	26.96	13.84	81.17	40.66	60.96	29.29	44.75	29.65	57.32	12.66	32.03	85.47	40.42	80.92	50.05	30.76	58.04	33.24	49.11	57.49	52.1	55.0	38.34	53.66	16.54	125.89	109.31	76.74	114.02	82.01	81.18	92.97	92.95	105.09	106.33	121.34	106.29	112.58	46.61
Plec	12.69	11.35	11.9	0.0	5.16	11.42	0.06	4.92	8.35	3.99	1.75	0.03	0.0	3.39	6.81	0.56	1.7	4.64	10.37	8.85	22.38	5.29	5.49	4.92	10.42	11.21	5.39	4.6	3.57	4.59	0.54	2.98	3.85	6.92	26.66	0.0	0.0	2.33	8.97	11.73	10.41	12.82	0.25	13.23	4.23	4.11	18.32	0.01	16.63	20.26	20.5	25.76	19.26	20.2	23.11	22.51	25.65	20.93	14.64	13.6	16.62	45.18
Pola2	52.04	27.05	31.78	11.21	25.66	30.79	18.91	29.44	41.9	21.35	24.38	28.14	17.77	14.37	16.53	20.25	27.7	38.24	23.35	22.16	16.25	19.83	38.13	28.43	5.45	57.46	21.25	15.33	19.2	18.82	18.72	22.09	10.67	22.58	41.53	19.1	58.33	51.76	18.54	52.84	35.7	33.89	46.88	38.68	39.02	27.36	26.96	14.8	77.41	65.08	43.6	65.19	67.38	53.62	64.9	68.65	57.71	87.68	61.62	66.37	61.18	50.5
Psmd14	165.6	426.65	164.56	201.76	429.75	402.93	175.25	573.02	184.39	338.49	664.62	417.12	539.55	361.97	371.87	290.48	339.23	177.05	77.73	468.24	536.23	140.33	368.53	281.61	434.71	618.89	375.39	169.72	195.0	264.77	122.23	453.55	130.53	397.93	1287.42	528.17	248.67	429.92	634.51	486.95	506.44	318.86	500.03	876.42	293.98	246.54	269.33	600.3	834.35	835.94	656.66	673.5	585.91	613.92	805.14	617.43	600.98	662.41	753.78	665.98	639.86	518.2
Ptger3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.96	0.0	0.0	0.0	0.0	0.0	2.19	0.0	0.0	0.0	0.0	6.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.14	0.0	4.64	6.59	11.47	1.6	0.0	1.79	2.23	4.68	2.34
Sez6l	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	2.43	0.0	1.95	0.05	0.0	0.07	0.0	0.0	0.05	0.0	2.27	0.0	0.0	0.0	7.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.2	0.0	0.0	0.0	7.85	0.16	0.0	0.0	1.12	22.34	0.03	9.39	35.26	0.0	8.23	26.04	23.67	31.56	18.22	27.43	13.55	15.61	21.4	19.99	16.39	17.47	15.52	20.45
Snrpg	317.27	129.36	38.04	143.5	102.65	93.55	159.57	134.59	382.32	120.32	118.52	71.85	162.66	183.16	5.65	101.57	144.83	60.2	179.24	51.83	232.89	68.44	30.25	140.5	129.47	259.58	219.57	90.79	113.56	149.39	3.19	61.95	174.72	101.78	350.66	0.0	0.0	72.01	266.02	12.79	203.6	63.87	124.83	445.85	238.66	144.86	133.72	50.55	308.03	283.1	311.83	251.84	244.51	289.99	172.29	339.85	170.58	289.45	170.48	177.75	212.93	204.57
Syne1	34.46	25.73	79.71	48.41	24.07	6.01	11.44	15.43	22.75	32.31	27.02	6.35	6.66	54.89	22.83	57.46	19.27	21.6	25.85	37.88	46.61	4.19	39.22	18.85	5.26	110.69	37.92	34.0	49.32	39.05	22.74	14.08	14.17	51.36	253.85	7.75	9.44	14.96	56.24	66.45	31.4	41.55	43.96	54.94	52.32	12.67	64.84	6.45	221.13	215.98	260.04	234.07	169.19	183.12	241.69	178.29	201.44	160.35	178.63	158.93	157.77	152.03
Tmem159	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.2	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.0	0.0	54.63	47.61	0.0	0.0	90.39	0.0	0.0	0.0	0.0	0.0	84.27	132.9	133.45	233.88	98.88	49.06	112.94	149.73	55.73	133.72	102.77	102.8	116.05	151.27
Tmem178	0.0	0.0	0.0	0.0	0.0	0.09	6.11	0.0	0.0	0.0	11.2	0.0	0.0	0.0	4.17	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.26	0.0	0.0	38.35	0.0	26.1	0.0	0.0	2.23	84.31	0.0	0.0	0.0	0.0	52.83	82.62	33.2	103.46	53.91	32.45	38.24	57.18	35.55	32.95	49.21	38.66	51.05	3.02
