	Calb2_tdTpositive_cell_9	Calb2_tdTpositive_cell_64	Chrna2_tdTpositive_cell_51	Cux2_tdTpositive_cell_1	Cux2_tdTpositive_cell_9	Cux2_tdTpositive_cell_22	Cux2_tdTpositive_cell_57	Cux2_tdTpositive_cell_59	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_78	Cux2_tdTpositive_cell_88	Cux2_tdTpositive_cell_91	Cux2_tdTpositive_cell_96	Cux2_tdTpositive_cell_100	Cux2_tdTpositive_cell_103	Cux2_tdTpositive_cell_121	Cux2_tdTnegative_cell_8	Cux2_tdTnegative_cell_14	Gad2_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_11	Nr5a1_tdTpositive_cell_17	Nr5a1_tdTpositive_cell_30	Nr5a1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_36	Nr5a1_tdTpositive_cell_44	Nr5a1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_6	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_29	Ntsr1_tdTpositive_cell_30	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_35	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_48	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_50	Ntsr1_tdTpositive_cell_52	Ntsr1_tdTpositive_cell_58	Ntsr1_tdTpositive_cell_75	Rbp4_tdTpositive_cell_18	Rbp4_tdTpositive_cell_52	Rbp4_tdTpositive_cell_54	Rbp4_tdTpositive_cell_77	Rbp4_tdTpositive_cell_89	Rbp4_tdTpositive_cell_101	Rbp4_tdTpositive_cell_125	Rbp4_tdTpositive_cell_127	Rbp4_tdTpositive_cell_130	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_171	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_181	Rbp4_tdTpositive_cell_182	Rbp4_tdTpositive_cell_183	Rbp4_tdTpositive_cell_186	Rbp4_tdTpositive_cell_187	Rbp4_tdTpositive_cell_189	Rbp4_tdTpositive_cell_190	Rorb_tdTpositive_cell_16	Scnn1a.Tg2_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_17	Scnn1a.Tg3_tdTpositive_cell_92	Scnn1a.Tg3_tdTpositive_cell_97	Scnn1a.Tg3_tdTpositive_cell_104	Scnn1a.Tg3_tdTpositive_cell_105	Slc17a6_tdTpositive_cell_1	Slc17a6_tdTpositive_cell_2	Slc17a6_tdTpositive_cell_10	Slc17a6_tdTpositive_cell_19	Slc17a6_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_30	Slc17a6_tdTpositive_cell_31	Slc17a6_tdTpositive_cell_33	Slc17a6_tdTpositive_cell_38	Slc17a6_tdTpositive_cell_47	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_5	CAV_LP_Ipsi_tdTpos_cell_9	CAV_LP_Ipsi_tdTpos_cell_21	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_30	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_32	CAV_LP_Ipsi_tdTpos_cell_33	CAV_LP_Ipsi_tdTpos_cell_35	CAV_LP_Ipsi_tdTpos_cell_36	CAV_LP_Ipsi_tdTpos_cell_37	CAV_LP_Ipsi_tdTpos_cell_39	CAV_LP_Ipsi_tdTpos_cell_40	CAV_LP_Ipsi_tdTpos_cell_42	CAV_VISp_Contra_tdTpos_cell_1
Chchd2	358.69	91.05	91.8	46.4	6.12	15.64	345.86	293.79	325.2	569.3	779.38	663.83	806.44	207.11	471.73	170.69	60.61	763.76	327.03	588.0	836.08	125.15	519.8	360.47	92.18	83.91	198.66	437.0	407.44	252.59	440.14	406.91	38.39	220.33	154.74	5.55	1.21	216.18	40.3	151.45	510.21	723.34	124.48	686.0	346.54	43.83	484.33	0.42	403.35	57.4	547.8	242.26	616.1	682.72	525.21	628.02	453.85	648.32	1426.87	535.17	985.11	923.47	1194.86	754.04	708.56	302.19	670.54	53.67	295.09	346.83	205.11	896.89	0.93	706.11	26.43	543.01	498.73	631.95	452.65	672.51	373.87	331.83	320.03	248.83	73.08	48.34	294.19	313.65	171.92	476.37	260.96	131.4	87.18	4.96	29.97	1.01	28.31	30.35	309.55	191.7	26.37	301.14	146.19	72.95	581.09	823.72	250.1	360.93	116.45
Cisd1	339.13	94.65	32.26	82.58	121.69	5.88	138.63	276.0	434.01	114.46	1171.1	404.24	563.71	412.8	259.94	413.42	71.16	484.86	671.24	353.52	358.54	315.64	250.23	24.94	105.22	27.24	306.55	787.86	564.1	436.92	412.92	785.27	362.53	268.43	0.8	58.83	374.65	253.16	93.49	236.17	384.23	435.62	64.21	587.41	356.57	157.71	709.64	594.78	453.37	226.05	571.22	196.25	319.52	698.9	285.67	770.64	274.08	776.64	479.2	313.74	449.41	990.2	614.64	744.23	499.97	256.37	335.86	426.45	316.38	451.65	6.57	197.18	150.0	391.15	134.18	386.0	550.65	989.5	488.7	448.52	934.68	674.32	415.23	472.28	291.09	96.66	532.08	544.38	640.4	982.55	240.4	1.23	6.36	93.24	90.18	0.48	59.74	16.11	614.64	21.63	166.4	545.53	304.45	219.2	830.46	511.31	415.96	590.68	299.51
Clasp2	9.87	25.65	18.22	64.54	75.7	79.1	40.86	91.21	58.61	62.86	179.06	97.81	26.3	67.19	60.9	13.3	7.79	43.68	13.18	99.15	101.63	25.05	96.24	68.2	36.52	17.33	195.06	99.23	115.04	85.1	157.6	64.02	50.6	16.08	15.87	4.21	67.14	31.11	29.18	86.44	46.95	101.73	119.18	64.95	83.47	33.73	125.77	63.68	101.49	100.03	87.87	20.19	210.82	182.74	107.85	229.33	278.15	279.45	179.63	142.27	183.95	119.81	137.48	168.82	106.11	102.99	72.27	49.36	24.82	45.39	199.75	306.24	116.62	71.22	77.23	54.27	18.45	149.37	77.41	28.7	65.63	128.0	86.66	45.05	34.12	143.91	99.8	122.92	93.22	142.2	148.27	22.25	39.07	10.44	81.35	17.18	59.05	18.11	44.23	44.54	39.65	38.33	80.94	20.8	107.37	56.92	54.62	81.38	36.9
Cox5b	759.18	22.22	56.98	73.93	81.56	36.48	91.68	722.46	77.74	754.08	958.9	494.06	654.65	666.62	713.72	191.43	18.75	422.56	518.45	343.97	495.82	213.96	362.45	403.23	39.53	19.73	588.31	475.62	764.57	426.64	384.39	435.14	170.84	337.31	106.7	15.39	4.71	302.58	108.64	371.69	710.4	529.55	196.3	271.29	293.81	109.61	944.19	729.31	999.25	99.41	662.77	141.01	714.03	1127.58	854.7	938.78	1217.51	1117.33	1022.16	990.03	1482.48	983.26	1398.36	1134.85	1159.61	337.99	660.61	235.88	174.71	365.48	1332.97	502.37	98.97	577.68	93.18	814.67	769.93	679.03	394.16	458.3	570.71	388.96	418.36	327.23	183.88	58.54	374.66	471.41	829.37	709.96	237.63	0.55	48.79	1.38	3.41	59.1	67.04	499.45	363.13	344.51	154.4	308.49	278.31	318.62	555.5	861.17	619.08	759.52	208.69
Cox8a	727.49	409.08	138.97	487.27	176.08	114.84	1152.57	526.71	865.46	896.75	1215.93	906.42	911.06	468.28	438.09	958.31	71.74	502.42	351.21	714.12	768.26	707.8	1157.76	549.76	81.69	147.15	476.23	1104.65	1407.09	447.02	637.08	619.84	198.68	35.55	162.47	172.2	127.09	662.05	168.67	539.4	836.01	774.59	671.26	873.03	775.81	93.46	500.51	947.99	562.46	212.87	644.87	118.79	1392.7	1228.31	829.84	1181.4	1118.7	990.31	1360.21	2086.03	1747.61	1558.89	1997.08	1193.46	1158.99	166.18	884.55	582.2	992.08	1316.4	972.68	1322.75	358.58	609.15	172.36	1052.07	607.78	801.86	1035.86	831.31	713.03	549.18	720.2	832.0	463.1	99.72	646.12	604.84	593.08	900.52	529.91	16.59	30.14	185.31	78.1	0.0	155.98	186.41	615.68	566.55	70.7	439.12	579.26	381.56	934.08	332.39	574.72	876.08	655.83
Dctn4	4.66	8.99	4.29	48.39	17.47	33.02	22.79	94.63	204.48	105.24	239.75	73.16	242.49	177.29	112.29	80.4	13.45	143.38	73.35	220.31	124.98	153.28	149.01	74.06	5.38	9.24	150.37	96.55	139.31	66.35	224.99	41.75	43.41	4.56	122.29	40.14	23.45	74.59	41.93	70.71	179.75	63.68	57.75	63.7	30.36	22.68	56.3	2.23	127.54	70.99	80.85	72.56	135.29	171.37	141.48	193.71	174.83	126.47	84.43	44.51	183.7	59.88	106.32	151.85	126.59	112.68	102.54	25.57	145.99	39.36	32.21	134.79	89.11	82.56	118.89	45.09	121.53	180.86	88.2	129.91	187.42	118.39	106.99	69.89	47.61	136.57	124.57	145.43	98.82	48.77	91.44	44.91	5.07	0.26	15.94	0.0	62.02	46.55	89.84	70.59	70.25	46.77	183.59	75.54	189.01	89.73	49.73	167.57	21.12
Dnajb6	363.9	98.74	8.77	126.33	51.46	132.39	87.32	109.7	266.52	403.29	395.59	268.59	298.56	190.96	509.14	125.62	0.67	293.73	421.11	445.7	381.41	108.6	248.23	125.93	111.86	224.42	466.02	349.93	343.93	132.79	183.5	729.93	85.26	103.23	42.2	14.15	22.33	84.04	69.16	22.99	194.62	400.06	93.31	312.39	86.96	14.54	278.47	14.76	129.29	61.57	80.85	106.57	250.27	331.47	269.89	117.67	365.97	314.07	2.51	284.89	426.8	358.54	484.12	343.79	166.35	484.9	504.37	183.91	206.53	200.74	465.29	229.88	82.2	444.09	95.5	283.21	620.95	425.42	449.27	285.01	853.79	318.0	194.99	191.02	156.54	78.03	264.57	292.08	149.94	213.86	365.36	144.45	140.75	0.0	92.08	0.41	45.38	236.39	129.43	39.75	146.28	16.93	9.67	57.7	139.12	287.43	164.48	169.11	75.67
Hnrnpl	51.06	15.76	17.33	33.44	18.12	23.34	65.71	50.68	95.62	51.53	104.19	44.05	20.93	35.69	71.43	18.98	52.46	68.1	29.89	58.32	92.5	35.53	81.14	53.56	22.55	71.52	38.09	42.41	63.68	40.13	60.37	28.95	30.19	12.44	22.27	12.76	19.97	42.91	24.2	46.1	54.54	59.56	32.44	66.14	50.69	55.55	54.07	5.45	67.86	38.6	42.05	94.62	62.45	97.59	54.32	95.52	70.6	150.49	61.27	49.44	73.29	41.11	49.03	85.54	27.68	60.65	13.83	25.32	20.28	17.3	39.53	70.87	23.52	54.59	19.28	40.68	49.84	98.56	61.29	47.47	43.45	45.82	30.73	24.04	18.86	53.57	61.25	73.98	112.63	72.11	44.6	23.93	15.4	3.39	13.38	10.3	6.57	6.88	36.06	64.99	50.92	34.16	37.11	38.58	51.77	66.79	67.57	81.24	50.94
Hsf2	26.13	75.36	39.44	14.25	27.88	1.04	5.39	50.11	53.27	119.77	98.56	5.61	15.85	57.44	74.68	20.86	6.19	35.91	10.75	0.41	11.74	41.41	16.75	90.57	0.92	23.55	70.21	132.31	94.5	111.85	58.07	51.07	3.2	1.02	0.47	0.0	8.99	0.52	1.38	47.93	29.82	46.31	73.37	28.51	8.31	9.92	22.67	18.95	26.89	33.35	38.74	18.58	76.29	100.48	20.33	75.51	173.36	134.25	117.79	85.39	112.61	64.75	116.01	102.02	29.26	68.91	57.22	15.37	20.85	1.3	56.43	17.9	23.74	79.13	15.9	45.87	38.59	68.13	68.42	111.6	53.43	38.45	46.73	29.3	19.31	89.6	59.36	74.73	79.51	62.04	2.24	0.43	6.64	0.55	26.22	0.84	31.44	1.56	25.51	13.09	20.94	1.9	64.33	29.48	75.62	59.59	119.28	130.62	28.56
Kdelr2	17.12	111.72	32.01	28.87	2.02	4.47	66.78	33.55	52.64	94.08	226.31	80.3	92.81	59.64	100.94	74.5	48.7	69.21	78.44	65.45	96.4	2.75	113.63	71.36	5.38	3.56	36.99	21.75	73.3	0.0	116.04	42.78	7.15	0.29	1.08	41.58	41.88	14.76	5.92	1.17	81.41	54.63	78.25	40.73	72.67	41.69	138.24	36.63	151.64	112.48	76.14	12.1	165.23	139.53	40.17	247.1	93.59	102.24	128.05	97.09	181.82	62.09	94.79	118.71	51.76	44.75	44.74	67.75	65.48	40.37	157.14	112.81	76.33	85.13	43.14	147.11	64.09	127.38	180.96	153.27	80.99	107.15	85.32	54.35	37.36	138.21	85.14	113.98	112.91	65.69	107.6	14.45	0.0	0.0	3.56	0.0	70.25	125.13	35.83	17.05	78.75	21.59	1.51	42.03	78.5	54.39	56.56	103.35	6.21
Magi1	17.35	10.74	6.96	42.08	17.21	0.37	37.07	19.09	9.68	25.47	48.06	5.16	91.81	19.89	48.58	7.35	12.55	92.16	35.97	0.0	19.14	4.89	7.85	17.73	6.38	23.94	4.86	41.91	21.68	23.34	8.21	15.49	18.86	0.77	0.41	8.48	13.97	5.22	13.36	0.24	26.76	9.87	15.69	41.2	30.2	10.97	75.23	0.0	15.55	11.16	46.02	23.49	49.89	72.32	14.95	54.86	79.05	69.99	42.88	28.5	83.52	40.76	41.81	53.81	55.17	67.2	18.94	11.34	12.93	4.39	4.84	42.56	49.41	30.83	30.0	47.22	22.06	10.54	29.17	41.02	84.74	55.33	21.51	17.86	15.48	38.43	33.81	35.78	53.23	58.03	9.17	16.84	13.41	0.0	9.85	0.28	16.0	0.07	40.69	0.53	15.32	0.97	21.84	40.58	103.24	17.19	30.47	5.03	4.82
