	Calb2_tdTpositive_cell_9	Cux2_tdTpositive_cell_9	Cux2_tdTpositive_cell_38	Cux2_tdTpositive_cell_50	Cux2_tdTpositive_cell_55	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_74	Cux2_tdTpositive_cell_99	Cux2_tdTpositive_cell_108	Gad2_tdTpositive_cell_42	Gad2_tdTpositive_cell_51	Ndnf_tdTnegative_cell_9	Nos1_tdTpositive_cell_43	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_33	Ntsr1_tdTpositive_cell_12	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_19	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_40	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_53	Ntsr1_tdTpositive_cell_54	Ntsr1_tdTpositive_cell_56	Ntsr1_tdTpositive_cell_65	Ntsr1_tdTpositive_cell_72	Ntsr1_tdTpositive_cell_75	Ntsr1_tdTnegative_cell_1	Ntsr1_tdTnegative_cell_7	Ntsr1_tdTnegative_cell_40	Rbp4_tdTpositive_cell_54	Rbp4_tdTpositive_cell_82	Rbp4_tdTpositive_cell_89	Rbp4_tdTpositive_cell_100	Rbp4_tdTpositive_cell_112	Rbp4_tdTpositive_cell_160	Rbp4_tdTpositive_cell_163	Rbp4_tdTpositive_cell_183	Scnn1a.Tg3_tdTpositive_cell_41	Scnn1a.Tg3_tdTpositive_cell_70	Scnn1a.Tg3_tdTpositive_cell_92	Scnn1a.Tg3_tdTnegative_cell_24	Slc17a6_tdTpositive_cell_4	Slc17a6_tdTpositive_cell_10	Slc17a6_tdTpositive_cell_11	Slc17a6_tdTpositive_cell_14	Slc17a6_tdTpositive_cell_21	Slc17a6_tdTpositive_cell_22	Slc17a6_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_29	Slc17a6_tdTpositive_cell_30	Slc17a6_tdTpositive_cell_31	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	CAV_LP_Ipsi_tdTpos_cell_21	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_33	CAV_LP_Ipsi_tdTpos_cell_35	CAV_LP_Ipsi_tdTpos_cell_38	CAV_LP_Ipsi_tdTpos_cell_39	CAV_LP_Ipsi_tdTpos_cell_41	CAV_LP_Ipsi_tdTpos_cell_42	CAV_LP_Ipsi_tdTpos_cell_43	CAV_VISp_Contra_tdTpos_cell_4
Drd1a	0.0	0.0	0.0	118.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.31	2.22	1.23	7.22	8.29	9.3	18.85	0.87	7.38	0.45	10.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.67
Ergic1	75.62	0.0	4.58	4.42	1.3	0.0	0.0	0.0	55.48	0.0	5.36	0.0	1.04	0.43	0.31	6.83	10.78	55.12	4.09	26.17	30.18	0.14	50.57	1.12	2.0	59.27	0.0	0.0	1.31	70.53	6.78	2.81	1.59	5.13	0.0	2.38	0.0	0.0	0.35	1.21	13.61	2.74	41.53	0.0	0.0	0.23	0.23	0.28	104.85	27.45	3.18	32.7	0.0	0.93	14.29	23.18	41.85	33.14	34.86	29.37	37.16	22.66	23.3	32.99	12.23	0.2	87.09	13.24	103.62	150.51	73.47	46.73	0.17	0.13	128.58	3.99	2.29	1.84	99.37
Fam162a	0.0	0.0	84.45	111.29	0.0	0.0	0.0	120.83	21.17	0.0	0.0	0.0	22.02	0.0	205.64	7.93	113.56	194.11	0.0	180.78	141.42	0.0	77.44	179.06	1.79	0.0	95.3	191.66	2.69	0.0	0.0	15.86	0.0	0.0	0.0	119.28	3.41	0.0	0.0	0.76	10.14	0.0	79.31	0.0	2.63	0.0	0.0	0.0	5.91	0.0	111.03	62.44	0.0	0.0	28.95	43.17	30.13	68.86	53.95	43.31	61.4	40.3	50.15	48.34	48.66	0.0	366.96	0.0	0.0	0.0	5.23	0.0	0.0	1.86	0.0	34.17	0.0	0.66	73.53
Foxp2	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.28	25.77	36.77	82.85	85.35	7.76	6.05	41.27	27.49	41.28	24.2	120.88	105.02	43.93	0.0	0.0	0.0	0.0	6.75	0.18	0.0	0.0	0.99	61.58	0.02	0.0	0.11	0.0	0.0	0.0	0.09	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.75	48.04	27.02	63.78	29.71	62.67	64.09	27.96	55.0	30.97	73.1	44.23	56.01	68.05	6.19	34.99	66.43	23.09	50.78	55.13	88.88	46.87	27.08	116.33	0.24
Gadd45a	0.0	10.33	0.0	0.0	0.0	0.0	0.0	0.0	62.8	0.0	0.0	0.0	0.0	0.0	0.0	40.51	48.15	10.43	145.91	22.87	353.06	122.9	118.82	48.35	35.36	88.77	24.37	96.97	13.99	75.44	0.0	4.89	0.0	0.0	0.0	0.0	4.14	223.22	96.65	15.82	0.0	0.0	0.0	0.0	0.0	0.0	21.49	0.0	0.0	3.02	0.0	23.82	37.44	0.0	158.63	88.45	73.03	73.06	129.8	61.92	82.07	43.51	48.07	48.81	49.14	217.04	46.8	8.07	25.14	7.85	140.19	18.58	98.97	43.56	125.77	150.2	143.32	345.15	10.71
Gas6	3.74	12.68	0.0	125.97	122.23	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.08	4.04	0.0	83.37	44.24	0.0	0.0	4.67	0.0	0.99	51.17	0.0	0.46	0.0	1.48	1.12	21.89	102.65	0.0	39.06	0.0	79.94	0.74	0.0	0.66	181.76	0.06	0.0	0.0	43.7	0.0	0.0	0.0	0.0	13.26	0.0	0.0	0.0	8.36	7.74	10.34	7.88	3.13	7.88	15.38	8.77	9.34	12.75	8.52	0.0	3.51	0.55	0.0	15.2	0.0	0.0	39.2	0.0	0.0	0.0	0.09	0.45	10.25
Gm13306	34.95	2.68	87.91	26.22	0.0	41.09	0.0	4.09	0.0	0.0	0.0	0.0	0.0	32.42	70.05	56.03	131.07	47.74	5.88	112.91	79.41	188.03	85.18	270.93	98.79	154.8	310.06	73.83	34.34	3.11	4.63	0.0	28.3	49.81	127.16	50.44	8.22	387.32	161.83	7.32	235.28	5.35	72.74	0.0	0.54	4.67	174.38	0.69	3.11	0.0	34.73	4.74	156.7	0.0	164.03	114.56	132.22	177.66	125.27	74.98	103.08	54.7	62.2	75.81	61.27	88.07	319.12	80.83	176.84	149.77	84.31	191.16	132.48	211.91	132.15	21.24	212.54	95.77	11.63
Gm2002	0.0	0.09	0.05	0.33	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.16	1.22	0.2	0.22	0.29	5.79	0.0	2.13	0.0	0.42	0.33	15.55	0.0	0.0	0.0	0.0	0.07	0.0	0.07	0.0	0.0	0.72	0.26	1.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.24	0.0	0.61	0.21	1.13	2.82	5.81	2.35	3.62	0.0	0.41	0.96	1.27	0.21	0.17	27.58	0.0	0.28	0.0	0.08	0.09	19.79	0.0	0.0	9.22	0.16	0.23
Gm2506	34.95	2.68	87.91	26.22	0.0	41.09	0.0	4.09	0.0	0.0	0.0	0.0	0.0	32.42	70.05	56.03	131.07	47.74	5.88	112.91	79.41	188.03	85.18	270.93	98.79	154.8	310.06	73.83	34.34	3.11	4.63	0.0	28.3	49.81	127.16	50.44	8.22	387.32	161.83	7.32	235.28	5.35	72.74	0.0	0.54	4.67	174.38	0.69	3.11	0.0	34.73	4.74	156.7	0.0	164.03	114.56	132.22	177.66	125.27	74.98	103.08	54.7	62.2	75.81	61.27	88.07	319.12	80.83	176.84	149.77	84.31	191.16	132.48	211.91	132.15	21.24	212.54	95.77	11.63
Gpr123	0.17	0.35	0.0	0.11	28.77	0.0	0.0	0.17	97.93	27.69	10.8	0.1	6.75	0.0	0.0	179.45	123.61	65.37	54.46	35.34	31.18	191.72	17.39	62.72	22.44	239.61	304.66	97.58	23.26	151.55	105.21	21.59	38.11	58.62	10.19	22.62	35.97	369.51	109.79	16.7	0.0	0.14	13.06	0.0	0.32	9.63	249.64	0.0	15.76	16.25	99.77	13.84	119.09	14.41	109.78	118.45	139.55	113.09	123.39	121.77	112.58	79.16	100.72	98.91	41.43	0.2	331.87	55.57	212.23	126.03	201.13	190.02	49.28	51.19	109.1	44.35	122.09	97.42	61.68
Gyg	0.0	9.53	133.76	25.03	0.0	0.0	0.0	0.0	17.71	0.0	0.0	159.3	16.18	0.0	185.41	0.23	67.6	125.76	37.0	290.17	356.32	86.5	140.11	16.57	0.65	7.31	153.17	7.44	0.71	139.57	94.69	11.14	115.35	49.05	0.0	0.0	285.2	165.61	143.63	183.06	18.84	0.0	72.23	0.0	111.17	15.93	58.35	333.14	21.18	28.25	10.78	105.39	30.09	10.94	84.4	132.68	91.33	100.9	100.25	85.08	71.11	75.98	101.49	93.86	54.76	156.8	7.12	106.47	0.0	0.0	0.0	0.0	38.89	322.87	186.59	264.02	66.6	61.65	62.34
Il11ra2	0.0	0.09	0.05	0.33	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.16	1.22	0.2	0.22	0.29	5.79	0.0	2.13	0.0	0.42	0.33	15.55	0.0	0.0	0.0	0.0	0.07	0.0	0.07	0.0	0.0	0.72	0.26	1.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.24	0.0	0.61	0.21	1.13	2.82	5.81	2.35	3.62	0.0	0.41	0.96	1.27	0.21	0.17	27.58	0.0	0.28	0.0	0.08	0.09	19.79	0.0	0.0	9.22	0.16	0.23
Kbtbd3	0.0	1.4	0.0	0.0	0.25	13.46	59.31	16.0	13.63	0.0	0.0	0.0	15.95	0.0	7.19	8.63	62.3	41.9	0.28	56.42	0.19	45.11	130.23	21.23	0.0	7.85	41.34	114.4	0.34	109.3	63.45	0.0	17.86	0.0	0.0	0.0	0.0	0.0	19.67	0.97	0.0	0.0	0.0	0.0	19.81	0.0	0.0	25.04	0.0	0.0	98.96	0.0	0.0	0.27	29.09	26.91	34.43	24.09	32.85	40.46	9.35	30.35	23.38	35.98	43.66	0.0	0.0	53.54	0.0	0.0	0.0	12.77	29.6	54.82	0.52	6.43	162.31	48.78	4.42
Map2k1	29.6	0.0	13.91	20.75	237.38	28.7	0.0	0.0	0.0	238.91	0.36	11.36	142.07	0.17	42.81	81.91	16.73	78.13	361.54	115.78	17.84	222.11	58.47	101.79	0.23	127.35	323.96	39.36	188.83	76.58	39.96	15.94	97.94	45.36	6.25	41.05	92.26	13.4	41.18	61.62	0.36	144.81	0.41	0.0	2.93	11.76	177.87	29.58	0.0	244.45	5.77	72.07	75.04	61.77	80.55	77.73	70.47	63.44	51.68	92.03	115.51	29.71	67.84	66.1	71.84	8.97	40.87	0.0	0.19	64.99	0.0	0.0	310.61	114.26	22.76	39.42	130.81	57.98	11.58
Mtg1	19.01	118.12	54.41	0.0	0.0	162.3	0.59	0.0	31.8	0.0	0.0	191.34	0.0	0.25	0.29	0.27	0.0	96.56	0.0	0.0	0.78	167.01	0.24	46.98	0.0	0.0	239.53	2.84	0.15	81.31	0.0	23.11	168.89	81.56	0.0	234.38	0.0	117.42	0.0	0.0	94.53	0.48	2.18	0.0	0.0	0.0	108.85	131.33	398.56	0.0	106.46	0.0	0.0	81.49	17.55	79.43	96.7	111.94	49.25	76.36	39.24	71.56	56.9	63.11	40.25	150.43	0.0	1.05	10.37	47.36	0.0	0.0	122.87	0.0	0.0	82.58	0.0	0.0	42.26
Ndufc2	361.64	314.73	208.42	328.06	254.76	449.39	23.51	210.61	227.78	727.21	334.35	570.97	562.05	254.74	411.05	300.11	758.45	210.08	585.14	199.53	370.43	549.41	653.3	322.45	552.23	512.83	678.19	386.66	528.48	593.16	407.8	441.13	741.62	438.13	429.69	802.05	279.0	234.08	331.05	524.57	108.72	10.55	364.52	0.0	604.17	100.6	504.59	530.13	704.14	409.6	439.48	292.02	521.62	549.18	609.14	567.57	513.85	548.57	696.22	720.07	598.52	628.43	710.46	802.24	467.2	539.83	677.93	535.38	403.63	1022.84	409.29	425.58	498.29	591.23	457.47	427.03	611.17	524.43	444.28
Nrp1	0.06	2.74	0.0	0.0	55.73	0.0	0.0	0.0	0.06	0.0	42.27	0.0	0.0	0.0	0.0	45.72	88.65	75.73	69.97	58.17	4.39	47.29	70.75	7.66	39.9	37.87	73.98	41.33	18.42	63.13	0.0	80.03	9.53	4.6	0.0	50.01	0.08	15.54	1.98	22.49	0.22	0.12	0.0	0.0	0.0	9.87	16.25	0.0	0.0	0.0	7.71	0.0	83.55	0.0	74.65	66.75	99.89	94.79	62.08	62.79	64.41	47.8	80.63	42.1	86.26	29.39	45.29	87.68	1.1	19.27	54.19	90.65	102.68	125.05	0.04	57.73	44.64	36.28	0.0
Pitpnc1	7.23	59.45	0.04	5.91	1.02	16.19	0.0	0.0	0.0	0.11	0.0	12.45	0.06	0.06	13.44	193.19	50.58	57.75	76.13	124.22	9.79	243.61	201.95	82.99	116.04	128.99	57.66	42.76	73.47	0.1	0.0	0.0	0.83	3.13	0.0	19.38	44.0	194.9	177.38	6.22	67.73	0.2	0.03	49.24	6.51	0.0	129.57	0.0	0.0	0.0	0.0	0.0	219.15	6.21	185.86	123.22	124.4	96.16	170.29	99.54	143.67	117.29	113.82	90.15	254.83	203.12	19.73	0.13	3.01	63.46	36.94	20.25	45.15	104.9	87.09	99.98	109.05	128.15	20.41
Prcc	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.6	43.38	0.0	0.0	0.0	0.0	0.94	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.42	0.0	0.0	0.3	0.0	0.0	0.0	6.15	0.0	0.71	0.0	0.15	6.33	2.13	4.97	11.05	2.93	0.0	0.42	0.0	0.0	0.0	0.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rbmxl1	4.2	97.85	0.0	0.0	0.0	125.38	0.0	0.42	0.0	0.0	4.16	35.68	0.0	0.48	236.59	53.57	0.48	190.04	0.0	146.2	0.0	26.52	235.11	211.79	0.0	0.0	194.55	108.97	92.24	189.37	0.77	152.73	152.53	156.06	0.0	0.26	174.7	104.81	0.19	104.09	0.0	0.0	9.68	0.0	81.16	84.49	0.39	4.71	86.93	204.62	75.63	38.29	105.37	74.21	134.39	117.57	85.58	99.42	87.91	81.46	91.49	55.65	97.43	111.01	53.2	136.37	10.96	150.71	72.05	71.7	0.0	61.97	22.47	0.0	104.55	126.69	115.52	0.47	41.92
Rcan2	83.02	123.99	14.08	0.24	0.0	5.69	0.22	0.19	130.51	0.0	0.0	0.37	0.0	5.99	143.26	569.51	261.93	0.81	87.11	223.84	139.02	543.98	330.59	130.73	31.77	30.02	229.42	71.81	137.08	2.67	0.0	0.09	151.32	74.42	116.97	181.12	0.31	157.47	466.24	1.44	178.14	0.69	158.73	0.0	0.0	1.15	632.44	0.27	73.84	128.26	0.0	52.01	623.22	0.2	284.7	348.81	388.63	195.29	399.3	298.91	190.75	307.68	251.86	204.55	235.52	459.98	148.8	14.74	1.56	198.26	186.48	371.91	159.47	24.8	141.38	340.12	131.35	69.03	0.0
Rell1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.57	34.59	70.56	17.85	34.61	2.62	7.42	13.41	9.84	14.62	24.56	0.0	8.64	0.0	0.67	4.38	0.0	0.06	0.0	7.99	0.0	0.0	0.0	63.03	126.59	0.0	13.94	0.0	2.06	0.0	0.0	0.0	22.62	0.0	0.0	0.18	0.0	0.0	149.73	0.0	36.73	51.86	39.63	48.18	28.57	29.25	22.11	27.02	31.28	18.3	46.55	139.04	150.05	13.37	51.79	125.19	76.52	48.48	35.31	72.85	46.09	57.85	22.23	36.4	14.6
Rock1	0.19	0.0	0.0	27.94	0.0	22.78	0.13	1.56	20.32	0.0	0.28	54.43	22.21	26.08	0.0	71.31	23.96	6.37	0.0	0.98	0.07	0.49	2.68	2.67	0.0	1.14	114.8	10.54	0.06	16.23	0.71	30.76	0.0	7.69	0.0	19.96	0.32	54.48	0.0	41.89	95.44	3.7	10.71	0.0	39.09	0.0	0.0	0.0	57.34	0.0	0.0	0.48	0.0	0.0	19.95	13.43	15.98	14.78	13.75	16.81	12.87	13.67	17.87	12.4	21.53	0.17	40.18	1.22	12.22	4.4	0.0	26.37	7.48	0.0	20.41	58.68	56.73	0.0	2.94
