	Calb2_tdTpositive_cell_27	Calb2_tdTpositive_cell_43	Calb2_tdTpositive_cell_54	Chrna2_tdTpositive_cell_51	Chrna2_tdTpositive_cell_69	Ctgf_tdTpositive_cell_9	Ctgf_tdTpositive_cell_11	Ctgf_tdTpositive_cell_12	Ctgf_tdTpositive_cell_13	Ctgf_tdTpositive_cell_14	Ctgf_tdTpositive_cell_17	Ctgf_tdTpositive_cell_18	Ctgf_tdTpositive_cell_19	Ctgf_tdTpositive_cell_20	Htr3a_tdTpositive_cell_79	Htr3a_tdTpositive_cell_96	Htr3a_tdTpositive_cell_99	Htr3a_tdTpositive_cell_106	Htr3a_tdTpositive_cell_111	Htr3a_tdTpositive_cell_113	Htr3a_tdTpositive_cell_117	Htr3a_tdTpositive_cell_121	Nos1_tdTpositive_cell_26	Nos1_tdTpositive_cell_56	Ntsr1_tdTpositive_cell_4	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_22	Ntsr1_tdTpositive_cell_25	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_28	Ntsr1_tdTpositive_cell_30	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_52	Ntsr1_tdTpositive_cell_57	Ntsr1_tdTpositive_cell_77	Ntsr1_tdTnegative_cell_16	Rbp4_tdTpositive_cell_5	Rbp4_tdTpositive_cell_60	Rbp4_tdTpositive_cell_76	Rbp4_tdTpositive_cell_121	Rbp4_tdTpositive_cell_125	Rbp4_tdTpositive_cell_135	Rbp4_tdTpositive_cell_162	Rbp4_tdTpositive_cell_180	Rorb_tdTpositive_cell_40	Scnn1a.Tg3_tdTpositive_cell_62	Scnn1a.Tg3_tdTnegative_cell_3	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_20	Slc17a6_tdTpositive_cell_23	Slc17a6_tdTpositive_cell_24	Slc17a6_tdTpositive_cell_40	Sst_tdTpositive_cell_18	Vip_tdTpositive_cell_69	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_7	CAV_LP_Ipsi_tdTpos_cell_10	CAV_LP_Ipsi_tdTpos_cell_19	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_32	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Ccl27b	0.0	0.0	0.0	19.36	4.51	0.0	0.0	44.05	160.73	51.88	0.59	146.98	119.29	39.7	4.28	71.72	103.02	0.11	14.78	166.07	16.68	0.8	0.0	0.29	131.13	0.0	25.12	86.45	5.88	182.31	147.36	54.51	310.16	188.03	85.18	111.71	178.93	183.85	79.46	62.7	0.0	0.0	125.6	118.89	200.54	72.67	2.1	11.0	118.2	5.22	106.59	0.0	0.0	0.0	0.0	0.0	144.42	30.14	150.83	108.35	4.89	0.0	164.03	114.56	132.22	177.66	125.27	74.98	103.08	54.7	62.2	75.81	61.27	76.52	71.98	138.81	91.35	100.7	111.82	80.83	235.31	83.58	176.84	97.07	149.77	258.72	30.63	28.29	22.96
Cdkal1	0.0	0.0	43.72	1.42	0.0	0.0	0.0	5.28	43.36	5.94	61.57	47.29	7.63	7.53	0.0	16.42	134.98	45.82	0.0	6.31	0.0	0.0	53.96	0.0	9.17	0.0	16.93	9.27	114.5	42.85	0.0	119.33	0.32	62.36	0.0	194.33	0.13	41.24	89.98	0.14	0.0	12.27	0.0	0.9	6.24	14.26	0.0	15.72	3.81	11.9	149.32	0.0	0.0	0.0	418.96	0.81	15.06	0.0	13.14	0.21	12.28	0.0	7.43	18.08	35.66	26.44	25.73	32.44	41.55	25.05	22.99	25.66	16.96	21.32	12.88	0.0	27.05	2.73	0.8	31.25	10.44	19.99	22.59	0.0	22.37	3.74	8.6	9.39	8.72
Cecr6	0.0	0.0	0.0	0.0	3.53	0.0	23.24	16.69	0.14	23.13	0.0	0.55	0.13	21.97	30.78	6.12	30.45	0.0	29.42	2.06	0.37	0.11	0.0	0.05	59.87	0.29	0.33	2.0	0.2	0.0	0.13	0.72	0.0	1.88	0.14	0.36	42.22	15.64	0.3	0.39	0.0	0.69	3.87	2.04	0.0	4.38	0.48	6.67	10.97	0.1	26.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.83	28.13	0.0	0.0	10.0	8.16	18.16	19.71	10.58	4.64	4.67	11.39	2.17	16.29	8.44	13.65	10.81	0.0	2.14	46.41	36.37	0.63	0.24	0.3	0.0	15.08	0.2	0.0	48.26	48.63	46.62
Dclk3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.29	0.0	0.0	0.0	33.37	0.16	0.0	0.0	30.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.11	0.0	45.34	1.5	34.72	0.0	0.0	0.67	6.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.77	0.0	0.0	0.2	3.97	6.86	3.19	4.52	3.41	3.18	4.18	13.76	14.62	6.37	6.56	6.72	0.0	0.0	0.0	0.0	0.0	0.0	9.8	0.0	16.7	28.83	0.0	37.71	38.71	37.95
Dlg4	0.0	0.48	0.11	1.58	0.3	0.0	3.52	4.38	4.15	1.84	1.56	0.31	18.92	4.42	1.49	0.39	2.37	16.33	0.77	5.47	0.41	1.16	0.0	0.0	30.4	0.0	1.1	1.05	0.18	0.2	0.97	4.24	1.05	6.73	0.42	8.37	1.38	2.53	6.89	0.78	0.0	21.33	16.46	35.8	1.13	3.57	2.38	0.79	1.2	0.8	1.31	0.0	0.0	0.0	0.0	0.0	0.48	0.0	0.35	7.34	0.0	0.27	5.1	3.11	5.32	0.69	3.65	4.76	1.38	8.81	1.85	7.75	3.76	3.92	3.13	0.29	4.56	3.53	0.41	0.85	0.11	0.36	1.21	0.37	1.36	0.3	535.98	535.3	542.17
Efhd2	0.0	163.56	2.47	84.73	81.59	0.0	78.78	111.91	70.93	200.5	125.45	113.2	82.54	74.76	170.64	100.23	191.68	117.12	5.29	86.32	138.45	76.84	82.1	0.0	256.4	206.92	210.04	34.43	36.73	273.03	111.82	98.49	0.0	227.01	277.89	132.85	270.7	169.23	34.26	103.3	0.0	371.68	38.0	84.27	123.95	29.83	20.68	72.64	18.41	16.9	145.49	0.0	0.43	0.0	0.0	0.0	50.76	4.12	289.39	143.08	52.04	472.8	142.54	120.52	210.44	172.65	192.31	183.35	153.76	164.31	142.85	142.89	130.74	108.17	112.36	32.05	90.95	27.52	118.66	103.35	69.01	230.51	0.74	187.94	7.99	5.25	252.09	258.98	262.64
Emb	0.0	0.0	9.78	0.0	0.0	0.0	0.0	58.69	36.66	38.19	0.0	10.69	30.72	141.95	12.03	0.0	228.99	25.82	35.95	0.0	14.3	0.0	2.15	77.96	0.3	0.0	51.94	107.68	112.01	0.0	49.77	0.0	0.0	0.15	79.74	138.26	0.25	208.46	67.23	186.34	0.0	0.0	0.32	0.0	0.0	124.88	0.15	1.9	5.85	0.0	54.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	228.66	0.0	0.0	62.06	116.43	76.78	106.8	118.77	89.2	92.87	62.94	90.37	73.11	85.08	60.17	81.66	20.57	26.06	47.49	152.67	149.19	65.1	0.0	298.59	0.0	5.68	0.0	22.37	23.13	21.03
Garnl3	0.0	0.0	0.0	20.47	41.92	0.0	0.0	31.98	106.24	76.67	0.19	40.57	112.99	15.64	14.02	45.67	134.04	5.94	116.14	56.31	28.4	53.62	4.28	4.29	190.01	0.21	54.78	179.78	15.28	225.47	56.71	171.8	45.6	161.35	134.78	88.03	92.48	167.06	246.98	217.52	0.0	0.0	55.73	0.13	84.06	29.43	49.36	0.0	7.68	7.72	259.92	0.0	0.0	0.0	0.0	0.0	0.0	63.2	156.35	125.53	25.29	0.0	144.11	151.03	201.89	92.82	125.14	116.85	131.41	97.1	118.28	100.3	145.51	149.22	162.75	39.09	14.5	158.81	125.49	18.95	77.0	46.06	109.55	13.32	56.93	0.59	60.81	61.78	62.21
Gm13306	0.0	0.0	0.0	19.36	4.51	0.0	0.0	44.05	160.73	51.88	0.59	146.98	119.29	39.7	4.28	71.72	103.02	0.11	14.78	166.07	16.68	0.8	0.0	0.29	131.13	0.0	25.12	86.45	5.88	182.31	147.36	54.51	310.16	188.03	85.18	111.71	178.93	183.85	79.46	62.7	0.0	0.0	125.6	118.89	200.54	72.67	2.1	11.0	118.2	5.22	106.59	0.0	0.0	0.0	0.0	0.0	144.42	30.14	150.83	108.35	4.89	0.0	164.03	114.56	132.22	177.66	125.27	74.98	103.08	54.7	62.2	75.81	61.27	76.52	71.98	138.81	91.35	100.7	111.82	80.83	235.31	83.58	176.84	97.07	149.77	258.72	30.63	28.29	22.96
Gm14431	0.75	0.4	1.45	0.0	0.21	0.18	2.06	0.9	7.16	3.04	0.7	0.4	0.68	1.13	0.7	1.23	2.26	5.96	0.99	3.6	5.62	0.0	0.13	0.17	0.0	0.0	0.74	1.04	0.0	0.21	0.0	1.31	1.02	0.0	2.71	0.48	0.0	0.0	5.6	0.26	0.0	0.0	1.97	0.96	0.0	1.55	1.08	2.22	7.13	0.28	0.0	0.0	0.07	0.0	0.0	0.0	1.68	0.0	1.11	0.0	0.89	0.7	0.11	1.14	4.1	0.53	4.2	0.51	2.49	0.71	2.11	0.72	0.99	0.9	1.65	2.13	4.76	0.91	0.06	0.0	0.0	3.76	0.0	0.37	3.49	0.5	8.87	7.17	8.34
Gm2002	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.39	0.65	0.0	0.12	0.1	3.95	0.11	0.0	0.07	2.85	0.0	0.0	0.19	7.96	0.0	0.0	0.0	0.27	0.0	0.28	0.21	0.2	0.14	0.15	0.0	0.43	5.79	0.0	3.08	21.65	19.08	0.46	0.0	0.0	0.11	0.17	0.0	0.0	0.2	0.0	0.0	0.24	0.0	0.31	0.0	0.0	0.0	0.0	0.0	0.34	0.0	0.27	0.0	0.0	0.0	0.61	0.21	1.13	2.82	5.81	2.35	3.62	0.0	0.41	0.96	1.27	4.28	1.89	2.41	0.06	0.0	0.07	27.58	0.0	0.0	0.0	0.36	0.28	0.2	1.73	1.86	1.4
Gm2506	0.0	0.0	0.0	19.36	4.51	0.0	0.0	44.05	160.73	51.88	0.59	146.98	119.29	39.7	4.28	71.72	103.02	0.11	14.78	166.07	16.68	0.8	0.0	0.29	131.13	0.0	25.12	86.45	5.88	182.31	147.36	54.51	310.16	188.03	85.18	111.71	178.93	183.85	79.46	62.7	0.0	0.0	125.6	118.89	200.54	72.67	2.1	11.0	118.2	5.22	106.59	0.0	0.0	0.0	0.0	0.0	144.42	30.14	150.83	108.35	4.89	0.0	164.03	114.56	132.22	177.66	125.27	74.98	103.08	54.7	62.2	75.81	61.27	76.52	71.98	138.81	91.35	100.7	111.82	80.83	235.31	83.58	176.84	97.07	149.77	258.72	30.63	28.29	22.96
Gm8898	0.75	0.4	1.45	0.0	0.21	0.18	2.06	0.9	7.16	3.04	0.7	0.4	0.68	1.13	0.7	1.23	2.26	5.96	0.99	3.6	5.62	0.0	0.13	0.17	0.0	0.0	0.74	1.04	0.0	0.21	0.0	1.31	1.02	0.0	2.71	0.48	0.0	0.0	5.6	0.26	0.0	0.0	1.97	0.96	0.0	1.55	1.08	2.22	7.13	0.28	0.0	0.0	0.07	0.0	0.0	0.0	1.68	0.0	1.11	0.0	0.89	0.7	0.11	1.14	4.1	0.53	4.2	0.51	2.49	0.71	2.11	0.72	0.99	0.9	1.65	2.13	4.76	0.91	0.06	0.0	0.0	3.76	0.0	0.37	3.49	0.5	8.87	7.17	8.34
Grip2	0.0	0.0	13.43	0.0	0.0	0.0	0.0	0.82	0.0	0.0	0.0	3.4	2.04	17.22	0.0	0.0	27.51	0.0	16.83	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	1.48	0.0	101.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	41.62	0.0	0.0	0.0	0.0	0.0	0.38	2.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	94.52	0.0	0.0	0.0	0.0	405.6	3.21	5.03	1.67	2.6	6.37	0.06	0.55	5.22	1.76	1.9	2.53	6.1	1.47	0.0	0.0	2.66	30.16	0.0	8.15	0.0	74.91	0.06	0.0	0.0	14.6	16.33	16.53
Hsph1	12.06	20.49	116.85	93.2	115.53	0.0	123.37	198.61	176.38	205.88	132.99	246.29	80.7	210.98	104.94	187.09	513.98	153.27	130.24	158.54	162.64	160.9	47.37	3.84	375.25	0.61	470.2	236.59	208.24	0.1	182.01	258.14	28.03	349.7	139.01	163.15	108.62	250.18	112.92	344.48	0.0	772.31	230.01	266.35	219.32	176.85	161.35	134.76	77.8	93.2	229.6	0.0	0.0	0.0	0.0	0.15	252.2	122.82	156.14	271.52	53.82	44.15	209.38	282.01	326.44	222.16	210.34	235.88	315.47	208.3	201.63	127.87	213.44	193.74	203.15	118.59	43.08	61.58	189.94	33.67	50.38	77.89	149.15	252.94	62.81	306.19	238.03	226.06	225.17
Igsf21	0.0	0.0	0.0	0.0	0.0	0.0	0.39	20.83	3.83	72.43	0.0	13.59	12.58	51.38	38.86	4.95	35.74	0.0	38.23	28.79	7.73	16.39	0.0	0.0	0.0	0.0	17.09	50.87	2.16	62.12	4.23	75.72	83.42	0.0	0.35	35.21	3.14	0.0	1.76	0.0	0.0	0.0	6.67	42.8	0.0	0.0	0.0	0.0	22.87	0.0	12.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.21	0.0	0.0	10.74	5.23	6.41	14.06	10.39	18.62	20.97	10.53	11.2	8.77	6.06	11.79	15.23	2.93	0.29	1.92	0.0	0.0	2.18	0.0	0.0	0.0	34.97	0.0	58.91	64.14	70.63
Il11ra2	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.39	0.65	0.0	0.12	0.1	3.95	0.11	0.0	0.07	2.85	0.0	0.0	0.19	7.96	0.0	0.0	0.0	0.27	0.0	0.28	0.21	0.2	0.14	0.15	0.0	0.43	5.79	0.0	3.08	21.65	19.08	0.46	0.0	0.0	0.11	0.17	0.0	0.0	0.2	0.0	0.0	0.24	0.0	0.31	0.0	0.0	0.0	0.0	0.0	0.34	0.0	0.27	0.0	0.0	0.0	0.61	0.21	1.13	2.82	5.81	2.35	3.62	0.0	0.41	0.96	1.27	4.28	1.89	2.41	0.06	0.0	0.07	27.58	0.0	0.0	0.0	0.36	0.28	0.2	1.73	1.86	1.4
Kcnab2	0.0	0.0	76.44	0.0	18.75	0.0	1.36	5.49	4.58	15.1	33.41	6.09	0.35	2.28	0.35	8.79	59.6	0.0	0.63	23.68	4.67	13.32	53.95	0.79	87.23	4.55	14.72	76.05	0.64	0.0	20.14	52.91	0.15	2.69	13.2	53.58	36.77	1.3	1.11	21.75	0.0	0.16	0.77	0.63	0.21	20.6	0.77	0.4	22.67	15.27	64.52	0.0	0.0	0.0	0.0	0.0	23.48	0.0	0.49	67.03	1.58	0.0	24.39	16.5	34.68	25.16	12.59	25.17	14.57	12.79	18.27	25.01	31.15	32.49	24.29	0.27	14.17	9.65	1.88	0.39	15.92	11.09	85.45	0.08	15.16	0.63	267.74	284.22	279.19
Lmna	0.31	0.0	25.53	0.0	0.0	0.0	52.21	52.48	38.03	20.27	20.89	44.3	59.74	36.9	51.04	18.88	40.54	24.7	45.64	28.28	31.12	33.08	0.0	11.09	78.75	0.11	50.99	104.98	19.56	13.26	23.84	14.27	12.13	20.16	26.81	53.32	81.22	83.34	54.6	18.76	0.0	24.32	0.0	18.35	101.53	15.35	31.3	18.16	62.81	15.36	24.79	0.0	0.0	0.0	0.0	0.0	0.5	0.24	12.93	29.45	93.08	0.0	56.72	44.08	51.89	49.17	38.17	42.35	61.84	38.77	33.19	33.29	46.18	47.2	50.42	0.0	20.95	122.34	29.24	0.0	20.16	62.4	0.0	13.86	35.18	0.0	41.87	47.61	40.73
