	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_4	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_7	Ctgf_tdTpositive_cell_9	Ctgf_tdTpositive_cell_10	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_64	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_6	Ndnf_tdTpositive_cell_8	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_11	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_20	Ndnf_tdTnegative_cell_10	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Scnn1a.Tg3_tdTnegative_cell_12	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_28	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_65	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101
Gm14430	8.29	2.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.4	17.47	8.79	1.79	19.54	23.07	13.78	13.59	0.0	0.0	0.12	0.0	0.0	0.0	0.0	6.19	15.98	0.27	6.16	0.01	0.03	0.0	4.55	5.5	0.17	11.93	0.0	2.84	13.27	0.37	0.47	11.48	0.12	11.84	6.27	12.37	0.0	0.11	0.0	5.6	4.55	0.54	1.09	2.37	0.22	12.18	0.0	2.39	0.82	0.0	19.93	0.0	4.29	0.26	0.72	0.0	8.42
Gm14434	8.29	2.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.4	17.47	8.79	1.79	19.54	23.07	13.78	13.59	0.0	0.0	0.12	0.0	0.0	0.0	0.0	6.19	15.98	0.27	6.16	0.01	0.03	0.0	4.55	5.5	0.17	11.93	0.0	2.84	13.27	0.37	0.47	11.48	0.12	11.84	6.27	12.37	0.0	0.11	0.0	5.6	4.55	0.54	1.09	2.37	0.22	12.18	0.0	2.39	0.82	0.0	19.93	0.0	4.29	0.26	0.72	0.0	8.42
Gm4724	8.29	2.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.4	17.47	8.79	1.79	19.54	23.07	13.78	13.59	0.0	0.0	0.12	0.0	0.0	0.0	0.0	6.19	15.98	0.27	6.16	0.01	0.03	0.0	4.55	5.5	0.17	11.93	0.0	2.84	13.27	0.37	0.47	11.48	0.12	11.84	6.27	12.37	0.0	0.11	0.0	5.6	4.55	0.54	1.09	2.37	0.22	12.18	0.0	2.39	0.82	0.0	19.93	0.0	4.29	0.26	0.72	0.0	8.42
Gria3	15.14	16.08	1.22	0.0	0.0	0.0	0.0	0.0	0.0	63.22	116.85	32.36	106.4	248.04	399.52	123.31	67.24	0.0	0.0	0.0	0.0	0.0	0.0	0.09	9.91	20.36	0.05	45.87	0.13	0.94	35.67	4.44	3.37	30.79	0.07	0.0	38.48	7.11	13.52	28.84	295.62	11.32	87.94	22.78	24.04	53.1	0.09	29.36	24.07	22.78	0.06	51.51	56.14	0.22	1.27	0.0	42.33	29.15	0.63	454.34	107.9	8.22	0.99	53.73	12.74	39.18
Gtf2i	2.79	2.99	13.55	268.39	0.0	92.24	4.02	0.0	0.0	16.01	76.43	71.36	32.59	60.15	110.53	96.24	79.52	0.0	0.14	0.0	0.0	0.0	0.0	0.0	15.76	0.43	0.0	29.12	7.38	0.02	13.71	44.15	1.28	0.51	0.89	0.0	5.34	26.11	0.84	0.06	1.66	56.66	30.82	20.0	0.28	24.44	68.41	51.15	40.66	1.47	0.33	2.07	16.47	0.05	0.23	0.0	0.26	0.1	6.75	29.59	7.75	17.26	1.5	15.27	12.62	33.26
Hnrnph2	240.77	439.44	39.65	0.0	15.91	1380.48	0.22	17.26	0.0	448.48	246.59	219.01	322.3	722.02	427.71	393.2	340.51	217.61	0.0	0.0	0.0	0.0	0.0	0.0	454.81	266.13	232.74	321.83	137.61	552.32	439.31	180.42	250.14	122.25	109.37	312.49	212.1	60.49	253.74	207.16	732.09	532.34	548.55	173.8	160.52	192.1	280.72	168.71	53.47	408.82	197.8	150.57	324.71	216.48	219.64	0.58	200.64	256.07	257.04	572.67	173.9	138.91	99.62	113.27	275.28	133.4
Ilf2	113.02	242.32	288.26	46.91	0.0	0.0	0.0	0.0	615.76	131.54	75.15	146.34	214.17	184.12	304.71	51.06	11.75	0.0	38.84	39.86	0.0	0.0	0.0	0.0	342.85	297.14	331.74	139.66	178.9	93.16	130.03	311.81	131.5	291.8	115.98	150.77	156.09	301.91	222.49	175.62	296.07	62.83	328.55	249.66	131.34	141.06	365.0	327.03	99.46	113.91	279.24	139.97	87.5	282.31	135.63	0.0	162.57	219.51	146.31	186.17	73.76	71.63	113.09	307.7	259.25	179.42
Kif5c	101.66	59.0	21.56	0.0	0.0	0.0	0.0	0.0	0.0	124.5	70.18	250.82	342.01	257.51	233.18	69.68	36.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108.68	142.51	27.29	26.58	59.51	62.35	94.67	20.67	44.52	37.43	35.39	34.63	27.21	70.33	40.8	31.06	81.06	10.89	100.81	49.35	39.29	1.02	61.09	7.69	38.2	33.69	40.53	86.84	77.83	77.0	7.38	0.0	52.47	58.58	40.79	57.31	36.31	49.23	92.46	27.24	26.52	35.31
Klk14	1.18	1.89	0.43	1.06	0.0	4.85	0.42	0.43	0.0	6.14	0.17	5.4	2.76	5.12	2.46	1.44	2.86	1.83	0.29	0.0	0.0	0.52	0.0	0.57	0.51	2.53	1.35	1.82	0.45	0.65	1.94	2.14	1.62	0.94	0.48	1.16	1.55	3.06	1.55	0.44	0.57	0.8	2.19	1.0	3.68	1.3	2.42	2.89	1.17	0.89	1.06	0.88	0.44	2.29	0.0	0.0	0.54	1.32	1.94	2.3	0.24	0.78	1.4	1.27	2.34	0.15
Msi2	23.68	8.17	17.67	0.0	0.0	0.0	0.0	0.14	0.0	29.94	22.0	10.9	21.36	21.76	56.25	16.87	37.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.89	26.74	14.21	0.53	16.75	0.09	11.42	10.85	14.55	12.02	11.87	11.83	12.5	10.26	6.94	6.09	27.56	17.44	24.19	8.2	10.5	31.95	24.53	7.76	21.42	21.36	6.14	17.94	15.57	11.06	5.09	0.0	30.51	3.86	12.69	31.53	13.87	3.33	28.34	13.57	9.38	7.18
Nktr	7.75	3.08	13.27	0.0	0.0	0.0	0.07	17.18	0.0	29.83	25.85	101.93	19.25	18.54	133.04	0.0	66.08	34.81	0.0	0.0	0.0	0.0	0.0	0.0	17.1	9.52	1.01	0.0	32.3	2.97	6.28	14.79	27.77	1.43	28.37	9.95	0.93	0.0	0.42	21.09	0.76	0.0	0.15	24.6	12.65	6.12	6.89	15.4	19.18	2.53	18.84	0.52	15.86	10.48	24.47	0.0	19.95	6.53	16.82	13.4	0.35	12.4	18.64	6.39	26.92	1.94
Nme7	158.0	129.08	98.89	0.54	0.14	2.47	0.06	57.55	44.74	164.14	433.0	236.24	148.07	292.93	166.54	137.01	197.14	0.21	0.0	0.25	1.18	0.0	0.0	67.13	74.69	152.05	90.1	72.75	119.69	137.69	190.57	132.96	92.55	134.39	86.71	107.2	90.66	100.75	73.87	105.51	212.32	66.62	123.42	104.38	100.4	66.92	94.49	85.81	121.5	86.01	61.32	84.97	131.74	122.46	62.54	0.26	188.36	87.72	167.16	289.48	97.19	96.42	149.63	102.79	103.42	92.57
Npy	138375.8	173305.25	115124.65	0.0	0.0	0.0	0.0	0.0	0.0	108594.8	96206.73	82245.2	42632.64	67463.47	77711.12	125016.83	34339.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	132042.44	149629.49	134232.96	130357.56	105498.11	116117.28	120987.76	122165.94	132052.33	122154.33	122963.43	126501.28	117863.77	98464.67	130527.91	173863.58	101365.79	126989.03	80801.23	166048.87	115420.41	191162.16	154857.31	124150.07	134158.33	153405.37	147732.76	141010.39	110523.31	101137.64	151963.58	0.0	145032.54	180453.32	92572.95	48343.46	128781.07	137945.15	70964.58	95298.15	137580.94	120620.2
Phyhip	15.14	23.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.08	12.5	51.99	68.16	57.49	42.17	12.63	82.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.45	49.58	0.0	55.03	6.49	4.7	0.39	8.56	42.66	48.1	7.37	6.39	18.28	33.48	31.86	5.17	46.5	45.17	2.44	47.18	35.92	0.08	95.3	37.63	11.44	8.57	30.7	0.0	36.62	32.03	30.16	0.0	15.5	18.45	20.33	30.95	33.55	2.93	23.24	43.87	5.77	13.13
Ppat	0.0	21.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	42.02	0.0	0.25	28.63	118.63	0.0	0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.2	24.63	0.03	0.04	0.03	22.33	0.0	16.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	10.65	0.07	0.08	0.12	26.6	0.0	8.9	0.0	0.76	0.0	0.0	2.53	0.0	20.85	0.0	0.14	0.17	10.72	15.61	0.0	0.0	0.81	22.84	13.62	0.0
Rab3c	77.38	55.7	37.01	0.16	0.0	0.2	0.18	0.1	0.0	355.7	525.52	527.23	697.53	780.64	447.36	595.22	498.6	0.1	0.02	0.98	0.0	0.17	0.0	0.41	42.83	101.54	80.99	84.53	31.27	64.12	81.23	112.28	52.03	116.7	66.76	189.67	94.52	98.6	67.84	9.66	380.52	44.15	412.28	74.34	31.74	81.08	11.18	40.13	96.47	86.32	60.33	51.83	65.5	66.49	25.05	0.0	108.57	13.59	202.55	29.97	63.86	51.49	133.64	124.77	62.1	47.48
Rab6b	111.52	101.32	95.34	0.0	0.0	0.0	0.0	0.0	0.0	177.46	342.27	183.71	286.85	114.95	109.38	346.49	121.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.92	85.79	31.49	29.74	4.15	79.64	111.39	22.26	108.83	86.37	72.36	26.22	84.62	155.28	38.52	125.65	62.47	125.71	196.13	87.6	35.88	45.2	54.23	49.13	105.18	145.52	63.61	189.91	100.0	160.22	75.64	0.14	37.3	92.13	76.76	133.78	21.37	63.07	134.34	109.15	174.04	57.92
Ralgps2	0.0	0.0	0.04	0.0	0.0	0.0	6.85	0.0	0.0	0.0	0.03	77.44	0.21	121.45	52.98	1.19	18.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.56	0.01	0.03	4.56	5.07	0.01	17.24	1.9	0.18	1.46	19.7	21.4	18.8	0.0	0.0	3.92	44.5	0.78	28.48	5.09	0.0	0.0	1.69	53.72	0.0	0.0	0.0	27.87	0.05	0.4	14.92	0.0	0.0	12.95	20.47	27.51	0.0	8.43	5.05	14.82	14.52	0.23
Rnf34	6.63	0.0	72.86	0.0	0.0	0.0	0.0	0.0	0.0	81.92	104.3	14.78	258.69	0.0	480.67	132.53	139.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.33	55.07	0.12	65.59	26.01	46.56	16.15	3.73	154.55	69.56	45.25	45.15	77.58	26.63	110.98	0.0	19.27	0.0	62.87	31.32	89.52	192.31	0.0	75.91	55.99	0.29	55.21	198.58	16.39	222.67	96.0	0.0	88.3	0.0	0.17	135.95	1.36	41.42	0.0	24.13	95.51	34.99
Rufy3	113.03	187.21	203.88	0.0	0.0	0.48	0.0	0.0	0.0	302.96	150.64	223.14	515.93	322.6	322.16	329.79	95.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	137.18	117.27	74.84	238.1	196.14	124.12	167.64	253.09	74.92	128.06	160.98	169.73	241.34	155.84	132.01	157.23	315.08	73.62	302.28	144.26	86.56	64.52	26.89	166.08	173.36	141.61	82.56	202.92	88.11	118.4	191.72	0.0	74.99	76.54	183.81	164.74	131.31	155.03	118.22	92.47	109.32	195.11
Sept3	48.11	105.25	69.48	1.33	0.0	0.0	0.0	0.0	0.0	69.31	144.74	260.67	322.8	174.33	140.18	104.16	74.06	0.09	0.0	0.22	0.37	0.11	0.0	0.55	99.61	51.22	0.23	53.06	71.95	9.16	53.04	84.79	18.23	78.84	68.67	59.86	43.92	102.53	43.42	162.21	154.0	152.93	133.21	71.39	52.75	40.17	44.52	128.04	71.71	28.06	111.97	119.26	94.04	74.34	35.64	0.0	10.76	42.17	77.52	76.56	3.89	109.27	28.43	45.58	120.28	28.15
Sv2a	87.21	188.74	86.37	0.0	0.0	0.0	0.0	0.0	0.0	114.86	293.01	728.63	645.86	451.82	496.73	316.92	152.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	172.66	149.6	76.27	60.63	138.62	155.33	139.92	44.28	31.77	60.44	54.79	127.08	153.44	64.42	181.48	119.27	171.42	72.42	115.03	47.95	83.75	77.31	106.52	135.34	83.75	57.37	130.42	30.97	28.39	15.96	59.77	0.0	36.62	36.85	232.03	125.25	20.83	128.48	110.9	30.62	86.59	69.32
Ttc3	167.93	361.34	227.12	0.0	0.0	0.0	0.0	0.0	0.0	257.95	253.73	533.85	506.46	187.41	424.38	304.26	323.15	0.0	0.04	0.0	0.0	0.0	0.0	0.0	171.42	161.41	112.39	120.18	210.54	102.28	156.89	207.73	172.31	157.83	224.21	148.39	183.89	161.47	131.92	208.72	282.82	210.89	286.19	149.63	125.74	142.13	211.2	325.46	273.28	191.36	122.39	193.81	125.06	249.86	228.16	0.09	165.78	317.41	519.09	370.99	220.25	223.54	369.78	266.02	199.72	201.56
