	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_15	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_57	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_6	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_69	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_44	Ndnf_tdTpositive_cell_11	Ndnf_tdTpositive_cell_16	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_54	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_22	Rbp4_tdTnegative_cell_23	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_12	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101
Ctnna2	66.13	11.44	6.13	0.0	25.21	5.14	0.0	0.0	0.03	0.0	0.16	0.0	0.0	0.0	149.22	6.88	0.0	0.0	0.0	0.0	0.0	19.9	54.71	52.55	3.3	62.01	95.25	37.69	35.02	1.19	1.41	19.92	0.48	23.31	49.88	3.71	9.92	26.92	32.64	19.87	0.0	4.63	0.0	0.16	0.35	0.26	23.04	0.0	6.34	0.62	8.93	35.68	25.43	0.0	10.24	25.4	18.45	0.32	0.0	0.0	0.0	0.0	0.0	0.19	0.0	19.92	3.08	9.57	34.37	4.44	30.94	1.36	78.78
Dstn	170.42	458.13	179.3	577.29	412.85	392.22	0.22	40.84	88.89	354.84	319.84	767.42	262.57	127.03	388.16	540.1	448.14	538.72	7.22	257.15	458.22	378.33	561.74	828.15	550.84	479.92	465.66	785.04	490.9	479.97	191.53	461.24	402.28	375.26	451.25	773.29	197.58	379.14	284.66	83.96	301.9	1058.39	229.83	463.0	813.47	132.39	325.65	461.62	291.4	428.56	334.39	420.14	647.43	0.17	506.53	434.46	246.53	530.69	28.83	0.37	0.32	0.25	0.0	22.4	0.0	686.84	385.88	541.51	564.08	369.82	532.98	622.61	562.08
Erp29	325.62	156.51	239.49	65.67	216.05	153.01	0.0	0.0	12.37	73.54	29.82	198.01	42.16	0.0	272.8	259.57	0.0	0.0	0.0	25.08	0.0	168.52	305.13	400.72	192.86	277.9	185.86	6.59	324.34	168.09	162.8	316.94	185.1	203.94	192.72	298.51	173.74	138.29	283.21	0.0	213.94	80.21	69.98	302.81	169.63	195.82	103.31	129.02	304.14	279.58	409.19	184.39	63.03	0.0	346.75	74.58	44.85	255.48	82.54	0.29	0.0	0.38	0.0	0.0	0.0	153.59	400.46	70.93	257.38	242.14	167.45	69.01	164.64
Fam3c	106.58	19.75	131.44	80.84	98.12	72.09	0.0	0.12	22.76	174.39	78.3	51.22	3.48	19.41	315.96	9.15	125.34	15.31	0.0	91.03	0.0	52.95	29.47	19.74	50.06	89.26	77.55	46.32	178.45	44.9	59.98	107.15	69.11	101.87	127.79	163.45	65.16	70.67	126.04	35.7	56.57	58.4	27.26	95.06	42.11	46.05	34.27	84.09	20.0	116.11	155.35	103.38	92.51	0.0	94.98	100.1	49.84	98.11	0.0	98.44	0.0	0.0	0.0	10.92	0.0	248.25	53.04	201.39	161.9	176.07	29.17	16.41	141.4
Fbxl4	0.0	37.82	17.71	2.32	0.0	1.72	0.0	0.0	0.0	0.08	0.42	0.0	0.0	0.0	218.63	0.0	94.64	0.0	0.0	0.0	0.0	45.97	87.82	1.31	0.0	75.85	149.41	17.64	102.3	37.83	57.02	41.44	0.0	99.87	67.95	0.0	54.32	48.45	72.05	0.0	48.86	91.86	0.0	0.0	54.39	0.0	0.0	0.0	0.0	150.61	45.62	4.61	32.41	0.0	22.94	0.0	149.65	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	170.22	26.45	0.0	98.45	58.09	89.1
Gap43	855.81	368.75	1133.64	319.37	825.25	1750.68	0.0	0.0	776.05	343.46	405.4	344.87	219.53	290.93	773.25	235.44	216.22	695.09	0.0	161.54	0.0	1219.62	942.57	1080.02	949.0	1335.07	1008.54	744.78	1140.29	1005.77	973.26	1207.97	872.35	1160.32	1409.82	1876.66	788.96	987.8	610.34	129.17	374.46	1237.15	147.1	778.38	665.87	1010.79	316.44	421.63	667.55	973.59	1078.03	971.86	857.51	0.5	1016.28	1256.41	1073.79	586.73	0.0	0.55	0.0	0.0	31.48	0.0	0.0	1331.72	1477.64	992.48	1125.39	647.97	828.19	936.21	1573.67
Glrb	161.26	134.82	240.56	16.45	5.86	0.0	150.51	0.0	0.0	159.07	13.26	91.59	26.6	186.88	606.21	0.0	16.14	0.0	0.0	48.65	0.0	14.3	326.08	105.82	147.43	240.45	232.39	241.42	70.87	122.44	43.28	103.11	87.72	192.25	122.07	262.15	71.72	136.46	125.29	252.91	93.8	150.14	182.17	15.52	34.2	62.82	98.52	0.08	186.26	61.45	113.65	5.66	129.61	0.05	106.45	146.42	93.56	14.52	0.0	0.0	0.0	0.0	0.17	0.0	0.0	103.36	98.29	64.89	169.1	188.17	243.39	46.58	166.21
Grm1	20.06	24.79	7.97	14.25	0.93	21.03	0.0	0.15	1.11	0.15	0.16	1.0	0.92	0.91	231.01	1.5	0.67	0.54	0.0	0.3	0.0	33.98	81.22	29.69	9.37	33.49	29.02	40.46	36.58	44.42	0.42	36.16	16.52	25.77	21.53	12.95	57.46	52.64	33.84	0.49	0.46	10.27	0.38	32.29	0.76	53.07	0.18	21.14	11.36	18.02	13.64	11.5	18.17	1.59	69.15	62.37	34.38	49.76	0.58	1.06	0.43	0.22	0.07	0.6	1.71	10.91	53.2	22.54	12.58	92.57	41.45	44.43	30.08
Gucy1b3	80.08	38.39	219.7	26.35	0.0	198.76	0.0	0.0	0.04	0.0	43.9	0.0	34.04	7.71	80.21	0.0	41.05	9.21	0.0	18.73	0.0	92.61	281.59	183.45	69.4	239.52	135.02	157.19	93.3	96.39	60.9	130.29	126.99	186.82	101.93	125.13	127.06	200.85	139.28	40.4	0.0	64.27	48.48	189.2	135.64	64.57	56.42	125.87	87.57	95.52	94.48	99.26	137.97	0.05	135.7	193.5	149.15	101.95	0.0	0.0	0.18	0.14	0.0	0.0	0.0	118.03	108.97	193.77	42.21	53.62	134.17	157.91	131.25
Hmgcs1	130.23	333.82	330.75	129.61	101.47	392.76	0.13	0.0	0.0	98.81	85.63	7.39	199.83	7.03	208.51	1.16	70.89	54.41	0.0	112.72	0.0	134.49	248.48	340.44	385.26	114.11	437.98	497.6	594.44	326.4	434.5	421.65	169.77	253.67	91.39	374.74	118.01	114.33	369.91	159.36	34.33	93.81	73.59	289.77	291.53	214.22	193.66	110.61	257.71	313.35	145.23	187.46	314.48	0.0	315.33	228.88	221.01	204.68	0.0	0.53	0.0	0.0	0.0	0.0	0.62	349.34	207.85	277.78	379.66	24.66	123.56	258.46	256.76
Ildr2	40.66	18.87	21.57	20.28	16.16	35.68	0.0	0.0	39.0	0.04	0.0	0.0	0.0	4.26	164.9	0.0	0.0	0.0	0.0	0.0	0.0	9.46	46.52	60.51	0.01	0.79	61.06	28.21	27.9	17.02	12.81	26.05	83.47	10.54	29.53	2.57	10.35	42.27	7.92	0.0	0.0	60.36	3.06	15.44	29.22	25.06	0.0	3.43	0.49	0.4	56.11	7.46	32.98	0.02	14.28	25.68	0.09	89.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.21	6.67	18.44	34.38	70.38	12.29	19.9	41.0
Kcnc2	95.58	60.7	184.3	45.67	103.24	35.39	0.0	0.0	0.0	0.06	0.03	0.0	0.27	0.0	242.09	0.0	0.16	0.0	0.0	0.0	0.0	184.37	226.86	103.98	110.6	45.45	69.3	102.13	123.09	109.1	71.6	100.15	68.22	66.5	99.69	110.68	85.21	25.17	66.42	0.0	0.0	131.9	2.11	106.58	33.8	78.23	0.0	18.2	19.71	53.38	55.49	15.38	132.76	0.0	70.55	117.91	111.61	122.88	0.0	0.0	0.0	23.46	0.0	0.0	0.0	38.05	27.4	61.8	107.55	53.64	224.85	104.77	68.1
Kcnip1	12.32	28.42	71.61	87.29	0.0	6.79	0.0	0.0	0.11	111.85	84.14	5.77	58.99	51.26	237.35	0.0	56.54	0.12	0.0	172.6	0.0	80.68	86.28	101.18	55.59	0.29	177.94	286.35	0.05	28.46	1.1	75.47	97.11	18.85	2.84	16.23	3.54	27.4	86.11	53.23	0.0	101.87	51.16	58.92	34.55	0.0	81.96	0.74	1.25	32.95	36.19	62.06	143.77	0.0	82.6	48.24	128.79	56.41	0.0	0.0	0.53	0.0	0.0	0.0	0.0	143.77	126.27	143.79	64.9	0.0	138.1	0.82	4.58
Lrrtm4	67.29	36.6	91.89	55.99	147.88	257.26	0.0	0.1	0.0	0.06	49.71	0.21	0.17	0.37	418.41	0.0	54.83	86.1	0.0	0.0	0.0	158.4	248.77	202.37	187.27	208.52	454.12	344.16	209.1	285.27	246.04	153.49	224.61	178.24	95.86	57.7	183.05	230.98	103.31	138.28	6.01	243.11	0.0	208.31	90.08	131.81	0.0	224.55	294.29	338.78	122.47	322.51	128.56	0.05	205.7	188.35	268.11	249.24	0.36	0.0	0.0	0.0	0.0	0.0	0.0	186.59	243.8	224.53	217.57	182.96	178.55	144.32	135.79
Map1lc3a	120.41	41.24	47.43	41.84	47.91	104.89	0.0	0.33	0.0	24.33	62.86	24.07	36.57	0.0	145.69	0.0	105.81	24.51	0.0	77.05	0.0	69.57	126.19	82.06	9.9	66.58	57.16	46.67	52.36	96.6	28.88	108.08	84.19	40.85	86.6	84.81	47.82	33.43	136.13	45.69	61.73	71.36	40.98	153.54	162.04	40.03	99.56	6.43	97.79	84.59	91.47	89.41	89.75	0.0	124.68	58.34	28.15	58.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.93	98.47	52.89	74.28	62.03	146.88	21.09	47.77
Mtap1b	622.93	488.28	640.71	127.13	181.82	705.39	0.03	0.0	316.03	343.99	256.01	68.27	142.27	136.34	362.17	195.94	166.17	296.72	0.0	161.75	76.72	642.04	693.42	515.84	338.1	581.32	436.82	317.03	532.07	853.28	789.82	918.41	856.16	1015.81	620.09	585.71	622.21	828.88	497.91	143.55	193.81	565.21	284.13	422.07	627.12	653.61	259.26	281.51	498.79	775.94	714.96	511.06	620.64	152.69	649.18	779.66	530.59	675.1	0.1	0.53	0.1	0.27	0.0	0.06	0.0	714.61	683.52	873.28	599.0	504.5	669.52	668.23	530.24
Ncam1	314.23	261.43	415.44	224.23	287.14	231.03	0.0	0.0	11.69	106.04	153.15	170.22	120.61	211.75	1176.51	62.28	25.22	85.85	0.8	146.03	1.52	206.48	355.14	255.67	433.23	305.61	135.09	515.23	307.94	189.11	281.93	235.47	266.44	319.24	341.06	462.56	367.3	294.63	366.94	44.39	104.29	301.59	78.44	276.43	516.68	265.17	172.34	147.25	438.35	317.4	324.87	316.14	216.47	202.18	380.12	356.8	280.2	356.42	18.18	0.84	1.27	0.86	0.1	2.31	0.17	180.13	398.1	277.73	319.2	297.97	239.67	219.87	180.26
Npy	138375.8	56190.59	173305.25	40775.82	1.46	115124.65	0.0	0.0	43922.94	108594.8	96206.73	82245.2	67463.47	65548.38	14635.6	77711.12	125016.83	59230.28	0.0	80627.8	0.0	132042.44	105008.15	149629.49	134232.96	130357.56	105498.11	116117.28	120987.76	122165.94	132052.33	122154.33	122963.43	126501.28	117863.77	98464.67	102118.34	130527.91	173863.58	101365.79	73168.9	126989.03	80801.23	166048.87	115420.41	191162.16	108906.97	154857.31	124150.07	134158.33	153405.37	147732.76	141010.39	18.35	110523.31	101137.64	151963.58	24726.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	145032.54	180453.32	128781.07	137945.15	48908.54	95298.15	137580.94	120620.2
Nsg1	456.25	364.72	384.76	437.18	187.98	606.25	0.0	0.0	0.06	277.35	311.53	97.59	122.01	179.71	512.62	111.23	198.99	345.84	0.0	347.41	0.0	421.43	487.56	795.35	479.99	658.74	428.74	294.99	429.88	547.5	504.44	588.32	740.43	631.31	382.47	798.83	532.2	290.06	406.66	131.72	269.89	367.48	105.96	419.76	383.66	308.42	498.62	56.54	361.44	497.0	461.33	699.2	403.22	0.22	518.05	663.93	689.08	407.56	0.0	0.49	0.0	0.0	0.0	0.0	0.0	338.06	542.31	669.97	472.93	434.36	249.79	402.95	664.76
Nup85	28.93	28.41	0.0	0.98	15.14	52.26	0.0	0.0	0.0	12.1	0.0	97.04	0.26	0.0	169.46	0.2	0.94	0.0	0.0	0.0	0.0	33.92	60.34	40.2	0.0	0.31	46.2	0.05	91.89	50.44	2.17	34.92	0.9	0.0	33.43	34.07	66.0	38.8	20.15	32.95	0.12	0.41	114.11	6.76	51.62	0.0	0.0	0.0	146.03	75.7	35.7	0.14	117.51	0.07	27.39	0.0	43.46	37.48	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.21	52.75	11.64	0.22	42.03	0.0	14.08
Oxtr	78.92	26.96	102.83	0.0	0.0	64.37	0.0	0.0	0.05	0.0	0.0	0.19	0.0	0.0	206.9	0.0	0.0	0.0	0.0	0.22	0.0	56.96	49.61	15.81	0.05	40.58	195.42	73.45	20.52	80.2	8.83	112.79	91.36	133.05	43.95	30.86	0.28	30.37	0.0	0.0	0.0	15.14	0.13	28.78	192.74	31.87	0.12	0.31	0.13	0.0	85.73	8.91	142.31	0.0	114.46	29.47	20.09	0.0	0.33	0.0	0.0	0.52	0.0	0.0	0.0	6.41	5.12	63.64	108.4	0.0	66.16	94.32	13.89
Pcdh18	49.18	0.0	122.38	0.23	0.14	55.44	0.0	0.06	0.02	0.04	0.0	0.0	0.0	0.0	267.9	0.0	0.0	0.0	0.0	0.0	0.0	6.51	209.07	107.17	13.01	130.19	34.49	86.46	41.69	65.15	144.56	106.38	52.39	51.67	27.05	70.05	65.44	62.55	78.78	0.0	0.0	218.66	0.0	106.03	108.7	76.35	0.05	0.09	76.93	35.84	69.68	62.35	8.49	0.03	79.93	79.38	44.71	67.43	0.0	0.0	0.0	0.0	0.0	0.0	0.13	95.86	33.14	38.97	50.13	8.68	66.37	40.26	89.99
Pcdh7	71.95	44.97	80.65	7.92	4.58	32.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.25	0.0	0.0	0.0	0.0	0.0	0.0	47.83	88.14	42.91	0.08	33.96	73.15	21.97	80.05	47.98	64.77	20.51	34.45	99.69	54.87	7.66	16.98	31.9	38.4	0.0	0.0	31.83	0.0	37.02	2.96	18.97	0.0	39.27	55.68	26.04	85.69	40.8	9.97	0.0	62.5	51.74	25.24	26.91	0.0	0.09	0.0	0.0	0.0	0.14	0.0	24.71	17.17	74.7	50.26	4.54	88.3	20.0	30.25
Pcmt1	255.86	265.9	161.76	248.74	137.06	357.67	0.0	455.23	244.1	138.18	49.57	13.94	200.51	135.21	775.44	0.0	316.45	433.15	0.0	371.58	0.0	138.9	163.62	270.29	234.28	412.95	358.51	190.07	235.1	396.65	317.94	146.38	186.63	225.57	418.02	293.98	211.3	118.07	106.15	239.14	211.84	109.56	99.37	297.69	383.38	128.36	76.0	288.76	320.35	291.45	278.5	226.47	208.5	0.17	234.14	390.51	309.64	317.54	0.0	0.55	0.0	0.0	0.0	0.0	0.0	292.91	56.26	267.16	228.59	301.78	361.55	138.52	277.09
Pde1a	1056.47	92.04	1042.27	71.19	78.15	950.26	0.0	0.0	1.24	0.3	0.14	1.02	0.0	0.43	704.14	0.27	0.23	0.31	0.12	0.27	0.0	1102.9	1125.21	1321.56	484.6	925.75	1069.64	799.63	564.5	1137.63	918.17	1297.96	1258.85	1191.38	798.18	975.98	1444.23	1333.84	544.61	0.62	0.23	1131.66	0.0	932.64	817.01	562.01	0.02	458.1	666.67	670.07	978.64	820.3	965.51	0.23	956.64	1201.44	653.65	645.42	0.0	1.19	1.07	0.23	0.0	0.0	0.0	667.13	704.18	1202.55	1140.82	28.94	1108.75	711.88	1090.81
Pde2a	92.91	60.27	225.26	25.7	0.0	28.78	0.0	0.0	0.0	51.71	0.0	66.13	0.0	59.63	585.62	0.0	15.54	0.0	0.0	73.21	0.0	89.22	44.24	98.31	0.03	32.47	89.05	114.43	59.56	95.41	172.94	80.59	51.8	108.36	56.63	28.63	115.49	46.59	125.8	0.0	0.0	84.31	12.15	115.2	172.47	103.9	131.8	103.43	7.74	49.11	20.83	156.14	180.58	0.08	165.03	80.15	50.45	57.76	0.0	0.09	0.0	0.0	0.0	0.94	0.0	36.3	112.73	2.73	78.05	89.28	49.48	113.12	35.33
Peg13	48.03	21.17	38.34	6.24	23.22	56.07	0.0	0.0	7.71	39.85	35.12	9.3	37.05	40.02	121.96	9.0	95.12	88.38	424.5	92.59	0.0	69.41	72.43	109.92	43.67	86.43	55.98	101.23	36.9	44.85	114.1	52.37	95.84	105.93	29.36	183.26	47.64	44.55	100.18	79.31	45.98	35.81	39.58	59.27	83.81	52.59	79.39	41.35	150.08	29.18	76.91	61.46	83.62	0.03	93.38	72.15	33.12	107.91	0.0	20.32	0.0	0.0	0.0	0.0	0.0	46.05	76.2	24.99	80.24	55.8	48.38	33.89	35.83
