	Calb2_tdTpositive_cell_10	Ctgf_tdTpositive_cell_2	Cux2_tdTpositive_cell_7	Cux2_tdTpositive_cell_25	Cux2_tdTpositive_cell_59	Cux2_tdTpositive_cell_71	Cux2_tdTpositive_cell_95	Cux2_tdTpositive_cell_99	Cux2_tdTpositive_cell_104	Cux2_tdTpositive_cell_105	Cux2_tdTpositive_cell_108	Cux2_tdTpositive_cell_109	Cux2_tdTpositive_cell_112	Cux2_tdTpositive_cell_116	Cux2_tdTpositive_cell_117	Cux2_tdTpositive_cell_118	Cux2_tdTpositive_cell_119	Cux2_tdTpositive_cell_120	Cux2_tdTpositive_cell_121	Cux2_tdTpositive_cell_122	Cux2_tdTnegative_cell_8	Cux2_tdTnegative_cell_14	Gad2_tdTpositive_cell_50	Gad2_tdTpositive_cell_51	Gad2_tdTpositive_cell_66	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_12	Ndnf_tdTnegative_cell_9	Nos1_tdTpositive_cell_23	Nos1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_18	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTnegative_cell_1	Ntsr1_tdTnegative_cell_3	Ntsr1_tdTnegative_cell_4	Ntsr1_tdTnegative_cell_6	Ntsr1_tdTnegative_cell_9	Ntsr1_tdTnegative_cell_51	Rbp4_tdTpositive_cell_40	Rbp4_tdTpositive_cell_130	Scnn1a.Tg2_tdTnegative_cell_7	Scnn1a.Tg2_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_16	Slc17a6_tdTpositive_cell_2	Slc17a6_tdTpositive_cell_4	Slc17a6_tdTpositive_cell_8	Slc17a6_tdTpositive_cell_9	Slc17a6_tdTpositive_cell_10	Slc17a6_tdTpositive_cell_12	Slc17a6_tdTpositive_cell_14	Slc17a6_tdTpositive_cell_25	Slc17a6_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_29	Slc17a6_tdTpositive_cell_37	Slc17a6_tdTpositive_cell_38	Slc17a6_tdTpositive_cell_41	Slc17a6_tdTpositive_cell_42	Slc17a6_tdTpositive_cell_43	Slc17a6_tdTpositive_cell_44	Slc17a6_tdTpositive_cell_46	Slc17a6_tdTpositive_cell_47	Sst_tdTpositive_cell_13	Vip_tdTpositive_cell_29	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_42
G6pdx	0.06	0.0	5.1	247.85	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.68	0.08	10.08	0.0	7.44	0.0	17.39	0.0	0.0	0.0	0.0	141.01	0.0	0.0	0.0	0.0	0.0	7.49	0.16	0.13	153.78	0.0	0.0	0.17	98.55	0.0	7.99	114.86	1.67	0.0	0.0	0.0	0.0	0.0	7.58	0.0	107.32	0.0	0.0	0.0	75.96	0.0	0.0	0.0	54.2	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.27	40.41	16.01	9.63	24.82	0.11	16.55	29.0	22.95	23.19	15.15	0.09
Garnl3	37.53	0.0	29.64	0.72	0.13	21.42	71.11	0.0	0.0	0.0	2.1	130.95	31.82	72.14	14.24	42.77	22.49	63.67	0.0	92.38	0.0	0.0	5.9	0.0	0.0	0.0	0.0	0.0	0.0	11.33	1.14	0.0	234.29	171.8	23.51	0.0	102.68	0.0	0.0	2.66	8.56	44.86	0.0	85.76	0.0	0.0	4.1	0.0	18.55	159.27	0.23	0.0	0.62	32.23	71.02	0.17	0.0	83.65	0.0	47.72	77.53	0.17	48.54	0.0	0.0	144.11	151.03	201.89	92.82	125.14	116.85	131.41	118.28	145.51	149.22	162.75	355.05
Gm13306	5.97	0.0	16.65	5.53	133.13	0.0	8.96	4.09	3.85	0.0	0.0	16.96	16.97	1.5	45.01	6.93	3.5	2.2	9.16	3.97	10.86	14.87	14.96	0.0	38.65	0.0	0.0	0.0	0.0	0.0	18.38	0.0	182.96	54.51	3.11	0.0	15.77	3.5	0.0	0.0	0.0	118.45	21.22	0.94	0.0	0.0	0.54	2.42	5.6	4.67	2.66	0.69	1.07	34.73	4.74	20.39	33.18	3.38	0.0	9.21	16.22	2.15	0.0	0.0	0.0	164.03	114.56	132.22	177.66	125.27	74.98	103.08	62.2	61.27	76.52	71.98	212.54
Gm14430	0.65	0.0	0.0	0.66	26.17	3.12	9.21	1.15	29.84	3.45	3.84	9.49	14.24	24.02	21.38	10.69	0.0	24.76	4.99	21.51	0.0	0.0	38.04	0.0	6.97	0.0	0.25	0.12	0.0	0.0	4.26	0.0	11.9	1.66	0.0	0.0	3.61	0.36	6.66	32.09	0.16	15.31	0.16	0.0	0.41	14.24	29.86	4.65	1.95	9.07	0.0	0.0	9.16	0.0	3.12	25.28	5.57	0.0	0.11	6.74	0.0	1.17	3.01	0.0	0.0	11.7	6.07	7.0	1.76	4.79	6.89	5.17	4.81	4.14	5.97	4.22	2.3
Gm14434	0.65	0.0	0.0	0.66	26.17	3.12	9.21	1.15	29.84	3.45	3.84	9.49	14.24	24.02	21.38	10.69	0.0	24.76	4.99	21.51	0.0	0.0	38.04	0.0	6.97	0.0	0.25	0.12	0.0	0.0	4.26	0.0	11.9	1.66	0.0	0.0	3.61	0.36	6.66	32.09	0.16	15.31	0.16	0.0	0.41	14.24	29.86	4.65	1.95	9.07	0.0	0.0	9.16	0.0	3.12	25.28	5.57	0.0	0.11	6.74	0.0	1.17	3.01	0.0	0.0	11.7	6.07	7.0	1.76	4.79	6.89	5.17	4.81	4.14	5.97	4.22	2.3
Gm2002	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.12	0.06	0.01	0.0	0.02	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.22	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.06	0.0	0.61	0.21	1.13	2.82	5.81	2.35	3.62	0.41	1.27	4.28	1.89	9.22
Gm2506	5.97	0.0	16.65	5.53	133.13	0.0	8.96	4.09	3.85	0.0	0.0	16.96	16.97	1.5	45.01	6.93	3.5	2.2	9.16	3.97	10.86	14.87	14.96	0.0	38.65	0.0	0.0	0.0	0.0	0.0	18.38	0.0	182.96	54.51	3.11	0.0	15.77	3.5	0.0	0.0	0.0	118.45	21.22	0.94	0.0	0.0	0.54	2.42	5.6	4.67	2.66	0.69	1.07	34.73	4.74	20.39	33.18	3.38	0.0	9.21	16.22	2.15	0.0	0.0	0.0	164.03	114.56	132.22	177.66	125.27	74.98	103.08	62.2	61.27	76.52	71.98	212.54
Gm4724	0.65	0.0	0.0	0.66	26.17	3.12	9.21	1.15	29.84	3.45	3.84	9.49	14.24	24.02	21.38	10.69	0.0	24.76	4.99	21.51	0.0	0.0	38.04	0.0	6.97	0.0	0.25	0.12	0.0	0.0	4.26	0.0	11.9	1.66	0.0	0.0	3.61	0.36	6.66	32.09	0.16	15.31	0.16	0.0	0.41	14.24	29.86	4.65	1.95	9.07	0.0	0.0	9.16	0.0	3.12	25.28	5.57	0.0	0.11	6.74	0.0	1.17	3.01	0.0	0.0	11.7	6.07	7.0	1.76	4.79	6.89	5.17	4.81	4.14	5.97	4.22	2.3
Hras1	2.14	0.0	28.8	0.0	12.06	0.0	0.0	0.0	29.2	0.0	0.0	0.0	0.0	1.21	26.38	38.67	5.14	22.64	1.96	0.27	0.0	0.0	0.0	0.0	1.34	0.0	0.0	0.0	0.0	0.0	31.39	0.0	5.01	72.68	0.0	0.0	0.0	5.89	0.0	74.81	0.0	13.43	0.0	2.62	0.0	0.0	0.0	0.0	3.39	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.0	3.46	0.0	15.68	5.43	0.0	0.0	3.35	0.0	26.29	13.18	7.99	13.83	9.19	18.34	8.9	4.99	10.1	15.9	14.37	28.06
Il11ra2	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.12	0.06	0.01	0.0	0.02	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.22	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.06	0.0	0.61	0.21	1.13	2.82	5.81	2.35	3.62	0.41	1.27	4.28	1.89	9.22
Jph3	0.0	0.0	0.05	0.0	8.62	0.0	0.0	2.49	0.0	0.17	42.99	1.07	0.0	15.2	2.88	3.43	10.45	0.54	0.27	15.66	0.0	0.74	0.79	1.97	3.12	0.0	0.0	0.0	0.0	0.0	0.66	0.0	0.17	47.22	0.0	0.0	0.23	4.26	0.0	0.89	0.0	0.0	0.0	2.03	0.0	3.77	27.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	3.16	0.0	0.3	0.0	68.44	0.0	16.92	0.0	0.0	0.0	2.53	3.92	2.64	3.59	3.87	5.27	12.92	0.94	2.13	4.91	7.34	31.87
Kcnab2	3.03	0.0	31.55	19.5	24.0	0.9	48.49	45.28	0.17	5.99	3.16	0.59	30.98	69.06	59.22	27.29	5.91	41.09	0.79	21.36	11.18	22.95	4.53	9.98	4.95	0.0	0.0	0.0	0.0	0.0	26.1	0.68	18.8	52.91	1.21	0.0	0.13	27.1	42.96	56.89	0.79	26.9	0.87	0.0	0.0	0.0	11.03	70.67	51.48	3.09	19.12	0.0	0.0	0.7	1.83	35.0	0.83	1.64	0.0	35.08	13.72	1.64	0.3	0.77	0.0	24.39	16.5	34.68	25.16	12.59	25.17	14.57	18.27	31.15	32.49	24.29	51.61
Lpgat1	82.65	0.0	86.47	62.22	3.87	39.01	68.23	230.25	17.62	41.7	17.25	72.31	65.57	79.71	78.8	32.93	110.36	103.33	23.73	54.5	26.94	48.71	120.73	3.5	148.6	0.0	0.0	0.0	0.0	7.01	33.32	40.35	73.44	108.11	92.71	0.0	62.63	62.0	90.02	105.9	44.78	28.62	84.08	24.34	2.12	65.02	17.58	109.69	94.51	68.92	46.08	158.97	57.95	49.16	50.25	69.05	8.89	146.14	46.84	116.86	60.17	26.94	62.93	3.67	1.11	130.96	102.38	143.7	118.94	111.77	91.12	86.55	90.46	155.56	109.32	103.82	77.65
Mctp1	100.91	0.0	0.05	0.0	0.0	0.0	0.0	52.0	0.0	0.0	0.0	1.3	0.0	48.5	63.33	36.07	6.44	1.55	0.02	31.66	0.0	47.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.26	0.0	35.91	221.7	81.73	0.0	3.43	0.0	0.0	53.96	31.82	0.5	0.0	0.0	0.0	58.58	0.0	42.04	45.37	29.21	65.0	0.0	5.82	0.0	0.0	47.17	1.51	0.0	0.0	52.0	0.62	0.0	49.84	71.92	0.0	71.41	62.02	66.88	52.54	60.79	65.77	36.03	52.99	70.84	55.57	49.89	99.99
Nptx1	71.03	0.0	45.27	18.78	83.64	3.62	33.84	45.36	107.72	26.99	85.52	0.13	81.4	64.47	70.1	21.54	0.22	23.2	47.9	77.13	93.39	13.42	17.47	43.71	11.92	0.0	0.0	0.0	0.0	27.37	26.95	18.37	211.04	243.48	11.99	0.0	35.04	90.67	35.04	164.4	0.61	0.0	9.55	33.68	0.0	0.13	48.99	0.16	57.34	63.37	0.44	58.92	27.57	110.55	59.71	4.7	66.35	14.47	0.12	6.06	69.19	31.06	77.5	0.46	0.14	84.8	140.04	103.28	99.6	85.33	155.78	122.58	104.73	76.51	86.04	78.5	126.31
Pak7	2.31	0.0	6.11	4.36	81.52	0.0	42.55	0.43	4.31	65.84	1.6	57.51	25.57	13.21	1.5	162.37	36.86	46.21	47.86	10.47	25.56	7.05	20.5	38.97	4.81	0.0	0.0	0.0	0.0	25.26	41.46	36.43	63.0	90.12	0.77	0.0	52.47	0.2	0.0	1.59	2.52	21.27	0.54	46.87	0.0	0.0	61.06	0.0	5.71	0.77	6.14	48.43	51.72	2.85	30.21	8.23	1.14	27.78	26.62	5.6	3.04	9.75	3.67	3.51	0.0	54.15	65.98	21.25	37.42	48.31	51.3	52.46	69.13	61.36	53.08	39.5	67.73
Pnpla1	0.0	0.0	2.56	0.08	1.53	0.0	2.67	0.0	0.67	0.29	0.26	1.2	0.0	4.07	1.49	0.37	1.94	0.27	0.0	0.87	0.0	0.0	2.73	0.96	1.96	0.0	0.0	0.0	0.0	0.0	0.74	6.97	0.49	2.17	2.06	0.0	1.09	0.0	0.0	3.33	0.09	0.28	0.06	0.0	0.0	0.0	1.71	0.0	0.14	1.41	30.13	0.49	0.16	2.07	0.98	0.13	0.0	1.21	0.0	0.0	1.46	0.0	0.24	1.34	0.0	1.65	2.28	2.36	1.53	1.83	2.91	2.58	2.18	2.05	2.08	2.24	4.87
Prss35	1.64	0.0	11.54	0.0	2.83	0.26	3.66	1.06	10.24	3.25	0.24	0.3	0.69	0.9	5.68	3.69	1.4	0.62	0.0	3.82	0.0	0.0	10.55	3.34	2.94	0.21	0.0	0.19	0.0	1.72	0.11	2.98	13.6	0.61	8.94	0.0	1.1	0.0	2.63	3.96	0.0	8.59	5.78	0.0	0.22	0.3	16.11	9.78	0.0	0.25	11.43	2.96	2.41	0.73	5.23	0.0	1.35	0.0	1.04	0.82	0.81	5.72	1.75	1.77	0.0	30.72	16.11	3.47	7.45	9.98	11.55	20.94	32.56	22.0	18.4	12.59	6.66
