	Calb2_tdTpositive_cell_9	Chrna2_tdTpositive_cell_51	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_9	Cux2_tdTpositive_cell_50	Cux2_tdTpositive_cell_54	Cux2_tdTpositive_cell_57	Cux2_tdTpositive_cell_59	Cux2_tdTpositive_cell_61	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_89	Cux2_tdTpositive_cell_91	Cux2_tdTpositive_cell_96	Cux2_tdTnegative_cell_14	Gad2_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_7	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_30	Nr5a1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_44	Nr5a1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_6	Ntsr1_tdTpositive_cell_10	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_75	Rbp4_tdTpositive_cell_4	Rbp4_tdTpositive_cell_54	Rbp4_tdTpositive_cell_127	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_183	Rbp4_tdTpositive_cell_189	Rbp4_tdTnegative_cell_3	Scnn1a.Tg3_tdTpositive_cell_17	Scnn1a.Tg3_tdTpositive_cell_92	Scnn1a.Tg3_tdTpositive_cell_105	Slc17a6_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_30	Slc17a6_tdTpositive_cell_31	Slc17a6_tdTpositive_cell_38	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	CAV_LP_Ipsi_tdTpos_cell_21	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_32	CAV_LP_Ipsi_tdTpos_cell_35	CAV_LP_Ipsi_tdTpos_cell_36	CAV_LP_Ipsi_tdTpos_cell_37	CAV_LP_Ipsi_tdTpos_cell_39
Mrpl27	190.7	545.77	189.6	364.89	549.18	372.23	347.9	754.43	229.9	21.85	62.54	226.74	234.54	238.4	328.23	33.92	208.02	219.95	157.09	263.74	188.47	154.56	163.49	293.03	318.65	289.42	1107.68	528.08	420.72	235.35	233.69	127.8	241.65	500.59	204.25	122.75	292.97	246.47	286.73	220.09	487.99	29.66	441.01	261.4	471.44	133.51	455.14	123.37	350.52	302.41	320.0	331.61	319.7	411.02	765.45	400.5	275.0	128.84	382.49	488.65	288.48	773.97	250.29	213.31	439.38	385.76	340.2
Mrpl30	442.83	572.99	0.47	73.48	140.41	319.15	527.41	311.44	166.33	339.21	183.96	205.9	437.53	334.36	307.37	317.98	333.86	452.99	409.2	538.1	360.21	353.08	191.01	369.01	444.67	872.39	715.4	437.45	485.52	618.01	395.48	705.15	512.63	534.7	293.9	536.74	426.41	659.49	742.37	614.69	265.56	0.0	370.0	303.69	59.98	545.64	631.67	94.0	972.13	427.77	539.71	309.03	368.55	0.83	425.56	641.43	699.9	649.81	810.16	486.95	843.66	228.82	646.63	88.83	379.13	332.38	622.23
Mrpl33	88.81	357.98	120.82	0.0	60.4	170.42	220.6	109.75	194.27	77.65	0.0	160.45	381.7	145.76	34.95	0.0	128.99	255.17	380.22	327.37	427.83	57.01	204.25	70.78	356.87	91.47	647.16	508.4	465.76	191.08	306.62	352.73	224.68	223.7	329.77	302.04	369.59	277.2	393.26	166.41	349.49	0.77	222.2	123.9	447.55	112.06	128.88	33.41	133.51	312.4	351.01	253.23	287.15	166.87	556.79	384.41	756.02	343.74	408.37	452.81	249.06	430.4	180.84	520.58	281.03	54.13	238.24
Mrpl41	150.88	130.13	7.0	79.65	69.79	94.06	136.96	0.18	132.4	103.93	57.08	71.97	41.57	39.84	3.2	73.02	80.7	75.49	62.64	115.42	103.56	40.67	111.71	28.83	146.41	88.23	6.88	123.97	179.73	90.93	201.36	2.62	51.78	114.81	83.82	91.95	107.37	157.04	133.68	129.16	114.78	0.0	34.68	67.42	171.18	125.82	82.25	61.09	72.42	95.2	74.92	87.59	94.0	1.77	163.46	221.25	128.54	193.38	29.88	151.13	254.99	136.53	77.94	96.95	47.49	135.19	119.0
Mrps18a	320.06	479.23	129.62	334.24	163.22	91.49	193.0	162.02	270.08	150.54	360.73	144.03	681.02	387.97	138.06	174.42	151.75	334.82	36.36	278.65	403.9	227.22	385.89	279.11	432.7	113.3	702.76	433.54	480.53	266.23	297.99	830.89	193.37	678.92	238.79	253.19	343.33	489.73	502.23	438.93	604.32	0.0	306.37	2.38	159.88	283.27	345.21	293.03	658.64	383.02	242.12	242.25	244.79	149.23	166.2	432.19	340.22	607.55	321.52	391.05	366.69	321.98	106.34	86.49	201.32	280.99	229.15
Mrps18c	464.33	342.97	292.6	253.52	197.76	91.81	643.5	124.37	134.73	377.77	315.29	122.87	335.84	207.25	203.68	20.1	263.26	149.86	214.67	363.56	570.33	319.68	377.57	211.79	611.58	506.6	513.86	1128.05	456.01	201.03	643.82	202.72	59.2	290.56	219.09	508.66	438.83	1049.58	806.47	295.42	404.27	0.0	499.88	98.37	373.16	749.85	931.07	305.65	210.17	435.63	337.87	349.2	363.8	778.1	645.93	996.3	884.18	832.38	653.19	954.22	1441.18	534.34	585.98	308.11	453.4	150.63	132.23
Mrps33	408.71	240.54	308.08	244.27	277.67	161.61	631.75	590.74	736.16	633.11	458.48	491.38	355.4	520.54	520.63	478.12	591.25	376.7	508.98	545.78	613.13	270.42	667.55	293.28	186.49	615.5	152.36	588.29	1021.96	523.29	77.88	472.41	503.43	722.81	639.9	947.78	791.99	849.83	884.88	422.12	596.18	0.0	250.61	169.96	1137.01	545.76	304.04	518.82	289.57	695.89	549.67	537.9	545.57	177.2	833.74	163.49	933.16	577.5	943.53	1297.84	644.0	654.99	586.34	676.15	645.16	729.01	393.15
Mt3	709.19	446.37	277.46	278.8	246.12	101.33	301.97	365.14	143.78	339.78	387.51	73.34	239.94	3.73	80.73	265.93	318.26	255.51	252.52	702.17	334.07	796.67	384.94	525.05	883.75	610.16	1320.57	701.91	928.1	1073.85	824.9	520.19	220.4	564.84	817.36	443.01	522.64	552.35	552.51	406.86	539.69	0.0	202.01	215.66	415.52	131.85	498.75	210.44	327.64	729.43	1014.68	551.01	684.34	200.45	747.27	1460.05	979.58	1498.24	536.8	801.77	969.7	394.84	605.09	444.99	860.62	429.81	436.11
Myeov2	346.01	683.68	304.97	608.07	245.86	146.69	308.86	0.0	574.41	654.66	0.0	350.84	511.82	324.93	490.62	446.29	140.81	647.0	596.37	428.83	460.85	259.83	493.02	223.53	240.76	167.48	342.9	611.55	279.18	254.81	551.25	404.82	343.67	573.31	402.95	696.79	683.53	653.38	627.17	912.15	743.66	0.82	498.7	128.39	628.36	870.47	90.78	366.46	216.5	493.43	567.04	352.63	432.26	99.25	189.15	265.48	1072.71	1282.8	1369.85	420.59	631.62	268.96	200.13	459.81	351.9	449.48	345.28
Ndufa11	101.0	221.49	177.23	207.72	196.18	117.01	205.43	190.7	84.16	204.81	179.79	124.87	189.43	70.3	73.11	138.54	185.31	82.75	102.4	190.36	295.18	187.58	120.53	134.86	144.59	136.64	247.55	296.94	318.17	131.04	206.9	266.1	151.1	332.2	190.21	186.7	248.81	222.62	212.94	237.83	194.11	0.24	120.5	216.68	164.12	122.08	199.15	122.86	214.38	190.66	179.14	138.67	184.47	115.14	235.13	386.64	389.76	405.1	150.96	403.74	262.3	228.21	238.78	146.11	323.05	196.54	117.24
Ndufa13	413.13	500.76	389.6	486.94	207.34	406.87	724.46	297.99	361.96	321.32	528.09	296.21	318.53	393.55	353.4	227.45	222.94	537.78	296.46	441.6	625.36	332.44	437.15	573.45	341.56	442.75	610.53	476.06	721.89	559.12	792.9	541.38	269.85	473.79	329.73	604.29	643.58	536.77	476.18	464.18	543.03	423.33	166.97	215.16	319.36	263.57	410.7	324.83	495.6	555.09	561.21	378.73	397.64	287.91	239.63	352.16	589.45	515.86	566.16	296.97	594.69	509.62	467.39	148.4	423.31	202.06	222.93
Ndufa5	1235.78	1192.79	1021.54	468.44	279.24	465.13	662.76	370.93	545.59	905.41	718.27	403.05	688.69	583.99	553.32	819.09	620.05	506.07	629.73	955.35	941.19	400.65	464.79	578.22	1803.26	669.08	1815.81	1305.89	1206.11	987.42	1207.06	1045.44	898.42	1117.2	1007.0	898.36	1102.34	1061.96	1449.25	1044.07	909.32	0.0	622.69	787.63	654.13	992.51	1202.24	441.76	718.01	1010.17	1350.77	874.3	1009.44	1005.32	1648.62	2394.39	2360.52	1333.21	1447.53	1200.58	1550.88	661.62	870.63	565.14	1086.59	804.2	1191.22
Ndufa7	774.59	716.63	671.3	572.43	645.43	436.83	167.73	580.37	408.82	595.81	731.13	247.97	215.87	581.4	443.43	642.13	965.79	675.97	721.79	724.75	928.02	583.19	532.25	508.02	1236.07	545.42	1426.45	1124.79	1582.05	1591.0	1260.48	499.1	196.56	1154.14	699.39	1424.34	1168.41	1643.41	1254.25	655.94	1057.64	0.0	279.63	145.12	959.31	927.48	1191.88	562.65	322.57	720.25	798.08	708.16	825.41	1208.5	1279.93	1237.79	1309.77	1266.83	1127.89	794.1	1708.69	334.48	812.85	511.53	761.37	840.12	500.62
Ndufb11	661.88	616.0	406.86	163.5	164.83	277.51	740.36	78.71	469.86	381.3	401.66	361.94	414.46	575.43	316.33	240.43	96.78	469.45	295.2	297.06	519.64	129.06	419.28	345.26	730.39	507.61	772.34	574.62	517.7	471.91	474.28	677.29	287.21	725.89	513.79	725.69	560.36	415.39	593.54	537.83	515.32	0.79	218.05	337.19	255.62	579.7	232.97	392.21	295.06	434.34	455.59	422.45	457.38	353.88	456.81	976.37	467.34	428.9	654.11	631.73	400.42	416.24	218.99	481.44	388.46	461.44	542.09
Ndufb4	915.84	831.85	544.06	336.77	827.1	756.81	1145.76	639.95	987.37	572.8	457.36	945.49	411.88	574.71	924.96	489.17	488.69	1506.81	700.1	1580.98	896.98	1036.62	814.88	887.95	662.03	700.93	1479.74	2560.66	1600.53	1285.0	1648.32	831.27	783.49	1570.48	940.59	1330.53	1341.4	1657.52	1792.36	894.48	975.04	1.58	449.81	516.22	806.7	982.1	597.46	1017.04	877.94	987.82	1065.63	753.39	880.3	702.3	1207.99	2485.75	1408.46	1488.7	767.42	1455.36	1954.28	1240.12	1245.07	730.7	879.26	855.61	1066.63
Ndufb5	825.06	530.69	397.0	503.11	366.49	256.76	459.71	313.69	223.7	905.89	691.47	609.5	350.98	755.17	236.46	84.42	713.06	1148.37	740.95	563.45	1020.93	375.43	810.45	432.09	1050.21	570.97	1167.3	1179.03	922.42	661.49	575.73	684.73	730.75	977.19	836.06	1207.65	717.24	706.07	934.91	845.17	928.85	1.67	276.74	270.09	568.51	624.22	558.27	443.38	429.81	753.3	722.84	618.63	653.41	186.64	1159.14	724.69	1069.64	1080.39	816.9	508.43	1404.95	870.58	812.13	260.47	367.32	507.15	349.36
Ndufs4	76.15	203.99	220.59	126.79	30.9	282.71	137.85	192.38	271.33	230.73	0.0	28.58	242.36	370.55	287.09	70.14	3.49	379.75	171.91	362.08	263.89	195.13	342.77	267.49	55.84	317.51	404.04	261.76	439.88	482.5	191.74	176.44	65.63	224.0	216.4	278.49	355.1	74.31	697.88	335.08	303.11	0.56	133.02	218.64	453.67	150.23	183.09	265.07	337.45	304.97	304.94	203.64	232.74	159.63	467.18	117.77	419.7	238.31	659.98	564.82	468.37	230.01	191.61	183.42	235.69	334.85	99.36
Ndufs5	151.63	334.25	38.63	385.85	0.0	71.95	131.02	260.94	81.7	236.69	90.03	277.94	88.74	345.61	231.19	232.04	232.25	170.95	433.71	284.87	300.49	16.59	248.73	62.32	270.51	53.5	168.11	348.56	168.8	179.06	231.42	458.5	205.36	66.81	172.89	265.17	233.28	190.64	400.16	228.69	350.34	0.0	356.21	326.28	385.17	250.3	659.04	272.75	185.89	275.8	332.81	116.8	215.64	83.55	126.32	136.7	216.51	231.86	137.83	785.44	612.37	226.36	58.56	143.84	178.78	203.11	28.52
Ndufs6	180.33	1368.61	480.57	259.31	252.18	509.79	568.08	244.59	249.16	386.23	465.88	420.68	304.96	441.47	629.45	662.03	430.24	86.03	528.15	1022.32	762.77	230.17	531.55	394.55	1277.86	284.91	570.68	634.13	1048.71	797.05	241.34	1716.76	530.93	856.3	829.68	566.34	699.03	1378.95	1053.89	332.06	841.19	0.0	566.16	883.76	355.4	1068.47	889.79	500.2	301.45	589.32	695.24	433.26	544.48	605.63	461.1	1721.18	437.72	150.39	324.64	1419.87	619.7	335.22	747.59	584.22	755.79	420.55	337.98
Ndufv2	552.71	767.09	238.02	650.24	474.47	457.93	596.16	478.66	500.06	357.44	437.97	383.56	551.94	835.96	517.24	263.85	131.4	568.33	291.61	977.31	583.32	489.53	609.22	386.43	607.98	667.58	892.59	1045.2	993.79	1042.01	1086.15	446.04	661.06	764.33	678.07	869.79	1032.84	554.02	973.88	877.22	827.8	0.67	765.35	689.89	595.02	852.74	848.36	751.13	388.77	667.77	769.2	807.98	663.86	890.4	677.87	1700.2	1215.02	1085.69	873.25	809.41	1474.48	256.84	1006.82	878.74	804.4	780.04	610.93
Ndufv3	497.2	647.72	351.41	344.53	209.45	371.66	633.12	122.63	277.71	444.15	603.66	69.36	358.3	374.02	321.94	313.61	110.07	486.08	441.57	589.93	126.83	381.53	189.57	704.87	495.64	334.01	477.51	956.32	649.75	375.52	704.42	660.6	173.35	1034.06	449.22	396.23	603.33	488.66	726.27	273.82	404.91	0.0	251.26	190.88	364.3	637.44	1006.29	296.6	374.39	540.27	662.67	440.89	442.34	661.88	658.16	492.79	726.32	648.73	413.05	1247.55	1239.73	473.02	694.45	253.83	369.58	275.02	498.05
Nfu1	162.6	438.88	0.11	250.9	31.62	305.12	740.01	383.73	226.96	443.44	238.08	0.0	319.44	75.41	114.5	219.47	294.56	187.01	157.86	134.87	474.88	361.75	344.89	13.95	349.64	190.14	397.5	443.47	444.56	668.24	703.31	48.9	381.7	467.78	470.37	193.02	411.04	116.17	664.41	462.71	286.42	0.35	160.63	241.21	0.0	528.02	331.55	492.53	203.67	413.82	558.25	302.36	360.5	267.88	525.89	126.05	759.11	686.24	348.19	311.71	116.47	620.53	196.68	543.87	389.46	123.84	386.33
Nme2	445.84	602.53	411.32	199.13	191.11	386.02	109.42	235.48	249.52	118.57	194.68	230.0	0.0	128.54	270.54	0.0	228.5	231.7	151.01	360.42	508.04	141.32	481.59	335.55	342.27	234.25	1437.02	559.96	570.47	876.02	746.28	263.79	87.19	560.03	653.64	644.42	367.47	277.38	391.71	385.7	549.41	0.9	165.38	482.77	155.63	207.04	473.83	125.88	133.74	248.21	315.35	190.44	244.28	229.66	492.65	226.73	314.15	493.81	258.38	143.98	147.73	69.47	343.42	357.55	442.01	220.99	500.61
Nop10	432.01	666.65	247.91	309.71	409.72	148.69	376.09	197.42	340.19	372.25	600.93	211.82	318.85	424.57	554.25	191.26	155.55	177.26	238.71	500.46	938.93	196.92	437.15	222.85	482.79	325.06	645.84	752.68	587.56	397.73	272.63	232.46	287.93	492.55	433.12	515.08	667.58	657.56	727.31	399.46	696.53	0.0	325.83	328.58	490.52	388.96	418.48	383.38	306.27	460.46	468.53	345.18	403.27	261.17	407.58	790.01	446.14	935.02	644.6	685.86	951.05	1096.23	552.0	511.26	257.64	224.82	427.26
Nrip3	0.0	99.66	0.03	0.0	0.13	72.17	0.57	0.57	65.6	0.72	0.07	0.0	0.0	0.0	0.12	0.13	0.2	0.0	0.2	92.79	0.0	0.11	50.64	0.0	139.97	0.69	155.46	37.28	75.77	0.09	29.01	0.0	0.0	13.04	54.01	6.82	46.18	16.05	0.87	0.91	109.32	0.0	0.0	0.08	0.09	0.0	48.33	0.0	0.0	84.45	83.34	56.52	56.44	0.14	0.14	0.0	156.56	74.29	0.11	207.1	0.0	0.0	33.24	99.79	124.0	0.0	68.38
Park7	681.14	1341.43	3.28	368.88	1148.3	561.83	740.28	412.58	211.04	738.02	808.81	315.88	1065.75	456.92	512.82	720.89	383.85	335.34	878.6	961.96	1391.19	243.36	1441.18	646.86	711.48	945.05	1589.97	1254.73	1789.15	1544.62	1099.07	850.65	806.4	1095.79	662.43	629.07	631.76	331.68	587.39	656.76	433.41	1257.5	635.81	267.11	0.26	705.15	431.07	713.42	463.66	732.32	1093.35	871.91	925.93	895.47	977.49	1815.42	1583.47	1363.63	894.13	1711.82	1340.05	1259.21	498.63	918.81	776.38	815.29	908.13
Polr1d	2.65	138.38	201.42	0.0	0.0	118.77	618.36	160.3	143.52	0.0	0.0	364.31	150.94	216.44	43.06	0.0	0.0	204.13	369.46	6.89	196.82	320.31	349.56	244.58	261.46	268.14	149.04	434.57	341.73	174.55	204.66	0.53	419.52	224.94	197.69	70.25	301.15	124.82	210.53	357.01	281.09	0.49	151.5	166.37	413.25	497.92	394.9	122.23	126.52	324.44	296.23	148.36	189.95	171.11	0.0	0.0	281.6	128.01	1138.49	217.43	244.31	0.0	267.55	110.17	367.88	564.45	132.32
Polr2g	298.87	207.53	160.28	0.0	425.72	342.66	574.79	303.09	739.99	310.56	703.1	1.84	303.72	493.63	127.48	489.81	283.68	609.05	713.5	623.39	101.17	89.33	272.16	585.89	410.28	353.86	481.5	865.42	684.74	135.86	556.56	333.65	296.94	77.21	338.64	397.59	601.63	373.8	380.64	672.81	640.78	0.0	233.04	298.04	411.0	224.6	453.26	200.51	210.58	408.94	344.41	443.47	455.58	698.57	607.55	0.0	867.58	610.27	986.91	800.25	847.33	579.78	686.45	237.65	503.56	271.43	753.03
Pomp	572.38	1034.22	862.54	740.39	451.47	783.06	847.89	552.72	390.07	1516.52	202.81	149.67	1005.25	1325.42	543.97	240.97	1179.5	655.92	1304.46	1563.36	799.81	363.92	596.65	553.12	368.16	405.75	779.79	1473.73	589.16	708.97	1090.37	632.35	427.87	573.55	329.96	794.22	867.22	1042.94	684.64	1105.3	698.69	0.46	427.27	1113.93	453.73	1236.84	772.12	762.89	296.03	775.59	893.17	729.19	762.58	931.81	1026.94	728.82	1201.73	346.22	1324.46	1755.62	1716.2	848.14	528.9	459.12	419.09	915.88	347.06
Ppp1r11	77.06	315.16	108.83	341.1	115.14	349.47	232.21	180.85	115.78	261.68	206.76	201.73	169.16	254.58	272.77	248.6	199.63	108.15	165.02	344.47	0.0	129.23	318.2	400.03	434.48	133.53	522.72	711.43	223.46	124.91	236.83	45.89	218.09	495.02	170.26	277.06	304.15	134.01	267.13	124.39	77.82	0.0	314.05	454.45	54.64	99.11	341.97	99.55	147.91	280.05	201.33	227.11	234.16	241.46	174.92	612.05	229.95	229.86	200.71	243.66	148.35	264.3	156.48	65.18	139.93	87.75	217.76
Psma2	1027.39	773.7	250.73	343.42	482.1	138.4	470.42	108.84	96.67	201.74	322.39	150.29	185.54	231.49	213.0	698.07	536.14	575.88	83.69	323.96	765.93	686.82	595.07	436.38	286.84	610.67	600.87	553.05	355.28	409.0	606.1	793.39	252.82	1033.22	540.77	1192.1	691.6	957.93	1263.2	858.13	746.42	0.35	202.4	398.31	268.05	952.25	362.53	319.74	282.28	656.52	678.83	546.66	555.12	430.44	676.16	539.11	1133.24	218.5	1211.15	1078.56	776.1	831.53	1230.04	557.61	635.61	763.34	532.17
Psma5	291.96	1041.48	349.19	753.49	558.53	354.86	593.24	626.67	287.6	588.63	108.66	298.39	458.44	955.23	944.83	453.97	883.09	654.82	403.01	723.7	886.66	550.16	868.61	1034.45	793.71	993.97	1102.75	469.87	906.71	462.75	985.61	542.3	397.97	773.8	680.52	1050.64	746.64	839.82	292.05	1212.27	774.59	0.81	614.38	1223.58	518.37	1044.78	486.1	703.52	657.02	776.25	781.23	745.95	574.79	745.67	1033.97	260.12	1417.73	196.93	225.75	1400.46	1449.83	1256.07	403.92	540.13	1191.71	672.74	587.01
Psmb1	605.9	1283.25	614.8	698.79	246.48	426.05	1038.64	458.99	685.34	510.99	8.43	508.83	451.04	1089.53	548.29	122.72	437.24	1166.11	864.85	755.5	615.26	650.69	816.02	816.72	1384.65	594.7	1486.84	1215.12	2607.06	1095.19	1035.04	499.38	1082.21	1183.25	796.7	1332.33	874.68	511.09	836.15	854.89	820.7	1.36	722.88	777.78	833.29	659.94	1069.33	982.21	697.76	1015.87	1042.89	840.21	796.04	758.58	1759.48	1439.66	1364.24	689.53	1585.13	1371.8	763.02	1003.61	836.17	810.22	885.53	845.63	863.71
Psmb10	48.41	207.11	95.24	0.0	9.76	165.72	75.91	418.06	0.42	189.12	0.0	112.99	8.54	41.59	73.05	4.05	144.03	356.32	153.25	112.84	0.31	0.0	0.27	124.78	486.83	75.35	2.38	569.4	156.71	162.94	326.44	0.8	66.69	115.37	96.41	216.43	38.24	106.67	83.55	82.12	154.76	0.52	0.0	118.98	0.0	0.0	85.63	34.79	88.59	181.4	161.62	190.64	242.29	40.11	128.78	165.37	144.18	258.18	0.0	99.22	231.96	165.07	114.82	192.56	18.23	277.16	170.4
Psmb3	811.79	1033.09	660.31	917.28	393.17	732.21	330.42	722.92	666.74	842.91	838.23	344.23	952.64	620.92	255.34	516.29	510.71	859.87	673.4	1582.92	999.49	282.96	801.69	645.49	635.46	709.44	2056.98	685.25	772.38	724.88	1135.55	803.78	353.54	803.44	558.09	652.59	782.72	714.57	1290.5	862.9	710.93	0.93	832.87	537.14	1063.74	946.73	382.7	1252.58	374.05	859.45	721.36	543.4	690.82	714.32	1845.72	1687.19	731.78	1660.77	752.97	1148.63	2386.57	1128.26	647.74	233.26	659.64	326.17	918.23
Ramp3	0.0	0.0	0.0	0.0	0.0	0.0	269.49	0.0	0.0	52.08	0.0	0.0	0.0	55.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.18	127.36	4.43	83.97	22.35	197.44	334.54	0.0	791.79	318.45	0.0	0.0	90.64	0.0	18.29	7.5	67.27	1.64	144.19	0.0	0.0	0.0	0.0	0.0	0.71	189.24	0.0	158.81	309.35	176.1	243.52	0.0	527.39	238.75	422.62	129.73	225.71	545.45	390.09	0.0	208.46	804.19	0.26	550.27	7.56
Rbx1	346.4	259.68	492.73	513.48	773.1	384.31	565.04	627.16	156.43	340.87	387.43	340.39	280.12	140.79	686.08	303.54	408.45	736.2	235.88	831.87	240.58	315.16	359.78	543.58	791.03	386.13	758.8	407.75	516.17	153.23	686.76	198.59	302.55	881.18	474.25	434.99	415.65	471.51	500.85	582.93	398.13	2.3	367.99	289.07	134.62	389.84	311.11	590.06	599.92	477.08	538.95	544.31	510.02	284.01	624.91	494.13	267.61	757.5	414.19	538.88	580.08	170.56	477.85	681.19	532.92	178.04	347.19
Rnasek	320.27	975.46	408.09	166.32	882.27	576.08	811.49	224.46	613.56	563.59	584.44	455.58	466.12	607.77	721.77	771.03	586.07	1255.48	791.13	1243.51	1077.99	633.23	1081.67	808.91	673.51	360.84	1139.11	1003.61	1181.75	917.12	1105.48	658.87	554.84	1217.68	667.69	797.58	997.68	978.62	915.43	760.4	1106.8	1.11	569.29	1077.08	1541.53	590.63	1229.08	605.49	445.18	603.12	832.81	474.47	635.62	678.23	592.3	1060.8	1391.94	1025.19	1577.95	1565.88	2188.27	1064.7	837.13	687.7	591.3	10.07	477.04
Romo1	67.28	419.66	191.85	73.17	120.0	106.59	232.14	167.09	298.82	433.92	0.0	250.2	142.36	288.03	168.95	89.27	372.13	235.34	334.24	329.29	298.31	38.89	173.43	163.44	108.06	110.72	317.28	110.11	467.82	214.38	224.69	2.0	73.35	279.9	118.51	270.64	323.83	333.4	266.97	156.31	72.13	0.0	351.88	260.81	97.36	225.5	372.14	135.33	96.22	209.39	301.72	127.61	195.68	49.99	389.58	475.27	159.82	135.86	124.91	183.45	172.99	336.97	140.61	189.74	108.14	243.66	118.84
Rpl22l1	965.44	834.68	153.5	31.65	124.99	251.58	562.49	305.77	310.81	240.89	296.73	229.65	586.29	761.22	52.27	299.72	309.58	334.77	332.5	351.57	396.03	476.24	568.86	251.06	522.44	301.23	1352.62	362.38	634.36	562.95	297.29	397.98	308.72	504.79	291.91	720.14	768.64	989.71	718.68	544.79	895.69	0.0	514.6	441.11	143.9	814.3	685.04	597.38	324.47	517.14	436.01	274.68	303.65	528.05	370.77	585.27	816.23	504.88	534.12	805.8	494.02	329.03	375.57	281.37	450.56	342.04	933.44
Rpl23	513.33	407.88	169.93	339.11	228.55	130.51	107.36	491.94	473.22	507.95	599.31	267.85	369.33	531.6	337.2	205.69	137.68	331.52	278.31	605.88	683.7	171.14	320.58	353.91	234.36	338.46	992.27	308.91	491.95	550.85	503.49	418.27	497.93	398.79	486.81	433.57	518.0	489.56	593.26	777.5	425.44	309.22	399.89	296.11	326.01	643.6	445.06	398.54	479.56	402.27	446.35	263.26	338.38	319.15	781.38	417.1	580.13	499.28	274.65	749.73	673.18	382.75	349.01	405.31	411.13	269.95	287.4
Rpl6	357.27	558.77	345.61	322.96	286.77	420.52	396.0	428.54	480.9	341.7	408.78	335.89	558.59	460.25	495.32	345.94	352.81	477.48	309.77	568.85	579.89	128.34	324.6	468.0	483.82	554.03	1001.6	673.84	361.27	843.23	474.25	576.31	442.39	845.14	441.36	625.46	485.26	508.61	273.87	501.57	668.97	1.32	359.25	575.71	422.18	601.01	544.63	435.35	391.0	498.87	537.84	369.61	515.89	550.34	716.89	573.63	622.89	852.5	12.29	923.94	1048.92	649.79	596.97	755.77	427.32	397.7	113.67
Rpp21	177.68	483.06	10.07	89.06	6.97	295.64	132.24	100.34	113.37	313.51	350.59	94.25	205.42	0.0	0.0	0.0	195.27	129.68	0.95	514.67	303.82	142.23	415.48	308.09	56.11	154.57	785.93	313.7	414.18	137.56	482.51	111.03	100.08	358.77	128.53	21.52	206.4	89.44	243.05	348.41	170.88	0.0	0.0	0.0	413.24	286.95	290.06	14.02	125.88	156.93	277.99	162.86	170.17	59.23	495.63	364.85	685.05	158.3	27.33	112.57	429.96	160.43	163.05	229.05	0.0	158.45	285.02
Rps20	126.71	482.75	77.05	153.37	50.89	72.9	0.0	78.34	293.65	13.32	15.17	302.71	227.77	114.39	55.18	102.54	0.0	332.37	76.26	129.72	391.52	142.51	222.94	133.58	256.09	92.31	454.66	461.11	202.92	295.55	287.58	192.24	128.51	316.91	177.08	273.9	307.35	555.98	163.3	404.1	425.63	42.95	194.24	108.46	121.83	324.11	259.14	374.04	396.84	286.4	240.5	150.92	201.62	306.6	147.03	512.35	242.68	48.39	42.77	423.43	195.47	678.07	285.56	64.86	160.3	98.05	150.43
Rps28	572.55	595.62	220.82	390.78	121.96	109.16	373.23	101.67	110.34	273.0	357.47	208.24	374.39	470.91	299.68	495.13	151.01	565.74	206.42	565.39	543.13	202.63	384.17	307.81	481.69	393.84	1018.7	595.97	925.35	475.65	902.91	687.27	342.98	359.67	397.2	648.7	502.75	794.7	727.33	701.22	559.13	382.69	298.79	67.17	479.62	554.11	509.04	352.97	247.42	420.96	628.07	246.24	397.58	481.6	276.09	488.01	804.69	741.2	619.6	743.32	299.92	304.28	260.75	555.62	350.03	232.36	177.61
