	Calb2_tdTpositive_cell_9	Chrna2_tdTpositive_cell_51	Cux2_tdTpositive_cell_57	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_74	Cux2_tdTnegative_cell_14	Nr5a1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_52	Rbp4_tdTpositive_cell_44	Rbp4_tdTpositive_cell_54	Rbp4_tdTpositive_cell_101	Rbp4_tdTpositive_cell_127	Rbp4_tdTpositive_cell_130	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_183	Rbp4_tdTpositive_cell_189	Scnn1a.Tg3_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_3	Slc17a6_tdTpositive_cell_22	Slc17a6_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_30	Slc17a6_tdTpositive_cell_31	Slc17a6_tdTpositive_cell_37	Tac2_tdTpositive_cell_2	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_35	CAV_LP_Ipsi_tdTpos_cell_43
BC003266	0.0	0.0	152.73	287.74	0.0	80.77	34.84	0.0	0.0	0.0	0.0	170.95	371.04	7.76	67.95	199.03	152.27	180.61	44.65	88.2	38.16	261.77	162.4	229.83	96.91	0.0	0.0	173.91	0.54	94.15	107.29	88.22	100.16	84.12	61.21	76.79	91.03	86.94	55.47	93.61	88.83	0.0	0.0	0.45	0.49	0.0	0.0	0.0
BC031781	2.25	49.84	26.5	177.08	4.43	1.91	30.36	2.06	22.97	1.02	21.24	43.7	0.92	16.36	61.54	16.53	61.38	28.11	21.2	79.59	56.25	97.32	16.08	150.27	63.54	1.86	14.11	42.74	41.33	40.35	73.24	65.51	22.27	20.65	16.97	51.95	33.42	32.48	35.13	29.33	32.88	71.2	41.55	43.05	0.82	38.67	2.5	0.0
Bcl2l1	134.45	107.44	0.0	0.0	0.0	45.88	48.55	86.59	0.14	120.25	113.3	79.16	97.89	72.9	68.0	2.17	77.35	98.69	45.58	0.0	0.0	280.48	155.44	99.57	78.19	91.94	0.54	63.51	0.0	181.31	78.93	120.95	129.52	73.5	133.06	110.61	138.51	111.48	99.74	82.13	101.39	1.81	27.64	0.0	0.0	0.0	0.0	59.04
Bdh1	0.07	0.07	15.17	5.17	0.3	0.2	50.1	3.0	0.32	0.0	0.09	0.0	7.16	0.52	0.11	3.97	9.83	26.23	4.22	1.16	0.4	49.92	47.28	1.16	0.0	2.69	0.41	0.34	27.35	20.15	5.89	1.13	8.09	4.96	7.26	4.93	13.63	8.5	3.92	11.28	5.55	0.0	3.15	0.28	0.13	0.25	0.45	0.0
Blzf1	20.17	34.37	0.28	127.42	0.0	41.38	69.36	0.81	0.0	70.3	3.39	0.0	0.0	0.0	21.77	20.51	83.85	30.98	23.09	0.27	79.73	64.84	0.16	0.0	0.0	40.7	69.56	0.0	14.02	40.31	27.6	43.1	45.04	44.59	45.01	26.63	39.33	50.48	53.92	37.44	37.34	46.61	52.0	0.0	0.43	0.0	49.85	0.1
Calm2	20249.89	18003.48	20813.5	20740.74	17688.69	19081.81	19635.16	19578.34	24749.41	21064.56	19971.06	20654.99	18161.55	14978.17	18291.8	15208.85	18742.78	16381.97	18187.15	19736.86	17323.44	10596.72	16061.24	17647.75	20660.56	19581.9	19276.37	17564.01	17350.63	15475.49	15887.21	17363.25	14908.0	16198.04	15858.62	15411.91	15343.8	18644.66	18004.95	16099.57	15686.41	22860.58	23322.9	25106.81	21777.08	23557.63	18864.48	17897.54
Ccdc58	0.0	0.0	1.2	0.0	0.0	0.0	86.3	0.0	0.0	0.96	0.0	80.55	159.97	0.0	1.12	0.0	41.63	19.48	31.21	2.12	90.09	96.55	0.0	95.55	76.48	82.51	0.0	47.81	76.51	13.13	20.26	15.13	17.85	29.43	43.25	4.4	13.69	48.38	19.09	25.41	9.86	86.65	0.0	338.55	130.67	0.0	0.0	0.0
Cd99l2	61.08	33.71	75.11	44.25	0.0	6.61	13.22	0.0	33.45	31.8	0.45	4.74	0.0	0.0	2.91	18.78	75.81	16.59	26.86	0.11	0.52	11.0	0.18	0.0	0.0	45.43	20.2	0.0	79.79	49.67	40.05	32.38	45.25	60.77	39.48	16.36	23.02	46.05	57.5	66.12	62.0	0.0	0.06	0.0	0.0	0.0	0.13	0.11
Chn2	0.81	18.75	63.09	0.16	0.0	0.92	1.76	0.0	0.0	0.0	0.0	10.47	53.25	0.12	0.0	0.0	0.1	0.0	23.83	37.59	57.23	110.44	0.0	3.42	2.59	0.0	0.0	93.91	0.0	23.97	55.75	13.56	11.21	9.28	0.11	18.0	6.09	11.26	10.35	11.55	21.65	0.0	0.0	162.08	0.09	0.0	0.0	0.0
Cnn3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.26	0.72	0.0	0.0	0.0	0.0	0.0	5.97	0.15	1.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D330023K18Rik	21.63	0.0	85.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109.91	0.0	74.69	0.0	101.68	55.5	15.03	1.93	52.42	86.38	198.43	99.72	0.0	0.0	106.47	0.0	0.0	42.96	10.82	62.72	2.19	22.68	36.56	79.09	41.04	52.5	38.03	20.01	39.66	0.0	0.0	0.0	221.21	0.0	0.0	0.0
Fam114a2	0.0	119.44	0.0	99.86	0.0	0.0	66.33	0.15	0.0	0.4	59.11	0.0	0.65	0.49	0.0	85.11	165.07	72.67	16.23	0.46	18.12	146.45	0.0	0.0	15.2	0.0	0.0	0.0	25.33	29.23	40.29	42.01	16.21	11.96	30.62	14.56	32.8	20.58	40.97	31.66	56.98	65.81	203.86	49.18	79.18	29.83	0.0	0.0
Fbxw17	0.0	0.0	4.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.54	0.25	14.67	119.55	116.78	0.0	0.0	0.0	0.36	0.0	15.56	35.42	8.52	12.88	11.11	26.7	19.68	24.86	11.89	32.04	5.92	13.07	17.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm3317	0.0	0.0	0.0	0.0	0.0	4.17	4.06	4.97	0.0	0.0	0.43	0.0	0.0	0.0	0.0	5.93	0.0	5.05	0.87	1.59	0.0	8.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.46	0.0	0.87	2.59	0.89	0.15	0.0	1.07	2.65	0.88	0.92	0.0	0.0	0.0	0.0	6.29	0.0	0.0
Gm3494	0.0	0.0	0.0	0.0	0.0	4.17	4.06	4.97	0.0	0.0	0.43	0.0	0.0	0.0	0.0	5.93	0.0	5.05	0.87	1.59	0.0	8.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.46	0.0	0.87	2.59	0.89	0.15	0.0	1.07	2.65	0.88	0.92	0.0	0.0	0.0	0.0	6.29	0.0	0.0
Gm5468	0.03	0.22	0.31	0.19	0.0	0.0	0.21	0.14	0.12	0.0	1.17	0.0	2.58	0.13	0.21	1.77	2.54	2.72	1.49	0.19	0.2	13.68	1.95	0.22	0.44	103.38	79.6	0.41	0.4	23.67	20.9	5.04	22.57	19.11	28.76	2.5	14.31	47.77	47.08	24.76	23.04	0.0	28.29	59.46	0.09	11.35	5.9	0.0
Gtpbp5	0.0	0.0	0.0	2.46	0.0	0.0	1.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.0	0.16	14.56	0.0	44.81	0.1	1.52	0.0	0.0	1.32	0.0	0.0	24.3	0.5	15.29	9.07	7.39	26.48	0.18	24.56	22.42	7.31	8.38	11.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gyk	0.0	38.5	0.0	0.74	0.0	0.0	0.04	144.1	0.08	38.99	0.0	0.0	0.0	22.26	23.24	41.35	105.48	4.4	12.73	0.0	4.94	74.75	2.42	54.06	0.0	0.0	38.32	0.0	10.62	5.57	12.17	10.95	18.31	43.0	12.61	11.76	9.46	11.15	16.51	18.12	18.28	0.0	0.0	0.0	1.66	0.09	0.31	0.02
Hif1an	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	3.48	14.84	0.0	4.67	0.1	0.0	0.46	0.0	2.2	0.0	0.67	0.0	0.0	0.0	8.78	7.43	5.74	5.23	9.24	5.02	6.92	0.91	15.32	5.67	3.68	6.37	0.0	0.0	0.0	0.0	0.0	0.88	0.0
Ikbkg	15.34	20.08	64.88	6.32	5.37	30.62	41.59	2.02	1.66	9.53	18.71	24.01	1.96	2.04	4.88	1.55	54.94	9.07	12.2	7.94	2.13	60.87	11.05	3.95	4.65	2.59	20.74	3.84	56.58	11.98	15.43	14.22	15.19	11.29	24.1	18.43	14.15	17.23	24.4	19.77	19.94	18.38	2.27	2.46	5.79	6.8	5.96	4.31
Jmjd4	0.44	43.31	2.79	1.44	0.06	0.33	0.45	53.62	0.79	0.94	0.45	0.74	1.58	2.73	0.54	1.42	4.02	0.67	2.06	1.54	1.09	49.97	1.43	12.33	15.5	4.35	0.69	0.43	0.6	4.9	2.57	11.5	2.92	3.14	4.62	2.34	5.74	17.33	2.37	7.65	4.21	1.72	2.58	7.12	3.28	2.15	1.25	2.48
Kctd20	0.0	0.09	0.0	34.34	0.33	0.0	0.0	0.0	0.0	63.05	0.0	0.83	0.0	44.98	0.0	0.0	0.0	65.43	1.95	0.06	7.35	92.57	0.0	0.0	72.53	18.65	52.69	31.12	10.37	19.29	9.73	15.38	13.84	20.44	22.3	15.53	21.36	20.48	17.46	11.22	13.64	7.49	0.0	0.18	0.0	0.0	0.0	0.0
Klhdc3	2.38	49.92	401.24	297.91	0.0	0.0	144.05	89.38	5.05	53.54	0.27	182.77	247.56	0.98	40.91	0.0	47.79	79.51	36.47	74.98	17.34	123.37	0.32	37.14	144.28	125.2	1.94	46.23	37.25	75.89	121.74	99.27	91.03	110.38	114.61	100.85	106.28	85.01	63.77	58.07	62.52	133.44	0.43	116.63	81.55	59.91	132.25	0.2
Lgi1	19.66	15.14	0.78	134.75	157.56	35.54	111.5	130.02	0.15	234.45	18.44	80.06	229.6	1.56	55.18	2.61	221.04	68.91	85.74	102.42	84.44	318.38	97.49	41.53	50.06	46.71	61.11	33.87	217.31	186.46	122.26	98.33	101.91	204.46	179.03	79.22	110.29	104.23	239.08	199.49	175.98	305.62	95.54	74.14	57.62	222.9	107.65	106.09
Ly6e	279.17	741.06	61.63	458.96	354.9	270.13	541.56	309.74	79.22	434.77	293.18	960.67	152.19	6.73	364.09	134.13	511.82	166.83	205.25	139.56	291.39	910.58	357.98	252.51	647.85	443.13	462.91	270.28	128.75	526.25	395.78	438.14	527.28	331.31	333.85	375.83	446.53	374.02	277.75	361.74	366.06	736.21	217.75	280.26	395.09	299.94	82.44	263.78
Mchr1	75.54	0.19	0.17	139.95	0.0	0.0	0.0	4.02	0.0	18.46	0.0	0.0	0.0	0.0	0.0	11.47	43.28	1.67	15.46	0.0	0.0	106.01	0.0	6.62	0.0	0.0	43.62	0.0	0.0	17.45	12.0	31.57	4.5	15.98	7.51	16.59	0.0	7.53	15.35	11.54	7.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Msl3	0.0	1.83	0.0	34.58	0.0	0.26	0.0	5.17	2.99	58.08	0.46	110.63	1.1	0.0	5.2	0.0	0.11	0.0	1.23	0.0	6.81	98.26	0.0	0.0	76.21	0.36	55.4	0.0	0.0	24.59	38.12	23.65	11.85	26.23	10.31	23.12	36.97	16.34	22.86	21.01	23.9	0.0	2.09	11.43	0.0	0.0	0.0	0.0
Mta1	0.0	0.0	0.0	0.0	0.28	0.0	0.0	0.0	0.0	3.93	0.0	0.0	0.15	0.11	0.0	1.15	0.0	0.0	13.06	9.76	10.0	23.17	0.0	0.22	0.0	2.43	6.16	0.0	2.28	0.13	0.0	2.49	0.24	0.54	0.1	0.19	6.31	6.19	3.87	2.73	5.0	2.66	0.0	0.0	0.0	0.21	0.0	0.0
Mtmr9	0.0	0.26	0.15	0.0	0.0	0.0	0.0	0.0	1.1	62.98	0.0	0.0	20.4	0.0	0.14	0.0	23.14	0.0	2.84	0.0	0.61	100.77	0.0	0.0	1.82	0.0	0.26	0.74	21.55	4.14	5.67	19.76	10.41	6.75	2.87	15.15	13.37	0.99	6.21	12.76	4.77	0.0	0.0	0.0	0.0	0.0	5.36	0.0
Nacc1	0.0	0.92	1.8	0.1	0.0	0.0	0.0	22.57	0.08	0.0	0.68	0.0	0.0	0.0	0.76	0.0	0.06	2.26	2.15	0.28	0.0	14.03	0.19	0.0	0.0	4.85	0.0	0.0	0.0	2.29	1.82	3.25	4.59	2.28	4.5	3.09	0.28	4.56	2.96	1.51	3.44	0.0	0.0	4.47	0.0	0.18	0.0	0.0
Nap1l5	375.96	9.69	1.98	2.76	91.1	0.0	6.43	49.02	15.96	165.58	56.35	11.82	6.53	210.61	1.78	187.19	120.82	66.03	225.48	192.17	31.22	358.12	64.72	0.0	0.33	84.83	0.0	113.08	56.21	43.15	32.83	24.56	71.51	73.41	106.36	75.66	61.2	54.68	67.45	52.44	72.17	0.0	14.02	0.0	134.86	25.89	0.0	0.0
Ncam1	118.46	233.72	94.03	323.95	20.46	218.72	133.79	105.86	160.42	91.62	183.45	75.02	144.84	62.24	94.37	156.12	221.99	170.94	67.84	108.4	43.69	260.74	170.42	136.8	125.47	168.37	211.65	156.82	122.7	229.27	208.02	179.27	223.86	256.57	194.51	193.76	190.02	212.65	290.99	260.28	255.74	104.07	81.36	79.72	87.19	108.02	184.22	104.44
Ngrn	0.0	101.39	0.0	0.0	0.0	0.0	69.7	0.0	0.0	0.0	0.0	100.48	0.0	110.29	11.88	0.0	118.92	95.14	49.33	11.59	0.0	95.21	104.19	0.0	82.21	97.84	68.73	9.61	0.0	47.37	38.62	77.13	62.34	63.77	51.38	85.9	103.53	36.78	49.08	52.96	51.76	0.0	0.0	0.34	0.0	0.0	0.0	0.0
Nos1ap	0.0	0.42	91.56	0.0	0.0	26.4	0.0	81.5	25.95	100.56	85.41	203.83	51.68	0.63	76.48	10.22	25.55	61.64	26.57	0.3	23.52	114.1	111.16	27.72	0.0	3.39	31.98	0.0	33.32	74.32	63.28	57.6	50.7	68.18	84.08	61.86	52.47	78.78	38.74	52.38	52.04	3.71	120.49	0.74	24.77	54.43	62.41	38.82
Nudt19	496.76	32.99	0.0	0.0	0.0	0.0	0.0	0.0	5.7	8.94	0.0	0.0	60.75	94.64	0.0	1.51	0.82	1.91	22.43	47.3	0.16	101.33	0.0	0.0	0.33	208.68	44.57	0.0	60.43	34.86	24.63	55.72	38.15	29.62	19.29	44.31	53.28	31.14	22.72	32.34	36.97	30.02	0.0	0.0	10.84	0.2	0.0	0.0
Paqr7	0.38	0.0	33.13	59.38	0.0	0.0	0.1	0.0	11.22	3.32	0.0	65.49	56.58	0.0	0.65	0.0	38.07	1.77	6.94	0.29	15.17	30.86	0.0	0.0	6.69	0.0	0.0	0.0	1.03	4.67	16.05	9.11	23.87	18.42	13.0	22.88	6.13	7.41	18.9	12.74	21.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pcmtd2	0.0	59.3	138.24	54.55	17.88	53.09	73.57	5.65	118.2	141.8	7.91	26.92	52.24	108.84	30.74	45.62	156.95	53.09	60.01	215.28	126.75	157.89	38.5	68.1	50.29	112.28	274.39	52.46	20.21	119.89	59.26	63.62	76.83	125.9	89.5	56.97	64.44	67.39	115.07	94.29	97.7	56.94	45.06	175.28	2.52	214.57	163.36	0.11
Ptprg	0.0	3.14	0.0	0.0	0.0	0.23	9.91	0.04	0.04	8.14	0.0	0.0	0.0	0.03	12.98	0.0	21.79	1.83	4.88	0.43	0.0	7.37	16.75	8.88	9.95	7.68	0.14	1.08	0.11	0.49	5.98	5.82	3.15	2.8	5.25	4.95	0.16	1.36	5.5	4.98	3.16	0.0	0.57	0.0	0.05	0.0	32.39	0.0
Rexo2	125.02	1.42	0.0	0.83	0.0	0.0	0.0	0.0	0.32	194.17	0.26	0.0	10.15	0.0	26.92	18.78	10.24	29.0	65.98	65.31	18.98	99.85	0.0	98.81	0.0	0.0	75.59	0.0	0.0	46.62	46.88	39.87	50.38	66.73	40.34	23.1	37.79	54.24	28.16	43.71	44.44	0.0	0.0	0.0	0.0	0.0	0.0	2.61
Rnf114	39.91	0.0	12.12	108.87	0.0	0.0	0.0	13.56	0.11	310.46	0.0	1.64	103.25	0.0	21.85	0.0	149.66	1.09	19.98	0.1	0.0	234.17	150.26	75.86	63.12	73.67	0.0	48.56	80.75	76.48	73.81	64.83	53.14	29.83	20.8	31.15	80.53	40.68	34.63	49.56	42.5	20.33	4.98	29.28	0.0	0.0	24.9	0.0
Scnm1	145.91	0.33	0.0	6.83	0.0	11.36	141.58	111.6	0.0	49.94	53.83	588.19	144.58	187.66	141.55	49.58	104.16	185.6	118.69	44.9	0.0	338.76	0.0	311.2	204.74	125.66	118.68	129.95	86.52	59.46	161.38	110.65	83.75	63.23	109.63	173.8	104.17	122.37	114.49	132.27	125.14	168.32	3.58	129.33	0.0	32.44	0.0	0.0
Sco2	11.64	0.0	0.0	0.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.53	11.51	0.0	0.0	43.78	0.0	0.0	0.0	122.7	0.0	0.0	54.42	0.0	2.35	3.3	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.13	4.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Serac1	0.0	0.0	0.07	0.01	0.0	0.06	0.0	0.0	0.0	0.0	0.0	9.59	21.51	0.0	0.0	0.0	0.32	0.24	10.67	2.66	0.44	7.9	0.0	0.7	0.0	60.61	0.0	0.0	0.0	6.33	5.83	7.18	7.68	12.26	8.82	1.11	0.71	9.63	12.51	6.51	6.47	0.05	0.05	0.0	0.0	0.0	0.0	0.0
Sf3a1	0.0	11.57	50.41	0.09	0.0	20.99	0.04	0.0	7.22	49.74	22.27	1.39	1.87	0.06	36.02	24.9	42.33	64.94	33.23	0.57	2.43	47.6	47.05	54.66	58.0	47.01	24.13	41.32	0.43	30.89	18.1	26.36	20.69	9.31	34.96	3.07	25.61	11.94	18.93	18.45	18.33	3.44	0.0	0.0	9.14	0.0	0.0	0.0
Stx1a	583.29	593.26	454.28	499.28	0.0	313.97	247.32	186.47	218.48	358.17	434.1	467.24	373.98	257.49	215.58	160.37	350.94	55.1	117.9	220.86	47.22	999.76	117.45	424.1	519.03	262.03	683.2	582.95	64.94	369.4	285.67	396.68	321.82	331.41	366.56	224.33	309.81	324.97	343.12	421.97	407.58	402.66	1.51	65.5	221.7	310.7	91.02	0.19
Syp	178.8	259.01	186.11	533.77	290.21	270.91	340.03	197.88	135.48	285.29	256.83	236.68	546.23	136.05	165.82	223.23	244.66	256.97	198.77	284.02	146.3	683.35	135.5	125.79	238.97	271.04	327.97	220.0	374.3	345.58	318.74	289.15	301.79	316.68	258.44	320.88	261.91	268.03	195.35	258.19	219.85	117.56	600.59	144.34	309.73	309.46	124.74	542.71
Tbc1d9b	0.0	0.0	0.0	0.0	0.0	0.0	3.64	2.27	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.49	1.52	2.71	0.11	0.0	6.19	0.0	0.0	1.43	0.8	0.0	0.0	0.0	2.3	2.18	3.89	3.89	1.77	8.03	10.61	4.56	7.83	4.37	3.21	6.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tgoln1	17.49	45.81	90.28	66.47	0.0	4.49	21.97	143.09	0.23	120.36	21.08	17.02	68.69	54.35	45.67	68.75	92.14	87.92	38.79	194.42	8.57	232.97	48.39	64.56	19.52	22.5	122.5	52.95	63.25	69.75	76.26	53.28	47.3	62.84	89.4	22.91	68.54	40.29	101.03	85.48	68.28	42.5	0.5	0.0	50.23	9.27	43.44	83.65
Thumpd1	71.77	4.93	0.42	6.19	0.0	3.79	0.0	0.0	0.12	0.0	0.0	1.77	0.0	0.0	0.0	0.48	0.1	5.2	14.64	0.45	0.0	53.03	7.98	11.54	15.76	115.85	1.91	31.63	0.0	15.79	24.83	28.28	24.7	16.62	34.6	6.9	1.86	22.12	13.38	17.51	12.83	0.0	0.0	0.0	0.0	0.15	0.0	0.0
Timm17b	1.89	2.55	2.11	161.58	0.77	1.83	31.92	0.57	153.1	0.68	67.88	92.88	15.37	1.4	52.14	82.93	1.51	24.73	51.4	4.49	25.58	110.31	3.95	3.3	89.28	2.17	64.16	53.33	2.71	37.25	14.16	32.83	17.12	33.24	41.03	21.37	53.41	48.52	30.62	30.15	37.31	1.18	0.38	2.03	119.8	1.47	63.58	1.02
