	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_4	Ctgf_tdTpositive_cell_6	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_69	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_19	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_45	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Rbp4_tdTpositive_cell_165	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_24	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Amy2a4	0.3	0.17	0.01	0.0	0.0	0.07	0.0	0.08	0.49	0.15	0.0	0.62	0.09	0.49	0.6	0.11	0.51	0.22	0.06	0.0	0.0	0.15	0.0	0.13	0.06	0.13	0.22	0.1	0.09	0.08	0.17	0.12	0.09	0.03	0.2	0.1	0.07	0.17	0.16	0.18	0.52	0.05	0.11	0.0	0.38	0.23	0.26	0.08	0.31	0.17	0.09	0.05	0.22	0.25	0.0	0.0	0.0	0.02	0.0	0.09	0.12	0.08	0.12	0.13	0.24	0.11	0.26	0.19	0.21
Apbb1	190.47	274.37	143.23	0.0	0.0	0.0	0.0	0.0	361.43	274.41	355.26	166.74	101.33	361.6	51.76	187.91	184.7	139.99	0.0	0.0	0.0	125.98	0.0	173.85	231.5	209.16	101.05	187.91	153.3	140.24	168.05	204.62	139.06	66.17	141.3	74.87	157.61	82.56	290.16	185.37	200.49	193.35	204.53	60.91	113.34	20.07	165.84	43.13	119.0	222.62	100.3	283.84	79.6	136.48	0.0	0.0	0.0	98.9	3.24	103.69	408.23	153.32	107.92	75.36	223.78	239.99	384.22	435.94	424.83
Arfgef1	15.61	29.46	16.18	0.0	1.62	0.05	0.0	0.0	77.5	4.39	1.08	13.48	18.23	110.22	8.45	0.0	2.12	1.15	0.0	0.0	0.0	0.11	0.0	4.65	3.4	0.47	0.0	0.05	0.06	13.54	21.37	0.04	18.0	13.97	7.21	8.41	21.8	5.29	24.5	21.64	87.86	18.76	0.0	0.21	12.63	1.43	2.95	40.24	4.79	0.31	23.33	0.03	0.0	6.61	0.0	0.0	0.0	0.52	0.03	5.68	46.02	0.03	15.58	0.0	22.22	13.02	51.81	44.82	48.91
Arid1b	2.87	8.75	15.63	17.06	0.06	0.0	0.0	0.04	7.42	5.15	37.47	47.54	8.62	35.94	9.85	11.09	10.68	3.86	9.53	2.56	76.2	5.99	0.0	16.27	5.84	6.13	2.6	2.95	0.08	0.06	1.01	1.66	1.92	3.33	0.95	0.89	3.84	0.02	2.67	2.77	23.72	8.26	0.0	1.84	6.03	1.93	16.27	2.38	1.6	0.88	6.42	0.89	1.97	26.01	0.0	0.05	0.0	0.72	4.83	1.63	34.06	1.08	3.45	0.43	14.58	9.06	20.92	20.89	22.57
Atp6ap1l	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.64	168.23	0.0	1.96	242.82	0.0	123.93	15.42	0.0	0.0	0.0	0.0	335.26	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	161.84	0.0	432.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	151.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.54	66.58	20.17	23.51	16.58
Bace1	21.3	67.13	1.8	0.0	0.0	0.0	0.0	0.0	124.11	206.62	72.6	67.84	19.32	267.85	0.24	0.0	82.9	0.05	0.0	206.28	0.0	121.93	0.0	34.96	1.66	7.18	25.25	16.91	67.69	36.94	48.14	24.75	12.0	53.46	12.38	1.68	54.53	4.4	91.7	7.54	154.44	0.23	4.7	18.02	75.97	18.36	20.95	6.25	35.63	1.0	27.69	0.11	37.24	19.56	0.0	0.0	0.0	0.7	22.73	12.45	35.94	38.03	5.31	35.23	55.46	41.79	67.81	63.65	66.93
Bcl11b	18.27	3.15	26.41	0.0	0.0	0.0	0.0	0.0	20.47	42.3	71.07	11.3	32.23	60.23	0.27	3.73	23.02	16.95	0.34	0.0	0.0	8.22	0.0	3.69	12.21	6.09	19.58	6.49	2.49	21.86	0.08	18.88	1.52	0.0	6.36	2.05	0.18	1.89	22.4	1.98	70.08	11.06	0.06	0.0	0.06	35.69	0.46	3.58	8.94	0.07	5.93	7.19	3.1	2.59	0.0	0.0	0.0	25.59	0.47	9.38	14.65	16.43	7.19	2.0	14.6	12.33	35.56	39.1	36.72
Bdh1	0.82	1.92	0.28	0.0	0.61	0.09	0.0	0.0	1.69	40.18	1.81	38.1	1.09	73.38	0.0	1.34	42.48	0.65	0.0	0.0	0.1	3.41	0.0	0.17	36.14	20.9	0.22	2.41	5.46	1.24	5.63	0.69	2.52	1.0	1.31	0.31	0.0	0.4	0.53	0.0	44.92	0.4	2.86	0.68	0.0	27.96	0.08	9.44	0.27	0.26	17.53	20.73	22.12	4.22	4.37	0.0	0.0	19.85	0.22	0.62	0.18	0.0	1.67	0.12	3.92	11.28	40.08	42.35	39.62
Cab39l	46.91	0.0	46.95	15.63	0.0	0.0	0.0	0.0	0.4	45.21	226.09	0.21	106.51	0.0	12.95	6.51	171.69	82.33	0.0	35.02	0.0	23.32	0.0	1.2	1.33	54.28	194.65	1.19	76.07	40.92	44.45	71.09	52.61	42.31	41.12	1.78	0.0	97.88	170.25	24.5	250.73	46.64	0.4	22.16	2.4	90.69	47.08	44.23	3.86	0.0	73.03	11.44	37.38	19.74	0.0	0.0	0.0	2.26	36.61	52.55	90.46	6.68	52.9	91.8	36.46	40.55	21.41	21.13	20.76
Cbr4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.19	191.7	0.0	89.87	0.0	0.0	0.0	0.0	6.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	101.78	66.43	0.19	0.0	26.57	37.87	38.26	0.0	163.81	45.56	91.2	107.77	0.0	0.0	182.22	0.0	0.0	0.0	0.0	0.0	0.0	33.48	0.0	61.55	0.0	0.0	0.0	17.01	0.0	0.0	0.0	64.47	0.0	0.0	99.88	7.57	0.0	0.0	40.36	36.32	18.33	16.59	17.71
Ccdc46	0.0	0.78	49.74	0.0	0.0	335.05	0.09	0.0	0.0	0.12	130.39	39.16	0.0	0.0	0.0	1.3	3.88	0.0	0.0	0.0	0.0	26.94	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	113.07	0.0	0.0	9.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.3	0.0	9.19	0.0	0.0	0.0	5.73	0.0	0.0	0.0	0.0	0.09	0.0	4.24	3.82	1.91	1.36	2.68
Ccl27b	0.0	0.0	22.17	0.0	0.0	0.0	0.0	0.0	0.0	11.32	0.0	0.0	0.0	0.0	0.0	23.86	17.1	31.22	0.0	0.0	0.0	4.28	0.0	1.46	0.3	0.03	0.0	1.74	0.0	0.0	7.16	0.58	0.0	0.0	5.37	0.27	0.0	0.0	4.8	2.47	3.43	0.77	0.0	0.0	0.29	0.0	2.79	1.65	1.9	0.13	2.24	8.48	4.31	40.26	0.0	0.0	0.0	0.0	4.89	1.61	0.0	0.0	7.83	1.88	61.27	76.52	30.63	28.29	22.96
Cdkl5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.88	46.22	0.47	8.58	14.64	161.76	0.0	17.04	10.97	0.0	0.0	0.0	0.0	4.91	0.0	0.0	8.37	0.0	7.51	0.1	0.0	0.05	0.0	15.51	0.08	0.12	0.0	0.0	26.0	0.0	6.86	5.03	176.56	3.17	0.0	0.0	0.0	45.38	0.0	0.0	2.87	0.0	30.12	0.0	51.52	9.86	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.5	20.61	10.46	55.84	45.37	57.55
Ctdsp2	3.38	21.2	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	153.88	0.0	0.0	1.05	0.0	0.0	53.77	0.09	0.0	0.0	0.08	0.0	0.0	0.04	34.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.66	0.0	0.78	0.43	0.0	12.99	17.97	0.0	60.55	0.0	9.96	25.95	7.96	2.81	0.6	0.0	32.26	33.02	0.0	0.0	0.0	14.67	0.0	0.0	0.0	0.07	0.0	0.14	11.97	0.0	0.07	36.9	7.63	6.53	69.58	68.68	66.09
Dclk1	82.45	63.68	50.59	0.0	0.0	0.0	0.0	0.0	347.98	90.08	293.65	153.64	259.49	400.29	10.52	100.4	426.05	91.91	0.07	0.0	0.0	92.43	0.0	43.0	73.99	88.44	72.51	138.79	14.22	68.43	73.95	44.76	121.6	30.51	84.21	43.57	45.01	88.36	142.9	92.3	129.28	21.0	125.15	83.25	51.39	66.36	83.18	120.74	19.14	85.02	54.54	71.64	71.84	185.15	0.0	0.0	0.0	44.06	115.1	33.08	22.44	34.37	64.95	53.69	248.84	210.66	367.79	342.85	374.41
Dhdds	15.4	22.83	1.5	0.0	0.0	0.0	0.0	0.0	3.78	0.0	2.79	2.29	27.34	114.79	33.82	23.7	42.14	19.7	0.0	0.0	0.0	41.83	0.0	13.1	27.18	23.13	0.0	6.62	54.15	18.16	6.88	22.57	1.86	21.4	32.08	25.06	43.31	0.0	5.88	20.63	149.0	2.9	27.61	0.07	0.0	2.04	31.37	32.98	62.13	0.79	0.86	18.91	23.11	16.86	0.0	0.0	0.0	1.01	0.29	7.25	2.06	12.9	11.11	36.56	17.62	22.07	52.04	53.67	49.03
Dnajc9	75.67	121.32	0.0	0.0	0.0	71.17	0.0	0.0	0.08	0.0	0.0	162.2	82.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.4	0.0	64.47	79.42	5.59	51.52	45.01	130.08	162.43	134.58	69.74	27.71	17.09	46.16	55.31	79.41	31.12	212.28	0.0	62.98	0.53	0.0	10.62	0.0	57.06	0.0	30.3	63.48	11.84	19.51	57.17	0.0	0.0	0.0	43.85	0.0	47.81	33.58	0.0	0.0	0.06	21.73	47.96	33.45	37.27	30.65
Dnpep	40.32	142.87	166.11	0.31	973.72	0.0	0.0	0.0	216.42	184.4	425.58	45.76	0.31	173.17	318.4	148.27	187.27	0.0	0.0	0.0	0.2	0.0	0.0	129.65	52.1	60.65	0.15	65.1	51.77	95.5	44.08	164.62	34.37	56.99	37.76	232.34	169.41	80.91	204.27	0.0	544.06	164.85	98.37	83.06	146.15	0.16	0.0	271.52	150.72	0.0	0.0	55.37	96.57	93.5	0.0	0.0	0.0	110.22	0.0	131.47	0.0	41.49	8.63	60.35	99.72	112.71	38.84	43.48	42.05
Dock3	6.03	15.26	6.06	0.0	0.0	0.0	0.0	0.0	35.11	19.96	73.68	20.42	75.58	35.5	4.5	43.05	11.66	0.85	0.0	0.0	0.0	2.19	0.0	6.92	2.47	15.2	9.05	0.31	11.04	0.54	20.73	0.03	9.71	13.25	10.87	11.97	0.73	3.59	7.16	17.67	12.32	1.09	3.39	0.26	5.78	0.17	0.78	8.7	0.22	1.67	8.2	1.46	1.53	21.91	0.0	0.0	0.0	11.37	1.34	7.66	32.44	15.09	0.23	1.4	17.56	14.59	112.39	109.71	116.14
Errfi1	0.0	0.0	0.0	0.0	110.6	207.81	0.0	0.0	0.0	0.0	25.58	81.25	7.96	0.0	0.0	0.0	92.55	0.0	0.0	0.0	0.0	10.58	0.0	0.0	0.0	0.21	0.0	0.0	0.71	0.04	0.0	0.0	0.0	41.94	0.0	0.0	0.0	0.0	0.3	54.15	177.59	4.91	0.0	0.0	0.0	0.0	3.52	21.6	0.0	19.36	0.02	0.0	0.0	0.43	0.0	0.0	0.0	1.52	2.12	0.0	0.0	0.0	34.95	0.0	14.9	10.24	27.66	27.93	21.94
Fam177a	6.75	0.66	2.26	5.1	2.63	0.8	2.8	0.31	26.62	16.25	49.44	4.73	15.13	31.83	3.6	14.23	10.18	6.68	3.14	0.15	6.26	0.85	0.0	0.75	7.92	4.6	0.97	5.07	14.74	10.07	22.21	2.3	7.08	3.74	10.01	22.97	5.51	4.19	26.95	4.03	30.94	5.27	9.6	1.07	11.48	12.89	15.79	11.15	2.03	3.87	8.65	17.02	12.08	16.78	0.0	6.42	2.02	18.26	23.92	8.08	4.82	15.19	6.64	1.29	13.41	14.19	17.56	16.4	17.92
Fam32a	121.07	157.1	129.53	0.8	0.0	0.0	0.0	0.0	157.96	112.96	492.63	67.96	223.37	196.64	0.0	0.89	208.4	122.04	0.0	0.0	0.0	192.2	0.0	36.91	85.78	60.54	116.06	74.53	7.91	49.67	113.33	36.47	52.0	161.99	166.58	84.35	103.47	30.3	224.24	148.13	523.14	70.3	75.23	120.24	0.25	193.06	178.86	35.3	139.08	36.65	83.99	164.23	1.82	88.29	0.0	169.41	0.66	36.43	87.88	124.74	347.59	77.69	242.44	360.31	131.37	147.34	76.62	83.86	75.31
Farp2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.74	0.0	0.0	44.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	2.38	0.0	0.0	0.57	0.0	0.0	39.07	0.0	0.0	0.0	0.0	0.0	0.0	0.85	0.0	0.0	1.48	0.0	14.9	1.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45	3.09	4.05	4.18
Fbxo21	55.01	18.44	31.28	0.0	0.0	0.0	1.71	0.0	0.22	0.58	173.2	0.66	77.54	8.89	0.0	0.21	1.27	84.5	0.0	0.57	0.0	66.55	0.0	0.0	15.8	18.43	1.73	7.27	12.08	0.46	28.56	12.88	0.42	1.46	1.24	3.53	26.38	0.12	49.63	6.76	97.3	7.05	18.89	19.58	0.3	0.32	21.44	0.14	31.56	0.07	37.1	0.0	18.12	16.39	0.0	0.0	0.0	0.87	5.35	37.15	65.91	31.57	0.94	34.71	10.24	15.82	88.7	92.78	86.13
Gabbr2	0.0	0.0	4.02	0.0	0.0	0.0	0.0	0.0	5.95	27.61	27.11	38.43	7.38	35.99	1.47	0.84	0.0	3.98	0.0	0.0	0.0	14.78	0.0	1.37	0.0	0.0	0.0	0.0	18.04	0.0	0.0	3.77	0.34	0.77	0.0	0.0	0.0	0.12	40.96	0.0	82.17	0.72	0.0	0.0	0.0	1.27	0.0	0.0	0.0	0.0	0.04	0.06	0.0	7.66	0.0	0.0	0.0	0.0	0.0	0.0	7.44	0.0	0.0	0.0	4.08	3.33	156.54	138.94	168.37
Gemin6	0.0	0.0	87.59	0.0	0.0	0.0	0.0	0.0	0.0	12.59	179.54	0.0	0.0	0.0	0.0	0.0	72.36	102.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.66	38.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67.4	226.28	0.0	0.23	83.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.7	48.48	8.72	7.95	7.66
Gimap8	4.19	15.75	0.0	0.0	0.0	0.0	1.15	0.0	16.31	0.0	19.28	5.49	4.55	11.43	16.86	3.33	6.31	0.0	0.04	0.0	322.19	1.79	0.0	2.35	7.6	0.28	7.02	0.25	7.14	3.7	1.5	3.81	2.44	4.64	3.98	0.0	5.82	2.3	4.92	0.32	25.62	2.29	2.36	3.15	0.0	5.84	4.61	0.45	11.48	0.75	0.13	3.86	11.37	4.85	0.0	0.0	11.73	1.64	0.94	5.04	13.05	3.29	1.74	4.87	3.41	4.5	2.85	2.55	2.85
Gm13306	0.0	0.0	22.17	0.0	0.0	0.0	0.0	0.0	0.0	11.32	0.0	0.0	0.0	0.0	0.0	23.86	17.1	31.22	0.0	0.0	0.0	4.28	0.0	1.46	0.3	0.03	0.0	1.74	0.0	0.0	7.16	0.58	0.0	0.0	5.37	0.27	0.0	0.0	4.8	2.47	3.43	0.77	0.0	0.0	0.29	0.0	2.79	1.65	1.9	0.13	2.24	8.48	4.31	40.26	0.0	0.0	0.0	0.0	4.89	1.61	0.0	0.0	7.83	1.88	61.27	76.52	30.63	28.29	22.96
Gm2506	0.0	0.0	22.17	0.0	0.0	0.0	0.0	0.0	0.0	11.32	0.0	0.0	0.0	0.0	0.0	23.86	17.1	31.22	0.0	0.0	0.0	4.28	0.0	1.46	0.3	0.03	0.0	1.74	0.0	0.0	7.16	0.58	0.0	0.0	5.37	0.27	0.0	0.0	4.8	2.47	3.43	0.77	0.0	0.0	0.29	0.0	2.79	1.65	1.9	0.13	2.24	8.48	4.31	40.26	0.0	0.0	0.0	0.0	4.89	1.61	0.0	0.0	7.83	1.88	61.27	76.52	30.63	28.29	22.96
Gm5820	30.04	0.63	0.0	0.0	0.0	0.0	0.0	0.0	13.07	0.45	41.52	0.0	2.06	158.25	0.0	228.34	152.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.16	0.0	0.0	0.22	0.11	45.13	21.41	0.0	1.12	0.0	0.13	0.0	0.0	0.0	279.06	2.52	0.0	0.0	0.0	0.0	0.0	0.0	3.23	58.87	0.43	31.06	41.45	32.56	0.0	0.0	0.0	61.93	0.0	0.0	0.25	22.26	0.11	1.95	7.96	9.65	0.88	0.94	1.26
Got2	67.4	166.95	69.51	0.0	0.0	0.0	0.0	0.0	62.17	166.22	37.94	49.8	68.17	192.31	0.42	10.54	16.08	32.0	220.16	0.0	0.0	0.18	0.0	52.31	36.54	74.62	12.82	76.47	117.34	87.77	23.12	24.01	57.87	32.2	53.38	139.48	99.22	26.6	124.41	35.04	238.36	11.88	58.09	72.08	2.42	55.52	67.61	0.36	17.89	124.0	17.29	35.99	68.86	55.29	0.33	117.06	0.0	30.41	75.69	52.99	40.95	40.39	93.91	14.37	33.07	53.9	250.3	263.52	251.13
