	Calb2_tdTpositive_cell_50	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_6	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_39	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_6	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_11	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_45	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_18	Ntsr1_tdTnegative_cell_23	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_24	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_7	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_76	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_92	Sst_tdTpositive_cell_101
Cdc123	211.58	281.05	228.32	282.64	31.62	0.52	43.57	440.21	195.88	188.49	370.42	79.93	30.14	24.49	3.02	348.53	364.96	358.24	315.78	313.73	169.36	315.18	218.64	410.19	483.38	220.12	326.9	213.55	292.77	343.27	233.36	418.98	230.6	100.08	544.85	522.46	265.38	201.29	444.43	251.9	395.89	484.39	334.3	283.13	478.82	297.89	319.04	58.09	557.59	169.76	5.91	13.9	483.3	762.26	174.24	186.85	227.2	230.86	257.94	216.32	500.4	235.75
Cmpk1	0.0	261.74	67.27	31.98	0.0	0.0	0.0	194.03	261.97	0.0	87.9	21.32	0.0	0.0	0.0	80.13	48.88	74.52	12.0	169.57	21.8	105.2	111.07	14.39	157.66	129.52	0.0	132.27	67.44	145.13	86.86	0.0	0.8	176.0	152.32	2.77	1.55	74.55	74.34	30.84	94.87	46.05	1.34	35.47	0.15	92.05	51.44	0.0	0.0	0.0	0.0	0.0	14.31	90.32	1.97	2.52	64.12	65.5	104.43	96.76	142.55	22.05
Cx3cl1	0.21	5.69	20.64	37.38	0.0	0.0	0.0	48.78	183.95	0.0	77.69	0.0	0.0	0.0	0.0	37.57	93.91	1.56	2.54	4.38	35.43	0.81	6.3	56.89	9.44	46.17	22.78	1.41	17.42	34.97	15.92	20.71	0.63	15.96	130.16	27.23	4.11	53.16	142.49	37.2	4.54	1.06	81.12	19.47	1.39	51.42	21.76	0.0	2.4	0.0	0.0	0.0	22.29	63.78	8.35	13.97	7.15	57.81	24.67	14.26	71.14	12.17
Dpp7	0.0	7.06	18.45	83.73	0.0	0.0	0.0	173.41	0.13	0.0	0.31	0.0	0.0	0.0	0.0	18.77	42.27	59.7	0.0	78.88	0.0	0.13	5.3	81.43	56.6	39.34	145.22	81.65	0.0	0.0	0.0	0.17	0.0	83.17	134.37	77.53	13.82	39.13	66.4	0.0	0.0	0.0	57.9	56.23	72.93	0.0	128.1	0.0	0.0	0.0	0.0	0.0	113.61	27.69	20.19	0.0	4.35	51.21	60.56	0.0	94.61	24.56
Frmd5	0.0	0.0	0.16	0.0	0.0	0.0	0.0	16.39	19.11	0.23	0.12	0.0	0.0	0.0	0.0	0.0	0.78	5.33	0.0	0.0	0.0	38.42	7.54	0.17	28.77	5.1	0.0	0.0	30.02	0.45	0.0	0.0	0.0	0.0	96.24	0.0	20.4	21.03	67.68	0.05	0.06	0.1	3.88	8.35	14.87	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.95	88.07	0.6	26.18	21.21	0.65	2.16	0.16	10.47	0.02
Gad2	3.28	320.61	411.41	371.93	0.35	1.13	0.0	955.3	762.48	10.39	1076.3	0.16	0.16	0.34	0.77	245.09	196.34	314.59	34.12	318.35	156.94	162.81	429.15	333.44	378.8	396.67	294.55	483.26	360.75	360.07	204.55	301.16	198.65	283.25	818.99	218.1	261.36	348.54	379.4	132.94	99.8	305.57	250.6	418.12	372.29	475.46	300.55	0.25	0.77	0.0	0.0	0.07	388.23	414.77	245.39	315.14	194.46	444.09	230.51	290.56	584.8	429.79
Gga3	0.0	4.99	15.03	39.91	0.0	0.0	0.0	67.6	1.09	0.0	7.85	0.0	0.0	0.0	0.0	21.08	5.65	38.61	0.03	1.08	45.25	23.93	25.84	2.99	22.11	18.62	23.3	0.12	18.04	0.0	2.86	48.35	0.0	5.83	105.23	7.27	0.14	0.0	68.63	0.0	36.95	0.9	0.0	0.08	0.0	39.92	0.4	0.0	0.5	0.0	0.0	1.1	54.36	3.55	0.07	12.01	0.19	0.0	0.17	60.71	16.56	0.63
Glrx3	0.0	63.66	61.8	71.95	0.0	0.0	0.0	311.87	194.13	0.0	130.9	0.0	0.0	5.51	0.33	135.04	112.28	83.87	99.03	54.47	38.49	113.81	99.86	20.28	43.62	79.26	51.03	106.56	84.43	91.03	119.86	72.27	1.37	53.66	217.65	82.88	96.78	22.51	49.87	190.02	64.89	107.5	118.7	67.48	74.08	87.53	111.31	0.0	0.0	0.0	0.0	0.0	45.13	192.04	62.29	170.09	97.37	125.92	76.51	50.16	198.91	41.69
Gm12669	0.0	84.85	96.17	106.84	0.0	0.42	0.0	328.84	180.72	0.0	177.68	0.0	0.0	0.0	0.0	86.41	137.04	42.36	99.65	63.97	41.54	131.35	108.52	39.15	51.19	98.11	54.87	206.5	112.76	135.41	144.82	93.33	0.0	63.81	332.53	124.39	99.89	32.77	45.67	210.26	127.86	136.57	173.68	84.07	38.0	110.05	146.77	0.0	0.0	0.0	0.0	0.0	78.76	230.95	100.32	231.71	9.3	200.52	104.91	55.95	313.26	61.34
Got1	0.0	257.34	500.33	341.34	0.0	0.0	0.0	1103.29	903.15	0.0	796.62	0.0	0.0	0.0	0.0	521.57	597.24	666.85	551.87	471.8	655.6	500.9	548.8	507.33	601.18	439.18	738.9	401.94	319.46	598.1	404.4	499.58	379.25	684.16	1138.65	598.71	521.38	648.38	915.48	535.24	207.0	343.27	241.52	503.74	258.0	582.96	560.8	0.0	77.1	0.34	348.82	0.0	440.78	822.82	336.31	510.2	406.16	942.16	551.24	881.35	780.4	795.88
Herc3	0.0	8.72	4.3	0.0	0.0	0.0	0.0	91.84	44.33	0.0	40.83	0.0	0.0	0.0	0.0	18.01	1.08	0.1	22.3	0.14	16.76	2.53	17.67	7.12	0.0	9.47	12.44	53.64	4.99	43.99	29.69	22.4	17.71	50.49	180.98	29.87	12.21	0.04	23.05	5.08	0.0	6.69	6.07	26.57	1.03	0.0	50.05	0.0	0.24	0.0	0.0	0.0	0.06	38.72	11.84	63.48	7.36	24.52	38.01	45.13	69.27	53.45
Hnrnpa0	0.0	17.7	29.13	57.29	0.0	0.0	0.25	288.72	24.09	0.0	91.15	0.0	0.0	0.0	0.0	35.83	35.37	39.79	0.54	57.54	68.11	19.66	31.93	13.87	48.86	58.65	39.54	1.36	12.96	16.09	87.71	31.95	21.91	41.84	99.65	0.12	11.02	72.88	54.48	126.05	67.31	28.91	44.64	27.29	92.29	36.77	70.67	98.95	0.22	0.0	0.0	0.0	112.97	127.97	40.17	1.64	15.77	60.08	47.37	24.28	66.89	103.37
Inpp5f	0.28	197.0	454.58	427.99	0.0	188.57	0.0	580.11	458.51	0.61	236.91	0.19	140.33	16.11	0.0	233.91	421.08	442.55	391.05	218.06	639.01	421.52	200.08	232.04	303.17	289.57	310.07	318.96	275.45	193.57	366.21	94.22	165.84	278.31	393.07	244.47	155.03	325.18	476.15	108.02	393.54	234.81	275.39	221.55	410.8	409.48	188.54	0.0	94.02	0.0	0.09	0.26	376.47	439.52	298.67	377.77	402.05	435.76	333.68	312.28	594.88	243.95
Larp4b	0.0	37.09	2.46	46.86	0.0	0.0	0.0	64.54	31.69	0.0	48.96	0.0	0.0	0.0	0.12	43.06	10.09	62.11	0.03	82.19	11.77	37.57	0.02	11.62	62.13	28.2	26.24	8.99	37.38	33.74	0.0	0.0	21.17	43.27	57.23	0.07	42.37	50.44	98.49	20.49	112.81	64.77	52.41	60.1	48.3	25.66	33.55	0.0	0.49	0.0	0.0	0.0	32.58	74.76	29.94	3.85	25.0	38.63	44.11	58.49	33.32	22.7
Nap1l2	0.26	209.04	312.87	253.4	0.0	0.0	0.0	289.85	205.85	0.0	19.92	0.0	0.0	0.0	0.0	288.93	294.75	364.67	176.46	282.61	291.01	243.49	0.34	208.6	280.39	156.97	134.82	270.07	217.34	283.66	201.73	179.4	271.61	294.52	331.72	116.39	214.63	167.68	445.76	0.0	158.14	125.39	237.95	116.4	193.18	359.71	85.69	0.0	0.67	0.0	0.0	0.0	45.34	326.58	163.66	201.33	190.7	362.18	122.38	224.97	455.63	201.99
Nars	44.53	364.74	365.75	277.6	0.0	8.1	0.25	1118.13	637.32	0.0	409.53	0.0	0.17	215.96	179.46	827.18	807.84	200.38	349.94	456.98	599.8	607.84	399.68	366.72	309.16	261.35	380.41	183.99	443.64	460.57	549.21	396.13	390.2	249.51	431.88	598.33	268.5	229.94	480.35	274.92	367.6	297.51	495.37	508.24	374.51	290.55	440.29	80.99	344.09	0.26	35.11	73.52	201.82	607.0	242.62	456.53	280.6	1055.67	442.26	211.26	671.93	370.12
Ndrg4	0.0	871.85	1072.41	716.37	0.0	0.0	0.0	2107.98	1950.07	0.0	1075.17	0.0	0.0	0.0	0.0	1069.69	1279.17	906.67	693.97	758.61	1429.63	927.67	912.81	945.49	985.11	1256.67	869.02	1715.84	2179.26	2113.78	784.5	940.51	964.18	741.05	2031.15	633.32	1135.89	600.75	1255.29	470.11	722.71	1209.81	1169.29	1074.51	888.24	1035.58	583.92	0.0	14.67	0.0	0.0	0.0	1348.9	1082.32	660.41	1177.69	906.58	1104.72	767.51	993.09	1988.21	801.6
Nme7	18.12	158.0	129.08	98.89	0.0	13.38	0.14	158.38	433.0	1.86	137.01	4.45	0.21	0.25	1.18	74.69	143.81	152.05	90.1	72.75	119.69	137.69	190.57	132.96	92.55	134.39	86.71	107.2	90.66	100.75	51.82	73.87	105.51	66.62	178.57	104.38	100.4	66.92	337.51	94.49	85.81	121.5	86.01	61.32	84.97	131.74	62.54	0.0	0.26	0.0	0.91	1.13	188.36	242.24	87.72	97.19	96.42	202.43	102.79	103.42	140.66	92.57
Npy	0.0	138375.8	173305.25	115124.65	0.0	0.0	0.0	43922.94	96206.73	0.0	125016.83	0.0	0.0	0.0	0.0	132042.44	105008.15	149629.49	134232.96	130357.56	105498.11	116117.28	120987.76	122165.94	132052.33	122154.33	122963.43	126501.28	117863.77	98464.67	102118.34	130527.91	173863.58	126989.03	45711.04	166048.87	115420.41	191162.16	108906.97	154857.31	124150.07	134158.33	153405.37	147732.76	141010.39	110523.31	151963.58	0.0	0.0	0.0	0.0	0.0	145032.54	28240.98	180453.32	128781.07	137945.15	49931.63	95298.15	137580.94	65503.76	120620.2
Nrip3	0.12	336.6	307.83	575.63	0.0	0.0	0.0	520.26	37.4	0.49	184.57	0.0	0.0	0.0	0.0	180.78	228.48	96.95	135.54	133.1	241.2	247.86	238.9	338.82	179.06	180.61	161.95	197.34	166.93	155.75	132.25	105.72	100.03	200.36	262.64	177.09	222.12	165.99	55.44	0.97	276.28	159.39	132.83	133.91	118.16	191.8	142.09	0.0	0.0	0.0	0.0	0.0	95.8	420.04	352.69	204.35	277.29	551.58	155.29	164.71	541.72	267.58
Ppfia2	0.0	12.59	6.83	49.53	0.08	0.0	0.0	63.52	1.35	0.0	47.3	0.0	0.0	0.0	0.0	1.74	1.97	0.18	0.07	11.12	7.85	18.99	42.66	12.03	14.13	6.52	16.56	14.36	22.78	0.97	7.42	0.88	0.0	30.53	63.19	44.05	48.98	54.95	27.72	60.29	1.37	16.55	12.54	0.72	17.48	11.55	16.05	0.0	0.62	0.0	0.0	0.0	14.95	12.49	8.68	33.6	35.8	18.76	7.21	4.03	23.69	0.06
Rab3c	0.0	77.38	55.7	37.01	0.18	0.0	0.0	670.55	525.52	0.56	595.22	0.0	0.1	0.98	0.0	42.83	83.49	101.54	80.99	84.53	31.27	64.12	81.23	112.28	52.03	116.7	66.76	189.67	94.52	98.6	51.22	67.84	9.66	44.15	175.16	74.34	31.74	81.08	637.91	11.18	40.13	96.47	86.32	60.33	51.83	65.5	25.05	0.11	0.0	0.0	0.0	0.06	108.57	60.49	13.59	63.86	51.49	139.16	124.77	62.1	165.43	47.48
Serpini1	0.0	222.34	629.5	254.56	0.0	0.0	0.0	2047.34	2699.99	0.31	2916.33	0.0	0.0	0.0	0.0	384.73	588.5	252.01	369.76	544.88	543.58	573.38	256.83	585.17	535.66	383.25	404.61	193.37	184.55	532.33	161.67	347.99	252.13	255.77	1788.05	110.73	177.45	252.39	2488.97	187.07	238.75	242.73	92.17	148.81	47.2	278.02	313.39	0.2	2.59	0.0	0.0	0.0	353.54	1009.04	185.86	453.04	215.79	1572.12	419.53	300.61	1354.53	379.06
Slc38a1	0.0	24.44	73.67	96.31	0.0	0.0	0.05	99.78	143.39	0.0	103.56	0.0	0.0	0.0	0.0	35.38	95.09	53.77	20.92	40.36	64.26	78.67	45.6	72.78	76.47	24.3	16.52	56.12	19.45	8.72	73.85	44.6	74.18	11.84	135.02	12.04	6.97	30.82	42.74	69.57	62.85	57.21	33.53	1.43	40.71	71.66	42.17	0.0	0.0	0.0	0.0	0.0	53.18	120.88	14.2	85.24	51.91	18.53	31.33	21.41	63.63	34.31
Snord116	0.0	0.0	6.02	14.63	0.0	0.0	0.0	4.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.94	3.3	1.42	3.17	8.88	14.34	12.85	2.97	4.45	14.05	2.5	7.02	3.68	2.82	2.94	11.3	0.0	7.38	0.0	78.04	6.1	0.0	4.03	15.73	6.45	11.58	11.77	2.54	2.69	9.96	4.31	2.3	0.0	0.0	0.0	0.0	0.0	9.0	5.96	0.0	7.66	12.13	4.47	1.71	14.21	8.48	5.74
Snord116l1	0.0	0.0	6.02	14.63	0.0	0.0	0.0	4.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.94	3.3	1.42	3.17	8.88	14.34	12.85	2.97	4.45	14.05	2.5	7.02	3.68	2.82	2.94	11.3	0.0	7.38	0.0	78.04	6.1	0.0	4.03	15.73	6.45	11.58	11.77	2.54	2.69	9.96	4.31	2.3	0.0	0.0	0.0	0.0	0.0	9.0	5.96	0.0	7.66	12.13	4.47	1.71	14.21	8.48	5.74
Snord116l2	0.0	0.0	6.02	14.63	0.0	0.0	0.0	4.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.94	3.3	1.42	3.17	8.88	14.34	12.85	2.97	4.45	14.05	2.5	7.02	3.68	2.82	2.94	11.3	0.0	7.38	0.0	78.04	6.1	0.0	4.03	15.73	6.45	11.58	11.77	2.54	2.69	9.96	4.31	2.3	0.0	0.0	0.0	0.0	0.0	9.0	5.96	0.0	7.66	12.13	4.47	1.71	14.21	8.48	5.74
Tspyl5	0.0	76.14	57.83	83.49	0.0	0.0	0.08	175.67	90.98	0.0	123.34	0.0	0.0	0.0	0.0	50.13	16.55	60.13	117.84	59.32	72.91	104.51	59.44	67.82	78.68	40.62	28.35	33.27	50.9	15.53	76.97	32.9	39.46	62.12	42.4	56.37	51.14	38.75	119.71	70.01	53.47	40.72	44.61	11.51	102.15	66.48	63.77	0.0	0.86	0.0	0.0	0.0	113.7	70.85	31.22	56.06	110.07	117.9	73.15	48.16	125.2	126.58
Ufsp2	60.67	234.5	146.01	232.74	0.0	0.0	0.0	233.49	244.9	0.0	378.55	0.0	0.3	0.0	0.0	137.16	301.73	381.46	232.49	191.15	110.84	93.51	100.24	201.26	103.46	53.31	53.88	119.81	257.28	320.53	246.1	222.27	106.46	251.84	773.59	365.92	220.04	249.6	1.13	455.05	127.25	146.57	167.76	15.74	246.11	50.69	5.27	0.0	0.0	0.0	0.0	0.0	7.81	462.94	131.6	56.93	22.79	543.64	19.86	170.1	314.49	95.34
Utp3	0.0	43.85	49.04	78.56	0.0	0.0	0.0	115.52	13.32	0.0	93.89	0.0	0.0	0.0	0.0	61.14	38.16	82.26	0.0	52.94	107.52	69.02	35.12	90.86	88.07	82.15	24.35	0.0	0.0	0.0	0.0	0.71	37.85	55.28	54.37	74.11	0.46	76.66	178.78	1.19	94.89	0.0	0.18	34.85	6.25	74.28	1.88	0.0	0.0	0.0	0.0	183.25	33.44	65.18	41.65	60.82	38.55	16.41	37.29	8.48	54.73	83.11
Zfp949	0.5	0.19	0.41	43.66	0.0	0.0	0.0	1.97	0.0	0.22	38.83	0.34	0.0	0.0	0.0	39.75	0.31	21.15	54.42	7.05	0.93	14.19	17.34	0.0	55.1	10.96	19.55	6.74	16.23	0.13	0.0	0.16	0.0	0.0	91.16	45.82	0.41	0.0	36.2	0.0	34.89	44.09	4.45	0.09	42.47	0.06	0.0	0.0	0.54	0.69	0.16	0.0	1.18	57.01	26.99	11.8	2.38	19.24	15.02	20.5	18.45	0.14
