	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_15	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_7	Ctgf_tdTpositive_cell_8	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_69	Htr3a_tdTpositive_cell_1	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_44	Ndnf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_11	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_16	Ndnf_tdTpositive_cell_19	Ndnf_tdTpositive_cell_20	Ndnf_tdTpositive_cell_21	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_45	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_28	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_65	Sst_tdTpositive_cell_76	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_92	Sst_tdTpositive_cell_96	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30
Chga	46.03	85.44	169.63	131.07	0.0	0.0	0.0	0.0	0.06	84.66	0.0	0.0	0.0	0.0	66.22	0.0	0.0	52.42	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.53	95.86	119.3	148.97	93.68	60.03	105.08	33.62	134.22	142.78	85.65	210.84	201.24	95.61	108.99	183.13	6.82	183.89	41.62	0.0	0.0	74.86	18.44	111.33	145.25	68.63	91.82	0.0	0.0	44.99	158.48	130.77	105.52	57.4	0.0	66.05	0.37	21.06	106.08	80.17	35.3	76.16	190.39	101.05	227.25	101.59	57.86	172.8	44.54	29.12	46.73	61.39
Cltb	18.57	16.85	59.11	106.42	0.0	0.0	0.0	0.0	63.21	20.15	65.12	83.5	132.15	82.58	57.51	56.91	79.78	0.0	0.37	86.33	112.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67.53	87.79	0.0	0.6	30.48	91.3	1.04	39.3	18.44	6.18	174.23	52.42	27.68	0.6	44.35	96.26	105.21	91.27	4.29	10.97	125.2	24.21	32.99	0.0	46.39	0.85	3.55	40.28	17.01	0.0	0.0	14.26	43.05	142.57	138.66	39.0	66.44	0.1	57.16	73.04	124.6	111.02	84.83	56.48	66.71	113.06	98.32	0.9	13.48	43.69	19.78	53.83	32.47	124.03	0.0
Ctxn2	199.1	163.52	53.01	106.78	0.0	0.0	0.0	0.0	0.0	59.7	0.0	108.08	0.0	89.04	0.0	96.47	0.0	0.0	21.67	30.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.22	11.1	0.0	0.0	47.89	144.38	193.21	74.78	123.16	132.29	117.43	87.17	56.09	63.64	106.22	59.33	237.21	231.63	113.55	128.31	99.18	33.81	0.0	73.0	200.0	43.81	0.0	103.72	105.11	124.32	0.0	159.64	262.49	168.0	121.73	54.73	155.88	0.0	228.05	151.92	236.13	82.52	181.38	43.49	53.82	74.04	101.02	44.58	0.25	222.59	95.47	31.94	142.48	111.55	0.0
D10Bwg1379e	6.3	18.97	24.32	3.67	0.0	0.0	0.0	0.0	0.25	5.33	14.55	0.0	0.0	39.62	1.75	0.0	0.0	0.0	3.15	0.36	15.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.36	0.0	0.0	0.0	23.46	32.02	13.17	29.43	14.45	14.28	9.9	21.27	6.33	25.65	25.23	14.55	15.45	10.53	10.0	7.21	12.79	5.52	27.68	0.5	20.0	0.0	0.46	15.16	13.29	13.62	16.43	28.66	16.02	14.19	12.2	19.39	24.46	0.02	30.35	11.45	1.24	10.52	0.25	0.69	17.54	0.7	27.85	0.78	12.61	32.05	3.43	4.87	0.0	10.75	51.14
Dbpht2	721.63	99.98	679.88	829.26	0.0	0.0	0.0	0.0	0.23	24.63	0.14	0.0	0.0	0.0	0.22	0.0	0.32	37.1	0.35	0.0	44.58	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.17	0.0	0.0	811.16	727.06	348.81	1268.09	422.0	741.0	1321.75	512.13	755.26	1406.11	820.97	728.07	431.85	734.71	497.09	537.2	877.88	734.36	0.0	29.38	705.93	0.11	0.0	912.49	1322.33	570.18	0.39	375.88	1066.98	288.61	797.43	991.0	771.15	0.32	968.14	799.65	1406.72	1016.63	1328.27	228.62	452.32	942.54	853.94	94.82	354.83	605.12	655.63	938.86	258.05	713.98	160.78
Dnajc15	282.19	282.58	71.36	276.91	0.0	0.0	19.1	0.0	35.38	85.83	0.0	160.17	0.0	43.15	76.33	4.16	54.77	0.0	0.0	251.27	92.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	116.9	0.0	0.0	122.71	96.0	264.03	127.96	279.0	233.14	259.88	438.26	149.99	181.83	278.55	90.62	324.87	154.81	249.14	193.57	209.66	276.98	75.98	132.44	434.95	224.11	150.83	193.51	251.36	188.66	0.0	0.0	88.76	146.68	217.95	187.59	168.27	0.0	199.15	183.25	208.09	112.66	336.57	210.3	164.31	327.51	235.66	105.01	246.53	186.39	171.2	236.13	178.84	140.48	240.73
Dnase1l3	14.8	0.0	28.52	63.41	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.04	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.58	14.28	62.6	0.02	0.0	0.0	97.3	56.55	90.5	0.0	15.03	0.07	57.88	43.97	68.36	0.0	0.0	26.62	0.07	0.08	0.0	22.7	0.0	0.0	0.0	20.05	0.0	0.0	46.51	10.59	53.27	35.62	13.62	51.85	0.0	42.45	137.77	0.0	0.0	0.0	0.0	0.03	153.3	105.77	0.0	0.0	145.98	18.97	0.0	0.0	0.0	0.0
Fgf12	213.29	183.06	259.35	127.9	0.0	0.0	0.0	0.0	0.0	16.74	8.8	0.0	104.57	0.0	0.0	0.0	0.0	0.0	0.09	8.61	1.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.87	38.46	0.0	0.0	250.84	279.76	301.85	68.55	146.65	78.66	135.48	373.54	139.29	346.91	218.66	73.8	202.83	103.79	215.2	33.78	62.17	115.63	0.0	1.1	184.35	0.0	0.0	139.02	68.98	185.53	43.18	130.95	33.44	210.5	187.16	233.65	241.24	0.31	116.35	108.72	95.68	184.82	46.21	244.99	468.58	120.4	224.73	246.18	190.16	337.04	172.39	521.79	157.64	208.69	0.24
Fis1	708.93	1095.3	1025.32	883.05	0.0	0.0	0.0	0.0	289.4	670.02	288.77	367.04	104.04	445.02	297.71	0.0	617.62	383.64	186.7	316.74	184.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	776.82	324.97	0.0	0.0	860.58	718.74	622.89	464.3	783.42	628.25	1066.24	982.84	1289.26	972.56	798.63	908.0	1009.12	857.09	746.24	1018.81	911.32	714.11	381.88	397.3	640.14	650.32	493.37	829.15	941.46	973.18	300.5	669.0	920.5	1170.35	765.29	1108.17	843.68	695.44	1129.36	855.71	995.92	1006.0	1052.25	873.56	812.1	837.72	1301.49	644.13	900.28	853.89	783.75	628.07	744.38	885.7	490.37
Gabra2	267.18	0.13	165.32	31.02	0.21	0.0	0.44	0.67	6.49	0.0	2.22	96.28	0.86	111.22	119.9	0.98	47.5	65.53	0.09	0.0	0.17	0.0	0.0	0.7	1.18	0.0	0.0	0.12	0.64	0.19	0.0	0.0	142.71	142.61	160.24	186.83	142.77	248.2	175.84	50.04	74.13	262.14	92.08	174.3	180.48	70.16	138.4	180.97	120.76	65.91	0.0	0.0	88.91	0.15	0.23	64.25	121.37	62.82	0.02	18.91	239.77	36.37	319.98	154.55	146.55	0.23	175.82	73.71	70.75	263.98	128.2	64.09	0.14	168.82	210.04	89.8	114.27	161.78	78.25	2.74	293.24	99.19	6.43
Gap43	855.81	368.75	1133.64	1750.68	0.0	0.0	0.0	0.0	776.05	343.46	405.4	344.87	9.68	568.18	219.53	290.93	487.57	235.44	191.37	216.22	695.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	161.54	0.0	0.0	0.0	1219.62	942.57	1080.02	949.0	1335.07	1008.54	744.78	1140.29	1005.77	973.26	1207.97	872.35	1160.32	1409.82	1876.66	788.96	987.8	610.34	129.17	374.46	1237.15	380.87	147.1	778.38	665.87	1010.79	316.44	421.63	667.55	973.59	1078.03	971.86	857.51	0.5	1016.28	1256.41	1073.79	1331.72	1477.64	1279.93	41.45	992.48	1125.39	1292.31	0.39	828.19	936.21	323.59	828.24	1573.67	92.22
Gm1604b	92.66	82.12	52.72	41.01	0.0	0.0	0.0	0.0	0.0	0.0	6.53	3.87	0.0	0.0	10.63	0.0	36.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.18	64.01	95.94	20.31	26.97	70.9	66.13	66.01	133.83	240.6	120.02	159.49	144.64	39.24	90.49	98.76	107.25	105.07	0.0	3.15	77.26	0.0	0.0	118.51	42.25	94.6	0.0	87.88	85.89	117.44	66.19	78.32	140.3	0.0	68.71	74.15	58.82	62.84	96.33	101.82	28.79	19.81	84.05	0.0	97.94	135.94	62.95	37.9	178.54	81.08	0.0
Gm3317	25.14	1.94	35.52	9.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.57	0.0	0.0	0.0	4.03	10.86	13.28	0.11	18.01	20.69	20.0	5.9	4.04	6.81	4.51	11.3	0.73	18.28	10.79	5.48	3.98	46.66	0.0	0.0	3.93	0.0	5.7	8.52	58.19	17.73	3.32	34.54	21.97	4.0	20.88	39.01	11.54	0.0	13.05	43.66	10.79	46.64	4.72	0.0	0.0	28.71	0.71	6.74	0.0	20.61	17.12	8.49	0.0	4.66	0.0
Gm3494	25.14	1.94	35.52	9.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.57	0.0	0.0	0.0	4.03	10.86	13.28	0.11	18.01	20.69	20.0	5.9	4.04	6.81	4.51	11.3	0.73	18.28	10.79	5.48	3.98	46.66	0.0	0.0	3.93	0.0	5.7	8.52	58.19	17.73	3.32	34.54	21.97	4.0	20.88	39.01	11.54	0.0	13.05	43.66	10.79	46.64	4.72	0.0	0.0	28.71	0.71	6.74	0.0	20.61	17.12	8.49	0.0	4.66	0.0
Gm6644	59.06	3.91	140.89	213.59	0.0	0.0	0.0	622.85	114.1	215.55	26.28	0.0	0.0	143.1	157.89	0.47	116.4	5.78	0.0	31.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	195.6	0.0	0.0	0.0	8.31	144.64	244.36	66.19	278.33	39.57	16.64	166.14	180.77	114.93	98.31	164.97	110.3	198.7	51.3	358.03	276.85	309.01	0.0	172.09	53.84	173.41	55.68	62.26	215.85	109.5	100.18	0.0	21.59	148.01	285.64	58.36	244.94	0.0	228.16	123.4	157.88	189.35	9.92	0.26	176.49	170.82	130.48	53.6	134.3	37.82	220.59	119.86	157.64	67.79	0.0
Gm7616	7.34	1.14	3.6	4.89	0.0	6.34	0.0	0.0	2.4	2.99	5.88	0.0	0.0	3.2	0.82	0.0	0.18	0.75	1.55	0.89	0.96	3.73	0.0	4.24	0.0	0.17	0.0	0.0	2.77	0.0	0.0	0.0	3.21	1.0	0.94	1.78	0.88	3.65	2.09	1.89	2.11	8.03	0.53	8.18	2.13	1.59	1.11	2.82	2.98	2.12	1.07	0.0	2.08	0.58	0.97	1.34	3.07	2.63	1.0	0.23	1.79	1.83	4.43	4.61	3.3	0.81	4.94	6.37	5.65	0.37	0.4	6.64	4.35	3.97	2.15	5.86	3.32	3.79	1.07	9.07	0.0	1.64	0.0
Gng4	181.11	129.62	53.18	72.68	0.0	0.0	0.0	0.0	7.57	0.06	0.07	78.25	76.52	104.51	0.0	0.0	72.21	0.14	2.1	0.0	110.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	3.86	197.37	225.27	113.29	2.57	165.56	76.19	117.46	76.97	109.16	159.15	51.14	94.54	140.97	34.3	64.3	46.75	112.61	21.56	0.35	60.01	0.0	0.0	111.89	53.32	71.5	0.0	0.0	178.54	62.09	169.65	116.07	175.5	0.05	189.14	239.73	142.01	7.13	154.3	36.34	32.15	145.29	214.94	0.0	20.26	110.33	91.85	101.16	272.76	58.5	109.56
Gucy1b3	80.08	38.39	219.7	198.76	0.0	0.0	0.0	0.0	0.04	0.0	43.9	0.0	8.32	12.42	34.04	7.71	48.7	0.0	29.32	41.05	9.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.73	0.38	0.0	0.0	92.61	281.59	183.45	69.4	239.52	135.02	157.19	93.3	96.39	60.9	130.29	126.99	186.82	101.93	125.13	127.06	200.85	139.28	40.4	0.0	64.27	95.01	48.48	189.2	135.64	64.57	56.42	125.87	87.57	95.52	94.48	99.26	137.97	0.05	135.7	193.5	149.15	118.03	108.97	45.97	143.76	193.77	42.21	64.5	200.29	134.17	157.91	3.88	107.38	131.25	40.07
Ift46	136.09	57.39	25.23	52.62	1.84	0.23	0.0	1.99	2.09	50.81	45.24	0.99	81.79	43.75	33.02	25.01	45.26	6.18	2.22	0.6	61.28	219.74	12.17	5.0	2.38	3.71	0.71	1.02	154.27	61.73	2.24	0.21	62.33	5.93	54.42	28.27	37.5	5.01	38.58	60.19	78.71	1.11	55.48	75.87	18.62	27.44	71.81	84.19	40.99	83.29	4.94	153.18	71.18	1.02	109.58	59.85	45.53	107.06	53.87	3.49	76.17	22.28	1.0	66.94	85.13	0.15	31.45	49.0	85.42	17.46	10.86	3.1	26.72	125.85	24.1	1.99	149.72	1.18	94.5	4.41	1.62	56.51	2.56
Inpp4a	263.5	176.0	343.69	311.17	0.0	222.23	51.54	87.45	218.41	211.9	178.48	255.4	84.71	134.11	210.65	31.76	134.17	170.75	207.81	138.99	113.1	0.03	0.0	0.0	0.0	157.47	0.0	0.0	129.35	119.54	0.0	0.0	253.52	170.08	210.01	212.75	247.26	338.16	263.73	360.79	247.51	310.68	264.96	236.26	336.53	237.03	415.13	309.5	258.8	184.55	233.46	162.51	306.08	161.5	182.36	306.74	279.18	358.15	130.86	278.74	267.73	255.79	268.98	212.29	424.16	0.19	188.01	258.45	198.4	473.5	244.75	245.39	211.51	212.29	330.21	515.8	193.05	186.3	256.16	184.91	177.13	181.45	145.61
Insl6	89.42	0.0	14.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.54	0.0	53.18	0.0	0.0	148.18	0.17	265.05	279.93	54.37	41.18	23.94	132.23	13.75	0.0	0.0	91.53	0.0	0.0	0.0	207.42	0.0	0.0	131.34	7.03	0.0	0.0	0.0	0.0	102.39	8.13	52.26	147.15	0.0	94.01	46.41	0.0	70.81	101.92	0.0	0.0	44.7	0.0	0.0	0.0	121.23	126.52	0.0	0.0	50.44	0.0
Kcnc2	95.58	60.7	184.3	35.39	0.0	0.0	0.0	0.0	0.0	0.06	0.03	0.0	0.0	0.0	0.27	0.0	0.03	0.0	99.12	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	184.37	226.86	103.98	110.6	45.45	69.3	102.13	123.09	109.1	71.6	100.15	68.22	66.5	99.69	110.68	85.21	25.17	66.42	0.0	0.0	131.9	0.0	2.11	106.58	33.8	78.23	0.0	18.2	19.71	53.38	55.49	15.38	132.76	0.0	70.55	117.91	111.61	38.05	27.4	119.01	318.09	61.8	107.55	127.19	215.14	224.85	104.77	226.23	145.89	68.1	0.0
