	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_26	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_57	Chrna2_tdTpositive_cell_77	Gad2_tdTpositive_cell_8	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_44	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_32	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_3	Ntsr1_tdTnegative_cell_5	Ntsr1_tdTnegative_cell_19	Ntsr1_tdTnegative_cell_24	Ntsr1_tdTnegative_cell_32	Ntsr1_tdTnegative_cell_41	Ntsr1_tdTnegative_cell_44	Ntsr1_tdTnegative_cell_45	Ntsr1_tdTnegative_cell_57	Rbp4_tdTnegative_cell_12	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_18	Rbp4_tdTnegative_cell_22	Scnn1a.Tg3_tdTnegative_cell_3	Scnn1a.Tg3_tdTnegative_cell_9	Scnn1a.Tg3_tdTnegative_cell_10	Scnn1a.Tg3_tdTnegative_cell_15	Scnn1a.Tg3_tdTnegative_cell_19	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101
Commd10	2.85	289.57	0.0	24.49	232.33	75.55	31.19	152.22	63.52	0.14	0.37	2.79	0.0	0.0	5.77	0.24	0.67	73.76	0.22	0.07	71.88	34.03	0.0	0.0	0.76	63.27	0.2	55.26	36.62	0.0	135.46	0.21	44.88	36.58	148.56	107.33	0.33	0.0	42.79	0.19	15.08	0.1	61.73	0.0	0.38	0.0	0.0	0.26	0.0	0.0	0.0	5.28	0.0	0.0	0.0	0.0	0.0	0.63	359.71	0.0	0.28	45.7	37.4	0.0	0.0	0.0	0.0	34.0
Copg	215.05	1172.04	383.52	514.31	992.72	227.98	420.43	679.94	213.76	422.51	320.67	134.95	1.91	351.79	360.79	257.61	304.5	208.52	160.12	219.26	200.69	160.17	212.4	344.97	492.47	203.81	285.52	478.8	624.54	291.78	242.27	338.28	353.16	428.86	518.24	525.05	338.27	498.73	545.15	449.27	552.6	567.16	193.27	0.0	0.0	0.0	227.11	114.76	0.0	0.0	0.0	0.67	0.06	0.0	111.96	0.3	210.77	4.69	0.0	303.55	0.31	191.54	195.06	289.43	262.84	560.38	467.78	221.46
Cycs	476.31	909.54	462.18	803.56	878.21	439.29	735.83	374.67	893.39	774.95	499.1	75.47	156.56	571.07	619.22	668.83	668.37	543.13	570.4	833.35	540.85	683.82	417.57	527.08	489.38	622.03	548.27	540.3	440.58	465.76	410.29	466.36	561.05	394.04	520.67	454.21	479.62	649.71	504.86	451.9	598.92	608.49	640.48	290.59	56.43	117.86	276.23	92.95	209.28	3.02	286.0	6.89	257.76	4.88	205.13	8.15	4.69	274.51	146.43	578.41	2.79	610.37	563.97	365.95	559.01	534.28	800.84	596.91
D0H4S114	8.02	298.43	69.31	270.91	1393.15	87.92	94.93	420.91	0.09	75.3	150.74	0.0	0.49	39.38	18.78	0.37	84.95	0.06	82.96	95.17	1.73	0.0	14.92	35.78	14.2	0.2	139.92	128.15	0.0	0.25	70.54	87.22	47.84	0.0	88.18	0.12	11.65	49.47	37.48	66.08	0.0	17.42	150.86	0.0	0.0	0.0	0.0	1.17	0.0	0.0	0.0	0.0	0.0	0.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.96	113.25	8.76	205.74	77.56	138.1
Dynll2	30.31	26.86	50.83	42.49	101.63	10.47	30.81	13.36	35.08	39.94	9.12	0.0	13.52	6.24	14.81	14.45	8.17	31.1	5.52	23.74	69.63	23.65	22.19	48.64	4.29	21.32	33.78	8.76	2.37	20.12	19.77	41.12	23.88	21.1	12.55	23.22	36.99	3.97	16.52	41.61	18.52	53.77	9.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.56	0.0	0.0	0.0	5.65	0.0	0.0	0.19	22.33	15.59	48.28	19.24	20.44	22.72	33.73
Ephx2	96.98	328.69	0.0	213.13	443.76	104.48	0.0	0.0	0.56	0.0	0.0	0.0	0.0	116.39	0.0	0.18	0.04	0.0	0.08	0.0	0.0	0.0	4.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108.85	0.0	0.76	0.0	11.14	0.0	0.0	77.05	0.0	0.0	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.72	0.15	0.0	0.0	12.63	0.0
Erh	227.53	697.27	383.13	460.91	985.52	378.8	309.02	709.9	183.21	309.96	631.46	11.05	93.45	261.32	254.98	307.41	563.05	179.97	384.68	348.1	456.66	399.23	379.05	448.54	409.56	253.75	306.89	449.37	264.05	508.62	434.46	389.93	263.3	71.01	666.94	224.18	498.16	192.73	276.58	333.49	282.4	268.04	365.98	0.0	682.37	772.2	0.0	1.56	335.78	526.74	0.79	1.76	833.86	5.0	0.81	0.0	478.86	0.0	0.0	318.51	316.09	364.75	304.72	198.75	438.27	332.52	667.82	520.59
Fam110b	38.82	97.23	12.1	0.22	108.86	0.0	112.13	0.0	0.0	0.0	84.64	0.0	0.0	0.0	31.04	0.0	7.23	0.06	0.0	6.1	14.04	0.49	0.0	47.62	22.73	27.42	4.12	0.22	47.91	107.4	50.1	58.21	51.02	17.26	49.58	0.0	13.13	70.41	43.39	1.48	21.84	64.98	28.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.37	66.01	80.33	37.53	39.87	14.58	40.95
Fam163b	0.0	0.0	0.0	0.05	114.26	0.0	0.0	6.03	0.0	0.0	0.0	0.0	21.05	0.0	0.0	6.72	0.03	17.39	0.06	0.03	0.04	10.22	0.0	0.0	0.13	0.0	0.0	0.29	0.1	40.77	0.0	6.89	0.0	0.0	0.0	0.0	0.0	0.0	15.45	0.0	3.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.48	0.0	0.0	0.0	0.03	35.11	0.06
Fkbpl	38.29	87.41	0.0	0.0	173.29	0.0	0.0	0.0	0.0	111.92	0.0	0.0	0.0	0.0	26.32	26.86	45.32	0.0	0.0	0.0	0.0	23.9	30.99	30.75	0.0	28.56	30.19	61.33	0.0	46.86	0.0	0.0	0.21	48.64	0.0	0.0	54.62	0.0	0.0	36.27	30.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	0.0
Gm10094	594.86	230.2	261.05	285.48	1080.1	262.91	272.54	76.62	167.04	173.65	136.5	16.05	0.0	471.67	480.01	520.26	541.54	253.5	622.22	299.59	466.91	419.28	224.15	337.19	346.77	242.27	233.21	290.05	202.66	236.18	281.77	332.61	162.26	259.63	352.65	603.24	496.02	332.6	397.27	361.21	350.21	281.7	457.88	191.28	52.78	339.91	0.0	159.68	344.98	0.0	0.0	0.0	440.96	0.0	0.0	0.0	45.76	0.0	617.58	142.21	0.0	273.77	260.95	296.97	442.93	390.66	331.0	436.8
Gm13306	0.0	3.68	0.0	22.17	28.87	8.68	11.67	0.0	0.0	11.32	0.0	0.0	0.0	17.1	1.46	0.3	0.03	0.0	1.74	0.0	0.0	7.16	0.58	0.0	0.0	5.37	0.27	1.98	0.0	0.0	2.47	0.77	0.0	0.0	3.46	0.29	0.0	2.79	1.65	1.9	0.13	2.24	4.31	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.89	1.61	0.0	0.0	7.83	1.88
Gm2506	0.0	3.68	0.0	22.17	28.87	8.68	11.67	0.0	0.0	11.32	0.0	0.0	0.0	17.1	1.46	0.3	0.03	0.0	1.74	0.0	0.0	7.16	0.58	0.0	0.0	5.37	0.27	1.98	0.0	0.0	2.47	0.77	0.0	0.0	3.46	0.29	0.0	2.79	1.65	1.9	0.13	2.24	4.31	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.89	1.61	0.0	0.0	7.83	1.88
Gm5177	30.2	46.56	21.48	52.74	64.25	40.79	22.88	31.27	50.02	30.59	24.82	7.31	10.93	27.39	43.45	32.72	37.63	30.18	35.35	31.33	31.41	30.05	25.4	37.89	34.71	35.88	46.26	36.63	35.77	34.43	27.74	26.09	39.09	27.15	42.83	26.59	31.26	36.77	32.84	34.41	32.93	37.02	29.56	2.5	20.71	2.9	20.44	15.53	5.51	17.56	16.29	0.0	8.28	0.47	12.51	0.0	0.12	8.41	3.5	5.35	3.54	36.97	34.57	37.35	33.65	39.81	44.41	46.24
Gng3	1363.15	2128.1	993.66	2268.52	3026.53	1128.12	1022.29	358.99	628.78	402.02	712.87	0.0	293.41	604.1	923.08	1160.18	1157.98	742.43	805.37	1073.29	795.65	636.79	700.08	974.46	1037.73	1224.55	800.82	1072.07	557.38	1000.4	703.8	843.43	871.02	853.22	675.69	577.24	949.52	932.3	1094.24	665.64	1170.57	956.63	808.36	0.0	0.0	0.0	0.0	3.35	0.0	0.0	0.0	0.81	0.0	1.15	0.0	0.36	0.0	552.92	0.0	0.0	0.0	1552.03	1132.5	1091.39	1058.27	1133.62	1068.09	823.91
Gpn1	65.84	213.97	12.73	93.34	433.65	70.96	183.07	0.0	75.29	53.31	19.97	0.0	0.0	160.84	33.06	56.0	116.04	0.13	0.18	54.26	82.01	0.0	85.37	77.79	148.31	43.2	72.65	90.35	0.0	34.68	0.0	63.92	108.52	104.07	0.0	0.0	74.59	200.72	60.66	54.83	0.15	98.13	88.57	0.0	0.0	0.0	0.0	0.44	0.0	0.0	0.0	0.74	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	572.71	61.6	0.0	0.32	43.77	56.59	131.95	34.31
Gtf2a2	36.83	427.68	119.68	224.18	937.08	0.32	220.84	178.63	0.0	4.53	67.78	211.55	28.39	9.66	178.81	133.25	239.72	101.77	225.0	68.64	193.44	171.51	248.18	54.35	186.3	41.27	203.16	0.0	147.29	261.66	171.59	117.76	80.9	374.17	123.85	15.8	94.32	46.42	97.3	122.32	122.03	78.79	106.9	0.0	416.05	0.0	78.38	448.91	0.0	14.57	0.0	1.63	52.08	0.0	0.0	0.0	466.91	0.0	0.0	0.0	0.0	68.61	73.0	136.63	176.25	106.71	148.85	68.38
Gtf3c6	64.45	8.7	57.73	30.99	276.75	95.72	164.21	66.19	58.98	168.48	0.0	0.0	0.0	128.02	45.87	26.12	48.81	0.0	14.37	0.0	29.22	141.8	0.32	33.35	31.16	123.97	0.0	3.07	70.72	65.53	0.0	140.28	114.51	36.73	106.48	156.28	40.18	90.6	106.31	0.0	45.36	25.74	65.17	0.0	0.0	0.0	0.0	0.0	268.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57	0.0	7.8	95.27	379.45	88.04	0.0	54.84	17.76	126.95	72.96	59.04
H2afz	1384.13	2621.48	790.31	1817.32	2680.21	816.51	1130.31	363.73	745.7	704.19	905.15	185.21	548.59	827.42	1013.55	553.7	982.93	1257.02	727.79	840.64	998.03	732.95	579.08	884.3	755.43	928.54	561.06	780.55	975.85	676.09	693.98	810.38	563.84	762.41	947.99	1188.23	441.66	799.47	576.39	602.51	1655.89	994.84	765.14	1147.85	0.0	1.82	310.76	941.35	98.77	639.88	0.0	0.0	248.28	4.2	493.04	678.46	508.04	0.0	356.99	329.81	327.55	1081.21	751.03	1207.3	891.36	773.55	485.62	918.33
Hcfc1r1	129.59	240.24	110.64	352.95	701.48	289.57	203.19	120.63	167.71	204.27	333.36	169.59	0.0	189.58	251.68	212.56	218.01	18.91	230.49	159.28	47.06	189.82	188.91	213.24	227.78	209.67	189.44	192.75	241.94	362.29	319.06	209.09	276.22	214.94	184.53	284.64	182.82	324.39	148.65	130.85	173.45	133.64	223.64	0.0	0.0	0.46	392.01	178.56	7.05	30.19	0.0	0.0	280.53	0.53	68.59	137.79	0.0	0.81	0.0	249.37	0.0	204.7	109.23	170.76	371.96	166.49	279.77	231.18
Ids	23.38	34.69	7.25	37.4	41.85	10.46	25.11	7.65	9.47	69.45	0.73	0.0	1.69	40.61	31.76	31.37	17.92	21.62	4.6	45.93	32.68	44.25	6.36	6.93	5.35	5.49	10.8	48.98	3.65	29.72	10.64	16.81	27.58	33.56	15.43	12.78	27.1	13.3	8.6	23.86	6.6	8.75	11.29	0.2	0.32	0.0	0.64	0.15	0.18	0.07	0.36	1.5	0.04	1.03	0.0	1.15	0.46	2.13	0.0	1.04	0.59	31.33	13.49	6.77	26.5	19.18	31.82	27.44
Ift20	142.22	692.79	79.1	126.07	543.98	165.37	190.2	13.23	158.93	159.24	117.64	34.21	81.73	250.92	52.97	99.48	77.96	113.01	98.55	162.08	110.51	103.09	149.94	97.08	30.59	29.82	123.14	148.13	114.41	100.79	139.66	110.06	87.79	228.26	0.37	0.0	6.7	120.44	40.2	157.6	93.17	13.64	52.94	0.0	156.1	396.13	308.9	118.38	0.36	0.0	0.0	0.0	0.0	0.84	0.0	0.79	202.57	347.16	0.0	174.85	0.0	103.66	37.34	141.72	157.55	3.52	43.58	92.56
Igbp1	102.12	172.29	136.2	29.75	172.74	127.93	71.41	0.0	79.89	0.14	0.0	0.0	0.0	0.0	95.3	45.74	134.73	0.0	74.79	64.08	45.37	108.63	0.0	110.63	0.0	0.0	5.46	0.0	85.45	58.8	61.17	90.66	0.0	120.1	0.0	0.0	156.66	0.0	0.19	110.09	0.0	61.54	45.67	0.0	14.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	520.89	0.0	0.0	38.8	155.22	151.94	89.79	95.89	204.69	0.12
Klc2	4.24	36.49	3.17	10.39	62.89	0.0	0.0	0.0	0.0	26.27	0.0	0.0	0.0	19.32	0.5	3.16	0.03	0.0	0.11	14.38	4.74	0.0	1.44	6.29	2.57	0.0	3.79	10.47	2.98	0.08	0.0	0.0	1.43	12.78	0.0	1.25	2.95	0.0	1.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57	0.0	3.59	5.26	10.01	12.36	10.45
Las1l	41.44	127.66	3.16	31.16	150.32	93.0	160.9	38.14	6.82	83.45	134.33	137.92	45.96	64.99	103.12	47.09	63.64	70.85	0.06	0.04	20.21	89.34	113.11	99.61	69.35	149.44	36.27	137.36	94.42	122.31	109.3	100.06	76.83	13.24	1.56	31.73	27.89	30.73	0.11	108.92	72.91	44.64	98.7	0.0	119.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	36.87	0.24	0.22	12.5	0.0	0.23	361.65	1.32	1.41	34.48	54.51	0.77	71.17	47.19
Mrps11	78.84	320.44	46.87	165.81	601.85	97.98	53.09	121.17	265.39	10.01	0.0	0.0	0.0	57.02	54.39	49.19	91.96	0.24	32.37	39.54	101.58	75.71	75.11	101.26	117.15	56.31	148.18	187.19	61.24	10.1	4.07	40.75	81.24	77.9	81.17	88.82	42.29	49.74	162.72	132.69	36.15	97.45	52.98	0.0	0.0	0.0	0.0	0.0	0.54	0.0	0.0	0.0	0.0	0.64	0.0	0.0	0.0	0.0	0.0	0.0	295.65	0.0	0.0	39.3	0.0	87.1	31.7	95.65
Mypn	0.0	40.86	0.0	0.0	51.92	2.16	3.01	0.0	0.0	0.0	0.0	0.0	0.19	0.0	13.23	0.07	0.01	17.79	17.08	0.0	9.15	9.55	8.25	0.68	0.0	0.0	18.9	0.0	0.0	1.64	0.0	0.0	0.0	3.26	0.0	0.0	0.0	0.0	0.0	1.27	0.0	9.02	1.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.34	0.0	11.14	0.0	0.0	0.0
Ndufc2	505.45	943.59	419.49	551.04	1804.4	352.38	562.53	474.06	483.29	429.94	417.2	196.89	522.18	792.96	738.82	452.55	376.28	535.81	595.34	580.02	580.6	694.32	590.36	430.08	570.23	531.53	464.48	358.87	528.85	640.47	491.71	426.8	434.56	402.57	399.29	454.28	534.01	632.16	536.8	324.54	407.47	555.08	646.83	271.28	356.29	132.01	380.18	0.0	551.03	515.69	1001.26	0.0	357.71	2.02	0.0	0.0	0.0	973.07	0.0	0.0	244.06	405.88	436.37	479.48	295.72	601.24	554.35	908.97
Ndufs3	152.06	126.72	105.43	349.33	600.71	72.55	513.19	263.44	153.92	304.61	149.26	9.28	0.0	431.17	31.94	238.44	136.05	196.2	271.79	127.64	91.03	147.97	67.03	156.78	242.4	189.1	135.01	148.99	113.99	143.8	160.69	227.2	260.51	165.72	195.14	214.56	169.94	79.61	108.0	141.37	2.73	193.04	137.51	0.0	0.0	0.0	0.0	1.34	0.0	0.0	0.0	0.0	0.0	0.71	4.15	0.0	0.0	0.0	0.0	0.0	47.23	322.41	219.88	225.59	245.71	243.14	118.37	339.28
Nol12	28.96	118.13	102.62	0.15	172.81	37.45	28.41	0.0	29.29	3.55	54.25	0.16	0.42	29.15	66.63	30.48	21.54	72.18	21.75	36.71	0.38	15.52	66.44	10.77	14.56	0.33	14.98	0.07	18.47	50.58	46.5	18.64	0.85	0.0	0.0	0.0	0.0	36.15	0.28	19.97	0.0	15.86	0.13	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.61	111.46	0.0	0.35	0.0	0.0	1.64	0.0	167.37	0.21	35.18	39.03	82.2	35.58	0.39	0.0	58.46
Npy	138375.8	359.05	173305.25	40775.82	1.46	115124.65	16044.9	43922.94	108594.8	96206.73	82245.2	4.89	14635.6	125016.83	132042.44	105008.15	149629.49	134232.96	130357.56	116117.28	120987.76	122165.94	132052.33	122154.33	122963.43	126501.28	117863.77	102118.34	130527.91	173863.58	126989.03	166048.87	115420.41	191162.16	108906.97	154857.31	124150.07	134158.33	153405.37	147732.76	141010.39	110523.31	151963.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	145032.54	180453.32	128781.07	137945.15	95298.15	137580.94	120620.2
