	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_77	Cux2_tdTpositive_cell_49	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_69	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_70	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_174	Rbp4_tdTpositive_cell_175	Scnn1a.Tg2_tdTpositive_cell_20	Scnn1a.Tg3_tdTpositive_cell_101	Scnn1a.Tg3_tdTpositive_cell_105	Scnn1a.Tg3_tdTpositive_cell_108	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101
Npy	138375.8	173305.25	40775.82	1.6	115124.65	25.86	96206.73	65548.38	14635.6	125016.83	0.0	132042.44	105008.15	149629.49	134232.96	130357.56	105498.11	116117.28	120987.76	122165.94	132052.33	122154.33	122963.43	126501.28	117863.77	98464.67	102118.34	130527.91	173863.58	101365.79	126989.03	166048.87	115420.41	191162.16	154857.31	124150.07	134158.33	153405.37	147732.76	141010.39	110523.31	151963.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	145032.54	180453.32	128781.07	23340.13	8484.11	137945.15	137580.94	120620.2
Psg28	8.4	10.26	1.14	3.17	6.94	26.34	10.92	16.15	34.78	11.37	0.0	8.32	11.15	8.17	8.35	5.86	8.56	5.9	9.43	5.35	11.47	5.93	5.47	8.49	4.44	8.59	7.38	7.51	10.4	7.04	8.89	7.05	9.98	5.67	6.03	13.98	7.09	2.08	9.8	8.46	10.37	5.74	32.9	84.55	150.16	47.1	102.01	32.12	35.35	4.26	5.76	4.51	20.17	14.13	3.04	6.29	3.69
Rdh1	13.02	17.69	3.05	5.22	17.75	65.21	18.21	55.74	112.38	20.35	0.0	13.27	15.36	11.26	33.67	10.78	14.62	17.45	24.34	14.97	29.68	11.95	15.61	26.52	14.37	15.61	14.88	18.44	19.37	15.06	17.26	20.17	15.02	14.22	22.24	17.23	12.32	14.85	18.21	14.15	11.6	14.7	60.18	213.95	392.21	152.15	180.44	110.42	117.31	15.94	18.15	15.77	38.32	57.79	12.21	8.58	11.72
Rhag	0.2	0.57	0.18	0.0	0.12	0.77	0.37	0.3	1.4	0.71	0.0	0.05	0.29	0.5	0.35	0.87	0.29	0.14	0.3	0.53	0.54	0.26	0.48	0.22	0.15	0.0	0.27	0.0	0.0	0.0	0.45	0.0	0.11	0.11	0.19	0.13	0.0	0.32	0.38	0.69	0.3	0.45	1.21	5.57	4.6	0.45	5.56	1.28	0.63	0.43	0.99	0.83	0.26	0.56	0.1	0.0	0.04
Slc16a10	34.81	43.33	7.18	3.89	29.23	85.03	64.12	93.46	109.85	22.12	0.0	18.06	30.23	33.74	61.45	15.03	38.41	58.98	59.52	39.01	39.76	16.22	30.03	40.46	40.14	34.43	14.81	32.41	22.22	45.84	23.39	57.81	8.88	15.02	50.03	61.94	11.41	22.4	32.59	30.17	17.32	32.87	66.68	463.87	423.96	93.6	213.51	78.22	117.53	13.44	50.52	18.05	49.01	61.73	21.94	41.24	17.86
Slfn9	13.68	9.01	6.87	0.8	7.76	30.46	9.02	22.34	58.27	10.43	15.0	12.01	8.51	8.63	16.48	6.83	11.75	16.1	13.32	18.46	16.6	9.39	11.99	10.37	9.65	62.34	11.06	11.55	17.69	7.82	12.63	12.85	18.23	4.58	8.74	14.06	12.4	8.02	14.27	12.1	12.84	21.16	29.1	151.28	148.85	87.35	133.82	34.42	52.79	9.63	10.33	10.59	23.01	20.54	7.43	6.5	1.9
Tigit	12.05	13.33	4.96	0.0	8.51	29.44	18.56	37.67	81.88	17.21	0.0	6.06	5.96	6.94	14.44	3.96	11.93	7.68	7.22	10.48	10.42	7.49	10.92	29.09	14.01	7.51	8.06	9.97	11.83	18.95	22.7	12.04	13.96	8.07	14.58	14.69	7.39	6.73	11.53	13.09	4.38	11.82	33.2	121.62	194.04	107.08	248.07	56.75	96.2	7.82	4.57	14.05	23.23	20.99	8.05	7.39	4.22
Tns4	0.0	0.85	0.03	0.6	0.8	1.9	1.44	2.76	3.45	1.09	0.0	0.46	1.08	0.53	0.19	0.12	0.59	0.26	0.66	0.72	0.4	0.99	0.75	1.45	1.22	0.78	0.24	1.21	0.88	1.22	0.85	1.08	0.53	0.67	1.35	0.99	0.25	1.14	1.64	0.66	0.41	1.3	1.88	12.67	19.9	2.82	3.39	5.36	1.74	0.61	0.42	0.89	0.81	0.9	0.47	0.44	0.22
Tyr	34.42	41.23	13.98	40.7	29.14	67.55	37.85	99.76	161.81	55.3	5.32	22.7	22.96	29.96	22.52	21.25	41.49	19.18	26.6	24.3	30.55	27.56	42.35	35.03	19.56	20.02	23.4	21.21	24.4	27.52	26.68	26.86	25.34	25.54	28.79	43.68	26.18	31.9	35.21	26.8	20.42	38.94	77.66	355.43	621.35	126.15	240.04	114.03	66.07	30.56	35.69	23.1	50.9	43.33	26.55	21.53	24.29
Vmn1r58	77.16	82.13	20.37	15.79	65.19	306.91	123.31	172.04	367.45	97.01	16.56	73.75	62.86	106.18	62.38	35.08	59.53	49.6	83.3	67.89	87.18	53.76	70.17	97.49	70.08	69.44	61.9	70.87	69.67	95.33	75.66	84.37	63.69	57.07	112.42	96.32	83.74	64.75	80.41	45.95	59.1	65.99	287.47	817.27	1844.19	526.97	592.17	408.72	449.67	65.66	70.38	58.25	165.57	103.11	47.67	46.42	32.99
Zfp277	120.04	63.8	31.67	44.86	69.92	423.33	105.3	248.52	440.1	199.85	0.0	85.6	82.61	81.54	66.07	54.87	70.88	48.44	69.89	84.19	93.02	58.61	60.83	132.46	91.17	77.09	51.32	58.23	70.3	95.18	86.81	63.76	76.91	48.58	89.77	71.5	62.34	148.88	76.94	121.08	52.16	65.24	228.32	1164.76	1362.18	515.4	841.12	402.82	348.54	53.47	70.79	64.45	252.47	159.95	43.69	60.4	34.54
