	Calb2_tdTpositive_cell_3	Calb2_tdTpositive_cell_23	Cux2_tdTpositive_cell_2	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_51	Cux2_tdTpositive_cell_56	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_69	Nr5a1_tdTpositive_cell_2	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_4	Nr5a1_tdTpositive_cell_9	Nr5a1_tdTpositive_cell_11	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_26	Nr5a1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_37	Nr5a1_tdTpositive_cell_38	Nr5a1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_4	Ntsr1_tdTpositive_cell_9	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_38	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_16	Rbp4_tdTpositive_cell_25	Rbp4_tdTpositive_cell_62	Rbp4_tdTpositive_cell_65	Rbp4_tdTpositive_cell_96	Rbp4_tdTpositive_cell_97	Rbp4_tdTpositive_cell_116	Rbp4_tdTpositive_cell_150	Rbp4_tdTpositive_cell_154	Rbp4_tdTpositive_cell_171	Rorb_tdTpositive_cell_3	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_36	Rorb_tdTpositive_cell_38	Scnn1a.Tg3_tdTpositive_cell_56	Scnn1a.Tg3_tdTpositive_cell_62	Scnn1a.Tg3_tdTpositive_cell_66	Scnn1a.Tg3_tdTpositive_cell_72	Scnn1a.Tg3_tdTpositive_cell_85	Scnn1a.Tg3_tdTpositive_cell_88	Slc17a6_tdTpositive_cell_40	Sst_tdTpositive_cell_24	Sst_tdTpositive_cell_27	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3
Btbd3	25.81	36.62	9.92	236.11	11.93	47.72	69.38	28.18	22.73	31.34	102.68	43.81	21.37	117.87	183.69	77.67	101.04	0.28	182.22	105.0	0.0	0.0	0.0	0.0	0.0	6.66	153.87	4.51	32.09	0.0	0.0	0.0	0.11	0.0	0.07	11.83	14.15	14.79	160.61	87.78	56.26	0.0	166.18	243.62	207.93	155.7	0.0	6.86	305.0	4.87	2.81	3.9	4.08
Cacna2d3	104.95	106.86	33.55	10.07	1.67	156.95	66.89	3.72	8.26	3.69	111.21	31.98	100.95	0.44	114.09	40.13	36.24	0.05	6.72	66.81	0.0	0.0	0.0	0.0	0.0	0.0	41.78	58.25	33.4	117.29	1.89	106.57	1.82	22.41	33.65	86.17	139.15	76.58	7.51	0.0	280.9	0.0	21.56	548.79	0.29	0.0	0.0	56.75	76.53	5.49	0.0	0.0	0.0
Camk2n1	444.79	467.39	455.44	899.93	725.3	586.64	618.55	649.35	842.48	730.24	648.12	670.86	583.8	647.62	701.38	417.09	1008.12	175.46	462.97	693.18	0.18	61.33	144.76	61.61	93.18	173.35	501.79	147.02	28.28	138.41	39.3	162.92	47.51	102.96	48.94	296.12	380.82	540.81	580.54	376.85	433.21	0.0	497.12	420.87	509.33	584.67	0.0	219.24	56.71	60.36	55.31	46.76	44.27
Cnih3	0.0	16.36	75.03	0.28	62.63	256.7	2.66	0.21	0.67	20.52	32.2	100.53	112.48	53.21	26.55	0.21	78.59	143.56	47.0	130.92	0.38	0.13	0.18	0.0	0.35	62.36	18.19	9.18	22.99	35.76	0.13	41.64	27.05	78.54	65.06	22.36	234.25	1.89	2.24	124.27	263.68	0.59	1.68	186.6	136.91	172.59	0.12	13.42	0.32	0.38	0.42	2.18	0.32
D0H4S114	697.15	1261.56	305.39	72.11	1602.9	1122.39	156.22	396.8	816.97	463.1	221.87	555.82	363.65	1029.79	1094.41	299.86	518.61	1941.07	527.53	1299.62	0.4	0.0	0.0	0.0	225.31	339.58	1317.47	256.18	812.17	246.58	78.7	309.58	392.0	122.72	210.83	245.66	841.94	426.18	444.99	752.23	472.18	0.16	776.54	972.65	359.43	190.55	0.0	108.8	541.22	20.46	101.44	83.34	92.97
Dbc1	402.29	805.16	213.12	299.49	821.77	1059.82	131.31	397.43	1040.1	566.46	509.63	241.84	511.74	1139.55	1078.59	310.51	533.48	668.31	999.57	289.67	9.67	242.58	3.03	6.27	164.55	75.85	798.93	267.85	425.07	269.47	223.74	288.97	160.06	429.79	265.66	144.93	326.51	217.55	658.96	349.65	747.22	175.08	683.74	932.71	152.66	654.6	261.28	12.21	109.12	136.9	158.04	148.29	158.13
Ddit4l	48.21	0.93	656.88	68.2	294.86	713.57	0.58	701.81	347.27	0.31	374.6	616.04	265.32	721.23	353.51	74.81	413.61	0.24	0.16	0.41	0.06	0.06	0.0	0.25	0.4	0.0	0.44	0.11	0.23	2.78	0.45	0.0	0.0	0.0	0.22	0.47	0.1	846.53	258.96	0.3	0.69	0.23	22.74	873.19	494.33	378.67	0.0	0.1	0.1	0.0	0.66	0.0	0.13
Emx2os	0.61	0.64	0.41	0.44	0.51	1.82	1.52	1.04	0.77	0.35	0.63	0.54	1.57	0.88	0.35	0.53	0.41	0.42	0.72	1.08	0.28	0.26	0.32	0.22	0.4	0.13	0.94	0.39	0.6	0.4	0.24	0.04	0.33	0.53	0.29	0.16	0.38	0.77	0.54	0.96	0.8	0.45	1.03	0.57	0.97	1.28	0.51	0.27	0.54	0.46	0.22	0.25	0.09
Epha4	214.14	102.18	81.47	39.05	69.27	325.64	344.98	135.11	210.42	304.32	75.73	147.93	293.4	72.02	50.67	215.65	141.55	123.48	140.59	225.2	73.14	0.26	0.06	84.99	55.62	86.06	273.08	6.6	227.65	41.16	97.58	65.75	26.18	77.13	5.43	57.98	81.71	108.1	22.68	210.44	291.95	0.44	107.2	348.45	85.51	111.89	25.78	0.0	0.06	29.44	37.14	25.44	33.05
Fam19a2	11.18	1.39	43.94	119.2	97.8	211.55	34.16	104.69	142.54	9.03	75.53	130.23	61.18	208.05	65.33	0.0	11.92	198.25	2.16	16.74	0.04	0.0	0.0	0.0	0.09	30.62	79.77	0.07	0.45	74.39	44.76	28.95	42.64	59.62	43.37	21.16	51.05	0.91	4.03	91.98	163.84	0.0	134.28	267.56	0.25	101.43	0.0	0.0	0.0	3.99	0.0	0.41	0.79
Foxp1	270.79	181.65	145.34	185.72	240.57	200.67	285.47	235.25	150.54	206.86	264.6	288.3	253.99	382.96	134.72	180.58	210.73	82.0	127.99	114.28	91.63	47.31	91.31	66.94	99.64	230.33	274.43	127.68	220.32	237.21	133.85	144.87	125.65	153.91	165.61	189.94	166.24	427.35	41.17	158.72	173.77	76.82	95.41	185.85	265.55	146.25	81.06	8.97	5.0	42.76	40.0	33.72	37.41
G730013B05Rik	13.9	38.37	23.26	15.15	15.27	23.95	29.36	12.49	28.01	30.72	27.09	24.6	46.16	23.54	17.96	15.23	11.25	11.53	11.09	26.23	10.83	9.43	0.49	12.69	11.88	14.66	45.63	9.41	7.25	8.24	12.4	2.36	14.12	9.98	12.84	11.38	12.46	16.38	13.11	6.94	22.16	11.22	26.37	18.58	16.25	21.61	11.95	6.39	4.17	10.85	5.05	7.47	5.63
Gabrg2	1745.99	851.97	435.2	2092.32	1868.15	1396.17	1454.14	727.33	432.54	714.16	1443.59	890.84	1169.22	1915.74	1199.48	1040.13	719.64	979.41	2238.61	517.03	963.25	486.74	642.11	745.54	539.77	949.67	1223.91	538.33	1876.75	618.36	254.22	786.19	571.64	266.99	816.22	1215.06	930.47	1079.61	1168.55	1037.33	599.3	596.37	1609.42	1203.91	839.42	523.39	231.21	562.44	408.35	502.42	583.04	449.14	419.85
Gm5607	8.97	13.28	9.63	9.05	9.71	13.41	8.4	8.31	7.29	12.29	9.24	11.78	16.83	8.66	6.61	10.7	5.05	5.07	7.88	7.96	7.36	5.35	1.46	8.08	4.82	6.77	11.57	8.28	8.19	6.07	8.47	2.38	9.37	10.99	10.52	9.84	7.82	15.04	10.31	11.26	14.11	7.71	16.97	13.07	13.07	9.81	5.56	3.01	6.97	5.76	4.21	4.57	3.38
Hlf	78.26	1.71	242.48	48.4	53.73	211.78	0.0	14.26	77.54	20.87	278.66	168.62	168.63	109.66	164.38	57.86	48.95	114.43	71.21	59.51	15.9	50.27	20.44	30.02	0.27	92.76	26.43	83.87	29.23	161.48	123.37	56.98	38.11	60.75	305.43	64.73	0.95	202.37	192.62	46.99	207.47	53.02	83.05	64.07	308.77	88.53	5.99	9.14	12.13	29.05	26.4	27.22	24.61
Hpca	934.63	1516.44	1162.28	1688.47	818.91	1331.76	895.17	1352.91	772.14	516.18	960.73	724.27	1172.12	832.29	599.84	917.29	779.01	515.79	636.58	653.33	542.87	387.24	473.82	231.9	627.67	1076.55	893.9	473.2	1095.85	888.88	636.73	461.24	735.72	663.46	527.19	839.89	1130.05	902.15	868.96	1030.08	821.66	445.78	816.91	618.24	1047.76	531.39	506.79	204.5	212.86	326.38	187.52	230.93	166.55
Kcnq1ot1	55.18	64.7	62.38	71.85	36.63	100.68	103.88	71.79	78.41	79.65	94.58	62.65	65.26	57.19	69.51	53.7	32.34	45.08	38.78	88.15	38.97	54.33	23.24	38.58	36.17	61.17	116.67	44.19	43.14	47.43	61.09	9.52	77.39	74.03	69.21	57.24	47.01	78.23	63.67	55.96	75.37	37.74	97.81	86.43	90.39	94.47	36.51	42.03	25.7	55.82	29.35	28.81	28.01
Krt12	0.0	65.44	39.98	32.9	102.93	263.35	0.0	68.79	90.84	219.77	148.18	191.19	86.93	74.83	176.97	75.55	148.03	112.67	68.75	77.2	0.0	0.0	0.0	54.75	0.0	40.36	114.49	19.95	94.36	34.45	85.09	40.06	0.0	21.4	73.19	62.83	107.86	140.45	186.92	124.76	46.01	0.0	92.02	82.12	111.11	192.04	0.0	0.15	34.51	0.33	1.46	1.31	0.95
Lin7a	1.95	148.96	213.1	78.87	376.13	226.36	195.55	111.87	197.0	210.23	194.0	325.39	121.67	153.35	242.1	249.92	222.32	255.69	207.53	58.37	44.7	1.5	0.0	0.06	0.1	62.02	66.08	115.72	355.71	133.47	255.84	84.98	186.35	99.57	186.82	67.76	97.07	19.6	108.52	162.48	167.94	0.0	58.59	269.7	137.03	109.83	26.67	1.98	66.09	31.81	32.36	31.39	33.11
Lrrc4c	299.38	1230.32	863.37	1329.05	1505.88	843.67	1556.13	1583.18	680.34	1094.87	1044.69	989.74	1145.22	663.03	1112.63	944.46	714.29	839.47	1239.84	779.8	358.97	442.8	249.59	400.75	183.21	854.31	793.53	480.59	1385.75	525.68	627.15	382.34	906.96	752.07	416.61	1505.2	1310.17	2985.83	1612.83	583.11	779.68	352.05	974.64	1210.16	519.96	697.2	345.12	48.47	0.17	211.34	353.91	248.23	236.73
Lrtm1	1.81	1.24	0.4	1.68	1.05	0.72	0.29	0.76	1.99	0.11	0.79	12.06	11.55	10.58	6.93	0.77	2.97	0.04	1.32	2.75	0.09	0.0	0.0	0.0	0.0	0.33	0.12	0.23	0.26	1.46	0.17	0.53	0.08	0.31	0.05	0.33	0.16	1.15	0.36	0.69	3.03	0.13	0.34	2.14	1.72	1.63	0.25	1.22	0.55	0.1	0.0	0.19	0.2
Lsm3	154.26	0.0	62.62	0.17	139.22	157.13	370.43	204.35	12.63	0.0	0.0	257.92	219.51	562.32	66.59	107.48	443.33	135.91	96.66	43.39	189.29	31.39	0.0	0.0	131.66	177.24	223.02	234.74	98.67	200.24	57.31	0.0	92.25	106.29	0.0	87.85	143.61	0.0	224.12	191.92	194.96	0.0	350.76	190.8	161.28	467.59	0.0	48.41	20.59	54.9	74.0	64.03	75.31
Mef2c	776.36	896.96	844.21	1387.94	897.46	953.93	961.51	711.73	792.28	1026.86	869.29	1113.53	1254.24	1204.73	1258.25	478.86	608.16	809.38	946.73	1090.03	575.43	293.15	237.05	543.03	407.08	367.17	658.99	523.28	1032.07	591.58	511.41	446.61	544.26	943.92	516.03	908.93	768.44	845.48	1066.16	950.63	849.93	487.54	698.98	1265.85	851.78	1286.04	273.51	110.4	0.09	314.4	325.07	320.06	336.42
Neurod1	0.0	111.03	88.73	181.72	115.42	4.82	345.39	8.16	89.14	29.05	115.78	0.13	149.76	221.11	72.62	83.1	80.15	48.23	40.27	57.43	0.0	0.0	0.0	0.0	0.0	42.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.49	35.04	20.18	0.09	0.09	56.4	0.0	0.0	95.9	68.7	99.88	0.0	0.0	0.0	0.0	0.12	0.69	0.7
Nlk	126.92	169.4	170.7	38.64	21.22	153.66	323.23	93.81	151.41	27.87	149.83	156.14	84.81	194.46	207.54	279.4	129.69	84.87	231.98	5.56	52.59	10.3	61.51	72.03	0.09	67.44	60.58	161.52	199.44	158.89	229.16	126.23	38.59	120.4	105.85	101.7	172.53	39.68	68.77	133.26	116.85	13.22	283.79	52.32	237.78	135.49	3.1	8.38	31.71	56.55	46.31	39.77	38.83
Nr1d1	220.1	225.33	209.0	79.95	284.94	328.6	0.0	114.11	13.87	361.02	27.41	326.23	302.23	566.53	381.21	859.8	36.05	100.92	238.79	484.78	222.84	0.0	0.0	0.39	79.92	357.59	1.17	251.01	300.94	106.69	337.81	1.5	94.1	369.22	448.58	166.12	501.4	613.6	266.8	41.26	226.03	155.08	223.52	102.74	6.07	666.73	0.2	0.0	93.93	33.26	49.67	62.41	64.96
Nrsn1	788.17	1814.86	429.46	823.37	1551.76	2226.95	2875.18	329.61	1777.27	1689.84	1192.56	685.99	1002.69	1219.6	978.9	1482.55	879.05	630.41	395.68	1846.37	125.45	20.92	136.9	73.43	158.18	1510.53	2062.53	402.32	491.57	752.58	779.69	570.54	564.63	914.04	468.52	122.61	1530.26	1768.31	1065.51	2303.56	2002.81	305.96	574.27	881.88	1383.93	1445.4	184.34	297.07	529.62	268.87	322.54	333.74	416.06
Nrxn1	2051.77	864.04	1377.67	1316.97	1184.68	1132.19	1853.2	1369.43	1178.34	1993.92	1552.74	1777.74	1591.74	1548.92	1569.82	1946.18	888.77	1507.31	1007.43	1481.71	370.76	384.17	302.17	435.89	128.98	643.99	1109.77	402.0	991.12	630.23	571.8	766.97	649.2	582.73	790.64	651.36	1221.21	1466.55	1610.58	1656.17	1702.34	364.18	1853.07	1880.79	1386.63	1972.21	360.45	570.74	913.85	387.89	718.77	397.18	408.76
Olr1	3.47	5.36	9.67	4.67	9.13	5.51	2.66	4.18	12.22	5.66	3.2	8.25	7.97	1.21	5.94	6.88	0.71	4.14	1.82	5.54	1.09	1.83	0.88	3.77	0.0	4.95	5.63	3.34	5.03	0.51	0.5	1.78	3.81	2.6	0.57	1.21	3.93	10.79	6.6	4.79	7.79	0.76	7.05	5.71	2.9	19.25	0.0	0.0	0.77	0.85	1.13	0.76	0.43
Osbpl1a	1438.21	525.83	1611.17	992.08	748.05	785.49	677.61	766.39	728.95	1041.93	1335.15	1466.39	737.34	1191.74	620.27	982.53	667.44	948.31	1626.98	694.92	646.03	541.31	153.0	2.4	228.73	658.37	186.83	68.2	1081.76	282.53	338.05	170.57	371.64	602.16	344.04	365.66	453.57	905.24	1051.32	838.14	988.34	160.26	1160.89	2532.04	1056.36	1628.9	90.94	14.61	69.24	149.17	164.55	162.18	190.95
Pamr1	194.49	332.48	89.81	424.82	421.92	410.18	466.52	83.37	52.97	388.44	239.68	276.84	322.99	864.08	146.89	0.0	88.33	460.71	34.09	440.97	0.17	0.11	0.0	43.4	0.14	148.05	0.92	131.97	325.33	112.55	80.53	109.86	387.6	84.99	245.69	35.83	469.24	5.97	363.72	469.55	75.15	0.22	397.58	206.12	20.08	251.0	0.0	0.0	0.0	19.85	13.99	18.55	12.16
Pcdh20	137.58	17.16	0.07	117.6	106.81	131.63	0.0	0.16	26.13	0.0	46.57	20.19	85.6	13.11	39.69	110.09	65.24	0.0	41.45	0.03	0.06	0.0	0.0	0.0	0.0	0.0	106.07	0.0	44.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	106.52	5.55	18.17	51.73	123.04	0.0	77.88	0.0	225.84	206.94	0.0	0.0	0.0	0.0	0.0	0.0	0.07
Plcxd2	6.08	122.49	49.74	65.09	228.39	244.53	127.67	58.69	164.93	99.07	66.49	30.86	57.95	56.05	24.73	121.1	74.03	88.89	87.08	281.01	0.09	0.17	0.0	0.0	0.0	30.34	216.16	80.78	56.57	19.67	66.12	230.86	38.24	20.85	47.49	56.1	58.48	203.2	0.06	30.18	416.68	0.0	25.05	44.02	59.99	39.08	0.0	0.0	0.0	0.0	3.05	1.62	2.38
Pou3f2	381.79	179.06	139.0	138.98	115.11	0.52	2.07	88.43	49.54	0.27	116.48	104.73	115.27	203.01	15.04	40.78	28.69	92.39	6.95	182.92	0.14	0.65	0.0	0.38	16.03	2.97	36.88	0.08	56.91	1.64	15.72	0.48	4.33	15.85	3.78	8.03	66.29	55.0	7.15	0.83	78.04	0.0	297.92	24.68	233.66	6.32	0.42	0.09	0.0	0.84	10.23	4.1	2.0
Ppp1r16b	386.66	483.49	180.69	441.39	372.26	510.05	665.24	368.85	222.41	122.32	252.93	246.13	245.6	309.18	242.03	244.23	469.75	179.75	193.25	183.4	92.04	90.2	77.86	140.76	50.93	161.25	186.36	167.5	97.88	219.42	51.53	180.79	234.3	112.99	293.79	113.78	187.91	230.13	229.68	274.27	219.94	88.88	440.15	237.05	234.07	198.39	122.88	47.86	2.47	101.03	193.5	133.91	190.1
Ptn	253.21	114.85	450.63	334.71	844.14	625.57	594.41	396.25	351.98	506.18	655.98	306.28	703.09	378.17	611.14	664.75	554.52	418.16	341.3	484.15	0.53	0.18	0.16	0.45	0.62	351.06	245.34	289.98	227.57	254.39	314.46	591.23	388.25	186.08	275.37	169.06	575.5	558.83	525.47	1052.35	727.7	0.87	683.78	553.97	790.2	438.19	0.26	30.75	0.04	36.96	8.53	11.88	21.3
R3hdm1	295.66	303.34	324.74	540.89	499.0	713.04	383.03	239.95	608.94	494.33	732.3	309.97	364.88	606.59	947.76	744.49	367.46	343.72	206.9	606.66	117.57	757.75	185.93	343.62	87.09	270.52	651.45	167.96	371.06	316.47	147.09	47.21	293.53	390.24	297.27	301.26	154.92	273.48	559.78	343.87	759.27	55.02	902.86	728.98	356.48	519.21	267.01	81.11	38.08	157.64	162.86	152.21	147.65
Rdh1	58.99	52.71	30.49	55.34	39.24	59.35	84.15	37.45	55.63	43.89	54.69	46.0	62.28	55.78	40.13	37.8	18.62	26.35	39.18	40.05	32.93	36.96	12.06	17.09	26.31	23.92	52.3	29.06	32.5	23.18	39.81	7.27	64.8	54.21	44.36	45.22	28.2	54.52	42.0	52.25	56.82	37.33	83.67	56.02	41.14	34.51	23.32	36.57	18.95	32.14	21.31	18.21	18.04
Rgs4	4301.63	3228.45	3554.62	4793.66	4051.91	4056.28	3726.59	2234.69	2452.58	3187.17	4839.36	4315.87	3419.59	3662.03	4053.59	4595.67	3267.12	1843.21	4380.67	2492.13	1171.01	1083.24	95.73	708.42	718.52	1858.3	2897.65	693.91	3788.71	912.31	512.55	667.47	360.43	280.45	870.33	3698.23	3145.3	4166.93	5219.32	5037.98	3830.02	584.24	3013.54	3790.19	3309.04	4015.64	962.29	0.0	0.31	303.98	551.79	516.4	518.01
Rorb	228.92	323.2	266.13	401.89	378.59	530.67	407.8	80.33	236.19	273.55	101.36	396.8	309.44	291.77	321.07	336.52	250.29	202.21	165.47	180.46	0.11	0.0	0.0	0.0	0.0	88.69	236.51	129.21	168.13	91.93	121.23	170.29	198.44	488.95	153.12	0.1	222.39	337.23	461.7	235.28	230.78	0.0	606.97	687.5	335.67	723.5	0.0	30.17	0.03	1.46	0.37	0.97	0.5
Slc30a3	155.91	169.76	0.05	13.78	0.0	59.77	23.72	104.06	241.01	173.64	143.52	159.95	261.8	171.8	49.6	52.87	136.58	248.17	344.68	118.59	0.08	0.0	0.0	0.0	0.0	3.49	123.63	0.15	232.83	71.35	1.93	92.65	49.88	96.92	56.58	37.04	239.38	284.48	148.31	25.5	68.08	0.0	261.0	142.37	248.22	375.63	0.0	0.14	0.91	0.0	0.0	0.0	0.0
Snap25	26182.83	20388.22	19986.44	24880.43	23752.44	21540.55	25194.29	21404.94	22198.58	20475.86	24000.2	21827.11	22188.29	20741.69	24648.02	21855.18	22891.51	21740.03	21362.22	21459.53	20760.73	21685.06	21261.82	18548.27	23051.34	22470.57	21096.18	21046.1	21550.85	21435.37	20362.31	19790.53	22845.02	21696.22	20120.09	22039.64	21226.95	25542.47	21954.45	22725.47	19177.26	20576.26	21394.04	19363.42	20672.41	19978.93	17192.71	19121.69	21043.71	17485.78	20846.74	19146.26	18964.09
Spcs3	1674.36	152.25	1385.9	867.11	1124.92	576.18	958.41	1126.85	605.15	406.76	696.49	706.96	1567.01	688.96	900.55	1416.05	926.37	422.96	497.5	416.95	234.78	405.41	134.52	505.69	555.93	393.41	400.71	158.51	422.84	111.14	410.8	264.19	159.48	557.13	373.1	487.55	589.64	646.03	454.77	650.1	1145.88	601.07	1192.56	514.6	1319.34	849.44	222.06	472.51	119.34	277.98	406.88	215.0	233.47
