	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_4	Cux2_tdTpositive_cell_98	Cux2_tdTnegative_cell_5	Ndnf_tdTpositive_cell_8	Ndnf_tdTpositive_cell_11	Ndnf_tdTpositive_cell_20	Ndnf_tdTnegative_cell_7	Ndnf_tdTnegative_cell_10	Ndnf_tdTnegative_cell_11	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_22	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_18	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101
Cdc23	0.0	51.79	18.38	0.0	182.3	0.0	0.0	0.0	0.0	191.87	0.0	0.0	70.67	12.78	25.49	0.03	0.08	66.1	0.09	21.48	44.89	71.36	28.27	32.37	0.0	54.86	96.95	0.0	28.44	32.54	24.7	37.92	0.0	90.56	61.48	27.83	58.42	34.3	36.61	0.0	0.3	0.0	0.46	0.14	0.0	0.0	0.0	0.0	47.1	34.12	20.08	14.37	28.08	39.16
Cend1	165.04	324.55	468.72	0.0	396.4	0.28	0.0	0.0	0.0	0.0	0.0	0.0	428.08	399.04	234.06	195.6	284.03	208.67	218.78	523.52	340.49	423.24	321.65	467.44	311.35	311.29	319.14	332.65	276.76	249.68	211.88	70.18	253.29	271.71	261.2	296.62	311.57	173.14	622.58	375.43	197.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	479.59	407.04	116.68	370.39	251.37	397.18
Clec2l	1.37	0.98	0.0	0.0	66.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.31	0.0	0.34	0.0	53.48	0.16	0.0	32.52	12.98	1.38	34.11	0.63	0.31	0.0	0.0	0.0	3.91	0.17	0.0	83.39	0.0	0.0	0.0	0.0	0.0	0.56	0.33	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.42	31.87	0.0	0.0
Cpne5	66.48	27.84	24.46	0.0	182.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57	0.0	14.54	52.92	20.58	45.56	0.0	13.7	54.47	0.0	0.0	1.3	15.15	30.77	102.86	0.0	26.51	5.64	19.72	26.33	0.0	3.94	0.0	10.42	2.99	0.0	14.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.26	0.0	55.88	0.35	154.06
D10Wsu52e	388.46	471.72	202.05	0.0	606.38	0.0	0.0	1065.46	1257.14	0.0	234.45	0.19	350.26	342.28	71.89	303.2	330.81	111.98	270.02	355.44	569.4	251.44	475.64	274.41	342.43	246.39	386.32	320.7	283.85	185.8	256.62	166.75	124.07	510.77	292.98	382.14	415.11	74.44	333.09	428.89	236.76	0.0	1.64	0.0	22.89	0.0	0.0	0.0	323.33	406.51	256.16	133.45	376.9	265.39
D630045J12Rik	6.93	17.1	22.48	0.05	79.11	0.0	0.0	0.05	0.0	0.18	0.07	0.0	17.27	10.94	13.04	3.44	14.97	0.04	0.02	0.04	0.89	15.42	10.93	13.69	10.82	0.02	0.04	0.68	14.15	11.32	11.45	14.88	0.06	33.13	26.64	17.15	25.33	0.04	6.08	27.59	0.0	0.0	0.47	0.12	0.0	0.0	0.0	0.0	0.09	0.03	0.05	2.85	0.13	14.41
Ddx1	89.15	170.32	116.42	0.0	646.84	0.0	0.0	0.0	0.0	0.0	0.38	1368.44	333.36	164.03	190.83	81.01	152.52	240.64	93.01	215.85	97.02	229.24	142.35	332.92	174.36	353.3	233.8	240.76	113.14	189.63	156.15	54.16	8.21	161.49	214.64	123.98	265.23	207.82	250.39	94.25	105.39	0.0	1.57	0.0	0.0	0.0	0.0	0.0	122.7	215.98	377.57	82.73	229.96	32.39
Dgkg	104.57	71.53	50.16	0.0	130.25	0.0	0.0	0.0	0.0	0.0	0.0	0.07	83.53	88.98	98.09	5.69	88.01	115.97	62.68	137.71	74.05	178.53	69.92	166.61	101.66	60.86	64.78	88.81	98.77	76.82	60.97	50.81	62.18	10.41	58.39	107.12	39.33	51.19	100.67	71.87	41.98	0.0	0.56	0.11	0.09	0.0	0.0	0.0	103.68	28.27	36.51	27.9	64.07	100.46
Dis3l	0.0	0.19	19.24	0.0	160.15	0.0	0.0	0.0	0.0	2.64	0.0	1.07	1.24	0.48	1.07	0.32	4.24	0.12	9.46	11.38	0.35	0.16	0.13	0.12	0.0	0.62	6.22	59.41	0.09	11.6	0.15	0.0	55.4	0.24	0.06	0.16	0.17	0.08	0.36	0.13	2.34	0.76	2.04	0.17	2.1	1.46	1.56	0.0	2.79	0.13	0.23	14.33	0.0	15.84
Dnm1	22.71	32.91	8.22	0.0	170.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.97	13.5	18.81	0.03	0.57	32.34	29.95	22.74	15.88	2.61	9.78	8.72	17.51	1.36	36.06	21.22	22.97	0.76	16.44	28.7	0.37	5.09	16.71	9.78	1.46	0.72	6.65	19.87	20.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.55	0.3	8.02	9.23	31.16	47.77
