	Calb2_tdTpositive_cell_1	Calb2_tdTpositive_cell_24	Calb2_tdTpositive_cell_31	Calb2_tdTpositive_cell_43	Cux2_tdTpositive_cell_96	Cux2_tdTpositive_cell_109	Cux2_tdTpositive_cell_111	Cux2_tdTpositive_cell_120	Cux2_tdTnegative_cell_14	Gad2_tdTpositive_cell_13	Gad2_tdTpositive_cell_32	Gad2_tdTpositive_cell_38	Gad2_tdTpositive_cell_52	Gad2_tdTpositive_cell_71	Htr3a_tdTpositive_cell_55	Htr3a_tdTpositive_cell_71	Nkx2.1_tdTpositive_cell_15	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_10	Pvalb_tdTpositive_cell_16	Pvalb_tdTpositive_cell_18	Pvalb_tdTpositive_cell_20	Pvalb_tdTpositive_cell_23	Pvalb_tdTpositive_cell_24	Pvalb_tdTpositive_cell_29	Pvalb_tdTpositive_cell_30	Pvalb_tdTpositive_cell_32	Pvalb_tdTpositive_cell_48	Pvalb_tdTpositive_cell_53	Pvalb_tdTpositive_cell_62	PvalbD.Slc32a1_tdTpositive_cell_36	PvalbD.Slc32a1_tdTpositive_cell_43	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_19	PvalbF.Gad2_tdTpositive_cell_44	PvalbF.Gad2_tdTpositive_cell_45	PvalbF.Gad2_tdTpositive_cell_46	PvalbF.Gad2_tdTpositive_cell_47	PvalbF.Gad2_tdTpositive_cell_53	PvalbF.Gad2_tdTpositive_cell_57	PvalbF.Gad2_tdTpositive_cell_59	PvalbF.Gad2_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_74	PvalbF.Gad2_tdTpositive_cell_82	PvalbF.Gad2_tdTpositive_cell_86	Scnn1a.Tg3_tdTpositive_cell_8	Scnn1a.Tg3_tdTpositive_cell_15	Scnn1a.Tg3_tdTpositive_cell_92	Slc17a6_tdTpositive_cell_15	Slc17a6_tdTpositive_cell_22	Slc17a6_tdTpositive_cell_31	Slc17a6_tdTpositive_cell_33	Slc17a6_tdTpositive_cell_42	Sst_tdTpositive_cell_49	Sst_tdTpositive_cell_56	Sst_tdTpositive_cell_70	Vip_tdTpositive_cell_19	Vip_tdTpositive_cell_45	Vip_tdTpositive_cell_50	Vip_tdTpositive_cell_51
Chchd2	1144.06	185.91	172.33	563.48	806.44	631.96	198.76	545.82	763.76	1047.69	981.29	1125.49	50.4	247.61	627.51	1142.57	711.09	375.65	126.03	396.39	598.7	391.2	324.5	293.51	857.0	747.92	630.83	536.4	635.15	250.53	716.59	521.81	533.59	580.56	686.81	482.03	709.76	831.07	835.43	905.99	851.43	964.1	750.66	379.06	477.57	707.39	42.26	27.02	295.09	268.77	664.1	452.65	672.51	831.95	126.66	713.87	460.01	384.88	301.84	51.72	44.42
Cisd1	399.99	304.3	335.89	206.44	563.71	505.99	248.11	341.73	484.86	559.89	149.69	1079.91	219.43	177.53	245.41	0.45	603.74	415.5	113.25	476.89	428.83	286.26	275.85	433.26	392.68	495.79	669.27	352.73	549.04	413.37	386.99	430.8	374.56	534.37	490.91	397.67	725.88	607.0	453.93	637.13	677.08	494.77	554.65	91.85	466.93	694.26	27.04	66.34	316.38	581.88	288.34	488.7	448.52	207.41	314.09	738.13	562.62	212.79	174.59	138.43	161.45
Cntnap1	0.06	4.87	0.0	0.99	4.74	0.0	0.0	0.06	0.73	2.77	6.11	0.0	0.0	14.46	0.25	0.0	10.52	3.83	0.32	1.54	4.07	13.56	17.99	13.94	2.13	16.23	10.52	12.26	10.88	10.83	14.31	11.25	0.04	0.37	22.03	0.1	19.87	6.73	11.32	4.92	35.05	13.06	5.67	8.23	19.25	19.57	18.52	0.0	0.3	0.14	0.0	0.0	0.0	0.12	16.02	29.55	13.66	0.0	0.1	0.36	3.91
Cox6a1	1264.64	560.51	324.81	818.59	1081.76	639.38	883.39	834.42	856.0	1269.26	0.0	1004.6	483.89	1736.55	475.19	510.77	943.82	1600.12	962.98	1488.36	1597.53	1309.37	1007.34	1362.44	1549.33	2188.43	1506.47	1596.97	1017.81	2034.37	2322.33	1472.74	1891.52	1654.57	2160.92	1063.24	1206.22	1568.89	1260.06	1539.08	1380.92	1281.44	1590.99	910.77	1616.61	1055.16	1124.42	134.37	1154.7	1101.18	819.43	1239.41	1017.09	685.05	813.97	1474.38	1704.46	270.76	203.02	863.42	742.81
Cox8a	480.24	204.79	923.19	967.44	911.06	874.81	802.3	942.21	502.42	473.9	808.42	735.41	270.68	640.64	528.43	395.24	414.54	648.33	264.56	939.8	838.89	467.18	309.08	520.56	921.68	906.79	789.38	683.47	355.79	521.98	739.48	731.5	770.9	1188.06	874.36	743.26	1324.28	1217.48	969.53	1468.2	941.66	1134.91	910.23	1107.1	630.42	958.62	668.17	358.3	992.08	697.42	594.57	1035.86	831.31	699.69	322.86	695.72	819.63	677.55	656.31	296.61	381.26
Cs	370.48	0.0	0.0	158.63	0.27	307.31	188.96	203.4	244.48	101.48	0.0	0.34	384.92	319.58	186.26	0.3	0.15	249.89	205.92	190.18	231.21	232.96	143.81	157.58	417.01	261.51	247.63	333.26	430.36	65.9	343.8	302.6	647.78	299.28	370.86	205.66	174.1	237.41	381.39	349.06	267.59	395.82	319.23	204.22	388.31	157.0	182.38	0.0	1.5	122.03	233.31	481.08	314.21	503.22	455.9	210.64	565.56	25.4	0.0	183.47	0.16
Dfna5	187.76	0.0	0.0	0.0	0.36	0.0	0.0	0.0	0.0	158.22	0.0	0.0	0.0	114.96	0.0	0.0	0.0	22.9	2.15	120.33	134.56	5.73	213.9	175.69	0.0	0.0	0.0	21.66	196.07	120.1	7.78	48.52	84.1	0.0	2.78	0.25	0.0	0.2	110.53	0.0	0.55	0.0	119.5	0.0	80.1	211.92	0.0	0.0	0.23	0.0	97.12	84.57	0.0	0.0	168.85	65.09	0.76	0.0	158.24	0.46	249.9
Dlat	0.0	0.0	108.96	21.31	0.0	0.0	0.0	5.73	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.1	5.97	1.46	60.13	1.12	32.13	30.56	1.13	4.43	2.6	30.0	34.04	24.56	41.68	7.69	96.31	18.7	19.37	28.8	13.79	15.2	20.62	70.71	21.6	11.98	101.96	1.65	10.04	26.93	12.73	100.18	3.36	6.5	0.44	18.5	0.0	0.31	0.0	0.0	4.04	35.42	36.51	0.0	4.2	0.0	0.0
Dld	776.56	0.0	216.39	81.64	430.33	182.02	200.24	161.36	278.32	168.46	461.41	190.23	204.97	358.84	143.07	0.19	549.64	311.42	369.39	86.13	471.21	804.96	270.62	298.98	251.12	597.08	442.82	553.35	579.05	209.05	471.97	667.56	381.3	349.18	325.81	417.73	446.11	166.08	115.7	621.34	287.86	259.32	567.58	343.62	212.78	389.91	283.68	140.03	147.49	229.87	408.76	430.22	364.57	482.6	365.55	326.71	310.72	448.44	505.13	1.3	171.55
Efr3a	58.98	35.67	0.22	49.14	0.0	42.25	11.49	2.74	26.2	0.0	3.34	0.18	79.83	86.83	0.0	0.0	7.49	128.84	123.1	97.8	106.75	171.28	165.31	5.03	113.89	68.6	48.05	210.75	31.37	133.59	52.88	40.79	33.85	121.89	78.15	40.91	113.57	65.93	30.63	48.67	6.8	249.36	249.84	0.17	25.18	64.67	155.23	220.58	6.81	6.04	0.23	49.71	57.67	4.85	167.0	94.25	18.6	0.1	0.1	51.52	57.27
Elmod1	54.06	36.83	17.5	0.0	19.45	12.4	0.91	21.27	0.0	52.97	99.59	73.39	41.0	50.21	88.53	0.0	16.51	66.05	34.21	4.65	52.49	0.0	38.6	53.79	54.2	52.11	4.92	44.43	131.19	47.98	6.82	31.85	21.98	74.0	20.15	28.59	45.44	33.84	55.38	43.26	62.79	9.66	32.06	24.92	43.24	70.57	0.0	107.28	13.89	11.02	49.62	0.0	28.67	5.22	13.15	102.16	2.47	13.61	27.61	69.57	0.0
Entpd4	0.15	0.0	0.0	3.28	49.84	0.0	0.0	38.76	35.46	0.0	1.11	0.0	0.96	0.0	130.63	0.0	30.94	69.02	50.03	47.75	2.67	15.19	0.0	42.04	0.29	64.86	32.93	36.89	0.0	16.7	0.0	2.53	80.53	45.93	19.08	0.34	66.58	10.97	39.85	28.35	21.14	83.51	31.17	117.09	6.08	35.49	0.0	0.0	4.18	0.0	0.78	0.0	0.0	0.0	0.15	37.49	1.04	0.0	0.0	0.0	0.0
Epdr1	11.9	0.0	0.0	0.0	0.0	0.0	0.0	47.79	0.0	167.4	0.18	0.0	0.0	6.1	12.53	0.0	0.71	58.04	134.96	0.0	0.0	74.75	20.47	2.21	58.53	5.57	0.28	7.65	42.39	16.72	59.01	2.55	4.1	60.1	46.28	9.31	6.05	26.43	23.51	4.27	109.21	0.0	27.6	79.72	93.62	98.82	0.0	0.0	0.21	0.0	0.0	23.7	44.69	0.0	53.17	74.23	55.66	0.0	0.0	0.0	0.0
Fam155a	5.94	0.0	21.77	0.0	0.0	0.0	59.46	2.52	34.41	52.75	0.0	0.0	46.65	9.63	0.43	240.56	0.27	29.35	61.45	32.42	0.0	21.58	0.0	19.83	29.66	41.86	52.43	0.0	0.0	10.75	44.76	22.4	0.07	2.86	5.1	37.35	71.92	20.93	49.46	26.61	14.08	41.7	58.37	0.14	87.01	46.21	29.14	0.0	78.49	0.0	4.19	0.0	62.81	0.0	0.15	30.28	32.28	110.94	3.12	0.0	9.93
Fam164a	0.54	0.0	204.47	0.0	57.3	76.05	53.06	178.65	174.24	0.0	200.16	98.13	0.0	73.66	140.34	0.12	0.0	63.14	72.9	23.55	80.8	118.2	46.64	0.0	0.0	203.33	187.65	121.79	45.16	80.51	209.07	175.35	191.92	229.38	54.59	122.29	92.03	139.41	39.3	210.37	85.98	88.61	110.77	0.0	65.93	153.48	1.22	229.02	125.67	171.3	333.44	153.01	115.56	79.1	0.0	62.51	110.19	232.96	0.0	0.14	0.68
Fam19a2	223.29	3.39	0.0	68.74	0.0	0.0	0.0	22.0	9.17	0.0	4.0	0.0	0.0	145.36	168.5	0.1	238.7	55.39	62.23	129.06	91.24	44.7	162.54	89.32	123.08	115.95	187.84	18.18	89.25	155.03	128.92	77.39	81.44	64.07	45.3	43.93	246.64	79.62	91.61	182.22	175.96	107.3	110.55	154.53	1.91	88.51	62.59	76.34	145.85	0.0	0.0	11.23	6.89	33.47	0.0	1.98	0.0	0.0	51.28	0.12	0.0
Fam43a	17.86	0.0	0.0	0.0	0.0	0.0	0.0	0.02	17.19	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	11.35	7.59	0.0	57.36	9.26	0.0	19.15	0.0	4.75	0.0	0.0	11.54	9.07	5.96	3.99	0.0	8.43	4.79	0.0	4.59	0.0	5.4	8.93	8.13	6.19	0.0	9.02	7.1	0.0	0.0	0.0	0.0	6.29	0.0	0.0	0.0	0.0	0.0	6.65	0.52	0.0	0.0	0.0	0.0
Fam73b	51.83	1.87	0.0	0.0	0.0	0.21	16.95	0.03	0.0	0.0	0.0	0.0	0.0	0.0	56.72	0.0	59.78	30.92	0.0	0.22	33.6	0.89	0.0	0.29	14.22	18.06	38.87	0.7	0.16	0.29	0.0	0.0	44.96	0.0	31.3	38.73	19.97	30.55	0.11	2.25	64.09	73.8	35.62	0.13	0.0	45.13	0.0	0.0	97.42	1.14	35.2	0.56	8.05	0.0	0.0	4.07	27.72	0.0	0.0	0.0	0.0
Fbxo44	0.79	284.18	0.0	389.69	106.91	207.52	0.0	0.09	13.79	262.08	86.13	39.75	532.26	0.0	17.51	0.0	231.63	241.35	85.58	0.0	62.49	179.09	81.92	196.85	292.08	118.96	238.39	170.25	0.34	358.93	1.81	342.2	0.14	447.82	53.19	123.19	218.73	158.09	169.98	428.6	145.57	24.27	229.74	246.11	91.94	271.24	0.0	174.97	17.03	0.0	28.12	119.99	31.03	21.56	285.89	72.42	157.34	0.0	302.13	0.0	0.6
Fosl1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.6	0.0	0.0	0.0	66.13	31.76	0.0	0.0	0.0	0.0	0.0	65.49	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gabrd	0.65	5.26	0.0	0.0	0.41	166.25	170.78	174.0	176.33	448.77	0.0	0.0	0.0	10.64	0.0	0.23	89.15	48.98	134.96	89.91	231.38	115.49	158.73	182.46	99.96	107.76	454.92	169.38	120.4	27.05	1.51	145.36	435.41	218.48	355.53	7.09	84.24	219.84	297.19	199.39	400.82	387.9	167.5	188.01	247.89	159.34	0.17	0.0	0.09	0.42	89.38	15.66	196.08	133.59	0.0	379.28	220.72	0.0	0.0	0.0	0.0
