	Calb2_tdTpositive_cell_9	Calb2_tdTpositive_cell_10	Chrna2_tdTpositive_cell_51	Cux2_tdTpositive_cell_9	Cux2_tdTpositive_cell_15	Cux2_tdTpositive_cell_50	Cux2_tdTpositive_cell_54	Cux2_tdTpositive_cell_57	Cux2_tdTpositive_cell_59	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_78	Cux2_tdTpositive_cell_96	Cux2_tdTpositive_cell_101	Cux2_tdTpositive_cell_120	Gad2_tdTpositive_cell_50	Gad2_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_36	Nr5a1_tdTpositive_cell_44	Nr5a1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_6	Ntsr1_tdTpositive_cell_12	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_29	Ntsr1_tdTpositive_cell_31	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_57	Ntsr1_tdTpositive_cell_58	Ntsr1_tdTpositive_cell_75	Rbp4_tdTpositive_cell_54	Rbp4_tdTpositive_cell_127	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_182	Rbp4_tdTpositive_cell_183	Rbp4_tdTpositive_cell_189	Scnn1a.Tg3_tdTpositive_cell_9	Scnn1a.Tg3_tdTpositive_cell_54	Scnn1a.Tg3_tdTpositive_cell_105	Slc17a6_tdTpositive_cell_2	Slc17a6_tdTpositive_cell_11	Slc17a6_tdTpositive_cell_22	Slc17a6_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_30	Slc17a6_tdTpositive_cell_31	Slc17a6_tdTpositive_cell_38	Slc17a6_tdTpositive_cell_46	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_21	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_35	CAV_LP_Ipsi_tdTpos_cell_36	CAV_LP_Ipsi_tdTpos_cell_37	CAV_LP_Ipsi_tdTpos_cell_39	CAV_LP_Ipsi_tdTpos_cell_41	CAV_LP_Ipsi_tdTpos_cell_42
Cox7a2	419.45	503.38	933.28	498.38	687.67	435.93	402.9	459.43	519.76	620.11	309.54	928.63	638.09	495.07	479.85	285.91	511.17	557.23	812.43	280.67	582.66	473.96	761.66	244.36	694.68	855.25	425.52	1111.41	684.87	603.48	713.47	715.72	702.9	435.37	802.71	954.87	1044.42	897.37	1113.38	1101.78	1316.54	1179.44	1273.09	1270.53	424.36	512.14	955.79	658.17	836.07	755.9	833.96	501.33	727.89	775.91	759.51	757.08	873.3	609.89	704.77	604.54	364.08	1084.74	943.06	1229.03	984.69	1411.28	867.03	2086.6	696.59	694.74	768.01	681.66	559.53	690.17	802.49
Cox7b	667.78	623.61	643.64	172.35	442.37	498.35	366.17	484.46	447.61	203.02	560.64	362.77	273.5	454.43	657.64	417.65	251.45	965.92	367.55	760.03	272.05	512.71	638.15	482.1	535.12	575.16	450.04	532.85	410.0	444.01	333.06	570.53	430.27	128.26	881.13	932.89	916.26	1018.46	916.31	1029.95	1034.11	843.01	847.14	809.02	275.45	383.85	500.32	567.25	632.41	365.24	693.53	702.22	289.27	284.34	667.08	735.62	686.28	495.95	534.74	508.23	248.95	390.6	1478.17	896.56	1050.21	578.75	1079.88	1737.03	584.82	616.54	570.17	545.23	350.47	761.66	648.54
Dad1	505.22	489.79	1050.09	420.46	753.24	244.24	244.86	555.66	589.72	768.11	471.78	841.45	446.85	734.0	771.31	449.39	196.61	206.96	217.14	427.85	733.14	627.45	978.85	291.15	660.05	426.63	1103.71	884.84	675.73	1508.97	1064.27	488.16	984.56	208.96	983.05	564.04	961.22	824.93	879.01	845.23	673.01	864.67	974.33	986.29	655.09	145.66	1035.71	604.16	820.23	1070.88	358.22	1130.76	357.93	185.25	302.61	693.37	713.37	577.01	762.84	718.99	379.13	797.32	558.7	1077.04	613.93	696.64	1099.01	975.07	783.92	452.69	766.05	877.83	635.02	560.95	981.73
Dpy30	472.26	226.13	203.77	0.0	87.07	122.48	104.86	149.6	104.41	0.0	271.85	0.0	266.96	84.54	161.49	160.58	202.91	127.25	468.84	314.22	103.85	148.28	322.05	179.08	68.78	171.8	222.96	297.54	199.57	296.41	513.34	155.93	189.63	391.15	252.93	267.19	367.28	257.71	328.72	519.94	271.96	125.65	135.83	157.63	243.46	327.74	190.83	160.19	135.71	104.64	330.63	219.07	200.53	0.0	331.62	217.54	292.97	259.46	226.48	225.12	175.73	546.35	257.23	196.98	251.98	452.0	290.89	865.9	0.0	404.56	315.73	430.98	301.73	201.65	110.89
Dynlrb1	543.05	592.11	2549.26	1081.6	850.5	600.45	420.94	696.53	416.91	1122.69	949.79	502.18	1276.01	944.41	597.94	1116.45	593.92	1656.62	1064.54	1275.38	993.56	1487.93	1750.9	1322.51	1367.69	925.94	397.61	1418.8	1269.93	1189.46	1096.72	189.18	1305.65	872.53	1214.23	1079.22	1510.46	1631.4	1721.35	1959.77	1589.35	1417.44	2041.75	1369.56	693.49	1065.55	1190.85	1146.34	1018.2	1041.09	1169.92	1375.59	993.88	1087.04	684.46	1271.07	1229.98	1065.32	1084.38	983.1	423.21	2230.13	2763.58	1451.0	2248.34	942.32	2742.1	1985.54	1572.46	762.12	1836.25	915.06	1136.3	980.05	950.42
Eif3k	344.3	472.19	1147.73	145.85	680.69	121.45	288.43	315.1	391.67	115.88	587.71	675.66	741.24	517.66	351.96	588.3	398.28	534.41	336.35	425.85	403.52	552.45	318.89	194.46	118.12	469.34	6.97	566.65	1445.21	217.36	637.15	410.89	606.6	168.85	893.92	599.27	485.78	534.41	512.56	857.84	631.11	786.99	811.48	734.26	505.59	233.73	342.62	387.91	536.93	706.16	121.69	621.55	488.96	141.98	649.45	539.42	619.61	348.36	431.77	455.7	564.76	291.78	526.75	594.48	348.23	250.91	1137.81	531.88	810.32	612.72	268.59	148.23	528.59	72.79	301.28
Fabp3	753.92	934.48	632.58	940.24	560.57	486.34	473.8	328.31	889.05	812.6	510.64	324.84	352.53	567.74	618.17	340.46	387.5	771.04	798.64	313.06	524.04	751.24	423.34	778.63	833.26	493.02	117.78	743.28	802.04	705.24	1110.7	379.78	661.1	704.86	600.41	786.18	273.54	952.0	575.37	606.87	849.14	1074.79	1342.05	992.73	838.58	296.86	1389.57	425.5	254.97	191.91	378.45	1040.21	438.75	366.67	895.73	702.3	692.5	497.46	520.57	525.42	559.22	1743.89	1748.53	1065.4	668.66	179.37	1152.98	1077.97	430.34	432.85	400.2	807.58	536.35	599.3	180.13
Gabarapl2	547.01	821.02	878.9	215.87	866.6	532.73	920.09	477.45	1036.42	773.76	782.02	968.85	635.48	405.68	724.43	1016.04	928.06	302.88	1172.87	850.57	482.24	1105.26	465.91	1004.74	661.85	783.34	610.38	672.39	779.33	351.0	874.93	515.7	694.75	484.69	1288.09	1001.73	1407.57	1191.32	876.66	951.92	1142.07	1274.16	1407.61	1353.01	1090.39	1043.51	826.53	735.73	521.1	856.7	534.42	778.73	711.38	593.24	309.61	1026.77	1062.7	999.03	886.36	949.07	788.84	1761.05	1562.82	1229.37	1074.05	855.71	620.98	1274.07	916.43	659.96	593.82	600.39	710.77	1028.63	1079.19
Gng3	890.52	587.73	1174.97	510.13	542.16	511.95	726.04	747.47	655.29	651.72	759.31	354.67	475.99	471.44	454.79	446.73	502.24	1746.86	964.83	886.43	839.71	466.69	562.21	532.16	708.14	435.55	577.57	1440.03	1480.92	638.12	1170.04	357.45	921.17	472.89	912.63	636.35	1239.86	1102.49	975.18	841.84	849.7	885.05	1218.64	1059.2	621.71	387.34	793.19	536.8	333.75	349.11	394.08	663.23	624.86	802.73	1023.3	917.96	684.22	509.42	663.92	636.66	419.07	1457.83	2011.91	1106.57	1185.31	1429.14	1365.08	1153.21	1178.72	736.42	682.0	652.07	847.64	1016.77	742.44
Lsm7	477.79	188.06	929.2	581.16	264.58	416.99	375.72	497.53	199.34	682.46	242.74	914.5	195.85	325.51	291.39	304.29	230.43	667.08	351.91	444.93	415.92	705.29	308.77	287.68	319.2	407.99	166.07	478.36	472.73	471.61	201.85	661.56	363.12	337.77	756.6	497.88	860.76	699.54	548.19	887.39	995.94	657.94	382.62	611.93	561.07	273.06	393.97	669.32	335.8	263.9	376.19	386.76	405.03	433.94	319.9	476.19	477.47	424.03	490.8	441.63	609.28	592.22	880.71	484.87	332.14	173.71	795.09	1134.21	678.92	497.18	545.5	451.52	398.29	398.96	497.04
Mgst3	425.73	763.67	1504.2	441.19	497.01	645.79	632.85	338.73	0.0	639.45	301.89	601.54	601.54	451.54	220.07	557.96	539.71	1436.95	1813.48	134.52	1003.66	841.57	885.87	738.85	484.89	354.05	238.24	2185.81	1471.2	1722.12	1304.02	511.9	871.0	716.54	1214.57	781.72	1210.93	1341.74	1228.47	1629.34	1394.18	1219.5	1236.38	1576.27	566.54	594.75	851.29	163.78	534.97	272.03	588.98	773.05	816.42	465.32	621.27	1022.03	959.83	806.9	904.28	932.16	446.18	552.38	1510.05	2175.37	1432.37	1753.02	2162.3	2513.32	1786.8	1345.67	1161.98	1002.28	987.05	1600.83	282.21
Mrps18c	464.33	553.72	342.97	253.52	322.78	197.76	91.81	643.5	124.37	377.77	272.2	335.84	82.05	371.99	13.62	203.68	400.88	363.56	570.33	319.68	448.44	211.79	611.58	324.67	606.35	506.6	418.83	513.86	1128.05	201.03	643.82	455.13	249.48	202.72	290.56	219.09	626.45	508.66	438.83	1049.58	806.47	1009.63	295.42	404.27	125.34	16.03	373.16	119.59	348.19	294.0	749.85	931.07	305.65	210.17	339.48	270.52	337.87	349.2	363.8	383.34	778.1	645.93	996.3	884.18	832.38	653.19	954.22	1441.18	534.34	308.11	453.4	150.63	132.23	403.35	340.4
Mrps33	408.71	301.02	240.54	244.27	440.0	277.67	161.61	631.75	590.74	633.11	592.46	355.4	225.61	526.43	447.08	520.63	473.15	545.78	613.13	270.42	268.14	293.28	186.49	635.45	480.53	615.5	332.87	152.36	588.29	523.29	77.88	478.25	559.29	472.41	722.81	639.9	682.36	947.78	791.99	849.83	884.88	482.66	422.12	596.18	329.23	249.31	1137.01	568.61	443.13	139.53	545.76	304.04	518.82	289.57	329.78	492.31	549.67	537.9	545.57	478.87	177.2	833.74	163.49	933.16	577.5	943.53	1297.84	644.0	654.99	676.15	645.16	729.01	393.15	131.7	327.6
Myeov2	346.01	757.74	683.68	608.07	275.87	245.86	146.69	308.86	0.0	654.66	372.25	511.82	234.8	374.99	376.12	490.62	268.99	428.83	460.85	259.83	604.48	223.53	240.76	494.65	623.63	167.48	199.25	342.9	611.55	254.81	551.25	493.36	429.44	404.82	573.31	402.95	465.11	696.79	683.53	653.38	627.17	331.72	912.15	743.66	128.38	542.15	628.36	627.73	597.73	726.31	870.47	90.78	366.46	216.5	344.04	452.78	567.04	352.63	432.26	359.89	99.25	189.15	265.48	1072.71	1282.8	1369.85	420.59	631.62	268.96	459.81	351.9	449.48	345.28	232.94	104.5
Ndufa2	467.46	182.02	795.64	230.52	352.95	415.9	269.81	641.04	230.83	362.41	280.75	786.87	495.63	290.36	115.57	335.73	535.31	680.58	882.74	172.5	833.21	436.54	534.67	576.14	410.36	578.4	224.27	1554.67	793.75	997.87	491.85	209.82	470.91	288.07	972.46	459.4	562.0	562.15	701.46	566.49	591.24	529.74	654.65	931.71	348.75	455.36	112.23	398.26	209.98	535.53	438.94	530.57	246.04	438.14	357.92	545.42	574.3	398.8	474.46	478.2	374.57	974.51	664.7	944.03	625.43	357.31	1056.94	505.33	364.37	293.27	364.72	544.25	360.12	631.22	513.68
Ndufa5	1235.78	632.55	1192.79	468.44	538.05	279.24	465.13	662.76	370.93	905.41	1093.2	688.69	208.95	329.21	510.49	553.32	533.22	955.35	941.19	400.65	1003.48	578.22	1803.26	1418.79	774.13	669.08	800.61	1815.81	1305.89	987.42	1207.06	763.26	618.67	1045.44	1117.2	1007.0	1785.8	898.36	1102.34	1061.96	1449.25	879.0	1044.07	909.32	365.88	652.36	654.13	906.7	1142.33	604.37	992.51	1202.24	441.76	718.01	895.23	1128.6	1350.77	874.3	1009.44	942.46	1005.32	1648.62	2394.39	2360.52	1333.21	1447.53	1200.58	1550.88	661.62	565.14	1086.59	804.2	1191.22	1191.69	1428.72
Ndufa7	774.59	381.84	716.63	572.43	676.81	645.43	436.83	167.73	580.37	595.81	749.27	215.87	592.68	845.39	422.63	443.43	937.25	724.75	928.02	583.19	619.88	508.02	1236.07	344.5	726.09	545.42	212.94	1426.45	1124.79	1591.0	1260.48	672.86	1236.54	499.1	1154.14	699.39	1116.86	1424.34	1168.41	1643.41	1254.25	712.68	655.94	1057.64	367.91	509.28	959.31	692.79	960.9	488.17	927.48	1191.88	562.65	322.57	564.42	900.6	798.08	708.16	825.41	773.98	1208.5	1279.93	1237.79	1309.77	1266.83	1127.89	794.1	1708.69	334.48	511.53	761.37	840.12	500.62	811.21	619.16
Ndufb11	661.88	241.7	616.0	163.5	103.58	164.83	277.51	740.36	78.71	381.3	225.39	414.46	181.38	129.08	308.91	316.33	382.69	297.06	519.64	129.06	170.65	345.26	730.39	363.78	313.77	507.61	479.98	772.34	574.62	471.91	474.28	556.39	253.01	677.29	725.89	513.79	503.36	725.69	560.36	415.39	593.54	401.7	537.83	515.32	422.11	235.39	255.62	170.98	145.75	255.72	579.7	232.97	392.21	295.06	414.09	394.46	455.59	422.45	457.38	446.21	353.88	456.81	976.37	467.34	428.9	654.11	631.73	400.42	416.24	481.44	388.46	461.44	542.09	432.71	227.8
Ndufb4	915.84	591.11	831.85	336.77	560.39	827.1	756.81	1145.76	639.95	572.8	836.53	411.88	670.27	819.12	717.98	924.96	368.72	1580.98	896.98	1036.62	930.69	887.95	662.03	1165.02	375.85	700.93	824.81	1479.74	2560.66	1285.0	1648.32	1465.85	332.19	831.27	1570.48	940.59	1667.58	1330.53	1341.4	1657.52	1792.36	1487.22	894.48	975.04	360.19	450.38	806.7	1004.6	737.96	657.86	982.1	597.46	1017.04	877.94	1337.88	823.08	1065.63	753.39	880.3	789.24	702.3	1207.99	2485.75	1408.46	1488.7	767.42	1455.36	1954.28	1240.12	730.7	879.26	855.61	1066.63	415.51	594.0
Ndufb5	825.06	702.13	530.69	503.11	218.81	366.49	256.76	459.71	313.69	905.89	341.55	350.98	447.07	385.9	317.96	236.46	338.19	563.45	1020.93	375.43	329.18	432.09	1050.21	501.65	504.22	570.97	897.1	1167.3	1179.03	661.49	575.73	433.09	399.75	684.73	977.19	836.06	720.65	1207.65	717.24	706.07	934.91	716.83	845.17	928.85	395.68	291.19	568.51	366.67	258.96	651.39	624.22	558.27	443.38	429.81	428.74	736.53	722.84	618.63	653.41	632.7	186.64	1159.14	724.69	1069.64	1080.39	816.9	508.43	1404.95	870.58	260.47	367.32	507.15	349.36	819.62	443.31
Ndufc2	361.64	273.16	690.08	314.73	301.43	328.06	463.8	450.7	585.33	449.39	285.31	269.12	233.86	541.09	226.86	411.86	483.47	297.22	629.93	346.93	300.11	758.45	585.14	356.6	589.37	199.53	359.05	626.08	624.89	653.3	615.71	554.87	419.9	528.48	741.62	759.2	777.04	636.72	739.73	902.72	960.64	872.58	524.57	930.46	417.56	434.31	674.11	407.49	504.59	409.6	439.48	521.62	549.18	583.0	382.38	628.43	802.24	467.2	573.77	527.39	539.83	677.93	535.38	937.62	552.4	403.63	587.99	1022.84	409.29	498.29	538.11	641.66	457.47	427.03	611.17
Ndufs4	76.15	65.54	203.99	126.79	173.29	30.9	282.71	137.85	192.38	230.73	146.46	242.36	205.44	207.47	107.99	287.09	132.07	362.08	263.89	195.13	358.66	267.49	55.84	223.9	94.01	317.51	235.98	404.04	261.76	482.5	191.74	134.69	86.41	176.44	224.0	216.4	366.05	278.49	355.1	74.31	697.88	239.76	335.08	303.11	220.84	170.57	453.67	238.81	403.3	287.03	150.23	183.09	265.07	337.45	373.98	254.95	304.94	203.64	232.74	211.14	159.63	467.18	117.77	419.7	238.31	659.98	564.82	468.37	230.01	183.42	235.69	334.85	99.36	252.73	130.66
Ndufs5	151.63	294.38	334.25	385.85	53.18	0.0	71.95	131.02	260.94	236.69	199.14	88.74	148.62	68.22	90.61	231.19	342.93	284.87	300.49	16.59	411.08	62.32	270.51	221.69	67.72	53.5	230.42	168.11	348.56	179.06	231.42	312.37	47.25	458.5	66.81	172.89	185.05	265.17	233.28	190.64	400.16	223.15	228.69	350.34	192.0	247.42	385.17	248.55	75.21	140.98	250.3	659.04	272.75	185.89	460.58	252.47	332.81	116.8	215.64	203.95	83.55	126.32	136.7	216.51	231.86	137.83	785.44	612.37	226.36	143.84	178.78	203.11	28.52	142.26	209.67
Ndufs6	180.33	404.67	1368.61	259.31	799.84	252.18	509.79	568.08	244.59	386.23	311.05	304.96	566.97	442.75	272.32	629.45	836.42	1022.32	762.77	230.17	459.13	394.55	1277.86	283.46	600.05	284.91	605.56	570.68	634.13	797.05	241.34	263.21	645.64	1716.76	856.3	829.68	464.71	566.34	699.03	1378.95	1053.89	565.05	332.06	841.19	500.71	675.74	355.4	614.16	986.35	537.92	1068.47	889.79	500.2	301.45	373.69	672.29	695.24	433.26	544.48	493.5	605.63	461.1	1721.18	437.72	150.39	324.64	1419.87	619.7	335.22	584.22	755.79	420.55	337.98	728.05	494.88
