	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_57	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_7	Ctgf_tdTpositive_cell_8	Cux2_tdTpositive_cell_87	Cux2_tdTnegative_cell_15	Gad2_tdTpositive_cell_8	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_25	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_62	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_67	Gad2_tdTpositive_cell_69	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_1	Htr3a_tdTpositive_cell_10	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_44	Ndnf_tdTpositive_cell_16	Ndnf_tdTpositive_cell_19	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_23	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_45	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_54	Scnn1a.Tg3_tdTnegative_cell_4	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_8	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_65	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30
Add3	5.42	3.5	27.95	0.0	49.43	0.06	0.0	176.67	17.95	0.0	0.0	55.45	0.39	102.12	1.59	200.62	118.45	0.15	28.85	138.64	95.81	26.07	0.0	94.06	70.05	7.62	68.39	96.8	77.37	0.0	0.0	33.93	2.77	0.14	0.0	0.04	0.03	0.02	0.0	22.52	0.0	7.72	0.0	0.0	8.43	0.0	10.66	15.87	21.19	0.28	159.01	165.51	54.28	200.02	45.73	0.0	0.0	25.15	93.77	0.0	0.0	0.0	25.32	23.94	0.0	11.26	0.0	37.79	24.82	0.0	0.0	0.0	25.66	0.0	4.3	0.0	36.77	0.0	4.2	5.35	31.3	0.0
Adnp	23.41	18.41	22.68	49.5	6.35	0.0	0.0	0.0	0.0	0.0	12.35	6.82	67.56	11.65	25.91	65.81	155.45	0.0	350.78	1.25	25.59	159.14	14.14	168.12	36.27	0.0	0.0	34.99	0.0	0.0	9.12	0.0	32.44	8.2	52.41	0.03	0.11	0.08	15.48	12.71	0.56	4.68	28.37	9.0	1.25	5.36	0.0	20.97	0.06	34.89	35.98	42.98	0.0	17.99	26.16	3.32	0.0	28.89	26.87	3.09	30.89	0.38	21.84	1.53	24.38	14.4	0.0	3.04	16.25	19.52	7.18	20.56	0.0	3.14	17.49	114.08	18.0	18.95	0.0	0.0	0.22	155.92
Afap1	15.48	24.7	25.52	0.0	41.93	5.27	0.02	0.0	713.19	0.0	73.32	182.95	199.77	319.39	94.51	161.01	645.57	305.27	170.04	324.66	131.61	247.79	2.22	61.52	260.72	90.41	208.33	142.1	192.31	160.3	58.12	13.01	11.95	0.09	0.42	2.35	28.39	33.9	0.09	25.69	2.62	10.49	20.74	13.18	40.13	53.58	26.61	2.54	2.73	0.0	148.78	266.07	20.38	105.86	130.93	21.23	44.83	12.3	158.64	0.07	0.15	2.55	37.12	21.46	36.35	1.1	0.13	47.53	39.14	0.13	44.99	88.18	14.99	13.61	11.68	229.93	20.6	89.57	3.26	31.28	10.46	81.01
Ankrd50	11.74	0.0	0.0	15.39	0.0	0.16	0.08	0.0	0.1	0.0	0.0	0.0	0.0	4.66	22.74	57.85	0.0	6.81	11.49	85.1	9.64	62.54	0.0	56.96	51.11	1.8	0.34	8.63	14.42	31.46	5.04	0.0	0.07	0.02	0.0	0.0	0.05	0.04	19.71	7.0	0.0	0.11	0.0	2.78	0.16	0.0	0.0	14.28	0.0	33.9	0.0	24.77	0.0	0.0	3.05	1.56	2.27	1.55	0.0	0.0	0.0	0.0	0.0	0.0	33.14	3.28	0.0	22.13	0.0	0.0	0.0	0.0	0.0	0.0	5.56	0.0	0.0	0.0	0.04	0.73	5.18	85.17
Aplp2	271.13	37.41	198.0	123.95	119.14	260.0	6.37	395.77	543.31	0.0	264.74	270.81	192.1	343.23	326.87	1583.39	1559.25	440.53	1756.25	747.58	166.71	1108.1	132.98	511.36	561.85	834.15	487.28	441.02	530.94	266.39	350.82	323.56	271.19	243.71	120.62	223.54	71.38	168.29	151.94	365.57	218.23	289.41	424.38	493.63	233.14	251.68	116.79	398.61	265.67	227.46	253.4	669.93	344.12	126.43	262.83	221.71	121.81	255.84	355.66	139.98	121.58	418.44	104.66	118.54	68.73	100.9	217.37	149.81	394.97	0.0	290.05	259.34	112.53	172.59	438.61	211.55	226.9	170.59	198.74	161.72	253.07	732.51
Arid5a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.22	0.0	0.0	0.3	2.63	143.43	35.05	64.73	12.99	54.93	0.0	23.06	59.61	0.12	0.0	0.0	42.92	0.38	54.5	3.58	33.57	2.72	71.63	0.0	0.0	0.0	0.0	0.0	0.05	0.03	0.02	0.0	0.0	6.87	0.0	0.14	1.29	0.0	0.0	4.62	0.0	0.0	120.52	56.51	0.0	62.8	6.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.04	0.0	0.1	0.03	0.0	0.0	0.0	0.0	17.8	0.0	0.0	0.0	0.0	0.0	15.7	0.08	0.0	0.03	0.0	15.63
Atf4	159.36	59.23	0.8	0.23	0.0	28.24	26.63	74.06	330.58	0.82	163.98	314.74	280.31	437.89	259.42	350.91	310.38	276.73	342.46	210.78	147.17	374.86	0.58	403.09	158.14	0.0	253.37	301.77	262.84	91.64	256.44	24.02	0.0	3.33	2.52	48.34	0.39	114.39	96.67	56.63	81.52	58.58	2.05	20.68	137.01	140.52	37.94	30.97	78.97	64.81	199.17	187.82	16.66	49.74	194.19	4.93	119.99	0.0	0.33	95.31	2.54	73.11	0.33	48.13	54.93	5.45	0.14	104.62	344.84	730.69	149.55	50.72	22.17	100.48	9.21	55.53	40.75	135.23	48.46	48.7	60.87	22.8
Atp1b2	0.0	32.45	0.0	80.28	13.56	0.63	0.27	0.0	25.18	0.16	17.39	16.12	18.36	94.86	162.59	279.93	188.78	116.01	292.97	88.37	77.37	1.27	0.0	240.28	243.85	13.33	32.39	21.57	290.67	50.72	62.57	0.0	0.0	0.11	19.21	0.06	0.0	0.03	0.11	0.0	0.0	0.0	0.0	0.0	48.08	0.0	0.0	0.0	0.19	0.17	72.69	56.97	3.26	0.33	48.06	0.11	0.0	0.0	57.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108.58	0.0	0.29	0.35	0.08	55.26	0.1	1.26	0.0	26.29	3.88	0.0	0.09	89.92
Atxn1	11.83	15.17	4.58	10.96	10.39	21.21	0.0	0.0	81.92	1.8	24.02	14.47	12.26	63.41	77.85	47.7	50.53	48.69	29.29	43.8	39.45	41.1	0.0	73.06	57.73	27.19	81.81	34.12	48.8	14.3	57.19	5.63	5.46	11.34	0.83	0.49	33.86	9.25	1.67	0.7	23.53	7.34	2.12	4.19	34.01	3.29	5.54	9.3	9.13	1.78	18.11	53.79	17.62	49.41	25.65	4.07	9.36	3.86	55.29	0.0	0.86	0.0	4.6	3.16	0.0	11.54	0.0	2.64	1.67	0.79	7.93	16.28	6.96	1.84	2.4	20.04	2.54	2.82	14.45	0.26	3.46	4.53
Azin1	31.01	83.5	64.21	73.17	107.04	0.0	0.0	0.0	187.95	0.0	188.97	217.56	79.47	345.31	87.9	181.38	339.37	260.04	66.25	149.73	191.04	135.98	188.74	154.67	113.96	45.82	48.81	64.68	387.08	60.35	58.96	19.66	103.1	77.56	90.46	54.37	15.09	73.53	118.06	68.61	39.24	57.98	6.24	108.47	116.48	59.55	64.72	96.15	60.11	11.53	126.49	111.65	31.36	11.94	36.28	105.89	52.35	54.85	134.39	1.48	79.34	36.76	73.13	41.56	93.94	39.48	51.26	7.68	72.67	0.0	8.46	30.37	69.19	21.3	7.41	211.65	30.59	96.77	65.59	11.43	19.67	94.06
Cacna2d1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.68	0.0	0.0	205.92	0.45	102.83	96.28	107.57	99.32	77.82	121.94	172.57	34.86	70.47	0.0	66.64	78.11	43.73	199.62	84.83	5.53	0.7	9.02	0.02	0.15	0.06	0.03	0.04	0.04	0.01	0.01	0.0	0.04	0.04	0.0	0.0	57.71	0.0	0.0	0.0	0.04	0.0	113.99	96.53	0.04	42.25	9.68	0.04	0.0	0.0	47.01	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.08	0.0	37.41
Caln1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	130.07	0.0	0.0	112.07	69.07	120.36	369.65	369.42	417.35	0.0	276.66	307.75	308.28	111.37	0.0	164.98	0.0	288.15	250.77	263.21	245.05	121.08	90.24	0.0	0.0	0.07	0.11	0.07	0.0	0.09	0.1	0.0	0.0	0.0	0.17	0.0	16.66	0.0	0.0	0.0	0.0	35.76	134.15	213.55	0.26	548.39	207.61	0.0	0.0	0.0	388.45	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.45	0.0	0.0	0.0	8.47	0.0	0.0	0.0	504.92
Cck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	155.96	0.59	251.71	0.0	88.06	11.18	198.58	0.0	115.44	55.11	127.61	0.0	157.46	11.78	41.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.37	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.36	0.0	0.0	0.0	0.0	0.0	1.41	31.83	0.0	0.0	0.0	0.0	0.0	0.0	54.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.24
Cd34	0.0	0.0	0.0	0.0	0.0	0.0	2018.19	338.85	0.0	0.0	0.0	0.0	0.0	0.0	4.1	77.43	168.56	90.47	31.15	75.88	58.91	0.0	0.0	92.25	0.0	0.0	0.0	81.84	0.0	0.21	0.0	0.0	0.15	0.06	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.56	0.0	0.0	0.0	0.0	0.0	84.07	22.58	0.0	0.0	52.93	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.21	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cdk5r1	4.46	17.51	0.0	3.36	18.0	6.79	0.0	0.0	59.9	0.0	32.33	45.35	2.93	34.87	8.88	76.32	37.39	19.67	54.86	5.79	36.32	83.54	5.44	96.32	19.53	7.55	7.63	19.83	34.43	73.34	26.38	11.08	7.67	4.67	14.83	9.35	1.5	0.02	4.86	7.82	23.51	13.0	5.68	2.04	45.85	4.85	12.17	26.01	2.77	0.78	19.0	21.83	20.36	31.59	32.95	6.2	7.71	1.9	33.98	4.01	6.55	1.45	2.74	2.1	3.91	18.02	1.56	4.5	16.43	0.0	9.42	31.57	19.43	5.26	1.34	11.81	6.9	2.24	19.77	3.65	16.49	0.0
Clk1	76.03	187.44	86.11	62.55	284.19	217.43	5.33	685.64	278.72	0.0	178.82	560.12	349.2	439.76	557.9	504.68	625.93	277.08	103.74	602.25	533.19	430.41	397.79	603.46	179.57	237.42	474.98	442.48	456.59	188.46	349.71	165.88	137.14	59.26	156.27	202.15	303.21	233.95	173.59	152.77	145.06	133.8	191.27	134.44	155.38	76.62	184.76	68.44	279.98	139.11	204.34	396.53	147.69	454.19	225.56	194.87	133.65	103.68	255.12	106.27	250.32	129.63	83.97	315.84	139.54	218.63	188.82	75.88	409.05	51.67	65.22	144.36	268.81	246.07	213.31	186.03	45.69	83.91	432.26	64.79	10.3	78.52
Cpne6	2.9	141.83	0.0	36.54	0.0	0.0	0.0	0.0	366.06	0.0	140.26	156.77	298.05	861.02	454.95	287.29	408.98	251.05	57.13	83.69	104.19	0.31	0.5	599.24	291.09	57.02	202.54	212.23	532.54	103.41	157.6	32.74	0.0	0.0	0.0	0.08	52.12	0.26	4.66	65.98	47.5	47.52	36.67	0.0	411.38	26.56	0.0	0.0	0.0	0.0	403.07	543.89	105.51	5.31	372.13	0.16	17.25	14.5	316.23	0.0	1.54	0.1	0.0	6.91	0.0	70.13	0.12	0.0	21.21	0.0	97.68	0.17	0.0	232.64	0.0	219.46	0.0	0.0	109.53	15.83	97.91	173.39
Csmd3	0.05	0.0	0.0	0.0	0.0	0.78	0.0	0.0	41.52	0.0	0.0	24.53	17.34	44.43	0.97	29.08	5.72	42.84	51.13	29.3	1.64	0.99	0.07	21.34	20.32	5.19	5.99	19.39	20.21	7.48	26.83	3.53	0.14	4.39	7.23	9.73	0.0	0.0	0.01	1.18	5.99	1.64	0.0	0.03	8.17	8.45	7.36	0.0	5.05	23.83	25.98	0.97	0.0	0.05	2.29	0.41	8.02	0.08	0.0	7.17	10.66	0.0	3.48	0.0	4.67	0.33	0.7	7.0	0.29	0.0	6.1	0.0	11.52	5.35	0.0	0.0	3.29	0.0	0.01	6.12	0.19	22.72
Dlx1as	1.28	2.38	0.0	0.0	0.0	0.0	0.64	0.15	13.98	0.0	0.14	72.81	0.34	159.69	37.48	56.48	2.81	39.06	71.04	104.74	1.46	58.99	0.0	114.64	0.29	0.57	0.81	14.9	82.61	18.27	39.9	0.0	5.34	0.82	0.0	0.0	5.38	4.47	2.12	6.1	5.41	0.0	4.3	0.22	7.52	0.0	9.07	1.79	0.0	0.0	62.89	172.54	0.12	77.89	4.83	0.0	19.26	6.07	65.18	58.24	0.0	0.0	2.84	0.0	0.1	9.98	0.0	1.63	0.0	0.0	9.74	52.03	0.16	0.12	28.2	76.59	8.88	4.48	0.0	8.04	0.07	58.26
Dlx6as1	0.0	0.09	0.0	0.0	0.0	0.02	0.0	0.0	433.5	0.08	28.2	867.56	345.95	694.89	288.27	167.2	379.38	1230.95	896.54	1549.12	588.1	765.65	0.31	335.16	209.72	291.53	579.94	217.69	291.95	213.24	334.31	0.0	73.76	0.05	0.11	0.0	0.18	0.11	0.08	0.0	0.0	0.0	0.0	0.0	57.68	0.0	0.0	0.05	0.13	0.0	169.49	924.75	0.0	287.63	173.05	0.0	0.0	0.0	135.9	0.0	0.03	0.0	0.0	0.06	0.0	0.02	36.61	0.0	86.63	0.0	0.0	28.26	0.05	32.34	0.0	91.75	0.0	55.87	0.0	0.0	11.64	0.5
Dmxl2	7.66	88.8	77.85	1.22	0.03	2.09	0.0	0.0	58.71	0.82	12.39	4.64	30.61	87.3	32.7	111.47	158.77	35.32	108.06	194.75	34.07	126.17	114.78	33.13	50.31	32.14	65.02	69.7	52.15	15.25	15.26	23.06	11.95	24.71	33.37	7.34	27.39	14.54	5.33	11.52	0.06	13.01	9.07	21.97	11.47	8.92	15.94	55.04	26.42	38.89	27.53	6.49	14.26	34.95	28.92	45.67	21.78	26.46	30.45	43.87	27.43	0.75	17.7	7.45	36.08	40.31	5.87	5.24	27.53	0.0	5.71	19.28	49.22	11.74	21.64	80.39	2.77	18.39	10.68	12.39	11.15	4.13
Dnajc6	85.91	41.03	47.31	12.04	10.02	11.12	0.0	0.0	243.43	0.0	51.28	20.31	130.77	189.03	119.15	168.1	220.25	181.38	145.67	255.48	173.59	302.04	4.92	46.42	16.67	83.91	114.61	215.02	161.8	36.74	35.65	33.69	11.0	116.94	46.51	28.18	19.96	93.38	74.77	26.78	1.47	28.01	59.77	19.37	40.35	40.17	54.17	54.44	20.96	31.48	76.44	59.81	24.88	37.93	107.61	49.46	70.65	27.94	9.75	61.06	77.4	43.56	48.12	25.11	11.35	32.72	43.21	46.19	107.81	0.0	3.36	69.97	62.72	22.04	44.22	157.85	50.0	137.71	37.21	30.45	53.99	83.94
Dner	30.86	68.36	25.68	17.62	66.01	61.07	0.0	0.0	247.75	0.0	61.98	382.16	170.12	466.38	688.41	1331.06	1462.15	598.0	1885.85	1025.42	114.64	870.18	140.91	666.93	422.99	553.06	855.36	646.86	281.15	250.39	225.03	30.46	53.77	95.22	33.9	10.25	0.15	124.12	62.83	3.17	6.62	1.74	56.81	65.83	52.51	77.51	38.58	58.1	165.41	43.7	291.19	366.75	167.38	278.61	210.3	24.21	30.07	139.11	339.36	144.93	0.07	89.79	82.12	74.1	23.23	96.82	41.14	65.82	105.22	0.0	25.03	9.82	54.52	2.22	39.21	74.1	69.27	50.73	41.77	75.75	59.39	317.8
