	Chrna2_tdTpositive_cell_15	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_26	Chrna2_tdTpositive_cell_30	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_32	Chrna2_tdTpositive_cell_48	Chrna2_tdTpositive_cell_50	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_60	Chrna2_tdTpositive_cell_70	Chrna2_tdTpositive_cell_79	Chrna2_tdTpositive_cell_80	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_4	Ctgf_tdTpositive_cell_6	Gad2_tdTpositive_cell_68	Gad2_tdTpositive_cell_72	Htr3a_tdTpositive_cell_83	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_20	Ndnf_tdTnegative_cell_1	Ndnf_tdTnegative_cell_7	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_18	Ntsr1_tdTnegative_cell_54	Rbp4_tdTnegative_cell_18	Rorb_tdTpositive_cell_39	Scnn1a.Tg3_tdTnegative_cell_10	Scnn1a.Tg3_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_19	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_7	Sst_tdTpositive_cell_24	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_49	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_65	Sst_tdTpositive_cell_69	Sst_tdTpositive_cell_76	Sst_tdTpositive_cell_77	Sst_tdTpositive_cell_88	Sst_tdTpositive_cell_89	Sst_tdTpositive_cell_92
Disp2	76.0	96.0	127.61	32.67	149.12	116.28	38.94	134.04	41.97	38.06	210.52	132.46	117.95	88.27	0.0	0.0	0.0	97.31	85.59	25.63	136.1	0.0	0.0	0.0	0.0	0.0	53.23	70.24	15.37	78.4	114.64	72.2	96.24	36.54	123.77	115.66	112.57	70.21	98.99	123.28	73.28	113.28	120.55	152.55	78.08	24.26	95.35	124.99	56.0	46.44	97.87	88.04	86.46	64.07	0.0	233.06	0.0	0.05	0.0	0.0	0.0	0.0	48.52	134.12	61.58	94.63	288.56	138.14	166.22	276.45	80.52	60.78	123.64	109.91	155.57	150.1
Efna5	8.6	204.48	92.35	121.68	89.53	52.04	69.58	27.85	56.91	37.51	115.46	459.63	9.45	57.39	0.0	0.0	0.0	129.87	467.15	284.95	246.75	0.09	0.0	0.0	0.12	0.2	190.48	152.22	0.07	63.85	149.55	75.74	46.11	41.61	149.86	458.91	117.07	144.09	93.86	61.49	0.04	74.02	141.01	60.37	72.9	36.93	54.05	334.71	163.8	120.3	289.59	220.3	194.0	60.73	0.12	74.87	0.0	0.83	0.0	0.0	0.0	0.0	235.15	136.23	62.26	73.38	253.12	251.52	98.43	223.41	39.05	78.85	258.71	233.94	123.92	162.23
Elovl4	26.17	53.87	18.67	43.53	284.85	3.7	8.17	15.14	2.67	23.34	16.07	116.76	91.85	0.0	0.0	0.0	0.0	121.76	127.71	106.6	84.29	0.0	0.0	0.0	0.21	0.0	36.12	174.08	95.32	27.93	129.16	158.97	178.47	128.99	110.56	248.55	81.35	29.45	120.94	29.29	93.75	76.73	100.12	98.6	28.42	12.96	72.03	46.49	93.44	92.73	178.42	111.49	27.03	50.59	0.41	49.23	0.0	0.0	0.0	0.23	0.0	0.0	9.27	52.1	108.88	20.19	59.24	79.13	109.15	87.47	59.24	37.21	156.28	67.13	107.25	69.4
Glg1	34.74	12.72	29.51	0.0	0.0	1.31	23.09	0.0	19.44	4.21	0.08	176.85	42.8	0.13	0.0	0.0	0.0	158.65	277.87	8.39	82.28	0.0	0.0	0.0	0.0	0.0	66.06	44.56	65.15	15.46	35.5	33.83	55.23	102.6	2.12	47.42	0.0	70.01	12.05	33.3	96.55	2.93	32.55	2.77	34.08	0.0	72.7	8.19	0.0	0.38	73.28	18.6	0.06	0.0	0.0	18.12	0.0	0.09	0.0	0.0	0.0	0.0	44.94	55.19	5.49	1.53	113.7	0.0	6.56	0.0	29.72	66.09	70.78	84.48	54.69	7.54
Hpcal4	0.0	0.08	36.41	0.0	1.31	13.28	27.79	128.52	52.38	0.09	181.9	65.91	103.74	2.57	0.0	0.0	0.0	115.54	39.52	2.62	2.18	0.0	0.0	0.0	0.0	0.0	3.68	0.72	4.15	8.72	67.11	26.96	17.82	0.07	29.95	62.13	37.16	65.12	39.13	23.26	26.05	24.36	5.7	61.55	2.32	0.0	76.5	16.75	41.05	40.78	23.79	14.74	22.7	39.32	0.0	78.37	0.0	0.38	0.0	0.0	0.0	0.0	39.8	79.37	64.68	60.73	89.19	80.5	67.67	75.16	84.41	1.75	69.83	140.32	89.51	7.75
Inpp5f	354.98	313.39	359.57	471.53	454.58	467.7	294.53	201.12	97.76	106.56	1253.15	345.19	502.98	471.43	0.0	0.0	0.0	1446.66	1199.48	509.99	476.88	0.19	0.0	0.0	0.0	0.0	421.08	442.55	391.05	218.06	639.01	200.08	232.04	303.17	289.57	318.96	275.45	193.57	366.21	94.22	165.84	278.31	244.47	155.03	325.18	108.02	393.54	234.81	275.39	221.55	410.8	409.48	546.27	188.54	0.0	407.66	2.07	5.61	17.22	55.3	0.0	0.09	376.47	439.52	604.24	553.44	903.07	741.27	650.47	688.59	421.4	435.76	697.94	822.64	755.44	594.88
Meg3	495.43	500.57	391.66	372.33	648.89	218.27	676.12	353.55	323.53	38.17	549.16	1055.59	227.42	463.12	0.0	0.34	0.0	740.97	616.4	557.48	592.5	0.0	0.04	0.0	0.17	0.59	393.24	538.5	317.11	233.81	650.68	444.3	304.96	632.18	518.69	769.21	298.72	510.23	539.11	313.62	805.45	563.91	688.91	573.92	490.95	422.92	645.92	452.48	469.33	448.96	518.15	439.05	361.57	538.61	0.0	468.04	0.0	0.64	0.51	0.2	0.0	0.0	443.23	597.2	263.83	296.48	1829.83	1122.24	425.86	565.07	500.59	243.71	606.67	663.79	945.61	734.88
Nipsnap1	220.76	170.78	484.7	48.58	289.49	133.29	217.95	368.76	307.44	96.0	87.4	412.05	257.69	97.43	0.0	0.0	0.0	223.83	610.92	99.76	114.78	0.0	0.0	0.0	0.0	0.0	162.74	110.82	171.19	155.87	239.45	108.49	192.85	109.57	216.82	114.36	253.42	184.52	92.37	196.38	57.35	50.12	43.31	91.26	174.92	310.16	126.22	242.15	15.88	269.14	185.64	219.91	119.74	111.46	0.0	182.71	6.4	0.95	0.0	0.0	0.0	0.0	178.66	144.93	80.65	120.35	44.65	62.11	296.98	209.43	142.62	146.73	66.27	479.82	449.11	373.26
Nlk	33.13	19.13	66.42	0.66	7.55	0.0	26.31	8.64	3.53	0.0	111.22	54.81	22.82	14.33	0.0	0.0	0.0	153.92	31.22	92.72	45.3	0.0	0.0	0.0	0.0	0.0	89.77	1.15	0.0	6.42	53.16	5.46	11.81	4.58	3.71	0.0	9.98	2.51	32.39	8.31	17.13	2.19	0.07	2.59	0.0	0.0	7.31	0.0	0.0	22.68	19.85	0.0	36.71	30.58	0.27	21.54	0.0	0.23	0.0	0.0	0.0	0.0	10.68	7.4	8.38	28.11	0.0	34.84	49.75	71.32	50.37	49.74	62.07	85.53	59.31	34.14
Pitpna	15.7	121.8	29.25	0.11	13.55	0.0	72.14	95.41	90.07	70.16	41.58	212.0	4.99	52.57	0.0	0.09	0.0	108.56	74.14	171.34	151.01	0.0	0.0	0.0	0.0	0.0	22.09	31.04	2.56	22.21	173.9	69.65	75.75	44.87	23.6	51.62	25.45	1.69	96.27	23.11	31.85	15.26	0.17	1.09	4.11	1.2	11.86	24.44	20.67	0.0	43.42	41.73	11.18	39.75	0.0	80.24	0.0	6.8	0.0	0.0	0.0	0.0	27.13	4.56	51.75	85.34	211.94	50.55	1.72	34.96	0.0	34.03	54.7	86.86	78.31	66.25
Ran	438.04	124.55	397.7	280.05	176.02	127.38	221.81	94.41	187.21	183.06	541.31	680.16	627.65	138.26	0.0	0.0	0.0	287.52	461.19	336.24	366.69	0.0	0.0	0.0	0.0	0.0	327.47	161.02	378.4	295.63	314.61	287.73	377.15	287.31	412.06	272.49	154.44	296.92	432.92	344.99	275.19	255.37	228.16	330.51	161.71	283.82	252.34	199.63	210.08	298.02	274.03	228.18	219.38	150.88	0.27	410.0	0.0	1.08	0.0	14.69	0.0	182.0	320.02	292.8	201.61	420.39	109.54	267.36	209.53	361.34	129.72	129.77	277.64	594.19	383.92	370.46
Rufy3	190.59	210.97	199.56	164.65	187.21	142.2	145.13	278.58	104.0	59.38	83.64	248.27	173.44	89.65	0.13	0.0	0.0	370.72	283.42	236.93	95.11	0.0	0.0	0.0	0.16	0.0	87.88	117.27	74.84	238.1	196.14	167.64	253.09	74.92	128.06	169.73	241.34	155.84	62.45	132.01	157.23	73.62	144.26	86.56	64.52	26.89	166.08	173.36	141.61	82.56	202.92	88.11	118.4	191.72	0.46	244.59	100.24	0.26	21.03	0.0	0.0	0.0	74.99	66.5	231.0	165.02	419.51	192.59	242.73	118.22	131.97	219.38	297.12	262.7	250.63	156.51
Slc4a10	13.48	151.92	3.77	47.92	123.65	0.0	11.96	51.68	12.96	14.65	224.55	142.09	109.92	48.03	0.0	0.0	0.0	71.17	139.82	189.14	82.9	0.0	0.0	0.0	0.0	0.0	179.61	31.75	71.54	9.6	122.55	46.58	57.9	41.5	44.4	15.32	54.46	43.29	84.63	65.46	80.7	46.05	57.92	83.69	11.85	16.0	60.72	51.98	74.47	81.16	28.18	53.82	37.72	46.95	0.0	83.45	0.0	0.32	0.0	0.0	0.0	0.0	42.67	25.7	100.43	40.11	221.96	86.24	152.51	78.22	62.2	34.05	100.59	101.47	185.24	139.17
Snord116	5.36	6.43	2.21	0.0	6.02	0.0	7.78	14.61	5.29	10.41	13.37	16.14	3.35	4.82	0.0	0.0	0.0	7.69	10.43	2.39	0.0	0.0	0.0	0.0	0.0	0.0	3.3	1.42	3.17	8.88	14.34	2.97	4.45	14.05	2.5	3.68	2.82	2.94	11.3	0.0	7.38	0.0	6.1	0.0	4.03	6.45	11.58	11.77	2.54	2.69	9.96	4.31	2.13	2.3	0.0	3.94	0.0	0.0	0.0	0.0	0.0	0.0	9.0	5.96	0.0	2.64	0.0	16.54	8.52	0.0	10.48	4.47	11.11	6.5	30.15	8.48
Snord116l1	5.36	6.43	2.21	0.0	6.02	0.0	7.78	14.61	5.29	10.41	13.37	16.14	3.35	4.82	0.0	0.0	0.0	7.69	10.43	2.39	0.0	0.0	0.0	0.0	0.0	0.0	3.3	1.42	3.17	8.88	14.34	2.97	4.45	14.05	2.5	3.68	2.82	2.94	11.3	0.0	7.38	0.0	6.1	0.0	4.03	6.45	11.58	11.77	2.54	2.69	9.96	4.31	2.13	2.3	0.0	3.94	0.0	0.0	0.0	0.0	0.0	0.0	9.0	5.96	0.0	2.64	0.0	16.54	8.52	0.0	10.48	4.47	11.11	6.5	30.15	8.48
Snord116l2	5.36	6.43	2.21	0.0	6.02	0.0	7.78	14.61	5.29	10.41	13.37	16.14	3.35	4.82	0.0	0.0	0.0	7.69	10.43	2.39	0.0	0.0	0.0	0.0	0.0	0.0	3.3	1.42	3.17	8.88	14.34	2.97	4.45	14.05	2.5	3.68	2.82	2.94	11.3	0.0	7.38	0.0	6.1	0.0	4.03	6.45	11.58	11.77	2.54	2.69	9.96	4.31	2.13	2.3	0.0	3.94	0.0	0.0	0.0	0.0	0.0	0.0	9.0	5.96	0.0	2.64	0.0	16.54	8.52	0.0	10.48	4.47	11.11	6.5	30.15	8.48
Sprr2a1	0.0	0.11	0.0	0.22	0.19	0.0	0.0	0.22	0.0	0.06	0.12	1.31	0.59	0.0	0.0	0.0	0.0	0.23	0.31	0.59	0.62	0.42	0.05	0.0	0.0	0.0	0.26	0.71	0.77	0.54	0.87	6.91	11.74	0.27	4.25	0.23	1.74	0.13	0.28	0.06	0.03	0.49	6.02	0.0	0.21	0.23	0.16	0.15	0.0	0.45	6.48	0.65	0.15	0.32	0.26	0.7	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.66	0.08	0.46	0.89	0.84	0.74	0.02	0.21	0.12	0.19	0.85	0.29	0.07
Sprr2a2	0.0	0.11	0.0	0.22	0.19	0.0	0.0	0.22	0.0	0.06	0.12	1.31	0.59	0.0	0.0	0.0	0.0	0.23	0.31	0.59	0.62	0.42	0.05	0.0	0.0	0.0	0.26	0.71	0.77	0.54	0.87	6.91	11.74	0.27	4.25	0.23	1.74	0.13	0.28	0.06	0.03	0.49	6.02	0.0	0.21	0.23	0.16	0.15	0.0	0.45	6.48	0.65	0.15	0.32	0.26	0.7	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.66	0.08	0.46	0.89	0.84	0.74	0.02	0.21	0.12	0.19	0.85	0.29	0.07
Sst	54779.79	110572.87	47293.26	31942.05	52293.57	23996.59	19548.76	36499.25	92299.24	48476.57	15004.2	10378.34	16874.55	14896.02	0.0	0.0	0.0	72114.03	23670.4	79456.04	80147.45	0.0	0.0	0.0	2.22	0.0	46171.02	45987.89	53894.31	43875.07	45687.49	39090.22	56866.87	51085.86	57147.69	53884.47	50199.22	40467.48	49702.56	51551.12	68952.67	41941.87	63593.53	54941.04	65451.11	55479.93	53524.63	52986.0	54018.45	54281.29	59257.22	56460.73	63808.17	57846.93	0.0	50608.74	0.0	0.0	0.0	0.0	0.0	0.0	41295.0	40924.0	24946.85	78404.02	70180.73	33572.19	40569.83	41593.77	34709.45	27470.9	11794.07	8766.8	6162.67	60686.4
Uba2	0.0	67.67	0.0	21.71	0.0	1.35	58.57	19.1	82.55	199.84	205.3	253.61	99.96	46.17	0.0	0.0	0.13	82.9	291.34	0.0	2.83	0.0	0.0	0.0	0.0	0.0	41.28	2.48	6.86	220.64	106.03	33.43	92.42	0.25	34.56	80.53	13.53	26.9	51.45	9.16	64.12	54.9	61.09	4.28	1.1	0.0	138.98	0.25	47.54	43.61	41.7	0.06	102.37	17.24	2.19	37.4	0.0	0.28	0.0	0.0	0.0	0.0	14.9	1.43	37.08	5.99	0.0	134.85	125.06	60.55	199.72	36.71	8.69	86.2	175.77	51.45
Ube3a	35.99	28.54	33.36	34.59	23.69	8.79	103.47	73.05	14.05	8.6	53.87	68.67	12.8	53.31	7.25	0.0	0.1	82.73	83.88	64.13	48.86	0.0	4.6	0.0	30.42	11.04	48.93	145.73	115.04	75.45	23.49	115.2	91.12	109.96	27.92	131.36	51.62	82.08	35.53	80.81	48.85	79.74	60.52	58.28	70.06	125.01	161.25	39.24	42.6	77.14	23.0	22.42	65.2	43.39	0.0	60.15	0.0	0.49	9.6	0.0	0.0	0.09	72.38	122.26	67.14	75.43	181.72	259.84	88.11	27.17	122.04	23.78	95.35	192.82	192.62	146.7
Unc13a	2.52	8.81	6.68	2.17	3.96	1.27	2.09	7.93	5.11	0.4	1.87	6.33	10.19	1.56	0.47	0.0	0.0	1.38	4.51	2.27	3.42	0.0	0.0	0.0	0.0	0.0	2.48	2.34	2.37	4.43	25.99	4.18	7.76	1.92	4.2	4.16	4.86	5.81	3.2	3.1	3.48	2.83	4.67	4.16	0.79	7.39	6.16	9.15	1.82	2.95	4.73	5.98	1.96	1.92	0.0	3.73	0.0	0.0	0.0	0.0	0.0	0.0	1.67	52.88	2.97	3.38	2.2	9.82	6.99	4.34	2.96	1.36	29.46	4.16	6.94	2.77
