	Calb2_tdTpositive_cell_33	Calb2_tdTpositive_cell_40	Calb2_tdTpositive_cell_42	Chrna2_tdTpositive_cell_22	Chrna2_tdTpositive_cell_63	Ctgf_tdTpositive_cell_17	Ctgf_tdTpositive_cell_18	Cux2_tdTpositive_cell_62	Gad2_tdTpositive_cell_34	Htr3a_tdTpositive_cell_97	Htr3a_tdTpositive_cell_100	Htr3a_tdTpositive_cell_104	Htr3a_tdTpositive_cell_109	Htr3a_tdTpositive_cell_111	Htr3a_tdTpositive_cell_123	Ndnf_tdTpositive_cell_2	Nos1_tdTpositive_cell_37	Nos1_tdTpositive_cell_42	Nos1_tdTpositive_cell_46	Nos1_tdTpositive_cell_51	Nos1_tdTpositive_cell_65	Ntsr1_tdTpositive_cell_19	Ntsr1_tdTpositive_cell_21	Ntsr1_tdTpositive_cell_22	Ntsr1_tdTpositive_cell_33	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_48	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_66	Ntsr1_tdTpositive_cell_68	Ntsr1_tdTpositive_cell_70	Ntsr1_tdTpositive_cell_76	Ntsr1_tdTnegative_cell_5	Ntsr1_tdTnegative_cell_6	Ntsr1_tdTnegative_cell_36	Ntsr1_tdTnegative_cell_40	Ntsr1_tdTnegative_cell_44	Ntsr1_tdTnegative_cell_48	Ntsr1_tdTnegative_cell_53	Rbp4_tdTpositive_cell_5	Rbp4_tdTpositive_cell_47	Rbp4_tdTpositive_cell_50	Rbp4_tdTpositive_cell_65	Rbp4_tdTpositive_cell_71	Rbp4_tdTpositive_cell_92	Rbp4_tdTpositive_cell_96	Rbp4_tdTpositive_cell_105	Rbp4_tdTpositive_cell_116	Rbp4_tdTpositive_cell_139	Slc17a6_tdTpositive_cell_11	Slc17a6_tdTpositive_cell_36	Vip_tdTpositive_cell_20	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_6	CAV_LP_Ipsi_tdTpos_cell_11	CAV_LP_Ipsi_tdTpos_cell_16
Dpy19l1	28.06	0.0	14.1	82.55	149.19	0.0	11.61	33.6	0.0	58.03	21.15	0.0	41.87	43.95	11.73	0.0	137.82	22.19	147.27	58.41	59.87	109.37	107.27	48.7	36.26	58.93	52.33	112.7	37.76	5.13	85.6	0.0	72.7	122.08	21.19	52.64	75.63	418.29	158.26	81.31	106.01	43.56	76.54	46.06	128.56	195.82	165.35	119.52	208.66	120.87	110.09	103.1	0.0	43.18	51.41	25.23	91.15	124.44
Eef1a2	48.82	2.97	33.64	33.44	50.57	2.87	23.49	0.47	1.2	7.69	3.38	0.0	2.71	20.11	9.99	0.17	30.54	10.47	25.45	7.44	2.87	27.35	0.15	8.65	42.93	85.04	55.91	3.88	67.23	8.56	5.31	21.71	47.31	0.0	8.22	28.93	37.79	0.0	41.16	0.21	24.48	112.98	48.15	40.47	21.69	32.79	3.15	14.83	20.74	32.91	5.67	46.37	11.86	36.36	32.48	2.19	2.08	0.14
Eftud2	0.0	0.0	0.0	48.77	30.97	12.97	126.15	23.82	0.0	5.37	151.63	0.0	4.52	154.14	96.51	0.85	130.08	38.35	84.29	224.15	2.18	136.73	127.13	36.03	40.56	104.56	39.26	31.12	27.27	144.15	0.0	126.99	0.88	0.0	104.78	0.0	0.12	0.0	119.81	102.83	12.68	145.57	34.97	206.16	171.73	91.74	246.21	100.91	0.17	4.06	209.64	178.91	0.0	57.02	54.32	0.0	20.8	59.06
Elavl4	235.83	183.84	94.44	326.61	201.13	113.49	163.01	255.02	86.37	120.68	299.47	0.0	127.36	32.44	76.95	235.05	294.83	294.97	311.34	272.69	249.03	185.94	226.13	248.76	31.79	121.6	301.04	131.0	73.72	262.43	209.52	332.08	118.27	0.0	452.11	64.24	67.49	0.0	137.08	220.3	589.69	251.89	441.75	702.95	485.18	792.66	565.17	565.34	333.3	715.62	152.84	111.85	65.44	149.78	151.31	141.88	270.04	81.23
Epha4	179.67	0.07	129.95	63.43	93.41	0.0	21.98	144.63	0.11	37.43	0.14	0.12	20.28	0.05	0.0	140.1	21.35	128.25	44.3	14.95	7.43	42.66	20.36	36.78	91.48	29.68	0.08	0.17	0.16	0.18	0.03	0.14	0.29	0.0	75.94	73.75	0.26	0.0	22.86	59.99	90.88	34.93	332.68	41.16	108.9	203.19	97.58	260.33	26.18	198.85	42.46	1.62	0.17	25.44	33.05	0.21	0.0	0.18
Fnip1	0.76	0.0	2.83	34.34	41.06	0.0	30.43	68.04	3.46	55.56	7.13	0.0	47.92	11.69	0.0	11.67	66.21	67.79	69.27	16.73	0.41	2.62	0.4	26.16	50.31	6.03	0.13	13.19	0.15	15.58	20.1	16.34	31.37	0.0	64.12	50.99	76.29	0.0	2.95	29.27	54.41	51.92	58.18	49.71	61.56	50.49	18.64	38.74	36.04	42.85	0.0	14.58	0.0	15.21	18.79	28.27	19.1	32.86
Galnt9	79.23	0.0	0.0	100.73	168.65	118.52	105.45	0.0	0.0	7.12	2.24	0.0	1.49	121.48	0.0	0.0	136.1	30.57	238.34	62.01	189.2	0.21	1.86	161.91	82.35	12.4	0.0	13.82	147.57	44.33	0.37	9.92	62.93	0.0	66.93	1.32	120.04	0.0	49.47	52.75	93.49	86.91	77.6	55.13	7.26	2.57	54.37	232.33	2.93	180.34	0.42	8.36	0.0	60.54	83.21	12.34	43.19	0.1
Hlf	0.0	0.0	0.0	86.45	96.62	0.0	27.44	0.06	0.0	37.27	0.0	0.08	45.43	59.86	0.0	41.27	89.48	94.15	178.93	100.84	80.06	20.98	31.9	0.0	60.62	0.09	5.22	30.95	52.39	28.31	58.88	23.93	0.33	0.0	12.85	6.99	23.12	0.0	44.86	74.95	108.23	87.62	74.68	161.48	130.85	89.62	123.37	154.92	38.11	80.57	24.15	0.13	0.09	27.22	24.61	0.0	8.4	0.0
Hspa2	13.48	0.0	61.94	80.96	70.47	0.0	39.35	174.48	0.14	11.79	28.16	14.93	213.59	2.04	0.0	21.01	40.09	104.91	49.72	100.59	35.54	0.0	0.0	0.0	27.33	0.0	0.0	0.14	0.38	21.74	0.0	40.68	0.82	0.0	89.85	245.26	103.45	0.0	62.76	23.04	79.69	0.0	39.45	131.78	18.47	209.69	114.48	135.23	39.78	121.4	0.0	0.0	0.2	11.74	20.79	17.99	0.26	0.0
Itfg1	108.57	1.82	10.94	112.98	24.95	11.72	130.27	113.43	0.0	1.69	27.61	0.0	153.7	48.76	0.85	3.35	106.34	77.45	17.88	30.24	27.93	119.3	6.49	81.76	103.82	82.62	30.06	158.46	110.19	29.46	0.0	31.84	72.85	225.21	58.73	63.01	89.5	0.0	118.35	10.03	24.66	29.79	150.55	80.66	29.05	92.4	80.34	54.18	8.85	90.17	200.48	147.02	0.3	57.62	52.16	106.47	13.07	107.42
Kcnq5	0.0	0.0	40.98	13.85	12.16	0.0	0.0	6.44	0.0	0.0	0.0	0.0	23.26	0.0	0.0	0.0	12.52	3.66	57.14	37.4	23.14	0.28	0.0	0.12	0.07	0.0	0.0	0.0	0.0	0.0	0.0	1.61	0.12	0.0	31.41	9.17	10.02	0.0	17.4	1.68	34.09	5.47	27.91	33.94	32.04	23.55	70.91	13.98	63.99	16.96	0.0	0.0	0.0	1.37	1.53	0.0	0.0	0.0
Khdrbs3	357.15	0.65	246.2	133.09	162.72	46.69	310.4	4.38	38.17	327.47	156.69	10.6	112.9	178.11	83.0	42.61	240.44	189.82	297.43	149.04	258.18	101.09	146.82	16.3	204.74	87.37	128.27	134.75	13.83	123.61	68.44	125.61	103.33	0.0	181.99	5.4	190.96	0.0	89.25	188.02	271.72	5.18	118.6	177.42	111.56	157.2	66.98	225.95	42.31	323.16	363.15	298.3	543.52	143.81	159.28	133.03	89.11	94.35
Large	11.18	0.0	55.92	41.65	220.26	0.0	43.3	102.95	0.09	27.93	98.56	0.0	109.79	0.95	27.23	83.71	172.99	80.7	113.99	12.19	1.58	39.85	41.46	32.12	1.22	12.6	0.07	44.53	7.3	46.45	94.96	2.01	123.47	0.0	93.52	114.79	28.68	0.01	78.9	2.49	71.39	31.31	40.95	5.51	50.86	103.59	104.53	263.7	0.0	136.82	0.17	112.5	0.14	35.73	51.02	15.3	0.0	2.88
Lin7a	189.42	0.07	37.71	124.51	67.71	0.0	26.95	84.96	0.0	94.95	43.46	0.02	56.36	19.43	68.84	54.19	36.34	47.5	149.1	88.54	107.1	0.19	0.16	0.07	0.12	0.0	22.31	0.0	0.0	98.6	0.0	27.03	30.0	0.0	181.35	17.48	46.02	0.0	168.81	38.14	190.93	61.54	59.35	133.47	151.46	101.5	255.84	113.78	186.35	98.67	0.11	0.5	0.34	31.39	33.11	13.13	0.0	37.39
Lnp	26.18	0.0	101.8	51.49	139.06	0.59	61.16	50.49	2.1	37.35	78.86	3.14	35.59	7.38	29.17	35.42	58.85	57.96	21.7	26.84	58.83	57.56	32.81	101.52	24.79	9.75	12.16	37.27	17.1	63.28	27.92	72.77	45.88	0.0	28.88	82.32	22.55	0.04	138.48	101.56	141.04	60.78	77.75	130.16	135.06	164.69	83.47	116.02	39.1	105.6	70.45	16.27	46.1	46.95	54.65	18.49	11.03	22.33
Napb	269.78	0.0	90.47	679.47	493.24	300.04	211.95	408.15	184.31	276.91	247.24	0.13	521.26	752.66	179.66	292.02	478.38	568.62	732.28	664.49	877.37	313.06	239.85	446.59	433.93	92.92	64.53	355.74	304.34	542.81	427.15	312.78	342.91	0.15	272.8	374.7	385.79	0.0	349.23	460.35	88.83	632.08	628.9	606.33	464.73	636.31	779.84	521.95	440.52	502.47	250.52	104.22	228.85	350.18	315.32	238.45	245.97	220.44
Ndfip1	4.07	190.52	46.04	97.89	198.48	0.0	169.24	52.07	0.39	39.14	27.08	0.0	135.68	68.34	40.22	41.54	168.71	121.87	70.08	73.42	93.14	60.05	5.64	299.06	11.58	0.0	104.24	116.53	0.37	41.58	97.98	39.13	64.97	0.0	106.35	25.38	13.42	0.0	124.92	0.0	149.32	61.02	84.97	65.58	70.88	105.95	0.0	96.38	0.0	146.89	99.29	66.36	94.92	32.56	39.05	24.79	18.81	66.5
Nrbp1	0.0	0.0	0.0	175.38	0.2	12.75	146.92	97.6	0.16	118.46	0.0	0.0	0.0	0.0	0.0	7.33	127.02	93.29	94.41	131.58	35.22	1.69	5.5	42.93	21.97	0.0	0.0	161.13	175.97	27.59	112.37	0.0	110.32	0.0	161.79	0.24	111.11	0.0	153.67	0.0	135.95	94.98	113.62	247.08	4.32	86.32	301.8	198.11	2.64	2.98	133.63	0.0	0.0	38.57	49.51	117.69	0.0	176.42
Ntm	264.86	17.79	192.19	254.71	469.32	146.26	601.76	89.12	116.95	415.12	138.59	4.0	241.03	304.6	103.33	93.34	236.17	306.3	492.5	217.26	203.67	163.88	59.88	203.43	175.47	348.89	199.87	56.94	92.2	7.44	109.56	99.92	99.47	0.0	141.69	152.44	211.52	0.0	482.56	396.94	174.44	24.89	445.26	202.35	365.25	556.06	406.51	421.93	169.21	489.08	2.86	112.75	0.0	131.84	115.17	191.87	0.73	84.77
Odz2	12.25	0.0	9.7	19.5	12.1	3.47	7.19	32.94	0.64	0.59	1.62	0.0	11.03	7.87	3.4	11.03	21.42	23.91	30.46	18.99	8.43	12.49	1.57	17.93	12.46	4.68	0.08	6.85	4.82	38.44	10.12	8.69	0.1	0.0	4.74	4.76	23.41	0.0	15.67	13.75	3.09	18.2	32.17	5.78	40.75	37.78	58.41	33.23	30.49	10.55	11.6	8.33	0.0	5.78	5.09	1.01	7.16	4.9
Pclo	27.62	0.06	33.35	31.44	29.13	26.2	28.67	49.16	1.0	40.37	44.69	0.28	4.01	21.49	22.2	37.62	78.28	28.68	28.55	27.78	52.02	26.25	13.55	50.84	6.22	10.62	10.59	16.24	23.35	34.65	23.46	70.05	33.52	0.03	52.78	16.93	46.31	0.3	30.78	29.01	23.31	26.47	24.61	65.24	46.22	83.55	73.51	44.68	59.8	34.64	0.18	13.68	0.0	26.21	21.95	14.25	22.53	14.46
Rab15	103.25	0.0	8.89	71.88	0.0	8.47	85.22	0.4	0.0	61.52	98.49	0.0	0.0	43.88	0.0	0.0	92.16	18.56	0.0	72.68	247.91	0.0	21.92	161.34	0.44	0.0	35.47	34.61	38.54	9.14	0.0	42.49	61.78	0.0	31.86	7.43	0.07	0.0	343.46	7.45	19.29	59.5	3.17	45.42	32.45	126.18	64.32	75.46	16.33	158.7	0.2	0.0	220.61	35.24	36.67	37.19	55.3	0.0
Rab3c	13.3	80.5	60.78	298.16	520.27	47.93	71.24	0.22	141.19	92.43	12.98	0.27	10.12	51.33	14.77	32.67	79.84	502.15	201.11	262.32	208.26	31.99	12.48	1.34	39.93	0.12	17.08	36.76	67.76	29.33	13.56	74.18	3.5	0.0	0.04	19.2	6.26	0.0	6.71	79.1	147.63	30.27	197.84	250.33	242.56	293.62	333.54	317.74	181.63	250.05	77.05	38.37	181.85	18.39	24.17	0.11	39.97	26.39
Rabepk	189.6	0.65	64.8	285.67	0.0	0.36	106.19	49.52	0.0	39.06	37.2	0.26	1.35	56.99	98.07	68.92	222.4	14.62	121.72	74.63	69.48	139.05	207.44	122.71	58.19	4.96	29.43	15.07	137.45	104.88	148.94	4.57	80.94	59.5	0.0	7.5	234.59	0.0	171.88	114.97	1.39	25.43	77.01	134.64	48.96	137.84	228.11	139.14	262.08	60.73	119.76	92.43	0.27	72.99	103.08	8.48	5.27	416.13
Rap1gap2	32.9	0.0	24.52	0.05	20.14	0.0	23.43	14.02	0.0	20.93	38.64	0.0	0.0	38.87	0.0	0.27	86.16	45.59	70.85	35.64	37.55	30.5	0.0	35.12	43.21	1.94	23.78	19.76	15.18	26.8	0.0	45.6	135.24	0.0	11.27	0.0	33.74	0.0	29.46	44.49	0.0	12.04	60.57	3.96	13.03	50.01	39.27	88.73	20.11	86.9	0.0	0.0	0.0	18.72	16.53	10.47	43.87	37.94
Slc25a46	3.08	43.76	8.31	46.2	117.32	10.14	71.08	10.22	0.16	15.61	4.07	0.0	21.64	29.99	5.75	62.52	57.64	27.93	68.1	1.39	41.74	0.67	17.47	114.17	7.9	0.0	41.59	11.03	0.22	4.52	19.34	56.27	134.05	0.04	0.43	25.81	2.37	0.13	69.47	61.17	164.8	55.5	38.11	89.76	46.12	79.91	7.39	94.49	4.85	141.34	11.07	0.53	11.97	30.07	25.15	6.24	1.16	2.54
Snap91	85.75	0.0	11.52	75.52	114.18	46.31	105.75	101.08	63.56	93.96	168.89	0.0	17.19	90.45	52.28	63.02	146.71	135.09	146.86	102.93	102.97	59.21	23.41	389.26	29.49	0.17	55.27	79.19	12.32	172.35	32.81	155.75	20.14	0.0	44.98	1.65	89.34	0.0	250.08	54.34	88.49	82.17	75.28	73.46	119.97	133.11	119.0	142.9	0.52	97.05	24.47	122.93	2.57	61.66	71.28	22.75	49.14	1.2
Sorl1	34.31	0.0	43.16	113.69	73.8	12.43	7.82	38.12	0.15	34.21	6.24	0.0	24.84	34.98	0.0	24.54	35.83	40.66	154.27	30.0	59.38	48.76	4.69	34.47	58.01	26.31	0.0	15.44	0.09	70.6	34.17	56.12	4.09	0.0	0.0	2.88	17.9	0.0	8.74	7.6	103.14	54.57	81.88	56.07	122.52	143.79	157.35	127.84	55.31	165.8	34.8	0.1	0.07	19.0	19.86	4.75	24.74	1.72
Stxbp1	80.86	80.67	325.09	360.38	254.24	261.03	214.72	239.43	498.12	186.4	278.22	0.25	120.69	228.57	181.03	368.94	363.33	584.21	536.2	397.59	399.01	170.94	293.36	284.01	178.58	148.83	262.3	546.88	544.4	563.33	165.88	403.03	443.45	0.0	396.92	362.39	38.93	60.92	450.41	286.7	292.4	378.13	443.7	552.01	368.95	530.38	516.42	633.78	563.0	314.44	275.53	243.1	471.66	329.23	344.24	211.6	425.58	116.81
Syn2	128.73	112.12	97.48	96.52	116.55	0.0	107.53	263.66	0.0	59.19	61.71	0.0	58.83	114.64	47.47	87.68	598.61	168.11	393.67	186.9	198.14	251.35	258.77	405.16	164.17	115.54	97.74	129.82	43.51	9.1	7.76	184.95	102.69	0.0	159.81	301.53	167.19	0.0	52.07	100.12	170.8	85.81	493.02	139.14	195.92	197.8	273.19	210.63	57.02	263.1	58.29	108.06	228.77	78.46	85.46	54.16	128.2	0.07
Taf3	17.22	0.0	10.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.9	1.12	1.26	4.34	0.0	0.0	42.12	0.0	0.05	14.55	0.07	6.7	0.0	0.0	6.28	0.04	0.0	0.0	0.0	0.04	0.0	7.29	69.62	42.06	0.0	9.32	12.15	0.63	30.5	33.73	10.93	0.0	1.19	18.49	0.0	0.0	6.32	6.59	0.0	0.0	0.0
Txndc17	0.0	0.0	93.02	37.98	193.01	0.0	183.71	46.13	0.0	66.34	149.38	0.3	5.88	106.96	36.47	31.05	183.15	155.47	204.35	108.36	90.6	137.12	50.28	159.2	49.55	0.17	72.79	47.18	76.15	122.65	0.0	79.76	55.02	230.6	58.95	24.4	0.46	0.27	117.58	1.49	146.61	22.68	90.41	2.71	190.49	74.28	69.3	126.08	82.92	148.44	0.0	55.01	0.0	59.96	68.31	0.0	55.02	187.75
