	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_34	Chrna2_tdTpositive_cell_43	Chrna2_tdTpositive_cell_54	Chrna2_tdTpositive_cell_62	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_12	Cux2_tdTnegative_cell_13	Gad2_tdTpositive_cell_11	Gad2_tdTpositive_cell_43	Gad2_tdTpositive_cell_55	Gad2_tdTpositive_cell_57	Gad2_tdTpositive_cell_74	Htr3a_tdTpositive_cell_54	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_7	Nkx2.1_tdTpositive_cell_9	Nkx2.1_tdTpositive_cell_13	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_21	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_18	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_24	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_34	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_43	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_49	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_56	Pvalb_tdTpositive_cell_65	Pvalb_tdTpositive_cell_68	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_72	Pvalb_tdTpositive_cell_75	Pvalb_tdTpositive_cell_78	Pvalb_tdTpositive_cell_89	PvalbD.Slc32a1_tdTpositive_cell_9	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_17	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_19	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_26	PvalbD.Slc32a1_tdTpositive_cell_27	PvalbD.Slc32a1_tdTpositive_cell_28	PvalbD.Slc32a1_tdTpositive_cell_31	PvalbF.Gad2_tdTpositive_cell_2	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_18	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_38	PvalbF.Gad2_tdTpositive_cell_39	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_43	PvalbF.Gad2_tdTpositive_cell_44	PvalbF.Gad2_tdTpositive_cell_49	PvalbF.Gad2_tdTpositive_cell_54	PvalbF.Gad2_tdTpositive_cell_60	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_65	PvalbF.Gad2_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_79	PvalbF.Gad2_tdTpositive_cell_80	PvalbF.Gad2_tdTpositive_cell_83	PvalbF.Gad2_tdTpositive_cell_84	PvalbF.Gad2_tdTpositive_cell_85	PvalbF.Gad2_tdTpositive_cell_87	PvalbF.Gad2_tdTpositive_cell_90	Rbp4_tdTpositive_cell_51	Rorb_tdTpositive_cell_39	Rorb_tdTpositive_cell_47	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg2_tdTnegative_cell_6	Scnn1a.Tg2_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_12	Tac2_tdTpositive_cell_7	Tac2_tdTpositive_cell_8
Kcnab2	0.0	1.81	78.75	0.2	125.93	0.0	0.0	0.0	54.62	56.32	25.04	1.58	2.69	0.54	0.0	0.0	7.53	2.61	39.01	0.0	0.0	61.03	19.58	47.5	45.26	22.24	87.19	102.87	58.06	23.79	20.95	116.01	58.4	32.12	61.28	2.68	56.58	89.61	25.1	36.84	65.46	4.56	48.07	22.53	27.78	54.59	29.97	34.78	31.15	77.57	24.1	88.78	8.73	13.05	15.08	45.03	9.62	53.29	26.07	113.61	40.41	0.21	44.61	6.57	20.08	33.32	77.34	118.17	49.89	59.43	26.18	17.21	64.08	44.07	78.22	43.88	35.72	51.52	22.14	92.95	25.17	69.58	57.48	40.46	101.04	47.5	52.5	133.47	79.62	114.32	58.0	150.1	6.0	98.54	0.1	0.0	0.41	0.0	0.0	0.0	13.22	45.47
Kcnc3	0.0	0.0	0.0	0.0	12.83	0.0	0.0	0.0	15.78	0.0	2.59	0.08	0.0	0.0	0.0	0.0	0.02	11.9	7.36	0.0	0.0	10.1	6.18	1.96	7.5	3.21	15.58	5.98	12.39	12.47	5.35	9.13	2.87	1.21	7.84	0.0	11.58	8.77	6.22	1.36	0.0	0.0	0.06	6.09	7.4	4.31	3.17	6.75	0.08	1.34	5.19	15.04	8.17	6.27	2.73	1.07	4.84	5.05	0.28	18.42	4.27	12.7	10.45	0.51	1.32	9.2	19.58	5.08	7.27	11.75	0.89	1.87	19.57	4.5	5.34	13.46	2.21	5.64	0.83	1.69	4.95	1.51	1.07	7.85	8.91	8.27	3.15	12.9	2.49	5.41	9.12	0.0	2.64	8.74	0.0	0.0	0.0	0.0	0.0	0.0	0.45	0.76
Ldhb	7486.96	4796.54	8138.08	8970.97	7028.63	4317.46	5274.92	2832.54	7241.68	9309.63	7692.96	5768.08	8204.16	2810.1	5876.73	1262.79	6455.58	7326.56	8752.31	4568.2	6399.01	8798.32	8750.45	10118.08	10894.4	8525.9	8892.3	8217.62	8583.06	8517.89	7520.49	9220.91	9343.6	6570.82	8808.99	5567.75	8574.79	10165.1	6613.08	9166.61	7814.88	9602.81	7343.35	7785.08	6241.53	7061.15	8469.38	11261.44	7829.53	8285.69	6969.49	10004.69	7259.91	6616.59	7834.03	8757.21	7112.99	9074.03	6837.62	13571.31	7287.29	6509.49	7093.74	5440.49	6113.3	12546.17	9106.97	8513.41	9755.78	8013.75	8904.1	7659.83	11010.48	8671.45	6703.36	7724.63	10182.84	6673.69	6251.75	6851.78	7750.55	7205.83	9082.37	7441.82	7910.47	8351.44	6259.84	7175.32	8111.86	7493.59	8045.48	8330.83	5029.38	11746.38	4392.08	5217.81	5873.38	3292.59	3719.56	5577.5	6577.4	7324.1
Mtap1a	0.12	19.38	1.07	0.04	35.11	0.0	0.24	0.06	34.47	39.5	46.44	21.48	16.14	2.31	0.07	0.16	16.36	22.75	18.47	0.25	0.46	35.91	35.57	27.87	80.19	32.83	27.1	13.87	25.01	59.45	26.81	47.91	51.61	30.37	51.52	27.96	38.02	39.82	51.6	3.77	41.49	25.02	41.66	39.15	17.44	17.53	43.73	48.68	72.33	43.89	37.87	62.03	21.9	56.57	38.24	2.85	52.18	62.74	9.08	58.63	52.97	30.89	20.98	0.93	21.33	26.33	29.3	25.66	41.34	59.89	32.65	21.3	42.28	15.04	15.69	51.77	53.55	27.54	36.54	15.94	41.14	50.76	34.51	42.49	54.38	67.23	55.69	56.97	39.43	25.14	16.27	15.73	4.18	59.79	0.03	0.0	1.73	0.0	0.03	0.0	33.49	3.88
Nefh	0.0	0.0	0.41	14.03	29.09	0.0	0.0	0.0	7.87	23.98	5.14	26.17	0.0	31.13	0.0	0.0	1.47	40.51	33.18	0.0	0.0	78.02	65.6	8.49	90.01	65.07	48.3	82.42	68.27	96.45	18.58	89.63	70.19	75.01	75.69	0.0	92.34	90.31	44.6	0.39	0.0	32.52	194.77	80.6	12.02	122.83	6.48	16.51	36.46	34.28	1.2	44.52	9.76	22.39	28.1	38.72	54.81	145.17	0.0	233.76	180.83	0.0	12.7	0.0	101.82	107.74	99.21	88.26	28.61	147.49	21.77	107.74	61.11	75.57	77.46	70.43	133.09	29.01	67.23	0.1	12.2	68.53	51.63	84.01	94.02	62.19	24.43	122.53	103.28	59.45	38.72	50.45	18.36	116.26	0.0	0.0	0.0	0.0	0.0	0.0	0.67	16.25
Ntan1	26.97	0.89	118.62	26.84	135.97	0.0	0.0	0.0	115.3	137.67	48.7	87.14	60.12	0.0	0.25	0.0	164.58	264.35	49.92	0.0	0.54	148.76	212.09	75.04	86.99	92.35	122.27	117.39	123.9	202.41	54.36	145.99	242.05	149.27	111.42	76.84	107.77	108.57	106.39	153.69	150.32	73.02	0.0	107.4	115.29	14.0	141.39	15.7	53.48	100.41	57.19	270.06	173.88	138.99	6.24	1.54	96.0	89.94	52.83	206.25	112.78	110.17	71.37	78.35	103.97	292.27	157.78	160.48	202.68	147.88	239.48	19.18	158.95	151.19	144.51	159.01	225.6	107.46	125.2	158.66	199.61	171.52	170.04	66.51	126.79	59.16	148.24	121.47	95.52	66.08	134.81	4.54	113.97	96.1	0.95	2.61	1.99	0.48	0.37	0.0	35.46	55.62
Scn1a	0.0	175.6	151.79	90.66	193.07	0.0	0.0	0.0	380.5	164.69	317.03	237.05	180.7	11.99	0.03	0.0	101.33	207.97	211.06	0.0	0.23	224.39	267.02	239.85	238.43	242.13	97.3	227.08	254.04	313.67	218.72	293.52	196.38	219.78	337.27	205.87	254.6	307.26	314.21	200.69	148.11	168.6	355.86	235.49	259.11	283.85	157.76	309.48	172.76	263.44	141.06	181.34	183.9	243.22	152.68	191.99	292.98	195.71	70.34	228.51	242.89	45.23	144.57	76.76	168.68	151.99	130.34	266.57	144.03	250.33	224.26	160.73	154.67	147.16	202.67	201.02	135.64	224.8	138.28	191.58	174.14	273.04	261.02	213.89	266.65	189.91	273.31	307.2	264.17	207.27	309.4	196.03	212.34	221.77	0.21	0.45	0.22	0.13	0.0	0.0	212.81	223.47
Sez6l2	0.0	18.93	1.0	4.56	42.29	0.0	0.0	0.0	2.78	8.64	0.79	12.68	0.0	24.1	0.0	0.0	26.24	18.25	60.42	0.27	0.16	73.0	18.88	14.17	47.95	102.41	129.53	81.4	34.97	24.11	2.06	19.54	40.68	30.26	27.17	1.76	74.18	60.47	17.62	45.8	2.16	74.27	0.08	46.77	64.42	52.58	170.97	41.5	62.64	5.5	61.71	26.92	60.18	41.33	31.99	41.9	0.93	83.72	20.91	86.48	67.71	42.48	23.59	17.5	17.95	47.6	113.91	2.78	34.07	106.89	170.41	41.75	87.48	80.75	38.8	100.65	54.39	67.5	1.31	63.26	164.26	167.88	63.94	22.01	49.77	18.34	176.16	122.32	41.77	61.56	124.58	62.95	30.79	122.85	0.19	0.46	0.71	0.0	0.11	0.19	77.31	86.62
Slc24a2	0.0	92.59	176.59	78.59	299.26	0.0	0.0	0.0	176.49	331.39	210.82	137.1	25.71	44.27	0.0	0.0	34.33	207.65	155.95	0.09	0.28	172.15	150.96	170.46	264.55	154.79	263.46	233.37	205.99	283.84	154.51	257.24	244.33	130.81	203.59	272.6	266.29	283.6	299.42	307.31	131.39	223.98	303.47	284.0	166.55	249.74	220.53	341.43	109.47	159.47	229.87	304.97	190.12	151.31	171.31	127.86	244.07	202.85	68.98	214.57	132.42	157.6	163.05	98.5	218.99	191.88	226.68	226.75	170.1	255.51	227.92	218.18	161.6	200.53	174.16	237.91	247.62	205.87	190.0	154.66	168.29	273.68	190.94	265.4	409.04	356.83	379.68	443.24	263.01	276.32	255.74	345.73	75.18	269.92	0.2	0.31	0.48	0.05	0.08	0.0	204.05	313.01
Vamp1	38.87	10.73	0.0	0.0	171.0	0.0	0.0	0.0	141.05	82.08	71.43	120.39	0.0	0.0	0.0	0.26	0.24	38.99	89.17	0.0	0.0	108.03	107.92	61.88	88.18	77.92	75.53	95.96	309.65	193.37	60.88	54.17	105.26	9.0	204.8	50.66	120.26	223.98	95.05	153.6	133.36	62.72	203.76	142.28	75.81	2.14	31.71	121.86	108.98	62.52	100.53	126.35	103.95	4.69	42.4	51.39	85.29	152.03	101.58	189.43	73.15	0.54	25.94	0.19	62.74	130.96	241.04	181.36	99.48	117.69	29.18	0.33	80.25	154.48	129.4	10.14	107.42	85.14	195.89	20.26	26.73	125.39	54.88	88.31	135.33	184.84	54.19	187.73	157.74	23.41	2.9	95.68	89.26	136.71	0.0	0.0	0.13	0.0	0.0	0.0	27.3	10.31
Ywhag	0.0	23.22	191.05	65.22	141.96	0.0	0.0	0.45	67.96	94.66	29.7	49.29	8.32	1.86	0.0	0.0	38.16	162.95	85.53	0.0	0.84	170.26	93.91	68.48	144.38	138.98	94.81	92.65	111.15	125.03	117.75	132.05	104.25	83.44	137.38	72.15	150.54	115.48	78.67	66.51	171.25	78.52	310.94	169.26	48.6	8.62	224.12	181.19	90.21	91.63	117.38	101.79	166.74	86.2	122.01	40.33	144.82	169.54	108.35	189.28	209.82	123.33	86.13	85.76	202.19	101.6	170.3	103.43	236.16	226.88	30.33	175.66	145.88	35.64	152.73	84.74	99.5	164.53	48.04	61.3	309.33	189.43	148.08	222.62	72.93	206.04	96.22	247.81	136.38	207.99	185.31	171.41	50.66	164.19	0.39	1.09	0.1	7.15	0.2	0.0	142.16	85.0
