	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_15	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Cux2_tdTnegative_cell_3	Cux2_tdTnegative_cell_6	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_1	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_19	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_45	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_14	Ntsr1_tdTnegative_cell_39	Ntsr1_tdTnegative_cell_57	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_10	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_11	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_21	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_28	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_69	Sst_tdTpositive_cell_76	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101
Cirbp	68.5	167.96	94.98	98.58	0.0	0.0	0.0	135.95	60.72	0.0	215.83	17.3	0.0	0.0	355.08	0.0	62.41	137.24	102.33	54.85	145.63	137.59	135.18	145.77	192.08	76.2	177.8	179.3	30.76	78.42	141.29	96.92	32.19	53.63	62.97	9.08	185.84	123.54	35.87	36.46	52.87	163.11	20.18	82.65	98.99	85.81	41.78	90.29	32.23	116.26	141.36	0.0	0.0	0.0	0.26	0.0	0.98	256.11	0.85	0.0	0.0	0.0	96.45	61.67	145.02	33.95	90.76	104.9	175.8	259.84	132.11	70.7	69.75	117.57
Coq7	50.06	110.68	64.99	124.46	0.0	0.0	0.0	266.89	0.0	0.0	126.79	40.6	0.0	0.0	386.36	0.0	51.06	126.24	302.34	81.19	164.68	238.14	46.04	49.91	229.9	54.82	93.82	92.39	43.85	129.76	73.61	68.43	55.22	209.32	301.67	75.72	511.45	0.0	118.98	212.96	79.48	117.46	0.0	126.69	155.66	231.71	109.05	134.99	0.0	0.0	198.53	11.23	0.0	0.0	0.39	0.0	0.0	0.0	0.0	0.0	682.3	0.0	229.74	174.91	259.09	49.98	49.35	105.08	252.83	412.72	306.83	174.13	6.59	205.92
Cox5b	517.94	141.77	507.18	834.29	0.86	335.54	0.0	285.04	1010.26	0.0	723.83	424.06	117.09	0.0	1226.09	0.0	614.93	597.84	273.45	292.54	318.84	601.72	288.08	333.75	853.42	460.1	585.63	677.37	378.39	365.08	478.86	389.26	404.11	234.54	345.23	696.63	663.89	643.36	419.99	337.23	114.16	297.19	746.39	424.08	701.77	654.75	316.21	248.2	544.61	402.22	510.77	180.02	104.05	205.52	2.45	0.0	0.0	0.0	0.0	319.65	0.0	0.0	531.05	404.15	177.49	985.79	522.53	322.83	346.82	865.31	141.33	34.77	125.2	683.82
Cox6a1	443.91	250.22	669.18	1139.52	284.27	451.24	129.12	1019.72	997.85	0.0	514.27	980.72	9.69	5.5	1594.88	0.0	1139.64	861.94	895.65	690.02	792.84	973.03	667.52	571.66	716.39	931.17	827.82	832.35	845.1	1055.1	947.45	807.34	593.43	561.63	650.32	621.75	1199.43	737.83	629.49	706.88	410.72	1065.03	686.03	1126.62	561.37	1027.2	745.96	666.78	1121.87	741.54	579.62	742.56	413.55	0.0	3.38	0.0	0.0	0.0	844.5	664.06	1156.24	0.0	1082.33	815.56	1049.99	1355.56	680.95	808.18	822.17	1018.03	118.81	947.21	635.81	1059.46
Cox8a	554.44	82.17	436.09	888.18	58.38	0.0	1.88	454.09	874.54	160.59	506.82	622.92	487.58	549.63	742.73	0.0	397.12	597.03	567.7	541.73	309.84	607.31	631.63	605.8	572.23	669.74	599.52	647.03	599.97	654.43	594.84	588.73	448.1	663.32	844.51	531.75	545.56	550.91	533.39	471.85	262.65	700.17	783.49	580.44	802.93	673.54	815.01	470.26	403.86	514.36	582.37	106.14	131.16	0.0	0.64	0.0	488.97	157.33	574.98	0.0	224.71	217.69	599.56	629.04	392.35	336.15	533.93	522.0	543.6	634.81	59.41	339.49	498.93	896.39
Cplx1	180.29	447.38	135.58	390.34	0.0	0.0	0.0	674.41	1254.39	0.0	385.86	294.63	0.0	0.0	249.4	0.0	179.52	409.76	137.06	171.93	3.2	204.33	273.87	88.46	238.23	348.56	330.12	154.42	289.0	434.04	640.98	366.28	274.48	458.65	306.16	141.07	362.34	494.25	82.14	373.77	343.06	135.92	10.24	118.17	245.09	258.26	197.24	343.19	276.82	224.35	235.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	377.92	160.94	119.07	493.53	143.97	457.62	0.44	499.83	171.45	169.2	128.26	368.03
Exosc9	59.07	69.52	116.4	64.74	0.0	57.85	0.0	0.0	221.08	82.32	101.07	63.84	0.3	0.0	0.26	0.0	143.7	0.69	24.13	120.58	60.76	76.01	34.23	136.24	118.38	2.66	75.76	39.86	159.53	122.19	195.86	0.0	130.72	155.6	255.3	190.41	368.43	66.59	0.0	165.49	0.13	122.14	0.0	90.23	169.18	58.09	116.49	137.56	139.54	88.17	118.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.18	120.65	0.42	0.0	95.0	26.64	257.25	156.89	148.09	124.55	0.38	224.2
Faim2	87.67	91.27	53.84	99.96	0.0	0.0	0.0	27.55	117.66	19.64	78.19	26.09	0.1	0.0	196.36	0.0	83.01	86.24	68.63	45.71	56.32	37.65	49.76	119.55	131.64	187.83	145.51	70.79	125.07	127.19	125.99	106.33	48.44	17.31	41.93	104.63	99.96	30.09	65.58	81.22	82.01	36.7	2.55	30.69	111.82	100.16	70.56	48.2	43.76	59.83	60.49	0.0	0.0	0.28	0.07	0.0	0.0	0.23	0.2	116.51	269.03	0.0	80.17	58.51	41.14	49.48	138.02	104.04	208.45	234.82	18.67	62.27	83.6	194.33
Gad2	320.61	342.51	411.41	371.93	2.4	0.76	0.62	462.02	762.48	113.88	899.36	1076.3	0.1	0.16	719.42	0.0	245.09	196.34	314.59	34.12	318.35	156.94	162.81	429.15	333.44	378.8	396.67	294.55	483.26	360.75	360.07	204.55	301.16	198.65	804.54	283.25	818.99	486.53	218.1	261.36	348.54	379.4	132.94	99.8	305.57	250.6	418.12	372.29	475.46	362.78	300.55	4.16	3.94	3.25	2.67	0.69	0.46	0.0	0.43	0.0	0.74	1.48	388.23	245.39	533.08	406.16	315.14	194.46	378.68	520.76	444.09	230.51	290.56	429.79
Gm12709	41.94	17.17	23.45	6.89	0.0	0.0	0.0	22.2	16.02	0.0	30.01	18.06	0.0	0.0	16.79	0.0	13.62	8.36	7.22	22.72	12.38	34.84	24.17	25.01	18.02	30.24	14.45	16.47	10.47	16.7	9.86	7.16	4.83	5.77	20.02	12.35	17.41	25.17	4.94	4.77	5.45	7.45	4.6	10.71	7.47	8.37	6.76	8.3	15.31	12.49	8.73	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.26	1.95	24.53	44.76	9.6	11.73	32.29	7.97	4.96	7.86	3.85	9.24
Grin1	6.83	4.51	11.37	27.19	0.0	0.0	0.0	20.61	38.3	1.03	1.33	22.13	0.0	0.0	24.29	0.0	16.01	11.15	0.76	0.37	7.12	4.71	11.59	3.89	6.43	16.62	10.36	50.02	12.81	11.06	7.58	1.06	8.49	1.39	0.7	0.27	0.58	2.58	5.46	0.25	0.0	6.68	12.18	4.11	54.65	2.24	15.36	10.11	2.6	1.03	19.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.29	24.76	0.1	17.42	28.66	11.58	6.87	65.29	17.21	5.57	5.85	29.07
Grina	280.11	158.41	326.42	590.77	32.66	0.0	0.0	272.39	424.68	743.02	180.53	258.15	0.0	0.0	351.13	0.0	21.73	312.78	318.77	173.41	278.23	356.65	429.46	368.15	178.73	416.39	273.47	446.2	419.11	339.84	278.71	56.2	186.8	478.87	435.98	390.42	526.87	270.72	91.22	161.68	132.94	70.82	124.08	242.1	268.07	219.58	188.03	164.94	328.88	424.97	368.22	112.07	0.0	5.69	0.0	0.0	0.0	0.0	3.75	0.0	0.0	0.0	345.56	274.76	199.84	156.78	505.95	452.1	455.22	661.0	211.82	334.1	393.93	519.03
Ict1	90.76	126.01	90.99	144.3	162.46	0.0	0.0	177.35	51.93	1.43	207.8	53.92	0.68	0.0	243.25	0.0	49.35	46.7	0.23	84.73	9.14	130.4	100.65	72.03	102.64	28.7	98.06	107.16	70.31	96.62	145.3	200.74	0.0	59.8	222.45	77.1	354.95	301.58	139.85	102.89	43.01	135.12	89.21	146.83	73.37	85.67	79.11	130.23	118.77	58.8	143.69	0.0	0.0	0.0	0.46	0.0	0.0	92.93	0.0	281.17	0.0	0.0	212.41	75.2	193.36	100.19	359.73	93.41	188.64	98.33	129.93	283.52	67.27	137.89
Lrrc17	407.4	735.31	535.5	1328.13	8.7	13.98	5.33	699.47	850.94	379.91	307.23	592.88	52.24	38.37	502.09	33.9	476.34	215.03	219.98	349.61	255.08	393.76	356.77	368.45	558.74	396.22	336.63	792.44	408.17	174.53	272.35	293.25	95.56	209.62	87.64	273.52	293.77	400.48	200.48	81.98	150.15	127.53	512.79	221.26	269.6	155.25	102.13	156.98	121.37	48.29	138.21	67.89	11.91	14.94	6.73	35.95	6.28	38.89	8.57	23.98	39.16	3.52	643.39	685.3	1044.2	85.74	252.23	544.26	783.93	485.87	226.89	549.78	522.87	719.86
Myh10	22.96	27.32	11.37	42.23	0.0	0.0	0.0	28.36	24.17	0.25	3.61	40.35	0.0	0.0	31.29	0.0	20.7	26.93	36.54	18.16	3.04	23.72	4.63	12.96	37.15	11.95	7.54	43.78	27.3	9.72	4.41	0.82	29.47	36.46	8.04	29.9	38.16	12.3	4.78	3.98	16.34	24.19	0.23	0.71	11.65	46.41	31.22	0.03	10.24	11.86	20.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.86	21.94	21.18	17.23	25.17	15.44	0.43	25.92	20.28	12.14	0.27	14.97
Ndufb2	220.57	54.45	147.9	303.37	0.0	0.0	0.0	53.78	138.07	0.0	77.42	163.67	153.25	0.0	250.36	0.0	231.67	78.53	100.19	203.45	158.63	275.47	28.69	121.77	117.69	257.84	214.31	276.8	168.72	188.48	134.39	123.13	152.02	179.26	144.98	167.43	45.47	179.74	112.43	162.35	15.82	93.02	244.0	293.53	76.11	240.23	111.65	164.39	178.91	19.45	186.37	1.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	226.26	280.95	86.37	131.27	273.47	155.18	315.8	197.9	47.03	44.72	42.78	261.73
Nme1	768.48	1154.02	890.35	879.84	0.0	0.38	0.0	548.67	1232.57	142.66	1230.4	581.73	900.45	0.37	1622.22	0.0	932.31	906.8	654.56	525.93	755.33	870.11	1071.24	691.54	1134.98	621.58	998.21	974.37	947.25	812.36	673.65	1073.71	791.23	826.39	929.1	930.65	1646.64	827.16	977.99	656.67	689.39	681.59	655.81	698.7	645.35	975.52	656.02	686.22	629.08	613.87	958.35	0.65	333.72	0.0	1.07	0.0	0.0	0.0	0.0	0.0	0.85	0.0	833.49	905.19	1500.77	773.2	939.19	893.06	1862.51	966.06	1794.9	1313.43	1253.76	919.79
Npy	138375.8	56190.59	173305.25	115124.65	0.0	0.0	0.0	108594.8	96206.73	14635.6	77711.12	125016.83	0.0	0.0	63494.68	0.0	132042.44	105008.15	149629.49	134232.96	130357.56	105498.11	116117.28	120987.76	122165.94	132052.33	122154.33	122963.43	126501.28	117863.77	98464.67	102118.34	130527.91	173863.58	101365.79	126989.03	45711.04	80801.23	166048.87	115420.41	191162.16	108906.97	154857.31	124150.07	134158.33	153405.37	147732.76	141010.39	110523.31	101137.64	151963.58	0.0	1.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	145032.54	180453.32	92572.95	48343.46	128781.07	137945.15	48908.54	35571.91	49931.63	95298.15	137580.94	120620.2
Nudt21	57.7	42.33	48.3	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	4.21	0.0	0.0	94.51	0.0	62.18	67.49	0.0	0.11	128.07	9.39	42.51	47.93	0.19	47.8	30.98	40.0	0.0	0.0	26.78	29.02	6.27	11.79	0.0	13.05	163.31	49.17	1.2	50.4	43.88	0.0	0.0	0.0	37.8	43.9	0.0	53.39	10.82	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.54	7.02	34.19	0.0	83.07	31.22	125.25	84.61	0.0	7.19	0.56	173.34
Pebp1	649.21	361.86	415.03	804.69	0.39	0.0	0.0	1128.5	1570.26	271.31	1211.57	957.52	0.41	0.0	1192.09	0.0	764.49	761.78	629.48	396.2	463.6	541.02	335.26	635.25	756.32	975.83	448.65	869.36	793.9	473.39	667.22	853.42	575.09	665.86	1055.76	528.02	1117.47	929.68	821.18	568.66	440.21	1089.52	14.34	580.55	650.89	524.06	325.11	581.83	552.59	656.52	716.61	0.0	234.72	1.18	162.64	0.0	0.0	0.0	0.0	472.6	0.89	0.54	654.43	639.35	631.2	827.66	693.36	943.44	430.74	272.84	546.72	1066.47	769.15	761.56
Pgam1	415.69	308.5	144.96	682.31	0.0	0.25	0.0	317.64	730.97	62.01	1293.15	451.08	0.52	0.0	412.51	0.0	407.47	604.94	580.12	226.44	353.03	307.99	552.51	503.79	356.81	402.73	514.53	699.66	646.55	556.8	580.3	454.71	309.85	421.93	854.69	473.92	669.0	494.14	373.14	505.76	139.9	747.56	606.73	728.39	262.97	689.32	422.22	393.51	433.56	445.82	599.99	705.17	0.55	0.0	0.0	0.0	0.0	0.0	0.58	0.0	3.1	0.0	616.7	528.2	262.04	566.77	244.51	826.78	559.89	957.81	112.18	373.71	458.87	755.38
Prkar2b	63.05	0.0	124.93	4.26	0.0	0.0	0.0	0.22	16.39	0.0	3.91	54.05	0.0	0.0	76.53	0.0	28.15	68.9	8.99	0.04	62.22	0.12	48.75	79.0	30.54	1.75	0.9	2.88	5.29	8.5	29.87	0.0	68.17	49.02	2.32	88.55	87.93	11.82	15.69	23.9	0.32	45.17	33.01	13.6	49.12	28.52	0.0	42.91	62.48	0.07	62.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.31	16.83	59.69	1.23	0.0	5.9	85.9	0.0	1.62	17.33	3.69	31.52
Puf60	30.36	101.03	98.85	229.52	0.0	32.72	0.0	77.08	216.19	0.0	211.5	76.19	1.82	0.0	104.34	0.0	116.76	91.23	82.66	68.82	4.57	136.16	107.57	0.73	154.88	60.5	42.69	86.0	107.73	107.58	155.43	67.48	47.79	250.06	6.03	109.81	489.46	226.17	141.3	75.89	0.0	93.17	0.0	61.55	156.72	105.29	64.41	68.18	0.09	151.51	103.02	0.0	0.55	0.0	0.0	0.0	0.0	0.0	0.58	427.8	0.0	0.0	185.72	78.1	111.31	128.61	162.98	79.62	440.85	392.08	37.87	55.03	122.98	64.52
Rab3a	125.32	341.3	203.31	352.77	0.0	0.0	0.0	167.16	878.75	0.0	355.66	283.96	0.33	0.0	852.18	0.0	296.03	267.67	72.42	202.87	240.62	160.74	217.99	128.36	425.92	142.12	471.84	484.93	593.28	269.64	152.36	144.17	110.88	232.98	268.52	210.0	310.97	196.99	102.44	115.19	151.7	376.82	195.59	85.51	297.25	131.87	113.91	41.47	77.81	90.2	115.22	0.55	0.71	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	210.88	102.26	14.05	331.18	493.75	216.1	368.63	988.09	116.85	138.39	10.5	265.02
Rab3c	77.38	146.39	55.7	37.01	0.17	0.4	0.06	355.7	525.52	13.3	447.36	595.22	0.0	0.0	487.05	0.0	42.83	83.49	101.54	80.99	84.53	31.27	64.12	81.23	112.28	52.03	116.7	66.76	189.67	94.52	98.6	51.22	67.84	9.66	380.52	44.15	175.16	412.28	74.34	31.74	81.08	637.91	11.18	40.13	96.47	86.32	60.33	51.83	65.5	66.49	25.05	0.18	0.3	2.8	0.14	0.55	0.17	0.0	2.2	0.0	0.26	0.0	108.57	13.59	202.55	29.97	63.86	51.49	248.55	192.07	139.16	124.77	62.1	47.48
Rbfox3	8.5	36.83	8.63	12.26	0.0	0.0	0.0	0.5	0.86	0.0	18.34	88.65	0.0	0.0	7.61	0.0	5.19	4.87	2.52	0.04	0.11	0.47	2.04	12.3	11.2	20.78	26.2	2.19	11.02	15.92	17.77	11.71	2.52	6.44	97.54	0.0	9.52	26.98	0.0	0.08	3.83	12.14	0.31	6.01	1.18	5.12	0.39	6.36	3.65	4.76	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.42	14.91	5.04	5.72	24.95	13.57	24.47	7.4	12.96	21.37	0.2	5.28
Rraga	152.89	61.5	46.57	205.86	0.0	0.0	0.0	63.48	122.29	0.0	6.42	120.52	0.0	0.0	144.27	9.45	130.0	134.58	53.53	49.39	198.05	227.09	77.99	73.84	259.61	148.83	323.05	291.67	178.13	246.13	60.68	111.36	71.29	65.04	69.81	82.4	72.68	43.24	62.86	58.35	18.7	108.32	205.62	211.68	110.51	23.29	27.44	45.27	81.04	74.59	130.2	0.0	19.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	212.66	109.31	45.74	146.66	184.63	124.52	73.15	253.36	76.22	26.43	126.3	236.49
