	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_28	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_57	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_7	Ctgf_tdTpositive_cell_9	Ctgf_tdTpositive_cell_10	Cux2_tdTpositive_cell_98	Cux2_tdTnegative_cell_6	Gad2_tdTpositive_cell_8	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_48	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_45	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_13	Ntsr1_tdTnegative_cell_19	Ntsr1_tdTnegative_cell_22	Ntsr1_tdTnegative_cell_29	Ntsr1_tdTnegative_cell_44	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_21	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_69	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Dennd4b	0.0	23.06	0.0	0.0	0.0	0.0	0.0	0.0	43.02	0.0	0.0	0.0	20.81	0.0	0.0	0.0	1.85	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	6.06	19.62	0.07	0.0	8.71	0.0	0.0	0.0	0.0	0.35	0.0	16.21	0.0	0.0	0.0	0.0	13.99	0.0	0.0	0.0	0.0	0.04	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.35	0.0	0.0	0.0	0.0	1.76	19.31	4.88	0.0	29.06	28.22	28.69
E330023G01	0.0	0.0	4.5	5.89	0.0	0.27	0.0	0.0	17.96	0.0	13.08	4.95	8.37	2.43	2.23	0.1	5.51	0.0	0.0	7.62	7.04	2.78	0.31	0.14	0.46	0.21	1.45	2.78	0.88	3.1	0.0	2.2	4.6	2.02	5.12	3.59	8.72	1.13	6.09	1.55	0.16	1.32	2.34	1.05	1.96	0.46	4.2	0.4	0.19	2.17	2.81	8.91	0.0	0.0	0.0	0.36	0.0	0.0	0.0	0.0	2.22	2.34	6.36	14.76	2.58	2.65	0.94	5.89	0.31	2.29	0.55	3.96	4.43	6.64
Ecd	32.08	313.45	13.33	0.0	0.0	0.0	0.28	0.0	407.55	0.0	101.01	0.09	63.56	8.55	27.53	140.87	4.26	0.1	0.0	61.89	39.01	92.93	63.4	8.63	0.15	85.0	0.19	4.24	0.13	62.5	45.39	9.18	53.08	19.78	2.57	51.31	49.64	101.14	6.1	0.25	51.56	0.07	4.35	26.66	46.91	28.86	60.27	27.22	48.57	55.61	19.78	55.0	0.0	19.74	0.0	1.29	0.0	0.19	0.43	33.75	11.7	0.8	50.59	0.7	55.94	170.06	8.69	3.41	63.68	0.07	7.66	29.29	31.1	29.49
Fbxo22	63.57	205.37	1.09	10.47	0.73	0.0	4.42	0.0	329.02	0.86	187.11	0.57	0.11	52.38	110.72	3.79	93.88	775.4	0.0	36.99	66.71	42.44	0.56	0.7	8.05	0.39	35.19	3.71	1.25	39.83	52.06	37.14	36.31	87.27	3.95	4.77	52.27	1.57	42.88	3.88	96.12	80.94	0.0	2.94	59.37	48.46	49.34	95.9	6.07	1.66	91.95	131.58	3.33	0.3	0.32	1.49	0.39	2.16	0.83	143.72	49.22	117.36	23.86	4.0	114.07	0.61	164.18	37.7	0.79	54.12	0.35	43.52	42.0	42.93
Gm5607	4.98	8.8	17.49	2.65	0.22	0.27	9.95	1.39	70.77	6.52	4.68	17.17	4.28	17.81	12.59	13.13	16.95	2.71	0.0	4.34	4.85	3.32	6.67	7.3	3.74	23.67	4.27	4.9	7.14	7.94	13.6	8.26	2.41	9.03	8.19	7.63	3.39	4.51	4.25	2.83	3.83	3.78	8.45	4.2	5.58	3.14	4.14	16.55	20.75	2.84	3.39	11.08	3.62	8.29	3.16	6.82	3.06	10.29	13.28	3.39	4.46	4.64	4.48	16.52	15.78	6.77	7.34	4.15	3.82	2.39	9.24	10.94	9.85	11.52
Igdcc4	16.6	10.21	0.0	0.0	0.0	0.0	0.0	0.0	65.84	0.0	0.99	0.0	0.0	0.0	0.0	54.71	0.0	0.0	0.0	0.16	17.16	0.04	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	3.54	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	19.2	0.0	0.0	4.42	0.0	0.0	0.0	0.0	0.0	7.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.73	0.0	0.0	0.0	1.23	0.0	0.0	0.0	11.49	0.0	0.0	23.98	23.85	25.77
Leng8	0.0	7.36	3.46	0.85	0.0	0.0	0.0	0.0	35.08	0.0	3.61	0.43	6.08	0.49	15.53	24.33	3.03	0.0	0.0	0.03	10.49	1.6	2.22	3.43	4.53	2.93	0.69	2.06	6.81	0.59	3.69	0.79	3.75	2.19	1.11	4.39	11.14	0.0	0.0	1.07	2.66	0.0	0.0	0.09	9.6	0.0	0.38	0.0	7.87	5.35	7.17	2.35	2.86	0.0	0.19	0.13	0.0	0.0	0.0	4.9	0.0	0.0	3.88	1.46	5.37	0.94	13.91	7.86	0.06	0.56	0.27	164.73	168.18	197.46
Lpgat1	23.23	30.9	42.29	32.92	0.0	0.0	0.0	0.0	258.91	0.0	32.56	1.17	59.43	74.32	60.22	67.83	71.94	0.0	0.0	7.18	54.93	51.66	36.68	45.99	0.93	12.84	51.36	40.61	26.01	43.01	13.7	117.0	27.51	68.96	46.75	28.87	21.59	1.43	27.6	32.53	21.7	25.53	34.28	8.21	101.32	17.3	49.87	24.27	39.98	27.09	49.73	18.8	0.0	0.0	3.66	0.0	217.49	2.12	80.44	18.06	63.63	27.97	63.43	86.36	35.38	0.07	14.74	45.02	4.64	9.17	113.08	138.31	127.47	133.8
Lysmd1	3.21	0.0	47.46	0.0	0.0	0.0	0.0	0.0	321.52	0.0	217.08	0.0	80.22	2.9	0.0	0.0	170.97	0.0	0.0	0.14	1.69	3.17	0.0	15.22	0.0	1.2	60.69	27.1	0.0	96.12	54.44	17.93	38.95	102.37	37.07	0.0	53.63	86.5	95.19	14.96	0.0	0.0	0.83	0.0	0.0	1.13	78.82	0.73	2.51	0.07	21.43	40.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.06	0.0	212.46	39.52	11.87	6.7	2.96	0.38	0.0	0.0	18.65	20.02	18.74
Lysmd3	0.2	69.45	0.0	0.0	0.0	0.0	0.0	0.0	139.75	0.0	0.0	0.0	0.0	63.0	0.0	1.08	70.19	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	7.08	0.0	0.0	0.0	0.0	34.63	0.0	0.0	0.0	38.01	18.75	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.0	0.27	0.0	0.0	0.0	13.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	8.63	7.51	6.96
Mrpl10	2.9	97.31	0.83	1.37	0.9	0.74	0.95	1.23	418.06	5.0	68.25	2.65	1.32	198.45	230.77	3.69	1.94	0.57	0.0	119.48	52.4	50.15	127.46	28.73	4.21	23.84	39.94	12.6	1.84	82.86	3.07	43.49	1.42	46.06	97.25	71.64	110.32	5.28	25.63	154.1	4.96	65.73	12.28	5.51	71.91	61.35	1.01	6.04	44.27	58.9	83.24	11.15	0.45	0.0	0.0	11.35	1.57	1.78	5.95	1.12	2.65	3.14	46.62	2.1	73.57	57.89	2.58	90.3	82.5	63.48	3.02	59.88	66.71	64.55
Ncoa2	8.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	93.19	0.0	1.42	0.02	0.0	41.51	0.19	3.56	42.59	0.0	0.0	0.59	0.0	4.24	0.0	16.58	2.54	0.01	0.01	12.71	0.0	0.6	0.67	0.49	0.0	0.0	2.57	41.45	22.0	0.0	1.22	0.44	0.03	11.67	1.95	0.0	0.0	0.53	12.66	0.0	0.0	16.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.72	19.16	3.25	0.0	0.0	19.44	16.47	0.0	19.71	0.09	0.0	41.1	39.57	43.52
Nkrf	85.37	46.38	42.82	25.97	0.0	0.0	0.0	0.0	377.9	0.0	0.0	0.19	6.26	0.13	37.67	175.39	2.15	0.0	0.0	152.84	141.46	92.94	29.64	0.1	36.67	40.02	26.3	32.74	130.41	30.44	50.43	37.57	9.85	80.68	55.51	94.19	37.56	0.0	44.89	52.37	46.53	25.2	0.0	0.0	56.14	99.27	34.85	102.26	26.88	0.05	111.78	104.2	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.09	39.79	0.1	55.25	137.68	92.46	21.02	0.0	7.19	0.0	42.63	0.0	26.97	24.76	22.53
Npy	138375.8	9073.51	173305.25	1.46	0.0	0.0	0.0	0.0	12448.57	0.0	16044.9	43922.94	108594.8	96206.73	42632.64	45335.24	125016.83	0.0	0.0	132042.44	105008.15	149629.49	134232.96	130357.56	105498.11	116117.28	120987.76	122165.94	132052.33	122154.33	122963.43	126501.28	117863.77	130527.91	173863.58	101365.79	126989.03	45711.04	80801.23	166048.87	115420.41	191162.16	108906.97	154857.31	124150.07	134158.33	153405.37	147732.76	141010.39	110523.31	101137.64	151963.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	145032.54	180453.32	92572.95	128781.07	23340.13	137945.15	48908.54	35571.91	95298.15	137580.94	120620.2	68416.93	214.21	196.57	200.76
Nrcam	40.79	3.63	25.69	0.78	1.84	3.42	0.46	0.19	66.45	0.0	0.51	0.45	53.53	16.31	77.02	37.92	36.12	0.0	2.01	27.01	14.28	22.53	3.25	20.37	1.12	35.84	30.11	20.79	56.35	43.84	33.42	51.4	19.0	46.19	61.21	12.74	51.88	3.59	3.54	11.59	20.5	11.73	5.55	27.44	56.24	17.57	26.27	64.91	26.02	49.12	64.81	46.65	0.0	0.18	0.13	0.0	1.49	0.0	0.25	12.57	45.13	0.38	76.69	105.88	31.09	0.13	14.58	17.3	16.91	20.83	70.68	149.64	137.89	151.29
Nsf	365.17	478.74	438.33	195.99	0.0	703.41	0.0	0.0	653.12	0.12	541.49	803.04	694.39	529.69	804.87	414.29	265.67	0.0	1.98	795.68	590.66	473.54	426.81	157.79	237.93	223.45	467.07	598.51	478.48	487.97	507.22	291.3	489.06	620.39	349.61	419.54	380.12	449.17	500.31	291.67	586.63	262.23	489.84	192.99	200.64	449.21	208.37	325.58	234.81	513.16	358.63	403.16	0.0	0.0	0.91	0.18	0.1	0.0	0.0	288.27	407.88	295.39	573.28	702.88	406.57	689.4	242.54	381.43	533.76	386.21	162.33	637.47	644.67	625.39
Pclo	39.79	39.75	12.98	11.66	0.0	0.05	0.06	0.09	83.07	0.18	23.92	0.14	10.74	27.79	41.55	57.1	36.37	0.11	0.0	18.75	9.25	31.54	16.51	15.31	5.73	21.45	18.57	18.89	56.7	59.57	19.9	17.02	32.78	8.89	56.79	58.06	30.92	0.43	34.82	24.95	22.54	47.52	5.49	48.56	30.77	39.24	56.82	10.33	20.06	18.11	18.36	19.72	0.02	0.0	0.2	0.07	0.3	0.06	0.0	25.08	35.53	8.44	30.03	79.41	26.72	14.63	54.34	28.85	33.47	31.14	20.49	60.14	52.02	64.43
Ppp3cb	64.93	126.22	153.94	3.65	0.0	0.0	0.0	0.0	99.89	0.0	16.39	1.22	0.14	84.62	184.82	103.47	72.82	0.0	0.0	20.76	8.93	29.88	10.61	57.08	3.81	25.92	45.0	71.03	37.94	36.58	67.83	13.79	6.57	7.85	23.27	210.16	72.19	163.03	34.07	34.77	28.79	37.76	39.42	0.3	17.62	29.64	1.71	10.62	14.85	2.82	0.48	16.17	0.0	0.0	0.25	0.0	0.0	0.0	0.0	41.51	1.99	86.3	42.68	92.68	131.69	0.0	33.84	64.37	30.79	75.8	56.63	247.23	241.42	227.54
Prkrir	5.43	8.1	4.47	4.31	4.09	6.63	8.12	4.44	181.13	18.48	33.05	10.1	4.65	4.41	48.72	8.49	61.35	8.73	0.0	29.0	3.56	5.22	2.85	3.74	11.98	2.79	3.61	31.91	5.64	32.6	3.72	9.07	32.17	2.64	11.86	64.71	6.59	3.2	6.21	41.83	3.48	5.79	2.15	7.23	3.18	31.5	2.03	1.92	1.14	1.98	3.59	38.23	2.92	2.04	2.5	0.97	9.76	5.14	7.1	5.49	3.53	24.81	4.89	15.69	28.46	4.08	8.16	19.62	1.17	2.58	26.89	52.49	50.61	46.6
Pwp1	95.2	114.45	8.5	0.0	0.0	0.0	0.0	0.0	117.74	0.0	0.0	0.0	79.61	20.8	0.0	0.0	192.13	0.0	0.0	41.38	0.14	0.06	0.0	0.0	0.1	124.63	0.43	0.94	0.0	13.91	0.3	80.5	0.0	65.76	0.0	0.0	0.0	0.0	73.81	48.48	105.02	0.0	0.0	0.0	1.89	0.0	0.0	13.61	61.51	7.39	48.12	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.11	93.36	50.58	49.18	0.0	0.55	18.23	20.06	18.5
Rph3a	51.39	145.78	76.82	5.61	0.21	0.0	0.0	0.0	117.24	0.0	155.81	10.74	33.76	282.63	318.16	78.23	254.99	0.0	0.0	34.97	27.77	65.1	41.32	73.52	31.15	47.66	37.81	74.55	12.36	55.13	20.7	46.62	26.4	8.71	51.57	4.68	14.26	94.74	60.03	37.75	68.53	41.54	145.65	0.77	29.39	18.09	29.04	41.97	61.85	26.99	29.81	14.53	0.0	0.0	0.38	0.0	0.0	0.15	0.0	76.8	11.54	46.94	41.22	106.29	75.04	61.12	49.78	47.14	43.48	32.02	81.93	260.55	249.44	277.37
Slc39a9	29.12	107.27	15.98	0.16	0.0	0.0	0.0	0.78	15.4	0.55	43.26	0.25	0.01	7.72	28.79	0.11	78.99	0.15	0.0	23.33	41.88	0.09	1.92	0.17	12.15	18.81	4.06	0.64	4.94	20.81	0.0	31.83	33.44	0.0	31.11	1.59	0.11	3.45	0.0	28.67	44.15	0.0	0.0	0.16	0.09	0.04	80.93	0.02	0.0	0.03	21.13	0.09	0.0	0.11	0.31	0.0	0.0	0.0	0.0	0.0	0.0	0.44	61.85	0.48	0.0	0.18	0.06	0.07	0.0	22.43	32.42	27.97	27.09	27.81
Stxbp1	318.1	148.08	284.55	149.22	0.0	0.1	0.0	0.0	457.47	0.0	425.64	191.31	102.36	364.38	461.49	294.26	133.19	0.0	0.0	402.06	264.61	203.5	101.33	420.64	222.49	165.25	210.69	167.01	366.14	228.34	223.04	215.94	316.85	401.95	291.96	97.78	308.52	115.71	115.29	343.33	359.68	483.84	178.01	427.68	198.35	311.04	301.18	204.22	367.2	316.17	282.31	320.46	0.0	0.0	0.51	0.0	60.92	0.0	0.0	244.84	256.83	209.29	310.25	416.65	255.15	80.94	202.7	187.46	219.86	229.68	169.55	685.86	704.66	673.08
Synj1	98.31	90.67	101.93	1.75	0.0	0.0	0.0	0.0	95.84	0.0	137.55	302.7	108.55	107.82	90.35	133.6	130.01	0.0	0.0	63.88	127.86	80.38	38.74	117.46	66.98	123.35	31.49	41.87	119.59	83.39	168.13	122.52	69.32	57.08	59.58	118.27	90.67	43.68	92.38	38.68	26.49	50.45	10.86	118.25	94.18	97.29	53.58	74.17	42.85	82.95	67.73	48.78	0.0	0.0	0.14	11.04	0.05	0.0	0.0	56.12	20.67	57.4	46.29	112.33	76.03	74.05	68.94	128.65	71.17	80.65	178.07	186.57	176.61	182.9
Syt1	875.24	579.81	654.41	364.96	0.0	0.0	0.0	0.0	847.57	0.0	457.15	580.56	452.05	1020.63	1547.35	508.04	630.22	0.0	0.0	759.38	590.98	647.51	651.97	532.79	496.46	463.82	652.79	621.04	607.09	563.51	636.11	417.57	551.28	327.05	423.53	539.7	544.46	617.72	564.61	488.54	601.27	328.78	633.07	272.39	403.12	486.59	542.74	685.36	221.98	487.06	404.66	206.98	0.0	0.0	0.21	0.28	0.0	0.0	0.0	284.6	434.79	91.71	699.53	721.42	689.79	182.69	729.5	743.33	574.5	743.79	1014.33	931.59	920.94	916.63
Taf1	1.75	66.24	15.41	0.16	0.04	0.45	0.37	0.22	93.7	0.87	5.26	0.94	28.91	0.78	0.3	2.3	46.15	0.46	0.24	21.13	51.06	20.32	0.15	0.26	50.7	42.2	21.92	12.51	1.55	8.79	8.45	1.2	3.89	16.1	3.65	0.24	34.65	17.22	0.29	2.43	9.45	28.08	3.62	11.47	5.64	26.29	6.71	23.13	54.62	0.95	12.53	7.74	0.0	0.53	0.08	0.77	0.14	0.34	0.71	19.74	12.94	1.7	18.83	30.11	24.9	27.37	28.23	0.32	0.2	7.21	39.0	30.66	28.29	31.02
Tardbp	38.07	39.32	28.74	0.11	0.0	0.0	0.0	0.0	116.96	0.0	46.47	8.38	19.31	11.68	76.77	127.81	76.69	0.05	0.0	26.7	50.9	63.31	10.6	12.72	2.28	32.52	6.32	49.69	9.53	13.31	28.32	1.74	16.43	3.67	17.73	37.73	31.17	43.97	20.13	12.1	47.74	13.45	29.61	5.94	9.56	1.16	24.08	15.88	4.8	31.48	26.21	18.19	0.0	0.1	0.0	0.0	0.0	0.0	0.0	7.37	36.71	24.58	0.36	32.98	24.94	53.65	0.0	47.73	11.57	10.73	30.14	82.06	76.98	83.35
