	Calb2_tdTpositive_cell_1	Calb2_tdTpositive_cell_3	Calb2_tdTpositive_cell_17	Calb2_tdTpositive_cell_21	Calb2_tdTpositive_cell_24	Calb2_tdTpositive_cell_26	Calb2_tdTpositive_cell_29	Calb2_tdTpositive_cell_31	Calb2_tdTpositive_cell_32	Calb2_tdTpositive_cell_34	Calb2_tdTpositive_cell_39	Calb2_tdTpositive_cell_42	Calb2_tdTpositive_cell_43	Calb2_tdTpositive_cell_59	Cux2_tdTpositive_cell_80	Cux2_tdTpositive_cell_95	Cux2_tdTpositive_cell_96	Cux2_tdTpositive_cell_100	Cux2_tdTpositive_cell_106	Cux2_tdTpositive_cell_119	Gad2_tdTpositive_cell_14	Gad2_tdTpositive_cell_32	Gad2_tdTpositive_cell_36	Gad2_tdTpositive_cell_70	Gad2_tdTpositive_cell_71	Gad2_tdTpositive_cell_77	Htr3a_tdTpositive_cell_6	Htr3a_tdTpositive_cell_71	Htr3a_tdTpositive_cell_97	Htr3a_tdTpositive_cell_101	Nos1_tdTpositive_cell_65	Ntsr1_tdTnegative_cell_4	Pvalb_tdTpositive_cell_10	Pvalb_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_15	Rbp4_tdTpositive_cell_5	Rbp4_tdTnegative_cell_4	Scnn1a.Tg3_tdTpositive_cell_8	Scnn1a.Tg3_tdTpositive_cell_9	Scnn1a.Tg3_tdTpositive_cell_10	Scnn1a.Tg3_tdTpositive_cell_36	Scnn1a.Tg3_tdTpositive_cell_97	Slc17a6_tdTpositive_cell_6	Slc17a6_tdTpositive_cell_7	Slc17a6_tdTpositive_cell_8	Slc17a6_tdTpositive_cell_9	Slc17a6_tdTpositive_cell_15	Slc17a6_tdTpositive_cell_17	Slc17a6_tdTpositive_cell_18	Slc17a6_tdTpositive_cell_22	Slc17a6_tdTpositive_cell_33	Sst_tdTpositive_cell_1	Sst_tdTpositive_cell_40	Sst_tdTpositive_cell_42	Sst_tdTpositive_cell_47	Sst_tdTpositive_cell_59	Sst_tdTpositive_cell_97	Vip_tdTpositive_cell_2	Vip_tdTpositive_cell_5	Vip_tdTpositive_cell_13	Vip_tdTpositive_cell_17	Vip_tdTpositive_cell_19	Vip_tdTpositive_cell_20	Vip_tdTpositive_cell_29	Vip_tdTpositive_cell_38	Vip_tdTpositive_cell_50	Vip_tdTpositive_cell_51	Vip_tdTpositive_cell_64
Clstn3	779.89	406.57	63.6	662.72	596.65	179.32	271.75	586.93	25.46	0.0	0.0	44.67	440.18	404.66	490.78	0.16	215.79	180.3	225.07	161.27	316.49	338.9	349.11	232.42	196.31	0.0	561.24	0.1	148.71	154.01	366.26	4.57	204.17	171.0	283.23	116.97	0.0	278.57	236.14	91.83	289.32	21.05	158.72	20.76	205.33	90.26	171.87	69.32	224.3	206.79	144.99	239.88	356.58	247.44	355.45	65.77	332.76	103.48	661.62	789.74	148.13	267.45	181.61	264.79	209.68	51.61	143.85	851.28
Cntnap2	82.63	0.0	38.76	144.51	0.07	0.0	2.68	56.85	80.54	52.63	0.0	0.0	12.25	108.6	0.0	0.0	0.0	27.75	0.41	0.12	358.81	18.35	215.87	85.9	40.59	0.0	82.64	14.14	32.16	0.43	49.41	1.4	70.28	53.97	93.08	11.9	0.0	0.0	0.1	0.0	11.39	0.04	5.85	0.0	0.0	0.0	0.0	0.0	0.0	6.11	0.0	0.05	20.85	0.61	18.65	34.82	16.3	72.15	8.28	19.48	153.59	171.69	34.18	3.79	30.75	41.26	424.9	50.56
Ddit3	342.42	0.0	154.9	0.0	217.5	293.94	221.26	0.0	241.29	190.85	0.0	194.64	973.95	143.78	0.0	1.51	0.0	0.0	0.0	63.33	278.0	163.36	170.09	349.68	269.02	0.0	0.0	0.0	85.57	0.0	70.5	0.0	812.79	793.95	0.0	0.0	0.0	0.0	0.0	33.8	0.0	120.24	94.5	0.0	100.39	0.0	150.16	3.03	0.0	148.2	0.89	442.7	402.33	0.0	86.55	164.95	636.15	1080.65	204.52	732.31	290.72	1087.11	0.0	0.45	205.82	777.4	410.11	681.17
Disp2	58.95	3.31	44.8	65.92	28.77	1.51	44.2	0.0	0.55	138.94	49.03	37.09	27.62	155.12	4.43	8.31	0.9	39.26	20.9	53.58	332.51	177.05	67.94	123.56	79.55	0.0	37.63	23.11	101.06	10.82	69.51	16.15	117.06	41.78	23.32	1.43	0.0	1.8	0.99	16.3	93.77	19.55	0.94	19.96	25.22	22.51	28.67	23.45	86.86	71.79	1.43	38.17	20.79	68.1	67.13	225.4	168.39	56.47	118.69	73.35	187.65	261.03	163.14	192.34	58.78	60.45	65.13	153.21
Dlx1	135.52	0.0	2.86	23.15	1.41	90.69	39.16	0.0	0.19	103.71	0.0	0.0	14.56	117.78	0.0	0.0	0.0	0.0	0.0	0.0	0.26	49.14	0.27	0.0	0.0	0.0	22.68	0.0	0.0	0.0	0.06	0.0	7.03	9.56	41.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.7	3.81	12.48	0.0	22.27	5.4	187.74	0.0	63.9	10.47	0.0	69.39	33.47	112.34	77.07
Dlx5	95.3	0.0	116.5	288.21	2.27	188.98	275.14	0.0	0.41	192.66	0.0	0.0	475.81	137.84	0.0	0.0	0.0	0.0	0.0	0.0	204.43	19.87	6.54	191.87	1.7	0.0	223.63	0.0	0.0	0.0	0.0	0.0	122.55	96.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.93	396.19	76.08	140.69	92.72	417.47	100.43	154.13	0.0	271.17	181.96	0.0	0.0	177.83	227.21	1.78	189.87
Dlx6as1	1206.84	0.0	311.03	0.13	358.44	167.7	83.37	0.27	0.0	395.92	0.0	0.0	1209.26	473.19	0.0	0.0	0.03	0.0	0.0	0.0	236.13	118.29	202.49	14.23	96.97	0.1	73.77	0.0	0.18	0.3	0.0	0.0	92.84	9.93	248.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.59	0.19	0.15	0.43	0.0	0.0	0.0	0.0	0.0	0.0	36.38	0.0	123.24	0.0	683.05	292.2	276.61	477.31	413.77	429.12	0.0	260.06	133.54	269.6	285.61
G3bp2	371.79	148.0	173.97	281.69	533.28	418.2	476.77	506.88	330.68	403.37	48.59	163.95	140.15	94.4	98.43	106.69	62.29	164.91	140.26	114.31	83.2	85.88	144.06	186.81	347.94	0.0	100.33	0.0	222.65	242.83	174.49	453.76	215.84	230.74	81.84	136.77	0.0	224.54	86.7	73.68	50.66	59.75	329.75	250.14	109.58	173.12	162.22	22.88	128.27	173.36	8.32	251.72	366.29	344.33	151.17	108.5	62.82	362.14	265.25	255.59	301.59	124.76	105.39	149.37	348.54	175.32	5.53	281.07
Gad2	237.28	0.28	270.03	117.27	102.38	2.01	347.53	1.61	0.58	530.96	1.03	0.24	343.82	174.92	0.71	0.44	1.07	0.46	0.63	0.3	147.09	453.08	282.68	320.75	498.55	0.0	183.91	0.65	0.18	0.39	0.35	1.7	573.19	302.52	267.15	0.73	0.69	0.55	0.68	0.45	0.21	1.48	0.41	0.73	0.13	0.0	0.07	0.56	0.92	0.34	0.26	893.88	507.04	899.61	1133.29	209.84	241.34	493.73	404.23	177.94	497.88	503.62	107.65	695.36	249.65	179.25	371.86	223.49
Galntl6	294.58	0.15	0.11	196.47	329.4	95.63	65.57	0.24	77.59	255.26	0.1	0.53	148.73	152.95	0.38	0.0	0.0	1.06	0.98	0.18	606.04	179.6	515.89	94.4	34.62	0.08	288.79	185.4	0.36	0.39	48.31	0.09	111.17	164.87	323.8	65.77	0.1	0.2	16.09	0.48	0.4	43.64	0.94	0.0	0.83	0.43	0.18	0.15	0.35	0.15	0.0	0.78	260.56	76.49	61.47	82.79	87.27	115.68	134.36	167.48	204.91	228.61	78.3	224.64	108.98	215.77	397.25	420.58
Gnl3l	235.47	271.43	359.68	445.44	505.26	177.57	371.41	75.65	202.62	373.41	66.14	139.51	503.48	246.94	138.28	116.14	112.03	92.55	158.28	283.68	424.5	372.14	466.99	207.87	262.38	28.22	503.09	299.79	243.46	312.26	222.81	225.38	413.98	264.84	245.13	175.24	3.55	129.51	202.74	11.1	109.99	160.21	186.73	90.27	106.05	195.49	285.91	249.34	54.49	134.83	121.33	393.91	429.64	452.21	312.17	343.9	312.42	329.26	533.43	541.39	388.74	435.93	298.91	320.97	507.11	473.66	531.04	338.69
Gprasp2	2.61	23.87	178.46	202.19	215.94	110.5	350.29	12.4	0.14	260.12	0.0	0.0	0.0	148.78	0.0	268.37	3.21	134.13	90.35	55.11	0.18	10.16	3.14	95.74	38.28	0.0	85.06	0.0	214.23	53.36	69.14	93.98	170.94	60.98	385.2	53.23	0.0	3.33	13.98	46.37	0.0	0.18	113.03	0.24	7.29	52.83	100.56	82.12	0.0	32.36	0.03	203.63	503.01	218.72	3.66	113.21	213.5	239.7	0.0	2.93	206.77	25.75	21.44	246.86	379.26	150.62	148.78	130.15
Gria1	216.63	376.64	80.76	231.23	74.58	16.11	309.5	6.36	92.6	51.01	50.47	12.64	186.06	177.74	50.71	34.49	0.38	6.55	7.93	34.1	132.79	131.11	33.83	254.52	312.77	0.31	180.31	1.16	38.37	72.93	122.12	27.74	242.53	237.8	75.53	135.63	0.0	10.96	3.68	2.67	0.0	1.06	86.52	49.44	73.73	164.99	93.79	17.19	0.25	34.44	42.54	477.21	169.25	235.82	564.38	221.27	472.2	118.14	7.4	93.79	226.58	99.18	149.86	158.98	81.56	6.34	109.4	312.72
Hspa8	22360.42	19865.4	15844.02	18180.74	24473.49	17968.45	17081.45	20649.84	17816.59	19469.9	16453.67	16168.74	26297.86	16840.47	19684.06	18250.99	17952.0	18093.3	17791.57	22558.28	18670.41	20651.28	18482.37	17189.37	23643.2	13868.94	19634.58	20789.46	16566.31	16837.76	20228.05	16589.46	17416.84	20908.03	17660.32	16795.43	12999.96	22280.51	21295.16	16852.86	17775.73	18967.67	19043.25	18690.67	15297.29	15767.59	18674.14	17307.41	16660.43	15255.91	21156.27	17667.87	20448.23	19485.43	16322.53	18482.25	17340.08	21948.63	17737.55	17572.83	18543.08	18127.58	18434.51	20378.92	16596.2	17943.05	18264.18	21321.96
Hspe1	861.87	189.96	189.61	454.09	1381.96	272.5	325.53	100.91	80.56	342.74	132.47	140.59	788.88	406.43	299.74	430.56	173.74	163.03	119.37	174.43	422.86	392.98	238.01	350.04	404.46	172.17	549.11	17.41	223.9	147.46	236.62	320.38	472.48	431.48	308.39	297.31	0.0	195.42	52.5	221.66	217.92	201.11	91.77	276.74	202.57	220.34	187.93	362.33	179.93	360.94	113.96	733.91	292.47	282.51	184.15	475.56	420.25	414.65	378.62	360.71	177.45	741.07	241.18	236.81	252.16	519.53	805.48	463.33
Igf1	671.35	0.11	1274.84	234.43	1545.3	1379.89	1496.67	0.08	0.0	647.48	0.07	0.0	935.54	437.03	0.0	0.0	0.21	0.02	0.0	0.02	503.99	1109.26	352.28	152.61	201.33	0.0	984.46	0.18	0.0	0.0	0.15	0.0	286.33	106.04	870.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	188.99	0.16	208.41	136.26	97.03	27.26	336.23	1805.83	106.9	380.65	1073.98	1494.39	144.1	941.3	1093.08	780.6	1562.11
Inpp5f	777.72	207.93	1431.39	1218.83	1696.84	1867.32	1603.56	431.9	32.38	1474.34	410.38	392.14	1111.25	889.24	135.19	204.4	131.07	177.73	227.35	28.7	1766.44	2716.36	1342.1	1101.88	873.19	0.09	1439.51	446.04	79.48	321.17	116.72	226.42	567.85	908.85	191.63	281.22	2.39	317.9	229.23	100.26	75.99	62.44	240.69	281.04	267.64	63.33	231.17	165.91	202.42	39.65	228.06	378.64	1333.22	616.16	479.92	701.08	385.22	603.19	446.34	1181.58	787.91	1291.0	1578.87	386.35	677.1	2146.26	1424.36	1887.31
Kcnip1	5.64	0.0	231.22	178.79	131.72	134.41	73.48	0.0	0.0	0.0	0.0	0.0	351.93	101.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.6	5.74	121.18	0.39	0.0	0.15	0.0	0.0	0.0	0.0	0.0	113.83	188.63	39.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.0	0.0	0.0	0.0	0.0	34.2	119.39	107.22	82.46	31.87	0.0	243.86	16.86	0.99	0.22	221.96	0.0	6.55	0.13	0.22	0.0	155.67
Maf	131.0	0.0	49.41	404.5	13.81	543.89	116.0	0.0	0.0	0.0	42.86	0.22	71.49	149.28	0.0	0.0	17.66	0.0	0.18	0.04	301.39	1.06	12.65	168.28	69.32	0.0	193.63	0.0	0.0	0.0	0.04	0.31	193.1	112.91	14.62	0.0	252.42	0.02	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.83	0.0	0.0	29.3	0.0	100.52	9.39	104.65	231.24	133.64	207.97	81.02	0.0	14.58	160.75	312.48	56.74	0.1	95.94	233.56	233.19	134.87
Mthfd2	62.2	0.0	0.0	481.52	0.24	11.89	0.0	0.0	0.0	49.93	0.0	87.01	166.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.72	66.77	0.0	236.41	0.0	0.0	56.44	109.6	0.0	64.44	0.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	78.75	0.0	0.0	0.0	0.0	31.84	0.0	0.0	0.28	0.0	45.37	81.14	134.57	0.0	163.11	351.39	0.0	0.0	588.96	0.0	0.0	297.73	321.13	397.21
Nap1l5	224.1	677.08	112.56	131.05	83.4	22.56	337.2	0.0	34.82	335.85	152.64	57.26	260.97	1078.19	92.57	343.34	0.81	26.13	4.47	298.61	316.1	1076.94	332.19	609.65	428.67	0.0	575.39	0.0	46.21	33.88	1.29	99.01	254.22	231.91	249.75	268.39	0.0	7.45	68.59	0.81	32.17	96.05	84.84	0.0	0.0	0.0	80.02	0.0	0.0	0.0	58.27	190.73	517.28	771.55	390.96	953.41	188.73	443.61	337.17	716.63	659.79	613.35	731.79	844.95	1474.79	303.96	201.31	1167.28
Nars	1311.91	252.41	93.54	667.84	346.18	69.56	761.23	216.46	69.45	306.76	869.54	429.06	1344.74	755.87	151.61	216.88	199.99	227.91	862.61	161.65	324.13	505.04	488.31	1122.18	1207.72	132.12	708.34	35.09	647.11	428.3	377.26	280.31	1015.75	1114.98	773.67	509.06	69.41	330.15	389.66	641.83	519.5	250.68	304.93	234.09	270.49	28.3	21.37	412.78	419.66	263.91	251.34	152.19	873.92	601.41	710.07	554.2	1237.09	559.82	570.42	1502.42	598.62	652.87	1133.32	360.7	682.89	1168.78	476.8	751.25
Ndufa11	191.23	117.55	351.03	139.21	254.49	168.65	197.88	70.44	75.87	292.49	125.0	174.41	330.82	248.77	100.89	59.38	189.43	177.34	98.45	140.02	168.87	209.66	256.65	153.43	297.07	104.36	67.38	145.48	129.33	153.98	192.45	175.2	290.0	226.9	414.8	149.92	169.81	230.81	248.67	136.17	113.99	68.68	137.62	75.57	159.36	207.4	81.87	76.27	163.63	153.03	163.85	193.07	145.87	273.18	170.68	120.69	247.76	292.77	314.01	243.73	199.77	319.71	194.53	99.98	207.95	81.2	203.53	401.98
Nrip3	724.45	0.0	289.08	525.48	164.66	633.12	94.9	0.0	0.0	422.69	0.22	0.0	501.13	393.59	0.0	0.0	0.0	0.0	0.0	60.41	0.31	39.39	663.84	400.55	0.11	0.0	202.1	0.21	259.79	113.72	58.96	0.0	41.93	0.13	402.81	179.38	0.0	0.0	0.0	0.0	0.0	0.21	46.13	0.21	0.0	0.0	0.0	0.0	0.0	0.0	1.69	270.9	391.77	265.7	264.29	255.44	111.92	284.24	170.36	18.77	543.45	0.0	616.97	3.8	0.08	184.19	153.13	310.02
Oxr1	608.76	166.31	340.15	267.23	759.52	331.86	132.74	172.27	527.72	266.7	0.0	64.1	589.05	223.75	153.95	11.0	215.53	77.34	94.51	79.98	399.63	195.81	321.7	175.55	224.03	18.46	278.98	649.16	264.04	173.49	355.04	1.18	499.71	171.19	704.99	711.19	0.0	672.64	65.23	128.85	158.99	122.37	113.61	69.16	108.42	436.84	131.1	132.88	339.96	100.01	143.28	517.82	42.13	416.1	293.05	229.17	663.48	154.52	784.3	0.22	169.33	253.36	442.68	24.25	274.99	140.59	199.09	839.17
Peg3	6.2	108.52	27.94	5.87	31.86	6.13	76.3	0.0	0.0	38.43	51.45	42.32	41.87	49.36	0.0	55.62	0.56	41.83	2.19	9.74	25.41	9.91	12.19	40.72	38.8	0.0	137.59	3.03	9.43	49.54	23.04	9.25	11.45	32.81	0.0	6.34	0.0	22.31	0.05	1.3	15.78	48.91	7.15	16.52	4.77	3.84	35.9	0.0	0.0	0.0	4.07	0.11	314.2	21.96	1.71	65.99	36.34	79.54	50.02	74.08	63.39	43.42	9.38	36.77	35.54	0.58	148.16	49.45
Pitpnc1	159.57	108.6	22.97	16.72	39.56	20.68	28.2	0.0	0.0	42.96	0.0	0.0	28.8	104.03	0.61	0.0	0.12	5.43	0.0	0.0	0.08	6.88	113.01	11.56	77.47	0.0	0.0	0.0	78.34	294.37	0.0	0.0	32.39	33.68	5.6	37.46	0.0	1.27	0.0	0.0	31.26	12.27	0.0	0.0	0.0	0.0	0.12	0.0	4.77	0.0	0.11	142.36	369.83	192.56	278.63	391.85	211.17	151.95	13.89	55.33	73.15	88.8	22.49	114.84	13.07	30.28	7.23	148.21
Prepl	466.97	732.71	1053.18	470.08	307.28	674.4	126.09	282.29	233.36	107.24	281.04	32.31	297.48	121.59	176.29	27.68	362.26	100.23	121.51	382.63	127.47	219.18	285.6	421.68	507.14	67.63	0.43	268.84	246.69	269.74	306.07	377.25	162.56	258.89	242.56	101.77	0.0	22.17	135.37	119.09	156.96	130.69	168.09	45.69	152.36	167.6	243.37	160.29	7.77	198.74	196.56	258.64	664.4	283.51	166.72	475.0	246.58	240.65	377.54	60.32	367.2	583.96	0.32	342.38	294.47	163.24	289.11	355.55
Rab3c	104.74	0.23	299.84	372.45	149.93	80.33	237.41	0.11	107.65	538.43	70.71	60.78	133.13	244.83	86.11	0.62	30.36	22.75	78.17	41.72	69.92	387.69	401.97	154.27	236.97	0.16	465.06	0.32	92.43	22.21	208.26	0.11	221.3	185.72	182.88	147.63	0.55	55.05	42.32	62.57	0.53	1.17	4.57	6.26	0.07	9.57	124.64	89.74	51.24	33.93	59.27	49.59	117.37	103.03	160.99	50.71	67.48	197.34	217.78	39.07	195.37	209.08	181.85	17.57	65.58	167.64	334.4	246.81
Rbms3	88.84	0.0	0.0	16.8	107.91	0.0	12.63	0.0	0.0	46.27	0.0	0.0	100.89	41.84	0.0	0.0	0.0	0.0	0.0	0.0	0.08	2.23	70.33	94.16	18.27	0.0	16.3	5.84	0.0	0.0	0.0	0.0	20.98	35.73	149.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.96	2.75	0.0	2.55	12.34	0.54	62.18	10.67	105.14	58.17	112.47	168.69	0.0	14.14	4.13	2.51	0.0
Rdh13	97.48	123.71	269.54	106.75	497.91	129.61	203.82	17.76	0.17	112.3	65.64	99.2	28.51	136.2	231.75	3.88	134.54	81.76	107.08	0.51	128.65	154.38	203.87	177.69	389.03	0.0	337.76	0.0	78.11	141.53	101.88	145.55	391.07	111.65	333.86	110.78	0.0	79.3	0.0	0.01	87.43	69.34	213.55	91.69	54.42	88.72	65.06	134.0	214.06	135.14	166.8	0.23	120.28	176.75	76.64	71.72	264.91	117.45	90.67	140.96	164.96	128.76	422.17	23.63	108.77	420.82	181.2	213.46
