	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_26	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_20	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_44	Ndnf_tdTpositive_cell_11	Ndnf_tdTnegative_cell_7	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_70	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_9	Scnn1a.Tg3_tdTnegative_cell_16	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3
Ccl27b	0.0	3.68	0.0	8.68	0.0	0.0	17.1	0.0	0.0	0.0	1.46	0.3	0.03	0.0	1.74	0.0	0.0	7.16	0.58	0.0	0.0	5.37	0.27	1.98	0.0	0.0	4.8	2.47	0.77	0.0	0.0	0.29	0.0	2.79	1.65	1.9	0.13	2.24	4.31	0.0	0.0	0.0	0.0	4.89	1.61	0.0	7.83	1.88	114.56	177.66	125.27	74.98	103.08	54.7	62.2	75.81	61.27	76.52	71.98
Cdc42	996.03	768.91	519.49	551.15	85.03	741.32	868.39	1137.72	1504.79	97.32	635.74	692.24	786.88	1236.94	666.3	1178.77	1014.29	850.06	541.86	863.95	1043.71	593.57	898.27	619.75	703.76	932.38	751.78	804.75	854.49	873.72	932.99	783.87	801.69	771.88	614.37	792.16	942.05	834.91	679.24	124.41	7.05	1154.01	1058.01	793.46	910.37	907.12	759.4	857.87	1006.73	1102.14	1081.73	976.13	1086.09	1071.72	1033.63	1091.45	1115.91	999.51	988.35
Chgb	191.39	338.52	69.12	164.16	0.0	204.75	273.65	173.29	0.0	0.0	199.67	124.87	136.1	79.44	5.23	122.29	97.22	159.35	227.17	219.51	168.0	203.86	187.7	198.16	93.65	190.95	7.93	91.8	127.46	125.56	80.99	13.34	118.79	131.64	123.04	110.76	298.34	43.2	47.94	0.71	139.35	0.0	202.1	96.6	249.63	222.98	109.03	228.12	973.7	1274.3	741.63	703.45	1025.32	1080.66	1018.17	1052.23	645.9	712.41	708.37
Cox7b	520.75	603.15	307.94	447.22	0.0	424.89	401.62	959.93	250.48	0.0	324.46	346.44	511.09	493.69	500.36	411.69	462.71	298.57	448.2	456.79	380.65	287.81	284.51	360.36	317.65	494.05	567.26	338.23	484.63	221.18	413.28	426.08	235.65	314.52	274.14	345.4	529.79	424.56	437.86	1.33	385.07	351.18	512.81	419.22	290.1	370.56	397.64	505.93	486.32	446.18	564.23	593.95	572.28	735.62	587.43	686.28	495.95	534.74	508.23
Cx3cl1	5.69	133.51	20.64	37.38	0.0	1.25	77.69	10.91	0.0	0.0	37.57	93.91	1.56	2.54	4.38	0.81	6.3	56.89	9.44	46.17	22.78	1.41	17.42	15.92	20.71	0.63	8.21	15.96	27.23	4.11	53.16	37.2	4.54	1.06	81.12	19.47	1.39	51.42	21.76	0.1	0.0	0.19	22.29	8.35	13.97	7.15	14.26	12.17	171.74	165.4	148.34	164.97	118.97	117.23	118.8	155.98	89.52	102.77	95.96
Elavl3	41.21	44.09	28.76	34.45	0.0	3.46	56.12	158.27	0.0	0.0	15.97	30.95	33.05	1.33	9.11	23.15	13.28	20.94	14.03	4.18	1.39	0.64	14.03	0.55	11.28	26.69	7.72	1.11	19.07	0.28	29.66	10.27	0.2	3.21	26.89	39.19	36.79	8.86	7.4	0.05	0.89	0.16	30.81	7.66	4.01	2.0	5.44	8.35	31.01	27.75	27.36	19.15	28.83	14.9	31.55	20.16	36.84	44.88	55.49
Ensa	481.85	784.17	255.82	311.39	0.41	133.08	361.76	242.08	21.84	0.0	214.84	473.6	366.02	231.38	324.41	419.77	344.98	263.74	505.74	336.34	465.79	374.7	471.47	563.72	280.58	528.09	474.88	221.2	202.34	306.18	151.42	40.27	218.73	347.2	286.72	121.65	293.8	422.34	284.73	0.57	1024.35	0.0	212.37	389.41	231.8	377.2	297.85	158.12	1169.26	1194.73	1016.17	1120.19	1411.63	1204.83	1180.76	1367.57	1269.88	1258.8	1205.32
Fam103a1	204.23	728.33	229.17	562.96	0.0	328.14	277.56	431.86	0.0	0.0	210.03	449.67	283.04	269.49	123.74	282.4	139.1	81.96	331.22	121.09	404.56	370.74	207.51	395.22	202.35	111.6	428.46	128.77	292.53	176.83	155.96	168.66	362.89	347.22	217.37	276.56	132.01	299.7	366.85	0.23	0.0	0.0	269.54	234.45	301.63	223.92	381.39	321.69	549.57	537.48	444.63	551.92	429.75	667.25	537.98	546.99	555.79	445.34	447.89
Fam133b	5.03	32.73	5.37	11.59	0.0	29.24	38.04	98.77	0.0	0.0	6.0	6.72	43.37	8.58	110.94	2.81	4.31	9.46	0.0	12.02	2.03	16.25	21.72	6.01	28.84	7.26	29.4	3.06	8.02	1.99	19.2	1.95	13.01	23.25	4.71	5.74	18.97	10.01	14.21	0.0	0.0	0.0	16.12	7.88	2.43	22.22	59.27	5.35	32.95	32.8	44.35	14.13	48.18	28.81	31.55	70.95	54.66	47.28	45.9
Fxyd7	0.0	523.82	42.04	0.0	0.0	0.0	123.13	166.49	0.0	0.0	106.29	74.05	65.2	53.75	0.0	0.16	156.69	80.31	32.26	102.56	0.0	58.5	109.17	0.0	63.1	36.92	107.02	0.0	52.03	0.0	70.86	1.48	0.0	70.45	122.78	42.42	103.16	108.4	30.01	0.0	0.0	0.0	227.97	81.27	119.61	79.6	100.29	37.44	271.45	375.88	299.07	257.93	313.41	338.26	358.1	291.18	161.77	217.73	239.63
Gm13306	0.0	3.68	0.0	8.68	0.0	0.0	17.1	0.0	0.0	0.0	1.46	0.3	0.03	0.0	1.74	0.0	0.0	7.16	0.58	0.0	0.0	5.37	0.27	1.98	0.0	0.0	4.8	2.47	0.77	0.0	0.0	0.29	0.0	2.79	1.65	1.9	0.13	2.24	4.31	0.0	0.0	0.0	0.0	4.89	1.61	0.0	7.83	1.88	114.56	177.66	125.27	74.98	103.08	54.7	62.2	75.81	61.27	76.52	71.98
Gm2506	0.0	3.68	0.0	8.68	0.0	0.0	17.1	0.0	0.0	0.0	1.46	0.3	0.03	0.0	1.74	0.0	0.0	7.16	0.58	0.0	0.0	5.37	0.27	1.98	0.0	0.0	4.8	2.47	0.77	0.0	0.0	0.29	0.0	2.79	1.65	1.9	0.13	2.24	4.31	0.0	0.0	0.0	0.0	4.89	1.61	0.0	7.83	1.88	114.56	177.66	125.27	74.98	103.08	54.7	62.2	75.81	61.27	76.52	71.98
Gm9855	0.0	3.14	2.83	28.3	0.0	0.0	0.0	104.25	0.0	0.0	1.49	10.14	45.21	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.53	0.0	0.1	0.0	0.0	0.0	1.04	0.0	0.0	35.37	0.0	0.0	67.36	0.0	0.0	0.0	0.0	0.0	0.09	0.22	0.0	0.21	0.0	0.0	0.61	0.0	0.0	0.03	23.56	16.64	14.44	15.71	22.28	11.26	31.29	32.09	17.0	21.6	11.06
Gpr123	5.87	119.01	9.98	0.06	0.0	18.13	8.15	85.77	0.0	0.0	14.19	5.75	20.88	0.0	1.57	10.82	6.24	22.2	16.29	45.42	44.31	19.13	0.31	17.56	0.09	0.0	0.06	0.0	0.0	6.89	10.09	0.0	1.55	0.0	0.12	0.0	0.11	17.86	4.93	0.0	0.0	0.0	36.24	13.58	36.56	0.0	7.46	45.39	118.45	113.09	123.39	121.77	112.58	79.16	100.72	98.91	41.43	72.33	61.78
Grin2b	191.93	167.03	219.83	73.41	0.0	92.3	199.91	109.9	0.0	0.59	113.0	54.78	121.66	53.4	74.67	68.24	127.78	64.68	101.71	82.6	71.2	107.72	147.24	86.61	81.73	52.66	159.16	107.74	95.18	112.83	99.52	52.28	59.89	109.06	114.44	84.45	84.2	110.92	120.96	0.15	0.26	0.88	141.51	107.93	122.53	68.92	45.27	76.58	277.15	259.43	308.82	279.61	307.95	232.73	316.4	249.2	321.05	333.11	317.59
Hdhd2	86.23	377.03	93.62	114.92	0.0	171.93	61.92	317.57	0.0	28.67	33.51	88.07	185.13	1.5	10.75	40.9	83.0	102.97	207.72	61.87	179.61	60.24	104.11	0.56	110.05	73.48	208.67	76.52	0.0	120.17	114.73	149.58	119.35	139.28	34.06	112.6	81.97	205.63	43.28	0.0	0.67	0.0	83.62	125.42	97.97	154.47	207.61	55.67	97.05	139.6	126.21	105.41	201.09	148.6	121.56	96.2	121.13	152.52	105.96
Higd2a	131.94	932.34	223.92	186.53	15.67	258.45	255.57	463.77	0.0	0.0	182.01	180.06	185.51	102.21	209.6	283.43	279.47	270.43	359.26	174.74	389.42	154.11	322.78	387.77	238.78	381.81	296.54	293.64	248.49	184.66	318.41	736.92	436.3	424.02	191.03	104.09	325.92	381.0	167.66	0.0	4.07	713.61	364.86	225.16	175.85	254.75	164.07	158.0	356.97	366.63	325.7	274.95	343.53	320.2	315.55	397.88	272.45	339.03	353.23
Itpa	110.57	393.28	110.64	61.9	0.0	160.13	64.88	90.95	0.0	0.17	0.16	34.3	77.19	73.63	55.2	128.59	82.19	130.64	97.49	65.76	163.03	94.66	120.43	0.0	158.6	45.32	226.7	248.33	101.81	137.28	231.26	448.13	65.47	88.4	4.95	93.48	46.05	129.64	94.14	0.0	0.0	0.0	45.34	75.52	161.3	111.55	161.01	94.99	116.75	190.81	147.22	141.14	195.47	96.37	134.1	200.05	104.96	126.32	128.69
Mrpl13	96.32	188.89	1.84	113.98	0.0	71.09	73.07	365.67	0.0	0.0	159.42	170.03	61.19	177.88	80.39	51.82	168.25	72.29	180.34	107.72	124.01	35.37	89.64	85.1	188.82	182.28	23.89	121.54	131.15	161.37	28.1	138.54	182.93	8.97	64.24	45.18	77.48	40.99	230.69	199.57	0.0	0.0	58.94	62.14	33.06	99.22	183.05	60.39	143.56	169.88	225.07	180.86	171.05	178.43	222.54	262.24	138.54	141.05	151.23
Mtap1a	16.05	37.16	6.31	26.19	0.24	20.15	2.47	50.27	0.19	0.16	6.11	14.31	15.26	1.25	0.11	7.6	11.03	11.41	19.36	22.08	18.41	29.47	10.85	1.83	5.44	0.23	58.96	5.5	14.91	10.26	1.84	4.31	5.54	0.91	5.97	16.03	12.26	20.32	1.39	0.16	0.13	0.15	20.3	8.07	1.38	8.76	1.47	10.56	16.5	14.59	15.93	12.39	16.9	13.59	11.51	14.51	9.71	8.04	6.53
Myt1l	44.91	68.98	69.09	14.57	0.0	22.78	111.45	63.4	0.0	0.0	23.95	49.24	18.08	28.33	3.8	48.86	36.39	33.13	79.71	16.74	52.92	50.53	48.61	3.78	21.11	27.05	58.38	41.09	85.78	9.74	28.16	17.12	35.66	20.98	59.94	23.34	0.04	30.03	30.15	0.04	0.0	0.0	25.94	21.95	34.89	40.3	48.87	37.12	92.07	105.4	127.1	108.64	105.73	94.88	115.7	89.19	99.27	74.38	56.32
Nkiras1	90.52	135.37	69.55	58.77	2.1	88.58	92.52	80.55	2.1	2.39	73.37	56.59	40.65	65.54	116.5	31.52	62.28	103.82	114.94	81.14	64.1	58.57	76.12	42.84	59.44	62.62	155.91	73.12	130.09	61.6	43.8	39.1	50.57	40.17	27.98	89.55	18.83	53.25	128.27	3.63	7.44	3.84	76.34	49.3	43.04	78.19	114.09	63.07	135.88	146.72	176.89	121.83	152.18	157.6	140.87	146.88	104.64	109.89	123.77
Nprl2	206.73	155.19	64.91	184.32	0.0	243.3	7.39	389.58	0.0	0.0	90.53	100.02	54.95	72.76	349.87	152.11	0.16	6.74	63.7	174.08	44.46	229.17	40.3	97.7	116.85	138.01	200.81	139.04	64.99	90.06	132.42	106.41	70.93	84.02	58.28	180.17	81.83	4.51	56.94	0.22	0.0	0.0	57.09	172.74	223.01	177.54	116.19	101.31	178.75	126.69	228.0	120.0	231.56	105.73	196.45	173.27	141.05	134.71	157.06
Npy	138375.8	359.05	173305.25	115124.65	0.0	108594.8	125016.83	59230.28	0.0	0.0	132042.44	105008.15	149629.49	134232.96	130357.56	116117.28	120987.76	122165.94	132052.33	122154.33	122963.43	126501.28	117863.77	102118.34	130527.91	173863.58	101365.79	126989.03	166048.87	115420.41	191162.16	154857.31	124150.07	134158.33	153405.37	147732.76	141010.39	110523.31	151963.58	0.0	0.0	0.0	145032.54	180453.32	128781.07	137945.15	137580.94	120620.2	0.0	0.0	0.0	0.0	0.0	0.0	0.99	0.0	0.6	0.0	0.7
Ppp3ca	51.34	72.22	65.85	74.17	212.79	59.79	231.13	222.37	0.0	0.0	33.65	105.87	64.36	26.74	27.75	38.81	33.76	36.24	110.39	71.52	65.79	36.16	18.11	47.79	69.49	18.45	156.79	125.3	22.48	26.48	46.96	75.35	34.68	47.88	75.38	43.12	29.55	29.46	24.76	0.15	40.93	0.0	91.5	130.55	31.45	108.37	13.2	12.32	540.22	466.59	398.76	683.34	640.38	375.58	657.61	645.25	960.82	747.74	778.86
Psmb1	665.99	1068.1	659.54	843.68	1.4	454.89	264.96	937.61	3118.51	0.0	473.98	794.92	566.28	625.79	617.0	572.16	747.23	855.71	795.57	617.5	905.52	795.64	950.78	449.48	706.61	882.26	1165.61	951.13	658.89	675.3	421.77	1032.26	526.36	473.37	765.11	730.18	781.59	736.99	719.12	1.36	1.55	0.0	789.12	501.0	776.09	953.88	666.29	516.09	759.33	1015.87	918.23	702.64	745.27	1012.95	909.84	1042.89	840.21	796.04	859.45
Sdhb	903.98	1592.36	503.03	804.34	389.24	817.29	1365.31	1787.39	0.0	260.63	987.43	463.07	1200.53	760.95	570.95	1093.64	1024.31	1159.56	907.89	1001.37	727.24	1028.22	985.07	456.54	892.52	819.19	809.79	759.61	1173.79	823.37	584.13	1556.06	647.23	805.23	1209.93	820.29	711.6	876.13	492.71	970.26	771.47	793.88	1221.07	367.11	730.35	640.56	520.69	648.39	867.67	1071.46	1038.92	881.24	1044.45	1114.91	956.57	1119.07	992.64	1055.08	1036.57
Slc8a1	0.37	35.08	0.0	1.12	0.02	0.02	18.69	101.85	0.0	0.0	5.35	8.87	0.03	0.11	0.01	0.55	6.73	1.25	3.05	7.83	20.95	6.21	0.05	1.22	0.0	4.25	36.38	3.87	0.0	0.76	2.99	0.88	0.01	5.71	0.51	0.03	5.34	0.0	2.62	0.02	0.0	0.0	0.0	4.8	7.98	1.09	8.31	0.04	29.12	27.23	49.0	35.87	42.41	43.58	34.6	22.68	33.96	29.78	30.49
Sumo1	551.12	932.96	413.04	429.92	0.0	441.27	550.16	341.43	208.78	0.0	655.29	501.08	479.25	660.12	375.91	585.01	435.81	666.42	514.49	787.36	695.85	473.74	298.5	294.32	523.44	443.84	478.12	663.55	322.81	634.46	316.71	426.0	765.41	532.11	571.87	780.7	696.74	443.04	508.69	0.27	0.65	0.0	485.59	514.52	508.22	656.96	435.12	885.95	1087.09	1102.38	989.34	1010.89	1034.68	1096.08	913.62	944.73	1094.05	908.56	886.05
Sumo2	456.18	722.69	667.36	506.86	0.0	483.93	682.72	1418.48	41.87	0.0	468.55	376.04	322.35	209.27	396.42	573.21	423.28	827.41	586.78	367.91	389.91	357.84	419.34	655.93	547.02	464.01	703.19	738.25	432.06	447.26	415.49	453.32	536.99	439.72	689.97	367.52	208.94	223.59	562.11	1.34	8.77	11.32	564.47	883.47	619.65	346.67	793.29	272.79	1651.44	1921.26	1296.37	1292.92	1364.69	1419.13	1446.27	1663.92	1217.01	1440.27	1310.4
Taf15	20.77	0.5	0.0	0.0	0.0	0.0	0.0	84.38	0.0	0.0	0.0	0.0	27.12	0.0	23.63	2.01	0.0	0.0	50.12	0.54	0.0	0.0	0.0	0.0	0.0	2.17	19.83	0.0	15.86	0.0	0.0	0.0	0.0	11.07	0.55	0.0	0.27	0.0	0.24	0.0	0.0	0.0	0.99	19.23	11.68	0.0	0.0	37.66	13.9	15.55	7.14	2.36	5.5	0.13	11.29	19.42	3.81	3.21	2.9
Timm8b	653.69	1118.14	392.89	637.59	0.0	355.21	735.0	707.28	0.0	0.0	329.71	564.65	338.72	201.36	368.07	313.07	236.36	523.79	237.2	394.45	445.26	386.43	403.71	131.19	409.48	430.75	263.51	577.8	413.49	509.82	400.2	709.85	341.72	559.1	412.83	586.48	470.96	330.26	398.72	0.67	789.21	0.0	477.83	360.47	381.7	412.1	559.6	416.45	546.91	590.25	606.98	432.26	562.35	750.99	574.67	846.89	533.83	562.37	586.71
Tmem85	384.02	795.49	134.03	471.72	1093.29	159.7	365.64	482.44	0.0	0.0	430.94	344.77	230.62	180.94	95.59	91.44	359.37	238.24	361.54	198.17	388.54	314.0	598.52	328.16	316.96	390.66	364.01	372.95	50.53	339.07	145.66	439.29	284.17	248.4	376.1	123.44	383.88	206.07	342.18	0.0	0.0	0.0	288.13	337.23	280.19	256.7	340.07	355.25	525.78	603.46	631.58	509.29	409.05	578.63	502.48	422.89	363.45	330.21	309.03
Tmod1	3.27	6.08	4.24	9.67	3.37	55.31	15.65	186.0	0.0	0.0	30.38	0.0	2.78	3.09	0.08	3.83	3.13	33.93	5.66	22.66	5.69	49.35	5.66	1.99	5.73	14.03	148.68	26.98	5.31	20.64	2.86	0.04	3.42	16.85	2.32	3.8	2.34	15.23	0.26	15.5	7.44	4.03	27.31	0.32	3.19	25.26	1.24	8.81	98.58	72.61	122.89	122.9	70.73	99.61	82.36	75.2	56.86	75.58	92.5
Tomm7	44.27	273.25	80.23	277.45	0.0	67.46	68.9	285.56	0.0	0.0	184.96	65.33	91.95	69.39	75.22	82.39	48.36	119.48	57.71	85.42	154.89	78.04	108.79	88.55	89.1	93.79	207.78	171.34	132.0	54.53	111.59	191.41	105.36	64.66	134.55	134.52	67.76	114.43	62.98	279.99	2.16	0.56	135.01	141.06	84.64	76.94	122.62	90.76	190.65	256.19	197.69	151.5	172.43	270.6	167.89	178.99	138.14	150.91	167.49
Tspyl5	76.14	111.63	57.83	83.49	0.0	117.31	123.34	322.7	0.0	0.0	50.13	16.55	60.13	117.84	59.32	104.51	59.44	67.82	78.68	40.62	28.35	33.27	50.9	76.97	32.9	39.46	37.42	62.12	56.37	51.14	38.75	70.01	53.47	40.72	44.61	11.51	102.15	66.48	63.77	0.16	0.0	0.0	113.7	31.22	56.06	110.07	48.16	126.58	211.22	168.8	140.16	217.25	189.02	126.23	167.59	139.27	255.24	161.31	188.49
Zcrb1	37.5	88.47	0.0	72.82	0.0	52.52	50.67	164.72	0.0	0.0	23.95	3.27	25.93	83.78	25.4	23.2	0.0	23.97	13.42	59.66	105.2	49.52	28.09	26.61	25.82	0.95	125.14	27.22	6.59	0.0	10.62	3.0	1.95	32.69	37.17	0.0	0.0	0.0	0.63	0.0	43.22	0.0	13.88	2.62	0.37	23.65	0.0	12.18	28.77	28.24	64.23	34.44	46.48	67.12	49.43	59.24	37.3	50.42	46.46
mt_AK131577	2332.54	1812.02	729.87	1075.15	1062.31	1259.91	1175.84	1729.94	1073.5	1374.91	1434.28	1432.28	1040.04	1263.81	1050.47	1746.06	1673.84	1167.03	1051.38	1034.56	1454.66	1117.53	810.34	793.39	1060.94	1006.07	841.8	1113.29	594.69	1711.99	1416.58	2085.68	1038.29	1262.48	1047.52	1585.46	1060.54	1340.98	1216.13	166.64	201.27	530.88	1016.28	1141.51	883.44	885.59	850.74	1499.9	1597.12	1501.68	1690.75	1596.49	1758.26	1942.89	1783.03	1856.79	1815.08	1813.18	1570.81
