	Calb2_tdTpositive_cell_9	Calb2_tdTpositive_cell_10	Chrna2_tdTpositive_cell_51	Cux2_tdTpositive_cell_57	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_74	Cux2_tdTnegative_cell_14	Gad2_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_44	Nr5a1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_6	Ntsr1_tdTpositive_cell_10	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_52	Ntsr1_tdTpositive_cell_75	Rbp4_tdTpositive_cell_82	Rbp4_tdTpositive_cell_87	Rbp4_tdTpositive_cell_127	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_181	Rbp4_tdTpositive_cell_182	Rbp4_tdTpositive_cell_183	Rbp4_tdTpositive_cell_186	Scnn1a.Tg2_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_104	Slc17a6_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_30	Slc17a6_tdTpositive_cell_31	Tac2_tdTpositive_cell_2	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	CAV_LP_Ipsi_tdTpos_cell_21	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_32	CAV_LP_Ipsi_tdTpos_cell_35	CAV_LP_Ipsi_tdTpos_cell_36	CAV_LP_Ipsi_tdTpos_cell_37	CAV_LP_Ipsi_tdTpos_cell_39	CAV_LP_Ipsi_tdTpos_cell_42
Hars	10.54	62.13	243.8	193.98	154.44	0.0	384.82	310.28	557.41	164.54	425.55	195.27	193.12	161.89	229.76	401.12	99.95	288.73	28.04	164.74	10.51	337.72	164.1	51.47	103.18	95.17	113.02	9.53	60.1	9.37	77.81	9.63	5.93	76.05	25.22	146.22	491.89	144.5	548.48	280.19	259.74	253.78	231.35	159.29	214.26	243.12	0.22	10.63	73.88	371.06	264.82	158.04	130.56	72.22	333.05	256.42
Hipk1	98.45	85.77	19.8	81.69	125.9	11.49	76.32	135.38	108.94	10.57	36.48	109.13	97.06	79.93	62.24	76.38	42.06	59.55	0.16	22.66	53.39	104.15	59.82	53.29	22.03	39.06	0.0	9.99	19.26	17.03	18.35	34.16	27.9	46.24	7.44	75.88	80.19	48.99	61.48	65.56	31.46	55.31	125.82	48.44	0.0	19.88	0.05	40.58	20.44	25.66	81.26	84.95	48.2	227.77	85.05	61.06
Hnrnph2	391.22	263.99	507.19	306.04	79.6	112.39	424.64	402.72	299.76	156.33	433.04	206.22	638.85	111.03	17.92	143.59	184.1	125.24	347.94	137.58	886.21	340.27	148.02	327.39	270.35	190.22	240.53	129.93	182.8	9.82	347.23	208.07	220.33	423.97	43.87	292.25	441.07	220.26	406.29	287.85	310.96	412.12	739.66	427.12	459.25	333.13	216.38	154.89	162.46	131.18	446.39	367.0	438.24	727.77	338.37	151.54
Impa1	73.29	171.08	94.24	105.95	142.88	0.0	472.94	282.63	196.75	134.99	124.25	25.52	1.69	115.01	155.46	237.91	1.42	296.31	271.64	16.57	227.42	218.46	243.26	198.42	60.43	115.2	1.25	12.87	50.01	94.47	78.13	61.01	19.78	63.78	126.35	256.39	187.03	181.42	35.56	128.49	97.82	155.02	0.41	53.74	3.59	79.71	145.54	34.17	125.14	182.16	158.77	152.57	261.26	384.72	5.14	163.78
Kif3a	152.72	130.83	66.3	106.81	129.49	325.56	230.65	126.99	24.72	170.0	260.38	37.07	124.32	107.23	69.12	108.64	74.92	140.85	313.91	61.97	197.22	268.91	186.81	124.8	57.55	73.38	77.36	58.01	110.74	69.3	124.78	113.17	150.42	159.09	6.22	123.76	292.8	66.7	115.31	131.7	90.99	122.86	258.98	3.57	102.15	136.9	120.62	62.45	120.05	259.43	61.22	183.68	125.07	114.97	37.57	96.46
Klf13	296.5	276.16	155.54	361.49	295.34	0.12	286.9	369.94	275.31	193.93	439.57	520.05	437.64	387.91	281.44	73.1	82.09	160.96	288.08	209.45	239.82	186.82	260.07	170.05	76.78	150.94	60.55	40.35	93.01	57.8	29.0	154.38	77.07	84.96	53.87	372.17	229.06	465.94	199.67	377.76	313.06	725.89	452.84	97.96	26.15	81.48	108.34	83.98	20.13	62.2	175.11	503.03	168.59	440.53	363.98	311.9
Mapre2	285.95	104.83	30.0	149.26	4.46	7.35	330.25	339.38	250.71	173.11	162.78	106.51	81.07	81.77	192.35	68.18	50.79	207.26	65.35	226.82	124.71	210.17	140.32	108.49	62.67	64.67	66.93	36.41	26.02	20.88	52.17	61.4	204.35	115.93	108.37	204.38	119.54	186.54	183.93	126.07	90.42	169.27	60.94	74.69	57.76	40.22	68.03	28.37	50.36	35.24	133.01	160.49	120.75	318.0	224.67	74.78
Mbnl1	106.65	30.47	20.84	123.87	150.66	0.0	67.06	272.68	40.39	74.7	153.93	74.22	58.02	136.46	230.25	5.42	88.97	53.18	151.25	107.62	333.97	192.4	112.83	15.47	39.75	121.82	11.56	20.37	26.45	20.67	23.37	5.35	194.74	41.25	33.82	279.65	97.26	203.88	67.22	93.27	45.3	300.66	238.51	17.5	3.22	16.67	10.16	6.95	0.0	209.91	69.57	193.85	208.44	171.47	5.87	0.9
Mkl2	227.31	326.43	196.65	474.87	362.01	139.02	339.02	271.18	109.21	187.87	165.17	314.3	239.04	309.86	234.42	86.16	144.43	169.99	126.41	139.44	248.1	338.35	201.3	126.76	106.03	126.33	59.21	79.18	73.1	29.71	87.02	39.32	118.57	158.86	54.49	261.88	159.43	260.82	164.29	250.28	202.76	360.18	263.05	150.42	276.04	192.52	140.68	77.15	206.77	145.56	151.79	315.79	240.49	397.46	197.51	334.97
Mtap1b	279.59	453.86	288.08	821.35	703.6	387.88	320.44	457.35	182.48	289.86	833.27	908.32	825.39	556.74	747.25	209.08	242.94	564.2	445.86	238.18	1390.07	949.75	605.41	123.79	84.19	239.89	28.91	88.35	217.95	124.3	72.65	90.0	176.93	457.47	57.72	446.97	595.14	451.26	505.26	672.19	539.22	514.97	685.02	376.7	129.22	179.95	204.49	48.79	63.36	696.62	625.96	717.39	462.97	838.51	552.59	658.52
