	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_15	Chrna2_tdTpositive_cell_17	Chrna2_tdTpositive_cell_19	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_26	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_40	Chrna2_tdTpositive_cell_48	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_57	Chrna2_tdTpositive_cell_70	Chrna2_tdTpositive_cell_77	Chrna2_tdTpositive_cell_80	Chrna2_tdTpositive_cell_83	Ctgf_tdTpositive_cell_9	Cux2_tdTpositive_cell_72	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_6	Gad2_tdTpositive_cell_16	Gad2_tdTpositive_cell_41	Gad2_tdTpositive_cell_68	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_83	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_11	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_12	Ntsr1_tdTnegative_cell_14	Ntsr1_tdTnegative_cell_27	Ntsr1_tdTnegative_cell_45	Ntsr1_tdTnegative_cell_54	Ntsr1_tdTnegative_cell_56	PvalbD.Slc32a1_tdTpositive_cell_8	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_19	Rbp4_tdTnegative_cell_22	Rbp4_tdTnegative_cell_23	Scnn1a.Tg3_tdTnegative_cell_17	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_7	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_32	Sst_tdTpositive_cell_37	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_65	Sst_tdTpositive_cell_67	Sst_tdTpositive_cell_92	Sst_tdTpositive_cell_96	Sst_tdTpositive_cell_104
Grin2b	191.93	160.83	205.59	257.71	158.9	167.03	219.83	494.52	73.38	130.73	34.66	129.4	257.54	73.41	238.76	35.36	0.0	62.67	0.0	0.28	2.04	0.0	179.8	159.89	243.3	227.7	0.13	0.0	113.0	54.78	121.66	53.4	74.67	38.99	68.24	127.78	64.68	101.71	82.6	71.2	107.72	147.24	86.61	81.73	52.66	107.74	95.18	112.83	99.52	52.28	59.89	109.06	114.44	84.45	84.2	110.92	67.98	120.96	0.0	0.0	11.19	67.23	226.42	6.58	232.7	0.15	0.35	0.09	1.38	0.63	0.66	141.51	161.16	142.68	62.55	147.26	189.74	150.37	255.97	219.53	178.82	107.68	117.59
Hsph1	102.17	55.51	123.74	137.11	187.71	0.22	81.55	123.31	214.47	10.38	34.32	2.82	98.12	29.03	297.21	347.07	0.0	0.23	0.0	0.0	0.0	0.0	105.12	0.56	210.46	142.72	0.0	0.0	24.98	68.95	48.8	76.29	41.2	59.87	8.35	54.55	114.17	2.48	61.36	89.15	127.85	152.85	0.0	76.48	84.93	184.7	46.07	87.36	118.19	3.84	110.71	87.15	55.6	31.53	179.71	31.45	35.93	100.05	0.34	37.16	0.0	26.86	160.07	4.51	158.61	0.09	0.0	0.0	0.0	0.13	0.0	54.03	128.94	76.24	93.28	135.21	0.32	149.97	188.32	73.24	188.07	146.21	248.79
Nme7	158.0	233.3	164.49	180.64	164.79	264.43	129.08	163.3	330.65	234.85	232.65	162.56	163.58	98.89	370.16	237.2	0.06	95.66	44.74	0.48	11.56	30.76	303.02	206.37	165.2	197.14	0.0	1.18	74.69	143.81	152.05	90.1	72.75	119.69	137.69	190.57	132.96	92.55	134.39	86.71	107.2	90.66	51.82	73.87	105.51	66.62	104.38	100.4	66.92	94.49	85.81	121.5	86.01	61.32	84.97	131.74	122.46	62.54	1.1	16.78	5.12	0.12	332.77	7.85	326.54	0.84	0.0	1.37	2.33	0.84	5.65	188.36	242.24	167.16	274.17	122.42	377.07	250.46	149.63	225.83	140.66	78.05	317.08
Nsa2	65.1	4.22	32.21	98.94	48.85	8.68	0.52	37.0	62.47	2.53	21.47	2.44	0.0	40.68	81.38	0.29	0.0	1.68	0.0	10.81	34.66	0.0	18.91	0.0	17.53	38.12	0.0	0.0	16.1	20.31	32.85	127.47	0.06	3.09	31.38	12.34	37.04	90.64	20.7	0.43	8.9	24.98	16.45	9.27	9.16	40.4	7.45	52.61	5.48	83.49	57.61	16.53	43.47	28.62	0.1	22.84	45.57	47.24	0.0	0.0	0.0	0.0	2.26	0.0	105.15	15.48	0.0	0.0	0.0	0.0	0.87	5.14	14.02	28.66	15.69	0.0	75.95	0.0	83.69	57.04	20.49	51.17	2.3
Osbpl1a	0.0	19.47	50.37	87.76	138.33	50.41	0.0	82.8	66.09	22.09	74.29	104.15	84.3	0.0	142.12	70.13	0.0	0.0	0.0	0.0	0.0	0.0	139.05	0.0	0.0	88.53	0.0	0.21	0.07	1.73	0.22	0.23	0.13	0.05	52.55	0.13	0.0	26.84	1.3	39.64	26.9	0.0	0.0	49.54	15.1	54.14	0.37	1.75	0.08	0.0	0.1	40.42	0.22	0.0	0.0	26.1	0.09	0.87	29.87	0.0	0.0	0.48	40.08	6.2	336.77	0.51	0.0	0.0	0.0	0.0	0.0	21.21	137.53	13.53	0.0	27.88	440.82	42.92	62.21	41.98	56.09	80.85	187.41
Prkacb	126.79	152.69	434.6	46.28	175.41	87.13	274.7	166.2	153.68	155.92	53.98	105.24	527.05	205.73	180.49	95.18	0.0	326.08	0.0	0.0	0.0	0.0	226.33	182.28	401.21	684.24	0.0	0.0	155.1	290.26	202.52	232.2	1.65	101.91	110.44	193.13	117.99	71.86	236.26	100.54	193.56	156.44	349.01	79.23	86.1	270.87	59.11	133.0	101.99	0.89	144.59	135.81	114.88	127.36	191.48	87.62	130.73	127.25	0.28	0.0	0.0	0.0	877.82	1.99	576.92	0.23	0.29	0.0	0.0	0.0	0.0	114.76	336.32	316.48	246.89	257.52	140.16	168.65	455.25	699.37	703.36	197.31	448.73
Rab3a	125.32	341.3	218.27	319.23	225.42	297.15	203.31	273.38	378.97	34.45	258.44	474.44	418.61	352.77	194.69	378.12	0.0	330.42	0.0	0.0	0.0	0.0	321.23	0.0	393.66	131.15	0.0	0.0	296.03	267.67	72.42	202.87	240.62	160.74	217.99	128.36	425.92	142.12	471.84	484.93	593.28	269.64	144.17	110.88	232.98	210.0	102.44	115.19	151.7	195.59	85.51	297.25	131.87	113.91	41.47	77.81	90.2	115.22	0.0	0.55	0.0	0.0	630.78	15.18	291.25	0.23	0.0	0.0	0.0	0.0	0.0	210.88	212.47	14.05	504.01	929.53	702.44	211.89	544.49	458.26	188.58	186.53	766.92
Rab3c	77.38	146.39	129.97	234.28	256.64	183.88	55.7	67.68	129.75	149.35	102.77	58.71	252.6	37.01	215.16	65.28	0.18	79.8	0.0	0.4	0.33	0.38	32.15	13.3	370.5	498.6	0.32	0.0	42.83	83.49	101.54	80.99	84.53	31.27	64.12	81.23	112.28	52.03	116.7	66.76	189.67	94.52	51.22	67.84	9.66	44.15	74.34	31.74	81.08	11.18	40.13	96.47	86.32	60.33	51.83	65.5	66.49	25.05	56.94	0.18	0.22	0.26	325.0	2.26	195.56	0.14	0.17	0.0	0.51	0.31	0.94	108.57	60.49	202.55	76.09	69.47	86.09	40.18	133.64	235.52	165.43	221.37	249.2
Rbp4	43.81	426.42	216.33	132.0	100.03	368.35	0.77	138.19	487.96	110.66	393.43	789.71	533.41	0.3	487.77	439.09	0.0	237.5	0.0	0.0	0.0	0.0	64.89	230.22	85.67	84.62	0.0	0.0	28.38	0.41	103.52	4.95	55.02	1.2	0.11	15.18	4.6	0.0	0.0	2.18	132.66	45.07	0.0	0.0	48.02	0.0	0.0	0.0	36.21	0.79	1.14	72.31	32.74	22.3	47.89	31.05	34.65	0.0	0.0	0.0	0.0	0.0	733.68	0.0	44.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	205.73	130.64	132.62	1388.07	895.33	0.0	886.4	267.45	496.89	148.5	441.09
Satb1	4.5	75.69	104.2	56.76	39.13	109.85	81.48	162.34	61.82	59.7	137.62	63.07	99.03	31.95	194.98	56.86	0.0	52.32	0.0	0.0	0.0	0.0	54.35	247.73	51.52	126.0	0.0	0.0	15.92	57.26	7.81	0.94	8.69	35.1	30.26	10.14	5.27	8.04	33.15	13.87	29.82	1.18	31.89	7.87	2.31	8.71	11.94	0.69	1.41	30.2	4.77	21.08	13.63	1.96	13.33	23.75	11.34	1.35	0.0	0.0	0.0	0.0	147.16	0.67	97.28	0.0	0.0	0.0	0.0	6.32	10.72	7.34	31.02	76.09	43.96	293.86	193.59	1.12	37.4	32.18	97.84	19.06	191.15
Slc6a17	10.59	24.92	0.76	5.02	47.73	21.3	17.39	25.98	76.23	26.34	108.14	68.64	79.93	23.48	19.67	23.89	0.0	0.13	0.0	0.0	0.0	0.12	20.88	0.32	54.4	33.81	0.0	0.0	19.62	7.3	44.15	15.59	7.82	8.34	50.21	15.91	2.55	1.7	18.73	3.44	25.96	0.33	20.14	24.62	0.9	43.22	51.37	22.99	17.43	11.31	5.91	24.92	0.26	14.12	7.5	1.43	21.97	6.16	0.0	0.0	0.0	0.08	75.75	0.33	32.77	0.67	0.0	0.0	0.0	0.0	0.16	0.45	37.37	25.95	21.42	1.11	27.98	23.61	21.47	101.86	43.26	36.27	49.9
Sncb	91.79	248.84	354.0	367.52	130.72	96.52	153.5	232.94	48.13	80.26	55.12	120.79	307.71	114.6	235.7	244.93	0.0	123.52	0.0	0.0	0.0	0.0	59.3	0.0	93.09	77.29	0.0	0.0	67.27	27.76	33.72	45.64	95.5	180.51	75.12	84.41	34.63	84.76	102.58	116.83	96.45	164.86	97.77	41.38	71.22	56.1	41.09	82.07	62.85	37.03	41.86	97.76	65.48	89.21	23.57	68.54	41.13	61.78	0.0	0.0	0.0	0.0	190.53	5.42	178.55	0.0	0.0	0.0	0.0	0.0	0.0	176.44	212.46	96.94	146.04	218.79	366.26	70.72	273.28	202.53	117.15	86.27	209.51
Sst	36227.54	54779.79	13303.57	7996.1	110572.87	47293.26	52293.57	7499.29	19548.76	92299.24	48476.57	39954.99	10378.34	38673.83	14896.02	15056.47	0.0	20433.95	0.0	0.0	0.0	0.0	72114.03	41248.39	79456.04	80147.45	0.0	0.0	39114.0	46171.02	45987.89	53894.31	43875.07	45687.49	43763.2	39090.22	56866.87	51085.86	57147.69	41946.67	53884.47	50199.22	49702.56	51551.12	68952.67	41941.87	63593.53	54941.04	65451.11	55479.93	53524.63	52986.0	54018.45	54281.29	59257.22	56460.73	63808.17	57846.93	0.0	0.0	0.0	0.0	50608.74	0.0	7684.42	0.0	2.17	1.19	0.0	4.17	0.0	41295.0	40924.0	40020.56	78404.02	11693.52	16204.05	70180.73	41593.77	12729.65	60686.4	43001.18	11221.91
Ube2v1	244.71	635.22	735.28	869.08	398.76	500.18	34.69	870.72	502.2	407.35	152.75	268.98	473.46	250.52	439.41	361.2	0.0	412.35	0.0	0.0	0.0	0.0	309.65	0.0	489.1	271.16	0.0	0.0	479.65	404.84	233.32	397.49	414.67	314.44	642.58	192.7	297.75	443.92	328.27	368.37	325.12	564.99	301.28	141.91	314.44	313.77	285.22	463.91	393.94	154.69	298.2	285.06	325.77	408.88	279.53	300.56	531.08	238.23	0.0	0.0	53.48	0.31	344.07	9.79	464.83	0.67	0.0	0.34	2.48	0.24	0.0	238.48	568.34	394.14	342.06	607.84	433.58	188.62	546.73	538.54	648.44	912.97	499.51
Ublcp1	74.11	30.18	173.01	121.75	28.63	87.59	43.15	342.56	297.14	0.0	112.03	124.41	0.0	237.88	111.69	66.68	0.0	0.0	0.0	0.0	0.0	0.0	407.91	0.0	55.12	95.28	0.0	0.0	57.43	89.78	114.57	295.24	43.36	2.63	162.78	0.21	40.62	31.79	141.98	187.98	116.17	112.69	127.24	82.62	38.48	78.3	93.84	153.25	66.0	2.21	234.8	71.65	203.7	107.93	7.21	102.5	191.5	175.35	0.0	0.0	0.0	0.0	306.3	0.99	351.99	0.0	0.0	0.0	0.0	0.0	0.0	264.12	217.63	105.1	196.92	138.67	214.47	122.24	0.22	58.36	97.65	122.61	41.88
