	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_18	Chrna2_tdTpositive_cell_22	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_38	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_7	Ctgf_tdTpositive_cell_10	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_91	Htr3a_tdTpositive_cell_123	Ndnf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_20	Ndnf_tdTpositive_cell_21	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_38	Nos1_tdTpositive_cell_42	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTpositive_cell_69	Rbp4_tdTpositive_cell_60	Rbp4_tdTpositive_cell_73	Rbp4_tdTpositive_cell_105	Rbp4_tdTpositive_cell_107	Rbp4_tdTpositive_cell_108	Rbp4_tdTpositive_cell_132	Rbp4_tdTpositive_cell_136	Rbp4_tdTpositive_cell_169	Rbp4_tdTnegative_cell_22	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_22	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2
Clstn1	2.88	109.85	13.35	19.58	17.48	91.88	11.7	0.08	0.0	0.0	0.0	0.0	0.0	50.75	45.09	22.36	76.54	25.49	0.0	0.0	0.0	0.0	0.0	2.85	13.65	12.77	28.95	40.93	22.66	3.27	39.45	25.55	3.26	1.57	46.11	63.74	7.52	51.61	14.8	5.83	2.91	8.05	15.03	43.18	19.22	58.98	50.02	1.09	4.69	0.0	6.35	7.76	43.21	45.78	15.34	29.16	16.72	10.22	67.9	117.67	143.4	135.89	76.11	24.89	36.26	18.53	153.07	0.0	0.0	0.0	0.0	49.45	18.43	51.0	63.76	7.53	75.4	3.2	777.34	797.87
Cnot3	0.44	40.83	11.85	0.5	1.41	0.56	0.0	0.46	0.0	0.0	0.0	0.0	0.0	1.42	6.21	1.9	7.57	4.03	6.57	0.0	0.0	0.0	0.0	0.0	1.26	0.98	0.45	0.0	12.37	0.0	0.0	0.0	0.0	1.04	2.4	3.76	0.52	0.54	0.37	0.0	0.0	0.0	1.39	12.92	2.11	0.0	0.0	0.0	0.0	1.54	0.61	0.93	0.57	1.61	0.28	1.35	1.84	0.0	0.9	0.66	1.01	0.0	0.91	0.0	0.0	1.28	0.0	0.0	0.0	0.0	0.0	0.0	0.31	9.48	3.65	2.9	0.21	0.0	33.4	35.15
Cntn3	0.0	84.0	0.0	44.45	0.0	27.26	29.15	0.1	0.0	0.0	0.08	0.0	0.0	7.69	0.04	35.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.19	0.14	0.0	0.02	0.05	0.0	0.04	16.03	0.0	4.98	0.0	0.0	14.54	22.71	0.07	21.6	0.0	10.87	0.0	0.2	4.54	0.0	1.02	0.0	4.32	0.0	0.04	0.0	0.0	3.29	3.18	16.28	11.72	0.0	0.0	0.0	0.0	8.36	73.93	0.05	0.06	0.07	0.71	3.58	0.0	0.0	0.29	0.0	0.0	0.0	1.46	2.28	0.32	0.0	0.0	15.73	14.9
D6Wsu116e	52.49	47.68	0.0	18.85	20.87	64.62	6.18	10.68	0.0	0.0	0.0	0.0	0.0	0.0	17.95	27.08	21.22	0.0	0.0	0.0	0.0	0.0	0.0	35.64	3.3	28.27	4.91	0.08	9.09	1.23	4.82	54.4	24.77	4.71	13.97	11.03	6.2	1.17	3.38	14.48	0.0	0.97	8.22	94.01	3.98	3.8	0.83	3.06	2.23	0.0	0.0	26.39	26.69	1.62	5.24	1.67	25.3	22.56	0.0	27.46	48.6	28.15	27.17	0.14	33.88	0.0	1.31	0.0	0.0	0.14	1.89	16.4	10.78	4.68	31.29	31.26	7.93	0.0	69.44	67.4
Dlat	15.76	105.89	0.99	1.17	53.26	16.06	0.0	0.81	0.0	0.0	0.0	0.12	0.0	35.31	0.62	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.53	34.32	19.65	0.18	42.05	0.03	26.79	1.57	8.61	63.86	1.83	40.1	2.29	35.57	73.88	14.68	4.36	6.12	0.0	94.44	29.09	0.22	25.96	1.3	10.5	0.0	13.21	0.06	18.89	0.89	0.0	0.0	27.35	1.43	3.04	0.0	42.37	3.98	15.94	0.0	0.0	3.67	95.14	15.55	0.0	0.0	0.0	0.0	11.92	0.06	2.31	17.41	0.0	0.07	0.36	70.3	71.53
Dnm1	22.71	65.43	70.01	56.48	32.91	45.41	1.51	8.22	0.0	0.0	0.0	0.0	0.0	4.35	140.37	32.14	18.04	37.38	0.0	0.0	0.0	0.0	0.0	13.97	13.5	18.81	0.03	0.57	4.76	32.34	29.95	22.74	15.88	2.61	9.78	8.72	17.51	2.08	1.36	36.06	21.22	0.63	49.78	26.95	22.97	0.76	16.44	28.7	17.13	0.37	5.09	16.71	9.78	1.46	0.72	6.65	19.87	20.33	21.05	83.79	22.19	95.38	56.58	47.32	12.28	60.62	33.08	0.0	0.0	0.0	0.0	44.55	0.3	8.02	9.23	44.14	31.16	47.77	785.48	840.55
Dync1li2	56.99	110.63	125.13	81.48	0.88	131.72	2.23	43.38	0.0	0.0	0.0	0.0	0.0	87.5	142.66	19.93	31.81	64.35	0.04	0.0	0.0	0.0	0.0	24.58	20.18	1.79	27.75	7.8	87.74	8.38	47.99	29.87	3.37	27.83	62.41	1.21	41.96	59.36	125.2	47.43	40.84	53.38	125.73	73.33	35.96	35.13	43.65	0.23	24.32	1.91	96.47	0.31	4.7	32.51	39.12	52.44	53.15	41.06	2.69	60.53	118.9	98.44	83.75	11.65	160.8	94.95	55.7	0.13	0.0	0.0	83.1	68.25	43.77	10.86	66.53	29.75	3.99	3.12	163.9	162.52
E130304F04Rik	0.0	49.45	0.0	0.0	0.0	0.0	3.47	2.19	0.0	0.0	0.0	0.0	0.0	1.09	0.0	0.0	0.0	1.3	0.0	0.0	0.0	0.0	0.0	0.04	1.69	2.77	0.0	0.0	2.51	0.0	0.05	0.0	2.63	0.13	16.99	1.47	0.0	0.15	0.0	0.0	2.65	27.67	44.39	1.82	0.0	5.0	0.0	0.0	0.0	0.63	0.0	0.0	0.0	0.0	0.0	0.0	0.06	17.61	0.0	0.0	0.0	11.4	0.0	65.42	33.32	0.0	2.61	0.0	0.0	0.0	0.0	0.0	3.49	25.36	22.73	0.0	0.0	0.0	14.75	15.69
Efna5	73.2	137.46	207.75	204.48	89.53	251.79	56.91	48.6	0.0	0.0	0.0	0.0	0.0	91.56	165.43	60.37	246.75	54.33	0.1	0.07	0.0	0.0	0.0	99.35	190.48	152.22	0.07	63.85	149.55	17.67	75.74	46.11	41.61	149.86	45.02	458.91	117.07	144.09	93.86	61.49	0.04	204.7	182.28	378.78	74.02	141.01	60.37	72.9	71.57	36.93	54.05	334.71	163.8	120.3	289.59	220.3	194.0	60.73	0.16	214.99	83.59	172.81	149.82	198.38	213.62	293.42	234.44	0.0	0.0	0.0	0.0	235.15	154.52	129.49	151.16	115.36	54.64	15.53	14.3	12.36
Fam73a	20.36	16.69	78.89	4.61	9.32	43.32	39.06	31.45	0.0	0.0	0.0	0.0	0.0	0.0	61.01	1.95	6.27	6.81	0.0	0.0	0.0	0.0	0.0	12.58	24.36	23.29	35.22	4.15	25.78	8.35	50.9	13.14	35.37	22.41	23.23	30.91	21.7	0.0	1.07	27.52	21.73	45.23	40.53	0.12	4.99	17.0	4.03	39.53	0.71	5.22	0.0	0.0	49.94	19.67	1.15	12.98	0.73	7.62	0.0	0.79	5.93	54.87	40.98	1.32	4.74	98.77	6.02	0.0	0.0	0.0	0.0	13.08	32.82	2.2	38.15	26.64	8.91	53.5	62.14	63.06
Fbxo31	0.15	44.36	0.0	0.0	15.59	0.19	2.96	1.42	0.0	0.0	0.0	0.0	0.0	0.0	0.96	0.0	0.0	0.94	0.0	0.0	0.0	0.0	0.0	0.0	0.08	1.37	0.0	0.04	56.74	0.0	0.07	0.0	0.0	19.27	1.24	1.75	3.44	0.0	0.0	3.2	8.27	0.0	3.37	0.0	0.0	1.69	0.0	0.0	0.0	0.21	34.19	3.23	0.0	0.0	0.0	0.0	0.0	2.59	0.0	12.82	23.67	3.02	12.54	4.15	0.0	2.88	21.86	0.0	0.0	0.0	0.0	0.0	0.0	2.54	0.0	0.0	4.08	0.0	76.48	83.05
Fndc4	0.0	31.47	10.81	33.53	10.6	0.0	16.59	8.11	0.0	0.0	0.0	0.0	76.71	5.83	22.3	0.45	23.04	0.0	0.0	0.0	0.0	0.0	0.0	49.29	0.16	31.29	0.16	0.0	21.64	44.61	43.46	1.17	0.0	42.07	13.73	15.41	1.34	0.0	0.0	2.74	1.32	0.0	86.7	86.74	31.95	0.0	0.0	0.76	0.0	0.0	10.37	0.0	12.05	1.94	0.0	0.0	0.0	0.0	0.0	111.43	40.64	70.48	112.42	0.0	11.45	7.03	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	6.55	40.35	17.61	27.75	75.76	84.12
Galnt1	0.0	14.84	1.28	0.0	32.02	0.0	0.0	5.5	294.91	0.0	0.0	0.0	0.0	0.29	4.4	0.39	0.0	4.78	0.0	0.0	0.0	0.0	0.0	13.24	27.67	0.02	0.03	19.52	0.03	0.0	2.64	39.88	29.79	0.0	1.59	18.18	0.0	0.0	0.0	6.76	15.88	0.0	14.48	5.92	2.17	23.5	1.04	20.89	26.7	0.0	0.26	0.0	23.37	0.0	0.0	6.67	0.06	1.39	4.02	0.53	31.38	118.49	5.01	0.0	0.2	54.93	10.89	0.0	0.0	12.54	0.0	16.55	0.0	15.98	38.32	3.53	17.78	0.19	36.82	37.35
Gart	8.63	115.99	0.0	0.0	0.0	54.44	0.0	58.25	0.0	0.0	0.0	0.0	0.0	0.0	51.58	0.0	30.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.83	0.02	2.29	45.13	0.0	59.73	8.21	48.37	0.0	29.54	15.45	0.0	25.93	0.28	25.79	3.87	19.05	24.41	36.32	2.62	42.81	31.59	0.0	79.75	0.0	0.0	0.0	0.87	21.05	74.28	58.66	14.17	61.31	20.1	0.0	71.79	0.0	0.0	0.0	54.66	15.97	30.78	58.3	275.05	0.23	0.0	0.0	5.15	0.0	0.0	56.79	0.0	15.55	60.26	22.39	23.95
Gpr88	12.38	106.01	0.97	0.0	19.75	52.7	0.0	0.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.13	16.1	78.47	24.79	1.46	4.46	38.35	0.0	18.5	29.86	0.0	14.8	30.39	0.0	0.0	31.0	16.74	0.29	0.0	0.0	45.3	10.22	0.0	8.51	19.46	0.0	18.94	0.0	0.0	0.0	0.08	0.0	0.0	0.0	14.95	0.0	0.0	0.0	55.07	0.0	73.39	46.07	39.83	0.0	0.0	0.0	0.0	0.0	0.0	0.07	6.94	13.27	33.23	0.09	6.63	148.3	152.29
Herc4	0.0	62.08	0.0	0.0	0.0	9.48	0.0	16.22	0.0	0.0	11.62	0.0	0.0	0.0	0.85	0.0	0.0	0.08	0.04	0.0	0.0	0.0	0.0	0.04	0.0	0.04	38.94	0.08	0.0	10.46	0.08	34.29	0.0	1.09	8.72	0.0	0.0	0.0	0.0	0.07	0.0	0.0	1.41	48.39	12.07	0.0	0.0	0.0	0.77	0.0	38.37	0.0	37.34	0.0	0.0	0.0	0.0	2.05	12.55	27.42	0.0	141.72	16.86	0.0	9.4	46.01	7.06	0.0	0.0	0.0	0.0	0.85	3.9	0.0	67.0	2.27	0.08	28.77	27.03	23.66
Hras1	26.83	50.22	0.0	37.46	0.0	4.42	36.11	19.66	0.0	0.0	0.0	0.0	0.0	0.09	39.92	0.25	0.22	7.71	0.0	0.0	0.0	0.0	0.0	3.31	1.63	28.51	0.0	0.0	2.88	15.99	25.01	15.34	81.45	29.78	22.0	0.0	0.0	6.87	32.32	18.04	23.85	0.0	0.0	0.0	0.14	3.18	0.0	5.37	0.0	0.0	0.0	18.23	0.0	0.0	0.0	9.86	1.37	0.12	0.0	38.62	0.0	62.25	2.23	0.0	0.0	2.87	0.0	0.0	0.0	0.0	0.0	61.54	0.0	9.34	30.24	0.0	3.45	12.77	97.29	100.13
Hspbap1	0.69	53.66	0.42	1.03	0.88	0.18	0.54	0.74	0.0	3.71	0.17	0.0	0.0	0.53	0.42	0.43	0.83	0.26	0.0	0.0	0.47	0.0	0.1	0.62	0.55	0.79	0.8	5.02	0.83	0.67	0.69	13.44	0.8	0.48	10.22	0.74	0.07	0.82	0.99	0.24	16.21	1.11	0.36	22.61	0.58	19.54	46.08	0.45	0.28	0.41	0.99	0.39	0.42	0.5	65.17	0.61	0.26	0.69	0.57	0.18	0.19	0.74	0.48	0.45	0.51	0.49	0.92	0.78	0.0	0.0	0.08	14.49	0.64	1.17	0.38	1.11	17.45	0.54	3.29	3.31
Ifit2	23.68	66.54	0.0	58.85	51.32	0.21	28.66	0.0	0.0	0.0	0.1	0.0	0.0	0.0	33.77	0.0	141.1	0.0	0.0	0.0	0.0	0.0	0.0	43.45	45.05	1.27	35.41	0.08	1.77	35.14	36.65	0.0	9.82	23.71	0.0	17.12	13.74	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.07	0.0	0.0	0.0	18.9	0.0	0.0	33.32	0.0	0.0	7.5	0.0	47.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	14.4	2.06	0.05	21.32	0.07	6.64	6.45
Lamp1	67.02	40.29	4.17	26.62	55.49	10.17	0.0	68.56	0.0	0.0	0.0	0.42	0.0	39.67	119.68	0.22	6.89	59.3	0.0	0.0	59.33	6.68	0.0	47.18	5.23	41.9	0.05	6.67	68.71	10.31	50.6	5.5	0.0	26.39	51.44	51.54	50.82	51.36	62.16	15.54	1.77	25.07	71.12	10.31	6.64	4.46	11.11	0.0	59.73	5.91	1.71	7.34	88.02	14.58	31.45	1.68	1.45	0.33	0.0	72.0	40.53	157.05	55.58	38.11	8.04	60.31	6.67	0.0	0.34	0.0	341.13	0.38	49.27	53.19	36.34	32.09	8.93	0.21	296.47	313.19
Larp1	0.19	21.97	6.73	14.75	18.91	14.85	0.0	0.32	0.0	0.0	0.0	9.42	0.0	0.0	84.94	24.08	3.78	6.72	0.02	0.0	0.0	224.3	0.0	0.3	12.6	0.3	0.37	2.24	0.85	14.36	16.46	10.64	0.05	17.53	40.89	25.57	17.52	0.83	2.38	1.56	13.14	13.07	52.56	57.33	21.6	3.47	3.9	7.64	17.23	4.29	0.15	7.41	5.82	15.61	0.25	8.03	0.0	0.7	0.23	0.62	25.66	18.83	33.33	4.81	35.32	12.02	0.91	0.0	0.0	0.0	1.17	1.82	3.18	22.04	3.54	8.38	0.5	1.83	53.52	50.27
Lphn1	7.17	63.62	51.37	26.58	11.71	32.2	7.2	16.78	0.0	0.0	0.0	0.0	0.0	30.56	44.95	36.91	11.52	7.21	0.0	3.13	0.0	0.0	0.0	16.31	3.67	7.12	4.93	0.56	13.93	2.42	17.08	8.59	19.94	15.43	21.25	1.27	6.03	8.23	20.19	14.8	1.44	4.56	3.07	69.05	19.22	14.61	2.34	0.1	19.08	47.54	0.0	9.24	9.24	28.35	28.76	16.62	31.05	7.66	2.08	101.15	74.08	88.25	52.13	77.82	25.7	35.63	33.15	0.0	0.0	0.0	0.0	7.0	0.03	11.59	14.96	0.05	16.72	24.63	185.96	190.77
Magohb	44.21	0.0	39.26	76.9	0.0	0.0	138.49	44.09	0.0	0.0	0.0	0.0	0.0	51.77	0.0	27.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.78	0.0	64.56	0.16	3.79	0.0	34.16	30.18	99.67	59.51	19.79	0.0	19.02	5.01	34.16	0.0	24.51	0.0	59.13	0.0	0.0	48.13	0.0	1.33	30.13	0.0	0.0	44.74	0.0	0.0	20.6	47.63	26.27	0.32	0.0	0.0	0.0	116.84	75.62	43.7	0.0	86.1	0.0	0.65	0.0	0.0	0.0	0.0	0.0	0.0	30.57	21.99	76.15	60.5	36.41	9.35	11.84
Man2a2	16.77	45.93	51.32	35.68	27.8	0.13	0.64	0.68	0.01	0.32	1.53	0.25	0.0	1.4	34.9	18.25	20.06	0.73	0.89	2.15	0.0	0.0	0.09	44.66	4.73	0.93	4.03	16.98	9.17	17.88	1.04	5.09	5.89	13.89	10.89	2.88	13.73	2.21	8.53	0.56	35.0	6.34	3.07	7.97	2.38	0.63	25.75	22.12	9.82	1.48	0.46	0.02	0.15	5.36	0.11	0.42	11.76	16.86	12.48	5.16	2.09	8.19	7.73	4.21	23.3	1.16	2.02	0.86	0.5	1.08	0.16	5.1	15.31	5.38	3.34	6.47	9.95	11.75	101.72	93.04
