	Gad2_tdTpositive_cell_43	Nkx2.1_tdTpositive_cell_9	Nkx2.1_tdTpositive_cell_18	Nos1_tdTpositive_cell_47	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_30	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_75	Pvalb_tdTpositive_cell_84	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_2	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_10	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_16	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_24	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_37	Rbp4_tdTpositive_cell_51	Rbp4_tdTpositive_cell_84	Rbp4_tdTpositive_cell_91	Rbp4_tdTpositive_cell_97	Rbp4_tdTpositive_cell_111
Atp5g1	1599.61	1925.01	1941.63	1290.66	1640.84	1344.5	1992.15	2091.77	2330.19	1688.2	1549.5	1601.3	1700.95	1462.45	1961.28	1465.69	2033.8	1840.78	2322.89	1403.83	1509.93	2099.39	2500.85	3581.27	2030.82	2178.73	1453.13	2546.16	2473.46	1698.39	2232.53	1896.69	987.53	1830.18	1370.91	1577.79	956.78	905.23
Atp5g3	1435.15	2396.64	2236.8	1136.85	1715.62	1550.42	1931.05	2964.41	2183.96	1701.0	2098.67	1616.38	1719.35	2135.77	2430.48	2364.3	2295.24	2001.51	2356.32	1280.57	2043.53	2292.78	2516.99	3701.73	2464.78	1634.99	2078.48	2140.96	1974.16	1175.82	2130.85	2294.91	634.78	1717.9	1089.99	963.72	1415.06	787.29
Atp5j	1931.72	3518.96	2152.7	1205.77	2000.2	1774.34	3456.02	3234.76	2396.67	1863.45	2017.48	1569.45	2170.57	2138.27	1254.98	1785.65	2023.65	2047.83	1871.58	1822.87	2214.69	2447.03	2279.53	3766.1	2067.64	2924.6	2298.14	2156.36	1951.79	3212.21	1511.07	2171.72	1306.41	1465.1	1025.11	770.23	1143.27	710.24
Atp5j2	1233.07	2060.41	1039.18	436.98	1697.51	1269.6	1862.4	1421.62	1298.47	1383.12	1377.03	1156.89	1070.28	1203.42	803.91	1043.09	1081.96	1300.18	1169.12	880.57	1093.7	1752.79	1853.26	3168.02	1732.7	2226.34	1578.55	1360.27	1981.17	2277.72	1463.22	1065.26	757.84	1203.87	672.98	812.16	981.66	463.93
Atp5k	1334.39	1908.74	1275.7	900.71	1655.76	1085.92	1025.39	1629.29	1272.12	1304.41	1079.89	1010.55	905.52	1252.56	1098.44	1009.4	1103.96	1408.12	1420.63	1213.56	1085.19	1763.14	2025.03	2483.37	1264.84	2138.64	1402.22	930.38	1647.69	2716.74	1057.44	1466.67	736.21	1016.07	733.03	716.95	841.14	666.06
BC030867	38.46	0.0	24.94	0.0	0.0	24.02	0.0	34.82	0.0	0.0	0.25	0.0	22.22	20.56	0.0	0.0	13.37	0.0	14.39	0.0	33.42	85.89	0.0	0.0	2.57	12.94	60.89	142.3	33.15	0.0	0.0	0.0	0.0	58.14	0.0	0.0	0.0	0.0
Bola2	328.2	251.99	207.23	146.9	153.47	95.78	102.95	224.22	262.71	110.63	120.7	133.33	135.42	241.43	71.76	190.77	247.24	0.0	306.08	211.1	67.7	114.9	193.68	539.55	332.87	434.97	184.42	338.55	187.44	337.91	212.96	102.92	55.03	286.16	176.32	145.19	0.0	0.0
Brp44l	1158.4	1674.79	2887.37	1486.22	3023.15	2011.97	3068.02	3079.72	1902.39	3644.28	2366.74	2621.21	2622.29	1945.05	1812.32	2823.25	2199.31	1997.83	2067.12	2232.1	1606.71	2745.29	2058.99	1778.62	1993.27	2295.92	1681.83	2679.49	1408.38	3147.25	2233.1	2292.56	1094.9	2652.84	1768.38	1756.37	772.44	815.76
Cox6b1	2187.98	2969.38	2426.72	1386.31	2439.67	2667.39	3153.71	2214.68	2985.6	1986.75	2476.85	1873.52	1945.05	1840.32	1552.75	2000.28	1313.33	2042.69	2576.95	2408.22	2099.05	2988.03	2912.63	4377.17	2657.25	3737.19	2181.81	3169.63	2696.62	2912.89	2537.92	2643.84	1276.31	2442.17	1743.95	1118.15	1103.36	920.6
Cox7a2	1274.87	1224.67	1465.8	840.01	1281.68	1239.45	1667.99	1430.66	1451.18	1050.03	1110.12	987.69	1273.51	1197.25	1137.92	1187.45	842.53	932.87	1333.56	1089.05	1112.66	1090.04	1371.58	1857.99	1216.21	1802.2	1267.78	1093.89	1523.61	2381.58	1536.62	1251.52	638.35	1325.59	720.39	674.48	586.83	670.36
Cox7b	904.3	1561.8	1064.13	551.42	1437.96	1205.49	1782.69	942.05	1126.02	1061.01	974.89	704.77	1009.79	1116.32	1169.28	1025.46	732.89	1300.28	1491.71	1103.48	897.09	1136.45	1425.72	1568.52	1472.03	1559.23	920.42	1138.34	1207.69	2020.05	1224.97	1280.95	650.81	1273.55	887.25	612.28	570.56	363.05
Cox7c	2095.66	2533.14	1818.31	1228.11	2306.86	1746.69	2575.77	3024.12	1804.57	1656.02	1522.08	1535.13	1611.42	1857.1	1371.99	2067.49	1850.14	2603.25	2479.87	1921.59	1119.67	2214.6	1915.71	3205.96	2514.68	3407.46	1944.78	1743.7	2375.93	3956.54	2861.74	1878.81	1348.84	1986.95	1116.29	1255.57	1373.88	826.5
Cux1	20.87	39.01	29.22	11.57	80.2	54.02	40.73	124.51	19.56	72.82	48.93	21.01	32.26	82.0	22.32	5.91	42.94	54.39	71.27	11.24	31.44	136.69	54.51	29.55	67.39	33.94	83.75	103.38	59.65	4.62	61.21	65.25	0.0	123.98	0.0	0.0	0.0	0.0
Cycs	1448.26	1554.89	1818.63	1028.01	2030.95	1755.69	1963.67	2029.25	1832.68	1366.16	1926.13	1875.82	1745.49	1497.61	1407.38	2101.96	1736.32	1449.18	1780.27	1363.27	1213.85	1108.41	1809.28	2042.63	1794.01	1868.93	1424.8	1449.87	1444.41	2181.87	1639.08	1801.77	790.94	1358.87	1239.48	1180.33	734.12	431.34
Dnajc15	314.1	372.04	384.61	150.83	253.41	375.38	574.64	377.86	470.5	646.37	345.14	204.65	198.18	512.57	299.33	319.51	592.55	55.61	128.62	370.71	600.37	286.14	670.39	467.11	145.51	582.9	151.56	288.99	448.98	497.88	254.58	244.99	311.25	230.59	127.67	130.18	0.0	0.0
Elavl2	37.58	64.01	53.52	24.37	123.99	123.97	117.01	78.41	101.53	60.42	75.25	122.41	96.69	135.99	164.89	72.6	68.27	72.29	191.66	126.85	167.86	145.92	139.49	166.27	136.31	220.93	97.06	192.91	90.93	210.02	55.08	124.76	5.1	148.59	18.68	51.5	0.08	28.45
Fam135b	20.53	28.42	54.23	0.0	41.94	63.92	52.03	56.57	26.31	47.24	40.88	46.24	64.56	13.48	0.82	73.09	27.53	15.11	25.08	16.31	9.44	40.16	25.73	171.46	79.89	29.37	43.33	13.94	28.27	0.07	3.93	12.64	46.96	16.85	26.86	48.23	0.06	78.53
Fam177a	9.25	2.51	15.39	3.22	6.82	24.53	3.54	29.66	11.16	6.99	21.56	10.97	13.82	12.74	6.06	7.94	13.56	1.24	7.31	24.24	7.36	19.03	15.55	27.72	5.43	5.26	16.29	15.25	0.63	2.48	9.58	6.62	4.8	3.78	1.28	8.89	3.27	4.94
Fkbp3	1384.36	1233.53	2671.12	620.18	1803.16	1770.63	2693.29	2148.47	1933.64	2014.52	1659.79	1622.46	1656.72	1396.37	1224.87	1178.59	1798.18	1541.8	1691.88	1224.61	1511.94	1334.16	1366.64	1778.93	1168.66	2047.33	1739.29	1276.65	1725.21	2237.71	961.18	1980.37	829.68	1418.82	1085.23	1189.18	1264.62	873.78
Fmn1	17.68	5.57	3.21	0.09	0.84	7.49	0.1	11.06	3.55	1.52	22.52	16.96	15.4	10.39	0.0	2.22	6.26	2.58	0.07	8.59	4.67	26.09	14.85	0.05	1.87	10.18	4.25	0.14	8.77	4.83	0.26	18.73	0.0	11.45	0.35	0.03	0.05	0.0
Gabra1	935.58	318.84	590.99	513.62	841.0	993.96	805.71	830.95	572.52	823.62	941.01	908.99	1083.64	1370.0	683.26	1291.16	640.97	969.69	486.9	1171.17	1032.14	203.58	1110.1	531.66	782.66	672.27	1099.7	786.05	621.87	729.59	959.22	896.18	167.05	942.94	785.56	308.78	671.95	290.08
Gabrb2	524.48	317.09	712.36	629.82	451.56	459.27	386.06	556.03	471.27	559.91	739.46	612.0	458.27	486.36	298.8	435.53	361.85	576.8	496.97	525.55	229.97	343.2	579.12	483.4	477.47	589.42	334.38	427.73	369.75	569.58	335.49	408.08	332.6	245.28	360.69	417.96	294.51	288.67
Gm5177	32.64	57.02	46.18	46.98	48.12	59.35	62.73	48.29	51.25	47.21	48.04	46.51	45.2	42.2	37.21	34.44	53.58	50.13	54.29	43.39	40.88	50.23	48.7	20.83	48.87	25.29	60.72	48.65	37.81	14.62	37.19	49.61	28.5	50.76	34.76	35.04	32.17	27.26
Hsbp1l1	0.0	0.0	4.12	11.73	0.0	98.73	40.77	0.0	16.54	0.0	0.0	73.15	67.06	55.2	0.52	92.49	0.0	42.13	0.0	51.28	0.0	23.43	138.56	0.0	59.53	49.92	9.28	15.23	0.35	0.0	1.32	49.58	23.13	35.17	0.0	0.0	0.0	0.0
Hspe1	423.5	437.27	636.38	417.37	573.62	650.97	1101.97	731.47	484.2	737.69	709.96	596.19	633.93	361.02	530.19	486.45	643.25	387.75	571.92	309.21	228.47	543.31	577.66	473.95	714.43	819.32	327.91	468.14	742.66	485.74	659.4	475.7	265.17	528.23	218.62	192.14	84.23	51.22
Lamtor2	428.01	561.95	623.31	178.72	527.43	592.06	763.84	882.69	615.87	773.39	508.71	363.67	421.74	509.23	1.22	470.06	523.6	315.5	589.37	414.08	101.99	715.53	482.73	65.33	569.63	569.01	270.67	645.33	726.73	270.26	358.43	759.04	310.07	195.12	242.7	215.15	361.26	109.38
Ldhb	9309.63	6455.58	8752.31	5550.65	8798.32	8750.45	10118.08	10894.4	8525.9	8583.06	8517.89	9220.91	9343.6	8808.99	8620.64	10165.1	9602.81	11261.44	7829.53	10004.69	7266.47	8757.21	13571.31	6113.3	12546.17	6645.35	9755.78	7935.39	8904.1	7282.37	11010.48	10182.84	2486.6	11746.38	6354.2	6019.71	3146.37	2387.01
Lypla1	215.7	25.72	154.3	24.93	82.8	302.89	71.7	188.15	102.62	184.74	126.86	135.45	181.3	81.22	156.4	260.74	233.48	176.81	76.83	124.16	74.46	116.0	217.17	92.35	132.87	91.29	200.23	190.19	67.44	80.42	89.54	186.31	52.24	188.88	15.38	143.58	0.0	0.22
Minos1	210.96	230.25	105.63	26.02	118.52	78.25	116.52	152.78	110.11	86.24	129.06	112.69	155.2	141.66	50.82	138.02	122.55	78.05	122.52	74.53	149.65	193.55	161.97	237.21	169.65	196.93	108.84	110.83	202.31	170.87	133.5	139.65	69.31	121.13	95.81	80.22	37.68	99.08
Mrpl15	59.89	53.22	20.33	13.93	67.98	53.18	98.0	18.2	51.18	42.53	17.92	36.21	64.63	44.13	69.81	67.14	43.41	121.96	53.94	36.69	1.42	74.34	32.02	51.58	37.72	36.74	40.59	54.76	16.63	95.02	37.73	59.96	38.26	35.63	0.78	16.19	16.47	62.65
Mrpl18	812.8	526.29	384.48	347.19	705.83	635.61	728.92	480.0	608.43	380.97	614.85	458.55	711.87	242.73	527.02	316.47	400.85	1084.05	810.41	467.41	776.67	501.08	338.62	706.24	366.71	303.43	448.69	622.87	683.27	295.24	522.3	762.6	511.94	308.73	211.73	503.86	434.81	219.71
Naa20	644.27	1068.02	908.33	178.82	649.78	573.35	526.11	931.28	1034.95	1087.44	471.4	741.13	764.66	760.93	695.14	857.29	732.62	353.43	420.52	612.81	258.0	764.85	403.83	485.91	489.85	961.01	633.5	1067.2	951.47	1368.53	756.78	628.12	542.48	631.16	641.62	400.93	324.7	479.62
Ndufa1	865.82	1757.34	1689.98	660.19	1665.72	1219.94	2178.41	2098.77	1751.67	1109.95	1128.01	902.44	1456.38	1238.48	850.52	1338.79	1649.9	1444.04	1478.23	1025.56	994.19	1550.01	1546.96	3141.24	1491.0	2191.48	1121.81	1111.48	1170.24	1403.82	1749.35	1197.83	803.38	1167.06	770.56	480.51	460.56	680.8
Ndufa11	403.38	515.2	386.69	297.36	374.62	360.99	428.32	421.63	353.43	349.85	463.92	230.16	358.7	403.33	361.9	261.42	274.53	258.58	453.83	344.58	195.76	392.28	493.23	595.36	402.72	475.65	369.86	326.98	515.6	470.12	403.18	282.37	210.04	337.35	286.51	337.56	146.62	136.46
Ndufa12	1161.7	1860.45	1545.87	826.13	1505.31	1383.48	2152.61	1279.21	1759.56	1224.99	1393.69	1605.12	1569.16	1636.66	1693.28	1134.13	1634.25	1062.52	1098.65	939.41	1259.28	2155.07	1534.38	2174.9	1799.32	1694.97	1146.0	1204.16	1490.2	1317.13	1309.39	1847.11	909.97	1441.55	819.76	819.7	602.67	578.43
Ndufa13	538.52	804.38	663.98	325.05	508.82	590.86	985.33	878.84	630.18	409.84	579.47	498.86	431.24	518.65	591.75	344.77	498.46	444.19	598.85	589.97	503.77	683.99	582.69	635.36	653.95	548.06	772.14	517.92	733.27	631.26	487.72	516.19	369.53	571.64	280.16	596.5	147.44	296.65
Ndufa2	745.83	982.46	402.46	478.63	787.85	783.1	1023.24	1194.08	476.67	932.15	489.35	549.01	479.72	835.56	628.77	437.8	834.4	642.33	937.1	699.17	339.6	846.54	716.72	1530.66	583.03	1253.04	673.33	666.89	447.79	1068.18	721.35	833.27	203.41	573.04	303.62	609.29	439.98	601.66
Ndufa3	2464.53	4417.05	2140.92	1548.31	2507.54	2350.13	2518.68	2321.6	2554.54	1638.57	1964.91	1294.12	1841.58	1938.79	1689.95	2003.52	2183.93	2110.03	3124.22	2254.4	1860.71	2455.88	3074.04	4514.09	2530.45	3536.23	2430.76	2507.54	2534.22	2020.59	2186.71	2426.08	1348.86	2590.75	1601.98	1344.55	1279.65	1352.02
Ndufa5	1211.42	1127.97	1354.67	411.16	1168.13	846.2	1561.42	1704.48	1066.71	1167.29	728.18	828.89	996.2	1142.02	1019.94	951.19	962.46	729.88	1329.35	983.58	1042.24	1274.63	1080.06	2340.97	1032.27	1586.71	588.01	1038.64	1234.95	1923.77	1346.64	1033.04	647.93	945.99	671.14	670.88	711.52	731.74
Ndufaf2	371.71	664.67	346.52	101.88	417.42	427.74	531.06	344.92	341.69	213.09	529.57	328.49	293.07	353.91	430.94	410.26	254.53	129.54	315.56	257.37	315.35	421.93	550.73	68.68	372.29	209.74	405.91	140.86	316.98	688.27	107.62	264.44	178.46	167.77	91.35	84.16	84.71	37.59
Ndufb3	487.55	1129.65	746.15	715.67	776.08	293.61	1353.21	958.18	605.55	749.47	534.87	351.17	500.23	475.79	562.22	447.11	520.08	210.69	831.4	384.55	850.25	533.06	625.1	659.72	471.56	489.78	441.75	397.95	980.62	1087.63	599.0	690.75	361.49	829.03	570.08	301.51	242.68	486.74
Ndufb5	873.25	1705.05	1488.16	584.06	1526.85	952.58	1556.98	1450.91	1198.55	1225.75	1182.01	1077.05	906.72	990.14	946.68	1348.47	1105.22	1158.86	1257.04	756.94	1194.18	1435.47	1871.88	1313.37	1055.35	1456.94	1032.22	1046.28	975.38	1276.84	699.73	1029.66	576.01	1187.23	792.69	472.66	740.7	625.58
Ndufb7	466.88	449.03	539.0	328.13	456.13	480.63	367.51	250.85	520.39	373.09	335.7	335.76	369.35	434.1	180.58	308.56	430.42	395.18	416.51	611.01	607.24	537.92	683.41	687.22	346.75	569.87	349.21	377.98	301.43	614.77	289.44	336.04	401.16	303.57	348.54	452.92	512.31	223.14
Ndufb8	2073.06	2620.65	2607.18	1615.77	2616.21	2242.88	2876.73	3583.62	3264.2	2644.37	2625.51	2288.81	2396.78	2863.17	2139.74	2085.86	2343.13	1552.73	2584.15	2428.95	2490.17	2977.69	2624.5	3104.21	2178.66	2887.38	2814.89	2903.12	3297.51	2921.87	1878.46	3180.37	1989.98	2800.63	1764.02	1290.55	1508.76	1942.0
Ndufb9	1946.18	2430.3	2099.49	1087.67	1914.43	1824.79	1987.48	2455.92	1978.0	2082.88	1356.75	1780.3	1468.09	1646.15	1703.45	1342.25	934.02	1896.69	1632.75	1730.66	1645.97	2215.32	1584.63	2584.13	1865.89	1874.05	1291.04	2440.84	1254.54	2280.56	1648.66	1996.96	1123.22	1688.05	1244.41	755.73	1178.23	1078.56
Ndufc2	1062.42	1516.27	872.8	697.78	1159.04	1012.64	1244.38	869.53	1149.77	878.43	950.51	992.59	737.85	797.4	810.73	821.24	1076.34	1274.13	750.64	1244.16	839.58	1548.2	1026.28	1548.55	870.44	1288.83	747.77	987.19	778.42	1186.65	1157.39	1015.34	579.27	1063.3	683.49	759.26	321.11	549.8
Ndufs8	713.34	797.18	734.64	331.36	491.38	649.44	1240.5	1200.65	698.34	534.78	1105.96	406.93	761.41	447.7	715.05	893.92	617.67	579.09	698.96	576.93	265.53	484.44	733.32	936.76	763.98	548.47	546.97	611.49	824.51	484.36	699.92	615.53	522.22	724.1	389.69	512.72	211.34	153.58
Ndufv3	628.26	752.98	1052.76	749.48	401.51	762.23	627.08	888.67	663.03	661.27	509.38	672.82	326.22	732.52	376.29	473.18	606.71	908.93	782.49	561.71	421.52	769.08	508.73	1330.88	638.12	745.54	768.39	855.16	819.08	508.48	594.48	797.26	642.76	461.15	540.53	285.33	401.62	169.15
Nop10	707.46	610.81	587.52	438.15	622.33	322.21	942.22	574.55	492.48	524.68	365.58	449.53	483.06	420.3	323.47	651.68	358.39	580.97	507.08	548.04	524.94	670.77	723.34	922.83	542.92	638.55	411.82	588.51	684.63	753.99	478.29	439.96	289.73	618.71	477.08	188.96	295.6	319.73
Phyh	245.79	505.29	272.48	168.31	426.79	176.81	634.15	165.46	261.55	594.67	314.64	354.51	693.95	232.25	248.13	157.03	144.52	233.65	242.17	277.28	334.21	295.28	555.31	283.67	92.3	104.43	318.39	518.63	124.78	367.5	147.94	394.39	54.22	62.86	510.49	71.99	280.82	159.61
Prdx5	1257.58	923.16	1130.0	722.78	1175.63	1615.15	862.94	1812.2	1384.64	1089.37	1209.76	1334.12	1246.47	1184.4	645.17	1144.44	1150.15	835.71	1195.96	1269.39	777.78	1425.37	1594.1	777.4	993.38	1689.63	1334.35	1447.63	1240.23	1379.85	813.9	1180.89	574.21	1810.93	741.74	685.36	428.58	737.61
Pvalb	2506.7	1831.08	3332.67	25.85	1987.37	1559.12	1319.97	2144.98	1365.09	1292.73	1298.9	1590.34	1199.86	1414.35	862.9	1316.24	1724.33	1740.57	1346.22	1769.21	942.46	1277.26	1408.27	1541.16	1731.8	1286.26	1974.07	1368.74	1237.21	1057.87	1295.74	1914.29	0.0	3516.69	30.42	0.0	0.0	0.0
Rbms3	37.74	50.14	34.0	32.08	27.65	17.56	10.43	29.99	28.01	32.35	46.73	39.7	33.13	29.96	35.62	25.01	31.69	49.52	42.69	23.51	46.93	85.34	10.07	65.06	49.96	6.18	4.47	68.48	33.32	17.68	52.09	11.74	0.0	21.83	0.0	0.0	0.0	0.0
Rcan2	950.2	254.9	730.54	380.88	659.01	578.77	474.58	437.08	666.88	895.17	1002.34	981.45	709.39	721.46	412.37	659.81	434.8	591.01	589.15	597.3	439.85	552.6	514.08	338.09	603.26	481.59	726.25	565.05	723.82	284.22	408.69	613.19	131.18	502.17	227.91	222.36	128.01	0.0
Sdhd	739.12	401.13	862.03	367.92	679.18	682.53	1089.03	1018.09	501.6	914.9	730.32	931.78	478.8	650.01	273.7	536.87	539.44	580.65	776.58	440.45	385.44	858.6	648.81	358.65	1004.49	653.42	643.82	999.34	799.68	761.87	712.21	537.7	598.42	560.23	262.78	576.43	377.42	752.66
Selm	409.07	298.26	441.66	134.13	346.4	352.16	445.22	366.42	270.34	318.58	220.32	249.05	262.4	447.16	371.53	269.16	373.66	183.23	422.71	471.65	450.58	493.1	527.63	265.29	582.33	402.02	395.61	416.61	374.83	166.43	276.62	201.52	295.02	312.57	79.23	218.72	341.96	121.91
Sirt3	572.62	421.34	296.8	373.11	531.93	452.56	146.54	384.06	414.98	305.48	507.53	449.31	413.62	486.2	265.73	332.62	265.1	514.4	784.42	390.02	309.95	456.8	323.6	247.46	388.7	171.37	436.13	189.6	516.1	328.93	37.11	328.13	144.47	594.29	176.43	246.93	0.0	112.95
Slc38a1	123.98	44.63	76.04	105.75	98.14	55.14	96.42	84.72	77.65	94.14	99.13	91.16	147.97	66.52	63.94	88.01	92.75	183.79	114.74	93.64	42.53	92.82	85.14	43.1	126.95	102.7	76.41	132.25	108.82	56.83	93.98	82.85	59.94	132.13	27.49	49.94	37.52	1.63
Timm17a	604.23	795.55	1228.36	372.33	822.06	826.32	1002.5	1148.96	925.36	821.9	941.32	786.33	1019.32	1186.35	609.65	857.5	475.27	698.39	706.77	714.83	514.43	665.65	391.18	1010.93	1075.73	824.7	715.09	951.84	591.85	1250.46	833.12	801.85	784.01	593.1	1177.62	695.71	299.81	384.34
Timm9	161.4	82.97	172.52	55.69	202.27	241.08	118.98	255.51	174.79	81.44	234.97	63.57	161.27	101.7	79.15	40.38	81.31	43.59	257.36	144.44	91.07	215.96	188.91	337.34	182.58	281.07	428.12	257.06	147.18	224.91	325.75	94.38	116.92	196.04	46.38	71.88	0.0	0.0
Tomm5	614.43	233.39	643.77	122.7	927.39	716.51	488.38	238.53	519.58	809.27	790.29	377.63	477.64	585.89	771.42	633.43	597.44	336.11	450.33	420.22	434.1	759.23	586.04	1555.65	1040.39	1020.4	732.19	614.37	612.0	924.52	546.07	416.22	297.01	340.62	375.78	194.78	4.1	238.24
Ubl5	100.61	103.58	119.05	59.64	94.01	83.51	115.84	140.04	76.36	73.97	71.12	81.0	86.68	110.78	109.79	60.8	89.07	84.68	117.68	35.76	80.57	79.85	130.27	143.66	143.66	196.2	142.47	130.07	99.25	214.92	97.89	94.08	107.15	102.88	74.42	70.69	46.43	76.65
Uqcr10	1589.71	2434.13	1203.81	627.0	1271.2	1499.57	1544.15	1493.81	1499.4	1214.18	1516.59	1067.21	1333.97	1452.17	1486.83	1170.37	1568.88	1690.18	1488.22	1223.51	1216.75	2293.3	1371.74	2509.84	1315.6	2296.71	1668.51	1454.84	1394.06	2015.65	1288.07	1328.37	761.35	1539.98	1009.04	1234.41	871.75	941.14
