	Calb2_tdTpositive_cell_3	Calb2_tdTpositive_cell_23	Calb2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_74	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_15	Cux2_tdTpositive_cell_16	Cux2_tdTpositive_cell_51	Cux2_tdTpositive_cell_54	Cux2_tdTpositive_cell_56	Cux2_tdTpositive_cell_65	Gad2_tdTpositive_cell_66	Ndnf_tdTpositive_cell_21	Nr5a1_tdTpositive_cell_2	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_4	Nr5a1_tdTpositive_cell_8	Nr5a1_tdTpositive_cell_9	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_18	Nr5a1_tdTpositive_cell_26	Nr5a1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_37	Nr5a1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_38	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_16	Rbp4_tdTpositive_cell_25	Rbp4_tdTpositive_cell_96	Rbp4_tdTpositive_cell_115	Rbp4_tdTpositive_cell_154	Rorb_tdTpositive_cell_2	Rorb_tdTpositive_cell_3	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_36	Rorb_tdTpositive_cell_38	Rorb_tdTpositive_cell_40	Rorb_tdTpositive_cell_49	Scnn1a.Tg2_tdTnegative_cell_10	Scnn1a.Tg3_tdTpositive_cell_58	Scnn1a.Tg3_tdTpositive_cell_72	Scnn1a.Tg3_tdTpositive_cell_88	Scnn1a.Tg3_tdTpositive_cell_91	Scnn1a.Tg3_tdTpositive_cell_92	Scnn1a.Tg3_tdTpositive_cell_97	Scnn1a.Tg3_tdTpositive_cell_98	Scnn1a.Tg3_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_18	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_12	CAV_LP_Ipsi_tdTpos_cell_40	CAV_VISp_Contra_tdTpos_cell_4
Pik3r2	0.0	0.0	46.21	0.0	0.06	92.04	27.22	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.17	0.59	0.0	0.13	1.16	0.0	0.0	0.0	0.0	3.75	22.38	0.0	0.22	0.0	0.09	0.1	0.0	0.0	4.2	0.25	0.6	0.0	3.72	0.0	16.85	0.0	0.0	9.92	0.0	0.0	66.39	37.55	0.06	13.34	0.0	4.48	2.6	0.42	5.99	4.05	0.09	5.25	0.49	5.92	7.24	3.2	2.5	5.04	0.15	0.0	0.0
Prkcb	34.11	83.91	93.68	245.49	136.38	32.18	97.96	145.29	21.13	273.31	16.47	160.94	214.85	4.56	4.07	106.55	60.11	98.31	107.95	135.5	133.89	66.49	112.64	134.23	81.32	200.66	126.89	57.61	301.17	273.86	208.7	173.7	14.09	86.68	107.1	81.62	27.12	131.19	214.14	174.86	92.73	40.03	18.69	50.34	151.97	107.44	88.43	0.0	45.3	309.5	267.34	322.54	387.42	298.74	313.34	329.4	217.93	257.9	281.09	279.7	261.35	235.19	116.93	27.77	152.42
Psmc1	854.82	213.69	596.15	359.49	333.43	813.78	265.54	530.39	184.25	526.42	645.8	453.03	442.39	0.0	394.96	538.18	468.35	634.82	159.53	347.39	374.57	549.98	504.38	959.71	1098.57	369.6	336.78	445.21	436.35	544.73	361.81	755.98	346.0	587.92	131.26	555.07	993.69	639.68	610.13	352.51	583.4	434.02	876.8	448.3	1207.64	832.55	375.57	0.0	0.0	599.17	712.72	641.41	872.81	734.68	736.29	641.11	614.4	716.75	673.46	723.16	837.06	877.61	200.46	355.93	360.97
Psmg1	0.0	0.0	193.53	0.0	0.0	0.0	0.0	17.79	0.0	0.0	0.0	0.46	87.37	0.0	0.0	0.0	2.82	9.22	129.56	148.23	152.01	124.61	0.0	0.0	146.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	207.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	165.23	0.29	115.01	0.0	0.0	25.51	12.86	23.69	4.86	0.0	26.62	11.52	10.36	19.04	12.11	4.41	6.9	10.26	0.0	97.02	0.0
Rala	0.0	0.0	0.0	1.14	0.0	0.0	0.0	5.07	30.06	0.0	0.0	21.45	0.0	0.0	0.0	0.0	18.1	0.07	0.0	6.89	0.97	0.0	0.0	2.24	0.0	138.0	0.0	2.15	80.16	11.29	111.82	111.95	0.99	0.0	0.0	0.08	31.51	0.0	67.75	17.04	6.5	0.0	0.0	0.0	147.17	0.31	0.46	0.0	0.0	35.36	21.67	21.26	19.56	11.81	41.6	26.1	27.45	25.14	2.67	18.73	20.83	17.48	51.87	0.0	0.0
Rmnd5b	0.0	0.0	0.0	13.17	24.87	169.07	136.03	71.67	27.64	0.32	268.77	0.9	28.59	0.0	0.0	5.96	3.64	74.45	29.72	0.0	0.0	0.0	0.0	88.81	305.14	0.2	0.0	0.0	0.0	99.72	0.0	0.0	0.0	0.0	0.0	0.16	0.0	89.34	72.75	0.0	137.47	0.0	16.57	0.0	0.17	0.71	0.09	0.0	0.0	82.46	36.81	68.89	71.41	22.77	34.84	101.74	51.1	71.17	39.45	42.7	58.34	45.72	5.23	41.45	0.0
Rnf114	119.26	109.71	0.0	0.0	0.03	104.0	64.81	0.0	87.56	0.0	185.74	108.87	92.63	0.0	0.22	52.37	0.06	46.84	140.74	0.13	0.0	0.0	0.14	104.2	112.83	0.0	0.49	0.29	0.0	0.0	98.54	82.71	103.86	114.31	196.58	0.04	17.73	122.53	153.32	0.0	0.81	0.0	0.0	271.54	82.9	175.58	209.99	0.0	0.0	76.48	73.81	93.38	64.83	53.14	29.83	20.8	31.15	80.53	40.68	34.63	49.56	42.5	2.89	57.56	0.0
Rpl29	479.13	874.35	119.02	664.06	226.65	501.12	624.68	407.88	277.88	467.09	525.34	707.26	375.55	955.09	547.84	248.49	473.88	434.45	190.39	964.29	893.12	452.15	303.03	563.55	457.94	606.89	473.89	251.84	766.31	397.98	610.58	175.34	485.73	655.07	223.0	347.93	617.69	495.73	698.02	371.63	314.03	361.77	288.32	365.92	993.69	1147.91	80.04	0.0	331.85	444.69	436.19	374.4	538.73	403.46	520.02	396.54	587.98	478.8	455.83	381.82	493.29	454.84	602.71	239.74	300.13
Rtn4	558.78	157.98	21.65	213.01	102.49	152.56	521.84	136.42	244.87	247.54	48.87	434.36	667.32	40.47	190.65	514.57	312.41	326.31	167.67	71.56	137.6	182.89	36.1	281.81	237.03	435.3	389.44	214.63	318.45	374.26	48.43	430.13	153.65	143.89	346.83	45.1	201.08	299.37	254.47	83.1	640.31	684.52	134.23	273.21	375.48	221.91	398.2	22.46	13.75	392.14	347.33	247.45	342.73	355.24	301.22	290.68	290.87	281.55	337.34	209.84	228.01	222.14	138.96	38.42	331.68
Ruvbl1	0.0	457.76	0.0	185.92	2.54	4.03	2.7	0.3	343.96	111.08	0.0	0.0	177.16	0.0	233.25	165.48	111.92	171.78	528.87	92.83	171.48	157.29	0.0	82.39	326.31	95.85	0.42	2.16	19.61	102.22	4.41	118.95	183.91	146.27	290.9	284.71	260.71	141.03	68.06	262.0	27.14	215.19	189.56	400.99	198.55	175.02	142.24	0.0	0.0	78.78	63.64	138.69	103.29	129.44	125.89	94.09	84.93	102.29	131.09	90.54	103.34	99.38	2.36	193.59	163.0
