	Calb2_tdTpositive_cell_48	Ctgf_tdTpositive_cell_7	Ctgf_tdTpositive_cell_10	Cux2_tdTnegative_cell_3	Cux2_tdTnegative_cell_6	Cux2_tdTnegative_cell_11	Cux2_tdTnegative_cell_13	Gad2_tdTpositive_cell_30	Ndnf_tdTnegative_cell_5	Ndnf_tdTnegative_cell_6	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_73	Nr5a1_tdTpositive_cell_21	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_30	Ntsr1_tdTnegative_cell_56	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_67	Pvalb_tdTpositive_cell_86	PvalbD.Slc32a1_tdTpositive_cell_20	PvalbF.Gad2_tdTpositive_cell_4	PvalbF.Gad2_tdTpositive_cell_11	PvalbF.Gad2_tdTpositive_cell_24	PvalbF.Gad2_tdTpositive_cell_25	PvalbF.Gad2_tdTpositive_cell_28	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_31	PvalbF.Gad2_tdTpositive_cell_33	PvalbF.Gad2_tdTpositive_cell_35	PvalbF.Gad2_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_88	PvalbF.Gad2_tdTpositive_cell_89	PvalbF.Gad2_tdTpositive_cell_90	PvalbF.Gad2_tdTpositive_cell_91	PvalbF.Gad2_tdTpositive_cell_92	Rbp4_tdTpositive_cell_174	Rbp4_tdTnegative_cell_22	Scnn1a.Tg2_tdTnegative_cell_4	Scnn1a.Tg3_tdTpositive_cell_100	Scnn1a.Tg3_tdTnegative_cell_6	Scnn1a.Tg3_tdTnegative_cell_8	Rbp4_CTX_10pg_1	Rbp4_CTX_10pg_2	Rbp4_CTX_10pg_3	Rbp4_CTX_10pg_4
BC056474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7	0.0	0.42	0.88	0.24	208.27	0.0	63.1	0.0	0.0	48.86	151.01	0.0	86.55	93.75	1.34	134.53	208.82	210.38	2.18	99.5	101.47	153.0	188.18	108.86	195.44	2.61	572.64	210.0	67.5	0.0	0.0	0.0	0.41	0.0	0.0	72.23	175.08	0.44	213.64
Ccdc72	399.16	0.0	668.69	0.0	384.15	847.68	480.04	0.0	327.58	0.47	636.37	1558.71	856.35	510.98	248.03	43.58	14.22	842.93	650.49	228.22	581.81	900.93	600.5	883.86	970.94	782.04	461.99	447.82	482.04	864.57	672.66	615.61	1360.82	1017.39	703.62	678.53	610.6	132.94	878.05	424.85	478.63	176.68	18.32	320.15	183.05	302.33	512.89
Cdc42	749.81	0.37	610.84	519.41	1098.03	0.0	0.0	1039.67	0.2	0.0	311.96	1165.33	729.6	725.77	224.98	81.18	39.31	763.4	663.83	1708.18	603.82	913.27	314.71	1085.61	485.19	794.43	308.55	1090.66	706.81	740.79	666.69	412.01	1379.74	1054.81	1009.85	1099.54	1029.6	940.24	0.0	701.12	356.07	0.0	1318.73	599.21	538.12	830.27	719.34
Cdkn2d	12.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.17	0.0	5.94	170.15	1.28	66.46	16.92	0.0	124.28	103.16	136.14	0.0	91.15	174.56	129.78	0.0	88.98	0.33	89.48	9.55	296.57	0.54	43.6	0.96	0.0	1.24	0.66	0.0	0.0	162.71	236.93	66.44	134.75
Ckmt1	0.39	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.74	0.4	98.21	140.83	0.69	0.57	2.02	238.57	0.0	273.21	440.31	444.9	314.07	52.6	294.0	337.89	69.74	275.4	824.75	376.51	273.84	244.97	277.7	62.6	221.07	96.34	451.19	3.82	0.0	1.31	114.36	0.0	0.0	417.08	192.45	644.93	443.2
Cmas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.66	250.83	0.0	0.0	0.99	0.0	2.42	0.0	133.31	0.0	22.21	13.35	0.0	82.32	105.19	0.0	3.01	132.09	28.54	2.84	13.04	14.39	1.83	200.24	69.45	0.1	0.0	16.45	0.0	0.0	92.75	0.0	0.0	0.0	2.93	49.47	70.01
Copg	0.15	0.47	0.0	0.53	0.0	0.0	0.0	0.11	0.0	0.0	142.4	0.04	64.24	126.18	77.76	0.0	1.3	487.35	385.84	323.98	403.47	240.54	418.85	948.31	313.75	410.72	316.63	288.62	242.49	592.2	292.49	313.4	727.95	131.47	108.54	270.1	475.32	1.55	0.3	1.3	20.45	0.13	0.0	462.42	339.86	154.68	290.9
Cops5	0.0	0.0	0.0	745.6	0.0	0.0	0.0	0.0	0.25	0.0	156.96	0.13	87.62	195.35	194.06	0.0	2.61	164.72	1.98	510.29	340.88	632.1	360.75	550.02	77.96	121.13	1.18	86.67	249.95	136.75	88.96	104.35	16.22	0.12	41.08	437.97	91.61	0.99	0.0	748.97	1.12	0.0	0.0	133.39	83.75	277.63	143.5
Dctn6	0.0	0.43	784.08	0.0	210.1	515.49	0.0	0.0	0.32	0.0	16.16	0.0	313.86	323.11	171.0	1.92	2.27	227.62	446.88	481.03	247.66	0.0	52.23	109.33	222.7	0.39	89.46	289.05	253.42	49.5	269.01	121.22	222.15	250.01	702.22	1022.46	151.41	823.97	0.0	0.83	7.3	0.0	0.0	237.07	224.18	234.92	338.84
Dpy30	0.0	1561.85	550.71	545.91	558.0	0.0	0.0	0.0	0.0	0.42	90.59	0.0	161.73	87.08	0.0	1.35	3.19	446.44	179.49	167.36	65.97	228.8	483.43	353.76	363.21	94.35	125.35	300.28	150.85	175.64	35.95	183.46	137.11	157.1	324.15	564.2	301.86	82.68	0.0	0.0	1.23	0.0	0.0	130.47	205.82	27.71	287.38
Dynlrb1	0.0	0.62	1382.16	3.48	0.0	0.0	1.06	1.44	0.0	0.43	722.15	954.92	511.28	681.06	514.03	277.22	21.32	1559.22	986.63	854.98	722.72	1964.3	1600.78	1962.32	2441.44	1155.08	825.33	975.54	846.17	1663.94	1181.39	1143.7	1428.39	1979.31	1773.86	1763.03	1415.0	1030.69	0.93	1.99	1472.75	718.23	607.87	606.78	516.57	803.51	725.14
Eif3i	0.0	70.74	0.0	0.0	577.63	975.08	0.0	0.0	0.0	0.0	166.16	662.56	0.0	176.06	371.57	0.83	0.98	210.44	401.6	0.0	278.17	588.18	163.61	311.22	9.35	265.53	593.67	438.68	349.32	203.22	310.1	507.48	290.41	432.23	330.48	7.22	392.92	3.33	0.56	0.48	73.33	536.78	0.0	196.32	149.37	304.91	143.86
Eif3k	0.0	0.0	0.0	581.37	584.87	774.7	0.0	0.63	0.0	0.38	0.0	0.0	569.67	453.17	285.81	37.72	7.2	256.29	737.8	129.46	177.75	695.51	359.59	84.82	489.43	584.27	376.99	164.44	415.13	296.14	383.49	449.93	110.82	483.94	262.76	290.42	252.22	1.63	0.0	633.12	1.48	0.72	0.0	352.21	312.67	231.09	144.2
Esd	0.0	0.5	0.0	0.0	57.24	0.0	0.85	0.0	455.93	0.17	226.55	0.79	503.95	97.76	0.27	0.0	3.3	510.47	29.55	223.06	271.5	158.49	150.69	127.25	403.29	183.68	130.32	0.0	239.8	306.68	199.4	101.93	262.13	442.57	357.59	45.79	96.1	3.74	289.78	0.64	0.17	456.76	0.0	159.49	34.87	160.02	142.15
Fabp3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	530.64	0.0	890.17	367.93	64.14	0.0	8.84	851.23	907.5	732.58	518.72	1585.99	1512.78	1403.86	1875.38	588.48	689.83	1239.67	477.33	642.63	795.6	363.07	1845.77	950.7	1046.71	2292.09	657.1	62.09	0.0	0.86	18.38	0.88	0.0	128.61	368.84	339.23	192.46
Fam103a1	723.08	0.0	0.0	764.07	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.34	126.46	523.83	80.17	0.0	3.01	184.57	313.04	259.07	697.63	388.33	304.61	518.07	479.42	420.53	430.68	126.37	268.03	483.51	166.39	54.7	628.88	741.5	49.31	300.04	419.11	4.27	0.0	0.37	171.06	402.24	0.0	262.43	205.19	354.2	96.04
Fgf12	0.0	0.0	0.0	0.14	0.0	0.13	0.0	0.0	0.0	0.0	18.46	0.31	116.25	88.6	0.35	0.0	2.4	375.02	627.7	419.07	108.65	326.95	482.03	278.6	570.9	507.51	206.71	324.96	135.64	204.28	156.73	335.23	275.73	155.7	474.47	638.8	280.29	1.85	0.0	0.17	37.47	0.0	0.0	79.09	103.98	140.79	151.63
Gabarapl2	0.0	882.12	0.5	243.48	0.0	0.43	0.0	96.94	714.53	0.0	973.08	0.17	1196.27	244.57	314.66	0.0	5.58	1391.5	1093.54	630.31	668.95	208.65	1549.97	1741.08	828.37	1072.9	710.7	1221.33	822.7	628.24	833.66	510.93	1411.38	850.89	1212.19	1036.1	1348.39	1308.13	1524.96	4.08	11.79	412.24	609.72	411.39	413.53	863.74	565.24
Gabra1	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.07	69.01	0.04	206.44	243.92	65.71	0.21	4.53	830.95	674.52	347.11	893.02	703.71	797.36	729.59	499.14	375.85	165.49	959.22	373.26	556.68	491.33	441.39	498.48	169.04	484.2	667.24	466.73	1.43	0.14	0.63	55.09	0.0	0.0	206.01	175.54	245.2	149.57
Gabrg2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.12	105.28	0.04	561.75	185.44	1.79	0.0	9.04	396.68	249.07	226.5	647.46	421.7	805.18	750.51	375.25	590.04	264.86	631.53	420.61	719.39	1022.24	214.17	216.66	147.84	455.79	470.36	292.51	3.22	0.0	0.51	113.26	0.0	0.0	394.56	326.05	216.31	160.3
Gng13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.43	0.0	47.57	46.96	124.08	0.0	0.0	0.0	87.27	0.0	44.01	0.0	121.72	133.41	75.38	35.36	9.13	0.0	35.06	83.16	55.46	114.71	31.84	2.34	45.04	154.31	113.8	0.0	0.0	0.0	0.74	0.0	0.0	24.3	57.73	112.36	147.34
Gng3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.0	0.0	925.61	0.38	430.45	456.21	153.24	0.0	9.4	675.95	534.1	278.53	402.7	508.31	1707.41	865.0	740.17	642.7	571.23	609.1	585.82	829.86	635.17	570.62	146.64	1167.29	921.67	829.88	771.13	2.66	0.36	1.99	256.99	0.0	0.0	397.06	405.82	385.92	433.67
Gtf2h5	0.0	947.11	42.2	0.0	0.0	0.0	0.0	11.36	0.79	0.73	223.23	0.69	212.01	216.84	48.68	0.0	6.41	181.08	135.84	284.72	140.56	246.11	141.12	288.51	243.11	51.7	306.9	42.19	218.36	236.88	80.59	116.49	170.25	367.31	231.1	444.52	162.55	6.29	0.53	901.12	170.57	0.0	0.0	57.81	34.92	250.73	188.7
H2afz	760.92	0.0	1183.48	0.0	614.13	39.89	752.35	0.0	490.06	1114.92	905.21	582.8	797.75	615.04	206.14	49.35	8.01	1505.71	1051.14	1400.85	1008.2	1151.07	1889.09	1488.21	1095.1	789.76	944.59	1330.55	815.72	1428.51	945.7	603.95	403.92	1237.9	1467.05	1359.78	722.0	1185.88	678.46	465.42	224.51	0.0	0.0	375.41	370.44	723.79	543.54
Hprt	0.0	0.0	0.0	0.0	627.07	0.0	0.0	1.4	0.0	0.0	467.06	771.4	635.59	966.46	0.0	1.35	10.36	1338.67	631.06	1096.33	880.7	996.74	232.03	1484.06	681.18	1124.24	853.61	831.62	784.08	820.55	662.89	416.72	892.89	668.18	1920.71	415.62	1042.95	9.94	0.0	2.14	200.6	0.0	1309.49	139.46	458.56	505.41	464.38
Hsp90aa1	43.73	0.14	1311.49	0.0	174.1	4.57	0.0	1.13	0.11	0.1	421.35	351.41	828.17	541.59	70.12	0.31	22.1	1137.38	1235.93	447.14	911.83	861.29	1536.8	2700.12	1049.01	1113.59	717.7	1252.74	1038.72	969.53	918.78	891.95	1011.8	813.81	1496.66	664.55	1157.74	223.98	0.0	21.96	731.64	1271.95	115.81	550.34	611.6	405.53	751.75
Lsm7	53.47	0.0	151.44	0.0	0.0	0.0	131.11	0.0	0.0	0.0	297.34	0.0	388.32	149.78	232.99	0.0	0.0	205.1	158.98	46.54	208.19	269.03	491.4	322.52	162.44	351.55	184.67	250.43	222.62	203.28	223.09	144.59	276.05	158.82	383.4	686.38	270.18	0.0	0.0	1.22	1297.12	343.79	0.0	150.14	88.71	42.61	371.08
Mcts1	0.0	500.73	168.83	18.73	0.0	0.0	0.0	0.0	0.0	0.0	164.51	0.0	0.59	106.59	17.59	0.0	0.0	326.34	108.24	164.07	29.57	0.0	186.82	660.03	222.48	84.83	219.47	348.77	166.44	186.38	263.61	125.08	174.98	233.4	357.41	191.24	360.19	0.0	0.0	42.57	378.24	0.63	557.58	177.39	270.15	229.74	197.29
Mea1	0.0	0.0	0.0	477.86	23.52	0.0	0.0	1.16	775.88	0.0	250.54	0.59	217.7	93.67	110.76	0.0	263.03	357.93	258.14	234.93	206.3	118.39	607.67	491.62	596.76	423.35	282.43	208.13	169.77	203.32	269.38	138.9	8.81	226.82	315.7	338.26	380.41	114.66	1360.98	3.2	45.45	111.13	0.0	279.78	138.82	16.21	180.16
Mgst3	0.0	0.67	495.11	0.0	0.0	0.0	0.0	0.78	0.0	616.71	122.84	625.22	151.74	732.53	167.91	637.14	5.35	2619.92	1010.22	1358.37	1127.93	1323.11	2082.26	1612.31	862.81	890.96	471.69	716.98	755.43	1440.35	593.7	876.94	1437.7	1136.47	1806.59	391.69	972.81	20.21	0.0	1.74	136.25	0.0	0.0	376.94	374.28	588.21	376.52
Mif	535.26	0.0	406.28	323.88	0.0	355.15	1.34	0.0	588.31	1181.03	986.89	438.72	1197.79	548.13	639.0	733.38	1429.79	1378.65	1828.98	1333.54	1253.85	2071.74	3140.3	1152.98	2003.68	1396.71	916.69	2252.06	870.75	1347.53	931.38	1420.76	1459.8	2383.9	2188.16	2018.28	1581.76	7.05	0.0	236.3	147.3	1394.36	14.05	425.92	445.31	664.94	754.46
Mkks	0.0	0.0	26.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.25	0.0	27.29	10.39	39.5	0.0	1.06	133.8	228.67	23.43	24.12	75.97	22.11	159.18	54.13	138.84	10.71	60.62	31.29	30.72	46.01	98.51	41.13	24.39	56.07	93.05	23.11	11.26	0.0	0.0	38.85	0.0	90.73	100.02	9.07	45.29	0.05
Mrpl13	0.0	0.0	260.35	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	3.32	0.0	3.46	0.0	0.0	309.51	567.48	116.47	355.12	306.38	140.57	120.27	22.01	0.0	239.81	239.0	155.63	73.43	89.04	98.08	221.66	10.14	9.31	279.81	130.56	27.24	0.0	0.69	295.81	354.4	0.0	61.22	56.65	7.2	0.0
Mrpl20	495.96	1589.48	0.0	658.79	0.0	433.3	1064.39	0.0	686.89	125.4	231.72	0.25	111.57	595.85	439.88	0.0	1.7	928.62	373.49	346.33	369.55	666.53	822.79	670.3	688.72	538.91	324.25	413.31	471.18	461.72	550.45	330.31	557.2	465.45	426.81	247.26	293.13	241.66	0.0	3.3	1.31	0.0	0.0	72.8	166.16	146.52	532.13
Mrps18a	0.0	981.13	0.0	424.01	0.0	0.0	0.0	0.0	217.33	650.04	457.55	0.0	12.6	83.05	94.01	1.08	47.24	392.68	58.46	130.19	285.36	294.34	473.83	100.88	289.93	473.04	120.76	328.44	235.19	96.29	602.16	187.67	2.49	652.22	229.09	213.92	59.3	2.89	0.0	518.21	590.57	0.0	633.94	44.56	172.47	55.1	200.64
Mrps18c	0.0	0.0	0.0	0.0	539.07	0.0	931.76	0.0	42.81	0.0	32.91	0.0	46.86	130.8	0.0	0.0	2.32	118.91	6.91	132.9	298.12	234.44	295.94	298.17	170.96	156.84	44.03	33.21	292.87	834.81	303.57	119.1	474.4	332.54	141.77	8.89	258.2	0.0	1357.33	521.69	20.79	0.0	0.0	152.84	33.24	96.78	0.31
Myeov2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	822.38	0.0	0.0	287.55	53.49	361.36	483.37	457.58	0.0	2.71	727.69	635.48	550.65	362.18	453.84	1425.67	839.65	234.98	700.04	189.39	725.56	430.02	722.62	526.14	400.39	1002.2	791.31	562.98	906.24	737.58	294.96	7.66	0.0	460.31	300.79	567.09	360.36	325.88	154.04	617.23
Ndufa7	565.9	1139.85	135.6	0.0	0.0	318.66	286.42	0.0	598.78	537.12	1125.07	0.0	730.38	974.64	471.19	4.11	7.28	679.85	787.31	551.69	826.45	822.45	1565.44	1369.41	541.88	755.07	615.79	605.49	422.43	946.37	691.31	634.93	1601.22	648.49	412.77	926.94	1532.47	2.75	1126.38	475.4	74.95	357.77	0.0	303.34	523.69	276.11	503.76
Ndufb4	1267.13	0.0	0.0	978.56	0.0	0.0	0.0	0.0	930.83	0.0	607.09	428.12	617.11	583.44	421.01	0.0	10.4	1094.72	640.06	567.5	1011.65	485.15	1792.74	1663.77	1372.65	737.6	646.2	773.87	797.96	878.29	851.24	412.64	1477.79	972.7	1667.34	896.3	835.55	2.94	0.0	379.99	73.26	789.04	431.49	249.4	612.15	654.53	1005.25
Ndufs4	236.17	0.0	0.31	569.04	0.0	252.12	0.45	154.61	0.4	0.0	83.66	0.0	47.83	54.65	0.0	0.0	2.79	420.46	231.26	111.06	370.22	195.58	284.32	454.11	89.38	162.29	200.53	353.42	164.97	250.22	241.48	177.92	417.02	526.81	367.76	437.92	525.47	1.58	0.0	184.99	48.59	0.69	0.0	99.51	61.13	15.48	103.83
Ndufs5	0.0	0.0	239.6	87.56	0.0	430.23	0.0	0.0	0.0	0.0	0.0	0.0	58.3	158.36	83.16	104.33	0.0	355.57	228.01	282.6	337.98	570.57	758.48	446.51	476.35	282.58	202.28	316.87	103.47	373.1	374.64	304.53	178.28	464.63	374.77	429.42	314.79	0.0	0.0	0.0	0.0	119.05	0.0	132.76	97.68	92.48	404.13
Ndufs6	0.0	0.0	1029.45	0.0	0.0	0.0	0.0	0.0	0.0	647.06	150.54	507.97	498.13	485.96	507.07	19.43	11.49	1061.18	498.91	278.86	581.1	867.31	1102.26	768.59	1099.99	728.64	524.09	907.59	571.96	390.93	582.45	760.96	523.46	1817.48	614.11	535.0	1139.67	7.81	0.0	1.68	55.89	366.07	0.0	106.04	148.99	594.33	397.8
Nedd8	0.0	0.71	0.0	404.51	23.22	0.0	0.0	790.67	0.54	0.5	258.46	0.0	202.75	551.81	90.58	172.75	7.57	842.88	396.73	1221.7	485.46	1097.06	1774.03	1548.39	805.34	574.77	342.84	615.92	460.77	653.2	395.62	582.18	990.13	1219.16	697.53	611.59	1037.23	2.14	0.0	1.38	185.7	0.0	0.0	423.7	237.11	375.64	414.38
Nfu1	0.0	0.0	0.0	0.0	0.0	0.45	0.0	0.0	617.97	76.81	402.53	0.0	119.01	0.0	0.0	0.0	1.15	149.05	110.62	139.5	4.5	313.8	176.59	510.74	145.75	0.0	238.07	115.63	289.65	520.55	255.97	182.02	138.69	586.31	134.06	392.03	97.79	0.0	0.0	1.12	0.0	309.96	0.0	91.16	177.03	166.55	230.98
Nkiras1	5.7	6.51	3.36	2.66	1.46	0.36	20.63	73.83	2.7	2.13	30.93	1.3	8.37	79.14	19.61	4.36	40.84	255.19	26.79	156.15	140.36	65.51	37.87	114.63	76.37	30.67	54.53	60.73	89.73	79.57	105.67	47.6	190.01	79.12	25.88	90.07	26.09	160.22	5.11	4.79	7.51	0.59	0.91	70.33	49.09	34.3	57.32
Npm1	715.79	957.81	1173.79	0.0	22.37	0.0	209.16	169.39	0.24	842.17	514.61	10.81	403.58	188.6	316.16	713.47	6.99	991.74	408.96	780.25	590.39	663.4	690.47	991.28	759.96	897.13	406.23	721.83	475.45	473.74	397.88	552.77	1019.61	962.2	18.39	1252.03	1329.12	827.79	117.28	222.66	705.14	0.0	335.49	668.14	405.86	173.99	539.02
Park7	577.93	1176.31	976.29	410.66	307.48	396.58	0.0	1.07	655.94	1.29	503.79	508.35	650.19	618.61	406.37	0.0	523.6	1339.95	16.54	997.13	767.71	496.92	536.0	531.13	707.28	701.74	386.38	471.2	699.51	188.6	791.0	795.39	1025.09	1211.71	135.47	567.92	655.31	77.61	0.0	488.02	0.0	1150.35	1.18	463.8	296.93	211.88	562.34
Polr1d	1.39	0.0	0.0	0.0	154.14	0.0	0.0	0.0	0.0	0.0	0.0	503.79	161.57	0.0	7.2	0.0	3.21	78.75	215.62	0.0	278.47	358.31	164.97	209.72	3.22	345.88	234.5	172.78	137.0	113.52	206.54	87.42	2.78	384.44	250.29	212.8	151.41	13.45	0.0	82.41	1.65	0.0	0.0	49.61	50.56	269.9	61.84
Polr2g	0.0	0.0	0.0	0.0	0.0	111.67	0.0	0.56	0.0	0.0	133.46	0.0	367.2	336.21	184.48	0.0	1334.78	369.97	80.56	449.26	207.5	192.94	168.32	154.27	288.49	283.81	320.71	302.73	380.3	93.26	92.02	217.46	294.6	402.24	290.58	411.7	591.77	1.44	1217.62	476.32	536.14	0.0	0.0	234.52	85.37	116.09	197.57
Pomp	0.0	1367.83	1133.0	1079.61	10.68	369.61	0.0	0.0	215.21	0.0	306.9	1622.22	118.06	271.78	437.27	0.0	7.61	769.97	101.85	0.0	309.9	1243.27	319.9	1010.87	621.6	638.11	371.8	385.52	532.73	673.4	417.9	590.37	1197.4	909.87	495.63	1013.01	600.08	1.73	0.0	452.72	566.99	0.0	702.12	292.73	249.02	350.11	550.74
Ppp1r11	0.0	0.0	0.28	457.0	158.02	0.0	0.0	0.56	0.18	0.33	174.46	0.0	189.99	238.31	2.84	0.0	1.9	213.21	181.59	255.78	74.94	306.72	122.47	178.13	127.99	212.04	80.84	128.27	201.0	44.29	191.83	119.64	379.26	117.37	238.75	342.28	94.18	5.77	0.0	0.15	119.93	0.0	88.23	138.54	136.74	171.53	167.37
