	Calb2_tdTpositive_cell_16	Calb2_tdTpositive_cell_53	Calb2_tdTpositive_cell_61	Calb2_tdTpositive_cell_64	Chat_tdTpositive_cell_1	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_10	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_16	Gad2_tdTpositive_cell_31	Gad2_tdTpositive_cell_44	Gad2_tdTpositive_cell_77	Htr3a_tdTpositive_cell_71	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_1	Nos1_tdTpositive_cell_66	Ntsr1_tdTnegative_cell_2	Ntsr1_tdTnegative_cell_3	Ntsr1_tdTnegative_cell_5	Ntsr1_tdTnegative_cell_13	Ntsr1_tdTnegative_cell_16	Ntsr1_tdTnegative_cell_19	Ntsr1_tdTnegative_cell_22	Ntsr1_tdTnegative_cell_23	Ntsr1_tdTnegative_cell_24	Ntsr1_tdTnegative_cell_32	Ntsr1_tdTnegative_cell_38	Ntsr1_tdTnegative_cell_41	Ntsr1_tdTnegative_cell_42	Ntsr1_tdTnegative_cell_44	Pvalb_tdTpositive_cell_81	Rbp4_tdTnegative_cell_1	Rbp4_tdTnegative_cell_7	Rbp4_tdTnegative_cell_11	Rbp4_tdTnegative_cell_12	Rbp4_tdTnegative_cell_15	Rbp4_tdTnegative_cell_18	Rbp4_tdTnegative_cell_19	Scnn1a.Tg2_tdTnegative_cell_3	Scnn1a.Tg2_tdTnegative_cell_13	Scnn1a.Tg2_tdTnegative_cell_14	Scnn1a.Tg2_tdTnegative_cell_17	Scnn1a.Tg3_tdTnegative_cell_1	Scnn1a.Tg3_tdTnegative_cell_3	Scnn1a.Tg3_tdTnegative_cell_7	Scnn1a.Tg3_tdTnegative_cell_10	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_14	Scnn1a.Tg3_tdTnegative_cell_15	Scnn1a.Tg3_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_21	Scnn1a.Tg3_tdTnegative_cell_22	Scnn1a.Tg3_tdTnegative_cell_23	Sst_tdTpositive_cell_19
Dbndd2	0.04	0.0	0.0	0.0	63.63	0.0	0.0	0.0	0.0	352.69	650.85	318.51	0.0	0.0	0.0	43.8	0.04	477.43	1478.33	1349.08	2327.5	1245.39	2321.87	1666.5	2446.91	1530.27	1552.85	0.0	1182.94	385.74	1017.33	1080.62	990.0	1129.25	493.32	1516.87	1048.67	1686.71	0.0	712.66	615.42	0.7	1280.96	1051.57	1211.55	528.29	1537.85	2394.04	1607.83	1921.59	1497.18	1960.05	0.17	1503.6	1977.17	898.73
Dusp26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	127.57	16.33	0.0	0.0	0.0	0.0	0.0	333.87	0.0	6.98	313.62	206.01	74.88	368.09	0.0	122.25	6.74	0.0	410.69	214.74	0.22	0.22	0.0	235.46	5.91	0.0	0.0	0.0	0.0	0.0	277.55	0.24	0.0	0.0	1051.56	429.11	337.14	1058.81	339.2	376.5	488.1	1574.94	0.0	465.68	0.0	0.18
Epb4.1l3	1.76	0.0	0.49	1.83	62.93	0.0	0.0	0.0	0.0	190.38	791.24	0.0	227.99	0.0	0.0	0.0	0.04	0.0	504.15	1051.91	1071.95	1039.66	930.5	440.59	2008.12	805.97	889.26	229.16	82.92	3.7	964.6	1697.31	1577.79	582.85	0.09	758.32	369.92	1146.71	0.0	656.48	130.96	0.21	644.51	1156.18	605.3	0.23	1239.16	1513.48	1563.47	1518.5	272.79	1059.68	0.0	12.78	1158.36	867.77
Ermn	1.69	0.0	0.0	0.52	0.0	0.28	0.0	0.0	3.02	638.84	2215.27	18.07	0.38	2.41	0.0	0.31	0.2	0.73	2132.59	1971.26	1082.05	2195.11	1895.14	1532.06	1204.79	907.0	1329.69	7.15	1542.82	1.63	979.0	1194.49	1949.42	1751.26	1.98	800.6	1954.64	1421.91	1.22	835.9	0.61	0.4	1158.93	833.55	1209.68	0.83	1619.07	1923.71	1998.04	1074.02	1582.01	617.25	0.35	2240.34	1833.82	920.19
Fah	0.09	0.0	0.0	0.0	0.0	0.0	0.0	161.73	0.0	0.0	6.92	173.6	343.23	0.22	0.0	0.0	0.1	224.87	499.86	0.0	0.0	29.23	977.08	276.27	380.32	0.39	190.45	0.0	0.0	0.21	0.0	473.46	2.5	0.15	0.47	0.0	554.62	0.0	0.0	0.55	0.0	0.27	146.81	615.85	591.18	0.0	434.79	4.01	294.51	482.46	517.47	0.0	0.0	0.46	131.43	345.28
Fbxo7	0.0	0.0	386.69	0.0	0.0	0.0	0.0	0.0	0.0	89.69	0.0	128.12	0.0	0.0	0.0	0.0	0.0	329.73	837.64	107.23	638.44	513.19	678.18	187.49	388.29	0.0	0.0	0.0	158.24	5.74	914.07	0.0	613.06	294.09	0.0	1.72	0.46	818.6	0.0	0.0	335.84	186.76	878.08	0.0	0.0	0.0	1726.85	0.0	0.51	491.67	0.0	0.0	0.0	0.0	1578.16	152.6
Folh1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.45	344.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	256.73	0.0	249.72	0.0	0.0	183.36	0.0	440.52	0.11	265.49	16.52	0.32	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	4.8	156.71	0.0	324.64	478.89	15.81	482.17	0.0	396.53	0.0	0.12	579.02	0.0
Gatad1	0.06	149.13	54.91	65.98	51.13	386.09	0.0	11.18	200.36	194.44	130.41	127.83	127.13	0.0	0.0	106.27	172.34	211.24	365.33	308.08	673.37	249.23	155.53	299.86	192.87	56.39	412.21	64.5	69.63	123.46	634.31	623.19	103.66	187.41	152.66	91.17	0.34	0.0	0.41	0.85	83.22	0.17	124.25	0.0	209.5	0.35	0.0	96.44	218.94	117.2	123.3	0.0	0.0	118.88	116.92	264.4
Gm10471	0.0	0.0	0.0	0.0	1.01	0.0	0.0	0.0	0.0	3.81	20.45	0.0	0.0	0.1	0.0	0.0	0.0	0.0	38.67	14.13	7.1	64.19	42.89	22.14	8.74	1.59	15.73	0.0	39.51	0.0	1.3	108.5	50.18	68.68	0.0	12.14	4.84	44.39	0.0	1.93	0.0	0.13	292.04	66.99	13.03	0.0	35.93	87.66	64.56	27.2	107.58	49.79	0.0	2.34	63.92	13.6
Gm410	0.72	0.0	0.38	0.0	1.62	5.49	0.04	0.0	0.0	0.75	1.08	0.24	0.23	0.0	0.0	0.51	1.79	0.0	443.31	0.0	1.84	0.25	191.33	0.0	0.0	0.64	0.0	0.0	0.32	0.52	0.0	342.07	220.29	68.4	1.43	0.21	0.0	2.14	1.21	50.69	0.09	5.75	181.99	0.39	55.33	0.0	143.68	0.0	2.2	266.51	75.03	413.43	0.0	0.0	447.68	0.0
Hmox2	321.6	0.39	260.74	250.63	293.2	0.27	7.79	0.0	0.0	550.61	1047.46	347.43	0.35	0.0	0.0	0.0	0.0	243.92	471.75	0.0	323.26	938.59	885.2	575.97	2198.0	30.15	574.16	0.0	538.92	0.28	1715.96	466.39	313.19	388.82	299.5	22.07	483.17	751.84	0.0	256.79	439.63	1.4	1677.35	638.92	567.59	1.58	1330.73	492.4	317.28	810.69	524.77	914.16	0.0	543.19	730.61	1316.05
Kcna1	0.02	0.0	0.0	65.13	0.0	0.0	0.0	0.0	0.0	165.03	500.98	0.05	0.05	0.0	0.0	0.0	0.0	79.58	127.99	142.52	177.37	154.49	268.78	204.91	112.05	0.07	194.78	0.0	251.88	0.07	372.36	264.58	0.03	0.05	80.46	125.79	212.6	82.57	0.0	34.3	0.05	0.0	59.65	84.1	266.51	122.48	128.18	55.8	85.45	236.35	92.23	144.72	0.0	177.16	147.25	146.33
Lass2	0.0	0.0	0.0	0.0	1.84	0.0	0.0	0.0	0.0	537.58	2119.03	549.72	0.0	0.0	0.0	323.4	0.16	699.52	2361.42	2006.17	1249.96	1642.63	1921.08	155.73	658.75	2327.03	1693.59	0.0	1259.05	1357.65	0.0	2981.33	1827.77	1168.76	595.37	1242.6	766.5	409.68	0.33	830.66	0.24	0.23	1303.75	9.44	666.88	351.88	1991.62	1419.06	1860.28	2426.14	509.68	1944.71	616.51	1580.98	2797.31	3163.95
Mapt	36.85	0.0	17.77	171.4	14.43	0.06	0.0	0.0	0.0	230.59	69.54	64.79	0.24	0.0	0.0	0.0	0.0	94.77	207.08	212.67	261.89	104.84	168.83	651.83	181.19	320.54	199.17	19.67	313.91	207.02	584.89	151.44	215.89	163.58	317.55	15.99	316.06	293.83	0.0	97.8	335.17	0.32	173.4	26.55	346.91	227.44	109.22	391.22	86.34	177.52	186.12	108.62	0.0	19.65	330.27	79.61
Mog	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1756.63	4946.3	0.0	0.0	0.0	0.0	0.56	0.09	427.19	3313.7	3247.23	3018.59	1373.76	3713.22	1216.25	5312.4	3361.85	3412.21	0.37	1038.44	492.81	1247.05	2233.67	3856.94	1115.16	1080.69	5020.21	5148.48	2100.63	0.0	1355.51	0.0	0.25	1485.42	2439.21	3266.91	0.0	2327.3	1499.28	2598.08	5013.61	1891.09	2437.12	0.0	3289.03	3285.28	4091.11
Nkain1	0.0	0.0	0.0	0.0	21.42	0.0	0.0	0.0	0.0	16.35	0.06	0.17	0.0	0.0	0.0	0.18	0.0	0.0	6.19	244.85	0.0	0.0	47.01	296.74	0.0	11.82	47.78	0.0	105.94	0.0	0.0	125.96	2.05	5.12	5.69	23.88	67.29	67.0	0.0	3.89	0.0	0.0	0.0	12.16	295.33	0.0	0.0	0.0	142.99	308.65	13.06	0.16	0.0	0.28	0.0	0.99
Nmral1	0.0	0.0	6.52	0.0	0.0	0.0	0.0	0.0	0.0	292.59	710.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1440.9	676.93	990.77	548.09	1.48	407.35	861.5	336.18	784.49	0.0	406.9	0.0	542.51	565.71	0.42	0.21	0.0	214.5	1296.12	698.25	0.0	68.95	0.0	0.75	1516.57	547.07	537.87	343.65	400.53	663.99	214.97	711.01	835.44	0.0	0.0	0.0	876.96	0.0
Pigh	0.11	18.42	51.56	0.0	0.26	0.0	0.19	0.0	0.5	152.33	104.89	0.12	0.5	0.83	0.0	0.24	0.0	0.0	173.67	8.31	257.84	26.81	179.39	25.52	203.55	258.73	23.05	1.07	116.52	0.78	148.83	218.52	14.84	226.31	0.0	157.47	161.7	52.28	0.57	56.84	0.13	0.21	189.73	137.1	34.76	1.63	218.18	401.95	33.69	0.0	226.88	54.58	0.0	525.49	280.43	110.21
Plekhh1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.61	39.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.58	170.35	0.0	116.66	3.6	0.12	0.0	11.73	30.99	0.0	0.72	0.0	0.04	14.32	170.31	2.56	0.0	2.46	1.55	0.3	0.0	50.15	0.0	0.0	0.21	1.46	202.55	0.0	26.22	0.0	146.29	154.85	58.09	1.11	0.0	4.54	108.5	131.81
Plp1	0.12	0.0	1.35	1.53	0.75	0.0	0.0	0.14	1.4	13306.75	38762.16	30344.93	0.27	2.09	0.0	5.55	8.08	28469.21	20966.2	37183.63	39260.88	37184.31	36423.02	20586.09	39094.25	29191.29	44134.5	7.42	30053.88	24525.06	25576.26	27253.74	22913.02	24374.43	22023.41	33133.41	22827.52	21591.95	0.26	11252.77	14483.97	340.34	19852.08	25943.45	20206.34	18417.2	22475.59	20541.07	22914.89	25719.92	19773.88	18879.57	3.12	22995.41	20573.08	36841.4
Pls1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	180.49	232.82	326.26	0.0	0.13	567.87	28.68	314.06	0.0	178.22	0.0	0.0	661.57	82.92	272.73	0.1	134.25	581.28	169.08	0.0	102.07	0.13	0.11	989.54	440.96	563.58	0.0	195.55	1064.89	423.69	595.46	395.99	1147.79	0.0	854.14	338.22	0.0
Polr3e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	332.59	173.23	0.0	0.0	0.0	0.0	0.0	0.0	185.32	0.0	130.97	0.0	224.7	154.1	0.0	0.0	221.49	39.25	0.0	54.49	0.0	236.17	3.04	0.34	1.76	3.59	48.12	1.03	143.34	0.0	78.69	0.11	0.0	505.61	0.32	0.0	0.0	332.46	0.17	191.0	216.04	568.19	71.58	0.15	0.09	1.34	113.51
Prkcz	110.76	0.0	0.0	32.57	0.0	0.0	0.0	0.0	0.0	209.95	126.45	75.91	0.0	0.0	0.0	0.11	6.27	115.04	0.0	0.0	206.91	123.63	0.0	235.67	22.92	173.25	78.57	0.0	0.07	113.66	362.91	278.3	81.12	156.89	0.0	0.0	0.0	170.14	0.0	0.1	165.07	0.2	0.14	0.0	414.36	134.57	0.99	226.29	251.38	666.52	242.89	0.0	0.0	238.55	232.05	261.32
Prr5l	1.65	0.92	0.16	1.1	0.97	1.51	0.0	0.0	5.07	68.89	143.04	0.49	0.36	1.63	0.0	1.26	0.57	5.15	42.63	192.58	390.26	72.28	3.75	191.69	276.73	8.59	41.44	0.48	0.09	0.98	0.11	1.06	1.29	0.16	1.74	59.65	0.0	0.0	3.27	202.86	1.12	1.46	406.3	53.04	6.92	3.02	215.83	2.4	319.2	139.63	29.21	0.13	5.88	0.0	263.65	0.83
Prrg1	0.0	0.0	0.0	91.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	132.41	0.0	0.0	79.48	199.41	0.0	116.67	228.24	0.0	0.0	0.07	0.0	0.0	379.0	602.88	0.24	0.19	309.08	0.33	0.0	0.0	0.0	0.0	0.11	163.52	611.25	376.36	0.0	0.0	332.83	415.84	402.97	292.26	904.52	0.0	0.0	1025.64	0.0
Qdpr	526.07	0.0	0.0	0.0	208.55	0.24	0.0	0.0	0.0	527.51	3114.5	1066.31	30.52	0.0	0.0	183.29	0.12	632.73	5014.82	3494.84	3274.81	2427.61	2617.23	2172.34	2050.5	4562.8	2212.0	0.0	4082.14	524.55	2070.91	5378.58	2531.89	4675.96	1.33	5654.88	4486.92	1589.47	0.0	737.65	330.34	1526.63	2355.85	3950.68	7207.93	150.27	3432.62	3858.26	5152.88	6288.71	2048.48	4558.98	1.36	5850.71	3679.36	1583.87
S1pr5	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.0	14.84	4.21	8.95	0.0	0.0	0.0	0.0	0.0	5.22	175.38	0.46	0.77	13.0	0.0	102.61	7.01	44.75	50.22	0.0	0.12	0.14	0.0	321.65	38.06	0.0	0.0	17.02	25.74	0.0	0.77	0.32	0.0	0.05	0.0	0.0	10.64	0.0	140.69	0.0	21.25	0.0	209.97	55.29	0.0	0.0	49.58	95.19
Sccpdh	0.15	72.09	508.65	87.76	292.15	0.0	0.0	0.0	0.0	184.03	39.41	90.76	0.0	0.0	0.0	0.0	0.0	4.1	889.3	332.36	0.0	2.24	540.97	356.72	823.03	0.0	262.73	851.71	729.25	421.19	0.0	607.66	275.1	2.49	0.0	54.66	0.23	2.89	0.0	571.51	279.78	284.48	0.15	568.78	0.0	0.0	580.98	598.85	1.25	1149.49	0.0	304.93	0.32	685.72	191.48	472.61
Secisbp2l	0.0	0.0	1.84	27.47	17.81	0.05	0.0	0.0	0.0	29.46	104.55	185.9	0.0	0.0	0.0	0.07	0.02	333.62	0.07	161.17	91.91	258.59	103.59	58.75	150.87	209.0	131.94	0.0	68.15	109.64	60.55	92.98	324.4	88.62	81.72	115.67	122.34	76.98	0.0	152.66	17.48	0.12	14.23	107.67	20.69	0.83	31.81	6.36	70.23	82.95	74.09	72.9	0.09	144.5	145.69	97.84
Slain1	0.0	0.0	0.0	14.16	0.0	0.0	0.0	0.0	0.0	0.0	282.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	378.13	316.92	192.85	194.52	206.76	0.0	1.91	0.0	18.29	0.0	148.07	10.64	0.0	75.04	111.3	294.92	0.13	219.9	31.98	0.0	0.0	99.03	108.93	0.15	803.98	0.0	0.0	0.0	156.81	0.0	179.38	188.32	104.17	35.88	0.0	0.0	136.55	116.19
Slc48a1	158.92	297.77	0.0	0.0	0.0	0.0	0.0	24.63	0.96	179.39	949.31	0.17	0.0	0.0	0.0	0.0	0.0	66.02	437.61	504.63	293.04	367.91	747.83	658.61	1.84	0.0	525.73	0.25	967.74	0.0	26.42	662.73	80.02	0.66	0.0	341.82	475.28	335.33	0.0	296.38	0.19	0.84	731.95	0.0	772.5	0.0	342.97	349.95	1775.45	2.6	350.14	501.59	0.0	0.28	389.73	614.83
Speer4a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.74	3.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.27	0.0	1.27	130.32	29.52	9.81	0.0	1.18	0.0	7.71	0.0	0.0	83.88	86.95	14.62	0.0	111.75	0.0	0.0	0.0	17.74	0.0	0.0	22.2	0.0	0.0	0.0	25.13	0.0	0.0	0.8	25.74	3.57	0.0	0.0	0.57	0.66
Tex2	1.91	0.0	0.0	68.17	0.0	0.0	127.06	0.0	0.0	127.35	86.14	0.0	0.93	0.0	0.0	151.62	0.03	0.13	0.0	6.21	285.34	0.0	0.0	219.37	75.0	0.0	110.75	0.0	0.06	0.0	446.66	85.59	187.64	59.18	34.85	62.51	33.52	153.88	0.0	0.17	0.09	284.92	132.18	316.57	234.02	0.0	54.19	79.11	160.37	191.35	11.28	0.0	266.78	164.82	0.0	66.65
Tmem125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	290.31	302.45	183.69	0.0	0.28	0.3	318.68	0.0	0.0	547.5	0.0	0.15	0.0	0.0	0.0	1.03	0.0	0.0	3.09	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	812.79	0.0	5.27	0.0	142.09	476.5	0.0	0.0	0.0	203.61	355.54	152.75
Tmem63a	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.0	0.0	144.48	125.86	162.64	0.0	0.0	0.0	158.78	0.0	343.99	144.12	232.43	794.32	574.03	290.85	1298.06	683.49	0.19	731.32	0.19	521.79	479.51	339.78	101.26	0.0	148.19	0.0	0.38	1180.4	27.94	0.0	700.08	0.0	0.13	1053.26	326.43	0.0	0.0	936.37	3.63	1093.04	5.51	142.77	823.35	0.38	128.58	0.25	104.26
Tmem98	0.0	0.0	0.0	0.0	0.0	0.48	135.22	0.0	0.0	104.21	345.28	0.0	0.0	0.0	0.0	0.0	0.0	296.99	840.39	619.97	614.31	233.84	789.23	404.91	535.42	563.94	1299.86	0.0	398.48	411.69	0.0	617.03	297.58	268.32	608.41	562.35	0.63	789.45	0.0	0.0	0.0	0.0	7.54	523.36	223.54	0.7	961.5	356.8	1019.33	854.95	1307.92	1248.23	0.0	0.0	860.58	847.12
Tppp	112.93	0.0	0.0	13.57	15.44	0.0	0.0	0.0	0.0	242.5	686.2	593.12	0.0	0.0	0.0	0.09	0.12	1429.06	67.46	182.47	419.52	264.64	38.59	171.1	411.99	193.4	154.11	330.79	466.76	1699.2	284.73	604.62	944.88	632.79	1301.79	241.48	615.36	157.65	0.0	16.82	0.09	0.25	233.91	3.55	93.77	17.96	0.0	126.82	186.36	239.03	841.71	704.61	0.12	430.04	323.75	685.68
Tspan2	0.0	0.0	0.0	0.0	0.0	0.0	38.17	0.0	0.0	980.79	1519.88	1555.18	339.43	0.0	0.0	40.4	0.04	332.99	584.95	1671.95	1465.52	265.2	619.07	528.18	416.95	1157.48	2874.82	0.15	1729.59	200.64	24.1	1831.13	959.26	1032.13	9.71	1574.93	1406.09	401.98	0.0	462.43	5.77	0.1	350.15	1222.75	1949.02	125.42	2488.4	1731.21	719.31	2703.17	2174.76	1667.8	0.29	926.37	1761.5	2757.32
Ypel2	0.09	0.0	0.0	0.0	0.0	0.07	153.03	0.0	0.0	65.21	226.74	33.56	0.0	0.0	0.0	0.09	0.0	0.13	214.92	318.54	348.61	95.42	61.36	38.37	201.68	98.38	210.2	0.0	0.0	3.18	0.0	150.22	221.64	492.99	77.13	2.0	0.0	91.05	0.0	35.6	65.78	0.17	381.71	128.74	130.18	107.25	220.93	133.88	147.92	356.75	115.23	84.59	0.0	162.32	22.03	147.02
