	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_57	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_10	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_69	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_24	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_16	Ndnf_tdTpositive_cell_20	Ndnf_tdTpositive_cell_21	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_54	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_28	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_49	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Dclk2	1.49	0.17	0.0	9.53	0.0	0.0	0.67	1.08	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	14.96	34.74	0.25	0.0	0.0	22.05	0.71	3.93	0.0	0.07	11.53	14.92	21.5	0.0	10.3	0.93	3.88	0.0	1.1	2.19	0.0	0.07	6.39	0.13	0.55	0.0	3.1	40.73	0.0	73.2	0.0	37.51	2.07	10.22	3.08	3.41	0.49	1.83	2.79	1.02	45.98	50.09	47.27
Dsc2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.2	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	61.32	40.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.49	0.63	0.73
Dus3l	31.25	1.83	2.39	48.65	0.0	81.74	4.37	58.91	0.0	0.0	151.23	0.0	0.0	49.99	0.0	0.0	36.93	0.03	61.03	0.43	16.43	0.58	29.21	2.81	2.5	27.02	0.74	1.62	0.0	59.31	7.44	1.41	21.84	136.93	1.24	1.95	1.11	49.17	41.9	6.75	0.24	21.62	1.31	33.71	0.7	26.87	179.83	6.74	50.47	27.55	20.52	0.31	30.59	40.13	19.24	18.0	11.95	61.86	69.77	66.39
E130303B06Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.81	15.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67.7	34.51	0.0	0.0	54.47	0.0	0.0	0.0	0.0	0.0	7.47	0.0	10.31	8.01	5.85	12.17	12.27	9.4
Eif3c	111.62	132.91	34.56	200.45	0.16	192.08	23.81	55.31	70.72	33.42	165.65	0.0	0.0	42.11	356.39	0.0	222.91	123.8	98.22	212.81	164.75	46.2	48.22	67.65	109.71	166.87	147.73	124.07	146.22	95.95	138.85	199.5	148.61	115.78	171.38	142.56	43.63	54.22	55.0	3.24	114.0	70.13	156.71	205.54	89.77	134.92	300.91	213.42	192.38	7.84	66.54	32.84	134.83	232.06	88.41	116.06	109.9	145.54	150.41	139.82
Etv1	2.0	2.96	0.0	0.07	0.0	0.06	0.0	0.0	8.27	0.0	0.54	0.0	0.0	0.0	0.0	0.0	33.74	2.84	0.03	0.04	26.19	0.0	0.0	24.06	0.0	0.0	30.56	0.0	0.0	0.0	0.0	0.78	0.4	0.0	0.0	0.0	0.0	0.05	0.0	1.83	0.0	21.35	0.0	0.0	17.94	0.0	61.55	0.0	0.69	0.0	0.0	29.76	29.77	22.94	26.32	20.66	19.69	58.93	55.06	52.94
Fam117b	15.69	1.35	0.0	33.55	0.0	0.0	0.0	0.0	0.0	0.0	23.96	0.0	0.0	0.0	0.0	0.0	8.13	25.83	82.48	0.03	0.02	18.28	0.22	0.0	0.0	34.07	13.48	1.58	0.0	39.2	11.38	15.4	0.0	0.0	0.0	0.0	11.85	5.85	4.97	25.29	32.05	10.26	25.78	15.11	22.26	16.82	104.8	0.0	20.99	10.59	0.0	1.82	6.22	11.43	7.36	6.89	8.01	40.0	38.65	37.03
Fam168b	21.59	88.97	1.17	0.16	0.0	64.37	176.2	6.32	0.0	8.37	17.5	0.0	0.0	0.0	0.0	0.0	26.99	33.35	49.76	39.59	16.72	22.7	4.68	31.65	0.54	40.53	34.0	0.59	15.94	2.7	28.63	41.59	26.94	0.0	0.84	4.08	29.19	6.25	21.81	7.89	20.94	15.86	70.48	20.9	3.34	99.84	147.81	62.42	53.64	0.0	43.89	72.97	22.17	11.68	25.23	23.27	28.04	190.42	187.9	191.71
Fdxr	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.95	0.0	0.0	0.11	9.73	0.0	0.17	0.0	0.0	0.0	0.0	0.16	0.0	15.07	0.0	0.0	0.0	0.0	0.0	0.0	19.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.35	9.11	0.0	0.0	0.66	0.0	3.09	1.55	1.62	0.75	3.56	12.4	12.67	11.92
Gigyf2	1.65	8.56	0.0	2.03	0.0	8.07	0.0	90.51	0.0	0.0	4.34	0.0	0.0	0.64	0.0	0.0	4.1	2.41	0.19	2.67	22.88	0.98	3.81	0.05	0.84	0.0	5.72	1.11	35.48	5.2	1.61	1.28	0.17	0.0	1.13	0.0	2.24	3.15	4.88	16.39	0.33	8.57	11.22	22.1	6.95	20.03	9.06	17.35	4.8	2.84	0.37	1.88	9.11	5.56	7.46	7.77	5.98	32.74	29.92	31.35
Gltp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.6	0.0	0.0	52.74	0.06	0.0	0.0	0.0	0.0	0.0	0.18	0.16	0.19	0.33	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.34	0.0	0.0	0.31	0.0	0.0	0.0	0.0	49.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.7	0.0	6.13	48.21	48.29	53.09
Gpt2	0.0	5.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.88	0.0	0.0	4.29	0.0	0.0	0.0	0.0	0.0	4.41	0.0	5.84	0.0	0.0	0.0	0.0	0.0	0.0	5.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.43	0.0	0.06	33.4	33.13	0.26	0.0	0.02	0.0	0.0	0.17	2.22	4.87	7.52	6.53	38.64	37.59	35.57
Hivep3	0.07	0.0	0.0	0.0	0.0	0.0	3.05	0.0	6.24	0.0	0.0	0.0	1.0	0.51	0.0	0.0	0.31	1.56	0.0	0.02	0.46	6.32	0.0	0.0	0.07	0.0	0.0	0.0	0.13	0.0	0.0	1.66	0.0	0.0	0.09	0.41	0.0	0.25	0.0	0.57	0.0	0.24	0.05	3.13	0.0	0.66	11.51	22.89	0.02	0.0	0.0	0.0	2.06	4.2	0.59	0.79	1.29	18.82	17.25	20.23
Homer1	0.0	20.13	0.0	0.06	0.0	19.89	106.44	2.26	0.0	1.85	0.0	0.08	0.0	0.0	0.0	0.0	0.0	1.64	0.29	0.24	2.86	0.03	7.96	1.79	0.73	26.51	19.39	0.0	7.18	33.29	28.81	27.36	0.0	0.0	0.0	5.78	0.0	0.0	15.87	0.0	34.09	2.27	59.91	9.8	38.81	26.58	58.75	176.31	16.63	18.15	0.15	0.04	75.54	92.96	83.5	55.45	61.95	109.75	88.93	100.72
Hsd3b3	0.0	0.0	0.0	5.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.86	0.0	0.0	4.79	0.0	0.0	0.0	0.0	0.24	5.29	0.0	0.0	1.02	0.0	1.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9	5.53	6.66	0.0	6.03	0.0	0.0	0.0	0.0	0.0	1.42	0.61	0.21	1.43	0.98	1.07
Hsph1	102.17	81.55	2.82	29.03	0.0	131.07	70.07	163.32	0.56	111.36	48.14	0.0	0.0	0.0	0.0	0.0	24.98	48.8	76.29	41.2	8.35	54.55	114.17	2.48	152.85	0.0	76.48	84.93	86.63	72.28	143.97	46.07	87.36	118.19	97.31	3.84	110.71	87.15	55.6	31.53	179.71	100.05	160.07	54.03	53.82	180.67	104.62	127.84	34.37	29.83	0.26	23.92	235.88	315.47	213.44	193.74	203.15	238.03	226.06	225.17
Ifit1	6.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.53	0.0	0.0	0.0	0.0	28.72	0.0	0.0	0.0	39.34	52.27	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	83.02	0.0	0.0	0.0	0.0	0.03	0.0	0.87	0.23	0.13	0.27	2.13	1.54	1.88
Kcnq2	27.37	2.25	0.0	18.29	0.0	37.18	25.01	127.34	0.0	0.35	0.12	0.0	0.0	0.22	0.0	0.0	9.1	1.46	26.2	1.23	20.5	0.32	0.08	7.16	5.56	0.0	11.41	16.86	2.23	29.05	19.82	0.0	6.51	16.85	47.91	0.0	45.99	15.95	4.23	12.01	0.9	10.14	31.66	1.77	2.45	14.81	31.65	18.49	13.54	15.83	35.09	19.55	45.94	31.26	36.35	34.61	26.79	188.68	176.82	211.93
Kdm6b	1.05	0.1	0.0	6.83	0.0	6.21	40.96	9.3	0.88	4.04	3.54	0.0	0.0	1.88	0.0	0.07	5.04	0.14	2.82	3.61	3.11	3.76	2.44	5.81	1.31	1.48	2.63	4.39	6.26	0.69	3.0	0.58	2.46	2.7	3.88	0.31	4.43	5.08	0.0	1.7	2.11	0.48	1.79	1.87	2.69	3.74	14.07	18.81	0.89	0.23	2.3	2.9	8.25	6.99	10.15	7.32	10.44	17.07	15.97	13.26
Klf10	54.55	26.69	0.0	1.05	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.49	0.0	0.16	0.07	24.04	0.0	0.0	0.1	0.0	0.0	0.49	0.0	0.0	7.58	7.82	0.0	8.18	0.0	0.31	0.0	0.0	0.0	6.61	0.0	86.84	0.0	0.0	175.82	0.0	146.28	172.01	2.32	0.69	0.0	0.0	176.72	226.55	242.63	195.19	240.09	39.87	34.23	21.01
Lphn1	7.17	11.71	29.09	16.78	0.0	44.95	19.48	29.53	0.24	0.0	0.75	3.13	0.0	0.38	0.0	0.0	16.31	7.12	4.93	0.56	2.42	17.08	8.59	19.94	6.03	20.19	14.8	1.44	4.56	37.74	14.21	14.61	2.34	0.1	19.08	47.54	0.0	9.24	9.24	28.35	28.76	7.66	47.34	7.0	0.03	30.05	130.84	33.97	14.96	0.05	16.72	24.63	32.57	19.72	60.5	46.45	43.94	185.96	190.77	203.82
Lrrn2	15.25	0.0	0.0	0.0	0.0	2.12	0.0	27.38	0.0	0.0	31.53	0.0	0.0	0.16	0.0	0.0	14.97	0.21	0.0	28.03	3.2	0.0	0.72	0.0	0.0	0.0	0.33	0.0	0.54	0.0	3.44	9.22	0.0	0.83	35.12	0.0	0.0	0.0	0.0	17.83	0.0	0.0	38.29	26.78	1.57	0.0	104.73	44.65	0.0	2.91	0.0	2.5	14.02	17.25	2.66	7.58	8.48	70.86	81.35	80.0
Mapk9	43.96	28.73	5.73	23.88	283.45	101.38	71.96	43.49	0.0	4.86	37.08	0.0	0.1	20.65	0.0	0.0	33.81	6.88	59.96	0.04	0.67	37.37	39.75	49.48	67.19	48.77	28.59	14.01	77.82	31.52	51.32	7.52	54.57	35.82	20.79	1.59	0.0	19.98	11.75	36.65	48.47	60.53	33.06	18.03	25.75	23.76	105.95	70.04	19.44	25.4	32.63	36.17	11.5	28.93	28.44	17.35	24.63	154.54	146.91	148.44
Mbtps1	0.0	0.0	0.0	0.0	0.0	3.75	0.0	9.11	0.0	50.69	0.0	0.0	0.0	0.0	0.0	35.61	5.4	0.0	29.87	0.0	0.0	0.0	0.85	0.0	0.14	0.1	5.22	38.99	1.98	3.76	0.0	11.14	31.75	0.0	0.47	1.27	0.0	0.0	0.0	0.14	5.91	0.0	18.29	12.05	0.36	0.0	62.91	21.69	0.1	0.0	0.0	0.78	22.9	14.28	8.83	10.83	18.46	53.53	54.98	52.0
Mfn2	64.28	45.61	0.0	10.36	0.0	72.37	0.49	194.11	0.0	0.0	12.02	0.0	0.0	5.82	0.0	0.0	23.55	1.88	0.24	33.75	19.32	73.89	0.0	14.68	37.74	212.4	41.57	0.11	4.02	0.12	25.35	1.39	30.43	31.34	65.81	2.88	38.0	12.57	47.8	1.66	65.89	68.11	28.76	27.27	21.21	89.41	118.28	95.3	45.89	23.28	28.36	21.56	36.57	53.82	71.79	51.09	69.88	140.3	144.81	145.21
Mirg	12.62	47.47	0.0	1.89	0.0	0.0	0.0	0.0	14.0	5.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.98	9.53	0.66	0.32	0.96	1.33	0.73	10.0	0.68	1.33	0.0	1.19	0.0	0.0	10.44	7.95	12.67	0.0	0.0	61.1	9.32	21.04	0.0	0.0	0.39	18.32	0.0	0.0	0.0	92.7	72.38	0.35	0.6	33.99	11.81	1.42	0.45	4.47	4.07	1.92	25.79	26.16	28.9
Mphosph6	25.78	0.0	0.0	59.29	0.46	83.74	0.0	1.85	0.0	0.0	12.45	0.0	0.0	22.12	0.0	0.0	0.0	217.03	77.9	91.77	0.0	42.28	39.81	0.0	44.22	87.38	97.62	135.14	0.59	0.0	32.49	0.0	0.0	13.85	0.28	15.26	16.87	0.0	112.22	0.0	230.08	54.34	137.81	0.0	0.0	7.54	255.0	116.82	0.0	0.94	52.85	5.05	67.55	75.32	33.15	66.94	55.96	20.77	17.84	20.36
Mtrr	0.0	0.53	0.1	0.36	0.0	0.95	0.0	1.09	0.71	0.11	0.15	0.0	0.27	2.95	0.0	0.0	0.23	0.12	0.6	0.12	0.11	0.18	0.25	0.33	0.65	0.08	0.3	0.13	40.68	0.0	0.0	0.62	24.62	0.17	0.08	0.23	0.4	1.1	0.08	0.39	58.5	0.16	70.51	0.0	0.0	0.2	86.68	0.13	0.3	0.34	0.08	0.08	0.26	2.45	7.4	7.19	6.9	7.68	8.1	7.11
Napepld	0.14	0.83	0.0	18.67	0.0	0.0	0.0	18.93	0.27	0.0	0.43	0.0	0.0	15.39	0.0	0.0	0.0	0.0	0.03	2.72	0.11	0.07	0.07	0.0	10.29	7.17	0.0	0.0	0.25	0.13	2.32	0.19	0.09	0.0	0.15	0.0	0.06	11.39	0.0	0.0	2.37	14.55	0.0	0.0	0.0	0.0	65.97	151.79	0.0	0.11	0.0	0.02	0.2	22.03	16.4	7.72	13.11	12.26	11.94	11.67
Nbea	1.72	0.06	0.0	10.17	0.13	0.69	11.1	11.32	0.09	20.59	9.24	0.0	0.0	12.63	0.0	0.04	11.57	0.29	0.01	0.67	1.12	2.61	1.19	16.14	10.97	0.0	15.5	21.33	8.81	8.86	2.42	9.07	0.75	6.06	1.58	14.04	0.14	5.01	0.02	5.28	30.62	8.62	13.8	13.35	9.66	4.35	58.63	31.21	1.03	3.79	0.64	12.29	19.72	25.57	21.99	19.49	19.1	86.62	79.29	87.87
Nbn	0.0	0.0	0.0	36.78	0.0	15.13	0.0	63.69	0.0	26.49	0.11	0.0	0.0	52.26	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	22.8	6.48	0.0	0.0	0.11	27.3	1.82	0.0	0.33	0.0	6.56	0.0	1.48	0.0	26.24	0.0	0.0	0.12	0.0	0.1	0.0	0.0	0.0	50.56	87.31	0.0	0.0	3.93	0.0	0.0	1.21	24.47	9.48	13.84	16.9	16.51	14.65	16.25
Nefl	37.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.16	0.0	0.0	1.34	0.06	22.47	0.47	6.69	0.22	0.0	0.0	0.0	0.0	0.0	22.72	0.6	0.0	0.0	0.0	1.8	0.0	0.0	15.6	0.14	0.12	0.22	0.0	0.0	0.0	246.88	317.1	0.0	46.99	49.58	0.05	224.42	222.59	149.01	205.76	221.46	385.15	425.16	402.43
Npy	138375.8	173305.25	1.46	115124.65	0.0	96206.73	82245.2	65548.38	14635.6	77711.12	45335.24	0.0	0.0	80627.8	0.0	0.0	132042.44	149629.49	134232.96	130357.56	116117.28	120987.76	122165.94	132052.33	117863.77	102118.34	130527.91	173863.58	101365.79	73168.9	80801.23	166048.87	115420.41	191162.16	108906.97	154857.31	124150.07	134158.33	153405.37	147732.76	141010.39	151963.58	24726.66	145032.54	180453.32	48343.46	23340.13	7487.26	137945.15	95298.15	137580.94	120620.2	0.0	0.0	0.6	0.0	0.7	214.21	196.57	200.76
Nrxn2	1.67	2.57	0.0	1.27	0.0	1.51	0.82	8.16	0.32	0.14	0.39	0.0	0.0	0.26	0.0	0.0	0.6	1.8	0.0	0.82	0.07	0.07	2.36	0.1	1.77	0.04	1.43	0.16	0.98	0.46	1.62	0.63	1.17	0.52	0.0	0.5	0.79	0.68	0.27	0.81	1.03	0.0	0.41	1.36	0.07	1.64	1.66	3.88	1.19	0.28	3.81	0.39	0.78	0.65	0.68	0.84	1.02	132.61	136.52	147.18
P4ha1	11.95	3.53	0.0	0.07	0.0	0.23	0.0	0.46	33.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	13.2	0.0	0.0	0.0	2.66	54.32	0.0	0.14	2.2	0.0	0.0	0.0	3.64	3.53	17.56	52.8	0.0	1.62	2.82	28.46	25.12	1.01	0.0	50.62	16.04	25.14	7.69	63.19	17.73	11.29	30.5	15.14	14.54	82.95	38.12	28.72	23.75	24.83	30.0	28.35	25.94
Pcdh1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.65	0.19	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	16.58	0.23	4.06	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	8.87	0.0	0.0	0.0	54.32	0.0	0.0	0.0	0.0	2.11	0.46	0.37	3.49	1.93	1.5	79.88	79.04	80.23
Pcdhb13	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.09	2.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.65	0.0	0.0	0.0	0.0	0.0	0.0	0.71	0.0	0.0	0.0	0.0	0.0	0.0	76.87	61.62	0.0	20.79	0.0	0.0	8.72	0.0	4.1	1.2	7.95	4.35	5.11	5.2
Pgam5	0.0	45.8	0.18	0.13	0.0	74.67	6.6	51.91	0.0	0.0	0.0	0.0	0.0	77.99	0.0	0.0	46.03	0.08	8.73	0.0	0.0	0.11	24.53	0.0	0.0	0.0	3.41	0.0	0.0	2.38	38.3	41.95	0.0	0.0	0.0	71.77	0.0	0.0	0.0	0.0	0.13	109.24	81.88	57.53	0.0	70.8	168.8	43.86	0.0	0.09	37.28	0.04	36.31	7.93	24.13	19.85	24.07	60.46	64.31	60.61
