	Calb2_tdTpositive_cell_46	Calb2_tdTpositive_cell_48	Calb2_tdTpositive_cell_50	Calb2_tdTpositive_cell_53	Calb2_tdTpositive_cell_58	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_15	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_77	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_3	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_7	Cux2_tdTnegative_cell_11	Cux2_tdTnegative_cell_13	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_24	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_41	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_69	Htr3a_tdTpositive_cell_1	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_44	Ndnf_tdTpositive_cell_16	Ndnf_tdTpositive_cell_20	Ndnf_tdTnegative_cell_1	Ndnf_tdTnegative_cell_4	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_7	Ndnf_tdTnegative_cell_10	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_11	Ntsr1_tdTnegative_cell_14	Ntsr1_tdTnegative_cell_17	Ntsr1_tdTnegative_cell_21	Ntsr1_tdTnegative_cell_25	Ntsr1_tdTnegative_cell_26	Ntsr1_tdTnegative_cell_27	Ntsr1_tdTnegative_cell_33	Ntsr1_tdTnegative_cell_45	Rorb_tdTpositive_cell_54	Scnn1a.Tg2_tdTnegative_cell_3	Scnn1a.Tg2_tdTnegative_cell_4	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg2_tdTnegative_cell_6	Scnn1a.Tg2_tdTnegative_cell_16	Scnn1a.Tg2_tdTnegative_cell_18	Scnn1a.Tg2_tdTnegative_cell_19	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_8	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_28	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_49	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_65	Sst_tdTpositive_cell_76	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_92	Sst_tdTpositive_cell_96	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Ccdc124	0.0	448.88	0.0	0.0	0.0	77.82	61.28	106.43	88.62	71.61	60.69	0.0	0.0	0.0	0.0	281.21	443.88	130.16	138.42	0.0	119.43	170.05	0.0	10.58	149.22	0.0	30.18	156.29	111.59	50.82	75.78	70.28	0.0	0.0	0.78	0.0	0.0	478.29	47.1	28.19	26.21	258.15	4.96	0.0	136.83	99.04	65.57	63.27	121.03	8.01	116.11	128.87	73.79	157.98	134.98	184.93	0.0	48.61	122.52	136.58	16.3	1.38	4.41	0.0	0.0	41.52	0.24	92.45	153.22	35.15	85.48	98.53	1.98	0.0	0.0	0.0	784.04	0.0	0.0	0.0	1.37	0.0	0.0	166.01	0.0	211.54	359.93	0.0	2.47	0.0	164.39	168.92	111.58	68.9	40.34	82.65	86.3	52.68	0.0	116.54	50.22	75.96	108.1	72.27	157.85	69.04	409.48	127.19	142.67	147.5
Ccdc36	7.19	154.51	11.96	57.52	14.38	1.43	69.74	155.98	415.07	28.56	8.28	8.27	23.28	9.61	9.4	13.18	63.22	4.11	2.06	22.39	7.51	1.16	2.41	0.49	1.42	7.11	0.0	128.07	326.79	119.19	48.38	296.76	38.81	5.0	11.42	25.93	33.39	10.84	19.15	104.38	97.48	158.84	131.06	225.27	153.94	135.72	57.32	136.18	217.5	85.71	28.37	259.27	289.23	291.02	176.91	85.74	175.8	169.15	138.93	147.73	118.99	200.59	63.46	223.03	189.24	129.92	82.68	228.28	159.84	49.25	167.82	120.41	228.69	6.75	5.32	17.95	13.35	58.65	9.14	7.41	41.44	37.59	9.06	3.82	15.8	29.35	3.07	3.21	14.7	9.03	3.08	3.37	3.1	1.24	44.17	217.17	195.45	161.42	138.62	384.93	5.11	21.58	25.98	9.72	5.38	1.21	489.19	2.65	2.3	2.19
Chchd4	0.0	0.0	0.0	0.0	690.83	65.96	0.0	0.0	0.0	47.78	0.0	0.0	1.61	0.0	0.0	0.0	0.0	0.0	0.47	0.0	0.17	150.47	0.0	0.42	71.3	14.37	0.0	11.84	0.0	14.11	8.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.15	50.81	67.47	6.69	80.87	0.88	1.69	24.42	49.91	121.1	0.0	67.46	90.47	87.86	63.99	0.0	105.11	93.7	0.0	0.21	8.44	0.0	61.76	24.93	57.41	257.95	0.0	209.07	290.29	55.9	57.1	52.33	6.22	188.34	111.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	495.54	115.53	100.54	0.38	14.47	74.16	0.0	63.86	9.27	0.0	106.86	11.49	142.86	178.38	18.08	13.72	160.76	240.35	53.43	55.86	58.31
Cx3cl1	0.0	0.0	0.21	0.0	0.0	5.69	23.34	62.04	20.64	91.41	37.38	0.0	0.0	0.0	0.0	0.0	0.0	48.78	1.25	0.0	183.95	149.05	0.0	9.43	54.02	31.85	39.3	21.29	220.76	77.69	10.91	1.0	0.0	0.19	0.0	0.0	0.0	0.0	37.57	93.91	1.56	2.54	4.38	35.43	0.81	6.3	56.89	9.44	46.17	22.78	1.41	17.42	34.97	15.92	20.71	0.63	8.21	120.19	15.96	61.89	27.23	4.11	53.16	142.49	37.2	4.54	1.06	81.12	19.47	1.39	51.42	5.3	21.76	0.0	0.0	0.53	0.0	0.0	0.0	0.0	0.95	0.0	0.11	0.41	0.08	0.23	0.34	0.36	0.23	0.13	22.29	115.04	8.35	4.39	69.62	13.97	106.67	44.54	7.15	136.04	57.81	24.67	14.26	71.14	39.8	12.17	194.23	619.59	598.38	626.22
Dhcr24	53.71	3.86	0.0	4.84	0.0	16.1	0.3	5.3	17.72	29.65	21.3	0.0	0.0	0.68	0.0	0.0	0.67	0.0	0.09	0.0	1.4	16.28	0.26	0.0	0.0	0.0	0.0	1.27	0.84	1.37	0.0	0.0	0.0	2.58	0.0	6.16	0.0	0.0	8.42	1.72	3.29	1.27	0.19	5.46	5.12	21.62	2.79	1.76	22.35	14.33	0.6	0.52	0.39	0.0	26.1	14.29	0.0	0.0	4.18	0.34	12.73	0.59	26.62	1.12	48.43	3.52	0.62	0.27	0.5	3.85	0.19	1.32	3.35	5.24	0.0	0.0	0.0	0.0	0.0	1.17	13.71	9.14	0.09	0.0	0.0	0.09	0.0	0.0	0.0	2.11	4.31	0.85	0.79	0.17	0.61	1.37	1.58	0.12	0.27	25.54	0.0	12.28	0.0	0.0	0.0	0.0	66.38	79.84	84.55	78.98
Dimt1	0.0	0.0	0.0	0.0	174.84	33.01	11.96	69.54	22.09	45.43	50.31	0.0	0.0	0.0	0.0	200.6	424.79	0.0	24.67	0.0	66.46	0.28	0.0	51.42	3.07	71.74	0.0	57.1	59.92	102.3	0.0	2.27	0.0	7.01	0.0	0.0	0.0	0.0	46.47	16.46	6.32	43.21	33.45	35.88	46.39	9.0	0.0	0.0	0.0	13.74	0.0	37.29	71.83	19.35	40.64	22.01	31.62	70.13	12.54	0.0	0.0	0.0	0.0	30.47	3.43	0.1	2.05	61.03	0.0	97.34	8.79	32.25	0.1	0.0	79.57	0.0	0.0	0.0	0.0	0.0	0.47	0.0	0.0	132.72	0.0	0.0	0.21	0.11	0.0	0.16	30.44	115.18	5.94	0.0	32.59	40.29	35.77	109.92	41.84	80.77	83.94	6.26	0.0	88.65	45.55	3.48	0.0	17.89	18.47	19.51
Dusp3	0.7	51.12	8.52	0.23	0.0	77.57	114.47	163.79	120.28	58.38	58.84	0.55	110.74	237.52	17.88	0.0	0.0	270.91	288.74	0.84	205.47	150.61	22.83	254.11	197.14	172.91	151.72	138.72	395.9	249.03	139.4	70.7	14.19	0.0	23.49	0.27	213.84	303.74	39.66	102.29	69.34	110.25	207.41	160.54	212.57	241.4	153.21	47.21	176.49	73.11	100.88	170.85	157.6	92.15	117.05	80.03	204.57	329.64	75.26	251.41	134.37	191.38	140.1	123.04	101.02	38.64	147.13	125.93	168.3	316.95	137.44	210.23	80.12	0.69	1.45	265.93	0.0	37.14	0.23	3.12	7.32	0.56	6.91	22.71	0.83	1.56	2.73	0.27	0.25	33.17	126.54	315.45	140.61	168.78	158.49	49.39	393.84	205.23	75.67	338.01	117.22	52.39	42.07	205.1	65.56	60.42	187.3	125.32	119.86	121.08
Dvl1	0.0	0.0	0.0	0.0	0.0	4.76	1.99	0.0	0.0	2.65	0.0	0.0	0.0	0.0	0.0	97.73	0.0	0.0	22.41	0.0	0.0	0.0	0.0	0.0	5.22	0.0	0.37	18.99	0.0	9.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.51	0.0	0.0	5.84	0.0	0.24	2.87	0.0	7.19	0.0	0.35	0.0	0.18	4.62	10.31	0.0	39.71	0.0	0.0	0.09	2.13	2.02	1.36	0.0	0.0	0.21	0.0	2.36	14.39	0.0	0.73	0.05	8.43	0.0	0.0	0.0	0.0	0.0	0.12	2.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.38	19.94	0.0	0.0	9.95	0.0	34.3	0.0	0.0	0.07	2.91	0.27	1.25	0.0	0.08	40.57	70.36	75.03	72.98
E130309F12Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.08	70.49	0.18	27.71	17.21	0.0	0.0	0.0	0.0	0.0	0.0	84.37	0.0	0.0	14.65	0.0	0.0	0.0	120.06	16.45	0.0	197.95	18.08	0.13	67.32	17.3	0.0	0.0	0.0	0.0	0.0	0.0	16.5	31.61	0.06	0.03	0.0	0.11	0.03	0.41	0.0	0.0	0.07	35.67	0.0	0.0	0.0	79.2	67.43	0.0	32.12	170.21	23.72	63.93	0.0	0.0	0.0	50.73	0.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.11	0.34	0.29	0.0	0.08	0.57	0.11	0.0	26.89	16.02	0.0	29.25	25.91	0.0	0.0	0.0	31.69	22.76	24.91	9.71	75.17	0.0	0.55	139.31	13.88	13.61	12.57
Eif1ad	0.3	0.0	152.43	0.0	0.0	0.0	54.29	0.0	0.0	26.93	69.83	0.0	0.0	0.0	0.0	0.0	0.0	0.23	30.04	0.56	93.11	19.76	0.0	8.77	99.39	0.23	0.0	68.39	107.65	6.6	91.54	0.0	0.0	0.0	0.01	0.24	0.0	16.95	15.87	1.49	2.22	0.1	21.4	0.06	0.08	18.56	43.22	18.4	42.18	49.43	9.21	0.98	75.77	53.84	0.0	0.0	0.0	0.07	22.78	24.38	18.47	0.0	0.26	0.0	7.26	0.0	34.67	59.05	0.0	46.18	15.38	19.42	0.0	0.33	0.0	2.02	0.0	0.0	0.0	0.0	0.0	0.0	0.53	3.33	0.1	0.0	0.0	0.0	0.22	0.0	47.42	73.89	56.85	85.8	18.62	0.0	39.5	24.92	32.7	0.0	55.47	57.39	36.75	21.42	0.0	22.6	212.11	19.68	20.14	19.85
Faim2	0.0	0.0	0.0	0.0	0.16	87.67	91.27	125.26	53.84	17.53	99.96	0.0	0.0	0.0	0.0	0.0	0.0	235.66	27.55	0.0	117.66	114.37	0.0	41.71	74.97	106.16	39.44	100.69	78.19	26.09	90.53	54.94	0.0	0.0	0.0	0.0	0.0	0.18	83.01	86.24	68.63	45.71	56.32	37.65	49.76	119.55	131.64	187.83	145.51	70.79	125.07	127.19	125.99	106.33	48.44	17.31	41.93	103.74	104.63	30.09	65.58	81.22	82.01	36.7	2.55	30.69	111.82	100.16	70.56	48.2	43.76	59.83	60.49	0.14	0.0	0.18	0.0	0.0	0.0	0.09	0.53	0.0	0.08	0.19	0.11	0.77	0.59	0.12	0.32	0.09	80.17	23.3	58.51	41.14	49.48	138.02	53.88	88.08	104.04	76.53	18.67	62.27	83.6	81.15	74.68	194.33	214.85	264.04	282.31	267.78
Gm14430	0.0	61.33	17.72	0.0	0.32	8.29	0.0	12.91	2.27	6.33	0.0	0.0	0.04	0.0	35.49	0.0	0.0	0.0	12.4	0.0	17.47	8.79	0.0	1.79	7.41	19.54	0.0	21.04	23.07	13.78	20.03	0.0	0.0	0.0	0.42	0.0	0.0	0.0	6.19	5.76	15.98	0.27	6.16	0.01	0.03	0.0	4.55	5.5	0.17	11.93	0.0	2.84	13.27	0.0	0.37	0.47	11.48	0.0	0.12	11.84	6.27	12.37	0.0	11.85	0.11	0.0	5.6	4.55	0.54	1.09	2.37	0.22	12.18	0.0	0.0	0.0	0.0	0.0	0.0	8.44	0.0	0.0	0.0	1.66	0.01	0.0	0.0	0.0	0.07	0.08	2.39	5.1	0.82	0.0	19.93	0.0	0.0	0.0	4.29	0.26	0.27	0.72	0.0	2.42	18.35	8.42	24.16	7.67	5.07	7.49
