	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_10	Cux2_tdTpositive_cell_98	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_8	Gad2_tdTpositive_cell_68	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_1	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_54	Scnn1a.Tg3_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_22	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_8	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_28	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_42	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_49	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_65	Sst_tdTpositive_cell_69	Sst_tdTpositive_cell_72	Sst_tdTpositive_cell_76	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_92	Sst_tdTpositive_cell_96	Sst_tdTpositive_cell_101
C230091D08Rik	26.19	126.32	60.48	19.83	0.57	45.34	298.3	0.24	272.98	103.5	0.0	98.34	254.07	324.82	27.16	12.64	77.41	67.0	0.0	12.64	7.26	85.21	140.25	120.97	136.15	9.39	139.04	175.94	83.57	82.6	199.17	101.0	67.09	37.4	58.12	78.18	35.46	55.27	44.83	27.2	36.95	56.51	34.15	53.31	41.94	10.94	44.15	56.85	47.68	62.24	105.11	95.38	105.93	1.25	0.1	54.94	56.3	31.22	153.26	132.18	110.49	121.16	114.7	184.86	153.28	62.22	28.13	103.32	18.35	234.67	27.91	38.85	25.37	128.78	23.11	6.93
Cbln4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	348.77	0.0	0.11	62.35	184.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	186.2	0.0	0.0	0.0	0.0	115.88	140.22	90.48	131.37	0.0	0.0	0.0	0.0	3.13	0.0	0.0	0.11	0.0	0.0	0.0
Cbx5	70.15	144.95	46.23	150.85	79.82	136.68	0.16	0.07	96.17	209.09	0.0	189.15	233.74	297.8	205.33	369.99	53.98	213.97	13.88	175.63	0.84	87.65	123.09	85.78	67.54	91.95	187.02	110.52	130.72	221.97	86.02	164.39	80.07	124.61	82.68	182.13	111.65	156.99	160.67	61.46	239.26	146.97	156.82	0.37	168.6	90.43	125.61	48.0	226.85	58.56	188.69	122.33	214.35	0.55	0.0	194.32	154.98	61.37	133.27	125.83	150.28	139.17	374.45	196.52	252.69	170.08	185.47	276.75	54.72	142.09	91.65	72.54	151.89	141.42	216.33	69.27
Cd22	0.49	0.26	0.22	0.42	0.0	0.7	0.15	0.12	2.34	1.76	0.96	2.21	1.26	3.65	1.25	0.94	1.98	0.72	0.0	0.6	0.0	0.64	1.28	0.42	0.73	0.42	1.91	0.56	0.99	1.25	0.74	0.59	0.41	0.89	0.11	0.74	0.29	0.69	0.84	1.18	0.6	1.2	0.47	1.49	0.45	0.2	0.32	1.18	0.54	0.33	0.34	0.27	0.32	0.0	0.0	0.74	0.86	0.45	1.06	0.71	0.51	0.73	1.0	4.17	1.43	0.76	1.29	0.81	1.38	1.65	0.71	0.5	0.33	0.31	1.71	1.11
Chl1	53.65	326.25	60.54	107.47	136.96	10.35	0.05	0.0	0.0	355.23	0.0	200.94	886.04	680.83	208.12	219.7	134.67	32.4	0.0	0.0	0.0	77.2	22.14	98.29	36.01	20.01	26.82	48.62	53.77	93.55	4.14	42.29	41.66	113.88	122.68	105.6	23.31	25.94	25.39	20.83	81.75	68.99	26.44	57.56	31.55	81.95	94.66	8.82	143.73	96.88	71.25	53.19	255.41	0.05	0.04	87.99	323.42	38.1	129.92	200.34	33.61	650.14	221.05	451.08	259.11	93.88	81.86	19.29	187.8	236.34	199.09	14.95	63.5	297.77	181.65	13.55
Chrm1	1.59	5.47	0.75	0.07	0.68	0.96	7.49	0.17	1.6	1.11	0.0	0.98	1.58	8.65	0.21	20.2	2.07	31.7	0.05	0.0	0.0	0.51	0.35	0.99	0.45	7.98	1.26	0.76	0.44	3.76	1.18	1.75	0.98	1.12	1.23	1.33	1.68	1.65	2.53	0.54	1.29	1.15	1.22	1.74	0.79	0.61	0.89	1.27	0.63	1.0	0.44	1.15	1.68	0.0	0.34	1.68	2.4	1.06	8.9	17.41	4.16	5.18	1.34	4.77	1.76	0.6	2.54	2.35	2.08	5.59	0.36	0.55	1.44	4.88	0.96	0.84
Clca2	0.53	0.85	1.03	0.15	0.65	1.46	3.19	0.08	0.35	1.27	0.0	0.99	2.3	4.75	0.62	2.7	0.8	1.79	0.57	2.12	4.05	0.82	0.42	0.98	0.78	0.43	0.78	0.76	1.22	0.99	1.26	0.94	2.5	0.7	1.18	1.36	1.04	1.0	0.34	0.67	1.4	0.83	1.78	1.84	1.89	0.81	0.41	0.57	0.65	0.66	0.64	1.44	3.71	0.29	1.14	0.47	1.44	1.1	1.59	1.1	0.49	3.3	1.66	1.65	4.11	0.23	1.84	2.09	1.54	2.03	0.27	0.42	1.21	1.25	1.23	0.48
Cnr1	15.37	1426.66	0.93	287.4	65.22	23.76	0.07	0.06	0.0	227.22	155.35	549.46	358.93	3043.69	808.15	1695.87	480.25	1756.41	0.0	0.0	0.0	0.12	108.67	5.5	0.35	0.31	86.54	0.58	22.32	0.0	67.3	0.8	162.55	31.37	68.73	176.13	6.34	23.28	67.31	10.7	28.34	0.08	46.69	0.0	0.0	98.29	66.53	60.69	0.28	72.89	0.08	44.19	1208.78	0.0	0.0	0.1	92.2	89.74	548.82	211.77	0.0	313.13	96.0	317.27	158.45	95.68	913.11	611.88	246.37	962.68	384.01	0.39	0.36	1458.22	29.52	0.1
Cpne8	18.53	168.34	54.04	56.34	49.23	25.15	110.61	0.51	6.21	164.45	1.57	48.56	192.79	276.52	86.48	193.15	177.98	151.46	169.36	0.11	2.25	14.52	117.83	54.63	54.63	42.06	86.83	106.29	72.16	27.16	46.08	54.53	69.62	63.55	24.55	66.4	103.37	33.38	46.58	85.48	60.99	67.36	43.74	29.23	121.11	42.22	41.88	105.48	89.61	32.59	42.33	29.98	128.13	55.66	30.25	62.86	55.57	87.17	56.66	84.23	38.9	92.72	56.36	165.14	78.63	44.15	173.19	146.02	16.83	323.43	69.76	97.84	83.88	211.33	71.33	45.23
D830005E20Rik	24.56	63.14	46.12	10.52	4.1	34.7	0.68	8.53	0.51	61.82	0.0	46.43	70.08	140.39	24.96	59.44	45.27	109.76	2.32	1.42	8.22	43.2	29.17	38.87	39.94	22.8	42.79	27.24	31.72	39.1	51.0	36.78	38.37	43.6	36.18	55.41	56.13	35.41	46.38	28.42	21.2	28.14	30.94	24.37	38.6	25.88	25.88	44.86	36.63	24.85	27.76	26.53	56.37	25.64	16.24	22.11	52.16	35.17	48.22	22.7	46.6	112.16	87.36	152.67	53.18	33.34	77.31	63.7	33.68	69.84	21.08	32.48	16.3	48.02	52.01	12.18
