	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_10	Cux2_tdTpositive_cell_98	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_8	Gad2_tdTpositive_cell_68	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_1	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_54	Scnn1a.Tg3_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_22	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_8	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_28	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_42	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_49	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_65	Sst_tdTpositive_cell_69	Sst_tdTpositive_cell_72	Sst_tdTpositive_cell_76	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_92	Sst_tdTpositive_cell_96	Sst_tdTpositive_cell_101
Prkar1a	260.46	515.49	325.47	61.96	200.21	342.29	0.0	84.45	565.07	817.1	0.0	903.72	531.34	386.8	651.11	971.21	275.88	567.24	58.95	1027.17	20.25	654.1	401.96	314.39	304.0	240.67	396.28	366.34	313.93	675.92	505.97	506.01	308.17	407.94	344.16	614.8	528.89	552.99	232.54	388.53	301.56	550.26	409.56	154.26	424.79	360.28	580.36	378.58	476.09	423.18	828.46	537.18	665.11	0.0	167.71	314.91	259.91	346.87	381.71	384.41	386.13	389.49	733.22	361.11	841.47	340.1	462.72	651.6	284.97	1000.62	342.05	233.43	332.42	858.23	451.72	374.47
Psg29	0.0	0.4	0.38	0.05	0.15	0.42	0.0	0.0	0.09	0.2	0.0	0.49	0.35	1.54	0.4	0.56	0.41	0.07	0.03	0.0	0.0	0.22	0.2	0.13	0.09	0.0	0.05	0.0	0.06	0.12	0.18	0.22	0.21	0.14	0.42	0.49	0.04	0.67	0.59	0.33	0.1	0.16	0.15	0.41	0.19	0.07	0.08	0.24	0.06	0.07	0.09	0.04	0.08	2.14	0.0	0.0	0.37	0.4	0.67	0.23	0.16	2.53	1.52	0.93	0.33	0.32	0.54	0.81	0.5	1.03	0.14	0.41	0.04	0.7	0.98	0.03
Ptchd1	0.0	61.88	17.72	9.38	19.97	36.45	0.0	0.0	0.0	56.24	0.0	102.58	138.69	108.91	47.61	243.56	90.72	42.82	0.0	0.0	0.0	32.04	0.17	10.9	0.07	18.3	89.04	43.79	77.87	30.65	52.7	32.43	24.0	40.81	21.49	20.87	0.0	14.77	22.73	21.94	18.75	34.37	9.84	0.0	0.0	14.95	25.84	0.04	58.51	16.32	0.0	16.37	47.87	0.0	0.0	61.39	134.55	32.21	51.45	58.77	74.84	0.08	281.07	63.8	35.32	13.26	28.54	7.88	0.0	122.05	16.14	9.54	23.3	35.48	27.85	16.8
Ranbp3l	1.18	5.08	3.36	0.89	0.21	4.36	0.66	0.44	3.02	6.25	0.0	2.35	2.11	7.27	4.9	3.08	3.26	3.18	9.78	0.27	0.0	2.15	1.17	1.68	2.39	1.98	3.63	2.41	2.28	1.23	2.4	2.03	4.65	2.22	3.52	3.51	1.19	2.4	4.34	2.8	3.1	1.35	2.58	1.31	4.38	1.96	2.01	2.05	4.25	1.77	2.34	2.21	4.92	3.35	0.0	2.26	7.77	1.25	4.34	1.58	5.98	9.95	5.36	5.2	4.17	2.67	4.01	3.66	5.53	11.56	3.15	2.38	1.18	0.8	4.33	1.61
Rbm28	9.14	6.96	22.96	7.81	0.55	7.11	10.92	0.76	0.11	181.2	0.0	69.01	54.89	139.78	26.16	34.88	34.45	12.05	4.46	0.09	1.85	9.02	5.45	19.46	14.97	40.96	7.08	9.46	4.98	6.7	53.06	11.54	13.2	34.95	42.26	44.07	62.86	31.15	21.73	29.78	7.24	88.42	36.55	4.45	31.41	36.25	51.48	32.26	5.5	62.97	24.58	29.0	15.48	5.03	0.0	6.09	24.92	27.62	26.27	30.09	17.94	28.92	8.68	32.72	83.87	21.71	57.93	35.97	29.85	23.22	59.91	7.32	13.63	6.47	16.89	11.83
Rdh1	13.02	20.67	17.69	3.05	5.22	17.75	6.13	3.64	6.15	32.36	3.52	28.33	39.18	112.38	26.55	28.82	20.35	26.94	4.03	15.18	0.0	13.27	15.36	11.26	33.67	10.78	14.62	17.45	24.34	14.97	29.68	11.95	15.61	26.52	14.37	15.61	14.88	18.44	19.37	17.26	20.17	15.02	14.22	22.24	17.23	12.32	14.85	18.21	14.15	11.6	11.71	14.7	17.34	7.55	0.0	15.94	41.37	18.15	22.06	25.31	15.77	38.32	27.61	57.79	33.73	12.21	25.58	21.12	19.79	36.48	10.64	14.62	8.58	19.2	26.82	11.72
Scn2b	597.12	668.61	404.61	319.88	168.79	668.06	3.35	0.35	154.37	1029.63	0.0	1113.3	1117.1	1522.2	609.34	319.77	594.0	847.17	0.69	0.39	0.0	571.63	508.97	430.86	395.67	538.23	477.22	545.92	731.12	445.31	728.59	762.72	629.16	548.15	613.57	643.53	751.96	734.12	497.87	631.79	507.09	922.54	489.16	186.96	450.16	578.91	679.34	713.46	574.58	691.4	523.62	470.57	904.08	0.33	0.0	707.65	1265.36	591.76	586.26	594.32	598.07	1254.55	753.42	1004.98	827.24	444.04	752.53	1087.49	864.09	499.3	756.77	485.79	475.03	927.47	617.11	401.74
Sirpa	18.15	83.55	41.47	47.79	48.95	33.73	0.0	0.0	0.0	214.9	0.21	0.0	0.12	129.13	0.0	0.76	0.15	0.0	0.0	0.0	0.0	26.89	44.79	2.74	0.07	31.47	48.18	25.76	30.34	0.0	14.99	29.03	22.69	48.46	48.08	62.54	0.0	3.66	99.38	58.08	35.03	0.07	0.0	0.0	8.53	0.0	19.82	9.87	0.0	27.4	0.42	48.45	152.65	0.0	0.0	17.78	0.1	0.06	0.0	32.19	52.46	50.1	40.65	181.26	84.52	38.52	32.5	0.0	54.45	103.4	12.93	91.65	11.15	2.09	78.15	45.01
Slc24a2	8.28	69.44	4.04	29.45	94.3	0.0	0.0	0.0	0.0	68.09	0.0	147.22	116.22	340.86	4.23	39.16	99.37	52.21	0.0	0.0	0.0	0.06	0.14	0.1	0.07	0.11	0.07	0.04	0.02	4.54	19.15	13.75	13.13	0.0	5.33	8.61	0.1	0.0	5.05	0.0	12.42	5.86	0.0	0.0	0.17	0.04	0.05	0.05	0.05	0.03	0.0	0.0	106.52	23.85	6.62	3.97	141.78	0.84	52.72	135.24	0.06	194.84	45.74	196.41	103.16	0.35	61.71	74.67	77.05	57.45	214.16	0.02	0.14	183.8	52.7	6.18
Snora2b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.02	0.0	66.35	27.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.09	0.0	0.0	0.0	18.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.56	0.0	0.0	0.0	0.0	24.88	4.14	0.0	8.29	0.0	0.0	43.96	0.0	0.0	0.0	0.0	24.58	0.0	0.0	17.66	0.0	0.0	0.0	0.0	0.0
Spnb1	4.55	7.71	0.0	2.09	0.83	3.42	0.0	0.0	0.0	0.0	0.0	0.36	16.37	16.03	0.0	0.0	9.54	14.29	0.0	0.0	0.0	7.63	0.07	6.31	0.0	16.81	0.01	0.0	0.01	6.03	0.0	7.96	6.94	0.0	0.0	0.0	0.0	0.51	14.99	15.12	0.34	0.0	0.0	0.0	0.02	0.0	0.03	15.19	0.03	7.0	0.4	0.02	34.19	0.0	0.0	0.0	0.74	0.0	0.0	11.78	0.0	27.97	0.38	39.15	23.27	5.76	1.14	0.09	0.0	8.26	9.71	5.57	5.49	0.13	14.55	0.0
Spock3	174.97	303.32	103.65	65.7	36.03	43.67	0.0	0.0	0.0	770.58	0.0	143.36	896.07	1494.84	197.25	199.62	301.01	302.62	0.0	0.0	0.0	111.65	223.05	276.76	176.63	66.46	87.75	86.61	490.28	341.41	66.71	124.0	101.73	224.17	303.04	331.96	110.78	86.11	153.1	61.71	62.47	152.81	97.03	0.0	7.58	213.83	173.43	54.13	194.73	119.45	192.32	35.96	504.15	0.14	0.0	231.21	759.62	28.31	213.53	0.04	87.46	706.42	353.27	780.65	564.04	84.25	552.52	576.23	232.18	145.28	237.78	220.79	164.02	353.26	575.67	54.01
Strbp	56.49	19.79	42.39	23.08	13.95	47.47	0.32	0.22	0.27	152.15	0.0	64.51	159.92	369.7	103.46	146.91	72.44	142.54	0.58	0.03	0.0	42.02	29.42	81.24	45.24	28.62	56.44	24.53	68.11	29.52	62.06	67.87	68.43	76.77	88.4	104.11	73.19	46.42	42.23	58.92	28.34	37.57	19.54	30.12	90.93	44.91	33.68	90.46	110.31	64.97	25.57	70.52	114.18	0.21	0.0	32.58	60.79	38.72	94.45	102.62	54.26	198.95	131.35	58.7	104.58	55.77	109.79	86.13	151.27	207.98	64.99	53.58	36.91	186.84	43.91	32.28
Synpr	92.0	1856.0	791.69	1291.84	621.95	208.11	0.0	0.0	0.0	2613.84	0.0	3608.29	2323.12	8968.34	869.21	0.0	299.15	1294.78	0.0	0.0	0.0	612.04	633.06	705.4	0.75	872.33	705.57	496.82	2164.73	989.25	689.33	1174.21	312.64	833.61	887.11	1157.55	296.96	410.59	303.29	717.72	574.99	444.27	802.43	59.67	737.49	1241.53	1323.18	520.32	1622.46	1727.77	1390.78	204.63	2480.27	827.27	0.14	620.36	2094.58	242.29	1089.02	2504.79	1499.66	2373.79	2215.68	4177.3	2308.33	167.75	2024.27	2056.41	3248.67	1252.08	2339.64	371.75	866.56	2209.21	1810.81	1528.36
Thrb	0.11	7.15	0.0	15.95	34.07	0.0	0.0	0.0	0.0	395.94	264.19	164.48	100.94	132.73	13.59	308.87	287.72	272.85	0.0	0.0	0.0	0.17	0.06	1.45	19.17	0.15	0.22	0.22	0.1	15.14	38.78	40.68	0.06	0.0	6.76	25.32	0.04	38.28	51.71	0.11	27.17	42.1	19.76	0.0	0.0	0.0	0.32	0.0	30.25	15.07	0.04	0.0	21.63	0.07	0.0	10.72	172.77	0.08	30.72	148.75	0.07	208.62	136.2	353.91	106.02	0.07	213.36	154.09	41.51	162.45	39.96	0.06	0.26	92.12	48.85	7.06
Thsd7a	0.0	8.94	0.0	0.04	0.07	0.0	0.02	0.0	0.0	270.75	0.0	20.38	192.45	208.07	3.34	0.0	48.55	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.02	0.01	0.0	0.01	0.01	0.0	0.0	2.34	13.05	0.03	0.0	0.0	0.0	0.0	0.0	0.0	6.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.12	0.0	0.0	0.0	107.63	0.04	0.06	5.95	0.03	72.55	50.97	128.04	65.93	0.01	0.0	2.88	0.0	0.08	0.02	0.0	0.08	0.08	9.59	0.06
Thumpd2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.35	0.0	0.0	0.0	53.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.6	0.0	0.0	0.0	0.0	0.0	43.53	0.0	0.0	0.0	2.46	45.52	0.0	0.0	0.0	0.0	0.0	35.51	21.27	0.0	0.0	0.0	16.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.67	0.0	0.0	25.39	0.0	35.78	0.0	14.66	1.53	0.0	0.0	21.33	0.0	25.11	0.0	0.0	0.0	0.0	0.0	5.26
Tmem132b	15.86	62.04	1.78	10.83	54.02	38.08	0.0	0.0	0.0	111.65	0.0	44.14	63.23	113.73	125.37	0.11	37.65	36.98	0.0	0.0	0.0	26.17	50.24	15.37	48.32	20.21	31.67	2.54	47.01	24.04	57.69	18.67	11.24	4.22	40.0	35.68	15.59	0.0	10.98	14.31	0.84	37.42	0.03	0.29	0.0	19.13	4.43	2.03	0.3	9.23	117.62	23.64	87.25	0.0	0.0	13.09	80.4	24.71	52.9	95.1	0.58	75.69	147.0	79.03	48.76	17.05	81.64	96.65	96.04	0.0	54.09	34.9	1.5	72.16	41.54	5.64
Tmx3	16.11	131.16	120.1	44.31	0.09	0.0	0.0	0.07	0.0	302.77	49.31	79.99	51.64	275.67	27.0	0.0	103.03	129.19	0.0	0.08	0.0	15.5	54.05	124.1	9.01	0.5	91.25	109.87	26.85	32.76	81.44	28.66	1.75	3.48	22.64	1.77	49.72	72.27	0.0	110.63	45.7	17.22	16.01	64.74	91.47	0.0	50.13	49.62	100.53	29.1	35.09	18.41	62.02	0.0	0.0	54.2	46.78	53.32	64.1	3.3	6.0	47.02	89.96	127.59	69.44	43.77	38.75	111.56	60.59	86.53	74.44	109.53	63.98	69.62	87.53	46.39
Trp53bp1	7.7	25.08	26.45	18.16	0.0	26.31	0.0	0.0	2.59	1.24	0.0	50.18	36.21	38.95	5.33	67.29	24.4	9.56	0.0	0.0	0.0	22.51	24.79	5.68	8.37	20.53	32.22	4.74	30.74	15.05	29.53	16.95	18.03	36.02	33.23	11.73	29.06	12.85	5.02	5.72	39.09	3.4	1.83	0.69	2.05	16.99	31.42	14.69	4.78	19.74	39.89	2.9	2.59	0.22	0.0	20.99	34.19	28.99	8.25	20.32	48.03	22.64	17.58	60.73	32.26	3.65	64.25	19.46	16.56	11.77	0.19	24.07	32.59	0.83	11.64	14.66
Ttc3	167.93	361.82	361.34	102.59	179.26	227.12	0.06	0.0	0.0	387.58	0.0	436.22	549.74	1174.39	378.05	268.44	304.26	323.15	10.56	0.0	0.0	171.42	222.12	161.41	112.39	120.18	210.54	102.28	156.89	207.73	172.31	157.83	224.21	148.39	183.89	161.47	273.57	131.92	208.72	210.89	149.63	125.74	142.13	211.2	325.46	273.28	191.36	122.39	193.81	125.06	249.86	228.16	427.31	47.82	0.0	165.78	276.46	317.41	519.09	370.99	220.25	533.65	493.37	618.61	494.69	223.54	563.55	369.78	374.25	465.78	269.92	266.02	199.72	621.67	358.81	201.56
Usp22	394.13	693.92	530.25	342.45	206.35	703.06	0.0	47.61	182.32	713.54	0.0	391.6	715.49	964.76	514.15	673.58	447.68	301.35	0.0	0.0	0.0	366.43	355.3	352.22	716.13	806.29	532.49	492.83	723.58	627.95	403.78	402.35	409.04	534.15	343.15	254.38	565.14	495.26	515.91	420.36	391.89	296.34	350.53	156.12	567.94	370.81	493.28	606.13	400.14	463.78	512.32	407.72	369.24	62.18	88.38	574.83	906.46	600.34	331.84	346.2	584.77	510.32	801.95	892.58	792.29	706.88	517.19	481.64	131.32	713.35	255.05	486.91	646.38	355.29	421.49	420.25
Veph1	3.03	8.76	3.28	2.22	1.0	4.68	0.33	0.1	0.48	10.32	0.22	4.92	11.01	36.16	5.53	4.15	5.51	4.89	0.58	0.54	0.0	2.9	1.84	3.4	2.5	2.17	2.5	2.17	3.32	2.45	4.83	2.7	3.69	4.26	4.81	1.95	3.62	2.22	0.85	5.7	1.85	2.48	1.22	1.79	5.79	2.78	2.57	3.95	3.66	2.33	6.13	3.69	5.71	0.16	0.14	1.88	8.19	2.49	4.7	3.31	5.18	10.81	8.92	8.99	8.4	4.31	8.51	3.96	6.24	6.31	2.75	2.0	0.87	5.21	4.52	1.07
Vstm2a	28.43	255.63	38.47	56.61	46.12	59.66	0.0	0.0	0.0	620.99	0.0	414.74	928.42	1782.57	82.87	0.0	156.71	249.1	0.0	0.0	0.0	55.01	0.1	0.39	205.2	7.48	33.67	92.39	116.67	22.93	9.94	111.13	43.18	44.96	66.74	251.46	41.72	8.02	145.42	0.08	52.7	196.96	32.35	0.0	101.07	0.06	38.62	0.08	70.5	114.95	50.27	178.55	220.87	0.0	0.0	108.44	360.99	80.78	106.64	469.25	37.57	752.99	230.0	823.91	149.87	108.41	394.67	157.79	133.24	156.36	142.19	0.47	105.82	265.85	311.46	28.0
Zfp488	124.66	123.21	115.69	60.09	19.19	127.89	366.86	51.31	35.31	284.32	0.0	164.72	216.14	523.25	155.96	185.94	201.75	174.9	66.73	123.68	2.11	79.4	136.22	114.57	69.95	75.88	125.54	86.39	113.41	97.66	139.76	90.93	95.33	131.89	136.99	127.41	93.97	85.08	105.09	134.1	108.15	111.48	102.61	147.67	93.3	118.24	78.88	84.31	81.9	94.25	100.83	106.63	166.56	84.15	8.56	77.88	209.96	100.48	184.2	142.89	97.38	272.87	123.98	156.33	235.45	101.98	181.41	154.64	165.79	129.9	95.78	132.25	75.52	146.25	132.51	45.47
c11_tRNA-Ala-GCY_	65.46	13.51	32.5	0.0	0.0	0.0	14.66	0.0	25.75	0.0	0.0	28.69	57.61	130.61	11.84	24.88	0.0	0.0	0.0	0.0	0.0	7.32	0.0	44.5	25.61	8.42	28.95	8.23	16.09	0.0	29.05	10.65	18.22	0.0	0.0	27.94	0.0	30.5	47.05	20.28	0.0	0.0	0.0	18.8	0.0	0.0	0.0	0.0	40.62	13.13	16.95	62.89	23.39	0.0	0.0	0.0	0.0	49.58	175.1	21.57	0.0	57.18	33.28	46.97	87.92	0.0	27.46	0.0	0.0	106.52	0.0	10.26	0.0	0.0	0.0	0.0
