	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_11	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_43	Gad2_tdTpositive_cell_55	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_2	Nkx2.1_tdTpositive_cell_4	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_9	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_29	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_49	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_65	Pvalb_tdTpositive_cell_66	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_74	Pvalb_tdTpositive_cell_75	Pvalb_tdTpositive_cell_78	PvalbD.Slc32a1_tdTpositive_cell_9	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_38	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_54	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_77	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_16	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg2_tdTnegative_cell_6	Scnn1a.Tg3_tdTnegative_cell_12
Gaa	0.43	75.77	85.85	0.09	0.29	1.46	43.75	136.96	1.34	0.83	101.24	92.86	8.85	6.46	131.66	48.07	16.7	73.06	46.47	141.55	34.8	41.2	34.53	50.75	33.93	15.89	130.08	34.91	31.05	52.01	43.95	36.8	34.52	24.35	82.91	129.82	82.79	27.14	304.06	124.07	63.21	134.25	13.19	18.84	173.14	5.47	86.64	120.05	77.71	81.23	25.45	276.09	23.52	68.85	3.63	135.91	46.55	38.27	80.71	17.78	95.89	0.84	0.0	2.76	1.26	3.85
Gm14431	0.26	0.0	0.0	0.0	0.0	0.0	1.03	20.17	3.78	0.0	0.24	0.25	0.76	0.24	1.71	0.62	0.74	0.0	7.8	6.64	1.54	2.31	0.8	0.18	3.35	3.96	2.26	5.03	4.95	0.0	2.76	5.1	0.3	0.29	0.76	1.99	2.49	5.14	0.26	1.79	0.61	2.4	7.94	1.31	2.1	0.0	1.04	2.52	4.65	0.0	1.51	1.48	1.58	0.43	1.46	1.56	0.36	6.24	1.93	4.83	1.92	1.38	0.0	0.0	0.11	0.0
Gm8898	0.26	0.0	0.0	0.0	0.0	0.0	1.03	20.17	3.78	0.0	0.24	0.25	0.76	0.24	1.71	0.62	0.74	0.0	7.8	6.64	1.54	2.31	0.8	0.18	3.35	3.96	2.26	5.03	4.95	0.0	2.76	5.1	0.3	0.29	0.76	1.99	2.49	5.14	0.26	1.79	0.61	2.4	7.94	1.31	2.1	0.0	1.04	2.52	4.65	0.0	1.51	1.48	1.58	0.43	1.46	1.56	0.36	6.24	1.93	4.83	1.92	1.38	0.0	0.0	0.11	0.0
Gria4	0.0	0.11	0.0	0.0	0.0	0.0	110.5	81.93	0.12	0.0	69.8	138.52	124.08	0.51	73.54	70.77	78.23	6.52	67.66	82.71	39.19	112.18	66.14	72.45	37.95	126.14	23.76	82.74	99.3	97.14	69.4	70.41	72.86	31.72	1.41	66.54	118.3	6.59	134.92	128.21	159.26	252.56	7.95	209.69	135.73	25.07	57.15	76.26	16.83	117.77	68.15	122.42	31.75	100.41	89.06	119.69	23.47	111.98	172.01	60.95	78.8	0.0	0.13	0.0	0.23	0.0
Gtf2h1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.05	0.0	0.0	0.0	2.38	0.0	0.22	31.74	0.26	0.54	0.0	3.85	8.14	0.0	25.32	2.98	0.0	0.69	7.77	6.52	9.79	5.98	0.0	18.5	6.15	0.0	0.0	0.0	0.0	0.0	0.0	61.79	0.0	7.84	0.0	0.41	0.0	18.14	0.2	2.87	0.71	7.29	1.5	0.0	29.15	0.0	5.6	13.8	24.83	1.32	0.0	13.39	31.86	1.35	0.0	0.13	0.13	0.19	0.0
Ilf3	0.0	0.07	37.66	0.0	0.0	0.0	48.76	62.73	107.95	0.14	0.0	32.5	19.84	5.51	71.31	37.77	16.9	38.7	30.78	3.14	51.16	36.06	90.36	90.34	41.81	0.23	43.85	106.07	58.14	90.09	0.0	38.18	109.13	39.93	66.53	244.26	64.47	0.12	355.53	144.97	8.04	84.56	196.67	134.41	152.23	21.6	38.24	9.98	132.48	172.72	8.78	0.0	10.84	65.26	68.68	18.59	35.27	22.84	136.64	80.46	45.37	0.11	0.1	4.25	0.62	0.0
Itpr1	0.0	0.0	0.0	0.0	0.0	0.0	28.19	4.41	0.0	0.0	21.68	33.43	26.38	0.18	27.24	11.39	0.02	18.25	18.95	36.03	15.71	13.92	27.92	84.64	18.43	32.52	32.34	16.52	24.73	12.06	67.98	56.97	14.23	0.06	57.7	84.08	25.24	4.14	67.67	89.6	10.89	52.94	64.09	22.88	19.41	51.03	38.85	8.03	23.9	48.77	52.66	1.03	11.4	5.61	66.33	14.52	29.95	41.95	50.83	18.76	29.32	0.0	0.07	0.07	0.05	0.0
Kcnma1	0.0	17.94	0.0	0.0	0.0	0.0	54.02	66.16	0.12	0.0	10.6	30.49	24.28	0.37	56.35	66.86	17.09	26.89	25.85	24.56	0.56	27.08	54.76	22.39	40.07	35.95	26.09	28.27	10.13	13.97	33.63	58.24	54.7	0.25	14.14	47.15	3.51	37.93	86.49	104.51	48.93	29.6	25.73	28.73	24.76	49.54	39.18	24.55	34.15	56.33	108.52	35.95	37.68	34.65	65.75	11.54	19.61	50.98	9.87	16.63	57.88	0.0	0.07	0.08	0.11	0.0
Klf12	0.0	0.0	0.0	0.0	0.0	0.0	0.55	110.99	0.0	0.0	0.0	33.43	14.18	0.0	7.56	14.99	0.0	3.87	16.36	0.0	17.72	0.0	21.99	23.8	2.41	20.98	60.52	7.52	8.27	0.0	58.23	33.48	0.13	11.92	0.47	50.03	25.74	0.0	88.5	37.54	0.35	25.3	51.0	32.39	0.04	0.05	0.0	2.27	20.22	0.06	0.0	5.49	33.49	0.0	0.0	0.0	0.0	13.83	27.55	37.38	1.34	0.0	0.0	0.0	8.3	201.35
Krt222	4.62	2.69	0.0	0.0	0.5	0.67	181.5	197.86	0.51	0.03	20.8	27.55	130.11	0.66	125.39	147.59	39.87	62.24	114.83	34.09	49.39	105.62	56.33	62.55	50.22	156.86	26.1	72.05	39.46	153.56	88.5	58.08	193.71	52.07	38.9	139.44	13.11	103.37	209.55	178.85	133.85	184.31	267.55	239.12	180.58	2.21	113.24	45.05	73.64	34.05	74.14	87.81	38.29	19.33	78.59	99.24	63.4	99.56	162.38	215.96	71.13	7.98	4.37	3.79	0.73	4.43
Ldhb	7486.96	8970.97	4317.46	2593.67	4107.23	5274.92	9309.63	7692.96	5876.73	5600.23	7548.96	7723.1	8752.31	6399.01	8798.32	8750.45	10118.08	10894.4	8525.9	8892.3	7735.26	7234.97	8217.62	8583.06	8517.89	9220.91	9343.6	8808.99	6807.49	8223.21	8574.79	10165.1	9166.61	7814.88	9602.81	7343.35	7785.08	7061.15	7167.6	11261.44	7829.53	8285.69	6159.05	10004.69	7259.91	7834.03	9074.03	13571.31	12546.17	9106.97	9755.78	8390.99	11010.48	8275.76	8671.45	7724.63	10182.84	7750.55	9082.37	8351.44	11746.38	3251.53	2798.49	5873.38	3292.59	5577.5
Mkx	0.0	0.15	0.0	0.0	0.0	0.0	68.32	101.4	0.0	0.0	42.57	0.38	0.0	0.0	30.64	26.19	0.0	13.74	12.01	34.87	0.0	0.0	23.58	5.18	11.88	33.21	20.11	22.73	15.35	23.06	0.0	66.32	2.64	0.0	0.0	46.36	7.72	37.99	108.36	34.93	21.75	31.77	4.54	0.0	8.33	21.29	0.89	2.42	11.19	25.19	25.5	0.5	56.94	18.86	49.13	11.72	11.4	76.23	24.99	0.47	40.04	0.0	0.0	0.0	0.0	0.0
Napg	0.0	29.84	0.82	0.0	0.0	0.0	43.85	415.61	0.08	0.0	181.23	131.57	130.4	0.34	252.03	249.97	95.48	105.57	106.82	77.5	65.25	180.17	163.49	117.38	150.38	224.87	114.24	282.5	183.71	96.65	263.86	199.27	33.73	50.44	184.15	337.35	179.23	449.42	372.64	127.18	92.93	190.25	225.3	184.75	191.78	59.99	164.69	78.76	189.82	289.44	211.44	146.91	127.32	150.17	137.87	101.01	250.87	225.6	189.35	244.74	205.35	0.0	0.1	0.74	0.15	0.0
Nat15	0.0	0.0	0.0	0.0	0.0	189.35	81.81	13.78	0.0	449.56	6.4	14.37	211.23	11.15	90.19	47.53	129.4	0.59	97.8	28.94	40.83	91.01	17.8	65.66	57.82	70.9	239.39	116.95	51.23	40.11	0.25	75.17	109.42	0.5	185.27	108.31	69.42	129.37	445.39	290.95	105.76	154.43	224.77	87.55	180.35	0.0	36.66	120.28	120.32	59.47	149.08	95.66	60.88	83.49	90.33	159.67	47.08	3.96	182.84	78.1	11.58	0.0	0.29	0.92	0.0	0.0
Nkrf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	208.33	0.0	0.0	1.12	43.67	54.38	0.0	69.99	8.77	22.03	67.66	23.64	0.0	0.0	79.25	51.37	47.94	43.05	56.89	94.88	35.11	40.65	125.61	19.33	74.29	16.01	93.81	47.3	152.44	25.24	0.0	309.15	21.61	19.2	44.92	92.29	47.48	39.29	0.0	53.23	49.14	141.09	7.43	0.0	96.58	80.8	51.49	148.19	59.91	75.13	81.24	53.32	69.48	163.64	0.0	0.11	0.11	0.0	0.0
Nudcd3	0.0	68.55	14.26	12.23	0.1	0.0	46.1	28.94	0.0	0.0	25.22	26.76	42.9	0.15	43.54	6.85	7.78	47.33	0.94	5.6	43.85	72.15	47.32	1.04	2.55	2.38	42.58	8.64	7.85	17.56	4.65	31.42	74.08	3.8	40.02	93.56	42.73	5.62	196.55	58.89	86.68	6.46	113.87	6.51	143.04	7.22	28.86	26.38	18.13	65.76	33.63	33.95	56.4	83.65	56.68	141.13	55.28	31.26	55.28	60.12	0.0	0.0	0.09	0.46	3.49	0.0
Peg13	0.0	70.49	0.0	0.0	0.0	0.0	104.76	73.09	0.0	0.0	33.93	71.87	90.86	0.13	72.23	41.18	89.84	72.79	83.05	75.3	105.72	92.58	96.44	137.56	70.91	90.29	98.75	55.07	29.48	70.47	80.22	115.76	83.0	122.66	52.42	133.68	58.36	54.82	70.75	130.57	55.52	87.49	195.26	40.04	109.27	49.28	95.82	51.63	52.35	139.81	75.92	62.98	37.79	46.88	78.18	115.09	54.67	123.38	106.31	88.17	89.18	23.77	20.32	0.15	0.0	0.0
Peg3	0.0	7.09	0.0	0.0	0.0	0.07	35.25	18.73	0.08	0.0	8.9	26.9	19.26	0.09	11.59	41.93	15.28	0.73	16.02	5.76	20.0	27.17	47.27	18.37	19.33	23.32	54.2	26.37	21.63	17.19	39.21	31.0	13.11	0.0	0.23	119.84	0.44	41.4	64.42	7.54	3.93	40.04	66.74	6.31	55.99	36.37	12.4	27.73	7.36	28.87	17.59	21.96	24.47	51.32	26.61	14.74	29.5	75.17	71.65	23.27	32.64	0.0	0.0	93.29	0.09	0.0
Phactr1	208.36	19.98	0.0	0.0	0.0	0.12	0.12	0.43	0.1	0.12	64.94	45.01	40.27	0.83	73.59	4.36	13.31	55.85	58.83	28.75	58.28	53.24	25.61	42.88	7.89	33.97	84.07	88.8	95.29	29.91	73.19	68.49	0.24	2.2	1.11	18.72	109.62	59.07	205.44	125.83	40.2	91.73	15.06	36.07	2.86	38.67	15.75	18.34	84.75	63.18	23.92	66.24	46.07	114.63	174.59	39.27	15.03	48.69	60.78	43.19	44.29	0.0	0.18	0.45	0.0	0.18
Pi4ka	69.29	33.82	0.0	3.64	0.0	0.0	34.19	79.36	0.04	0.0	15.91	48.11	23.71	0.18	75.2	52.1	37.17	45.35	26.27	28.28	25.95	32.97	37.24	4.21	45.48	35.18	51.32	26.08	22.1	28.61	26.16	31.38	2.49	81.79	54.28	11.72	30.14	19.88	118.41	107.81	34.98	66.15	85.15	27.86	49.95	59.48	18.78	20.95	37.96	37.28	22.44	41.65	22.21	43.84	89.3	56.38	21.3	50.83	21.92	69.74	29.44	0.0	0.05	0.34	0.08	0.0
Prkcz	0.0	29.8	0.0	0.0	0.0	0.0	38.31	58.79	0.0	0.0	31.38	38.6	37.75	0.29	32.94	25.0	16.92	44.65	42.18	83.37	0.0	10.95	29.74	24.41	5.55	50.8	28.04	38.98	46.2	31.54	18.56	50.26	68.88	1.18	40.51	61.57	55.35	16.61	52.58	0.09	0.1	23.6	87.92	28.3	21.66	0.0	32.44	41.05	0.4	89.52	0.11	26.28	24.21	22.28	11.6	9.13	8.11	1.22	43.34	46.1	40.74	0.0	0.09	0.45	0.0	0.0
Rab5b	0.0	74.93	0.0	0.0	0.0	0.0	24.88	66.7	0.0	0.0	41.29	10.14	19.35	0.0	24.64	28.38	67.84	69.01	28.5	50.06	133.67	49.38	0.0	41.24	34.12	85.31	43.26	65.08	40.36	53.95	33.02	127.19	43.59	0.0	8.64	86.7	1.56	38.29	341.49	139.49	122.72	142.79	75.52	33.44	98.72	22.33	54.32	8.55	35.39	47.15	77.13	92.25	16.09	34.26	111.33	0.0	33.75	67.35	29.74	88.83	23.05	0.12	0.0	0.58	0.17	0.0
Rnf144b	0.0	0.0	0.0	0.0	0.0	0.0	5.95	15.42	0.0	0.0	1.85	31.04	10.62	0.0	40.0	41.94	3.1	11.06	29.2	7.84	26.22	6.66	11.42	7.57	15.13	22.0	6.72	31.11	3.75	25.5	47.18	24.62	14.37	0.93	35.46	14.51	44.8	8.97	16.36	43.86	2.11	6.36	48.89	89.87	27.1	3.99	17.32	16.83	47.68	18.73	35.0	9.23	12.72	11.81	11.57	45.28	23.89	43.94	4.33	11.64	14.67	0.0	0.0	0.08	0.0	0.0
Scn1a	0.0	90.66	0.0	0.0	0.0	0.0	164.69	317.03	0.03	0.0	206.25	176.06	211.06	0.23	224.39	267.02	239.85	238.43	242.13	97.3	202.33	176.15	227.08	254.04	313.67	293.52	196.38	337.27	240.23	194.2	254.6	307.26	200.69	148.11	168.6	355.86	235.49	283.85	232.73	309.48	172.76	263.44	247.59	181.34	183.9	152.68	195.71	228.51	151.99	130.34	144.03	191.92	154.67	240.36	147.16	201.02	135.64	174.14	261.02	189.91	221.77	0.0	0.08	0.22	0.13	0.0
Scn8a	3.32	32.03	0.0	0.0	0.0	0.0	85.11	20.57	0.02	0.0	43.59	80.47	27.19	0.11	60.36	56.0	37.8	24.16	49.68	76.27	32.22	47.58	45.92	79.76	96.35	99.5	115.41	60.77	76.4	73.98	66.85	103.08	13.92	39.53	28.69	33.4	97.65	47.76	56.44	68.89	108.22	70.42	106.67	48.67	64.95	68.66	69.2	65.33	74.65	88.97	40.27	65.37	11.47	52.31	33.3	81.6	57.61	58.06	88.43	64.08	81.71	0.0	0.06	1.33	0.0	0.0
Shank1	0.0	19.36	0.0	0.0	0.0	0.0	2.14	6.41	0.0	0.0	3.54	6.21	5.45	0.0	7.7	6.1	4.59	5.28	8.55	7.89	10.16	11.16	4.53	9.36	9.93	5.03	11.41	6.65	5.43	8.18	9.23	4.81	25.04	2.44	8.3	7.15	11.13	8.67	20.3	13.46	3.74	3.07	10.4	8.33	16.4	7.12	6.68	6.21	6.89	13.79	12.1	4.22	4.55	8.02	24.68	6.73	9.56	5.54	7.34	6.61	7.43	0.0	0.0	0.19	0.0	0.0
Slc24a2	0.0	78.59	0.0	0.0	0.0	0.0	331.39	210.82	0.0	0.0	243.89	227.53	155.95	0.28	172.15	150.96	170.46	264.55	154.79	263.46	291.85	226.55	233.37	205.99	283.84	257.24	244.33	203.59	291.39	247.58	266.29	283.6	307.31	131.39	223.98	303.47	284.0	249.74	330.39	341.43	109.47	159.47	299.9	304.97	190.12	171.31	202.85	214.57	191.88	226.68	170.1	167.65	161.6	176.2	200.53	237.91	247.62	168.29	190.94	356.83	269.92	0.04	0.14	0.48	0.05	0.0
Slc30a9	0.0	0.07	0.0	0.0	0.0	0.0	12.03	70.57	0.0	0.0	5.38	60.02	45.15	0.0	20.24	1.84	1.38	34.74	36.07	19.34	3.0	1.42	70.3	53.64	28.01	3.46	15.04	19.09	56.01	30.0	59.59	25.4	0.0	1.42	1.2	9.87	18.59	0.12	65.14	29.93	38.28	37.3	58.15	31.1	67.1	96.65	40.31	68.37	20.99	0.0	3.81	0.12	0.31	8.14	53.85	121.01	19.26	47.78	91.37	58.74	44.58	0.0	0.1	0.11	0.0	0.0
Spock1	0.0	37.24	0.0	0.0	0.26	0.0	49.31	64.53	0.0	0.0	93.16	39.27	32.34	0.38	81.11	60.77	5.34	54.11	59.43	49.93	67.68	107.18	42.25	82.32	56.44	53.54	83.45	80.99	54.35	82.4	53.58	83.2	34.58	17.52	98.9	207.06	50.43	8.29	86.43	85.87	13.2	36.64	109.81	48.31	100.21	16.12	121.12	38.02	9.9	89.21	52.37	36.38	13.98	32.28	85.91	41.38	34.36	87.64	60.07	57.83	77.14	0.0	0.15	0.94	0.0	0.14
Stac2	0.0	0.08	0.0	0.0	0.0	0.0	3.32	92.46	0.0	0.0	48.95	43.08	83.72	0.0	87.67	157.81	0.0	36.59	106.11	174.45	157.44	70.43	69.35	57.41	12.27	36.71	84.15	19.23	54.93	106.5	91.33	54.61	66.39	2.78	81.19	89.47	34.33	2.72	138.47	59.41	42.38	67.28	66.27	66.99	192.17	0.54	44.46	95.0	98.39	192.5	117.14	62.02	145.18	36.46	178.06	3.77	60.03	79.66	4.23	136.82	62.44	0.0	0.0	0.0	0.0	0.0
Stxbp5l	0.0	0.85	0.02	0.0	0.11	0.34	1.96	20.47	0.08	0.07	12.31	9.81	10.49	0.54	7.62	6.15	14.34	2.2	6.22	8.48	0.48	3.42	10.09	14.62	10.32	13.15	24.18	9.82	11.0	20.86	1.15	20.34	4.46	0.82	27.31	1.61	3.37	3.42	29.37	13.09	9.81	6.27	5.24	8.33	33.04	0.07	3.33	8.73	14.63	28.1	3.55	3.42	5.35	12.47	0.17	3.11	12.41	17.84	26.33	6.82	2.55	0.34	0.11	0.22	0.41	0.37
Ubr4	0.0	21.71	0.0	0.0	0.0	0.0	8.67	5.97	0.03	0.0	6.2	8.18	6.75	0.19	8.33	4.34	1.37	2.72	4.86	5.73	13.75	31.1	0.37	14.21	4.29	6.94	20.08	8.5	2.68	15.91	7.69	5.02	0.0	1.46	0.68	8.29	1.97	3.31	39.32	12.48	10.15	13.25	0.02	11.83	17.64	12.8	13.76	8.72	7.97	8.9	0.24	26.28	27.28	6.82	3.04	4.19	1.26	4.06	15.68	27.62	32.95	0.0	0.0	0.25	0.0	0.0
