	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_77	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_69	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_16	Ndnf_tdTpositive_cell_19	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Nr5a1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_78	Rbp4_tdTpositive_cell_174	Rbp4_tdTpositive_cell_175	Scnn1a.Tg3_tdTpositive_cell_100	Scnn1a.Tg3_tdTpositive_cell_101	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30
4930470H14Rik	233.92	88.81	105.69	49.64	745.74	279.72	375.77	407.5	426.02	424.71	757.86	381.32	452.53	366.45	374.12	159.12	171.76	83.72	74.13	56.33	60.44	206.77	216.23	272.71	234.48	143.72	217.77	194.66	147.82	247.22	137.97	245.46	144.41	201.81	68.88	155.44	96.61	207.59	217.87	107.58	233.08	122.31	148.39	210.98	156.07	3611.61	1732.49	3545.84	2987.91	2343.47	4384.64	144.52	260.04	249.2	287.52	499.85	167.7	142.35	186.04	32.93	397.69
4930511M06Rik	56.63	55.67	17.71	57.31	129.83	62.23	90.07	75.64	104.64	127.65	336.06	76.73	72.22	65.07	98.76	47.73	53.31	48.07	59.18	40.33	47.88	60.01	49.84	62.85	45.3	51.9	64.43	46.75	41.15	55.24	58.01	67.27	60.36	50.2	44.34	56.92	63.67	59.51	34.51	48.39	49.39	51.52	49.68	39.16	57.45	220.85	843.64	486.26	1120.28	264.98	429.89	41.49	44.12	55.07	77.6	147.3	43.61	45.32	56.67	34.47	106.81
4930519G04Rik	4.28	1.64	0.39	1.33	6.24	1.54	2.76	1.88	6.77	4.02	8.29	3.12	3.87	4.43	1.37	0.89	0.27	1.44	1.03	0.73	1.16	1.72	1.74	1.7	0.96	1.07	1.84	1.84	3.86	2.51	3.73	1.34	2.14	1.91	1.62	2.3	2.78	1.64	2.4	2.26	0.83	0.59	1.0	1.16	2.11	8.6	26.39	40.41	23.11	7.01	23.33	1.63	2.16	0.34	1.27	5.29	0.52	1.37	0.9	0.94	2.68
4931406B18Rik	0.16	0.56	0.25	0.46	0.78	0.34	0.67	2.12	0.15	1.84	2.0	0.99	0.64	0.92	0.95	0.34	0.22	0.36	0.29	0.34	0.27	0.46	0.81	0.85	0.36	0.0	0.07	0.63	0.3	0.13	0.88	0.37	0.55	0.77	0.28	0.15	0.33	0.91	0.21	0.31	0.16	0.13	0.32	0.28	0.29	2.55	10.48	3.09	1.77	2.42	3.02	0.27	0.34	0.29	0.25	1.23	0.43	0.26	0.45	0.26	0.85
4932411L15	121.11	114.26	43.04	104.81	347.87	74.25	163.16	243.22	157.29	368.63	819.82	197.28	171.57	93.53	196.13	123.32	107.82	138.39	89.12	58.19	29.33	122.72	108.86	175.66	93.21	146.85	107.27	94.51	96.47	156.59	64.03	127.76	71.79	99.43	53.73	75.33	101.02	119.31	59.49	98.9	86.15	97.78	68.46	78.46	140.31	1834.81	1918.31	2548.71	1647.3	2171.75	2989.56	66.63	105.9	168.87	79.13	253.43	88.44	69.57	89.25	31.07	221.14
4933421O10Rik	5.12	18.32	0.35	8.67	23.46	8.91	7.32	12.35	13.07	50.48	42.38	12.77	18.23	11.23	29.46	6.99	21.8	8.14	21.5	6.23	6.21	7.72	5.83	8.12	9.62	7.25	10.57	7.59	7.98	7.5	10.78	25.33	7.29	5.18	4.51	35.28	2.81	6.42	4.05	10.08	12.21	6.35	5.98	8.38	16.51	48.04	42.83	36.23	175.8	61.92	86.12	6.16	8.44	14.97	11.58	20.85	5.39	5.18	13.84	1.78	7.56
5430427O19Rik	1.3	1.16	1.04	1.85	13.38	3.07	10.12	5.2	6.59	11.29	13.02	1.22	4.78	5.23	9.04	1.93	0.33	2.12	2.39	2.37	1.16	1.92	2.78	4.04	1.58	2.21	1.65	1.74	4.86	2.22	2.19	1.41	1.63	1.55	1.6	3.25	3.47	5.45	4.57	2.35	2.65	0.68	2.42	2.83	2.86	45.19	68.66	35.38	33.76	29.71	56.94	2.45	3.09	2.14	1.47	11.05	1.47	2.18	1.97	0.77	5.77
5730577I03Rik	17.43	20.07	6.62	19.69	78.22	28.45	34.54	33.73	36.27	46.99	57.98	34.92	24.08	56.09	42.15	10.63	16.42	33.1	17.04	7.35	15.54	19.03	15.2	16.57	14.9	13.74	12.1	17.27	23.79	12.6	35.21	18.64	20.57	16.57	15.41	29.8	21.37	25.22	12.05	17.03	17.46	11.94	14.04	23.08	16.3	81.01	315.07	271.32	397.15	90.32	146.16	14.74	17.5	18.84	21.36	43.16	13.12	12.11	16.38	11.8	22.65
5830416P10Rik	0.89	0.43	0.44	0.39	1.42	1.07	0.57	1.32	0.52	2.41	3.86	0.52	0.74	0.25	1.77	0.46	0.0	0.47	0.25	0.18	0.25	0.64	0.38	0.55	0.29	0.43	1.12	0.62	0.24	0.59	0.76	0.44	0.47	0.28	0.3	0.7	0.39	0.74	0.12	0.57	0.43	0.25	0.23	0.22	0.59	2.77	10.2	3.29	6.32	4.22	4.92	0.23	0.21	1.43	0.41	0.6	0.27	0.48	0.09	0.67	0.94
6030422M02Rik	33.2	41.14	6.71	37.57	123.29	43.89	102.1	81.88	58.7	105.83	189.92	48.36	59.9	54.92	51.26	33.66	25.95	30.44	33.18	11.58	25.47	31.36	29.85	38.33	26.53	27.92	48.94	23.16	25.83	32.39	73.56	35.22	34.54	25.24	19.3	43.54	42.49	27.23	25.49	26.42	30.56	29.62	27.4	26.38	29.97	196.47	452.6	223.49	544.11	214.24	353.22	22.97	26.47	67.01	45.63	126.67	32.74	27.01	24.39	35.9	84.08
9530091C08Rik	2.41	5.82	0.65	3.5	28.99	28.28	8.06	6.5	33.61	121.2	10.6	6.3	25.8	4.77	5.73	2.36	17.95	5.46	1.69	1.05	3.1	4.4	2.49	5.06	3.23	2.47	2.9	4.03	3.37	3.25	32.06	4.35	4.15	2.9	1.29	24.49	1.01	5.56	4.89	3.05	3.37	3.61	1.71	3.62	4.3	74.06	59.64	25.58	47.17	154.54	120.6	1.73	3.41	4.59	1.95	5.55	2.37	1.91	1.12	0.77	125.5
9930111J21Rik1	2.67	4.39	1.0	2.77	12.68	5.38	8.84	1.72	10.63	19.47	17.11	12.44	5.49	10.68	5.51	6.1	3.23	2.75	1.96	1.59	2.39	4.17	5.11	7.01	6.69	4.04	3.86	1.81	3.42	4.99	7.34	2.1	3.89	3.79	4.54	5.79	4.66	3.68	2.04	2.49	3.4	8.47	4.16	6.36	5.93	32.93	78.99	112.7	69.73	115.77	80.2	2.96	3.21	7.53	10.28	10.08	4.37	3.26	2.67	1.19	21.81
A130077B15Rik	558.5	524.03	141.7	542.54	1504.15	572.04	810.67	701.44	1045.7	1547.04	2924.68	1001.49	783.32	830.01	968.94	402.29	535.33	532.83	545.15	322.88	364.45	579.67	417.26	556.55	397.77	476.41	531.84	433.71	471.19	482.27	650.06	586.54	562.4	536.66	406.97	761.56	619.65	516.55	422.67	424.51	523.23	416.52	430.95	401.61	545.8	3476.76	7242.78	6952.85	10885.52	4044.56	5209.27	370.24	510.09	571.93	563.96	1047.43	391.99	469.48	461.81	275.1	848.73
A330032B11Rik	16.36	31.37	5.07	22.63	44.84	18.86	23.26	31.74	27.2	64.24	107.18	21.03	22.44	29.64	28.32	8.41	19.15	14.1	32.44	14.14	11.81	16.11	16.07	31.2	10.74	18.94	14.44	8.54	11.39	12.45	21.69	14.38	19.26	25.9	10.9	22.07	19.64	19.91	11.73	12.7	16.63	17.05	14.95	8.85	15.79	67.13	225.78	148.0	277.55	106.23	167.41	12.71	15.16	72.79	13.51	34.37	25.64	17.05	10.61	9.51	44.89
A430107P09Rik	24.98	38.81	7.27	31.83	110.29	47.61	55.3	89.36	52.61	131.11	170.16	51.77	48.18	48.18	59.45	18.02	52.55	26.53	40.96	23.2	19.18	36.35	26.24	60.18	23.3	22.18	33.44	23.36	24.1	31.14	33.3	25.15	29.25	33.23	21.89	47.89	42.55	35.68	41.06	34.24	35.75	22.72	32.01	26.0	41.21	222.11	560.09	428.86	662.58	435.22	225.32	26.73	21.28	34.74	30.31	119.46	25.51	27.0	19.45	18.4	70.34
A630075F10Rik	7.24	10.86	1.51	6.2	36.55	6.03	7.76	19.83	18.14	32.44	32.23	9.43	14.03	10.78	11.58	7.09	5.76	6.07	4.48	4.99	6.59	4.33	7.74	9.12	4.43	6.72	10.4	4.0	2.61	9.14	6.33	6.91	9.47	7.77	4.21	15.25	3.92	8.36	6.97	6.24	10.26	7.91	7.02	8.21	8.66	65.6	74.35	38.23	179.33	129.53	83.53	6.42	6.67	5.32	6.01	27.42	5.1	3.91	6.25	0.8	22.15
A630089N07Rik	320.2	256.77	109.54	208.79	765.34	343.67	392.66	452.58	442.74	813.72	1658.28	420.07	421.92	509.12	542.64	250.09	217.9	249.28	277.12	132.98	201.77	307.14	260.74	369.88	238.37	225.76	280.09	228.81	320.41	315.65	259.78	243.08	261.79	255.2	206.36	347.86	232.85	387.18	216.27	224.28	278.7	238.13	252.1	288.13	283.84	2593.5	3936.75	4003.08	5145.26	3498.09	3904.5	158.33	223.88	396.46	210.6	665.09	145.81	181.89	165.04	80.65	569.33
A730017L22Rik	41.07	52.82	14.06	39.23	127.58	57.82	53.61	98.82	77.66	130.6	268.99	95.54	63.17	69.68	65.21	36.03	39.35	78.2	79.48	33.93	32.86	45.86	38.28	93.05	74.04	43.07	44.68	36.03	30.46	52.78	33.34	43.81	44.34	38.03	27.23	105.22	41.88	41.3	34.32	48.52	41.41	31.32	36.97	22.34	33.21	298.76	620.72	736.13	740.9	444.89	390.84	36.31	38.17	55.07	37.08	133.83	38.47	29.61	25.67	22.85	63.01
AU023762	2.34	5.05	0.6	3.58	9.2	4.47	5.99	8.48	3.65	11.48	16.46	8.91	3.55	7.12	5.55	2.92	2.51	2.05	2.45	1.36	2.92	3.66	3.18	3.67	2.23	2.68	4.67	4.51	2.02	2.68	3.64	4.34	4.81	3.73	2.28	2.43	2.7	4.78	1.89	2.39	3.61	3.06	2.55	2.91	1.95	23.22	55.52	40.49	81.53	25.14	39.27	2.37	2.42	9.0	2.2	8.15	3.86	2.62	3.28	1.56	10.07
Acad9	56.48	26.32	13.05	26.47	115.27	33.1	95.12	67.13	70.09	104.68	223.15	123.56	58.55	45.07	41.2	33.28	23.41	35.94	22.39	83.09	30.8	36.82	69.14	21.57	54.16	33.72	92.72	27.42	27.68	44.87	42.7	22.06	43.32	39.26	54.54	57.24	44.08	28.13	47.51	31.19	29.16	42.47	18.0	35.88	42.5	285.71	694.94	615.8	499.88	436.22	346.98	18.57	22.4	54.91	33.54	92.91	15.83	20.04	20.98	30.33	66.56
Acmsd	3.8	3.28	4.8	2.46	10.7	3.96	3.67	14.86	4.88	8.93	16.74	4.95	2.26	10.21	5.42	2.02	2.63	1.85	2.07	2.29	1.91	4.08	2.85	6.0	2.92	5.13	4.24	4.16	3.77	3.35	5.01	2.39	1.88	2.83	2.67	3.18	2.69	3.51	2.05	1.38	3.42	4.04	3.29	2.28	5.17	20.54	113.57	42.77	47.99	22.93	27.46	1.66	2.19	9.72	2.44	7.24	2.76	5.03	8.41	1.49	1.03
Acnat1	8.79	4.94	6.34	7.21	21.59	9.94	18.28	26.86	11.77	46.81	66.39	18.39	14.34	17.62	22.61	6.61	9.99	9.52	9.39	7.11	6.17	12.86	7.71	7.44	5.38	9.24	11.4	9.04	10.48	7.39	9.46	11.18	7.73	10.63	6.72	14.54	5.94	17.75	6.56	8.62	12.52	5.66	9.81	8.95	8.42	48.95	115.76	124.44	202.55	61.34	89.8	4.96	7.24	23.93	9.7	29.29	7.0	6.31	6.12	4.91	15.62
Acsm2	0.83	0.42	0.15	0.36	1.73	0.67	0.64	0.87	1.0	1.62	1.94	1.96	1.13	0.99	1.32	0.54	0.58	0.17	0.6	0.17	0.1	0.32	0.47	0.94	0.2	0.62	0.88	0.38	0.3	0.27	1.06	0.65	0.4	0.55	0.2	1.18	0.45	1.02	0.44	0.18	0.45	0.67	0.55	0.89	0.39	8.04	12.84	4.71	18.5	5.1	11.9	0.61	0.4	0.61	0.53	0.72	0.79	0.58	0.2	0.32	1.7
Adam28	1.34	0.76	0.39	1.1	5.06	1.39	2.12	1.09	1.18	5.97	3.03	1.83	2.1	1.73	1.77	0.53	0.33	1.44	1.29	0.81	1.07	1.19	1.19	3.36	0.69	0.74	0.27	1.16	2.11	2.02	2.06	1.65	1.56	2.56	1.3	1.41	2.49	1.79	0.87	0.59	1.09	0.75	1.27	1.32	0.86	10.22	26.0	28.28	35.08	5.57	9.23	1.09	1.79	2.58	0.78	4.41	0.75	1.46	1.06	0.64	2.13
Alox8	4.24	8.69	2.37	6.33	12.22	5.93	5.08	8.28	6.65	16.98	218.84	25.5	7.55	16.28	13.51	3.64	6.8	2.6	5.75	5.29	5.09	6.36	9.45	6.13	4.56	4.2	7.71	8.15	2.97	4.26	8.15	7.7	6.35	7.22	2.89	9.85	9.71	6.27	4.52	3.35	4.39	2.54	4.76	5.65	6.04	39.73	105.73	51.97	102.45	23.37	44.46	5.15	7.11	12.58	5.46	12.4	4.15	4.2	2.34	1.87	8.22
Aqp7	2.96	3.13	1.74	1.63	6.22	3.14	2.93	2.18	3.47	9.1	8.32	2.79	3.78	3.95	4.07	1.63	1.79	1.32	1.56	1.66	1.91	6.44	1.41	1.99	1.3	1.59	1.81	2.02	2.15	2.86	5.29	1.95	1.46	2.29	1.05	1.15	1.76	1.73	1.83	2.18	3.72	2.29	1.76	2.06	2.05	20.36	34.86	41.39	38.54	17.71	28.85	2.12	1.99	2.67	1.4	4.86	2.12	3.25	2.75	0.96	2.63
Atp10b	0.0	0.19	0.08	0.12	0.98	0.11	0.05	0.24	0.08	0.0	0.79	0.16	0.15	0.17	0.7	0.02	0.15	0.1	0.05	0.12	0.11	0.05	0.06	0.09	0.07	0.09	0.06	0.09	0.06	0.0	0.68	0.04	0.1	0.0	0.0	0.12	0.2	0.18	0.0	0.0	0.05	0.08	0.04	0.03	0.07	1.23	1.98	2.78	4.74	3.48	3.84	0.02	0.02	0.08	0.0	0.27	0.09	0.03	0.0	0.06	0.39
B020014A21Rik	14.2	8.43	3.39	9.57	23.91	11.7	12.9	32.13	19.83	35.6	41.27	15.81	10.81	14.66	12.64	8.13	11.73	7.75	8.22	4.81	7.83	6.35	4.78	6.9	8.01	11.22	10.04	3.77	6.84	6.38	16.9	11.4	9.16	5.95	4.79	8.43	5.11	10.53	7.49	5.22	7.39	10.08	8.39	6.21	6.4	37.33	87.16	68.96	167.12	111.59	111.72	9.25	6.13	9.27	8.81	30.73	7.3	5.51	8.84	3.31	17.53
BB283400	0.0	1.41	1.49	0.96	4.19	0.76	3.51	1.34	1.23	1.2	8.05	2.54	1.82	0.78	5.32	0.99	0.77	0.85	0.75	0.29	0.88	1.23	0.2	0.7	2.58	2.86	0.9	0.0	0.81	2.4	1.05	2.31	0.98	0.73	0.75	0.84	0.51	0.58	1.39	1.02	0.21	1.22	0.96	0.76	2.69	3.71	36.38	3.16	38.95	5.45	12.43	0.58	1.81	2.06	0.74	2.17	0.64	0.16	0.66	0.15	0.49
Bbs1	2.57	5.01	2.04	2.22	17.77	23.09	5.85	34.82	6.29	14.88	10.95	11.18	8.35	21.59	9.65	1.53	1.72	2.58	2.35	1.39	0.77	4.27	1.97	3.22	1.13	3.78	2.77	2.08	2.02	3.45	14.31	2.07	2.43	4.26	3.85	3.29	4.92	2.21	2.38	3.36	4.91	3.96	1.93	2.79	1.37	27.03	54.02	29.63	42.62	32.12	12.1	1.74	2.75	2.03	2.99	4.83	2.36	2.35	2.03	1.62	4.95
Brip1	2.76	5.64	0.99	5.66	8.01	5.27	4.99	10.86	8.17	15.55	16.03	4.84	6.49	6.11	6.51	3.52	2.94	3.72	2.6	1.96	2.67	3.6	2.75	3.52	3.23	3.4	2.94	3.34	2.95	4.26	4.73	4.62	2.17	3.87	2.65	3.7	2.2	4.17	3.57	3.03	3.1	4.02	2.64	4.08	3.78	20.44	53.46	64.81	78.81	19.43	33.52	1.87	3.45	4.17	3.26	6.91	4.36	4.46	2.82	2.08	6.39
Btbd16	9.88	8.94	3.66	6.74	32.99	6.81	15.82	15.14	30.27	29.99	45.01	20.77	16.94	8.77	15.97	5.42	8.04	6.46	7.81	6.03	6.35	6.75	5.94	8.49	11.08	9.07	12.01	6.63	8.51	8.94	12.87	6.69	7.63	8.45	6.57	17.63	6.6	11.84	6.61	7.89	10.39	9.47	5.44	8.22	10.76	75.83	148.6	80.39	145.4	95.79	46.06	5.33	6.98	12.45	7.68	24.74	7.33	3.11	8.28	2.41	27.45
Btnl2	0.0	0.0	0.0	0.0	0.28	0.07	0.0	0.0	0.44	0.35	0.38	0.0	0.48	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.12	0.09	0.01	0.0	0.0	0.0	0.09	0.0	0.09	0.13	0.0	0.0	0.11	0.07	0.0	0.05	0.0	0.0	0.0	0.06	0.09	0.0	1.12	1.93	4.87	4.67	2.41	1.51	0.0	0.0	0.13	0.0	0.21	0.0	0.0	0.0	0.0	0.32
C330024D21Rik	20.19	8.94	8.35	20.22	55.16	23.82	20.91	35.84	39.1	51.44	109.61	27.66	32.78	15.79	28.5	7.83	7.46	17.84	14.61	6.34	13.89	14.11	19.05	17.23	15.11	22.08	26.74	13.33	15.36	15.86	23.71	9.27	8.43	9.83	6.46	20.92	22.81	16.54	16.84	23.75	19.11	12.51	10.42	22.56	23.22	158.92	357.88	223.03	322.05	101.54	110.81	18.3	13.38	28.94	15.91	68.8	9.16	17.64	7.14	9.55	14.11
C920009B18Rik	1.42	1.1	0.59	0.18	3.33	1.55	0.92	0.39	1.4	8.7	7.57	1.38	0.69	0.57	2.06	0.61	0.62	0.99	0.33	1.41	0.36	0.79	0.6	1.31	0.95	1.41	0.89	0.22	0.52	0.82	0.34	0.75	1.46	0.92	1.61	1.01	0.36	0.44	1.02	0.43	0.74	0.52	0.21	0.62	0.85	11.85	11.53	23.16	28.58	16.92	13.24	0.63	0.41	1.89	0.68	3.0	0.51	0.46	0.19	0.63	1.86
Car5b	1.93	1.31	0.59	3.0	3.25	1.37	1.79	3.15	1.65	3.83	9.34	4.14	3.65	3.68	3.31	1.29	1.79	1.38	2.24	1.02	1.69	1.78	1.16	2.24	1.84	1.51	1.35	1.49	1.43	1.2	1.93	1.9	1.5	2.12	1.31	2.61	2.47	1.25	1.77	2.17	2.21	1.85	1.06	1.68	1.41	14.12	36.15	27.35	31.65	15.61	18.29	1.31	2.08	2.26	1.42	4.15	1.73	2.33	0.93	0.57	2.62
Ccdc78	2.1	2.05	0.33	1.36	8.31	2.57	3.43	4.09	5.14	5.48	10.02	1.07	5.31	8.68	6.75	1.6	2.46	2.22	2.61	2.42	1.96	4.6	1.85	2.08	3.97	3.55	3.51	3.82	2.84	7.68	8.05	1.31	2.52	3.08	1.7	5.2	3.27	1.08	1.53	0.94	0.95	2.81	1.12	4.1	1.49	8.89	50.92	10.72	44.08	14.62	10.08	0.99	1.48	2.65	4.46	6.69	1.63	1.61	1.43	1.87	4.5
