	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_6	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_49	Htr3a_tdTpositive_cell_1	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_44	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_31	Rbp4_tdTpositive_cell_165	Rbp4_tdTnegative_cell_18	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_72	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_96	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_16	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Ccl9	1.72	1.16	0.24	0.31	1.27	0.0	0.55	0.23	2.51	0.43	0.31	0.15	0.83	0.0	0.97	0.23	0.26	0.25	0.58	0.43	0.11	0.86	0.52	0.76	0.55	0.28	0.49	0.0	0.4	1.12	0.32	0.91	0.64	0.68	0.96	0.86	0.63	0.0	1.37	0.45	0.39	1.21	0.7	0.18	0.37	0.5	0.58	0.25	1.21	0.93	0.76	0.81	0.39	0.6	0.62	0.86	4.54	0.48	1.3	0.75	0.29	0.0	0.31	0.97	0.93	0.0	0.9	0.7	0.46	0.43	0.7	0.23	1.15	2.14	2.2	2.26
Cd2ap	0.0	0.0	0.0	0.29	0.0	0.0	43.04	0.04	6.44	0.0	3.72	0.09	40.98	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.45	6.79	0.0	0.0	0.32	0.07	9.35	0.0	0.0	20.26	0.77	0.0	0.0	0.0	0.0	0.44	0.0	0.1	0.3	16.45	0.04	0.0	0.2	0.0	0.0	0.0	0.0	4.28	0.56	0.0	0.0	0.04	0.0	2.8	0.16	56.64	0.0	28.07	0.0	0.05	0.0	2.73	2.89	4.65	4.83	6.75	1.37	0.05	2.99	2.79	2.65	4.9	16.43	12.39	15.98
Celsr2	10.52	11.94	13.23	9.91	0.0	0.0	8.34	13.22	73.26	5.79	0.02	0.57	0.57	0.0	0.98	2.95	6.19	9.26	4.46	2.54	4.87	2.24	13.68	0.46	1.88	7.32	0.57	11.46	14.38	3.93	0.64	0.93	10.36	20.95	0.11	1.86	2.42	4.46	20.5	0.0	5.52	6.61	16.83	6.14	10.45	9.19	6.28	0.56	18.79	10.88	0.0	0.08	12.33	9.78	0.25	3.18	25.84	11.15	2.01	0.69	4.87	0.0	17.32	8.7	6.09	11.54	20.02	19.69	8.69	15.36	14.23	14.01	13.58	73.45	73.3	82.99
Chrm1	1.59	5.47	0.75	0.96	0.17	0.0	31.01	8.7	6.08	4.18	0.21	2.07	2.09	0.0	0.51	0.35	0.99	0.45	7.98	1.26	0.76	0.44	3.76	1.18	1.75	0.98	1.12	1.23	1.33	1.68	1.65	2.53	7.59	0.54	0.54	1.29	1.15	1.22	1.73	1.74	0.79	0.61	0.89	1.27	0.63	1.0	0.44	1.15	14.87	15.76	0.37	1.68	1.06	8.9	4.16	0.6	5.59	0.55	1.44	0.96	0.84	0.3	22.68	13.93	20.17	15.88	11.41	21.56	17.3	15.88	13.36	22.61	15.72	75.01	77.79	71.99
Coq10a	13.56	59.82	0.0	0.11	0.0	0.0	36.65	0.0	127.03	20.52	44.62	0.0	21.95	0.0	19.7	0.15	0.03	0.0	0.0	0.0	0.04	12.15	31.42	0.0	13.66	0.0	0.0	0.36	0.63	0.0	21.14	20.76	0.0	0.0	0.12	1.42	23.48	0.0	71.18	47.3	0.0	0.0	21.1	23.95	0.0	0.0	0.0	13.61	12.5	5.9	0.0	0.0	0.0	0.13	0.0	46.47	87.04	0.0	10.81	0.0	41.15	0.0	17.88	18.89	5.22	11.34	15.23	9.98	8.87	13.71	11.09	13.48	16.38	27.62	29.36	27.88
Ctxn1	0.0	13.42	0.0	2.9	0.0	0.0	30.75	55.77	0.0	31.4	12.72	16.03	25.26	0.0	1.41	4.92	0.2	28.78	0.28	4.01	0.0	43.3	0.0	0.0	9.46	0.0	17.99	4.55	7.43	0.9	0.0	0.0	7.57	66.4	0.99	3.52	4.22	0.91	1.01	0.0	0.0	0.0	1.63	0.24	78.11	28.36	41.04	0.0	152.01	309.34	0.0	6.25	31.44	10.18	2.7	47.22	109.7	22.46	2.29	6.97	0.0	0.0	156.78	227.39	387.59	352.3	258.53	367.77	155.52	384.67	74.32	253.11	253.46	635.52	680.06	633.26
Cyfip2	37.94	87.47	71.29	30.96	0.0	0.0	80.97	117.63	303.34	27.83	104.31	67.63	74.6	0.0	54.29	58.35	24.81	16.92	100.73	85.5	95.11	6.91	24.39	151.67	49.0	79.38	68.48	35.33	20.73	1.94	15.01	110.76	49.32	79.11	10.43	38.08	67.53	46.51	0.04	107.71	27.51	44.87	24.06	45.37	25.55	75.95	37.6	53.35	131.11	73.96	0.0	8.8	26.48	115.8	93.4	55.53	118.15	85.46	78.26	97.5	80.25	0.06	112.93	94.82	144.01	115.81	119.07	118.03	113.41	114.39	125.07	100.47	126.43	420.97	405.91	440.68
Ddt	36.35	168.41	78.82	0.0	0.0	0.0	158.73	206.17	0.0	32.35	0.36	128.75	11.17	0.0	28.05	23.43	47.56	0.0	46.29	0.0	68.79	63.67	69.81	31.35	7.33	57.8	64.68	19.85	38.27	0.76	13.5	189.2	157.38	56.91	0.0	118.83	29.86	99.88	0.0	0.0	0.0	0.0	37.5	0.0	0.0	0.0	0.0	107.03	96.92	99.13	0.0	33.09	35.76	77.25	0.0	49.05	418.34	0.0	55.62	114.44	109.08	0.0	128.87	50.94	70.86	145.46	77.38	40.32	56.89	109.31	56.8	59.26	43.78	52.75	56.26	51.12
Dgcr8	0.0	34.46	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.0	17.78	9.6	0.0	13.37	0.0	0.0	0.0	17.53	1.62	1.09	0.0	9.92	0.45	62.62	0.0	0.0	0.0	0.0	0.0	11.06	0.0	24.91	0.0	0.0	0.0	24.36	0.0	0.0	34.4	0.0	35.21	0.0	8.38	6.38	0.15	0.0	0.0	31.96	0.0	0.0	74.52	0.0	3.28	0.0	0.3	0.0	16.53	12.85	16.43	8.88	12.83	6.46	5.01	5.48	5.2	8.34	12.77	25.08	23.04	22.09
Dock8	0.08	9.31	0.0	0.13	0.0	0.0	0.3	0.35	0.31	0.09	0.04	0.0	0.0	0.0	0.0	0.09	0.02	0.05	0.15	0.19	0.01	0.2	0.0	0.08	0.03	0.0	0.05	0.04	0.07	0.33	0.04	0.09	0.6	0.07	0.07	0.15	0.05	0.21	0.07	0.12	0.1	0.08	0.14	0.04	0.21	0.07	0.12	0.14	0.07	0.26	0.0	0.19	0.09	0.35	0.11	0.14	0.28	0.03	0.0	0.11	0.0	0.0	0.18	0.05	0.17	0.04	0.23	0.11	0.13	0.09	0.15	0.17	0.09	2.6	1.85	2.05
Efnb3	0.0	0.0	10.4	13.84	0.0	0.0	0.0	0.0	0.0	16.73	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.38	0.0	0.0	0.0	19.48	15.03	0.13	13.66	0.0	13.69	0.0	0.15	0.0	9.21	10.88	20.21	0.0	19.0	0.0	0.0	0.46	8.34	1.29	6.98	25.48	0.0	0.0	0.0	0.0	4.26	527.07	0.89	0.28	0.0	0.0	0.0	38.26	0.0	6.78	11.0	0.0	0.0	2.86	5.11	7.57	3.14	5.02	4.71	0.48	2.22	2.5	6.08	3.77	76.88	82.78	80.5
Egr1	0.0	0.0	3.11	54.72	0.0	0.0	0.06	3.55	24.34	61.64	0.0	0.0	0.09	0.0	0.05	23.83	1.8	1.94	0.32	0.65	0.33	6.52	0.0	0.1	13.69	55.92	0.0	38.31	0.0	0.0	0.09	0.0	44.27	0.0	0.0	0.0	0.23	0.0	1.11	0.0	0.0	0.0	1.8	0.0	0.18	53.25	0.0	4.01	38.9	64.94	0.2	0.0	108.72	58.55	0.1	20.46	71.79	22.71	2.66	3.55	5.1	0.49	179.35	296.9	295.38	176.4	108.61	233.19	153.16	125.77	136.69	143.93	168.7	374.95	320.45	189.48
Ehbp1l1	9.18	45.16	0.76	1.71	1.37	0.0	1.52	1.17	5.15	1.84	1.32	3.17	2.89	8.42	13.46	20.85	2.18	1.66	1.43	3.16	0.73	1.07	1.13	1.17	11.88	1.54	2.78	11.56	0.53	2.85	0.9	1.92	28.15	4.63	0.83	1.52	2.91	8.22	2.83	2.47	2.67	1.31	2.28	2.0	2.14	2.55	1.57	1.68	14.04	14.74	1.22	14.17	1.09	2.31	1.6	14.27	46.36	3.99	1.7	3.1	0.88	0.18	8.96	2.3	3.16	6.29	10.14	13.84	3.2	3.81	4.77	4.55	5.98	16.25	17.76	17.77
Enox	0.88	1.39	1.04	30.99	0.29	0.0	1.07	1.48	1.54	0.58	0.42	1.85	0.84	0.0	0.37	1.76	1.09	0.55	0.19	1.15	0.54	0.87	0.54	0.92	0.87	0.9	1.02	2.16	0.51	0.32	0.75	2.26	1.11	0.86	0.48	1.37	1.44	0.87	1.78	1.2	1.08	0.3	1.49	1.33	1.22	2.7	1.41	0.96	2.43	2.64	0.29	0.59	1.02	3.72	0.69	0.75	2.76	2.43	0.72	1.2	0.32	0.28	3.11	2.13	1.92	1.64	1.96	1.56	2.79	1.38	1.5	2.58	2.03	5.72	4.12	4.5
Ercc6	4.93	0.58	0.57	0.15	3.19	0.0	0.27	0.44	0.25	0.0	0.32	0.15	0.32	0.0	0.09	0.49	0.08	0.03	3.47	2.43	5.6	0.31	10.5	0.2	0.08	0.2	25.59	0.11	8.38	0.08	0.63	0.23	0.43	21.07	0.24	4.85	0.2	16.76	14.1	8.7	1.15	10.02	13.79	9.58	8.58	1.81	14.96	8.4	3.31	6.49	0.0	0.75	5.76	0.1	0.1	0.5	35.57	0.14	0.0	0.0	1.66	0.06	4.1	2.81	13.06	8.76	0.77	4.05	1.74	0.8	5.95	4.41	4.94	13.65	12.36	12.6
F730035M05Rik	2.12	2.42	2.25	0.61	0.0	0.0	3.19	2.97	3.0	0.0	3.07	1.56	0.0	0.0	0.35	0.34	0.79	0.54	0.85	3.01	0.89	1.17	0.61	2.37	2.61	0.98	2.07	2.12	1.01	1.29	0.0	1.1	1.31	4.5	0.57	0.0	0.0	0.32	4.04	1.16	1.31	0.7	0.89	1.92	0.41	1.38	0.26	1.52	4.03	2.07	4.43	0.36	2.27	3.69	2.26	1.68	8.8	0.35	0.47	3.75	0.33	0.0	1.31	2.5	3.43	0.59	1.02	3.55	1.04	1.98	1.47	0.78	1.94	1.33	1.57	2.58
Fam160a2	0.8	0.03	0.0	12.37	0.0	0.0	22.89	0.35	0.46	0.0	0.0	27.66	4.16	0.0	0.18	0.01	0.06	0.06	0.03	1.84	4.54	0.15	4.46	19.81	0.06	0.0	0.08	0.0	0.0	5.25	0.22	0.0	0.0	0.11	0.0	0.06	4.87	15.5	0.03	0.0	2.46	0.08	0.04	0.0	0.0	12.83	0.0	1.18	6.78	9.85	0.0	0.0	7.61	0.0	10.16	0.44	55.01	0.0	15.21	0.0	9.23	0.79	4.99	2.49	5.21	4.71	6.9	2.55	1.16	7.36	5.33	5.03	6.6	24.28	25.16	25.64
Fggy	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	1.15	0.0	36.18	118.82	22.8	0.0	0.0	0.0	47.69	0.11	0.0	4.25	96.75	0.0	0.0	0.0	0.0	0.0	0.0	0.13	3.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.98	22.36	0.0	46.35	70.25	112.83	0.16	0.59	229.8	0.0	55.08	0.0	60.62	0.2	40.57	11.47	10.01	7.58	0.64	15.63	7.58	4.88	16.57	17.6	17.61	11.8	11.85	11.59
Gas7	6.59	92.18	8.02	2.62	0.0	0.0	11.19	38.14	138.18	12.9	44.17	68.02	5.17	0.0	12.61	5.66	3.27	1.68	2.26	0.19	12.46	47.41	22.17	15.54	22.56	0.39	18.69	32.09	85.43	44.78	2.21	16.04	77.6	106.66	0.79	15.85	19.0	1.19	25.31	0.0	0.29	14.51	0.91	15.07	22.75	23.34	4.58	0.92	35.61	30.92	0.0	9.6	0.23	81.47	13.92	23.62	58.29	1.75	2.82	31.12	0.01	0.0	120.27	111.56	121.57	103.42	129.82	137.35	113.85	133.52	518.4	524.85	524.32	186.15	181.08	185.5
Gm11549	0.15	0.3	1.04	0.06	0.0	0.0	0.0	0.17	0.88	0.26	0.16	0.0	0.02	0.0	0.07	0.45	0.16	0.0	0.16	0.12	0.29	0.05	0.2	0.27	0.0	0.77	0.17	0.0	0.0	0.0	0.26	0.3	71.06	0.4	0.36	0.28	0.1	0.1	0.0	0.0	0.0	0.1	0.22	0.21	0.22	0.61	0.47	0.02	86.54	91.12	0.26	0.0	0.19	0.71	0.23	0.1	1.1	0.3	0.19	0.0	0.72	0.0	196.21	265.02	295.39	230.28	252.75	155.72	165.14	194.39	236.96	244.21	213.97	31.51	32.7	35.16
Gm13306	0.0	0.14	0.0	8.68	0.0	0.0	0.0	11.32	0.0	0.0	0.0	17.1	0.0	0.0	1.46	0.3	0.03	0.0	1.74	0.0	0.0	0.0	7.16	0.58	0.0	0.0	5.37	0.27	0.0	1.98	0.0	0.0	4.8	0.0	2.47	0.77	0.0	0.0	3.46	0.29	0.0	2.79	1.65	1.9	0.13	2.24	8.48	4.31	29.61	40.26	0.0	0.0	4.89	46.94	1.61	0.0	4.36	0.0	7.83	4.62	1.88	0.0	164.03	114.56	132.22	125.27	74.98	103.08	54.7	62.2	61.27	76.52	71.98	30.63	28.29	22.96
Gm2506	0.0	0.14	0.0	8.68	0.0	0.0	0.0	11.32	0.0	0.0	0.0	17.1	0.0	0.0	1.46	0.3	0.03	0.0	1.74	0.0	0.0	0.0	7.16	0.58	0.0	0.0	5.37	0.27	0.0	1.98	0.0	0.0	4.8	0.0	2.47	0.77	0.0	0.0	3.46	0.29	0.0	2.79	1.65	1.9	0.13	2.24	8.48	4.31	29.61	40.26	0.0	0.0	4.89	46.94	1.61	0.0	4.36	0.0	7.83	4.62	1.88	0.0	164.03	114.56	132.22	125.27	74.98	103.08	54.7	62.2	61.27	76.52	71.98	30.63	28.29	22.96
Gpam	0.0	23.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.14	0.0	0.0	0.0	0.0	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0	16.88	0.0	2.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.03	0.05	0.0	0.0	0.0	0.0	0.92	4.09	0.0	0.18	0.08	3.65	0.0	0.0	0.77	0.63	0.45	36.95	35.26	40.28
Gps2	5.39	0.0	0.0	2.24	0.0	0.0	0.0	0.0	83.18	56.41	1.04	6.36	0.0	0.0	70.09	0.31	3.22	0.0	0.14	9.98	0.0	27.18	34.93	0.0	0.0	37.23	0.0	35.6	37.09	0.0	0.0	64.3	0.0	0.0	0.0	0.0	54.77	0.0	0.0	0.0	0.21	0.0	5.62	73.34	0.0	0.0	0.38	0.0	12.24	11.67	0.0	79.64	0.0	28.14	0.0	0.0	122.31	53.86	0.0	158.28	0.15	0.0	22.44	34.39	30.18	11.96	33.62	40.13	8.91	20.18	15.34	20.29	22.23	29.19	30.46	29.64
Homer1	0.0	1.58	20.13	0.06	0.0	0.0	30.81	19.89	106.44	0.0	53.76	46.09	0.0	0.0	0.0	0.18	1.64	0.29	0.24	48.91	2.86	0.03	7.96	1.79	0.07	7.48	32.11	0.73	0.0	26.51	19.39	0.0	7.18	33.29	1.13	27.36	0.0	0.0	0.0	5.78	0.0	0.0	15.87	0.0	34.09	16.97	0.0	2.27	89.32	75.85	0.0	9.8	38.81	80.06	0.0	16.63	21.8	18.15	0.15	26.2	0.04	0.0	128.6	117.31	125.65	91.38	75.54	92.96	59.97	57.85	83.5	55.45	61.95	109.75	88.93	100.72
Hsd17b4	0.0	1.09	0.77	0.0	0.0	609.15	0.0	26.38	57.34	46.5	0.0	0.19	0.0	0.0	0.0	0.14	14.36	0.62	0.06	0.05	12.4	14.43	33.87	0.0	30.7	0.14	0.0	71.73	1.18	0.0	0.0	27.23	82.28	0.0	5.01	19.11	129.28	0.08	104.83	0.0	39.22	60.92	0.0	47.14	56.07	40.0	0.0	10.85	45.45	16.98	0.0	31.6	11.68	83.02	46.57	59.31	220.59	82.94	46.98	0.0	0.0	0.0	27.38	49.08	27.31	55.26	55.32	32.49	13.17	19.68	65.92	39.88	37.52	52.85	51.35	47.9
