	Cux2_tdTnegative_cell_6	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_73	Nr5a1_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_28	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_31	PvalbF.Gad2_tdTpositive_cell_33	PvalbF.Gad2_tdTpositive_cell_35	PvalbF.Gad2_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_88	PvalbF.Gad2_tdTpositive_cell_90	Rorb_tdTpositive_cell_24	Scnn1a.Tg3_tdTpositive_cell_108	Slc17a6_tdTpositive_cell_11
mt_AK131578	14857.05	16762.8	8513.15	12153.04	21769.91	6075.87	13770.07	7051.05	13856.24	10103.99	12030.5	10380.84	11470.13	4020.2	3606.44	3127.29
mt_AK131579	55662.18	73067.83	55281.42	56311.06	94403.3	32259.57	60705.47	30389.16	56120.42	45312.1	46620.23	59803.41	51796.42	10958.39	11957.36	10396.74
mt_AK131587	1372.69	3019.3	1588.56	1637.67	2697.07	1266.43	2155.32	949.31	2411.97	1628.72	1401.06	1953.11	1363.31	202.51	387.31	181.57
mt_AK131588	4636.39	5045.18	6506.78	3636.4	8191.88	270.05	3162.45	1063.26	2069.56	1369.64	2049.73	5179.24	3048.04	1393.83	681.14	1004.24
mt_AK131591	263.79	70.36	292.07	248.83	563.74	45.65	52.3	0.0	34.56	20.67	31.08	64.88	23.65	2.68	0.0	0.0
mt_AK131866	6005.42	10981.38	7073.32	6720.08	13378.95	6000.85	9529.06	5085.24	8705.53	6476.53	7375.78	10475.6	6973.58	1424.71	2185.98	1695.04
mt_AK132015	6586.18	11869.87	6129.44	6636.2	12410.34	5566.25	9933.94	4157.77	10889.61	6360.73	6412.84	9572.18	7992.08	1263.25	1303.75	1375.29
mt_AK132098	6586.18	11869.87	6129.44	6636.2	12410.34	5566.25	9933.94	4157.77	10889.61	6360.73	6412.84	9572.18	7992.08	1263.25	1303.75	1375.29
mt_AK138272	1205.18	1411.74	1424.98	878.82	1835.07	831.59	1298.13	677.01	1026.64	560.76	706.04	506.1	903.96	61.48	275.59	139.93
mt_AK138995	1584.32	2014.05	1159.05	1112.84	3119.18	597.6	1835.41	814.22	1279.97	1085.53	1304.54	863.32	1264.46	590.15	436.46	255.35
mt_AK138996	11219.41	3559.99	8864.81	9953.01	17721.28	2260.72	4597.54	2209.98	2216.72	3501.86	3358.17	1495.68	2091.01	396.3	1087.61	1201.77
mt_AK139029	4254.71	4524.53	4260.06	4229.62	4138.01	2096.7	4605.67	1777.16	3955.28	2274.34	3080.68	3807.7	4635.83	491.51	128.08	538.35
mt_AK140265	5216.18	11204.42	15757.24	10167.62	16103.86	8658.22	18285.22	10074.32	13642.02	14320.55	13558.45	3040.68	3211.98	2268.38	2386.38	1720.17
mt_AK141672	774.64	718.75	676.41	515.77	1012.29	348.76	848.45	370.02	628.61	491.87	596.43	351.23	397.15	51.05	305.5	65.54
mt_AK141702	7175.99	17697.18	12088.49	10769.96	19571.14	8896.43	16893.51	7647.64	12065.1	8795.94	10640.49	12145.84	13803.28	2334.73	2247.59	1994.92
mt_AK142700	20206.26	5434.31	6423.9	6524.34	7888.36	5226.77	3197.91	3867.51	6192.0	4219.95	4429.61	68.69	48.69	1901.53	2550.24	1610.08
mt_AK142726	1460.17	1830.46	323.4	2603.5	4648.28	0.0	3044.08	870.68	1364.31	1926.56	1538.55	0.0	1103.56	212.17	0.0	0.0
mt_AK142736	4089.29	7897.7	9310.48	6153.74	13837.49	5512.42	11295.75	6239.55	9501.73	9000.57	8688.9	5148.97	4568.62	1586.58	1659.04	1044.8
mt_AK142750	4698.9	4346.89	3923.24	2361.51	7134.4	1485.17	4816.46	1384.23	2565.77	3357.09	2925.06	590.96	2657.97	0.0	926.93	25.08
mt_AK142751	2164.15	3949.31	2227.06	2639.92	1839.29	1829.28	2961.48	2312.6	2197.47	2504.26	2571.2	3093.93	2818.26	779.8	1643.82	983.25
mt_AK144853	2754.79	2796.77	3188.9	2804.27	3536.4	1878.15	3465.77	2122.03	3989.68	1860.08	2488.11	4172.57	2924.98	1040.89	477.17	675.73
mt_AK154943	769.11	1130.09	695.95	607.82	1242.47	423.53	1027.86	446.61	737.01	520.98	657.08	526.9	544.5	60.08	126.14	160.44
mt_AK159675	241.95	37.84	22.58	25.09	82.7	26.09	41.17	37.03	22.99	37.92	118.58	48.87	27.49	10.4	0.0	0.0
mt_AK162500	10812.53	18017.62	16972.65	15862.29	31266.91	7706.69	18115.72	9254.81	13178.06	12142.02	13163.08	9688.78	7506.44	4568.66	4277.48	3582.0
mt_AK162543	194.04	2249.36	1659.41	2838.03	3725.68	2423.83	2340.56	1357.21	1089.33	1226.84	2001.16	1973.04	905.59	450.69	702.59	655.38
mt_AK163440	9117.15	10342.78	8550.15	7445.73	13495.59	4872.7	9855.03	4634.31	5459.26	4388.54	7296.27	5262.3	4252.88	1160.06	2105.86	1173.06
mt_AK165190	14857.05	16762.8	8513.15	12153.04	21769.91	6075.87	13770.07	7051.05	13856.24	10103.99	12030.5	10380.84	11470.13	4020.2	3606.44	3127.29
mt_AK165865	8014.67	24175.67	21297.17	14986.14	39977.13	11588.46	28666.62	15105.79	20551.69	20384.34	18446.12	12200.19	8203.1	3007.61	3580.54	3551.7
mt_AK167037	6586.18	11869.87	6129.44	6636.2	12410.34	5566.25	9933.94	4157.77	10889.61	6360.73	6412.84	9572.18	7992.08	1263.25	1303.75	1375.29
mt_AK167184	2480.1	2384.8	1878.49	1633.3	3423.96	938.53	2525.36	1135.98	1354.76	1378.25	1680.84	1275.09	633.14	414.49	401.99	216.62
mt_BC004586	11089.52	15505.88	9508.86	11780.78	17878.8	7407.2	13561.19	5362.14	8520.29	6586.31	9169.59	8834.91	11707.27	2556.62	2868.84	2428.97
mt_BC008260	9011.6	6102.45	6912.3	7885.05	17184.37	2665.19	4751.16	1284.45	5552.76	3620.47	2832.91	2147.74	7307.06	1271.82	979.63	873.32
mt_BC012020	9017.09	24916.9	13394.51	13160.47	19336.5	9081.98	17105.16	8286.38	14716.37	10157.99	10550.74	12929.38	7906.73	2264.85	3381.14	2751.23
mt_BC020072	9011.6	6102.45	6912.3	7885.05	17184.37	2665.19	4751.16	1284.45	5552.76	3620.47	2832.91	2147.74	7307.06	1271.82	979.63	873.32
mt_BC020382	6486.97	7043.44	6670.22	4668.48	11101.16	2915.65	6595.7	2602.16	5277.85	4544.98	4047.25	4035.68	2050.0	679.74	1039.65	471.41
mt_BC071253	954.04	663.98	783.95	765.87	2319.2	213.07	1029.23	262.73	249.44	583.54	484.77	10.72	63.21	22.99	77.97	113.55
mt_GU332589	9115.7	22738.66	26493.16	13741.48	28909.02	12449.98	31086.28	16090.8	21460.06	22390.28	20242.91	18187.79	19369.81	3009.01	2630.88	3093.6
mt_X57779	5921.04	9293.52	6673.74	5660.5	13394.37	4695.26	9044.92	4690.52	8949.42	5467.39	7051.59	8900.68	5635.93	955.95	1841.21	1595.28
mt_X57780	5921.04	9293.52	6673.74	5660.5	13394.37	4695.26	9044.92	4690.52	8949.42	5467.39	7051.59	8900.68	5635.93	955.95	1841.21	1595.28
