	Calb2_tdTpositive_cell_1	Calb2_tdTpositive_cell_5	Calb2_tdTpositive_cell_17	Calb2_tdTpositive_cell_24	Calb2_tdTpositive_cell_26	Calb2_tdTpositive_cell_29	Calb2_tdTpositive_cell_38	Calb2_tdTpositive_cell_40	Calb2_tdTpositive_cell_43	Calb2_tdTpositive_cell_52	Calb2_tdTpositive_cell_54	Calb2_tdTpositive_cell_60	Calb2_tdTpositive_cell_63	Chrna2_tdTpositive_cell_1	Chrna2_tdTpositive_cell_8	Chrna2_tdTpositive_cell_71	Chrna2_tdTpositive_cell_81	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_6	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_12	Cux2_tdTnegative_cell_15	Gad2_tdTpositive_cell_10	Gad2_tdTpositive_cell_34	Gad2_tdTpositive_cell_35	Gad2_tdTpositive_cell_38	Gad2_tdTpositive_cell_52	Gad2_tdTpositive_cell_60	Gad2_tdTpositive_cell_63	Gad2_tdTpositive_cell_79	Htr3a_tdTpositive_cell_3	Htr3a_tdTpositive_cell_6	Htr3a_tdTpositive_cell_14	Htr3a_tdTpositive_cell_21	Htr3a_tdTpositive_cell_27	Htr3a_tdTpositive_cell_29	Htr3a_tdTpositive_cell_34	Htr3a_tdTpositive_cell_36	Htr3a_tdTpositive_cell_41	Htr3a_tdTpositive_cell_45	Htr3a_tdTpositive_cell_47	Htr3a_tdTpositive_cell_48	Htr3a_tdTpositive_cell_52	Htr3a_tdTpositive_cell_54	Htr3a_tdTpositive_cell_56	Htr3a_tdTpositive_cell_62	Htr3a_tdTpositive_cell_63	Htr3a_tdTpositive_cell_67	Htr3a_tdTpositive_cell_69	Htr3a_tdTpositive_cell_75	Htr3a_tdTpositive_cell_77	Htr3a_tdTpositive_cell_80	Htr3a_tdTpositive_cell_88	Htr3a_tdTpositive_cell_92	Htr3a_tdTpositive_cell_102	Htr3a_tdTpositive_cell_112	Ndnf_tdTpositive_cell_10	Nos1_tdTpositive_cell_5	Ntsr1_tdTnegative_cell_55	PvalbD.Slc32a1_tdTpositive_cell_15	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_21	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_22	Vip_tdTpositive_cell_1	Vip_tdTpositive_cell_9	Vip_tdTpositive_cell_19	Vip_tdTpositive_cell_20	Vip_tdTpositive_cell_31	Vip_tdTpositive_cell_33	Vip_tdTpositive_cell_45	Vip_tdTpositive_cell_51	Vip_tdTpositive_cell_52	Vip_tdTpositive_cell_69
Frmpd4	52.18	1.94	24.1	1.17	29.97	21.65	5.96	0.14	1.16	20.77	12.35	39.54	2.3	169.86	50.27	123.95	22.01	0.0	0.05	0.0	0.0	0.0	0.0	0.0	15.06	80.74	11.15	0.07	48.03	0.77	4.75	7.48	2.05	7.15	0.09	0.0	8.67	1.74	6.21	59.07	44.24	1.55	15.09	0.0	1.24	1.25	0.0	26.21	0.0	1.95	1.25	9.74	0.0	11.94	0.0	75.42	0.27	0.0	83.51	147.83	0.98	0.0	0.0	0.0	0.0	0.0	0.0	13.43	0.0	124.24	3.08	44.34	79.24	107.31	15.62	0.25	1.79
Gap43	0.96	883.6	472.36	0.0	1494.35	313.7	334.36	38.15	0.0	16.45	263.66	180.25	385.95	550.21	447.79	584.73	510.43	0.0	0.0	0.0	0.0	0.0	0.0	1207.13	162.69	4.52	694.92	620.79	444.98	430.69	57.89	1144.1	287.02	706.5	0.0	0.0	513.55	173.18	755.3	0.0	209.85	125.88	450.38	0.0	249.33	0.0	0.3	303.33	0.0	0.0	318.92	1124.65	1495.15	426.36	454.77	1129.51	838.65	0.0	738.1	592.34	0.0	0.0	0.0	0.14	0.0	0.0	0.0	94.81	0.0	642.84	1.18	639.89	782.51	334.7	1245.97	796.54	0.0
Ggps1	254.91	78.97	278.61	97.65	143.08	218.98	134.9	14.23	31.97	367.73	62.21	0.0	58.68	80.93	158.62	225.22	245.6	0.0	0.0	0.14	0.0	0.0	0.0	113.28	60.53	0.27	273.06	184.68	0.0	0.44	0.35	0.65	1.38	138.19	129.44	229.17	14.24	1.23	204.55	1.32	102.05	72.05	248.23	341.13	0.16	9.14	155.83	113.14	274.05	192.47	126.86	308.85	156.41	46.82	0.0	40.98	0.24	0.0	250.15	257.36	67.07	1.33	0.0	0.18	1.33	0.14	1.75	0.33	205.33	0.81	102.35	26.97	182.75	366.45	369.98	4.09	0.21
Gpd1	0.05	773.4	134.67	12.07	937.03	757.44	12.62	117.11	0.96	165.02	127.97	0.0	85.35	176.94	492.87	569.93	458.72	0.0	0.0	0.0	0.0	0.17	0.0	380.93	0.0	697.07	169.66	400.3	65.64	690.02	146.18	833.13	50.56	112.29	1.43	0.0	114.95	48.36	0.0	0.0	147.71	0.0	61.09	2.71	0.0	154.34	126.66	173.75	0.13	40.01	325.59	576.06	15.72	412.29	303.65	761.08	3.23	0.0	373.82	840.73	8.84	0.0	0.0	0.07	0.0	0.0	0.0	115.22	13.51	0.0	0.0	528.1	255.83	217.42	402.48	154.41	0.16
Grin2b	364.41	162.47	181.83	150.68	470.09	323.67	139.32	33.72	155.04	345.25	169.03	103.51	397.3	275.77	439.71	102.78	569.61	0.0	0.0	0.0	0.06	0.0	0.06	216.83	159.02	381.65	502.93	223.21	246.73	231.92	118.46	231.73	216.5	191.17	342.44	51.22	212.79	167.98	158.74	219.22	200.32	235.02	200.44	200.32	149.66	346.17	21.67	175.11	191.85	225.59	348.06	278.13	79.45	489.18	84.83	163.17	127.76	0.13	269.35	229.35	98.42	0.0	0.35	0.69	0.0	0.12	0.0	14.92	88.77	206.05	253.13	158.94	366.05	373.66	281.8	171.44	49.26
Lrrtm4	220.81	266.21	183.79	146.09	452.51	359.84	64.24	0.0	264.93	72.14	0.86	0.18	515.02	260.85	463.69	262.5	161.34	0.0	0.0	0.1	0.0	0.0	0.14	160.65	0.0	357.28	673.27	652.49	642.01	1272.65	218.66	366.02	0.0	116.19	0.0	199.43	205.45	21.24	102.18	0.23	0.0	0.0	168.73	106.05	0.0	109.82	70.15	47.09	326.9	382.65	573.82	604.91	142.11	688.42	447.26	496.8	321.8	0.0	216.56	245.92	0.0	0.0	0.36	0.0	0.0	0.0	0.0	0.12	0.0	208.27	0.0	527.74	228.65	665.78	553.44	322.22	0.41
Ltn1	0.02	42.45	42.49	60.1	80.33	66.53	0.0	0.0	0.0	0.0	0.0	132.33	129.88	0.0	3.73	59.63	3.98	0.0	0.0	0.0	0.0	0.0	0.0	70.66	0.04	16.47	2.25	0.0	0.03	0.0	0.04	3.68	0.0	130.36	90.02	0.0	50.12	0.5	34.62	25.07	0.0	0.91	0.0	30.85	0.54	0.0	0.0	0.0	0.15	0.0	0.12	10.51	26.36	6.79	0.0	56.74	0.25	0.0	0.6	93.64	0.05	0.0	0.15	0.0	0.0	0.04	0.0	0.05	0.0	0.0	0.0	22.42	0.0	1.89	69.7	19.94	0.06
Maged1	1183.41	2047.05	1257.41	885.35	1830.9	1901.19	875.53	1047.94	127.75	898.67	878.35	709.17	1451.3	1437.36	2399.7	919.34	752.98	0.0	0.0	304.23	0.0	301.33	0.0	1134.91	1501.44	1179.87	2357.43	1571.21	1100.08	1488.42	141.51	1490.11	456.02	1094.32	714.47	401.0	1052.43	930.02	1150.43	938.54	716.72	2259.14	493.46	265.86	854.71	400.51	367.73	865.83	223.15	1807.79	1310.57	1429.82	891.72	1823.66	673.23	2979.7	1692.99	0.12	1188.03	2248.14	781.01	0.14	0.0	0.13	504.76	0.0	0.0	2.9	1389.28	886.05	313.4	1874.82	1458.72	994.27	1169.27	1829.94	232.51
Mat2b	176.35	143.78	266.71	256.61	296.34	490.99	404.66	67.0	0.0	250.14	0.0	12.93	0.0	0.0	147.57	278.63	171.7	0.0	0.0	0.0	0.0	0.0	0.0	6.53	0.0	0.0	488.65	465.98	128.38	0.0	0.0	0.0	0.0	0.0	0.0	0.21	52.98	0.0	249.16	0.0	99.64	0.0	147.52	125.07	0.0	290.87	64.47	414.73	328.4	404.54	280.73	242.45	177.61	406.59	108.51	340.16	151.34	0.0	254.85	234.26	177.49	694.08	0.0	0.2	0.0	0.0	0.0	16.72	207.87	80.18	0.27	361.63	443.58	2.54	239.76	175.04	0.0
Mn1	0.07	87.69	351.81	0.08	545.94	502.92	111.59	98.62	0.0	372.16	205.45	0.0	120.64	125.68	303.62	213.64	264.62	0.0	0.0	0.0	0.0	0.0	0.0	126.84	32.95	103.36	125.91	397.83	21.22	28.25	0.0	141.58	178.68	187.29	2.25	57.28	182.15	137.21	0.0	287.26	61.96	47.39	98.42	0.0	314.73	306.39	226.77	190.57	195.16	57.67	215.93	182.6	47.46	278.37	319.59	278.68	160.52	0.0	289.69	232.16	61.14	0.0	0.0	0.0	0.0	0.0	0.0	0.07	96.35	0.17	0.08	61.74	231.62	144.06	116.08	146.38	0.14
Mrps16	0.0	121.96	338.56	159.97	199.48	27.69	164.34	226.56	38.09	201.31	458.36	201.12	0.0	0.0	452.21	97.21	111.96	0.0	0.0	0.0	6.2	0.0	0.0	146.63	26.18	0.0	6.46	95.97	0.0	122.65	0.0	52.26	0.0	0.0	46.81	234.08	163.91	0.0	6.3	0.0	143.88	171.19	243.97	135.27	0.0	0.0	0.0	0.0	0.0	150.66	128.55	66.35	270.6	0.0	0.0	132.0	0.0	0.0	1.63	134.18	3.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	298.14	109.1	0.0	233.61	290.82	218.24	0.0	129.91	40.79
Mtap1b	810.31	901.18	1067.06	359.89	1386.86	1352.92	281.6	265.02	609.93	487.31	386.71	622.35	954.19	375.43	548.09	619.03	416.88	0.0	0.03	0.0	0.04	0.0	0.0	1025.98	231.79	817.3	1303.5	913.48	661.16	881.07	179.52	1290.09	332.07	893.92	564.17	227.15	392.82	356.84	564.54	371.52	750.17	501.33	420.27	552.63	354.03	408.15	226.05	870.88	364.19	337.94	1038.26	1023.27	456.3	1645.87	1508.6	1197.89	739.47	22.33	953.72	1775.54	480.35	0.0	0.1	0.14	0.0	62.49	0.0	449.24	587.02	295.26	352.88	496.31	1109.98	1217.82	823.91	957.56	176.68
Nav2	22.82	5.49	22.46	0.09	2.76	6.95	3.38	10.39	4.66	8.62	0.96	16.42	27.93	37.0	14.86	35.83	34.73	0.0	0.04	0.0	0.0	1.92	0.0	20.1	0.45	35.99	15.36	21.2	0.18	28.37	32.94	6.36	24.61	0.0	0.61	14.52	0.12	4.1	30.77	5.36	11.96	20.73	0.43	23.04	31.74	0.0	3.97	0.06	0.03	21.1	21.88	16.57	7.4	0.04	9.68	14.93	4.73	0.0	35.15	36.9	25.73	7.42	0.0	0.03	0.0	0.0	0.0	0.0	2.43	0.74	19.17	1.85	17.2	18.91	27.62	14.07	0.0
Ncoa1	36.94	43.88	138.31	143.2	45.35	92.2	58.71	0.0	54.32	47.23	49.53	79.31	69.61	108.0	79.6	128.89	133.71	0.0	0.0	0.0	0.0	0.0	0.0	57.98	11.24	50.33	146.27	184.9	13.97	100.64	269.41	160.73	52.98	172.61	90.46	5.73	76.1	110.2	37.97	27.49	30.5	27.86	0.0	36.46	222.65	27.36	35.01	86.71	0.0	59.51	82.19	104.03	26.22	73.97	45.43	54.88	17.99	0.0	124.77	59.58	105.59	0.0	0.0	0.0	0.14	0.0	0.0	58.59	3.33	54.79	25.27	58.75	25.66	85.63	40.09	108.01	3.18
Nmnat2	93.27	488.56	64.09	54.45	24.44	338.41	97.36	3.13	3.95	88.28	0.83	231.44	397.12	331.22	148.54	12.16	359.83	0.0	0.09	0.0	0.0	0.0	0.0	355.31	12.56	203.09	3.16	123.46	38.77	270.2	255.01	324.35	170.04	95.99	145.53	4.83	472.88	83.17	90.56	109.35	96.94	269.96	122.09	94.35	211.23	220.27	139.67	538.89	156.76	241.94	143.9	291.6	138.56	20.17	335.45	264.14	287.13	0.0	245.68	367.51	2.36	0.0	0.26	0.0	0.0	0.0	0.0	77.84	178.38	379.64	28.49	9.38	11.29	250.18	208.53	254.43	12.73
Npy1r	16.49	23.86	192.09	7.41	274.14	230.53	55.76	21.36	137.33	3.92	25.98	348.95	782.7	20.66	40.81	19.77	80.36	5.4	0.78	3.84	0.83	2.91	0.67	279.66	6.44	162.78	324.68	210.67	116.58	125.89	34.69	425.77	360.93	13.41	575.05	4.23	14.07	143.94	231.48	4.3	17.76	209.92	77.76	67.83	187.67	85.49	461.97	300.78	6.53	167.82	222.4	53.66	346.52	232.41	199.63	526.32	8.62	1.44	382.32	152.77	73.5	5.45	3.44	5.94	11.16	4.2	1.15	100.29	5.2	19.91	16.65	263.31	230.09	55.99	352.38	390.59	52.21
Olfm2	470.85	214.91	667.61	411.27	272.32	425.08	449.6	720.9	0.0	38.57	246.44	380.49	789.1	477.77	805.18	153.39	474.15	0.0	0.0	0.0	0.0	0.0	0.0	783.24	0.7	693.16	1227.09	187.85	505.46	345.09	155.96	154.79	0.0	481.34	0.0	366.69	192.32	0.0	398.96	0.0	396.2	225.04	414.76	0.0	563.23	349.34	186.66	792.47	0.0	230.41	793.02	791.8	191.17	1102.94	820.79	801.79	884.64	0.0	241.4	833.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.09	140.62	476.6	0.0	1419.71	839.9	606.77	1242.13	331.38	0.0
Pcdh20	0.0	80.65	50.92	0.0	0.0	158.34	0.0	0.0	0.0	0.0	0.0	32.86	85.36	86.48	71.57	60.62	157.52	0.0	0.0	0.0	0.0	0.0	0.0	258.92	0.0	98.34	49.53	279.16	59.59	50.21	0.0	87.37	0.0	0.0	0.0	0.0	43.91	0.0	2.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.79	0.0	2.31	191.97	79.26	155.02	115.76	0.35	92.04	1.92	0.0	3.37	115.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	333.65	380.89	50.92	0.09	90.06	0.0
Ppfia2	0.09	39.83	52.98	104.14	31.21	55.25	0.0	0.0	17.64	53.72	0.0	0.19	0.6	142.42	81.75	44.99	111.77	0.08	0.0	0.0	0.0	0.0	0.0	19.6	0.05	33.24	19.89	50.58	12.14	70.28	0.0	137.25	117.88	0.0	19.64	0.0	38.63	49.97	22.23	28.18	0.5	0.0	33.2	121.01	0.0	0.0	10.7	58.7	44.28	98.81	24.57	16.52	20.68	0.14	35.21	29.57	36.87	0.0	0.33	101.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.5	63.76	34.0	0.15	55.32	104.83	71.09	29.96	0.17	77.84
Rab3b	0.78	23.45	357.75	0.0	227.47	512.43	0.0	0.0	0.0	285.24	0.0	25.58	0.0	498.69	579.91	343.69	410.99	0.0	0.0	0.0	0.0	0.0	0.0	402.55	0.21	271.06	256.27	383.09	0.23	204.61	0.0	282.17	74.46	214.12	0.0	0.0	0.28	0.0	62.67	0.08	0.0	140.71	94.67	0.0	0.0	0.0	0.0	167.23	0.12	0.0	338.39	244.06	104.19	76.76	24.61	483.05	116.99	0.0	137.68	246.84	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.12	15.32	0.0	0.3	469.37	253.46	495.46	967.72	289.12	0.13
Rbfox1	95.96	61.21	87.46	0.0	12.17	96.96	40.09	83.16	13.26	123.42	0.0	3.8	25.52	59.66	53.32	15.67	81.82	0.0	0.0	0.0	0.0	0.0	0.0	174.94	0.0	22.46	59.61	69.43	17.62	98.81	0.31	23.5	2.92	158.71	0.1	0.0	64.35	0.0	0.0	0.05	29.46	0.0	0.0	0.13	0.0	0.0	0.12	68.64	12.59	0.08	39.67	190.97	159.24	63.44	59.37	109.99	122.79	0.0	284.7	136.15	110.41	0.0	0.0	0.0	0.0	0.0	0.0	164.73	0.0	0.0	0.14	191.84	15.73	101.35	59.38	66.25	3.27
Rimklb	274.92	0.67	115.99	47.87	30.95	76.92	8.06	158.34	49.95	9.56	117.25	46.69	76.74	25.89	159.91	73.09	49.04	0.0	0.0	0.0	0.0	0.0	0.0	69.6	162.34	20.33	155.44	404.4	0.0	328.92	0.0	303.35	0.0	18.14	24.93	1.04	2.09	0.75	7.35	0.0	0.27	131.79	118.84	1.78	160.81	10.59	444.5	82.61	3.56	0.0	212.82	420.89	142.35	24.72	163.17	148.2	18.74	0.0	124.83	220.1	161.85	0.09	0.0	0.0	0.0	0.0	0.0	0.2	139.73	0.0	128.91	188.61	227.71	16.1	530.57	238.77	0.22
Rsrc2	178.09	0.0	269.2	51.64	2.99	32.34	47.77	430.16	0.0	68.93	96.48	25.22	246.14	267.28	147.2	0.0	331.19	0.0	0.19	0.54	0.0	68.24	0.22	175.85	157.55	0.0	159.72	323.07	283.07	284.18	13.11	55.72	0.0	234.41	197.81	13.07	114.25	117.22	80.1	112.69	24.63	105.33	202.24	210.34	161.62	365.75	484.06	0.0	10.11	275.25	23.75	182.98	154.23	35.59	49.24	111.59	0.18	0.15	227.92	17.12	3.47	0.0	0.0	0.0	121.99	0.0	0.0	106.07	2.43	23.01	32.42	257.31	133.46	0.0	492.81	15.44	122.03
Rufy3	412.78	116.43	248.75	381.35	302.91	542.2	91.35	144.07	150.66	238.33	148.68	158.26	74.94	121.22	335.42	263.31	312.96	0.13	0.0	0.0	0.0	0.12	0.22	489.35	29.05	430.2	67.51	189.6	915.78	127.55	16.21	185.83	69.61	120.16	6.12	57.6	72.54	186.73	291.24	311.6	194.35	218.64	51.65	171.89	16.94	0.0	666.54	430.0	294.59	87.12	233.9	225.05	85.14	59.8	478.37	162.02	224.42	0.0	119.17	423.43	140.97	0.0	0.0	0.1	0.42	0.0	15.6	0.21	173.21	109.7	0.25	250.67	239.19	428.05	116.56	78.62	0.22
Sema5a	0.03	46.29	0.0	0.04	0.05	4.35	3.57	0.04	0.0	0.0	40.79	1.25	71.03	84.17	23.78	73.38	0.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	164.19	70.22	0.03	39.48	99.89	0.0	90.49	0.05	0.0	0.0	0.0	0.05	52.39	0.0	0.03	2.09	0.07	0.0	0.0	60.6	0.0	0.0	41.54	0.0	124.41	31.92	70.96	0.04	0.91	0.0	37.09	0.0	0.0	129.64	52.58	0.0	0.0	0.0	0.02	0.09	0.0	0.0	0.04	0.0	0.06	0.03	0.04	0.0	23.83	47.33	0.05	0.05
