	Calb2_tdTpositive_cell_9	Calb2_tdTpositive_cell_10	Chrna2_tdTpositive_cell_51	Cux2_tdTpositive_cell_9	Cux2_tdTpositive_cell_50	Cux2_tdTpositive_cell_54	Cux2_tdTpositive_cell_57	Cux2_tdTpositive_cell_59	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_96	Cux2_tdTpositive_cell_101	Cux2_tdTpositive_cell_120	Gad2_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_7	Nr5a1_tdTpositive_cell_44	Nr5a1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_6	Ntsr1_tdTpositive_cell_10	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_44	Rbp4_tdTpositive_cell_54	Rbp4_tdTpositive_cell_82	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_183	Rbp4_tdTpositive_cell_189	Slc17a6_tdTpositive_cell_28	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_21	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_33	CAV_LP_Ipsi_tdTpos_cell_36	CAV_LP_Ipsi_tdTpos_cell_37	CAV_LP_Ipsi_tdTpos_cell_39	CAV_LP_Ipsi_tdTpos_cell_41	CAV_LP_Ipsi_tdTpos_cell_42	Rbp4_CTX_250ng_1	Trib2_CTX_250ng_1
Mrpl33	88.81	225.44	357.98	0.0	60.4	170.42	220.6	109.75	77.65	381.7	200.45	249.83	34.95	0.0	327.37	427.83	57.01	204.25	70.78	356.87	91.47	647.16	508.4	191.08	223.7	60.05	64.94	302.04	369.59	393.26	166.41	349.49	112.06	351.01	253.23	287.15	275.6	166.87	556.79	384.41	756.02	408.37	452.81	249.06	430.4	101.85	281.03	54.13	238.24	256.71	260.77	57.4	61.62
Mrps18a	320.06	341.56	479.23	334.24	163.22	91.49	193.0	162.02	150.54	681.02	229.63	180.46	138.06	174.42	278.65	403.9	227.22	385.89	279.11	432.7	113.3	702.76	433.54	266.23	678.92	399.33	366.6	253.19	343.33	502.23	438.93	604.32	283.27	242.12	242.25	244.79	258.02	149.23	166.2	432.19	340.22	321.52	391.05	366.69	321.98	502.75	201.32	280.99	229.15	191.7	569.32	72.15	68.4
Mrps18c	464.33	553.72	342.97	253.52	197.76	91.81	643.5	124.37	377.77	335.84	82.05	371.99	203.68	20.1	363.56	570.33	319.68	377.57	211.79	611.58	506.6	513.86	1128.05	201.03	290.56	197.83	626.45	508.66	438.83	806.47	295.42	404.27	749.85	337.87	349.2	363.8	383.34	778.1	645.93	996.3	884.18	653.19	954.22	1441.18	534.34	464.25	453.4	150.63	132.23	403.35	340.4	62.38	53.55
Mrps33	408.71	301.02	240.54	244.27	277.67	161.61	631.75	590.74	633.11	355.4	225.61	526.43	520.63	478.12	545.78	613.13	270.42	667.55	293.28	186.49	615.5	152.36	588.29	523.29	722.81	502.12	682.36	947.78	791.99	884.88	422.12	596.18	545.76	549.67	537.9	545.57	478.87	177.2	833.74	163.49	933.16	943.53	1297.84	644.0	654.99	393.71	645.16	729.01	393.15	131.7	327.6	93.5	91.31
Myeov2	346.01	757.74	683.68	608.07	245.86	146.69	308.86	0.0	654.66	511.82	234.8	374.99	490.62	446.29	428.83	460.85	259.83	493.02	223.53	240.76	167.48	342.9	611.55	254.81	573.31	305.51	465.11	696.79	683.53	627.17	912.15	743.66	870.47	567.04	352.63	432.26	359.89	99.25	189.15	265.48	1072.71	1369.85	420.59	631.62	268.96	295.55	351.9	449.48	345.28	232.94	104.5	139.14	153.27
Ndufa11	101.0	192.36	221.49	207.72	196.18	117.01	205.43	190.7	204.81	189.43	142.18	111.12	73.11	138.54	190.36	295.18	187.58	120.53	134.86	144.59	136.64	247.55	296.94	131.04	332.2	171.5	187.22	186.7	248.81	212.94	237.83	194.11	122.08	179.14	138.67	184.47	168.95	115.14	235.13	386.64	389.76	150.96	403.74	262.3	228.21	232.1	323.05	196.54	117.24	128.22	224.98	34.2	36.8
Ndufa2	467.46	182.02	795.64	230.52	415.9	269.81	641.04	230.83	362.41	786.87	495.63	290.36	335.73	343.98	680.58	882.74	172.5	844.75	436.54	534.67	578.4	1554.67	793.75	997.87	972.46	764.91	562.0	562.15	701.46	591.24	654.65	931.71	438.94	574.3	398.8	474.46	478.2	374.57	974.51	664.7	944.03	357.31	1056.94	505.33	364.37	510.12	364.72	544.25	360.12	631.22	513.68	146.93	137.65
Ndufa7	774.59	381.84	716.63	572.43	645.43	436.83	167.73	580.37	595.81	215.87	592.68	845.39	443.43	642.13	724.75	928.02	583.19	532.25	508.02	1236.07	545.42	1426.45	1124.79	1591.0	1154.14	583.46	1116.86	1424.34	1168.41	1254.25	655.94	1057.64	927.48	798.08	708.16	825.41	773.98	1208.5	1279.93	1237.79	1309.77	1127.89	794.1	1708.69	334.48	571.67	761.37	840.12	500.62	811.21	619.16	144.79	163.48
Ndufb11	661.88	241.7	616.0	163.5	164.83	277.51	740.36	78.71	381.3	414.46	181.38	129.08	316.33	240.43	297.06	519.64	129.06	419.28	345.26	730.39	507.61	772.34	574.62	471.91	725.89	307.96	503.36	725.69	560.36	593.54	537.83	515.32	579.7	455.59	422.45	457.38	446.21	353.88	456.81	976.37	467.34	654.11	631.73	400.42	416.24	153.69	388.46	461.44	542.09	432.71	227.8	165.19	170.14
Ndufb4	915.84	591.11	831.85	336.77	827.1	756.81	1145.76	639.95	572.8	411.88	670.27	819.12	924.96	489.17	1580.98	896.98	1036.62	814.88	887.95	662.03	700.93	1479.74	2560.66	1285.0	1570.48	630.82	1667.58	1330.53	1341.4	1792.36	894.48	975.04	982.1	1065.63	753.39	880.3	789.24	702.3	1207.99	2485.75	1408.46	767.42	1455.36	1954.28	1240.12	555.53	879.26	855.61	1066.63	415.51	594.0	183.36	203.61
Ndufb5	825.06	702.13	530.69	503.11	366.49	256.76	459.71	313.69	905.89	350.98	447.07	385.9	236.46	84.42	563.45	1020.93	375.43	810.45	432.09	1050.21	570.97	1167.3	1179.03	661.49	977.19	470.8	720.65	1207.65	717.24	934.91	845.17	928.85	624.22	722.84	618.63	653.41	632.7	186.64	1159.14	724.69	1069.64	816.9	508.43	1404.95	870.58	510.66	367.32	507.15	349.36	819.62	443.31	165.51	170.52
Ndufc2	361.64	273.16	690.08	314.73	328.06	463.8	450.7	585.33	449.39	269.12	233.86	541.09	411.86	0.0	297.22	629.93	346.93	501.0	758.45	585.14	199.53	626.08	624.89	653.3	741.62	438.13	777.04	636.72	739.73	960.64	524.57	930.46	439.48	802.24	467.2	573.77	527.39	539.83	677.93	535.38	937.62	403.63	587.99	1022.84	409.29	425.58	538.11	641.66	457.47	427.03	611.17	208.89	207.04
Ndufs4	76.15	65.54	203.99	126.79	30.9	282.71	137.85	192.38	230.73	242.36	205.44	207.47	287.09	70.14	362.08	263.89	195.13	342.77	267.49	55.84	317.51	404.04	261.76	482.5	224.0	70.74	366.05	278.49	355.1	697.88	335.08	303.11	150.23	304.94	203.64	232.74	211.14	159.63	467.18	117.77	419.7	659.98	564.82	468.37	230.01	80.8	235.69	334.85	99.36	252.73	130.66	64.35	60.48
Ndufs5	151.63	294.38	334.25	385.85	0.0	71.95	131.02	260.94	236.69	88.74	148.62	68.22	231.19	232.04	284.87	300.49	16.59	248.73	62.32	270.51	53.5	168.11	348.56	179.06	66.81	216.81	185.05	265.17	233.28	400.16	228.69	350.34	250.3	332.81	116.8	215.64	203.95	83.55	126.32	136.7	216.51	137.83	785.44	612.37	226.36	65.14	178.78	203.11	28.52	142.26	209.67	163.52	156.75
Ndufs6	180.33	404.67	1368.61	259.31	252.18	509.79	568.08	244.59	386.23	304.96	566.97	442.75	629.45	662.03	1022.32	762.77	230.17	531.55	394.55	1277.86	284.91	570.68	634.13	797.05	856.3	265.41	464.71	566.34	699.03	1053.89	332.06	841.19	1068.47	695.24	433.26	544.48	493.5	605.63	461.1	1721.18	437.72	324.64	1419.87	619.7	335.22	511.57	755.79	420.55	337.98	728.05	494.88	112.43	114.77
Nedd8	500.8	795.94	574.02	674.93	829.96	516.84	618.92	494.18	451.61	939.32	576.68	757.71	466.79	550.75	745.57	1214.58	466.26	214.97	526.46	842.99	487.63	610.48	688.7	591.38	1211.4	255.86	760.25	1059.82	771.17	1270.74	978.05	1145.78	382.4	822.02	584.43	711.41	666.28	400.19	1516.05	641.6	801.15	864.41	1018.98	805.34	1151.01	1085.69	695.17	600.75	769.88	727.33	638.38	181.82	187.09
Nfu1	162.6	243.53	438.88	250.9	31.62	305.12	740.01	383.73	443.44	319.44	398.76	234.21	114.5	219.47	134.87	474.88	361.75	344.89	13.95	349.64	190.14	397.5	443.47	668.24	467.78	587.78	558.29	193.02	411.04	664.41	462.71	286.42	528.02	558.25	302.36	360.5	335.57	267.88	525.89	126.05	759.11	348.19	311.71	116.47	620.53	137.11	389.46	123.84	386.33	0.0	390.15	71.38	70.73
Nkiras1	155.11	78.09	142.05	90.25	168.92	110.48	148.75	134.56	202.62	62.98	113.25	82.1	126.81	127.54	281.4	104.37	37.54	61.16	72.39	118.24	129.7	156.41	99.08	191.74	134.61	139.08	160.93	77.76	149.33	139.62	82.72	141.15	94.42	146.88	104.64	109.89	123.77	246.44	67.02	177.79	53.79	110.55	49.75	222.61	175.96	127.87	152.81	113.22	165.82	149.88	155.21	48.2	45.69
Nme2	445.84	311.77	602.53	199.13	191.11	386.02	109.42	235.48	118.57	0.0	42.76	194.31	270.54	0.0	360.42	508.04	141.32	481.59	335.55	342.27	234.25	1437.02	559.96	876.02	560.03	414.41	187.26	644.42	367.47	391.71	385.7	549.41	207.04	315.35	190.44	244.28	237.35	229.66	492.65	226.73	314.15	258.38	143.98	147.73	69.47	244.2	442.01	220.99	500.61	22.81	302.9	173.29	173.58
Nop10	432.01	450.41	666.65	309.71	409.72	148.69	376.09	197.42	372.25	318.85	219.39	247.13	554.25	191.26	500.46	938.93	196.92	437.15	222.85	482.79	325.06	645.84	752.68	397.73	492.55	310.35	1061.42	515.08	667.58	727.31	399.46	696.53	388.96	468.53	345.18	403.27	377.12	261.17	407.58	790.01	446.14	644.6	685.86	951.05	1096.23	204.6	257.64	224.82	427.26	674.56	238.98	79.78	69.33
Npm1	631.68	459.21	359.3	562.47	323.8	346.69	135.43	531.24	665.09	491.37	297.7	461.95	399.03	469.33	744.86	705.06	769.8	873.56	400.5	683.05	303.23	412.73	1297.61	385.68	160.38	589.95	495.69	610.2	745.12	981.41	1004.9	799.11	780.02	535.98	579.99	563.81	515.33	965.67	937.85	424.06	261.74	481.19	800.61	778.4	577.25	180.68	617.09	527.45	353.21	412.79	377.31	169.35	162.36
Polr1d	2.65	432.43	138.38	0.0	0.0	118.77	618.36	160.3	0.0	150.94	250.94	103.44	43.06	0.0	6.89	196.82	320.31	349.56	244.58	261.46	268.14	149.04	434.57	174.55	224.94	78.27	188.37	70.25	301.15	210.53	357.01	281.09	497.92	296.23	148.36	189.95	161.35	171.11	0.0	0.0	281.6	1138.49	217.43	244.31	0.0	299.9	367.88	564.45	132.32	242.06	112.44	98.89	90.34
Polr2g	298.87	242.02	207.53	0.0	425.72	342.66	574.79	303.09	310.56	303.72	246.42	110.68	127.48	489.81	623.39	101.17	89.33	272.16	585.89	410.28	353.86	481.5	865.42	135.86	77.21	451.91	601.96	397.59	601.63	380.64	672.81	640.78	224.6	344.41	443.47	455.58	444.67	698.57	607.55	0.0	867.58	986.91	800.25	847.33	579.78	274.52	503.56	271.43	753.03	555.34	725.01	104.48	97.58
Pomp	572.38	815.73	1034.22	740.39	451.47	783.06	847.89	552.72	1516.52	1005.25	481.63	580.91	543.97	240.97	1563.36	799.81	363.92	596.65	553.12	368.16	405.75	779.79	1473.73	708.97	573.55	375.48	590.54	794.22	867.22	684.64	1105.3	698.69	1236.84	893.17	729.19	762.58	672.04	931.81	1026.94	728.82	1201.73	1324.46	1755.62	1716.2	848.14	702.35	419.09	915.88	347.06	1118.47	769.59	219.27	199.05
Ppp1r11	77.06	114.1	315.16	341.1	115.14	349.47	232.21	180.85	261.68	169.16	238.41	172.26	272.77	248.6	344.47	0.0	129.23	318.2	400.03	434.48	133.53	522.72	711.43	124.91	495.02	343.93	229.57	277.06	304.15	267.13	124.39	77.82	99.11	201.33	227.11	234.16	223.09	241.46	174.92	612.05	229.95	200.71	243.66	148.35	264.3	166.79	139.93	87.75	217.76	277.92	326.2	55.19	56.28
Prdx5	260.41	721.88	696.89	268.82	884.79	556.66	266.02	811.54	599.73	741.35	816.51	537.54	423.31	432.84	775.98	492.47	308.72	699.71	222.22	252.02	953.78	1131.56	878.34	858.42	773.5	301.48	290.53	740.35	689.09	815.42	699.22	513.72	867.86	705.13	466.45	536.48	503.74	736.6	382.93	875.29	360.96	544.78	387.16	388.16	840.82	404.06	475.5	710.54	251.63	594.69	568.2	356.84	369.82
Psma2	1027.39	401.51	773.7	343.42	482.1	138.4	470.42	108.84	201.74	185.54	397.59	418.63	213.0	698.07	323.96	765.93	686.82	595.07	436.38	286.84	610.67	600.87	553.05	409.0	1033.22	856.64	1075.47	1192.1	691.6	1263.2	858.13	746.42	952.25	678.83	546.66	555.12	549.36	430.44	676.16	539.11	1133.24	1211.15	1078.56	776.1	831.53	246.32	635.61	763.34	532.17	674.52	343.61	132.56	134.3
