	Calb2_tdTpositive_cell_9	Calb2_tdTpositive_cell_10	Chrna2_tdTpositive_cell_51	Cux2_tdTpositive_cell_9	Cux2_tdTpositive_cell_50	Cux2_tdTpositive_cell_54	Cux2_tdTpositive_cell_57	Cux2_tdTpositive_cell_59	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_96	Cux2_tdTpositive_cell_101	Cux2_tdTpositive_cell_120	Gad2_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_7	Nr5a1_tdTpositive_cell_44	Nr5a1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_6	Ntsr1_tdTpositive_cell_10	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_44	Rbp4_tdTpositive_cell_54	Rbp4_tdTpositive_cell_82	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_183	Rbp4_tdTpositive_cell_189	Slc17a6_tdTpositive_cell_28	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_21	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_33	CAV_LP_Ipsi_tdTpos_cell_36	CAV_LP_Ipsi_tdTpos_cell_37	CAV_LP_Ipsi_tdTpos_cell_39	CAV_LP_Ipsi_tdTpos_cell_41	CAV_LP_Ipsi_tdTpos_cell_42	Rbp4_CTX_250ng_1	Trib2_CTX_250ng_1
1810006K21Rik	392.04	246.04	207.52	282.39	151.13	71.2	219.72	144.96	349.59	271.71	231.33	160.96	200.57	124.25	184.19	438.51	283.27	415.83	444.29	234.46	44.43	289.82	759.73	368.12	605.86	167.69	376.31	337.67	568.44	440.84	510.81	769.22	154.74	286.53	200.88	271.03	273.63	358.0	248.61	903.15	546.52	677.04	563.8	413.73	339.42	218.47	426.96	105.16	281.27	365.45	314.27	69.0	65.57
1810035L17Rik	468.03	23.86	331.05	91.72	157.62	257.28	120.8	207.04	162.61	190.09	70.03	219.33	377.55	3.49	9.22	58.81	532.09	207.64	170.84	269.7	71.99	799.52	589.18	231.62	322.91	100.97	190.2	498.35	299.17	122.44	47.71	192.49	601.13	242.33	223.01	208.72	169.36	121.9	6.18	899.41	159.34	271.5	470.3	743.28	312.24	135.43	257.51	391.45	59.26	127.16	118.43	57.74	62.03
1810046J19Rik	245.81	246.34	310.49	202.86	333.3	107.49	0.0	640.08	533.43	458.69	48.76	335.02	202.47	108.0	301.07	10.9	217.42	371.22	440.24	211.18	347.37	777.17	770.54	183.03	294.04	441.39	484.4	266.07	320.9	425.86	436.78	299.99	496.44	526.98	259.97	296.6	311.54	531.48	284.23	174.4	17.86	797.13	796.14	886.68	421.74	482.67	319.35	31.73	204.57	414.2	432.85	113.99	113.41
2310003F16Rik	496.46	376.89	563.94	146.09	337.68	114.18	192.23	207.15	143.98	163.64	310.39	246.91	349.86	104.63	372.76	558.21	154.58	608.02	187.89	148.71	296.63	654.33	486.84	266.25	417.86	547.29	758.03	594.2	662.84	606.19	471.05	611.77	335.21	363.65	423.89	451.25	410.08	687.43	468.34	665.93	466.99	956.56	744.65	195.44	415.3	232.99	333.21	389.33	275.14	391.0	159.25	88.24	81.87
2410015M20Rik	146.49	191.85	638.72	421.29	65.61	145.36	95.4	186.85	285.67	93.36	141.84	223.96	262.5	0.0	91.78	111.6	220.46	231.24	132.03	158.94	316.17	86.59	299.68	303.3	433.7	125.95	396.76	249.96	336.11	211.55	115.0	437.51	52.54	208.64	168.61	190.78	164.78	150.11	317.89	1.59	107.84	489.58	814.04	390.67	137.46	0.0	433.49	85.99	77.99	380.32	251.92	73.48	73.7
Actr2	560.81	615.16	652.93	612.25	651.0	646.14	964.31	586.22	1062.63	653.52	634.89	511.34	563.55	574.26	813.99	642.2	522.12	1106.39	1037.19	927.03	914.44	582.01	592.9	640.24	632.59	606.2	1114.33	818.44	1441.31	1293.66	830.45	1050.66	636.19	600.77	1090.94	747.48	725.62	1057.87	973.9	990.22	585.97	1284.4	817.74	677.0	1052.72	972.19	982.24	1007.46	1262.71	875.98	688.11	234.56	223.3
Apoo	1084.61	777.15	504.39	421.66	518.09	367.06	866.47	232.78	370.68	791.83	173.78	263.66	282.79	212.2	555.65	0.0	165.6	285.03	156.13	1187.07	432.05	218.71	449.61	416.65	318.62	83.62	559.43	910.36	540.8	434.57	546.54	573.25	662.11	333.62	296.07	307.39	276.75	0.0	293.63	503.12	590.55	1089.37	872.53	382.3	0.0	235.2	394.88	253.13	287.22	467.29	0.0	65.28	61.09
Atp5e	577.56	302.28	1059.3	209.79	389.16	388.91	235.58	235.57	438.9	812.59	430.32	290.1	272.94	338.53	735.08	835.54	381.44	408.37	514.25	703.4	276.11	1443.64	1776.23	1053.06	818.66	272.0	678.05	678.58	707.15	938.24	548.08	824.98	537.49	701.51	398.61	570.77	496.33	467.91	517.72	764.04	1188.53	230.45	718.33	1347.96	258.42	508.13	237.57	242.67	482.71	511.22	527.58	259.21	245.73
Atp6v1f	463.72	826.86	1525.92	856.66	923.22	699.2	1946.46	1018.65	1813.94	591.3	929.97	755.65	1217.01	1454.18	1392.17	1502.92	1118.38	1179.56	1305.29	1767.38	684.43	2541.76	1420.5	1688.74	1166.64	816.79	1417.81	1418.55	1163.7	1532.48	930.63	1483.97	1324.93	1458.23	974.15	1017.15	1068.25	1090.06	1275.2	2268.66	2063.11	473.99	3722.27	2548.27	1164.92	1355.61	1208.37	553.26	1553.49	686.85	764.55	207.21	221.5
Atpif1	1158.36	1072.5	2193.56	1494.76	736.91	894.0	1060.18	1126.07	1451.87	916.33	1245.74	738.18	438.94	1357.52	2359.67	2099.65	293.71	1069.06	1268.72	666.19	521.0	3687.01	1861.2	1506.36	1799.15	1054.55	1315.81	1920.0	2257.99	2204.34	1927.22	2219.99	1418.42	1325.6	904.08	1133.5	1138.31	831.48	840.17	2498.42	1805.12	2011.06	1524.12	2753.65	1637.38	1398.9	1068.4	1144.28	1028.38	1019.1	935.56	380.65	377.3
BC002163	255.31	673.01	1105.58	372.26	37.32	179.56	493.87	363.68	283.27	277.61	267.37	240.51	437.3	464.8	622.67	293.94	272.69	410.28	219.99	474.83	351.31	378.16	593.91	509.82	468.08	190.65	379.75	506.8	562.99	644.61	668.3	588.53	335.63	480.75	372.94	309.2	350.24	42.55	289.55	285.11	367.23	39.27	719.02	1062.48	769.85	293.48	452.29	440.11	344.96	165.09	277.47	84.28	99.01
BC031181	432.74	717.71	394.74	850.93	343.0	581.34	410.22	589.86	677.68	506.54	879.28	490.02	777.96	464.65	1290.75	355.52	807.09	330.92	489.54	616.99	859.37	681.23	1440.31	492.46	662.66	284.34	767.83	427.85	731.92	871.69	581.11	966.04	598.9	727.84	646.48	614.22	650.8	26.96	731.47	1353.22	908.1	739.71	1324.5	1189.91	429.53	1411.11	578.57	989.31	573.71	679.54	574.59	192.84	192.9
BC056474	399.56	207.21	514.73	101.34	329.41	82.3	255.06	184.64	0.0	318.02	129.88	126.53	0.0	0.7	0.0	214.61	332.32	138.75	239.1	98.46	74.87	279.16	4.9	441.13	511.23	146.29	211.14	216.52	283.77	192.8	288.82	179.06	121.86	134.48	99.9	161.23	120.86	522.35	154.28	200.48	397.4	592.8	0.0	0.0	116.51	290.31	182.09	0.0	275.9	137.67	204.82	80.33	85.35
Calm2	20249.89	17572.6	18003.48	17347.27	17062.36	15575.16	20813.5	17375.4	20740.74	19533.68	16208.07	14134.14	18790.75	16051.41	19635.16	19628.74	18662.45	17716.09	19578.34	24749.41	21064.56	19971.06	20654.99	19749.13	18291.8	17199.59	17145.93	18653.08	18187.15	18504.84	19736.86	17323.44	20660.56	18644.66	18004.95	16099.57	15686.41	19423.54	22860.58	23322.9	18237.98	25106.81	19256.69	21777.08	23557.63	18134.58	19735.95	19141.42	19191.1	17911.68	18621.16	2887.42	2667.18
Ccdc72	637.1	994.65	853.7	692.01	795.17	718.52	767.59	314.83	686.9	471.92	496.87	557.52	755.98	243.58	425.68	1258.97	629.54	649.8	1060.3	847.97	593.42	1413.26	451.92	1319.92	770.56	447.73	949.42	995.58	1178.06	1174.8	1229.51	1037.45	788.26	994.53	746.3	730.79	766.39	346.13	1806.81	301.87	1269.81	1013.4	977.75	1184.69	1111.25	1144.25	642.83	316.46	634.26	456.11	844.79	183.96	190.26
Cdc42	1028.71	1622.54	697.11	798.03	713.67	1049.68	1239.52	1815.22	765.61	629.76	1486.21	781.83	543.99	444.3	1689.77	1446.08	862.73	1148.83	1074.22	1140.22	1249.04	1835.91	1207.21	1331.02	992.21	1198.71	999.96	898.75	1116.41	1617.57	1569.62	1244.78	1379.44	1091.45	1115.91	999.51	988.35	1707.58	1440.34	1350.64	1220.25	1190.33	1087.83	1046.72	869.27	1103.91	1198.16	1324.53	1547.21	1488.53	1666.33	393.02	377.77
Cdkn2d	495.96	350.81	326.5	273.55	12.3	104.38	577.17	0.0	142.43	0.61	131.84	129.45	83.7	0.0	412.68	158.3	210.25	113.71	9.33	281.08	98.45	301.04	291.15	8.23	368.27	316.08	382.46	163.2	148.77	304.48	273.72	148.82	267.08	208.65	196.7	262.85	201.89	124.21	246.26	0.23	189.64	312.25	216.84	89.22	170.24	262.08	260.12	243.58	108.26	94.95	329.04	67.97	63.73
Chchd1	60.51	102.04	261.68	170.18	0.0	65.86	115.12	352.37	390.33	332.77	339.17	224.7	140.15	277.6	37.61	269.15	46.73	210.95	133.66	331.08	207.9	238.57	208.9	143.35	265.9	248.07	143.86	321.46	249.17	310.47	313.33	346.51	293.55	188.67	209.7	208.1	188.21	206.61	824.66	256.13	405.32	293.24	288.43	218.96	182.63	158.5	279.8	77.65	318.74	133.04	419.96	62.1	57.47
Ckmt1	139.49	614.5	836.05	505.14	325.4	399.44	204.78	285.07	127.57	403.59	372.01	338.75	476.24	267.87	242.91	700.64	1062.23	540.02	1008.53	683.71	332.47	1103.6	407.93	577.86	1609.73	508.41	114.7	357.07	627.78	722.99	132.0	784.47	631.22	595.0	402.95	517.3	454.85	209.59	0.55	982.64	1222.06	467.0	794.74	684.96	392.74	645.75	1408.54	382.56	864.51	375.18	888.87	257.85	247.89
Cops5	907.66	118.02	250.55	2.72	0.0	263.47	250.0	0.37	173.67	352.29	0.0	564.97	431.75	249.77	427.4	210.95	142.34	130.79	347.2	186.49	176.11	420.1	726.23	304.11	190.75	416.53	127.13	234.39	249.86	78.0	203.07	132.54	28.96	247.93	250.36	244.22	250.93	0.0	11.55	141.35	162.32	474.84	588.8	252.18	291.93	9.65	351.39	400.61	711.5	395.9	0.18	108.57	101.56
Cox17	535.51	454.77	885.36	226.27	181.97	90.33	263.05	732.59	219.92	154.23	204.57	242.72	82.53	307.01	133.08	220.82	407.98	585.71	174.5	648.29	201.87	509.11	441.12	357.91	367.6	251.4	447.83	501.15	664.15	542.63	332.59	601.17	651.49	476.32	319.08	386.33	436.75	289.63	213.87	556.4	525.21	264.97	816.16	430.65	283.5	490.32	154.43	376.41	324.52	143.67	419.15	100.51	98.35
Cox7a2	419.45	503.38	933.28	498.38	435.93	402.9	459.43	519.76	620.11	928.63	638.09	495.07	285.91	388.9	557.23	812.43	280.67	703.92	473.96	761.66	855.25	1111.41	684.87	603.48	802.71	725.06	1044.42	897.37	1113.38	1316.54	1273.09	1270.53	833.96	873.3	609.89	704.77	604.54	364.08	1084.74	943.06	1229.03	1411.28	867.03	2086.6	696.59	637.99	768.01	681.66	559.53	690.17	802.49	250.93	257.99
Dad1	505.22	489.79	1050.09	420.46	244.24	244.86	555.66	589.72	768.11	841.45	446.85	734.0	449.39	380.86	206.96	217.14	427.85	648.51	627.45	978.85	426.63	884.84	675.73	1508.97	983.05	529.03	961.22	824.93	879.01	673.01	974.33	986.29	358.22	713.37	577.01	762.84	718.99	379.13	797.32	558.7	1077.04	696.64	1099.01	975.07	783.92	855.37	766.05	877.83	635.02	560.95	981.73	155.68	139.9
Dctn6	78.09	477.12	218.28	344.58	116.86	459.62	84.66	600.17	127.41	50.56	117.32	346.65	459.77	485.2	149.34	214.22	673.24	545.89	313.69	176.65	357.21	62.57	0.53	726.52	367.55	129.83	382.7	383.84	495.64	628.13	321.09	669.43	231.07	404.9	361.27	363.79	310.82	283.95	625.49	1109.49	81.38	890.35	532.31	1026.23	0.0	363.64	638.38	0.0	579.7	128.44	330.72	107.88	109.47
Dpy30	472.26	226.13	203.77	0.0	122.48	104.86	149.6	104.41	0.0	0.0	266.96	84.54	160.58	0.0	127.25	468.84	314.22	152.62	148.28	322.05	171.8	297.54	199.57	296.41	252.93	115.57	367.28	257.71	328.72	271.96	135.83	157.63	330.63	292.97	259.46	226.48	225.12	175.73	546.35	257.23	196.98	452.0	290.89	865.9	0.0	294.04	315.73	430.98	301.73	201.65	110.89	41.57	40.82
Dynll1	583.38	972.71	1447.06	530.1	788.4	323.08	574.76	261.11	638.66	437.11	749.0	787.29	724.05	341.33	824.75	536.87	908.1	1164.81	1353.73	1517.62	679.8	1787.36	1558.91	1119.76	1368.59	732.25	673.04	959.34	1031.08	1043.41	1282.2	982.58	755.33	1381.08	731.94	923.72	817.25	566.27	853.25	1303.01	1539.4	1703.06	1362.68	1104.32	836.96	1257.37	542.04	890.97	643.79	776.36	968.14	198.36	185.26
