	Calb2_tdTpositive_cell_23	Calb2_tdTpositive_cell_27	Calb2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_18	Chrna2_tdTpositive_cell_51	Chrna2_tdTpositive_cell_72	Ctgf_tdTpositive_cell_12	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_47	Cux2_tdTpositive_cell_68	Cux2_tdTnegative_cell_16	Htr3a_tdTpositive_cell_95	Ndnf_tdTpositive_cell_2	Nos1_tdTpositive_cell_38	Nos1_tdTpositive_cell_42	Nos1_tdTpositive_cell_46	Nos1_tdTpositive_cell_49	Nos1_tdTpositive_cell_59	Nos1_tdTpositive_cell_65	Nr5a1_tdTpositive_cell_24	Nr5a1_tdTpositive_cell_31	Ntsr1_tdTpositive_cell_14	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_5	Ntsr1_tdTnegative_cell_23	Ntsr1_tdTnegative_cell_37	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_1	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_6	Rbp4_tdTpositive_cell_16	Rbp4_tdTpositive_cell_24	Rbp4_tdTpositive_cell_47	Rbp4_tdTpositive_cell_50	Rbp4_tdTpositive_cell_56	Rbp4_tdTpositive_cell_62	Rbp4_tdTpositive_cell_96	Rbp4_tdTpositive_cell_105	Rbp4_tdTpositive_cell_121	Rbp4_tdTpositive_cell_123	Rbp4_tdTpositive_cell_132	Rbp4_tdTpositive_cell_142	Rbp4_tdTpositive_cell_153	Rbp4_tdTpositive_cell_154	Rbp4_tdTpositive_cell_155	Rbp4_tdTpositive_cell_157	Rbp4_tdTpositive_cell_161	Rbp4_tdTpositive_cell_171	Rbp4_tdTpositive_cell_172	Rbp4_tdTpositive_cell_173	Rbp4_tdTnegative_cell_12	Rbp4_tdTnegative_cell_15	Rbp4_tdTnegative_cell_18	Rorb_tdTpositive_cell_31	Rorb_tdTpositive_cell_40	Rorb_tdTpositive_cell_43	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_14	Scnn1a.Tg3_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_20	Slc17a6_tdTpositive_cell_23	Slc17a6_tdTpositive_cell_39	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28
Pdxp	0.0	0.0	0.0	51.47	0.0	237.68	8.27	120.16	94.85	0.0	0.0	0.0	0.0	0.0	0.95	22.12	54.99	0.0	91.63	90.57	72.05	3.0	0.12	21.64	0.0	0.0	55.94	0.0	0.0	43.23	43.46	0.0	5.81	0.0	80.77	0.0	27.91	61.49	155.98	125.07	0.0	56.1	30.82	60.04	41.36	0.0	0.17	38.63	23.43	15.93	96.62	0.0	0.0	0.31	13.22	0.0	27.19	0.0	0.0	0.0	0.0	10.01	0.0	40.98	0.0	0.0	0.12	0.0	199.61	0.0
Pgm2l1	148.49	101.1	128.56	281.16	186.29	305.62	238.62	215.73	116.22	277.89	0.0	54.11	161.62	164.89	320.59	108.09	177.95	234.93	268.98	66.86	133.15	359.97	50.55	239.91	0.0	0.6	180.88	0.04	167.96	256.22	355.86	114.44	249.64	282.04	220.94	175.76	341.22	235.71	292.35	251.12	243.27	234.13	183.05	497.32	388.77	234.95	694.56	397.75	95.7	141.61	366.53	0.03	0.16	0.0	110.45	164.95	373.97	0.0	0.0	0.0	0.0	111.73	164.54	96.19	251.88	105.55	97.12	46.16	221.78	172.23
Pip5k1c	119.75	0.0	13.61	72.77	38.58	0.5	0.0	125.5	137.07	105.41	1.21	0.0	81.51	6.03	23.64	84.94	67.53	54.07	191.47	1.07	49.78	0.0	0.0	38.38	0.0	0.0	110.68	0.0	86.72	112.4	0.31	0.1	35.0	124.18	184.66	84.4	8.34	98.81	58.96	0.0	1.06	78.37	47.82	84.43	87.62	66.9	4.81	0.0	64.36	14.3	2.04	0.0	0.0	0.0	142.51	44.97	97.82	0.0	0.0	0.0	0.0	6.95	0.0	173.94	24.98	96.44	27.38	26.24	58.18	0.0
Pkib	0.0	2.89	0.3	10.31	44.6	0.41	0.39	0.12	0.2	30.97	0.58	0.65	0.0	20.14	12.84	12.07	4.57	0.55	0.45	0.2	33.17	0.07	0.0	1.24	0.0	0.0	0.21	0.0	0.13	0.39	0.51	0.16	0.26	16.18	17.93	59.2	0.0	0.82	53.46	0.0	0.21	16.35	1.27	50.34	23.7	0.27	0.4	0.85	0.33	0.15	0.47	0.0	0.0	0.0	0.29	0.0	22.24	0.0	0.0	0.0	0.08	58.12	0.97	1.93	0.05	0.0	0.14	0.06	0.23	0.14
Rab27b	0.0	0.0	0.55	45.47	65.05	40.7	34.0	0.2	1.27	0.13	0.43	11.41	39.84	20.66	0.01	32.32	23.79	71.32	0.19	0.08	0.18	57.67	0.07	3.53	0.0	0.17	0.1	0.08	148.19	0.49	68.33	0.2	38.6	12.66	53.16	55.69	31.63	48.58	60.87	0.56	71.54	22.02	49.56	25.23	77.42	27.49	0.13	70.3	0.35	0.0	0.09	0.16	0.0	0.08	0.62	12.51	39.17	0.0	0.03	0.02	0.06	1.55	0.41	0.18	23.92	0.08	0.17	9.57	6.85	0.27
Rab3c	58.18	0.47	0.11	245.34	175.09	215.78	47.95	0.46	85.75	136.91	89.4	0.88	32.67	301.59	502.15	201.11	350.25	401.16	208.26	0.23	76.47	170.74	0.12	74.18	0.0	0.0	58.14	0.0	43.77	112.73	330.18	18.28	93.67	30.27	197.84	187.38	79.8	333.54	317.74	321.36	0.73	222.64	57.46	217.36	92.21	49.89	45.84	36.09	38.16	11.29	622.14	0.01	0.29	0.28	63.57	103.41	205.37	0.0	0.0	0.26	0.0	701.85	75.77	209.86	18.79	7.78	13.09	40.23	7.03	13.42
Rap1gds1	222.05	0.0	111.77	605.14	319.75	392.85	215.68	117.5	623.32	250.43	210.47	408.52	37.3	277.05	219.12	347.22	248.02	16.05	42.6	212.87	67.28	402.6	14.72	611.12	0.0	11.93	209.14	0.11	268.2	369.22	398.13	14.67	339.32	379.48	250.25	236.18	352.92	649.57	421.08	203.06	29.17	373.79	56.52	458.11	559.78	382.68	492.51	365.27	140.08	294.28	369.6	37.4	29.89	0.0	145.37	322.51	504.41	0.0	18.75	0.0	0.0	585.45	729.17	237.47	22.53	80.27	98.45	12.5	110.66	95.82
Sept3	0.0	0.0	68.29	88.91	27.63	86.73	156.33	0.62	99.98	118.65	54.42	106.59	48.03	189.04	43.55	169.94	84.43	94.63	163.58	135.5	15.97	162.71	8.79	37.74	0.12	0.25	531.56	0.0	5.12	69.19	28.61	0.7	95.02	88.04	123.18	78.18	44.53	110.44	92.25	101.65	135.68	85.24	22.09	197.71	277.37	16.79	259.96	202.39	86.86	120.16	211.06	0.0	0.12	0.0	87.33	188.55	144.6	0.0	0.0	0.0	0.03	17.21	33.35	108.77	27.19	79.24	162.8	85.08	72.26	39.67
Sept5	0.0	0.0	46.63	111.69	51.45	43.33	79.92	79.83	165.36	97.44	0.0	39.32	121.27	39.41	40.66	158.3	54.27	87.52	160.53	131.17	36.7	80.65	100.18	37.87	0.0	1.1	11.07	0.0	101.45	51.92	55.83	70.47	9.75	128.03	85.72	124.0	50.94	110.52	40.95	0.0	88.1	112.99	78.22	93.43	100.75	91.81	67.36	2.67	123.41	20.74	113.78	0.0	0.2	0.0	36.88	4.99	59.45	0.0	0.0	0.0	0.0	142.49	0.0	34.84	110.87	19.76	20.72	2.07	0.0	16.79
Sncb	122.13	0.0	54.53	212.42	110.48	367.19	115.49	110.99	321.67	231.46	120.61	64.98	56.82	111.05	119.42	153.38	174.41	86.42	91.45	131.17	240.08	63.33	64.35	98.41	0.0	3.0	252.34	0.0	136.35	146.45	63.03	130.05	342.3	141.07	241.36	219.7	131.5	228.65	181.71	265.32	119.55	300.72	49.83	212.83	252.87	182.48	133.21	198.78	135.17	161.46	175.4	0.0	0.0	0.0	245.72	137.83	367.38	0.0	0.0	0.0	0.0	158.12	170.04	117.52	26.65	36.25	15.73	12.74	12.36	31.6
