	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_6	Nkx2.1_tdTpositive_cell_19	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_73	Nr5a1_tdTpositive_cell_21	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_5	Ntsr1_tdTnegative_cell_13	Ntsr1_tdTnegative_cell_56	Pvalb_tdTpositive_cell_86	PvalbF.Gad2_tdTpositive_cell_4	PvalbF.Gad2_tdTpositive_cell_25	PvalbF.Gad2_tdTpositive_cell_28	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_33	PvalbF.Gad2_tdTpositive_cell_35	PvalbF.Gad2_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_88	PvalbF.Gad2_tdTpositive_cell_89	PvalbF.Gad2_tdTpositive_cell_90	PvalbF.Gad2_tdTpositive_cell_91	PvalbF.Gad2_tdTpositive_cell_92	Rbp4_tdTpositive_cell_174	Rbp4_tdTnegative_cell_1	Rbp4_tdTnegative_cell_7	Rbp4_tdTnegative_cell_12	Rbp4_tdTnegative_cell_22	Scnn1a.Tg3_tdTnegative_cell_21	Scnn1a.Tg3_tdTnegative_cell_24
Atp5l	875.84	253.9	970.09	1903.52	192.87	1428.1	1017.6	784.19	460.82	822.13	6.79	1442.53	2588.6	2477.08	1995.49	1074.53	2320.39	1244.36	1273.12	3008.65	1513.58	2152.32	2200.17	2438.92	100.17	1.02	842.18	0.53	0.0	438.38	662.7
Atp6v1f	815.18	0.0	1068.4	660.99	0.0	641.35	119.14	730.9	0.0	857.65	19.62	582.95	1505.61	1248.32	1047.54	783.67	1941.62	933.43	895.02	1049.93	689.7	1193.19	1754.23	1653.48	466.66	982.71	299.69	372.22	1424.93	758.7	0.0
Car10	0.0	0.0	0.0	0.0	0.05	0.0	87.29	34.85	0.0	0.0	4.43	0.0	0.27	35.32	0.0	8.25	2.28	0.11	4.92	0.91	1.34	0.58	0.76	14.38	2.76	0.07	0.07	0.07	0.0	0.19	0.0
Ccdc56	284.08	129.87	567.94	80.15	0.0	396.48	310.67	246.97	0.85	0.0	6.24	513.91	715.6	442.44	935.69	434.39	569.48	428.55	690.33	514.89	698.47	176.12	713.79	827.31	7.07	0.7	3.15	280.33	1502.78	0.0	338.33
Chchd6	0.0	0.0	125.19	0.0	16.47	0.0	109.48	118.84	0.0	0.0	5.23	0.0	171.56	344.31	94.28	14.2	102.42	0.0	153.24	3.39	2.09	169.58	0.67	113.69	363.82	0.0	0.71	0.25	0.0	0.0	0.0
Chgb	0.0	0.0	149.99	30.11	0.17	54.76	318.89	88.32	0.0	0.0	8.08	516.49	238.12	123.82	105.45	41.68	76.5	218.86	126.44	114.37	34.9	187.87	26.84	143.22	642.12	0.52	0.87	0.0	0.0	0.0	0.0
Ckmt1	0.0	0.0	80.32	0.74	0.4	98.21	140.83	0.69	0.0	0.0	2.02	273.21	444.9	294.0	337.89	69.74	376.51	273.84	244.97	277.7	62.6	221.07	96.34	451.19	3.82	0.15	0.45	0.0	0.0	0.0	0.0
Coq2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.0	1.24	0.21	21.55	0.0	0.42	23.4	22.33	2.31	2.67	0.45	0.42	10.34	0.0	5.87	722.25	0.0	0.0	0.0	0.0	0.0	0.0
Cox4i1	907.98	995.3	1601.28	1973.36	813.29	2408.52	2086.9	2021.91	327.85	922.94	34.8	2488.07	2732.96	2190.22	2994.97	1885.28	2023.58	2660.73	2290.64	2888.49	3250.92	2802.42	2833.74	3127.56	781.26	2410.15	1536.98	1912.86	1400.17	611.92	460.01
Cox6b1	540.36	5.05	1387.31	1354.08	894.19	1194.84	1100.38	522.2	0.0	411.39	27.63	872.69	4369.31	2932.67	1901.45	1399.47	3237.49	2163.06	1703.18	3574.3	2121.45	2721.07	3570.38	3545.72	7.83	271.46	1641.71	0.0	1.3	0.0	800.21
Cox6c	384.1	299.16	1339.81	1414.9	1174.02	1428.01	1274.08	1078.5	1505.05	1187.45	182.74	981.43	4674.98	3313.97	2223.09	2011.11	4066.14	2166.19	1913.84	4185.61	2218.68	3292.57	4413.51	3218.94	75.99	1157.15	727.31	1498.71	0.0	1.35	233.04
Cox7a2	0.0	0.0	573.91	745.76	654.6	573.26	335.21	260.13	195.86	0.0	13.31	719.79	2522.85	1859.99	1206.76	785.86	1810.72	961.4	880.63	2610.62	2117.51	2077.45	2106.64	1756.58	4.8	551.3	333.59	548.1	0.84	0.87	254.0
Cox7b	0.0	0.48	265.07	308.19	0.0	408.71	179.5	162.05	0.0	0.0	6.55	695.12	1869.19	1711.92	1009.98	659.58	1721.9	749.25	798.84	1616.65	1642.94	1782.28	1730.07	1661.88	1.24	231.1	143.23	0.26	0.0	0.0	0.0
Cox7c	0.87	575.99	808.91	1179.09	688.62	1068.19	727.27	704.65	280.7	1721.82	15.8	533.67	3464.17	2949.13	1457.55	1374.83	2209.33	1885.5	1818.18	3733.86	3367.61	3336.01	3154.22	2843.71	429.39	998.8	486.83	370.45	0.0	378.57	291.62
Cycs	297.95	741.17	971.33	542.41	101.08	501.84	430.78	446.69	56.43	213.67	11.5	841.65	1655.59	1140.91	857.64	865.19	1403.89	1009.54	1096.28	1707.91	1580.2	1652.47	1464.87	1643.17	14.08	181.36	1.37	257.76	8.15	0.47	263.99
Efr3a	0.0	0.0	8.95	39.86	0.03	1.25	1.36	22.48	0.0	0.0	1.6	29.27	166.4	168.54	178.95	45.34	250.71	61.87	82.06	96.35	64.95	9.04	15.63	111.15	240.8	0.0	0.05	0.0	0.0	437.12	0.0
Fabp3	0.77	0.0	372.14	530.64	0.0	890.17	367.93	64.14	0.0	0.0	8.84	732.58	1585.99	1875.38	588.48	689.83	642.63	795.6	363.07	1845.77	950.7	1046.71	2292.09	657.1	62.09	0.4	0.79	0.0	0.0	0.0	0.0
Gabra1	0.0	0.0	43.74	69.01	0.04	206.44	243.92	65.71	0.0	0.0	4.53	347.11	703.71	499.14	375.85	165.49	556.68	491.33	441.39	498.48	169.04	484.2	667.24	466.73	1.43	0.17	0.23	0.0	0.14	0.0	0.0
Gcsh	0.0	0.0	143.0	0.44	308.97	0.38	12.85	177.02	0.0	0.0	0.0	0.0	245.21	182.0	98.97	55.76	1.89	301.94	237.58	207.02	0.98	179.3	742.44	129.97	200.71	318.18	0.0	0.0	320.99	0.0	0.0
Gng3	0.0	0.0	603.53	925.61	0.38	430.45	456.21	153.24	0.0	0.0	9.4	278.53	508.31	740.17	642.7	571.23	829.86	635.17	570.62	146.64	1167.29	921.67	829.88	771.13	2.66	0.42	0.72	0.0	0.36	0.0	0.0
Hcn1	0.0	0.0	7.79	0.67	0.43	89.13	7.88	0.65	0.0	0.0	0.3	25.09	77.15	100.19	22.0	12.13	21.28	13.91	53.79	28.52	20.94	66.84	31.51	15.08	4.75	0.12	0.03	0.0	0.0	0.0	0.0
Hsbp1l1	0.0	0.0	0.84	2.11	0.13	1.61	0.59	1.55	0.0	0.0	0.75	118.55	66.02	0.0	0.63	0.0	38.73	0.29	0.73	161.39	3.64	0.0	19.97	78.98	0.0	0.0	2.43	0.0	0.0	0.0	0.0
Hspe1	0.0	383.77	251.73	198.99	0.0	357.66	35.99	34.22	244.15	193.02	4.35	185.11	1109.11	693.31	381.42	202.17	523.13	369.94	313.56	949.84	531.86	683.4	407.01	425.27	174.13	0.33	1.96	0.0	0.0	278.7	0.0
Kcnc1	0.0	0.06	19.25	0.37	0.0	30.17	1.74	13.43	0.0	0.0	0.52	2.12	78.71	156.07	38.83	14.89	49.7	27.76	68.82	56.07	84.88	105.24	46.16	91.56	0.0	0.03	0.0	0.03	0.76	0.39	0.0
Mif	465.16	0.0	1427.39	986.89	438.72	1197.79	548.13	639.0	59.9	339.25	1429.79	1333.54	2071.74	2003.68	1396.71	916.69	1347.53	931.38	1420.76	1459.8	2383.9	2188.16	2018.28	1581.76	7.05	2258.76	1239.47	1403.82	0.0	0.0	438.68
Mrpl42	0.0	619.6	571.84	683.97	513.04	931.63	458.79	160.06	0.0	0.0	10.16	489.88	1020.48	1200.95	818.56	381.87	1638.75	677.47	660.86	1002.34	2461.06	906.3	1748.83	1306.81	3.84	0.38	474.15	350.57	0.0	0.0	0.0
Mrps18a	0.0	0.0	109.31	457.55	0.0	12.6	83.05	94.01	0.0	0.0	47.24	130.19	294.34	289.93	473.04	120.76	96.29	602.16	187.67	2.49	652.22	229.09	213.92	59.3	2.89	43.44	0.0	0.0	0.0	0.0	0.0
Mt3	0.0	0.0	418.05	774.02	494.03	289.28	610.27	913.31	1.17	0.0	1155.98	211.97	1251.37	596.4	467.42	696.82	668.66	758.78	597.32	643.81	381.7	234.13	688.59	767.16	597.59	0.96	0.96	1.0	0.0	0.0	0.0
Myeov2	93.53	0.0	268.29	287.55	53.49	361.36	483.37	457.58	0.0	0.0	2.71	550.65	453.84	234.98	700.04	189.39	722.62	526.14	400.39	1002.2	791.31	562.98	906.24	737.58	294.96	226.53	163.55	534.84	7.66	554.05	839.01
Nacad	0.0	0.0	0.0	0.12	0.0	0.3	2.52	3.87	0.0	0.0	0.0	0.0	8.3	0.0	8.13	0.0	0.07	3.23	9.97	0.0	0.0	0.31	0.0	9.85	0.0	0.0	0.0	0.05	0.0	0.0	0.0
Ndufa1	0.0	0.0	503.6	976.6	429.48	530.57	353.52	479.05	0.0	347.95	11.83	577.53	2772.2	1606.02	1410.87	694.14	1447.55	814.89	943.91	1252.56	2302.68	1869.59	2059.6	1359.38	745.17	730.26	1.06	0.0	0.0	0.0	134.6
Ndufa11	0.0	88.87	214.97	149.05	0.06	204.3	82.22	111.96	0.0	0.0	3.16	209.03	730.77	407.39	371.56	152.17	572.49	219.0	255.95	520.38	333.92	327.07	188.19	299.69	3.14	115.35	0.09	60.66	0.0	112.74	0.0
Ndufa12	0.89	0.0	724.67	748.93	376.1	575.17	641.49	424.69	297.55	632.98	8.19	1035.33	1721.14	1565.4	1517.31	891.94	1412.63	985.75	929.81	2195.32	1750.3	2622.76	1339.04	2579.02	2.32	235.86	2.3	212.45	0.0	529.42	0.0
Ndufa3	459.35	721.44	1573.13	1576.28	1732.41	913.33	929.16	1412.3	1334.39	1337.73	17.7	1024.95	3490.71	2142.33	1439.5	1497.27	4022.35	1365.02	1725.15	3011.05	2701.74	3181.53	2709.02	2245.05	352.26	1387.29	1030.35	1086.58	1416.95	1233.48	1263.84
Ndufa4	0.0	1.04	3490.45	3289.05	2092.54	1914.56	1300.38	869.46	0.0	0.0	495.73	1931.07	6908.48	5029.27	2638.91	2766.11	7940.06	3665.59	2716.12	6415.49	5228.61	5788.01	5855.34	6678.67	720.04	270.91	623.72	860.88	1.34	559.1	8.43
Ndufa6	494.53	754.13	95.86	332.65	0.31	993.67	391.33	336.19	766.05	1.25	12.3	646.84	1510.06	1158.62	611.49	587.94	1695.66	1058.21	756.16	1240.17	1821.6	924.4	2458.71	2128.11	564.48	0.46	467.26	188.54	286.95	486.28	0.0
Ndufa7	1.06	0.0	422.49	1125.07	0.0	730.38	974.64	471.19	1336.01	306.81	7.28	551.69	822.45	541.88	755.07	615.79	946.37	691.31	634.93	1601.22	648.49	412.77	926.94	1532.47	2.75	314.86	170.86	939.31	1126.38	0.0	0.0
Ndufa8	0.0	0.0	791.83	643.8	0.23	696.04	441.82	5.24	0.0	0.0	6.04	0.0	924.96	519.9	615.76	426.0	358.5	577.21	932.95	532.69	356.13	1029.89	622.37	910.42	37.68	0.34	61.16	269.96	0.86	0.0	0.0
Ndufb10	595.41	576.29	843.89	617.12	397.68	478.71	440.18	645.49	415.96	691.8	10.7	1104.75	1445.46	814.9	962.58	613.55	641.61	1084.81	1059.01	1844.91	1923.8	1535.15	2074.61	1339.02	8.08	400.32	303.7	606.58	0.0	0.0	2.12
Ndufb5	0.0	185.19	591.15	419.57	229.58	155.71	234.14	103.07	0.0	0.0	15.31	1027.95	1616.38	1085.33	778.51	459.93	1364.22	754.94	697.3	1501.19	1214.53	1476.79	1486.72	2037.14	33.47	0.74	282.89	0.26	0.0	0.0	7.85
Ndufb8	0.77	0.0	1532.55	444.82	0.53	1030.52	544.17	696.96	377.06	0.0	10.59	1564.18	3260.5	1719.41	1531.98	878.57	1231.69	1437.48	1671.25	3607.11	1993.32	2324.98	3313.34	2552.79	66.01	390.27	1041.79	974.16	2.0	949.52	1309.21
Ndufc1	0.0	384.17	1053.55	660.76	802.72	569.56	191.29	313.06	177.74	0.0	1226.28	636.29	1143.93	991.94	1121.76	654.48	637.88	487.48	806.33	1078.25	1305.8	757.29	1365.37	1416.32	0.0	457.93	208.97	0.0	0.0	38.78	0.0
Ndufc2	0.72	0.0	767.54	532.09	0.25	642.1	389.57	34.34	356.29	0.0	1460.62	748.87	1249.67	814.49	819.0	541.63	724.39	611.72	770.9	1330.22	784.21	1425.72	1110.9	1134.28	18.7	197.81	1.11	357.71	0.0	0.0	0.0
Ndufs6	0.0	0.0	605.1	150.54	507.97	498.13	485.96	507.07	441.72	0.0	11.49	278.86	867.31	1099.99	728.64	524.09	390.93	582.45	760.96	523.46	1817.48	614.11	535.0	1139.67	7.81	322.85	1.55	0.0	0.0	0.0	0.0
Nkiras1	5.26	1.46	107.78	30.93	1.3	8.37	79.14	19.61	2.19	0.38	40.84	156.15	65.51	76.37	30.67	54.53	79.57	105.67	47.6	190.01	79.12	25.88	90.07	26.09	160.22	1.55	1.56	57.76	5.11	0.96	7.67
Nme7	632.13	0.48	82.28	159.99	0.13	82.19	47.99	6.95	6.16	2.33	7.85	125.03	604.0	568.54	382.56	134.81	468.09	315.71	322.82	399.26	365.54	667.83	405.8	594.24	31.54	1.6	3.05	0.24	2.33	18.81	1.13
Pddc1	0.0	0.0	1.1	1.54	0.56	10.91	94.82	17.23	0.0	0.0	13.57	28.57	63.97	185.24	2.04	22.37	103.13	196.27	62.49	2.25	16.99	9.46	7.72	60.98	6.11	0.57	22.42	0.0	4.92	1.93	0.0
Pitpnc1	0.21	68.73	22.16	80.62	8.66	16.2	39.77	5.31	0.0	0.0	585.99	7.13	60.11	37.35	9.7	8.75	8.61	16.71	13.73	12.09	24.59	28.44	3.79	21.25	3.82	0.07	0.0	0.0	10.35	0.0	49.24
Plcxd3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.94	0.0	0.0	1.12	147.9	155.4	162.69	302.91	176.68	104.58	141.03	139.4	26.14	0.15	59.85	0.27	226.93	0.64	0.0	0.0	0.0	0.0	0.0	0.0
Prdx2	60.51	0.0	1245.19	142.7	716.65	1381.3	762.13	259.04	0.0	10.62	10.48	1796.01	1228.74	1203.77	1496.89	858.09	643.5	1191.85	843.4	1535.6	1296.81	2293.62	1367.6	1967.46	5.28	287.52	3.41	721.41	0.0	56.78	0.0
Prdx5	9.28	0.72	530.75	475.15	0.49	278.71	206.18	140.17	1.78	333.71	17.97	513.69	536.25	511.08	771.52	364.28	242.98	708.06	741.83	1313.65	800.87	835.13	377.12	909.7	170.31	267.58	289.3	0.77	0.0	0.0	924.55
Rab24	0.0	0.0	0.0	1.68	0.0	2.11	14.66	2.32	0.0	0.0	0.0	0.0	11.83	0.0	12.42	12.3	1.53	0.0	1.11	1.85	4.16	0.88	0.0	0.18	1.29	0.0	0.0	0.0	0.0	10.71	0.0
Rab3a	0.0	0.0	46.14	172.81	0.11	207.7	277.74	331.21	40.46	0.0	15.18	2.04	647.26	223.26	255.33	209.15	232.27	464.3	431.74	353.54	437.92	631.7	817.27	841.35	74.82	0.17	0.67	0.0	0.0	0.0	0.0
Rpl22l1	38.27	0.0	526.82	402.13	0.0	120.41	175.43	93.73	0.0	0.0	4.91	250.1	605.1	477.99	107.51	380.38	741.35	413.27	235.47	697.04	260.01	583.0	404.17	462.55	10.36	0.0	0.55	0.0	0.0	1387.3	0.0
Rpl36al	0.0	0.0	422.78	137.13	0.0	199.22	441.27	81.27	0.0	0.0	2.24	366.14	625.12	430.81	362.96	168.08	696.68	545.81	216.44	476.21	457.81	353.0	562.72	623.92	76.2	248.41	458.01	18.88	0.0	0.0	0.0
Rrp1	0.0	0.0	13.93	0.29	275.58	196.19	276.33	8.62	167.64	0.0	1.58	321.02	135.32	0.0	181.14	95.68	17.35	133.65	45.52	51.63	204.66	1.16	181.48	10.55	3.59	0.36	10.01	24.08	0.0	595.27	0.0
Sfxn5	0.0	0.0	30.21	72.94	0.0	25.14	131.24	356.73	77.34	0.0	593.75	70.83	50.81	136.31	16.1	113.16	14.69	101.27	36.2	0.19	14.65	31.56	1.19	37.19	0.32	0.06	0.0	0.0	0.0	0.0	28.01
Snord116	0.0	0.0	0.0	15.31	0.0	0.0	0.0	0.0	0.0	0.0	8.64	0.0	4.1	0.0	19.23	0.0	0.0	17.28	3.67	8.22	18.07	22.82	15.63	24.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Snord116l1	0.0	0.0	0.0	15.31	0.0	0.0	0.0	0.0	0.0	0.0	8.64	0.0	4.1	0.0	19.23	0.0	0.0	17.28	3.67	8.22	18.07	22.82	15.63	24.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Snord116l2	0.0	0.0	0.0	15.31	0.0	0.0	0.0	0.0	0.0	0.0	8.64	0.0	4.1	0.0	19.23	0.0	0.0	17.28	3.67	8.22	18.07	22.82	15.63	24.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Syt3	0.0	0.0	0.0	5.15	0.0	9.22	3.15	1.83	0.0	0.0	0.0	3.51	0.0	14.58	24.57	17.39	5.72	5.75	0.0	0.28	16.44	0.0	0.0	2.12	58.65	0.0	0.0	0.0	0.0	0.0	0.0
Tctex1d2	0.0	0.0	0.89	221.86	0.0	144.36	0.0	0.0	0.0	0.0	0.0	17.88	0.0	293.96	6.11	41.4	99.25	71.98	0.0	243.05	138.46	0.0	0.0	64.22	0.0	0.0	0.0	0.0	587.2	0.0	0.0
Tomm5	0.0	0.0	176.28	150.85	0.0	216.41	88.94	178.51	0.0	0.0	1.78	157.71	902.34	985.37	101.52	184.31	672.12	297.42	410.0	470.25	379.57	472.04	479.82	592.89	701.39	77.72	0.0	0.0	0.0	0.0	0.0
Ttll11	0.0	0.0	25.79	0.19	0.0	0.0	0.0	0.63	0.0	0.0	0.0	0.0	23.9	3.26	30.9	16.84	11.89	0.0	0.0	4.91	0.0	0.33	0.0	6.37	173.07	0.0	0.0	0.0	0.0	0.0	0.0
Uqcrh	1233.15	1162.28	998.22	1779.27	535.72	997.36	937.89	652.42	0.0	0.0	21.09	1765.33	3141.71	2385.96	1227.88	1095.52	4071.11	1023.93	1470.25	2762.07	3333.26	1972.06	3614.07	3059.13	19.12	936.6	350.68	694.39	296.37	0.0	473.31
Uqcrq	254.99	0.0	1275.52	987.26	1102.71	1366.67	944.41	480.36	3.81	0.0	11.67	910.18	2421.3	2228.44	1604.78	680.66	1784.08	1494.4	1717.33	2731.69	2743.14	1174.3	2759.5	2193.71	706.17	1.05	357.96	293.51	0.0	0.0	0.0
Usmg5	0.0	0.0	1850.68	2535.65	0.54	1876.68	1135.7	1021.14	375.59	889.97	36.39	1498.9	4755.58	3720.24	2082.65	1994.64	5257.44	2022.66	2316.61	4416.27	4115.34	5543.74	6552.05	4206.3	16.44	961.09	415.85	217.56	0.0	396.61	294.76
Vat1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.51	1.16	4.33	0.0	0.0	5.32	0.45	12.0	0.05	0.0	0.06	13.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Zcchc9	0.3	0.55	0.7	22.65	0.43	200.06	0.1	12.79	0.0	0.0	1.24	70.96	0.38	24.12	0.0	0.32	8.37	0.24	19.28	150.44	24.61	0.58	0.12	10.62	5.78	0.0	36.68	32.5	0.41	321.8	0.0
mt_AF378830	17576.79	39672.03	21159.16	52908.5	39259.72	41474.39	28070.96	55289.36	19204.33	14465.49	38878.51	27201.04	31907.21	28921.72	27826.74	46877.17	51765.19	35741.21	38697.02	38916.35	37131.88	39549.63	34575.75	36514.83	30625.22	20477.39	15430.6	23800.22	31935.37	23152.88	22626.16
mt_AK131577	1592.06	6586.18	4750.49	11869.87	6129.44	6636.2	5183.26	12410.34	2385.61	2547.34	4761.71	4263.52	7432.39	7256.23	5566.25	9933.94	10889.61	6360.73	6412.84	9572.18	6997.29	7992.08	5727.1	5989.85	5861.73	3763.46	2727.53	2736.29	4291.04	3507.63	2102.05
mt_AK131578	6216.1	14857.05	7430.57	16762.8	8513.15	12153.04	11422.04	21769.91	2884.71	2568.97	8062.39	11533.49	10318.88	9465.96	6075.87	13770.07	13856.24	10103.99	12030.5	10380.84	11314.08	11470.13	11734.83	8923.7	20767.68	4214.14	2865.53	2857.57	6185.23	8347.38	7602.69
mt_AK131579	32599.4	55662.18	31227.24	73067.83	55281.42	56311.06	40069.68	94403.3	29552.38	28363.88	50469.69	36905.92	40349.87	34633.84	32259.57	60705.47	56120.42	45312.1	46620.23	59803.41	36756.3	51796.42	39836.88	44271.34	50260.41	31279.15	24338.34	29540.1	29300.66	26570.72	24025.21
mt_AK131587	295.0	1372.69	1044.95	3019.3	1588.56	1637.67	1275.69	2697.07	416.49	320.8	882.4	741.7	1773.45	1711.57	1266.43	2155.32	2411.97	1628.72	1401.06	1953.11	1613.66	1363.31	1138.01	1343.89	1707.02	795.79	748.12	625.89	648.71	974.14	788.88
mt_AK131866	4867.3	6005.42	4909.56	10981.38	7073.32	6720.08	6534.52	13378.95	2671.2	2088.62	9633.27	6440.11	5244.41	7252.51	6000.85	9529.06	8705.53	6476.53	7375.78	10475.6	8968.75	6973.58	7823.22	7333.83	6708.39	4128.31	3496.86	4227.86	3938.71	5179.34	4306.41
mt_AK132015	1592.06	6586.18	4750.49	11869.87	6129.44	6636.2	5183.26	12410.34	2385.61	2547.34	4761.71	4263.52	7432.39	7256.23	5566.25	9933.94	10889.61	6360.73	6412.84	9572.18	6997.29	7992.08	5727.1	5989.85	5861.73	3763.46	2727.53	2736.29	4291.04	3507.63	2102.05
mt_AK132098	1592.06	6586.18	4750.49	11869.87	6129.44	6636.2	5183.26	12410.34	2385.61	2547.34	4761.71	4263.52	7432.39	7256.23	5566.25	9933.94	10889.61	6360.73	6412.84	9572.18	6997.29	7992.08	5727.1	5989.85	5861.73	3763.46	2727.53	2736.29	4291.04	3507.63	2102.05
mt_AK138995	471.11	1584.32	939.33	2014.05	1159.05	1112.84	1384.59	3119.18	145.7	204.91	553.08	1168.35	852.14	918.31	597.6	1835.41	1279.97	1085.53	1304.54	863.32	973.7	1264.46	1054.29	993.68	3109.77	307.99	318.54	256.6	1200.62	793.68	703.1
mt_AK153847	2208.92	2210.01	1371.31	3201.1	175.2	1690.45	1844.97	735.44	455.43	0.0	942.18	960.22	1377.85	1829.12	979.92	1391.4	1506.88	1402.55	1376.76	724.87	434.54	1241.16	1940.44	0.0	2927.34	493.25	143.52	587.55	80.93	930.88	371.64
mt_AK154943	144.97	769.11	469.91	1130.09	695.95	607.82	532.71	1242.47	214.26	206.75	891.98	473.61	331.47	315.08	423.53	1027.86	737.01	520.98	657.08	526.9	388.16	544.5	445.73	645.31	278.21	287.07	179.2	97.63	107.53	120.6	208.55
mt_AK163440	3251.41	9117.15	3868.16	10342.78	8550.15	7445.73	5482.9	13495.59	2038.1	2144.02	6557.74	3778.39	6515.51	5129.85	4872.7	9855.03	5459.26	4388.54	7296.27	5262.3	4419.49	4252.88	3846.93	3461.43	7693.2	4979.69	1750.69	1091.97	6787.8	5364.69	3139.06
