	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_14	Chrna2_tdTpositive_cell_43	Chrna2_tdTpositive_cell_54	Chrna2_tdTpositive_cell_62	Cux2_tdTpositive_cell_63	Cux2_tdTnegative_cell_7	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_11	Gad2_tdTpositive_cell_22	Gad2_tdTpositive_cell_43	Gad2_tdTpositive_cell_47	Gad2_tdTpositive_cell_55	Gad2_tdTpositive_cell_74	Gad2_tdTpositive_cell_75	Htr3a_tdTpositive_cell_85	Ndnf_tdTnegative_cell_5	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_2	Nkx2.1_tdTpositive_cell_4	Nkx2.1_tdTpositive_cell_6	Nkx2.1_tdTpositive_cell_10	Nkx2.1_tdTpositive_cell_11	Nkx2.1_tdTpositive_cell_12	Nkx2.1_tdTpositive_cell_13	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_17	Ntsr1_tdTnegative_cell_20	Ntsr1_tdTnegative_cell_25	Ntsr1_tdTnegative_cell_27	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_14	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_18	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_24	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_30	Pvalb_tdTpositive_cell_32	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_39	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_41	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_43	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_51	Pvalb_tdTpositive_cell_53	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_57	Pvalb_tdTpositive_cell_58	Pvalb_tdTpositive_cell_60	Pvalb_tdTpositive_cell_61	Pvalb_tdTpositive_cell_62	Pvalb_tdTpositive_cell_64	Pvalb_tdTpositive_cell_68	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_72	Pvalb_tdTpositive_cell_74	Pvalb_tdTpositive_cell_75	Pvalb_tdTpositive_cell_78	Pvalb_tdTpositive_cell_79	Pvalb_tdTpositive_cell_80	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_20	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_31	PvalbD.Slc32a1_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_6	PvalbF.Gad2_tdTpositive_cell_7	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_13	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_16	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_32	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_35	PvalbF.Gad2_tdTpositive_cell_37	PvalbF.Gad2_tdTpositive_cell_38	PvalbF.Gad2_tdTpositive_cell_39	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_43	PvalbF.Gad2_tdTpositive_cell_44	PvalbF.Gad2_tdTpositive_cell_45	PvalbF.Gad2_tdTpositive_cell_46	PvalbF.Gad2_tdTpositive_cell_48	PvalbF.Gad2_tdTpositive_cell_49	PvalbF.Gad2_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_52	PvalbF.Gad2_tdTpositive_cell_53	PvalbF.Gad2_tdTpositive_cell_54	PvalbF.Gad2_tdTpositive_cell_55	PvalbF.Gad2_tdTpositive_cell_56	PvalbF.Gad2_tdTpositive_cell_57	PvalbF.Gad2_tdTpositive_cell_58	PvalbF.Gad2_tdTpositive_cell_59	PvalbF.Gad2_tdTpositive_cell_60	PvalbF.Gad2_tdTpositive_cell_61	PvalbF.Gad2_tdTpositive_cell_62	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_64	PvalbF.Gad2_tdTpositive_cell_65	PvalbF.Gad2_tdTpositive_cell_66	PvalbF.Gad2_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_68	PvalbF.Gad2_tdTpositive_cell_69	PvalbF.Gad2_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_71	PvalbF.Gad2_tdTpositive_cell_72	PvalbF.Gad2_tdTpositive_cell_73	PvalbF.Gad2_tdTpositive_cell_74	PvalbF.Gad2_tdTpositive_cell_75	PvalbF.Gad2_tdTpositive_cell_76	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_79	PvalbF.Gad2_tdTpositive_cell_80	PvalbF.Gad2_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_82	PvalbF.Gad2_tdTpositive_cell_83	PvalbF.Gad2_tdTpositive_cell_84	PvalbF.Gad2_tdTpositive_cell_85	PvalbF.Gad2_tdTpositive_cell_86	PvalbF.Gad2_tdTpositive_cell_87	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_21	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg2_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_12	Slc17a6_tdTpositive_cell_19	Sst_tdTpositive_cell_56	Tac2_tdTpositive_cell_1	Tac2_tdTpositive_cell_6	Tac2_tdTpositive_cell_7	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_25
Btbd3	1.92	73.92	101.99	13.95	74.83	157.36	0.0	0.0	13.52	46.05	261.54	157.7	193.24	8.9	215.15	195.5	0.0	0.06	0.0	122.86	166.59	48.0	40.66	86.62	70.9	216.28	54.59	0.0	31.51	0.0	0.0	0.96	126.06	194.44	61.01	152.8	66.32	154.62	73.62	125.85	88.86	173.73	145.12	128.08	256.08	174.68	183.29	132.95	49.81	136.39	87.35	57.06	180.57	246.39	128.89	81.03	193.83	62.75	71.2	108.48	97.07	137.86	146.52	60.55	200.36	152.54	93.14	94.18	213.72	40.81	117.85	176.0	204.44	195.65	8.36	109.53	148.7	16.38	119.14	133.88	137.66	0.11	25.28	103.84	119.68	124.02	189.47	242.85	66.16	129.56	97.84	192.72	148.58	145.6	46.94	116.34	212.38	87.46	134.96	166.0	26.55	57.24	46.88	183.97	133.01	68.42	107.22	176.02	195.86	100.05	181.65	143.94	64.29	195.99	65.12	58.75	119.31	326.54	255.02	193.73	163.56	134.0	194.41	134.2	242.12	199.24	283.38	91.27	138.21	140.02	258.57	181.41	390.5	199.2	139.28	139.29	170.45	268.69	323.04	317.56	249.85	22.67	184.43	21.86	98.74	236.92	0.0	0.0	0.0	0.24	0.0	0.0	122.87	136.77	117.79	152.61	270.95	0.0	0.0
Cacna2d2	0.0	0.02	1.85	0.0	2.26	4.0	0.0	0.0	0.0	0.0	3.19	1.27	16.29	0.03	7.96	0.06	0.0	0.05	0.0	1.98	1.88	2.84	4.57	7.96	1.6	4.27	7.6	0.0	0.14	0.0	0.0	0.0	0.75	6.92	0.09	0.34	5.35	0.0	0.0	6.06	6.03	5.73	9.01	0.11	16.43	10.03	0.32	2.27	3.56	3.84	7.24	2.26	19.51	8.1	0.7	2.16	0.0	0.0	2.39	3.46	5.05	2.68	0.95	2.02	10.14	6.72	2.29	0.7	0.0	7.42	27.27	4.32	3.56	8.0	22.23	7.13	1.8	3.93	5.88	9.31	2.19	0.0	11.27	8.82	6.72	15.03	3.9	22.29	4.04	4.37	8.56	5.43	8.29	0.0	0.77	2.19	0.0	0.45	0.24	3.34	0.0	1.86	0.41	12.55	2.84	1.42	7.18	6.12	12.43	11.46	16.11	4.87	4.53	5.58	6.88	2.09	14.25	0.42	1.67	0.96	8.85	8.07	2.45	10.39	19.41	24.05	4.14	13.57	2.51	3.45	8.55	9.35	2.29	5.99	2.06	2.93	11.03	13.62	6.81	5.99	5.5	5.02	5.43	13.77	16.24	2.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.32	1.37	0.15	5.17	0.0	0.0
Cacng2	0.0	5.31	12.49	0.0	24.45	13.35	0.0	0.0	3.55	5.74	24.33	1.17	1.39	1.58	11.06	47.46	0.0	0.0	0.0	3.82	3.11	2.41	9.65	21.83	0.33	1.23	13.06	0.0	0.0	0.0	0.0	0.0	7.18	5.1	2.76	8.29	8.15	7.46	9.09	25.7	14.67	1.57	25.5	15.75	6.83	9.76	7.05	2.1	6.87	8.78	24.28	3.64	8.27	8.94	16.4	28.2	1.07	2.73	2.06	18.04	6.89	6.44	1.62	18.5	16.1	4.77	53.65	9.59	2.31	4.38	3.64	6.66	7.25	5.52	9.59	23.64	4.59	2.13	7.54	32.28	10.22	6.09	27.11	3.4	4.32	33.73	3.37	31.66	4.5	6.33	2.77	35.29	2.02	18.45	11.22	22.83	11.14	6.1	2.32	6.02	17.31	6.23	5.0	16.45	0.37	23.35	15.61	10.96	4.06	9.59	28.43	7.62	5.39	13.94	23.38	11.99	3.74	6.83	14.79	2.33	3.97	12.19	12.74	24.9	4.61	15.64	8.94	22.9	20.57	19.53	16.29	12.38	10.99	5.45	6.8	9.54	1.85	19.28	20.56	14.21	21.23	6.14	0.14	4.59	1.29	3.43	0.0	0.0	0.0	0.51	0.0	0.0	2.82	13.09	1.65	3.06	2.21	8.01	0.0
Cadps	0.0	48.12	288.05	14.92	85.32	169.8	0.0	0.0	25.16	13.9	100.73	134.18	153.03	125.03	65.53	151.58	0.0	0.0	0.0	105.17	107.22	102.65	179.46	172.36	40.05	187.08	140.38	0.0	0.23	0.0	0.0	0.11	100.45	91.66	67.77	70.19	121.24	171.29	167.94	90.33	116.58	121.3	160.28	142.88	80.32	141.54	140.98	72.37	60.1	175.21	165.19	39.63	117.36	87.19	180.24	164.45	23.13	213.13	65.4	80.63	58.51	109.75	60.68	46.12	98.14	197.54	113.69	119.95	60.4	77.18	78.51	144.55	59.12	144.15	77.4	201.44	125.39	103.59	195.13	209.0	318.16	93.18	109.92	84.3	68.1	140.61	180.37	221.48	106.17	82.36	25.16	235.87	116.96	51.41	100.87	161.03	94.6	50.79	85.64	158.29	63.2	133.94	88.82	121.53	101.94	125.22	142.8	65.24	55.79	28.22	106.85	144.63	190.24	134.05	116.32	150.33	107.84	102.21	266.15	225.91	116.13	117.29	157.46	115.33	46.21	68.54	151.59	182.27	198.31	257.89	32.04	293.73	181.12	118.53	168.73	154.48	50.54	278.4	167.55	202.49	125.82	57.02	120.8	251.39	91.5	129.52	0.0	0.06	0.0	0.33	0.07	0.0	0.13	149.01	220.05	78.13	144.12	43.8	85.8
Ccdc136	0.0	33.78	2.64	0.0	18.16	45.01	51.29	0.0	8.59	0.0	19.3	12.13	5.17	25.71	31.96	0.0	0.0	197.97	0.0	23.13	16.9	45.72	19.59	16.56	1.31	49.48	26.31	0.0	0.0	38.29	0.13	24.15	42.53	8.92	27.12	5.64	27.04	13.16	26.74	14.72	6.46	0.0	4.94	7.92	10.1	6.91	3.01	18.26	0.0	22.09	6.35	1.96	25.6	4.01	1.21	50.62	0.24	4.52	0.0	0.0	26.76	18.57	33.97	1.57	0.07	11.9	0.1	41.47	0.87	36.82	58.31	1.87	43.14	8.66	32.24	0.0	7.24	34.85	6.66	40.46	4.66	28.22	21.99	9.8	39.83	28.95	5.47	67.84	6.21	8.67	25.18	44.18	49.99	16.45	0.67	41.56	16.73	11.72	7.78	7.91	49.35	28.78	29.06	27.65	17.72	70.72	54.7	46.42	28.92	4.64	74.04	15.26	64.95	6.97	29.85	57.09	46.0	110.48	29.37	14.99	22.68	6.48	62.6	41.75	16.46	21.72	61.11	31.48	1.33	12.01	6.82	70.93	0.58	0.0	74.32	24.2	7.49	11.03	35.59	30.35	43.41	17.27	1.48	3.51	2.0	25.05	0.0	0.0	0.0	0.0	8.96	0.0	0.0	3.06	31.15	18.05	19.92	0.0	0.0
Ccdc92	0.0	0.0	0.24	0.0	9.23	0.0	0.0	0.0	0.0	0.0	13.55	28.58	60.36	0.0	16.91	0.0	0.0	0.0	0.0	58.41	8.01	25.62	24.84	0.0	42.71	28.16	38.47	0.0	0.0	0.0	0.0	0.0	12.4	23.41	7.22	7.02	4.56	28.81	80.17	18.68	12.96	55.36	0.28	11.08	25.68	0.24	0.0	20.76	0.88	27.5	33.71	5.31	26.88	82.33	20.82	6.85	20.27	0.0	34.51	69.02	0.0	28.24	57.66	40.39	48.95	15.35	42.56	0.25	0.0	0.33	38.17	0.0	26.67	2.45	16.39	0.0	19.3	0.0	0.0	63.87	31.29	16.13	1.06	0.0	0.0	0.95	0.0	14.96	10.02	0.0	15.22	30.28	16.31	0.0	0.0	0.0	13.7	10.89	0.0	0.0	0.0	0.0	26.96	46.4	0.0	1.47	21.05	47.56	14.98	0.0	17.23	0.0	0.0	24.22	18.25	33.61	3.12	39.11	0.14	0.0	0.0	0.0	0.0	1.02	19.59	17.4	25.13	69.25	18.51	0.0	47.12	2.54	10.43	0.0	9.3	13.6	67.37	33.57	0.0	0.0	0.0	0.0	0.0	127.71	0.0	1.56	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.53	0.0	0.0	0.51	42.88	0.0
Cdr1	0.0	53.1	48.98	0.0	119.0	107.84	0.0	0.0	31.69	11.69	59.71	197.33	102.47	0.0	41.09	110.39	0.0	0.0	0.0	29.58	110.2	0.0	62.72	46.91	14.9	108.11	96.17	0.0	0.0	0.0	0.0	0.52	53.51	64.19	36.68	47.5	96.58	85.92	122.63	79.93	140.74	35.08	110.68	75.89	129.29	135.65	60.83	37.4	26.12	76.3	7.67	48.27	58.36	92.55	73.33	45.25	85.72	10.27	12.54	31.51	48.12	16.54	96.12	31.37	105.95	62.2	29.6	52.76	300.05	0.49	54.78	33.44	80.0	134.08	72.75	49.22	120.74	2.97	50.28	12.67	125.28	71.89	209.47	69.32	119.68	69.52	89.39	252.04	65.84	139.13	53.86	15.12	102.48	28.71	182.77	69.74	60.93	123.04	89.3	147.03	91.26	37.81	83.73	125.46	88.69	24.28	91.04	50.06	19.53	49.29	46.02	82.87	48.75	39.88	130.48	53.86	15.75	144.47	75.33	102.07	83.13	24.63	120.68	85.57	84.58	136.21	92.81	114.61	204.25	64.62	93.06	164.39	83.67	96.82	16.05	219.62	146.18	210.13	144.7	77.38	123.51	10.67	86.88	43.26	134.42	104.56	0.0	0.0	0.08	0.0	0.0	0.0	0.0	62.29	137.46	37.47	90.81	0.0	26.74
Cdt1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.1	97.58	0.0	0.0	0.0	0.0	0.0	8.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.14	0.0	0.0	0.0	0.0
Cend1	0.0	666.23	331.47	486.97	889.34	491.64	212.62	0.0	1052.26	415.23	361.24	428.08	649.62	616.23	280.39	446.73	0.18	0.17	0.0	512.51	586.86	777.56	368.97	336.42	465.94	583.55	563.02	1.01	6.17	32.55	0.0	2.56	390.67	545.7	443.5	680.52	896.54	601.94	576.33	564.87	797.9	931.62	930.78	412.1	633.53	723.22	441.71	464.09	546.67	517.57	713.82	848.48	795.87	631.56	920.13	650.31	743.58	437.21	770.83	817.19	518.39	442.21	1215.41	732.05	914.28	579.4	901.11	651.33	590.7	673.66	662.9	874.59	601.36	671.84	832.2	572.8	629.8	801.01	878.53	311.45	682.7	263.16	349.56	902.93	841.96	1077.52	607.26	391.11	775.77	530.35	673.44	448.59	562.46	447.08	466.54	316.04	624.41	455.43	505.05	496.43	150.35	831.47	435.81	530.47	521.14	889.9	741.15	914.56	591.99	815.57	523.4	782.64	621.95	801.09	738.21	762.57	1022.22	620.37	557.29	355.5	721.86	932.4	935.67	424.06	532.5	841.95	614.71	684.75	915.92	707.43	893.19	587.38	1126.05	851.87	1018.15	580.48	497.7	752.66	544.36	870.71	627.98	747.12	1040.94	552.83	344.0	793.53	0.0	0.0	0.11	2.74	0.75	0.14	15.92	952.06	388.81	828.43	392.51	153.02	397.46
Chchd2	1263.71	23.3	69.28	139.3	867.77	800.28	399.13	0.0	949.97	267.61	517.48	76.59	208.73	713.36	447.69	796.17	0.0	0.96	147.94	614.46	618.57	339.33	336.9	383.9	630.09	682.77	516.34	0.0	5.79	0.0	620.26	398.46	375.65	590.58	147.54	36.77	461.37	111.38	126.03	469.87	848.69	1098.42	465.93	391.2	440.48	460.24	857.0	101.55	630.83	536.4	596.03	772.52	428.2	647.41	775.15	687.31	809.24	888.41	1206.19	129.45	250.53	315.65	589.01	725.75	919.27	737.58	716.59	335.67	592.39	8.99	174.59	503.4	513.94	449.79	498.15	749.06	478.53	109.5	192.2	426.18	53.55	1026.02	521.81	688.02	781.02	885.98	409.43	794.04	580.56	580.14	699.31	818.63	421.54	346.58	279.16	128.05	816.0	445.97	199.36	720.97	495.14	838.14	650.12	600.76	482.03	709.76	831.07	939.84	977.39	805.31	736.48	905.99	797.61	577.96	1023.38	851.43	875.33	964.1	618.17	868.52	1064.73	757.83	1141.81	566.31	1015.37	1137.31	534.02	682.77	750.66	135.27	424.65	178.37	379.06	4.93	294.32	669.69	428.48	399.05	330.2	477.57	705.36	470.06	699.24	707.39	564.3	455.15	121.08	0.41	232.4	5.03	445.35	832.88	543.01	713.87	428.64	417.9	660.03	87.18	29.97
Cisd1	1413.4	22.85	394.85	0.0	465.07	685.52	759.3	0.0	421.39	268.64	366.48	116.9	274.87	459.15	549.89	819.16	0.0	0.3	0.0	768.35	466.14	332.29	351.61	662.19	777.57	678.58	398.2	0.89	4.08	1003.79	544.58	481.85	415.5	369.0	4.03	101.04	594.67	58.13	113.25	409.66	750.63	730.53	452.25	286.26	365.95	528.92	392.68	163.48	669.27	352.73	879.97	833.94	557.92	431.16	513.94	700.23	288.87	830.65	655.92	364.76	413.37	143.64	207.25	652.09	736.18	398.66	386.99	331.59	812.9	33.78	311.62	889.61	636.69	627.0	440.28	735.9	556.07	228.42	180.55	496.63	311.24	720.7	430.8	298.22	528.1	333.01	197.56	846.18	534.37	327.84	448.92	615.56	520.34	413.72	396.55	116.31	383.27	564.33	176.11	549.75	307.52	481.18	383.13	172.94	397.67	725.88	607.0	844.08	669.49	489.59	796.77	637.13	404.22	573.7	530.7	677.08	623.4	494.77	513.22	807.0	510.47	512.55	353.64	395.19	746.07	515.8	318.02	426.79	554.65	125.75	393.75	377.36	91.85	84.56	440.95	402.57	670.75	530.53	504.35	466.93	689.15	540.58	520.18	694.26	622.75	320.91	0.0	0.0	0.2	1730.13	0.44	0.0	386.0	738.13	398.49	200.83	538.92	6.36	90.18
Cplx1	0.0	536.26	536.72	304.83	1347.99	1395.54	0.0	0.0	1093.52	283.63	883.73	475.43	815.42	398.62	787.27	838.45	0.14	0.13	0.0	1441.46	1027.7	601.41	845.01	973.2	1257.28	1043.15	1211.51	0.0	1.16	0.0	0.0	0.55	918.29	1059.17	690.08	958.97	994.91	1014.15	490.93	1194.53	1190.34	743.24	878.68	1296.16	1148.18	1678.45	1067.45	933.75	801.33	1018.15	1142.88	1013.26	989.31	1225.49	1025.48	1115.12	924.93	685.92	990.97	483.38	945.93	1234.37	1049.04	664.61	732.32	980.59	719.34	1391.79	1595.4	632.95	774.15	976.46	712.54	1585.92	1087.57	963.7	1385.59	708.7	878.94	1270.37	910.66	543.36	989.52	1322.39	1288.01	1598.03	2098.74	1264.46	1058.61	1330.63	989.39	1302.33	1276.36	975.44	767.51	743.73	1128.92	799.74	1177.69	1132.62	821.46	1172.58	1045.33	1379.92	1128.32	1189.5	1328.14	1676.73	1286.96	1569.65	1559.09	1334.26	1665.13	1410.17	1223.44	1238.42	1356.67	1202.5	1108.19	1042.36	1808.1	1760.34	1321.84	1044.79	1670.25	1314.2	772.35	1485.44	920.94	1049.92	976.75	1158.12	586.33	693.16	990.22	1382.77	862.97	1368.88	1068.01	847.2	881.86	1199.98	1096.05	1094.15	1120.84	1054.91	0.0	0.48	0.08	1.35	0.0	0.0	216.1	1159.89	965.94	603.22	1470.47	0.0	52.31
Cs	698.89	39.31	135.61	121.55	509.75	138.99	346.06	37.69	495.34	240.63	125.24	249.92	424.13	458.12	519.29	175.53	0.0	48.36	196.39	254.05	181.02	243.16	238.26	342.23	213.67	265.82	116.33	0.88	2.23	301.42	299.67	492.96	249.89	299.66	176.46	306.29	308.19	192.44	205.92	209.95	384.26	351.25	242.33	232.96	231.71	170.43	417.01	158.86	247.63	333.26	420.08	373.74	281.86	236.51	455.17	192.91	191.11	172.5	114.08	107.7	65.9	411.16	473.19	138.68	320.49	176.26	343.8	205.96	277.55	533.85	407.78	215.67	316.01	193.9	492.72	188.15	312.9	328.49	278.68	194.62	310.01	204.48	302.6	395.63	189.45	511.07	728.16	265.57	299.28	153.1	262.63	199.12	404.51	268.26	218.02	197.28	185.17	159.14	224.15	13.39	549.75	227.99	246.47	356.48	205.66	174.1	237.41	481.75	243.98	106.22	330.25	349.06	282.02	249.25	162.28	267.59	461.93	395.82	411.44	196.1	59.95	200.37	290.56	382.8	214.12	294.6	359.81	361.17	319.23	321.9	490.57	498.67	204.22	302.0	468.12	140.0	271.69	438.31	162.21	388.31	352.02	292.26	243.41	157.0	193.08	278.43	0.0	0.37	0.06	0.65	0.14	385.94	152.06	210.64	334.25	297.44	267.51	141.07	111.45
Dlat	0.0	33.68	156.86	0.0	19.03	3.08	0.0	0.0	36.88	28.18	24.97	0.0	70.09	4.12	42.59	48.15	0.07	0.0	327.46	31.65	77.99	47.74	10.74	50.6	26.85	58.54	12.8	0.0	0.0	0.0	0.0	0.15	1.46	13.8	44.48	1.29	20.08	10.43	60.13	3.62	50.54	92.74	27.37	30.56	43.94	25.31	2.6	43.91	34.04	24.56	8.7	20.36	76.34	0.0	27.49	34.22	41.96	87.02	58.92	0.0	7.69	79.07	0.31	61.8	58.72	0.89	96.31	1.5	67.04	33.95	4.79	3.41	22.57	95.77	20.1	27.72	11.5	22.63	56.14	45.84	62.56	2.04	18.7	4.83	41.06	0.26	25.81	76.64	28.8	45.24	45.5	38.88	17.15	31.67	27.22	16.65	66.97	9.07	27.2	20.48	8.96	30.88	45.59	22.49	15.2	20.62	70.71	51.18	0.0	88.82	85.46	11.98	78.75	25.35	12.74	101.96	51.5	1.65	61.22	1.52	94.1	64.24	113.2	7.4	40.05	6.06	88.14	46.51	10.04	55.38	24.15	2.2	26.93	0.62	38.2	0.0	51.85	7.43	50.76	12.73	37.36	56.77	67.39	100.18	75.52	22.31	2.15	0.17	0.0	0.09	0.0	0.0	0.0	35.42	67.43	12.53	34.37	0.0	0.0
Dld	0.0	202.17	372.09	107.42	480.98	381.62	0.0	0.0	619.55	133.45	496.38	705.41	765.12	594.89	504.12	409.97	474.41	0.0	0.0	396.57	338.8	464.12	332.2	151.33	160.5	157.81	329.52	611.86	0.0	112.77	0.0	430.74	311.42	594.97	324.56	324.53	450.94	408.01	369.39	293.1	424.92	454.91	536.72	804.96	512.15	333.71	251.12	475.65	442.82	553.35	147.75	337.83	472.47	424.95	610.14	269.29	275.42	514.22	610.53	407.68	209.05	502.1	674.61	360.79	224.56	182.18	471.97	507.88	285.1	423.14	363.47	524.15	168.77	307.0	347.56	535.28	174.7	267.37	388.81	288.11	381.04	852.27	667.56	435.09	353.51	328.27	296.45	349.38	349.18	423.67	428.4	49.41	326.74	281.8	616.99	351.8	106.81	134.43	369.51	390.31	385.78	373.05	283.94	471.77	417.73	446.11	166.08	475.45	189.61	182.56	272.37	621.34	413.37	252.05	419.42	287.86	598.79	259.32	372.87	279.11	419.19	292.06	234.2	523.53	175.8	347.32	465.71	208.18	567.58	445.38	269.83	335.21	343.62	227.55	316.44	398.69	380.24	299.14	287.13	212.78	415.18	209.78	413.2	389.91	581.39	519.76	0.0	0.47	0.16	493.63	0.73	0.0	171.17	326.71	215.79	318.4	450.1	136.04	167.59
Efr3a	14.57	0.0	0.0	11.97	37.33	127.04	0.0	0.0	35.57	0.15	48.67	40.98	83.45	1.35	134.3	42.49	0.0	0.16	167.86	51.05	99.44	2.91	46.51	114.89	58.34	95.54	59.84	0.31	0.48	0.0	0.0	0.11	128.84	82.16	104.2	131.53	140.68	247.39	123.1	124.43	215.61	7.56	100.33	171.28	52.68	195.51	113.89	47.09	48.05	210.75	100.69	144.36	169.97	94.96	151.36	118.71	0.0	99.96	61.0	151.72	133.59	122.92	116.18	60.14	112.33	90.94	52.88	34.45	50.96	138.11	56.44	32.71	98.86	123.37	16.31	40.38	132.76	50.07	107.45	111.04	138.36	122.61	40.79	84.37	133.89	58.52	84.17	114.25	121.89	213.61	59.74	120.33	102.13	24.01	103.82	55.99	108.42	61.87	96.65	61.25	50.71	68.19	137.68	112.79	40.91	113.57	65.93	43.75	75.29	148.72	245.55	48.67	93.62	131.06	121.35	6.8	52.83	249.36	152.41	209.88	75.97	195.04	154.16	217.41	126.36	85.85	114.61	92.78	249.84	57.28	8.84	29.05	0.17	0.14	108.07	150.68	33.04	171.54	161.01	25.18	58.23	99.5	30.55	64.67	74.55	120.85	0.0	0.0	0.0	183.15	0.08	0.0	34.67	94.25	77.3	98.71	151.94	83.17	65.31
