	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_14	Chrna2_tdTpositive_cell_43	Chrna2_tdTpositive_cell_54	Chrna2_tdTpositive_cell_62	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_7	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_11	Gad2_tdTpositive_cell_24	Gad2_tdTpositive_cell_43	Gad2_tdTpositive_cell_47	Gad2_tdTpositive_cell_75	Htr3a_tdTpositive_cell_85	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_9	Nkx2.1_tdTpositive_cell_10	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTnegative_cell_30	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_14	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_30	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_60	Pvalb_tdTpositive_cell_68	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_9	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_17	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_26	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_7	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_18	PvalbF.Gad2_tdTpositive_cell_19	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_24	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_38	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_49	PvalbF.Gad2_tdTpositive_cell_54	PvalbF.Gad2_tdTpositive_cell_56	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_65	PvalbF.Gad2_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_72	PvalbF.Gad2_tdTpositive_cell_73	PvalbF.Gad2_tdTpositive_cell_76	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_83	PvalbF.Gad2_tdTpositive_cell_84	PvalbF.Gad2_tdTpositive_cell_85	PvalbF.Gad2_tdTpositive_cell_87	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_16	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg3_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_21	Sst_tdTpositive_cell_56
Adam22	0.0	1.62	0.12	40.43	83.25	0.0	0.66	0.0	68.58	0.0	84.53	157.04	95.83	120.39	0.03	2.19	36.77	73.52	63.12	35.08	0.0	44.63	52.49	50.47	29.32	59.59	32.47	100.03	39.54	123.99	39.32	88.36	56.04	83.15	28.36	21.36	58.0	31.45	65.66	18.35	54.96	39.61	30.29	149.09	100.79	57.36	69.73	111.21	40.3	48.58	91.99	76.49	40.78	43.86	28.18	29.36	63.76	47.91	35.06	52.57	31.37	13.65	53.3	64.85	47.55	17.99	45.98	65.66	74.56	15.02	48.15	52.3	43.37	31.56	58.41	22.46	50.97	74.48	182.38	160.17	127.16	114.29	53.49	80.41	163.96	31.73	58.32	0.07	0.04	0.13	0.64	0.0	0.0	104.46
Akr1c18	0.0	0.0	0.0	0.0	970.24	0.0	0.0	0.0	1378.34	0.0	956.0	162.97	619.61	0.0	0.0	0.0	0.0	499.63	738.35	0.0	0.0	0.0	281.1	856.41	1202.41	1597.13	834.5	962.45	740.85	1293.28	0.0	2105.57	3111.69	210.77	2274.54	0.0	1133.88	1682.45	0.0	0.68	841.04	739.14	0.0	0.0	0.0	1373.58	225.45	621.3	0.0	0.0	1921.0	221.76	0.0	257.96	0.0	53.58	472.74	1348.89	517.9	615.6	0.0	0.0	0.0	0.0	1018.29	0.0	777.04	1555.15	705.6	234.56	91.08	69.29	405.49	0.0	270.25	66.58	0.0	0.0	80.39	62.6	5.3	103.4	50.79	218.42	634.69	0.0	0.0	0.0	0.0	0.0	0.97	0.0	0.0	1127.36
Armcx1	0.0	75.15	3.41	55.21	100.09	0.0	0.0	0.0	0.0	0.22	130.42	302.38	223.6	296.49	0.0	0.0	167.61	76.37	103.51	0.0	0.0	487.75	273.64	160.5	95.99	121.3	195.04	425.29	250.12	142.59	130.96	211.87	298.8	219.3	263.95	58.94	191.98	226.09	192.51	306.2	155.79	90.73	246.13	290.85	72.74	264.3	310.13	466.47	152.59	55.44	464.26	206.57	256.49	165.19	287.18	268.96	167.68	216.97	16.56	170.66	221.45	199.25	271.5	1.48	338.66	166.67	123.67	96.43	263.54	257.41	196.77	202.63	69.97	471.82	296.89	210.1	141.79	95.6	347.09	320.91	264.98	328.73	306.9	304.72	156.83	257.83	197.33	0.0	0.0	0.16	0.51	0.0	0.0	222.52
Bcat1	0.06	0.0	0.0	4.08	89.73	0.0	0.0	0.0	65.82	0.0	64.55	148.25	236.11	142.97	0.0	0.0	108.18	103.17	133.52	20.6	0.0	0.08	135.51	120.68	41.42	61.89	123.62	215.47	77.19	83.61	55.2	66.56	83.07	48.04	98.75	93.25	40.01	137.9	139.48	24.38	131.33	89.27	95.92	164.1	39.28	111.06	97.85	145.52	63.47	85.01	142.99	115.22	111.05	145.22	71.13	26.77	161.5	121.43	165.23	82.49	52.74	46.58	66.81	88.13	15.62	21.52	64.83	32.77	71.54	154.01	40.98	181.87	82.76	86.1	91.12	64.7	153.14	119.09	173.89	109.52	78.83	103.38	154.55	28.79	89.85	173.3	97.57	0.0	0.0	0.06	0.19	0.0	0.0	173.98
Blcap	0.0	115.22	217.67	190.63	161.56	56.23	308.11	0.0	351.37	0.0	1.84	3.26	156.29	0.15	0.0	0.0	225.59	258.94	182.91	0.0	87.31	530.87	253.03	346.04	65.92	6.59	91.85	105.51	269.52	212.48	151.45	268.02	164.85	130.01	373.44	374.69	282.95	294.16	121.93	249.45	183.27	38.53	188.69	182.16	73.07	176.99	170.55	289.32	167.79	238.4	159.75	145.61	42.09	98.15	219.35	120.58	343.07	139.89	168.2	394.19	100.28	187.86	99.28	174.89	13.63	140.7	0.23	3.91	104.56	216.28	182.17	133.67	61.67	146.78	167.14	81.32	124.7	170.33	204.94	178.82	71.31	220.57	198.67	82.62	263.31	150.48	185.78	0.33	0.0	0.17	0.89	0.0	0.0	490.81
Braf	0.0	0.79	64.06	4.15	61.72	0.0	3.88	47.82	72.02	0.05	181.59	219.0	184.8	229.62	0.0	229.57	31.05	53.72	34.3	17.62	0.18	0.18	75.6	51.86	42.11	42.57	65.73	109.82	86.26	84.08	92.65	103.76	115.76	127.16	111.24	160.72	132.79	113.19	111.88	115.57	66.44	88.2	75.99	61.38	119.59	50.88	45.51	203.88	21.05	52.08	102.22	45.6	80.62	61.5	63.89	100.41	37.8	52.69	98.22	40.55	70.08	63.55	77.8	106.94	36.91	86.37	38.02	110.84	52.29	26.75	38.45	113.87	183.79	131.9	143.11	65.41	186.07	77.37	128.49	76.15	158.2	103.76	133.73	155.71	122.64	189.03	39.48	0.14	0.0	0.04	0.34	0.0	0.0	107.76
Btbd3	1.92	73.92	101.99	13.95	74.83	0.0	0.0	0.0	13.52	0.0	261.54	157.7	215.15	195.5	0.06	0.0	26.9	40.66	54.59	0.0	0.0	0.96	126.06	194.44	61.01	152.8	66.32	154.62	125.85	88.86	173.73	145.12	256.08	174.68	132.95	49.81	87.35	180.57	128.89	193.83	71.2	137.86	200.36	213.72	40.81	68.46	117.85	195.65	95.02	16.38	229.98	119.14	137.66	31.79	103.84	124.02	189.47	66.16	129.56	79.89	68.87	192.72	148.58	145.6	129.56	46.94	212.38	166.0	57.24	46.88	195.86	64.29	65.12	134.0	134.2	199.24	138.21	258.57	181.41	139.28	139.29	323.04	249.85	22.67	184.43	98.74	236.92	0.0	0.0	0.0	0.24	0.0	0.0	136.77
Bzw2	388.46	175.46	24.82	111.83	111.05	0.0	0.0	0.0	207.13	0.0	0.0	125.78	104.16	3.39	0.0	371.85	111.76	100.63	67.92	0.13	0.0	0.0	105.58	15.89	164.1	39.73	66.51	288.06	94.11	153.49	204.44	128.01	101.95	125.96	29.0	193.21	157.77	64.84	72.55	99.95	239.14	68.9	36.98	90.15	181.7	100.16	69.27	202.67	39.0	0.0	7.58	80.29	69.33	32.57	89.96	86.18	75.82	164.32	141.98	85.57	40.5	70.51	41.48	116.97	118.19	25.62	77.08	149.86	87.73	72.92	36.42	63.11	38.41	84.74	61.05	64.76	46.58	190.16	76.84	94.62	160.92	158.63	157.62	123.82	166.48	219.71	108.35	0.37	0.0	0.0	0.6	0.0	0.0	99.39
Ccnh	0.0	14.54	39.27	240.45	467.51	5.44	0.0	46.31	624.71	0.0	353.92	752.32	127.9	243.87	0.14	579.75	344.41	486.96	389.69	233.77	0.0	7.02	357.78	325.22	480.97	171.74	161.68	342.32	365.58	386.05	437.73	651.37	351.61	387.92	362.09	324.76	199.28	223.82	384.95	809.78	502.88	324.71	380.53	361.61	269.34	249.03	333.29	336.27	279.39	398.75	387.4	328.39	221.67	85.67	171.74	375.34	135.12	297.76	279.53	350.91	253.48	372.61	268.99	174.54	149.88	185.75	190.13	388.21	362.92	200.34	137.35	281.69	250.98	398.62	356.84	355.91	231.2	186.11	169.76	291.62	397.04	397.67	397.76	468.84	42.44	217.43	128.17	0.0	0.0	0.18	850.88	0.35	94.9	250.37
Chac1	0.0	24.97	0.0	67.18	75.56	0.0	0.0	0.0	121.44	0.0	0.0	26.62	37.47	8.54	0.0	0.0	13.16	12.16	12.22	0.0	0.0	0.0	14.96	65.78	6.93	67.12	85.04	93.71	124.13	61.34	2.53	9.88	57.29	5.62	6.23	184.41	12.51	79.02	2.52	101.37	114.87	28.23	3.45	0.0	108.81	16.92	98.04	9.93	144.77	0.0	73.34	7.41	14.03	187.71	61.33	0.0	60.85	4.21	0.0	2.42	0.0	0.0	0.0	7.38	0.0	0.0	0.0	0.4	0.0	58.49	0.0	0.0	0.0	41.09	151.8	1.77	68.67	0.0	0.0	9.28	0.0	0.0	1.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.14
Clstn3	0.12	76.4	215.61	8.57	92.07	0.0	0.0	0.0	75.79	0.0	347.49	107.76	319.32	173.84	0.0	0.0	68.22	172.31	159.62	0.74	0.0	0.3	239.33	173.95	106.51	84.33	176.04	166.07	97.23	155.8	85.47	132.95	101.25	309.28	110.81	180.29	40.41	113.32	237.9	125.24	175.82	187.97	400.83	253.99	90.92	112.7	182.7	385.44	107.17	134.03	208.92	126.18	159.76	288.04	242.19	431.4	246.98	106.94	201.98	56.3	226.1	40.29	211.02	95.34	22.44	312.36	62.44	275.88	101.4	87.01	233.21	301.96	186.03	204.88	164.54	112.48	326.55	191.79	175.4	164.89	145.68	171.14	365.27	162.91	167.3	25.3	135.44	0.34	0.0	0.26	0.64	0.0	0.0	355.88
Coro6	0.0	0.0	0.0	0.0	29.25	0.0	0.0	0.0	39.92	0.0	21.04	0.24	24.55	0.0	0.0	0.0	15.3	5.94	15.58	0.0	0.0	0.0	11.71	24.93	0.0	0.0	28.06	28.86	0.0	0.66	59.77	21.61	0.0	1.29	36.16	0.0	19.65	19.84	0.0	4.27	0.72	10.35	11.05	0.0	31.97	5.56	0.0	0.0	0.88	0.0	0.0	21.62	0.0	92.79	35.26	0.85	25.77	23.32	20.66	21.7	0.0	29.83	8.5	0.36	0.0	22.17	14.2	0.0	29.08	0.0	0.0	0.0	93.86	34.78	57.79	0.0	37.17	12.16	0.0	65.41	67.64	2.87	0.0	72.46	0.0	58.53	2.38	0.0	0.0	0.0	0.0	0.0	0.0	27.43
Cox8b	0.0	0.0	0.0	0.0	2.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.81	26.9	0.0	0.0	0.0	39.85	31.46	19.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.61	43.64	64.36	0.0	0.0	0.0	0.0	0.0	0.0	40.51	24.63	111.78	0.0	0.0	55.06	277.8	0.0	23.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109.64	80.14	28.69	0.0	0.0	34.75	105.05	0.0	0.0	0.0	293.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cplx1	0.0	536.26	536.72	304.83	1347.99	0.0	0.0	0.0	1093.52	0.23	883.73	475.43	787.27	838.45	0.13	0.0	727.83	845.01	1211.51	224.75	0.0	0.55	918.29	1059.17	690.08	958.97	994.91	1014.15	1194.53	1190.34	743.24	878.68	1148.18	1678.45	933.75	801.33	1142.88	989.31	1025.48	924.93	990.97	1234.37	732.32	1595.4	632.95	1434.92	774.15	1585.92	472.52	708.7	1220.38	878.94	910.66	910.24	1322.39	1598.03	2098.74	1058.61	1330.63	1308.94	859.61	1302.33	1276.36	975.44	634.54	767.51	1128.92	1132.62	1172.58	1045.33	1286.96	1665.13	1223.44	1760.34	1044.79	1314.2	920.94	976.75	1158.12	990.22	1382.77	1068.01	881.86	1199.98	1096.05	1120.84	1054.91	0.31	0.0	0.48	1.35	0.0	0.0	1159.89
Ddit3	0.0	0.0	336.32	470.24	149.19	0.0	515.69	0.0	88.22	0.0	369.15	528.27	265.48	382.91	0.0	741.43	340.77	64.3	1.54	0.0	133.75	570.91	566.18	22.78	444.06	401.16	232.5	1467.3	295.71	691.23	230.58	179.94	295.99	175.15	227.01	1035.94	202.41	553.26	32.8	357.55	600.68	479.17	57.11	479.69	581.08	61.09	1.27	257.54	252.83	561.0	184.76	61.12	177.56	764.59	219.15	449.56	48.63	120.96	228.07	288.89	384.72	502.51	94.86	296.75	136.75	341.83	155.64	288.14	491.18	255.03	334.68	199.07	57.41	168.13	176.68	207.69	137.97	0.0	315.24	196.67	207.3	181.47	200.25	274.01	140.68	229.24	200.43	0.0	0.0	0.0	0.44	0.0	5.2	385.6
Dennd5b	0.82	69.7	70.71	37.78	101.25	3.66	50.9	0.59	95.87	6.61	51.11	100.03	91.92	130.22	3.79	15.7	38.55	55.94	66.81	11.19	2.76	4.29	139.77	115.68	83.3	74.32	76.76	144.94	109.56	118.17	161.78	83.45	84.07	107.61	89.23	175.9	130.7	115.75	171.72	124.51	108.02	63.61	106.9	52.83	29.55	68.37	60.65	82.57	101.12	108.98	92.45	63.35	84.0	108.64	116.22	67.81	24.87	115.64	101.56	69.71	78.51	85.23	50.47	113.68	51.15	75.03	143.89	32.42	70.28	83.33	56.73	79.28	97.7	94.85	104.01	91.47	33.55	150.0	117.81	76.54	112.52	98.48	123.75	48.92	57.98	87.15	74.97	3.35	2.84	3.15	12.64	2.33	1.64	155.72
