	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_15	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_30	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_62	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_69	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_1	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_44	Htr3a_tdTpositive_cell_83	Ndnf_tdTpositive_cell_16	Ndnf_tdTpositive_cell_19	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_45	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Scnn1a.Tg3_tdTnegative_cell_1	Scnn1a.Tg3_tdTnegative_cell_21	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_7	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_28	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_65	Sst_tdTpositive_cell_76	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_92	Sst_tdTpositive_cell_96	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30
Nos1	46.02	0.0	0.0	0.0	202.92	42.73	0.0	0.0	4.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.62	4.44	0.0	0.0	0.0	0.0	39.77	73.67	63.27	0.27	12.45	39.14	55.38	27.95	18.1	41.34	76.81	2.54	13.21	17.6	45.72	55.93	38.37	110.11	0.0	4.44	88.64	0.0	0.0	28.29	39.46	49.11	0.0	106.91	8.7	40.74	36.94	67.51	19.89	47.8	17.32	72.89	0.0	0.0	22.87	0.04	91.8	0.0	0.0	0.0	105.95	44.52	0.0	0.0	54.97	29.94	0.0	0.0	80.78	0.0
Npy	138375.8	56190.59	64781.64	13918.43	173305.25	115124.65	43922.94	108594.8	96206.73	82245.2	42632.64	68542.73	39772.71	67463.47	65548.38	14635.6	57444.26	77711.12	45335.24	125016.83	59230.28	13383.72	80627.8	63494.68	132042.44	105008.15	149629.49	134232.96	130357.56	105498.11	116117.28	120987.76	122165.94	132052.33	122154.33	122963.43	126501.28	117863.77	98464.67	102118.34	130527.91	173863.58	101365.79	73168.9	126989.03	45711.04	80801.23	166048.87	115420.41	191162.16	108906.97	154857.31	124150.07	134158.33	153405.37	147732.76	141010.39	110523.31	101137.64	151963.58	0.0	0.0	145032.54	28240.98	180453.32	92572.95	48343.46	38762.64	128781.07	137945.15	70964.58	49931.63	95298.15	137580.94	65503.76	65353.97	120620.2	68416.93
Nrsn2	532.53	753.37	984.82	1129.78	1063.23	1006.67	177.95	356.39	87.48	4.24	381.62	203.55	171.51	332.66	221.99	1128.19	736.32	293.47	0.0	272.2	319.79	406.36	190.29	692.93	800.94	1130.94	390.33	963.6	473.69	559.18	515.93	933.64	731.1	387.17	776.19	677.25	1040.13	564.81	688.89	635.55	522.8	714.88	304.14	222.12	832.97	437.34	442.86	677.55	1373.71	916.67	94.27	793.81	669.12	1084.48	563.96	256.98	400.02	1177.3	985.47	311.6	0.0	0.0	1096.38	697.93	792.95	613.56	630.27	675.74	811.51	754.82	889.23	833.61	1056.72	1065.86	317.61	821.41	899.49	0.0
Ntn1	28.91	0.0	0.0	0.0	58.4	2.85	0.0	0.0	0.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.49	0.0	0.0	0.42	12.56	4.74	2.97	36.31	35.01	15.97	21.32	12.62	15.37	13.3	8.6	32.73	2.93	2.25	6.17	9.37	23.17	11.45	0.0	0.0	48.42	1.29	0.0	3.39	1.45	57.66	0.0	5.39	30.99	10.83	7.09	15.61	5.38	2.03	11.28	4.88	0.0	0.0	24.0	0.0	4.06	0.0	0.0	0.0	7.02	19.66	0.56	0.0	37.18	10.42	0.0	0.0	24.14	0.0
Opcml	111.34	103.03	60.79	44.7	122.54	98.87	92.22	66.6	40.39	0.0	12.0	0.21	0.0	154.21	0.1	125.83	2.84	0.0	0.0	80.02	73.77	84.98	0.0	0.0	168.26	238.51	77.21	121.58	70.39	164.89	269.08	254.28	172.85	157.23	61.78	136.56	87.44	103.73	228.81	136.69	249.3	170.26	7.49	18.17	266.7	60.95	38.49	50.38	182.18	136.02	26.71	62.12	149.96	158.88	154.17	199.39	101.23	107.62	138.57	153.92	0.0	0.0	89.52	51.51	97.44	63.56	1.23	85.55	65.01	79.7	136.85	10.35	122.87	182.59	46.73	36.39	124.77	74.45
Pam	530.04	85.53	149.66	141.49	674.41	680.78	235.35	358.12	148.65	218.97	110.96	67.94	597.58	79.52	37.4	162.65	136.06	118.14	325.4	137.05	213.2	184.71	86.96	169.98	323.05	201.52	203.46	820.33	840.91	531.93	756.87	754.48	616.4	838.37	436.31	608.52	483.95	458.87	647.99	605.15	721.55	654.47	181.79	141.59	647.23	85.46	129.28	567.46	782.31	401.81	191.24	631.75	760.4	511.35	420.96	455.93	495.66	213.68	244.26	428.76	1.8	0.0	750.37	199.21	904.92	156.3	161.05	112.02	503.87	647.05	259.13	41.74	198.83	271.2	85.75	50.43	385.01	678.54
Pcsk2	180.69	2.54	2.13	101.8	221.77	128.1	0.0	35.17	48.56	53.84	55.9	86.5	0.0	87.53	1.02	0.0	64.33	82.98	0.0	23.88	51.52	48.71	1.2	42.32	158.34	166.47	100.0	57.13	132.07	130.52	136.25	204.8	130.88	137.42	234.47	48.61	290.57	224.27	306.38	110.52	102.44	48.65	18.98	6.69	188.94	0.0	46.63	162.06	211.69	89.7	0.0	37.92	117.88	312.5	258.93	222.54	150.35	189.76	361.76	139.03	0.0	0.0	107.49	41.04	128.49	1.2	0.67	0.65	220.11	234.2	46.2	0.21	179.01	136.13	3.7	1.55	94.17	6.35
Pde1a	1056.47	92.04	180.04	159.8	1042.27	950.26	1.24	0.3	0.14	1.02	0.0	0.32	0.51	0.0	0.43	704.14	0.65	0.27	0.44	0.23	0.31	190.2	0.27	0.61	1102.9	1125.21	1321.56	484.6	925.75	1069.64	799.63	564.5	1137.63	918.17	1297.96	1258.85	1191.38	798.18	975.98	1444.23	1333.84	544.61	0.62	0.23	1131.66	0.08	0.0	932.64	817.01	562.01	0.02	458.1	666.67	670.07	978.64	820.3	965.51	956.64	1201.44	653.65	0.0	0.0	667.13	59.21	704.18	34.5	96.52	425.11	1202.55	1140.82	206.39	109.96	1108.75	711.88	557.17	518.0	1090.81	0.81
Pou3f2	118.06	0.62	0.13	0.23	64.48	87.02	0.28	0.03	0.66	0.29	0.08	0.1	0.0	0.54	0.2	2.58	0.34	0.1	0.1	0.65	0.71	0.67	0.15	0.06	25.23	35.73	13.88	0.51	18.8	20.24	116.7	0.46	0.14	24.45	14.48	15.06	21.24	34.74	103.56	26.07	62.02	36.04	0.0	0.15	46.76	0.0	0.25	76.2	27.76	59.07	0.08	16.04	184.77	96.37	94.24	50.94	22.95	33.98	54.65	47.15	0.0	0.0	0.19	0.14	35.23	0.75	0.04	0.05	103.57	80.99	0.0	0.46	122.25	12.29	0.21	0.41	27.77	1.43
Ptn	673.11	9.82	0.35	0.0	812.29	673.66	0.37	0.0	0.1	0.4	0.0	0.33	0.0	0.81	0.63	0.6	0.0	0.48	0.2	0.26	0.0	107.84	0.32	30.91	864.64	587.51	703.92	360.44	557.52	470.71	1000.84	823.94	768.82	861.01	682.03	883.04	774.06	540.5	667.62	782.49	733.15	500.94	0.0	0.0	853.93	0.15	0.0	439.66	511.49	734.62	0.55	307.65	832.36	785.19	618.37	534.27	610.7	491.59	769.29	474.09	504.07	0.0	668.26	0.0	503.95	0.34	34.74	0.07	1201.15	786.52	0.0	71.32	970.8	712.37	117.55	78.99	951.64	0.71
Rasgef1b	199.83	0.0	0.0	0.0	243.34	295.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	216.58	470.1	254.82	104.91	137.09	243.05	123.15	121.24	42.1	184.0	84.43	183.56	160.29	282.49	284.45	225.38	175.96	17.14	0.0	0.0	149.48	0.0	0.0	4.3	191.85	188.65	0.0	138.23	10.29	103.99	369.6	61.82	6.48	192.44	60.87	94.19	0.0	0.0	109.58	0.0	193.08	0.0	0.0	0.0	301.94	80.21	0.0	0.0	170.93	148.99	0.0	0.0	145.84	0.0
Rftn1	8.45	0.0	1.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	58.5	0.0	23.3	0.48	71.39	6.31	0.0	0.14	0.0	60.71	50.95	0.0	30.21	48.76	0.0	0.0	0.0	0.0	0.0	14.39	39.17	5.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	15.73	35.21	0.0	0.0	22.99	0.0	34.69	0.0	0.0	0.0	0.0	22.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rit2	661.71	503.26	633.59	716.88	639.01	952.25	0.07	354.65	134.13	161.88	393.97	492.53	68.0	659.24	0.0	405.55	177.82	0.0	120.93	190.41	197.53	701.88	339.78	0.46	623.28	596.38	535.72	1049.25	351.39	648.55	780.07	931.51	615.61	417.8	508.1	360.2	568.24	508.96	337.64	425.17	262.62	249.76	150.33	0.0	753.86	0.0	231.64	550.97	581.94	757.2	144.09	864.51	326.64	763.45	655.29	738.92	345.41	738.51	1006.69	561.77	0.0	0.0	814.72	338.59	204.93	343.64	419.49	449.87	755.01	685.98	420.35	220.52	567.56	461.02	464.29	603.42	818.4	232.24
Rln1	90.13	47.37	70.7	0.0	0.0	37.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	147.96	28.63	41.99	0.0	0.0	98.71	35.69	467.49	93.07	19.92	39.22	137.69	0.0	47.64	40.76	76.83	110.37	38.49	0.0	0.0	47.51	0.0	0.42	76.71	113.27	0.0	0.0	112.03	123.72	69.0	71.48	129.94	46.49	257.05	68.22	154.3	0.0	0.0	109.73	0.0	0.0	0.0	0.0	0.0	43.92	198.65	0.0	0.0	40.42	218.59	39.31	0.0	255.42	0.0
S100a10	494.79	0.0	36.64	0.0	184.01	455.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	336.14	0.87	0.0	425.02	431.38	350.08	277.47	454.26	526.93	365.61	903.19	358.96	224.73	488.49	383.05	528.32	436.98	338.92	383.95	577.54	494.38	0.0	0.0	634.18	0.0	0.0	632.0	575.42	659.79	0.0	937.13	367.34	694.01	542.78	295.85	989.02	527.93	755.47	424.53	0.0	0.0	528.71	0.0	789.68	185.13	0.0	0.0	383.4	788.99	0.0	128.52	841.59	587.03	149.63	0.0	148.51	256.23
Sfrp1	132.11	0.03	0.15	0.0	15.19	180.82	51.81	0.05	14.6	0.0	38.38	0.0	0.0	103.9	0.12	0.0	38.43	0.0	0.04	1.51	0.0	0.0	0.0	0.0	8.45	24.11	44.29	54.81	54.85	60.97	97.5	17.16	12.99	52.53	24.65	49.55	92.76	62.48	95.61	63.56	113.66	83.01	0.08	0.12	23.43	0.0	0.08	46.78	50.99	98.67	9.52	0.11	92.36	3.94	25.54	109.79	37.4	25.76	62.04	56.99	0.0	0.0	0.0	0.0	126.99	30.66	0.0	0.06	34.32	85.64	0.06	0.0	22.05	28.32	0.0	0.13	8.5	0.0
Slc7a11	1.93	3.48	4.94	2.83	3.77	6.06	1.32	2.44	1.54	0.46	0.68	1.52	0.09	1.62	2.48	2.48	2.88	4.41	3.1	0.73	4.86	4.22	3.57	6.7	8.62	5.96	6.4	4.89	7.96	5.29	7.23	5.01	5.39	5.72	4.56	5.42	6.51	6.93	6.74	5.74	5.27	4.28	3.9	1.11	5.12	3.12	3.42	5.67	5.49	4.92	5.14	2.89	7.05	5.51	5.12	4.18	3.25	3.85	5.67	5.88	0.0	2.22	5.95	4.06	3.97	3.15	3.73	2.35	8.08	5.32	2.07	2.8	6.1	6.15	5.0	2.21	7.62	1.44
Slc7a3	636.91	0.0	171.58	0.54	347.18	400.99	6.23	0.0	19.64	162.97	132.63	14.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.15	0.0	103.22	102.62	0.0	800.76	223.13	393.12	206.53	705.0	719.79	386.13	890.69	691.96	556.94	666.01	511.0	574.41	851.11	494.24	372.45	364.55	330.7	0.0	0.0	638.53	10.18	57.83	429.97	904.79	360.78	0.0	87.12	459.18	344.21	647.36	369.21	528.41	379.68	479.8	615.76	0.0	0.0	1026.21	0.0	435.9	169.56	0.05	0.0	384.4	396.76	317.02	102.9	275.89	759.81	0.0	0.0	195.8	18.53
Sod1	2394.62	1066.15	1584.69	1957.98	2033.18	4317.36	754.35	1350.5	860.67	1309.91	952.2	542.66	790.01	242.97	464.65	549.77	1204.01	700.13	726.15	843.91	1072.16	1498.1	1334.27	908.01	2107.82	1971.88	1585.4	2074.65	2834.26	2351.77	2421.08	2676.95	2254.49	2179.94	2408.09	2376.15	3089.4	3454.94	3025.99	2779.96	2735.44	2698.78	975.71	849.91	2442.98	1625.05	1235.45	1783.05	2044.06	1538.52	1232.91	2526.76	2406.76	3293.48	2264.95	1864.22	2092.68	1755.98	1778.41	2524.46	63.58	0.0	5466.66	2902.44	4660.48	2241.35	1856.01	1507.68	2672.54	2848.88	2248.1	1612.48	1395.87	1643.91	1054.45	931.61	2271.26	634.56
Sox6	22.69	18.59	16.06	5.43	3.95	47.87	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.34	0.0	0.0	0.0	0.0	0.0	36.95	0.0	0.0	76.77	34.78	2.96	48.48	10.36	31.23	41.55	43.32	25.22	63.93	36.74	29.44	24.99	30.63	51.8	70.16	42.2	48.72	0.0	0.0	26.47	0.0	0.0	21.33	30.36	22.99	0.0	68.94	48.54	13.21	44.05	21.06	18.44	16.67	13.48	29.03	0.0	0.0	46.67	4.59	6.47	24.85	34.4	0.24	23.79	18.65	0.46	0.43	45.55	17.01	0.34	15.01	4.02	0.0
Stmn2	1475.15	758.1	603.89	559.39	906.26	1155.77	598.58	424.17	335.36	319.93	374.61	465.24	384.02	495.75	143.06	612.07	666.17	289.91	659.42	447.34	526.03	1630.95	457.09	206.41	1132.67	1260.16	1248.96	716.27	1303.96	1105.22	1324.46	1092.59	1336.89	591.11	1013.52	1101.85	998.0	1528.63	1186.93	705.95	1081.56	1417.23	851.98	406.02	1209.13	517.66	660.88	808.88	1392.26	1185.14	290.81	1274.12	729.19	1489.87	967.34	1532.08	1173.06	1093.36	1577.97	995.6	0.0	0.0	1247.16	417.25	1323.24	1189.7	305.05	534.14	1071.14	1207.33	538.72	802.21	1342.67	1619.82	844.23	395.52	1079.53	261.4
Stx1a	80.62	0.0	62.87	2.91	88.5	79.48	0.0	0.0	26.14	0.0	2.49	24.34	0.0	103.64	0.3	0.0	0.3	0.0	1.93	54.83	0.0	4.7	93.22	0.0	2.27	41.39	0.65	114.19	1.54	69.18	49.38	37.25	33.41	92.53	90.44	0.0	91.56	99.63	93.32	0.0	23.53	194.11	0.0	0.4	59.15	5.77	32.56	82.53	114.05	81.27	102.87	1.37	286.6	51.32	5.54	86.1	51.08	175.88	78.79	110.75	0.0	0.0	0.0	79.44	122.38	0.33	47.03	0.22	118.53	0.11	85.05	0.0	42.1	71.64	95.23	0.0	0.0	0.0
Tacr1	89.77	0.42	0.8	2.77	129.84	78.58	1.81	0.86	1.61	1.2	18.03	1.73	2.67	8.91	3.95	5.34	1.15	0.85	1.22	1.5	1.38	0.57	2.27	1.58	149.04	43.86	213.74	138.34	84.9	53.94	37.14	101.07	91.23	192.27	63.54	62.76	99.85	53.14	249.16	184.38	22.39	2.39	2.66	7.6	46.09	1.12	0.32	67.26	109.4	96.13	0.99	55.28	69.94	43.79	71.68	92.68	111.49	63.62	14.98	224.61	0.99	0.56	9.35	0.55	190.24	0.61	1.13	0.32	16.37	94.85	1.3	0.3	26.76	31.58	1.75	3.23	40.47	0.91
Tagln3	2289.45	72.34	819.13	380.44	1863.64	1478.19	492.91	645.8	444.76	669.97	71.26	376.63	724.94	529.19	141.42	0.87	384.55	510.55	920.95	845.38	891.89	552.16	537.06	755.09	1889.9	2095.06	1308.85	1970.53	1220.5	1661.28	2291.87	1506.82	1769.3	1965.54	1269.52	1793.43	692.49	1047.56	877.05	2151.08	2260.08	2038.87	634.97	791.35	1954.65	614.2	727.28	1563.78	1029.68	1324.25	682.05	302.62	2592.03	1088.1	1205.19	1473.05	776.02	936.78	1226.65	1526.48	0.0	0.0	1216.36	1443.55	1606.22	652.76	1469.35	1272.54	1461.52	1707.2	453.93	1706.23	1873.55	2238.28	1098.92	1266.38	2536.03	1007.19
