	Calb2_tdTpositive_cell_9	Calb2_tdTpositive_cell_23	Calb2_tdTpositive_cell_27	Calb2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_51	Chrna2_tdTpositive_cell_72	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_26	Cux2_tdTpositive_cell_47	Cux2_tdTpositive_cell_74	Cux2_tdTpositive_cell_93	Cux2_tdTnegative_cell_16	Htr3a_tdTpositive_cell_12	Htr3a_tdTpositive_cell_95	Ndnf_tdTpositive_cell_2	Ndnf_tdTpositive_cell_11	Ndnf_tdTpositive_cell_20	Ndnf_tdTpositive_cell_21	Nr5a1_tdTpositive_cell_6	Nr5a1_tdTpositive_cell_11	Nr5a1_tdTpositive_cell_31	Nr5a1_tdTpositive_cell_34	Nr5a1_tdTpositive_cell_44	Nr5a1_tdTpositive_cell_47	Nr5a1_tdTpositive_cell_48	Ntsr1_tdTpositive_cell_14	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTnegative_cell_5	Ntsr1_tdTnegative_cell_13	Ntsr1_tdTnegative_cell_23	Ntsr1_tdTnegative_cell_37	Ntsr1_tdTnegative_cell_41	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_1	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_14	Rbp4_tdTpositive_cell_16	Rbp4_tdTpositive_cell_20	Rbp4_tdTpositive_cell_23	Rbp4_tdTpositive_cell_24	Rbp4_tdTpositive_cell_25	Rbp4_tdTpositive_cell_29	Rbp4_tdTpositive_cell_34	Rbp4_tdTpositive_cell_53	Rbp4_tdTpositive_cell_67	Rbp4_tdTpositive_cell_71	Rbp4_tdTpositive_cell_116	Rbp4_tdTpositive_cell_121	Rbp4_tdTpositive_cell_122	Rbp4_tdTpositive_cell_123	Rbp4_tdTpositive_cell_157	Rbp4_tdTpositive_cell_161	Rbp4_tdTnegative_cell_12	Rbp4_tdTnegative_cell_15	Rbp4_tdTnegative_cell_18	Rorb_tdTpositive_cell_25	Rorb_tdTpositive_cell_26	Rorb_tdTpositive_cell_29	Rorb_tdTpositive_cell_30	Rorb_tdTpositive_cell_31	Rorb_tdTpositive_cell_40	Rorb_tdTpositive_cell_44	Rorb_tdTpositive_cell_46	Rorb_tdTpositive_cell_48	Scnn1a.Tg3_tdTpositive_cell_16	Scnn1a.Tg3_tdTpositive_cell_21	Scnn1a.Tg3_tdTpositive_cell_65	Scnn1a.Tg3_tdTpositive_cell_69	Scnn1a.Tg3_tdTpositive_cell_71	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_14	Scnn1a.Tg3_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_20	Slc17a6_tdTpositive_cell_23	Slc17a6_tdTpositive_cell_39	Sst_tdTpositive_cell_68	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_8	CAV_LP_Ipsi_tdTpos_cell_10	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_29
Cx3cl1	41.75	43.43	0.0	355.34	19.41	29.06	34.14	248.56	40.03	9.0	452.83	0.98	60.08	44.76	90.66	0.0	0.0	0.0	224.19	105.78	12.93	52.76	65.06	117.21	113.28	79.4	33.48	180.83	0.0	0.0	2.4	469.66	0.0	0.0	74.94	67.42	101.96	19.11	128.19	47.3	3.55	60.25	76.48	27.62	68.55	84.3	158.36	96.03	1.68	106.53	123.77	472.89	17.03	0.0	0.14	0.0	263.36	117.61	90.79	105.11	132.98	48.3	201.22	146.14	7.84	330.86	344.41	83.9	53.39	192.09	0.0	0.0	0.0	2.27	0.24	164.34	1.47	165.4	117.23	81.79	88.88	98.41	24.72	0.56	35.5	81.23	83.16
Cyfip2	83.25	147.95	59.13	1.61	61.45	142.44	112.95	256.95	326.37	394.39	134.01	0.0	14.64	114.11	180.47	0.0	0.0	0.0	291.65	135.04	236.94	133.45	147.16	81.34	133.38	174.09	112.11	137.99	0.0	0.0	1.17	200.99	0.04	0.0	181.3	259.09	142.23	187.91	101.97	88.41	144.67	130.41	265.44	118.53	130.9	161.15	362.63	114.41	204.94	202.59	70.03	88.71	1.4	0.0	0.2	0.0	252.1	299.05	301.05	378.4	200.0	179.95	110.09	113.71	104.01	272.55	388.72	311.26	110.56	218.4	0.0	0.0	0.0	172.12	1.52	45.51	19.67	135.56	113.41	21.87	97.01	95.48	86.1	73.18	62.48	131.03	167.59
Dkk3	136.78	175.29	4.55	189.19	265.69	484.02	231.56	4.22	297.36	198.98	398.1	26.97	0.0	0.0	69.83	0.0	0.0	0.0	4.59	101.79	811.9	132.44	7.04	1.72	3.35	235.53	57.64	203.73	0.0	0.0	3.28	87.06	0.0	0.0	447.23	265.74	649.89	161.43	422.19	420.5	454.2	420.12	414.45	115.55	264.31	604.16	966.54	569.91	12.72	434.78	781.88	732.82	703.89	0.07	0.38	0.0	42.67	15.58	117.19	381.59	50.99	869.01	395.1	403.28	581.81	384.87	286.34	136.22	36.29	150.65	0.0	0.0	0.0	39.27	0.22	25.29	0.0	267.33	246.25	100.79	125.4	119.11	101.3	324.41	96.51	26.12	132.12
Dpp10	25.53	6.91	0.0	203.25	50.52	75.83	14.65	252.13	0.0	320.74	182.72	5.39	1.41	0.0	156.31	0.0	0.0	0.0	136.6	20.43	46.62	26.9	128.84	15.79	64.38	36.39	1.6	62.2	0.0	0.0	0.0	13.29	0.0	0.0	58.86	81.2	85.28	19.29	213.81	130.34	135.85	124.21	54.04	66.31	49.87	251.91	54.09	116.23	53.64	82.13	71.31	181.73	330.2	0.0	0.18	0.0	145.82	192.25	137.52	166.69	130.9	42.91	59.51	177.36	127.99	93.0	243.35	0.0	280.26	395.08	0.0	0.0	0.0	0.09	0.0	0.24	0.0	51.27	61.36	15.76	0.06	0.06	91.06	57.32	36.31	30.64	55.02
Efnb2	62.96	33.18	0.0	65.28	22.79	79.04	0.02	36.42	30.44	93.25	92.2	0.0	66.97	0.0	15.98	0.0	0.0	0.0	6.32	0.0	46.88	56.72	0.05	0.0	0.0	0.0	4.93	34.09	0.0	0.0	0.27	0.13	0.0	0.0	48.76	35.46	19.57	0.61	2.51	96.62	80.42	0.26	18.05	6.8	78.04	3.2	14.74	28.17	0.0	23.13	0.0	26.93	0.0	0.06	0.2	0.0	47.11	0.26	0.22	67.69	24.01	27.11	101.24	18.57	27.47	35.76	76.93	0.0	59.32	76.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.89	11.97	0.48	153.66	0.0	42.93	30.99	0.0	13.14	31.13
Gda	10.93	0.0	0.0	0.11	71.4	39.78	0.14	1.09	64.36	0.0	13.14	175.28	73.2	0.0	126.65	0.0	0.0	0.0	7.91	62.29	126.82	15.65	18.67	8.33	22.77	94.25	76.56	24.26	0.21	0.0	0.21	0.1	0.0	0.88	99.28	0.0	0.31	0.89	75.22	67.45	107.44	19.7	70.68	50.21	48.61	67.08	128.88	83.82	27.07	69.07	0.2	46.22	19.79	0.0	0.0	0.11	24.29	50.3	24.44	21.03	56.96	0.55	14.81	36.6	48.12	15.4	97.33	117.43	0.28	108.93	0.0	0.0	0.0	1.2	0.3	83.43	0.11	48.93	44.2	48.78	18.5	19.36	126.55	53.35	86.05	79.51	191.05
Gfra2	89.17	21.28	0.73	203.87	9.33	171.7	101.65	77.77	3.48	72.25	80.82	6.19	1.76	4.94	63.98	0.3	0.0	1.91	38.43	72.23	160.42	1.73	0.64	164.13	62.45	6.08	0.58	1.5	3.94	0.37	1.89	1.04	1.26	0.11	85.19	69.78	27.31	10.01	128.72	104.48	94.91	11.98	165.48	141.74	48.77	120.67	2.5	24.52	3.12	135.16	1.18	5.47	3.0	1.22	0.53	0.55	105.06	75.45	93.69	219.8	230.03	2.64	112.32	98.0	49.89	208.12	282.82	53.22	157.26	327.44	0.0	0.32	0.19	1.54	2.52	67.53	0.71	46.03	27.72	69.14	1.36	0.65	18.59	31.73	0.28	0.56	2.51
Gm13306	34.95	43.63	0.0	6.45	19.36	4.38	2.22	332.56	0.0	0.0	1.51	9.53	0.0	670.98	0.69	0.0	0.0	0.0	274.15	40.41	136.5	61.39	39.42	328.63	99.32	352.63	318.99	85.18	0.0	0.0	0.0	190.26	0.0	0.0	0.0	1.96	122.19	0.0	1.22	2.36	63.9	37.12	118.85	242.69	0.0	56.83	0.0	8.68	200.54	81.19	279.74	145.89	364.23	0.0	0.0	0.0	54.65	36.09	48.18	105.31	147.96	5.22	200.92	145.58	3.47	178.04	256.85	133.6	222.3	103.54	0.0	0.0	0.0	144.42	30.14	325.47	5.31	177.66	54.7	100.7	319.12	80.83	235.31	83.58	97.07	149.77	47.2
Gm14430	0.03	0.0	0.45	17.46	8.59	1.66	0.0	0.0	0.0	0.15	0.0	49.31	0.0	0.94	0.0	0.0	0.0	0.0	13.65	33.71	5.31	0.0	2.72	0.0	24.16	11.42	0.0	0.04	0.0	0.0	0.0	0.0	0.01	0.04	9.82	0.11	0.5	0.17	3.96	5.53	4.08	0.0	13.56	12.95	44.85	25.22	12.58	0.0	0.26	15.54	0.01	0.06	0.0	0.03	0.0	0.0	0.69	1.3	7.34	9.46	13.09	6.21	0.81	17.44	19.79	0.09	0.0	0.11	1.98	0.07	0.0	0.0	0.0	59.55	0.0	0.09	0.0	1.76	1.83	0.0	2.35	0.0	13.98	0.21	0.0	0.0	16.87
Gm14434	0.03	0.0	0.45	17.46	8.59	1.66	0.0	0.0	0.0	0.15	0.0	49.31	0.0	0.94	0.0	0.0	0.0	0.0	13.65	33.71	5.31	0.0	2.72	0.0	24.16	11.42	0.0	0.04	0.0	0.0	0.0	0.0	0.01	0.04	9.82	0.11	0.5	0.17	3.96	5.53	4.08	0.0	13.56	12.95	44.85	25.22	12.58	0.0	0.26	15.54	0.01	0.06	0.0	0.03	0.0	0.0	0.69	1.3	7.34	9.46	13.09	6.21	0.81	17.44	19.79	0.09	0.0	0.11	1.98	0.07	0.0	0.0	0.0	59.55	0.0	0.09	0.0	1.76	1.83	0.0	2.35	0.0	13.98	0.21	0.0	0.0	16.87
Gm1976	151.59	0.71	0.7	16.01	59.96	199.41	24.19	8.62	0.32	588.73	658.75	1.68	70.84	0.0	64.46	0.31	0.0	1.07	151.55	239.17	43.31	4.09	151.76	128.63	0.96	1.39	0.0	50.25	7.94	0.0	0.57	95.82	0.46	0.23	0.54	184.81	0.85	0.7	32.44	2.27	0.2	285.0	84.73	0.39	170.72	305.26	86.89	276.08	172.22	209.41	0.62	371.92	76.18	0.14	1.55	0.0	1.31	25.08	83.13	147.8	0.0	28.76	97.17	188.11	150.03	10.71	0.0	0.52	1.26	0.48	0.0	0.28	0.0	2.84	434.37	10.05	99.67	86.5	141.57	120.46	159.51	93.47	2.72	564.25	121.75	44.7	164.27
Gm2506	34.95	43.63	0.0	6.45	19.36	4.38	2.22	332.56	0.0	0.0	1.51	9.53	0.0	670.98	0.69	0.0	0.0	0.0	274.15	40.41	136.5	61.39	39.42	328.63	99.32	352.63	318.99	85.18	0.0	0.0	0.0	190.26	0.0	0.0	0.0	1.96	122.19	0.0	1.22	2.36	63.9	37.12	118.85	242.69	0.0	56.83	0.0	8.68	200.54	81.19	279.74	145.89	364.23	0.0	0.0	0.0	54.65	36.09	48.18	105.31	147.96	5.22	200.92	145.58	3.47	178.04	256.85	133.6	222.3	103.54	0.0	0.0	0.0	144.42	30.14	325.47	5.31	177.66	54.7	100.7	319.12	80.83	235.31	83.58	97.07	149.77	47.2
Gm4724	0.03	0.0	0.45	17.46	8.59	1.66	0.0	0.0	0.0	0.15	0.0	49.31	0.0	0.94	0.0	0.0	0.0	0.0	13.65	33.71	5.31	0.0	2.72	0.0	24.16	11.42	0.0	0.04	0.0	0.0	0.0	0.0	0.01	0.04	9.82	0.11	0.5	0.17	3.96	5.53	4.08	0.0	13.56	12.95	44.85	25.22	12.58	0.0	0.26	15.54	0.01	0.06	0.0	0.03	0.0	0.0	0.69	1.3	7.34	9.46	13.09	6.21	0.81	17.44	19.79	0.09	0.0	0.11	1.98	0.07	0.0	0.0	0.0	59.55	0.0	0.09	0.0	1.76	1.83	0.0	2.35	0.0	13.98	0.21	0.0	0.0	16.87
Grin1	0.2	0.0	0.0	0.45	1.92	20.13	12.53	3.62	7.77	0.0	17.46	0.13	16.74	88.25	0.0	0.0	0.0	0.0	52.99	1.68	11.28	0.8	1.81	0.16	0.16	13.37	7.13	22.13	0.0	0.0	0.36	9.79	0.0	0.0	9.67	20.8	2.95	86.37	10.02	1.26	23.69	56.39	15.88	17.97	1.79	10.3	29.55	16.55	0.7	13.55	52.23	9.79	9.94	0.0	0.0	0.0	19.0	21.27	21.72	95.83	90.64	8.6	19.76	13.53	38.29	0.29	26.24	3.38	31.56	69.01	0.0	0.0	0.0	18.21	11.0	0.17	1.2	13.08	6.07	4.14	0.71	0.0	1.05	82.28	0.15	0.12	7.91
Iqsec1	17.03	13.44	0.0	38.52	14.53	33.02	10.61	48.25	24.95	5.7	53.48	50.51	8.08	11.04	29.6	0.0	4.94	1.64	1.88	5.82	108.03	21.67	4.4	8.38	15.54	6.91	1.04	13.76	1.26	11.77	0.25	11.21	21.89	0.33	28.39	35.71	28.52	7.32	36.22	33.86	21.9	17.93	17.72	15.74	9.82	32.03	47.33	31.92	11.37	57.53	18.22	32.76	15.97	4.66	4.82	0.0	51.17	15.26	28.81	22.35	1.47	52.0	11.61	26.97	20.09	26.63	123.93	2.49	13.07	33.53	0.0	1.04	6.1	5.4	0.0	8.0	30.82	10.9	13.72	6.97	5.05	19.32	19.07	39.25	0.8	0.68	12.8
Itpr1	1.81	1.61	0.0	7.85	11.61	0.74	0.58	121.97	29.64	0.31	34.26	6.86	58.3	0.0	0.18	0.0	0.0	0.0	64.83	41.17	27.4	30.41	10.16	38.04	0.3	0.07	0.0	11.43	0.0	0.0	0.06	2.9	0.0	0.0	1.73	39.13	18.62	0.13	46.7	64.11	19.89	0.34	62.66	68.66	183.59	45.13	48.48	73.69	0.07	21.92	9.53	1.12	0.3	0.0	0.04	0.0	53.44	25.96	37.31	4.42	30.45	60.22	42.97	60.13	37.79	42.16	112.34	2.5	4.37	39.13	0.0	0.0	0.0	0.24	0.07	45.25	0.0	43.83	24.43	27.11	31.17	28.51	8.05	66.15	30.12	0.0	74.16
Kcnma1	54.5	30.1	31.74	222.13	66.22	133.74	12.17	243.54	53.33	0.0	113.2	1.54	0.0	1.55	5.62	0.0	0.0	0.0	56.68	78.43	69.8	172.05	56.54	31.62	71.83	40.91	80.39	47.78	0.0	0.13	0.96	186.39	0.0	0.0	153.27	75.07	69.79	180.91	184.77	29.37	129.5	31.26	87.49	12.5	165.34	185.62	115.74	24.49	10.31	71.73	10.17	79.87	10.04	0.0	0.09	0.0	42.17	98.4	27.83	298.95	160.32	148.64	14.2	98.23	118.64	182.0	287.13	285.79	163.55	442.75	0.0	0.0	0.0	23.82	59.08	2.4	28.04	44.48	90.5	38.21	95.82	3.12	86.72	106.36	240.41	30.04	81.75
Lphn1	25.22	5.36	0.0	103.68	15.98	31.17	31.35	3.06	1.18	66.42	90.16	3.21	19.22	92.21	26.53	0.07	0.0	0.0	62.55	0.2	9.05	22.65	1.82	8.55	58.99	16.17	29.71	15.24	0.0	0.0	0.07	5.62	0.0	0.05	46.26	20.66	25.67	0.49	28.77	58.09	33.57	3.53	13.95	43.07	29.29	53.65	75.31	1.49	24.82	63.57	0.05	5.06	14.1	0.03	0.0	0.0	97.72	53.68	63.02	90.9	51.78	48.39	54.9	37.43	63.83	146.34	15.47	3.74	63.0	156.04	0.0	0.0	0.0	10.58	29.22	5.2	25.17	31.8	30.19	4.54	82.4	0.0	4.4	6.99	33.95	29.27	10.8
Nmnat2	26.74	131.12	4.34	67.74	148.25	151.13	90.43	302.17	37.38	4.84	25.97	5.29	38.33	11.04	177.28	0.0	0.0	0.0	39.14	155.52	19.23	68.98	77.41	66.49	180.68	92.49	39.88	49.34	0.0	0.0	1.15	88.2	0.0	0.0	287.57	296.03	118.61	2.8	140.83	86.86	229.78	161.85	175.13	155.61	4.41	330.3	175.55	145.72	157.06	330.47	15.69	243.24	84.41	0.22	0.19	0.14	199.89	97.44	187.86	149.92	84.68	174.64	190.42	311.17	192.03	374.71	136.03	86.34	226.1	7.89	0.0	0.0	0.0	87.12	239.38	82.16	78.03	120.43	117.25	119.52	19.07	31.05	37.9	73.43	93.78	62.84	91.39
Nrcam	18.8	59.4	0.79	142.85	27.84	161.83	13.32	33.16	20.36	31.26	13.93	1.1	7.06	85.26	40.01	0.0	2.01	0.0	164.97	26.26	14.79	47.48	43.04	24.26	188.64	17.01	0.1	5.07	1.08	0.0	0.23	79.34	1.51	1.49	87.99	51.62	79.74	41.74	106.05	68.63	47.24	53.0	34.55	122.77	149.89	89.02	88.77	7.02	111.12	61.54	4.55	73.05	6.81	0.18	0.36	0.21	72.4	30.9	127.75	192.23	89.84	101.75	40.7	49.65	35.01	123.03	134.3	160.46	73.09	103.52	0.84	0.06	0.0	10.9	2.92	74.04	17.28	28.39	36.67	33.09	57.2	15.12	0.61	38.57	63.63	7.88	94.28
