	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Ctgf_tdTpositive_cell_9	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_43	Ndnf_tdTpositive_cell_9	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_25	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_51	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_63	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_12
Cul4b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.22	0.12	26.2	0.0	0.0	13.73	35.61	23.51	34.6	0.13	47.75	24.73	35.6	20.89	0.0	43.94	10.94	0.0	26.09	81.87	0.0	25.64	47.14	8.93	24.76	1.38	28.73	53.46	0.0	35.67	11.76	0.0	12.2	23.82	28.94	61.9	0.0	0.0	0.0
D17Wsu92e	0.0	0.0	0.0	0.0	0.0	0.53	0.0	0.0	0.0	43.89	0.5	11.52	7.86	9.56	65.35	16.77	25.02	30.0	7.09	6.58	0.3	59.91	28.42	2.15	0.17	0.54	46.25	63.79	3.05	0.0	0.0	64.6	35.13	0.0	50.92	40.34	19.85	28.29	0.12	23.32	22.3	11.85	32.23	39.57	6.86	0.0	0.0	0.0
Daxx	0.0	78.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49	0.0	0.0	0.0	0.0	0.0	16.02	16.44	0.0	0.0	0.0	0.42	89.51	0.0	25.08	0.0	30.98	0.0	0.0	0.0	9.83	0.0	0.0	0.55	0.0	32.96	0.0	1.55	23.48	0.0	0.0	26.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ddx24	0.0	65.45	0.18	0.0	0.0	246.45	0.0	19.94	0.0	286.09	6.58	171.7	164.12	213.86	112.06	300.76	256.98	257.19	306.0	159.77	178.58	436.52	116.12	198.99	258.42	191.37	367.1	182.63	151.04	268.45	218.94	209.1	260.58	175.91	311.05	382.44	164.4	263.55	173.48	331.04	229.95	148.64	321.17	123.58	276.08	532.26	0.0	0.0
Dimt1	0.0	0.58	0.0	0.0	0.0	17.57	0.0	0.0	0.0	36.64	0.47	30.5	37.24	11.07	9.4	7.52	41.23	14.72	101.06	58.15	44.63	68.08	16.96	11.09	73.38	49.31	27.63	20.99	58.63	25.09	0.0	74.65	79.36	22.12	26.52	25.8	15.55	34.28	34.27	56.73	22.71	11.16	31.41	25.28	50.67	0.0	0.0	0.0
Dis3l2	0.0	0.0	0.0	0.0	0.0	67.78	0.0	0.0	0.15	0.0	0.0	5.03	2.68	0.0	0.0	6.31	25.04	0.0	0.2	0.25	0.17	88.67	2.23	0.0	0.0	6.83	52.63	1.32	0.0	37.62	0.0	51.79	19.56	0.0	6.7	1.55	0.0	0.97	0.13	34.12	0.0	0.0	39.35	20.04	0.0	0.0	0.0	0.0
Dnajc13	180.94	0.0	0.0	0.0	0.0	0.41	0.0	0.0	0.0	0.32	0.23	5.25	1.16	1.75	5.88	7.17	12.44	5.43	22.8	8.2	0.0	7.86	7.14	0.0	0.0	0.08	0.0	14.34	0.0	4.11	2.9	15.14	0.0	0.36	0.0	1.97	0.38	0.0	0.27	9.8	9.26	8.99	1.62	1.6	2.67	0.0	0.0	0.0
Dock4	0.0	0.0	0.0	11.11	0.0	17.44	17.46	0.03	0.06	6.31	0.0	3.55	14.65	0.03	20.74	0.87	7.82	18.19	3.73	1.54	20.36	31.99	5.45	4.12	17.24	18.97	3.21	11.61	7.71	52.73	7.65	15.34	1.14	7.68	14.73	2.7	4.65	15.01	30.72	0.78	15.56	1.53	4.81	6.2	4.55	0.0	0.0	44.56
Dst	40.6	2.79	0.0	32.21	0.0	12.64	0.0	37.02	0.13	12.88	69.27	14.96	17.86	23.75	12.51	16.45	12.64	22.51	20.72	19.29	13.81	25.33	29.09	8.59	12.6	13.61	14.47	22.32	23.94	11.26	9.91	21.02	10.0	28.0	29.37	20.72	10.3	15.57	8.29	15.44	7.12	2.39	15.15	4.85	19.08	9.01	0.06	3.66
Dtx1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.87	0.0	0.34	0.0	0.0	33.04	0.0	0.15	0.0	2.26	0.21	0.0	8.61	0.0	28.29	0.0	0.0	0.0	3.39	0.9	0.0	0.47	14.76	0.0	15.3	0.0	8.1	0.0	0.47	0.0	0.0	0.0
Dzip1	0.0	2.72	0.0	0.0	0.0	20.93	0.0	0.0	0.0	21.46	0.53	3.15	40.84	0.61	6.67	9.0	12.12	11.63	26.19	21.59	6.97	33.08	30.21	26.2	14.33	7.91	5.98	35.77	43.3	14.12	33.77	12.37	18.05	3.39	23.17	10.46	16.84	19.68	9.74	23.56	19.92	9.48	22.33	9.51	34.57	0.0	0.0	0.0
E130008D07Rik	2.59	0.33	0.23	17.95	8.16	4.5	2.0	14.74	3.5	3.88	8.37	5.33	3.07	0.75	4.53	2.64	13.04	4.14	5.58	4.56	5.22	4.37	3.66	6.09	3.93	3.17	4.12	4.36	9.1	3.19	2.33	5.07	3.02	3.0	9.35	5.55	3.8	5.28	4.57	5.04	5.74	2.01	2.07	3.9	6.01	0.55	3.46	2.95
