	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Ctgf_tdTpositive_cell_9	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_43	Ndnf_tdTpositive_cell_9	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_25	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_51	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_63	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_12
Thap4	0.0	0.0	0.0	0.0	0.0	5.31	0.0	0.0	0.0	0.2	0.0	0.0	0.0	10.32	0.0	0.0	77.83	0.77	0.0	15.08	0.0	0.0	9.2	4.37	0.0	19.65	0.0	0.0	12.21	0.0	0.0	30.58	3.33	9.96	0.0	6.98	0.7	0.0	44.41	0.0	71.57	32.46	10.94	0.0	6.02	0.0	0.0	0.0
Tjp2	0.0	0.0	0.0	180.24	231.31	0.0	5.37	141.75	0.0	0.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.27	0.0	0.0	0.0	0.0	0.0	0.0	35.97	0.0	0.0	0.0	9.53	0.0	0.0	0.0	0.0	13.29	0.0	0.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tmem9	0.33	20.84	0.0	0.0	0.0	18.14	0.0	743.06	0.0	94.56	0.0	32.98	150.2	222.79	63.68	181.24	68.27	119.54	72.79	6.07	17.05	373.05	90.93	206.3	153.65	87.0	0.0	0.32	33.0	196.18	161.16	97.54	149.75	13.96	31.07	50.72	166.46	61.4	189.59	99.98	157.7	122.49	60.27	246.98	165.27	0.0	0.24	0.0
Tob1	78.86	0.11	0.0	0.0	0.0	12.82	0.0	0.0	0.0	8.11	0.53	12.12	12.63	40.81	13.86	4.95	6.77	0.0	0.0	3.82	37.39	64.64	29.18	7.04	47.54	10.84	59.67	50.99	9.88	0.0	0.0	0.13	34.25	0.0	31.78	28.15	7.69	2.11	30.98	0.17	0.0	13.52	18.07	0.0	24.06	0.0	0.15	0.0
Tomm70a	0.0	0.06	166.19	0.0	0.0	0.0	0.0	0.0	0.0	48.67	0.16	6.08	30.4	26.92	53.95	36.78	105.81	121.85	0.5	0.0	8.99	4.86	29.47	15.7	6.29	80.99	38.16	23.41	248.3	0.1	35.28	29.31	6.4	63.23	80.83	59.82	117.1	47.09	35.68	35.12	77.07	108.41	102.11	85.9	1.67	0.0	0.0	0.0
Trim44	5.08	98.29	0.0	0.0	0.0	6.04	0.0	0.05	0.0	10.13	0.32	21.37	22.35	20.85	10.19	18.97	58.52	13.47	37.18	7.1	46.09	3.76	50.65	4.58	87.95	54.61	127.39	25.87	91.57	0.24	17.17	18.77	38.24	58.34	30.89	20.88	56.32	23.41	39.24	38.69	83.38	5.96	4.46	0.22	24.01	0.0	0.12	43.59
Tshz3	0.0	0.0	0.0	0.0	0.0	53.98	0.0	0.55	0.0	16.77	0.36	5.99	20.68	0.0	9.37	6.08	7.93	25.68	3.65	30.81	14.18	15.51	47.47	10.07	55.14	4.76	0.15	18.71	29.71	50.63	0.0	30.32	0.57	3.08	14.72	17.95	10.73	30.52	24.63	27.91	2.99	7.81	17.26	30.19	9.93	0.0	0.0	0.0
Uba5	0.0	0.0	0.0	0.0	0.0	32.57	0.0	0.12	0.0	38.6	0.0	5.94	0.0	46.2	34.59	24.94	17.79	23.26	16.21	32.66	56.66	86.43	5.93	52.15	20.21	0.0	0.0	21.07	96.48	8.56	1.98	66.02	3.28	2.56	44.55	0.0	10.23	11.65	5.58	44.11	1.58	15.29	36.12	49.74	19.26	0.0	0.0	0.0
Ube2e3	0.0	9.85	0.0	0.0	0.0	24.72	0.0	0.0	0.0	265.24	386.12	37.99	41.68	10.04	100.42	297.9	39.69	58.23	55.88	175.48	112.97	235.94	111.87	143.1	176.51	43.76	418.43	9.46	75.78	303.52	82.02	167.95	164.89	35.25	90.95	0.0	86.9	148.47	116.45	309.41	85.72	90.22	105.39	6.28	100.43	0.0	106.85	0.0
Ube2k	0.0	52.35	0.0	0.0	0.0	108.69	0.0	0.11	0.76	19.81	0.24	54.06	122.42	27.12	89.61	75.61	69.97	48.92	96.25	69.8	93.87	86.54	105.46	100.92	111.57	50.5	9.11	43.6	120.9	139.75	31.58	81.53	53.13	58.31	22.88	47.2	39.29	63.92	50.65	95.65	48.05	18.0	126.84	53.01	55.61	0.0	20.98	0.42
Ublcp1	0.0	0.0	0.0	0.0	0.0	375.59	0.0	0.13	0.0	458.47	0.84	136.1	196.89	357.16	390.35	210.18	187.09	492.13	450.16	279.6	274.73	349.58	301.45	275.83	311.84	584.43	473.73	412.16	170.82	537.98	148.47	359.18	174.96	251.0	424.56	448.7	168.21	468.81	224.58	137.52	197.43	23.3	477.06	214.79	372.65	533.57	0.0	1122.49
Ubr2	0.12	0.0	0.0	0.0	17.55	0.25	0.0	0.0	0.0	13.03	35.7	4.43	0.0	0.0	0.43	4.06	3.68	1.72	2.95	1.32	3.43	38.51	3.79	0.93	0.46	2.93	20.19	3.02	4.46	0.0	0.27	1.27	2.11	0.0	2.5	0.19	5.16	5.5	18.55	16.02	5.63	2.67	2.78	5.09	3.54	0.0	1.77	0.0
Wasf1	0.0	0.1	0.0	0.0	0.0	19.17	0.0	75.95	0.0	10.05	1.88	23.98	15.14	18.97	0.38	9.52	23.9	16.98	9.74	8.69	28.98	2.9	0.2	62.07	8.21	19.89	0.91	56.2	20.37	0.0	2.68	31.46	33.98	11.13	0.48	20.15	15.51	0.51	0.0	39.88	0.0	0.0	63.14	17.18	11.84	0.0	0.28	0.0
Wdr73	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	626.03	0.0	0.0	20.71	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.26	44.1	0.31	0.0	41.06	72.15	2.14	59.53	92.28	9.87	27.84	48.42	64.37	0.0	34.09	0.0	49.49	0.0	0.69	4.73	0.12	0.09	0.0	0.0	0.0
Yipf5	0.0	105.18	0.23	0.0	0.0	101.65	0.0	0.0	0.0	164.31	0.26	63.6	65.24	100.8	38.93	15.3	131.46	41.55	76.43	125.32	164.16	0.0	64.88	116.2	152.47	45.33	0.0	115.23	73.63	112.86	116.49	27.23	64.1	18.44	63.73	90.23	54.95	0.0	37.17	268.98	38.82	57.6	124.81	57.43	52.21	0.0	0.15	0.0
Zbtb11	0.0	7.43	0.1	0.0	0.0	9.05	0.0	0.0	0.0	35.35	12.81	29.36	10.55	0.05	6.53	24.86	14.81	36.24	16.37	38.66	32.25	38.23	13.76	56.39	9.24	17.37	30.11	28.99	93.21	0.0	1.25	66.98	10.91	13.21	56.1	15.44	4.76	3.71	7.56	25.56	36.88	24.67	0.36	22.45	0.27	0.0	0.0	38.38
Zbtb16	0.0	0.05	0.0	0.0	0.09	14.12	0.0	0.28	0.19	4.27	0.0	20.66	0.27	3.16	0.09	1.32	36.25	11.9	11.56	17.59	0.0	45.23	8.34	7.94	14.92	26.12	0.0	1.33	19.96	2.53	0.2	9.57	2.49	9.04	11.72	11.21	4.07	25.89	0.24	0.15	0.1	14.8	0.0	12.24	0.0	0.0	0.27	0.0
Zbtb4	0.0	6.34	0.0	11.8	0.0	5.12	0.0	0.0	0.0	12.0	0.0	22.0	5.57	15.0	0.18	26.93	19.03	34.16	26.11	22.3	5.54	55.89	7.79	7.73	8.44	9.25	4.67	33.82	26.17	58.53	0.0	26.46	8.74	18.28	21.8	13.45	3.84	19.54	15.89	6.12	1.24	21.88	7.69	1.29	25.95	0.0	0.0	0.0
Zbtb48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	1.51	0.0	0.0	0.38	0.0	0.36	0.0	0.0	32.26	0.0	0.0	34.59	0.0	0.0	0.0	13.29	0.0	0.55	20.66	0.0	0.0	0.0	0.0	0.0	0.75	41.34	0.0	0.22	0.0	18.28	0.0	0.0	0.0	0.0
Zfp191	0.0	0.0	0.0	0.0	0.0	32.75	0.0	0.0	0.0	31.69	10.48	1.32	4.02	60.48	16.46	0.0	14.49	5.3	32.62	78.59	24.73	135.28	45.41	28.9	82.88	6.42	43.29	20.62	0.0	18.18	41.91	18.0	39.89	53.94	53.14	63.12	1.43	4.03	38.74	1.9	26.83	72.66	67.12	79.3	42.91	0.0	0.0	0.0
Zfp295	78.79	23.99	0.0	0.0	0.0	12.87	0.0	119.45	0.0	30.45	0.0	19.51	39.74	1.0	0.0	8.37	25.36	15.81	5.11	9.68	21.53	42.07	20.86	24.76	17.38	21.97	1.13	23.48	96.51	12.89	0.38	13.39	17.0	11.64	11.28	9.45	5.03	23.18	14.19	8.81	45.37	40.46	4.68	0.59	10.18	0.0	0.0	0.0
Zfp593	0.0	0.0	0.0	0.0	0.0	2.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.03	0.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.87	0.0	0.0	1.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.22	0.0	0.0	0.0	3.67	0.0	0.0	0.0
Zfp637	0.0	245.28	0.0	0.0	0.0	261.56	0.0	0.0	0.0	218.82	1.12	115.86	111.28	110.91	0.9	181.23	80.33	133.63	160.23	76.54	205.66	238.35	108.15	146.93	63.47	87.86	178.82	350.42	156.32	221.08	105.81	266.94	96.13	68.69	0.0	45.41	82.72	3.68	56.13	137.35	107.43	63.7	221.7	99.85	112.1	0.0	0.33	0.0
Zfp828	0.0	38.1	0.0	0.0	0.0	2.05	0.22	0.0	0.0	11.52	0.0	34.99	11.52	0.0	24.84	10.64	0.0	25.52	4.56	20.54	17.99	49.4	8.41	21.47	16.56	15.83	0.0	3.29	29.73	45.5	0.0	0.0	1.42	0.0	10.72	43.1	14.82	0.0	14.47	19.41	51.47	0.0	28.18	1.18	0.0	0.0	0.0	0.0
Zyg11b	3.14	25.08	6.35	3.74	4.61	19.75	1.91	101.36	3.54	27.79	4.36	25.88	32.72	25.75	40.05	16.67	30.84	29.04	36.3	17.61	20.6	5.45	10.03	27.13	56.11	13.68	3.55	32.29	91.27	34.65	28.68	37.55	25.88	19.85	8.65	30.26	30.92	58.33	45.01	26.55	17.24	39.63	15.54	51.5	24.13	2.24	3.4	14.79
mt_AK131589	0.0	0.0	0.0	0.0	185.5	84.22	0.0	0.0	399.81	0.0	0.0	0.0	315.23	0.0	127.71	142.57	0.0	0.0	464.11	15.95	96.16	337.91	72.14	0.0	232.03	151.13	185.11	354.55	680.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	242.46	93.28	128.16	439.52	58.72	443.59	121.86	0.0	51.08	0.0	0.0	0.0
mt_AK136262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.05	0.04	0.1	0.2	0.04	0.05	0.0	0.08	0.01	0.17	0.19	0.15	7.2	0.21	0.09	51.25	0.0	0.0	0.0	0.0	0.0	0.15	0.15	7.33	0.0	8.08	0.19	0.04	0.18	0.06	0.0	0.0	0.0	0.0	0.0
mt_AK142003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.05	0.04	0.1	0.2	0.04	0.05	0.0	0.08	0.01	0.17	0.19	0.15	7.2	0.21	0.09	51.25	0.0	0.0	0.0	0.0	0.0	0.15	0.15	7.33	0.0	8.08	0.19	0.04	0.18	0.06	0.0	0.0	0.0	0.0	0.0
mt_AK166798	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.05	0.04	0.1	0.2	0.04	0.05	0.0	0.08	0.01	0.17	0.19	0.15	7.2	0.21	0.09	51.25	0.0	0.0	0.0	0.0	0.0	0.15	0.15	7.33	0.0	8.08	0.19	0.04	0.18	0.06	0.0	0.0	0.0	0.0	0.0
mt_AK166978	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.05	0.04	0.1	0.2	0.04	0.05	0.0	0.08	0.01	0.17	0.19	0.15	7.2	0.21	0.09	51.25	0.0	0.0	0.0	0.0	0.0	0.15	0.15	7.33	0.0	8.08	0.19	0.04	0.18	0.06	0.0	0.0	0.0	0.0	0.0
