	Calb2_tdTpositive_cell_1	Calb2_tdTpositive_cell_43	Chrna2_tdTpositive_cell_4	Ctgf_tdTpositive_cell_11	Ctgf_tdTpositive_cell_14	Ctgf_tdTpositive_cell_18	Ctgf_tdTpositive_cell_19	Ctgf_tdTpositive_cell_20	Htr3a_tdTpositive_cell_34	Htr3a_tdTpositive_cell_45	Htr3a_tdTpositive_cell_79	Htr3a_tdTpositive_cell_86	Htr3a_tdTpositive_cell_96	Htr3a_tdTpositive_cell_106	Htr3a_tdTpositive_cell_111	Htr3a_tdTpositive_cell_113	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_70	Ntsr1_tdTpositive_cell_1	Ntsr1_tdTpositive_cell_11	Ntsr1_tdTpositive_cell_15	Ntsr1_tdTpositive_cell_18	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_21	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_30	Ntsr1_tdTpositive_cell_35	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_52	Ntsr1_tdTpositive_cell_57	Ntsr1_tdTpositive_cell_77	PvalbD.Slc32a1_tdTpositive_cell_15	Rbp4_tdTpositive_cell_6	Rbp4_tdTpositive_cell_41	Rbp4_tdTpositive_cell_80	Rbp4_tdTpositive_cell_82	Rbp4_tdTpositive_cell_180	Rbp4_tdTnegative_cell_23	Scnn1a.Tg3_tdTpositive_cell_62	Slc17a6_tdTpositive_cell_23	Slc17a6_tdTpositive_cell_24	Slc17a6_tdTpositive_cell_40	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_55	Vip_tdTpositive_cell_69	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_10	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_6	CAV_LP_Ipsi_tdTpos_cell_7	CAV_LP_Ipsi_tdTpos_cell_10	CAV_LP_Ipsi_tdTpos_cell_11	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_32	CAV_LP_Ipsi_tdTpos_cell_43
Gm3893	0.0	0.0	14.65	4.03	16.37	113.56	97.76	60.69	0.0	7.17	67.27	9.33	73.76	0.0	0.0	75.66	0.99	0.05	0.0	0.0	0.0	0.0	0.12	373.53	63.81	113.22	144.53	0.0	0.0	0.55	124.99	140.48	20.42	105.31	71.77	100.23	145.46	156.05	68.88	344.21	98.71	0.1	3.39	45.6	133.86	37.46	58.93	0.0	107.78	149.28	123.81	58.72	0.08	7.21	0.0	4.58	2.59	11.25	20.32	5.06	55.44	28.5	98.58	143.21	0.72	5.97	13.93	63.78	128.46
Gpr123	15.06	22.53	5.87	50.18	98.77	132.86	68.02	200.53	0.0	15.06	74.99	0.0	84.34	1.33	127.91	195.55	0.0	1.57	10.82	16.29	0.0	1.55	4.93	52.57	74.3	132.42	213.67	0.0	106.77	54.46	88.07	15.5	93.03	158.87	191.72	17.39	81.13	64.3	103.21	129.24	17.89	102.68	65.63	67.5	175.14	58.62	49.3	0.1	265.72	0.14	42.22	105.39	13.58	0.0	44.84	79.16	98.91	179.06	63.91	57.59	46.51	76.94	55.57	225.92	212.23	100.66	126.03	77.27	97.42
Gria3	0.09	0.0	15.14	0.0	185.16	243.57	120.38	70.37	0.0	0.0	72.18	146.79	134.26	20.61	243.55	161.41	0.05	45.87	0.94	3.37	0.09	29.36	1.27	299.92	175.12	410.71	173.46	1.15	152.08	233.33	192.11	197.16	95.26	154.34	176.93	169.28	232.83	172.74	319.57	340.19	235.01	0.0	56.53	142.36	203.16	309.81	270.68	0.0	223.89	0.14	160.92	337.16	29.15	8.22	0.43	133.98	181.84	197.09	146.99	297.33	167.29	33.1	115.07	144.65	64.52	159.85	229.91	126.94	233.95
Ipcef1	1.02	0.15	1.47	94.77	115.2	80.84	65.5	108.59	0.0	0.0	154.68	15.9	56.36	33.58	210.82	117.4	0.04	0.19	0.13	0.0	0.29	0.62	0.0	287.79	54.28	10.2	148.54	0.31	60.6	225.42	152.81	8.93	12.81	70.8	16.68	114.83	108.11	86.16	60.71	188.8	134.66	0.0	31.27	105.88	12.52	140.28	6.65	0.28	140.23	0.86	297.47	177.06	0.04	0.33	0.0	48.24	57.92	0.47	32.2	7.03	76.7	123.83	113.87	72.96	65.54	79.27	81.94	21.51	4.42
Nfia	5.82	4.89	0.0	193.5	111.3	115.7	157.03	63.52	0.0	6.33	219.48	22.37	156.17	33.92	121.97	126.57	0.0	0.16	0.05	0.0	0.0	5.85	1.49	116.46	149.58	258.99	143.26	84.84	66.99	72.38	166.88	94.4	37.01	120.78	153.59	95.4	87.64	138.11	131.86	66.79	169.49	0.0	16.69	0.09	72.73	58.79	56.14	0.15	118.46	21.71	70.56	147.67	0.05	0.0	41.18	97.54	94.09	66.07	155.63	64.11	216.13	146.27	112.7	36.85	214.69	68.39	109.13	60.53	0.04
Ngef	0.06	0.0	4.89	51.46	17.66	189.08	90.53	26.55	54.18	0.0	38.72	49.08	1.55	33.39	105.94	8.3	0.43	0.0	0.04	1.01	0.0	0.0	0.36	85.19	17.98	26.96	90.41	0.13	0.0	160.72	124.83	133.9	0.1	62.91	17.23	10.51	176.16	65.15	55.43	42.61	98.21	0.0	107.72	54.7	5.18	62.72	13.61	0.0	129.68	0.0	143.65	69.13	0.0	24.66	0.0	63.77	46.61	19.47	52.48	7.53	81.87	16.76	107.08	24.04	12.6	50.28	34.98	15.68	33.46
Nos1ap	4.64	14.0	30.1	0.0	1.12	21.24	11.71	26.36	0.0	0.12	19.07	78.8	33.6	1.02	0.0	38.46	0.0	2.35	0.0	0.0	0.0	0.0	0.0	132.73	173.83	110.1	88.1	0.23	2.45	25.95	30.51	25.62	85.41	203.83	106.53	99.32	180.65	151.47	51.68	133.66	98.07	0.0	40.91	0.6	46.58	42.49	29.37	0.0	109.42	0.0	53.7	62.34	10.06	0.0	1.35	61.86	78.78	153.45	84.14	5.71	191.36	0.22	120.49	79.47	0.74	75.84	24.77	65.23	38.82
Nrg3	0.08	0.0	0.0	0.0	0.28	6.63	5.32	0.14	0.0	0.0	1.88	10.08	0.08	28.77	20.59	5.98	0.03	0.0	0.05	0.0	0.0	0.0	0.0	37.91	0.0	0.0	1.39	0.09	0.19	0.0	2.95	66.77	3.48	0.06	0.13	54.06	2.9	5.24	0.21	18.57	0.17	0.0	0.08	0.12	0.0	26.42	21.71	0.0	0.0	0.05	125.51	50.85	0.02	6.57	0.0	8.32	10.83	15.9	0.09	0.51	56.14	0.08	0.07	7.72	0.0	40.23	26.71	4.57	0.0
Pak7	0.28	0.0	0.0	2.76	0.0	26.17	0.26	0.0	0.0	0.07	0.09	0.46	26.05	1.61	0.2	19.84	0.02	0.1	0.28	0.06	0.0	0.0	0.0	172.7	51.73	5.67	63.0	0.51	55.48	3.48	57.52	6.62	30.76	57.2	65.49	55.55	93.1	22.14	51.65	162.87	81.75	0.0	41.53	15.94	79.96	2.4	2.24	0.0	3.05	60.22	32.01	90.49	0.0	0.0	0.0	35.99	44.95	56.14	3.31	0.73	39.13	17.74	3.64	15.63	20.1	21.14	24.27	16.4	0.16
Pcp4	4167.1	3854.24	5117.81	4159.66	4639.95	4004.36	4871.0	4341.13	3287.36	3085.52	4036.12	4905.76	5130.46	3629.17	5293.38	4195.3	3496.46	4184.47	4733.38	4414.79	5082.23	4231.51	4518.09	4306.98	4736.97	4085.02	4559.13	7467.74	4785.11	5853.47	5181.2	4442.44	6240.76	5498.56	6808.32	7407.1	5341.11	6583.41	5620.14	5456.32	5251.38	3805.42	3472.73	5093.83	4293.52	4504.36	4470.96	0.0	5307.32	3923.3	7030.52	4796.79	5005.09	4368.46	5492.66	4928.48	5219.57	7638.97	4212.47	5202.71	5242.95	5106.23	6941.16	7178.2	6670.6	6291.11	8685.7	6217.49	4044.68
Plec	0.02	16.47	12.69	8.5	27.29	14.66	4.88	15.03	0.0	13.95	14.09	12.14	48.38	0.0	18.61	31.07	0.06	4.92	3.99	0.0	11.21	5.39	6.92	20.28	22.35	35.76	54.66	0.05	39.71	30.86	7.06	31.81	13.58	35.0	57.15	47.11	40.04	32.39	9.66	10.15	22.9	0.0	32.15	28.98	10.42	33.29	7.9	0.0	45.24	12.25	40.1	31.87	8.97	12.82	0.06	22.51	20.93	72.77	60.58	52.87	58.63	12.02	0.0	2.14	0.06	9.83	16.2	19.28	5.37
Prkcb	178.39	55.0	13.39	126.87	214.44	404.46	302.87	159.44	44.17	232.71	106.6	55.66	86.13	4.44	178.98	159.59	2.64	6.89	9.02	34.75	32.65	30.8	7.3	556.9	293.59	329.21	347.1	207.21	259.76	317.53	218.73	251.54	488.0	143.75	310.81	283.48	463.55	246.85	353.97	517.46	304.59	28.61	138.51	164.81	199.71	418.38	110.83	0.06	287.67	0.92	535.43	235.48	0.11	2.75	37.33	217.93	281.09	93.29	162.9	172.14	289.23	146.1	399.85	339.75	258.63	247.11	248.14	147.65	145.36
Psd	0.19	6.81	15.01	24.51	20.49	22.87	13.03	38.16	7.53	0.0	10.14	24.62	35.39	25.47	28.45	29.84	6.39	5.51	12.26	6.08	8.67	9.15	6.66	16.9	31.16	33.37	6.65	0.0	27.28	15.08	18.55	53.7	10.32	48.87	33.89	50.69	25.24	47.51	38.42	37.74	16.96	12.08	17.07	20.86	10.73	29.98	36.87	0.0	38.01	14.93	24.26	22.79	6.76	22.12	0.0	14.33	21.9	32.01	16.46	29.88	19.11	18.05	18.73	37.43	17.04	48.25	23.73	26.03	26.36
Ptk2b	57.75	1.1	0.0	69.01	90.25	36.82	131.58	78.98	0.0	0.0	101.49	30.93	125.65	23.02	85.76	159.11	0.03	2.65	0.03	0.08	0.0	0.0	5.2	40.83	175.86	28.29	39.04	0.0	102.77	69.53	135.14	124.26	150.56	63.75	145.89	209.97	291.96	75.15	156.56	112.11	66.57	0.0	69.36	12.1	150.47	256.83	56.63	0.0	169.63	2.13	280.13	78.6	11.71	4.95	0.23	45.58	103.09	183.01	151.09	76.6	52.35	34.93	122.14	184.49	11.54	137.06	42.47	56.63	18.54
Sept6	0.17	0.0	0.0	0.0	39.52	104.97	37.42	1.25	0.12	0.0	105.48	28.86	118.66	27.54	92.79	125.55	35.97	35.53	0.06	80.54	0.0	3.29	1.25	102.76	181.99	22.5	167.66	0.4	50.33	7.31	0.55	60.89	45.27	66.64	100.16	67.62	97.92	11.57	28.44	177.85	0.71	0.0	1.66	0.25	260.11	107.84	29.51	0.0	100.79	0.0	203.34	96.34	22.84	37.79	0.25	74.39	73.36	167.91	66.6	105.3	75.94	0.09	0.24	108.93	215.91	63.14	56.67	106.2	0.33
Slc8a1	0.04	0.0	0.37	47.43	145.96	89.94	113.69	70.49	11.56	0.0	75.26	117.08	71.44	35.27	79.45	111.36	0.11	0.01	0.55	3.05	0.88	0.01	2.62	112.19	56.67	43.09	79.25	0.04	46.04	19.61	47.92	34.68	6.88	18.79	85.66	28.91	42.44	15.97	40.86	49.16	97.82	25.25	47.2	13.67	58.66	76.81	25.2	0.0	55.4	11.65	145.18	43.43	4.8	1.09	0.02	43.58	22.68	31.49	99.08	64.58	57.45	58.99	28.82	20.64	24.39	40.39	76.32	34.19	89.37
Spnb3	0.51	0.51	0.0	0.0	6.6	19.56	0.82	26.17	0.0	0.0	25.74	5.03	21.21	0.0	14.36	5.01	0.09	1.12	0.12	0.07	11.43	2.1	6.02	15.53	42.61	10.92	28.11	3.41	36.24	2.24	0.58	28.37	7.67	13.87	36.3	55.1	2.38	0.12	17.56	27.34	12.51	0.0	17.27	23.86	30.91	3.43	13.12	0.0	4.56	0.0	55.65	4.42	5.4	0.19	0.0	10.87	8.54	1.82	9.78	0.17	1.03	2.43	0.07	24.99	18.7	8.88	14.67	1.4	2.13
Syt7	0.8	0.0	13.87	35.38	19.68	48.62	21.48	14.05	0.21	0.06	4.33	57.81	32.37	9.61	11.82	42.41	2.74	14.13	0.09	3.61	0.0	0.56	8.52	29.52	130.47	3.68	180.38	0.33	42.12	5.22	33.23	28.37	7.81	71.66	22.22	32.84	7.47	41.94	8.58	46.46	48.78	0.84	10.45	5.31	23.35	15.73	45.12	0.09	105.85	1.22	43.47	26.23	1.37	2.6	0.1	41.31	27.69	48.29	5.01	37.46	26.94	40.69	22.01	12.62	6.4	14.73	44.65	40.1	16.55
