	Calb2_tdTpositive_cell_3	Calb2_tdTpositive_cell_8	Cux2_tdTpositive_cell_2	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_13	Cux2_tdTpositive_cell_14	Cux2_tdTpositive_cell_20	Cux2_tdTpositive_cell_21	Cux2_tdTpositive_cell_51	Cux2_tdTpositive_cell_56	Cux2_tdTpositive_cell_58	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_69	Cux2_tdTpositive_cell_73	Nr5a1_tdTpositive_cell_2	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_4	Nr5a1_tdTpositive_cell_8	Nr5a1_tdTpositive_cell_9	Nr5a1_tdTpositive_cell_11	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_16	Nr5a1_tdTpositive_cell_19	Nr5a1_tdTpositive_cell_26	Nr5a1_tdTpositive_cell_29	Nr5a1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_43	Nr5a1_tdTpositive_cell_48	Ntsr1_tdTpositive_cell_4	Ntsr1_tdTpositive_cell_9	Ntsr1_tdTpositive_cell_25	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_31	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTpositive_cell_46	Ntsr1_tdTpositive_cell_59	Rbp4_tdTpositive_cell_1	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_11	Rbp4_tdTpositive_cell_27	Rbp4_tdTpositive_cell_37	Rbp4_tdTpositive_cell_62	Rbp4_tdTpositive_cell_102	Rbp4_tdTpositive_cell_103	Rbp4_tdTpositive_cell_116	Rbp4_tdTpositive_cell_142	Rbp4_tdTpositive_cell_155	Rbp4_tdTpositive_cell_171	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_16	Rorb_tdTpositive_cell_26	Rorb_tdTpositive_cell_38	Scnn1a.Tg3_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_4	Scnn1a.Tg3_tdTpositive_cell_7	Scnn1a.Tg3_tdTpositive_cell_20	Scnn1a.Tg3_tdTpositive_cell_34	Scnn1a.Tg3_tdTpositive_cell_44	Scnn1a.Tg3_tdTpositive_cell_48	Scnn1a.Tg3_tdTpositive_cell_56	Scnn1a.Tg3_tdTpositive_cell_62	Scnn1a.Tg3_tdTpositive_cell_66	Scnn1a.Tg3_tdTpositive_cell_67	Scnn1a.Tg3_tdTpositive_cell_73	Scnn1a.Tg3_tdTpositive_cell_80	Scnn1a.Tg3_tdTpositive_cell_94	Scnn1a.Tg3_tdTpositive_cell_99	Slc17a6_tdTpositive_cell_40	Sst_tdTpositive_cell_27	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_40
Atp2b1	236.94	401.61	219.44	40.12	295.27	223.62	197.79	104.75	95.28	180.88	41.28	143.04	387.9	237.27	58.09	84.78	151.96	165.79	110.93	205.56	90.48	151.24	147.92	107.39	193.72	207.43	250.31	93.71	113.16	615.63	828.86	557.63	456.28	368.18	738.34	803.9	339.86	538.43	62.25	205.66	126.98	92.48	117.01	197.3	346.92	306.15	253.16	357.27	424.39	425.72	310.27	274.68	119.16	119.19	159.13	108.15	103.67	77.08	226.96	184.82	195.89	127.17	488.1	166.05	163.83	90.72	64.3	236.49	40.52	735.03	38.91	549.86	524.22	564.19	545.99	437.9	435.72	534.67	423.36	450.35	406.68	532.17	401.54	376.73	158.83
Atp2b4	0.0	9.42	14.81	0.02	0.0	0.0	0.0	21.87	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	4.79	0.0	0.0	0.0	0.0	38.8	53.2	24.09	55.4	14.88	38.83	72.33	15.66	113.08	0.0	0.0	49.37	0.0	1.18	0.0	4.56	2.82	40.19	2.22	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.16	0.0	0.0	0.0	12.14	0.0	16.45	3.61	0.0	0.0	5.23	0.04	22.56	11.25	0.04	40.11	29.31	29.76	36.9	27.45	57.49	59.41	18.99	22.19	20.87	34.12	21.24	21.85	0.0
Atp6ap1l	41.57	98.78	1.34	427.08	157.18	114.67	388.64	0.0	0.0	0.0	193.19	0.0	225.06	0.0	0.0	0.0	0.0	0.0	2.61	193.0	204.63	0.0	1.29	0.0	0.0	0.78	0.0	2.49	0.0	189.56	0.28	86.53	0.0	159.6	81.38	0.0	0.0	0.0	0.2	92.09	0.0	0.0	0.0	0.55	0.0	0.3	166.97	0.0	0.0	0.0	0.0	0.0	474.97	117.26	0.0	0.0	0.11	7.25	0.0	0.0	0.0	0.0	110.4	246.99	0.0	0.0	0.0	0.15	0.4	122.45	0.0	88.0	89.05	149.51	82.91	117.19	88.28	83.18	56.94	70.7	67.17	58.54	66.58	79.94	0.0
B3galt2	0.0	0.0	33.47	94.23	0.0	0.16	3.36	0.0	8.86	0.0	2.61	0.0	155.01	4.92	92.28	0.0	0.0	0.04	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.1	0.0	0.0	13.48	163.59	507.65	42.03	308.7	292.99	258.13	71.17	20.88	106.47	201.37	329.61	26.89	116.0	0.14	169.34	16.4	182.22	81.87	97.56	156.02	98.97	13.24	0.0	0.02	4.52	3.44	2.52	0.27	0.0	0.0	0.0	0.0	2.97	135.46	0.0	0.0	0.0	0.0	0.11	1.59	174.42	0.0	108.74	105.41	158.83	103.87	95.3	185.99	174.79	100.17	124.23	128.94	180.73	154.71	140.09	67.41
Btrc	61.78	73.51	63.26	3.77	64.27	86.51	0.0	0.11	48.94	62.67	146.81	17.61	70.42	2.44	82.52	108.91	51.52	35.9	0.19	52.25	2.12	8.55	92.12	78.91	47.68	39.35	5.76	71.6	3.23	183.64	0.05	56.22	5.72	230.34	5.03	164.48	161.72	0.42	94.8	41.23	2.56	11.55	49.53	0.2	34.44	58.72	0.09	29.86	0.86	23.76	0.0	0.0	8.84	0.5	22.93	91.43	47.36	57.24	12.69	2.89	101.12	84.03	46.88	28.54	77.63	0.0	105.31	5.41	46.79	56.85	0.1	73.17	50.68	59.31	46.18	73.79	58.67	39.69	39.03	48.34	49.02	57.4	56.39	46.54	102.57
C230081A13Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.16	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	4.49	52.66	5.96	23.75	1.46	12.3	0.0	1.39	78.0	0.0	0.0	0.04	7.49	0.0	0.0	26.15	0.0	0.0	0.0	23.05	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.01	0.0	0.0	3.42	0.0	0.0	12.14	0.17	0.0	0.0	0.0	0.0	1.15	0.05	0.0	19.53	15.66	18.44	11.7	12.14	13.55	5.01	8.09	10.64	11.51	8.26	7.99	7.19	13.13
Capza2	925.62	811.26	949.45	2312.34	1071.08	512.7	554.67	1009.86	1068.9	842.88	948.62	1267.23	523.06	579.18	918.48	859.12	308.98	799.67	1271.78	1057.92	972.42	942.66	607.3	528.37	1007.96	421.93	1055.49	594.1	449.08	1093.92	475.76	997.14	491.13	943.56	1125.08	697.53	1241.69	843.19	1431.98	581.65	909.29	918.43	614.55	578.41	724.09	316.96	1565.05	926.15	679.47	1200.88	465.63	805.26	1089.99	880.94	801.93	988.97	964.17	851.19	581.75	1067.07	706.36	696.69	943.76	909.57	1240.23	1585.93	1547.61	814.61	442.04	1161.29	684.49	819.63	847.18	1040.41	881.44	678.9	1069.48	862.62	753.9	988.36	844.72	1329.66	1032.98	925.3	1076.3
Cdh18	0.0	0.0	20.11	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.65	0.0	0.0	0.0	0.0	2.75	0.0	0.0	0.0	0.0	106.02	24.44	0.0	0.0	0.0	0.0	6.2	105.96	0.0	28.17	0.0	8.19	81.47	21.71	54.4	9.89	26.23	0.0	13.15	0.0	0.0	0.0	11.49	74.63	0.0	29.68	0.77	0.0	0.0	0.0	0.0	0.13	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	173.58	0.0	0.0	0.06	0.0	0.57	0.0	54.97	57.01	30.61	39.99	44.69	86.78	23.73	69.58	48.21	34.89	26.96	29.22	33.41	0.0
Cdkl4	0.0	0.0	0.06	0.14	0.0	0.0	0.0	0.0	0.0	120.12	0.0	0.28	0.0	0.0	0.43	0.0	0.06	0.06	0.07	17.04	0.0	0.0	0.0	0.15	0.15	0.0	0.0	136.22	0.0	0.0	0.22	30.56	3.36	150.69	0.12	232.98	150.31	0.0	0.08	0.0	0.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	79.34	8.07	0.0	0.0	0.17	0.0	0.0	139.06	0.0	119.37	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.89	0.0	39.66	25.24	37.62	21.84	11.97	55.49	41.24	34.9	16.57	26.73	65.76	40.68	29.69	0.08
Chchd6	2.29	170.53	7.63	74.91	274.17	546.66	0.0	0.0	0.0	175.93	0.0	84.11	71.27	199.15	25.67	41.99	684.71	209.91	159.27	0.73	110.84	370.54	0.9	17.23	72.27	1.76	519.07	209.04	465.99	366.23	120.65	453.7	2.29	228.69	51.81	273.36	154.97	212.42	820.24	112.88	306.46	224.71	264.25	153.28	232.59	311.2	306.68	36.84	168.46	135.53	0.0	33.15	156.84	25.01	0.69	201.58	133.65	8.24	326.82	0.0	77.87	129.31	9.31	211.28	60.74	0.0	226.26	289.69	48.97	238.89	0.55	181.98	321.6	193.46	274.68	256.46	242.25	163.52	233.35	179.36	177.39	102.84	123.7	170.41	190.95
Col5a1	0.0	0.0	0.8	0.0	1.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	1.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	4.52	7.91	0.04	1.6	0.0	0.0	8.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.68	0.0	3.02	4.7	0.75	5.9	4.32	0.91	4.24	0.03	2.67	0.46	0.59	2.02	1.43	0.0
Cpeb1	12.31	10.96	4.89	89.42	6.51	0.0	0.0	0.0	65.84	0.0	0.0	0.67	0.0	15.59	0.0	0.0	0.12	3.17	71.33	0.24	29.17	0.0	14.52	0.0	0.0	14.15	70.82	7.05	7.88	13.54	0.0	44.59	0.21	1.56	0.55	173.71	0.44	49.38	0.0	0.0	0.3	18.72	0.0	0.0	0.0	75.28	172.81	59.65	18.84	34.54	44.28	0.0	8.91	0.0	0.23	103.1	0.25	0.0	0.0	17.24	0.0	0.0	73.5	172.55	5.97	0.0	0.0	0.28	0.0	4.19	12.27	27.88	42.14	29.31	13.87	13.6	47.18	29.35	23.4	50.04	24.18	50.9	23.62	36.76	71.76
Crym	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	868.01	252.39	844.98	463.5	244.66	732.56	64.99	682.71	475.86	0.0	0.0	72.18	0.21	0.26	0.0	0.0	0.0	170.53	0.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	378.69	0.0	0.0	0.0	0.0	0.42	0.0	517.81	0.0	457.32	634.66	671.02	785.96	432.99	468.95	742.03	537.19	532.03	405.94	438.96	485.44	446.79	0.0
Ctxn1	149.54	195.93	103.46	39.03	362.06	249.89	254.73	24.82	349.62	307.74	9.33	16.05	63.72	420.78	603.84	133.89	103.49	106.63	12.47	164.75	420.36	147.14	208.41	0.0	96.8	283.53	321.34	30.02	120.98	139.01	163.85	368.31	86.01	500.51	202.94	476.48	517.25	322.26	50.33	494.08	194.51	47.49	77.04	33.75	158.18	73.56	198.4	115.08	114.97	205.98	107.15	15.39	117.7	277.74	69.3	121.47	119.32	15.24	237.35	155.37	244.88	44.77	853.01	285.35	442.27	205.41	0.0	142.32	50.7	301.22	5.31	156.78	227.39	387.59	175.53	352.3	258.53	367.77	155.52	384.67	102.06	74.32	253.11	253.46	114.67
Ddah1	0.0	0.0	60.23	0.03	171.66	0.0	105.2	0.09	89.16	0.0	148.03	0.0	0.11	79.7	0.0	0.06	0.05	0.0	0.11	0.0	0.0	0.31	0.0	0.0	40.26	0.59	174.48	0.0	0.0	56.71	73.56	395.47	199.5	415.73	183.8	292.8	172.32	133.93	0.06	0.0	0.12	0.0	42.62	0.0	76.07	3.56	104.04	113.65	141.5	133.73	0.0	0.0	61.75	69.21	173.21	78.49	256.07	0.0	0.0	0.99	0.0	0.07	337.03	0.0	0.0	0.0	25.23	0.46	0.06	501.51	91.95	365.66	365.64	300.62	254.93	323.76	352.14	394.78	421.15	449.98	219.73	343.88	234.48	243.16	0.0
Dok5	177.61	147.1	167.9	479.02	270.49	1.46	0.07	0.99	0.73	143.96	4.9	41.12	263.42	0.97	176.53	0.52	120.01	0.45	0.66	160.6	1.57	335.12	1.1	2.06	137.98	191.94	257.47	144.71	176.52	3.67	328.9	230.59	410.18	178.41	392.68	117.08	239.49	566.62	0.8	54.95	245.67	6.32	108.15	0.41	133.3	76.47	0.72	115.85	179.46	294.03	2.63	0.24	1.43	117.75	0.91	1.42	1.42	1.74	134.58	113.79	1.68	1.35	111.57	0.69	1.04	0.88	1.17	1.49	0.94	142.09	1.21	161.77	248.6	231.09	307.52	302.8	211.28	171.99	275.86	248.55	217.96	255.79	239.66	243.01	0.0
Dynll1	425.23	625.24	395.39	496.44	604.66	533.71	396.08	689.61	542.86	251.58	480.34	426.53	638.66	350.21	777.87	584.51	277.92	253.02	378.38	373.59	154.58	355.7	326.51	522.34	441.33	424.65	485.48	354.7	868.18	905.27	895.12	987.96	1517.62	1044.69	679.8	772.93	981.07	910.68	834.78	1119.38	959.71	585.86	699.98	639.6	445.79	786.56	745.47	720.28	750.49	502.89	213.21	340.69	771.25	576.21	408.09	914.39	294.82	596.97	418.8	407.61	643.67	390.68	911.35	648.9	485.47	379.76	260.82	639.12	470.03	1001.35	430.95	1145.81	1144.86	1071.02	1308.63	1187.28	1020.97	1095.13	1024.88	1148.44	1381.08	731.94	923.72	817.25	540.03
