	Calb2_tdTpositive_cell_10	Gad2_tdTpositive_cell_44	Gad2_tdTpositive_cell_65	Gad2_tdTpositive_cell_75	Gad2_tdTpositive_cell_77	Ntsr1_tdTnegative_cell_2	Ntsr1_tdTnegative_cell_3	Ntsr1_tdTnegative_cell_5	Ntsr1_tdTnegative_cell_13	Ntsr1_tdTnegative_cell_16	Ntsr1_tdTnegative_cell_19	Ntsr1_tdTnegative_cell_22	Ntsr1_tdTnegative_cell_23	Ntsr1_tdTnegative_cell_24	Ntsr1_tdTnegative_cell_32	Ntsr1_tdTnegative_cell_41	Ntsr1_tdTnegative_cell_42	Ntsr1_tdTnegative_cell_44	Pvalb_tdTpositive_cell_29	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_44	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_79	Pvalb_tdTpositive_cell_81	Pvalb_tdTpositive_cell_87	Pvalb_tdTpositive_cell_89	PvalbD.Slc32a1_tdTpositive_cell_5	PvalbD.Slc32a1_tdTpositive_cell_26	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_43	Rbp4_tdTpositive_cell_165	Rbp4_tdTnegative_cell_1	Rbp4_tdTnegative_cell_7	Rbp4_tdTnegative_cell_11	Rbp4_tdTnegative_cell_12	Rbp4_tdTnegative_cell_15	Rbp4_tdTnegative_cell_18	Scnn1a.Tg2_tdTnegative_cell_17	Scnn1a.Tg3_tdTnegative_cell_1	Scnn1a.Tg3_tdTnegative_cell_3	Scnn1a.Tg3_tdTnegative_cell_6	Scnn1a.Tg3_tdTnegative_cell_10	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_14	Scnn1a.Tg3_tdTnegative_cell_15	Scnn1a.Tg3_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_22	Scnn1a.Tg3_tdTnegative_cell_23	Sst_tdTpositive_cell_19	Tac2_tdTpositive_cell_7
Cap2	175.57	0.0	94.73	177.77	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.54	1.26	0.0	0.11	0.22	0.18	0.0	70.27	76.61	135.51	77.44	62.24	73.66	0.07	44.95	116.97	202.84	124.09	135.99	143.4	67.16	0.13	0.19	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	36.39
Celf2	86.21	0.0	41.37	43.87	18.1	0.08	0.0	0.0	0.0	0.0	0.0	0.19	0.53	0.0	0.21	0.07	26.58	0.0	36.79	32.13	75.17	56.4	39.66	135.04	1.11	72.88	24.73	30.14	80.25	67.76	72.16	138.49	0.12	0.15	0.09	0.06	0.62	0.0	0.03	0.0	0.0	0.0	0.0	0.0	11.15	0.0	0.0	8.54	0.0	0.0	100.01
Cisd1	640.71	591.72	453.66	549.89	86.24	574.56	0.0	282.17	209.09	267.56	0.0	765.02	220.68	62.29	0.87	452.99	327.55	0.0	495.79	879.97	557.53	830.65	655.92	735.9	264.67	569.45	615.33	524.38	611.76	481.18	172.94	698.9	0.26	228.33	0.39	550.77	419.31	0.0	587.98	0.0	0.0	68.33	290.46	253.78	0.0	470.41	0.0	194.76	739.85	606.6	538.92
Cox5b	494.37	0.0	645.99	605.37	211.14	119.49	0.0	246.84	307.28	503.8	0.0	325.35	5.56	841.38	130.79	591.61	98.17	0.0	1205.87	1092.73	1165.53	1281.58	674.79	1018.44	251.02	1037.87	1241.08	1112.38	1324.73	699.1	758.04	1127.58	158.87	138.34	168.25	0.47	0.0	0.0	1.2	153.14	0.0	0.0	0.0	319.65	0.0	95.79	0.0	173.57	137.7	509.1	998.12
Csdc2	86.78	0.0	93.63	63.58	0.17	0.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	73.72	17.85	178.62	90.3	108.38	109.98	0.0	123.45	14.4	1.26	89.85	57.3	102.52	14.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.19	0.0	0.0	0.0	0.0	0.0	34.61
D3Bwg0562e	91.42	0.4	30.2	16.62	0.57	1.23	1.42	0.4	0.61	0.78	0.03	2.03	2.34	0.51	1.03	0.63	0.53	0.73	5.44	36.67	107.15	3.99	35.36	68.44	1.95	90.09	83.86	18.2	8.49	7.22	40.26	84.8	0.65	0.61	0.34	0.74	1.95	0.33	7.13	0.0	0.0	0.62	0.0	0.11	0.33	0.42	0.55	0.0	0.33	1.35	11.74
Dnm1	35.12	0.0	73.49	55.91	2.21	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.31	0.0	0.11	0.0	0.0	0.0	21.0	26.69	30.47	144.34	86.27	6.69	3.85	101.3	45.13	57.91	81.52	64.16	38.6	36.26	0.06	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.16	35.6
Fam164a	93.61	0.0	59.0	146.59	28.04	15.42	0.0	0.0	0.0	0.0	0.0	0.0	1.21	0.0	0.24	0.0	0.0	0.0	203.33	224.64	510.98	339.85	117.42	108.05	0.0	65.09	138.35	90.48	81.19	164.25	282.81	92.08	0.07	0.07	175.6	0.0	0.13	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	97.38
Gm14430	0.65	0.0	10.71	20.12	0.0	27.71	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.01	0.01	0.04	6.81	5.35	29.72	0.84	12.83	3.98	0.23	13.12	13.32	29.9	19.8	14.82	17.48	6.69	0.0	0.21	0.03	0.03	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	17.88	12.2
Gm14434	0.65	0.0	10.71	20.12	0.0	27.71	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.01	0.01	0.04	6.81	5.35	29.72	0.84	12.83	3.98	0.23	13.12	13.32	29.9	19.8	14.82	17.48	6.69	0.0	0.21	0.03	0.03	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	17.88	12.2
Gm16702	82.08	66.13	86.45	152.32	61.25	90.06	64.38	151.35	99.27	56.48	40.53	38.87	135.83	47.33	47.23	50.39	113.06	80.13	98.53	58.58	82.05	82.39	28.21	82.17	40.27	72.04	63.76	78.41	72.18	179.12	74.0	147.61	67.82	96.56	68.23	23.43	100.24	25.63	58.64	81.02	100.23	61.23	47.68	35.85	62.5	63.36	82.09	38.87	81.37	71.86	66.09
Gm4724	0.65	0.0	10.71	20.12	0.0	27.71	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.01	0.01	0.04	6.81	5.35	29.72	0.84	12.83	3.98	0.23	13.12	13.32	29.9	19.8	14.82	17.48	6.69	0.0	0.21	0.03	0.03	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	17.88	12.2
Gm5464	1.01	0.19	1.85	0.0	1.93	2.38	1.61	0.64	0.9	4.27	0.0	0.0	0.67	1.08	0.84	0.32	0.92	0.98	1.32	0.77	0.67	2.23	0.46	0.0	1.22	1.11	1.69	1.35	0.34	2.45	2.18	4.23	1.11	1.64	1.24	0.4	0.0	0.0	0.12	0.0	1.93	0.0	0.51	0.33	0.69	0.0	0.0	0.17	0.0	0.18	1.58
Gm8221	0.11	0.0	0.0	0.07	0.14	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.07	0.05	0.0	0.0	0.08	0.0	0.06	0.03	0.11	0.18	0.11	0.06	0.0	0.0	0.06	0.1	0.06	0.0	0.0	0.03	0.0	0.0	0.0	0.19	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.07
Gprasp2	2.42	0.0	206.25	141.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67.29	87.1	204.43	64.02	0.5	45.58	0.0	65.81	132.23	185.61	71.92	79.54	69.98	38.73	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.99
Gria1	26.05	0.04	43.3	169.46	0.31	0.21	0.0	0.0	0.22	0.0	0.17	0.45	1.5	0.0	0.06	0.0	0.1	0.07	101.28	82.91	165.72	212.86	82.06	86.27	3.91	76.73	86.54	164.85	88.67	194.95	210.42	31.32	0.0	0.04	0.0	0.05	0.08	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	142.22
Grin2b	421.03	0.16	178.85	219.25	0.17	0.49	0.0	0.16	0.0	0.07	0.09	0.72	4.33	0.54	0.74	0.07	0.14	0.25	118.77	172.37	215.84	263.84	163.01	202.23	10.65	206.07	154.48	165.21	89.41	42.84	73.95	165.96	0.09	0.26	0.18	0.03	0.23	0.0	0.11	0.0	0.0	0.0	0.26	0.09	0.0	0.0	0.0	0.0	0.21	0.22	55.42
Hint2	43.14	0.0	40.22	6.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.78	30.39	0.0	0.0	41.22	16.68	0.0	67.18	31.71	68.58	68.06	5.0	9.81	54.65	0.0	0.0	43.99	0.0	0.0	0.0	0.0	0.0	0.0	1.92	0.0	0.0	0.0	139.93	0.0	0.0	0.0	319.78	62.8
Klhdc2	66.87	0.0	29.51	148.48	54.51	0.0	0.26	91.62	0.0	0.0	0.0	0.51	0.3	0.0	0.0	0.0	0.0	0.0	7.25	2.47	249.95	189.88	59.43	104.25	0.0	54.7	90.65	92.29	124.08	57.68	86.47	67.49	0.48	0.12	0.0	0.0	2.18	0.0	0.0	0.0	0.0	140.17	0.0	0.0	0.0	0.0	0.0	0.0	3.79	0.16	54.08
Lrrtm3	140.76	0.0	73.52	84.38	0.11	0.17	0.0	0.15	0.0	0.0	0.0	0.13	29.23	0.0	0.31	0.0	0.09	0.0	69.19	39.12	73.67	132.49	60.3	173.53	0.0	89.82	39.07	76.53	23.81	1.97	94.29	80.16	0.3	0.51	0.09	0.04	0.22	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	49.52
Mapk10	107.32	0.1	316.13	192.8	0.06	0.09	0.07	0.0	0.0	0.0	0.0	0.28	1.59	0.0	0.36	0.0	0.0	0.05	195.21	117.48	109.32	228.6	184.75	234.15	2.23	146.64	302.2	309.44	165.23	123.39	192.03	104.03	0.04	0.23	0.05	0.0	0.24	0.0	0.2	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.22	242.21
Mrpl12	151.9	0.0	278.62	350.1	0.0	0.0	0.0	0.0	0.0	0.0	147.38	1.08	0.0	0.0	0.0	316.78	6.99	0.0	281.78	89.76	375.06	176.44	227.09	123.14	0.0	299.67	43.77	315.19	201.97	116.77	229.44	134.1	0.26	0.0	0.0	0.0	0.0	293.26	0.0	0.0	13.01	4.04	358.51	0.0	0.0	0.0	0.0	0.0	0.0	145.29	351.47
Mtap2	43.26	14.42	9.93	41.88	6.29	43.17	0.0	0.0	7.12	0.0	5.79	0.0	0.21	0.0	0.29	0.05	29.93	0.14	61.58	53.2	67.39	33.84	47.58	58.05	8.16	109.03	153.41	24.81	54.46	42.96	45.59	74.92	0.13	0.35	42.63	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.51	0.0	0.0	0.0	0.07	0.0	29.62	124.1
Ncan	93.77	0.1	3.24	4.66	0.1	0.64	0.07	0.08	0.18	0.15	0.09	0.5	1.36	0.08	1.73	0.27	0.34	0.11	44.75	7.67	23.72	36.16	18.91	19.91	0.23	43.47	17.29	15.59	21.29	8.64	64.85	63.35	0.2	0.48	0.31	0.14	0.2	0.0	0.21	0.09	0.08	0.0	0.22	0.08	0.0	0.0	0.35	0.1	0.0	0.0	33.73
Ndufa10	615.26	0.0	86.55	395.44	57.22	148.17	9.94	0.0	76.14	332.92	0.0	0.42	1.48	381.05	110.17	0.0	89.17	0.0	375.52	310.41	651.54	765.52	824.94	70.48	20.66	200.82	422.48	828.27	759.54	389.61	511.09	279.21	9.68	252.07	79.25	202.9	0.37	0.0	0.0	0.0	124.69	12.02	0.0	0.0	106.45	4.57	0.0	0.0	18.38	0.27	137.81
Ndufb2	267.28	256.36	178.46	124.96	0.0	142.61	311.47	0.0	0.0	0.0	190.53	1.21	44.0	216.53	0.0	0.0	0.0	0.0	239.39	244.68	353.21	392.55	267.59	229.64	190.95	289.39	210.62	304.55	516.48	264.53	280.3	426.9	113.98	12.04	0.0	0.0	444.05	0.0	0.7	165.39	0.0	0.0	0.0	0.0	65.57	260.95	0.0	0.0	0.0	111.64	120.37
Pank4	20.65	0.0	25.16	108.05	0.0	0.0	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.24	52.63	90.28	101.57	0.18	59.67	0.0	175.06	74.43	59.24	137.05	103.27	11.47	17.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	116.17	41.75	1.02	0.0	0.0	161.95	0.0	0.8	0.0	0.0	0.0	68.06
Pcp4l1	0.19	0.0	372.18	495.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	671.76	534.59	766.25	588.13	430.11	830.21	0.0	687.39	595.57	512.08	512.56	782.12	624.2	19.2	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	447.83
Pdcd2	55.63	0.0	23.32	0.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.55	10.69	3.18	11.73	0.0	2.15	0.0	35.46	85.57	0.0	13.4	0.0	0.0	11.21	0.22	0.0	0.0	0.0	0.0	0.0	29.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.66	11.8	0.0	12.74
Plp1	0.16	38762.16	0.38	0.47	30344.93	28469.21	20966.2	37183.63	39260.88	37184.31	36423.02	20586.09	39094.25	29191.29	44134.5	30053.88	24525.06	25576.26	0.52	13.27	0.27	0.3	0.0	1.14	27253.74	0.19	0.85	0.24	0.42	0.0	0.21	0.75	22913.02	24374.43	22023.41	33133.41	22827.52	21591.95	19852.08	25943.45	20206.34	12335.46	22475.59	20541.07	22914.89	25719.92	19773.88	22995.41	20573.08	36841.4	0.51
Ptprj	13.49	0.0	0.02	0.0	0.0	45.18	0.06	0.0	0.08	0.0	0.0	0.06	0.0	0.0	0.0	0.0	10.35	0.0	9.31	10.78	34.97	37.46	2.19	0.0	0.0	16.13	1.42	34.15	13.33	8.03	0.0	5.08	0.06	0.37	64.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	4.81
Qrich1	96.45	7.24	34.17	31.55	4.79	8.81	0.0	0.0	0.59	0.96	3.43	47.8	0.36	15.21	0.12	0.08	176.13	0.12	2.67	55.28	45.9	14.19	62.96	10.5	0.12	49.01	59.83	67.56	74.95	38.43	73.21	49.37	0.66	6.79	209.48	617.73	6.76	0.0	0.0	3.53	4.17	2.74	0.16	1.07	3.4	1.1	0.0	0.11	0.0	8.05	85.43
Rab8a	156.17	0.0	174.44	36.7	237.89	334.22	0.0	0.0	0.0	0.0	0.0	0.0	0.58	0.3	118.48	0.0	163.33	0.0	50.05	10.52	239.19	84.74	85.45	106.98	0.0	12.6	48.07	198.59	146.75	29.78	24.36	22.56	0.12	273.9	159.66	572.83	1.08	20.67	0.0	0.0	0.0	0.0	0.0	0.0	8.25	113.65	317.48	0.18	0.0	110.32	66.93
Stip1	363.52	481.81	424.64	821.88	0.19	320.51	0.0	769.13	381.6	222.27	0.26	787.43	6.45	0.0	4.64	358.92	594.73	0.0	897.88	747.35	520.21	456.27	609.22	691.02	400.02	380.98	684.46	520.84	559.36	726.88	478.32	138.26	0.22	24.58	0.0	0.0	113.09	0.0	0.13	420.13	603.87	0.24	771.45	0.0	253.44	431.1	437.5	498.33	450.54	0.29	529.65
Tmem22	0.0	0.0	0.12	199.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.21	115.07	3.98	7.77	147.29	43.25	0.0	93.26	152.78	84.4	88.51	70.6	17.47	30.69	0.0	0.15	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.03
Tmem55a	135.29	0.0	377.84	122.83	0.0	171.87	3.58	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.35	0.0	0.0	16.9	192.49	307.38	384.3	460.27	329.06	185.3	0.0	256.58	114.92	168.45	382.56	219.86	331.01	323.87	12.45	0.31	0.0	0.0	0.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	142.9
Vti1b	476.66	186.46	136.45	130.78	2.02	0.0	366.1	0.46	120.8	0.42	0.0	0.79	1.39	0.0	43.65	0.0	132.73	0.91	183.88	180.33	244.62	234.82	105.31	64.63	214.52	170.44	189.06	147.6	75.61	180.64	151.79	199.66	0.19	111.48	1.46	0.0	0.0	0.0	0.23	0.0	34.79	0.0	81.39	0.0	0.38	0.48	0.0	348.06	48.06	131.81	96.56
Wipi2	8.15	0.31	0.05	28.18	0.0	117.3	0.0	0.0	0.0	1.99	0.0	271.91	0.15	155.46	4.48	0.0	0.09	0.0	40.91	23.44	68.39	60.27	68.14	24.26	0.0	13.07	0.0	50.99	56.68	27.06	26.33	16.69	194.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	281.57	161.42	0.0	0.0	0.0	0.0	0.0	36.86
Ywhag	84.15	0.08	146.94	154.48	0.24	0.0	0.25	0.0	0.0	0.0	0.0	0.14	18.51	0.0	0.12	0.08	21.47	0.0	89.5	243.04	166.67	171.25	78.52	29.34	36.51	138.2	86.2	78.76	209.82	84.74	164.53	96.19	43.37	12.31	0.01	0.14	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.0	0.0	21.44	0.0	0.18	142.16
